HOG	OG	Gene Tree Parent Clade	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
N3.HOG0001229	OG0000630	n6									KAF6256365.1 putative polyribonucleotide nucleotidyltransferase [Scenedesmus sp. NREL 46B-D3]	KAF8063787.1 pnp [Scenedesmus sp. PABB004]
N3.HOG0001230	OG0000630	n8									KAF6254394.1 hypothetical protein COO60DRAFT_322563 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001231	OG0000631	n1									KAF6266150.1 ribosomal protein S9/S16-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001232	OG0000631	n6									KAF6254839.1 vacuolar protein sorting-associated protein 16 [Scenedesmus sp. NREL 46B-D3]	KAF8057673.1 VCL1 [Scenedesmus sp. PABB004]
N3.HOG0001233	OG0000632	n1									KAF6248935.1 hypothetical protein COO60DRAFT_1277211 [Scenedesmus sp. NREL 46B-D3]	KAF8056129.1 hypothetical protein HT031_006480 [Scenedesmus sp. PABB004]
N3.HOG0001234	OG0000632	n11									KAF6257900.1 hypothetical protein COO60DRAFT_1701615 [Scenedesmus sp. NREL 46B-D3]	KAF8057132.1 hypothetical protein HT031_006141 [Scenedesmus sp. PABB004]
N3.HOG0001235	OG0000632	n12									KAF6264420.1 malic enzyme_ NAD binding domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8056128.1 hypothetical protein HT031_006479 [Scenedesmus sp. PABB004]
N3.HOG0001236	OG0000632	n13									KAF6262552.1 oligopeptidase A [Scenedesmus sp. NREL 46B-D3]	KAF8073030.1 hypothetical protein HT031_000691 [Scenedesmus sp. PABB004]
N3.HOG0001237	OG0000633	n2									KAF6251268.1 copper amine oxidase [Scenedesmus sp. NREL 46B-D3]	KAF8056444.1 hypothetical protein HT031_006301 [Scenedesmus sp. PABB004]
N3.HOG0001238	OG0000633	n3									KAF6250723.1 copper amine oxidase [Scenedesmus sp. NREL 46B-D3]	KAF8068451.1 maoI [Scenedesmus sp. PABB004]
N3.HOG0001239	OG0000634	n0									KAF6250799.1 zinc-finger domain of monoamine-oxidase A repressor R1-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001240	OG0000635	n2									KAF6252210.1 ribulose phosphate-3-epimerase chloroplast precursor [Scenedesmus sp. NREL 46B-D3]	KAF8054980.1 hypothetical protein HT031_006870 [Scenedesmus sp. PABB004]
N3.HOG0001241	OG0000635	n10									KAF6266665.1 Ribulose-phosphate 3-epimerase-like protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001242	OG0000636	n0									KAF6256619.1 carotenoid oxygenase [Scenedesmus sp. NREL 46B-D3], KAF6256621.1 hypothetical protein COO60DRAFT_1702244 [Scenedesmus sp. NREL 46B-D3]	KAF8061974.1 apocarotenoid-15_15'-oxygenase [Scenedesmus sp. PABB004]
N3.HOG0001243	OG0000637	n2									KAF6261646.1 hypothetical protein COO60DRAFT_1283019 [Scenedesmus sp. NREL 46B-D3]	KAF8065666.1 NAA20 [Scenedesmus sp. PABB004]
N3.HOG0001244	OG0000637	n13									KAF6261640.1 acyl-CoA N-acyltransferase [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001245	OG0000638	n0									KAF6249193.1 iron-sulfur cluster assembly protein [Scenedesmus sp. NREL 46B-D3], KAF6265415.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8065791.1 ABCI6 [Scenedesmus sp. PABB004], KAF8066343.1 mon2 [Scenedesmus sp. PABB004]
N3.HOG0001246	OG0000639	n1									KAF6259954.1 hypothetical protein COO60DRAFT_1510342 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001247	OG0000639	n9									KAF6252083.1 hypothetical protein COO60DRAFT_1673785 [Scenedesmus sp. NREL 46B-D3]	KAF8069658.1 histone H1.2 [Scenedesmus sp. PABB004]
N3.HOG0001248	OG0000640	n1									KAF6255865.1 hypothetical protein COO60DRAFT_168485 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001249	OG0000640	n6									KAF6251947.1 NAD_P_-binding protein [Scenedesmus sp. NREL 46B-D3]	KAF8073242.1 hypothetical protein HT031_000903 [Scenedesmus sp. PABB004]
N3.HOG0001250	OG0000641	n0									KAF6262514.1 hypothetical protein COO60DRAFT_613137 [Scenedesmus sp. NREL 46B-D3]	KAF8073049.1 hypothetical protein HT031_000710 [Scenedesmus sp. PABB004]
N3.HOG0001251	OG0000642	n2									KAF6260634.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]	KAF8067361.1 hypothetical protein HT031_002409 [Scenedesmus sp. PABB004]
N3.HOG0001252	OG0000642	n3									KAF6263065.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]	KAF8062065.1 Agxt [Scenedesmus sp. PABB004]
N3.HOG0001253	OG0000643	n3										KAF8073000.1 SNX2B [Scenedesmus sp. PABB004]
N3.HOG0001254	OG0000643	n5									KAF6260469.1 hypothetical protein COO60DRAFT_892770 [Scenedesmus sp. NREL 46B-D3], KAF6260499.1 hypothetical protein COO60DRAFT_1684872 [Scenedesmus sp. NREL 46B-D3]	KAF8069637.1 SNX2A [Scenedesmus sp. PABB004]
N3.HOG0001255	OG0000643	n7									KAF6265222.1 hypothetical protein COO60DRAFT_1697829 [Scenedesmus sp. NREL 46B-D3]	KAF8069565.1 SNX2B [Scenedesmus sp. PABB004]
N3.HOG0001256	OG0000644	n0									KAF6250454.1 hypothetical protein COO60DRAFT_1682790 [Scenedesmus sp. NREL 46B-D3], KAF6256556.1 hypothetical protein COO60DRAFT_1640628 [Scenedesmus sp. NREL 46B-D3], KAF6260443.1 hypothetical protein COO60DRAFT_1684776 [Scenedesmus sp. NREL 46B-D3], KAF6258429.1 hypothetical protein COO60DRAFT_1701312 [Scenedesmus sp. NREL 46B-D3]	KAF8058879.1 CPL1 [Scenedesmus sp. PABB004]
N3.HOG0001257	OG0000645	n3									KAF6260532.1 Mg-protoporphyrin IX monomethyl ester oxidative cyclase 2 [Scenedesmus sp. NREL 46B-D3]	KAF8071252.1 CTH1 [Scenedesmus sp. PABB004]
N3.HOG0001258	OG0000645	n4									KAF6259712.1 copper target-like protein 1 protein [Scenedesmus sp. NREL 46B-D3]	KAF8065443.1 CTH1 [Scenedesmus sp. PABB004]
N3.HOG0001259	OG0000646	n1									KAF6251923.1 WD40 repeat-like protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001260	OG0000646	n7									KAF6257736.1 transcriptional repressor TCF25-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8059753.1 TCF25 [Scenedesmus sp. PABB004]
N3.HOG0001261	OG0000647	n0									KAF6259138.1 hypothetical protein COO60DRAFT_1514679 [Scenedesmus sp. NREL 46B-D3]	KAF8072382.1 CBSCBS2 [Scenedesmus sp. PABB004]
N3.HOG0001262	OG0000648	n2									KAF6257992.1 hypothetical protein COO60DRAFT_1163089 [Scenedesmus sp. NREL 46B-D3]	KAF8055999.1 tRNA-dihydrouridine_47_ synthase [NAD_P__+_] [Scenedesmus sp. PABB004]
N3.HOG0001263	OG0000648	n9									KAF6261943.1 tRNA-dihydrouridine synthase [Scenedesmus sp. NREL 46B-D3]	KAF8063726.1 DUS3L [Scenedesmus sp. PABB004]
N3.HOG0001264	OG0000649	n4									KAF6254392.1 triose-phosphate transporter family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8065957.1 hypothetical protein HT031_003018 [Scenedesmus sp. PABB004]
N3.HOG0001265	OG0000649	n5									KAF6258687.1 diaminopimelate decarboxylase [Scenedesmus sp. NREL 46B-D3]	KAF8059202.1 LYSA1 [Scenedesmus sp. PABB004]
N3.HOG0001266	OG0000650	n1										KAF8060610.1 MMK1 [Scenedesmus sp. PABB004]
N3.HOG0001267	OG0000650	n6									KAF6259593.1 mitogen-activated protein kinase [Scenedesmus sp. NREL 46B-D3]	KAF8069371.1 MPK4b [Scenedesmus sp. PABB004]
N3.HOG0001268	OG0000651	n2									KAF6260629.1 hypothetical protein COO60DRAFT_1505577 [Scenedesmus sp. NREL 46B-D3]	KAF8067366.1 ADS3 [Scenedesmus sp. PABB004]
N3.HOG0001269	OG0000651	n10									KAF6263309.1 fatty acid desaturase-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6260540.1 MGDG specific palmitate delta-7 desaturase [Scenedesmus sp. NREL 46B-D3]	KAF8071250.1 ADS3 [Scenedesmus sp. PABB004]
N3.HOG0001270	OG0000652	n0										KAF8063022.1 TGD3 [Scenedesmus sp. PABB004]
N3.HOG0001271	OG0000653	n5									KAF6266722.1 aspartate semialdehyde dehydrogenase [Scenedesmus sp. NREL 46B-D3]	KAF8072900.1 asd [Scenedesmus sp. PABB004]
N3.HOG0001272	OG0000653	n6									KAF6258595.1 hypothetical protein COO60DRAFT_1101716 [Scenedesmus sp. NREL 46B-D3]	KAF8064545.1 Ank3 [Scenedesmus sp. PABB004]
N3.HOG0001273	OG0000654	n2									KAF6256078.1 Mur ligase [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001274	OG0000654	n9									KAF6259155.1 hypothetical protein COO60DRAFT_1460310 [Scenedesmus sp. NREL 46B-D3]	KAF8072386.1 ncbp3 [Scenedesmus sp. PABB004]
N3.HOG0001275	OG0000655	n0									KAF6253725.1 hypothetical protein COO60DRAFT_1667884 [Scenedesmus sp. NREL 46B-D3]	KAF8066175.1 hypothetical protein HT031_002497 [Scenedesmus sp. PABB004]
N3.HOG0001276	OG0000656	n3									KAF6262884.1 hypothetical protein COO60DRAFT_1624791 [Scenedesmus sp. NREL 46B-D3]	KAF8061890.1 Cfap57 [Scenedesmus sp. PABB004]
N3.HOG0001277	OG0000656	n9									KAF6256779.1 putative methyltransferase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8064582.1 tRNA _guanine-N_7_-_-methyltransferase [Scenedesmus sp. PABB004]
N3.HOG0001278	OG0000657	n3									KAF6262262.1 ubiquitin-conjugating enzyme/RWD-like protein [Scenedesmus sp. NREL 46B-D3]	KAF8056383.1 UBC2 [Scenedesmus sp. PABB004]
N3.HOG0001279	OG0000657	n9									KAF6258342.1 ubiquitin-conjugating enzyme/RWD-like protein [Scenedesmus sp. NREL 46B-D3]	KAF8069445.1 UBC2 [Scenedesmus sp. PABB004]
N3.HOG0001280	OG0000658	n1									KAF6262957.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	KAF8061952.1 hypothetical protein HT031_004212 [Scenedesmus sp. PABB004]
N3.HOG0001281	OG0000658	n5									KAF6265929.1 hypothetical protein COO60DRAFT_769858 [Scenedesmus sp. NREL 46B-D3], KAF6265927.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	KAF8071083.1 THO3 [Scenedesmus sp. PABB004]
N3.HOG0001282	OG0000659	n3									KAF6252916.1 SNF2 family N-terminal domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001283	OG0000659	n6									KAF6259945.1 hypothetical protein COO60DRAFT_947165 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001284	OG0000660	n3									KAF6266345.1 component of 80S ribosome and 40S small subunit [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001285	OG0000660	n11									KAF6257922.1 hypothetical protein COO60DRAFT_1521190_ partial [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001286	OG0000661	n0									KAF6261306.1 hypothetical protein COO60DRAFT_1699870 [Scenedesmus sp. NREL 46B-D3]	KAF8071310.1 ODA9 [Scenedesmus sp. PABB004]
N3.HOG0001287	OG0000662	n2									KAF6249725.1 hypothetical protein COO60DRAFT_1706386 [Scenedesmus sp. NREL 46B-D3]	KAF8058854.1 hypothetical protein HT031_005422 [Scenedesmus sp. PABB004]
N3.HOG0001288	OG0000662	n8									KAF6256312.1 hypothetical protein COO60DRAFT_1627219 [Scenedesmus sp. NREL 46B-D3]	KAF8056431.1 hypothetical protein HT031_006288 [Scenedesmus sp. PABB004]
N3.HOG0001289	OG0000664	n0									KAF6249780.1 hypothetical protein COO60DRAFT_1579329 [Scenedesmus sp. NREL 46B-D3], KAF6257804.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	KAF8065536.1 wdr82 [Scenedesmus sp. PABB004]
N3.HOG0001290	OG0000665	n0									KAF6252612.1 hypothetical protein COO60DRAFT_1552333 [Scenedesmus sp. NREL 46B-D3], KAF6256126.1 hypothetical protein COO60DRAFT_143999 [Scenedesmus sp. NREL 46B-D3], KAF6252756.1 hypothetical protein COO60DRAFT_503070 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001291	OG0000666	n0									KAF6258810.1 acyl carrier protein [Scenedesmus sp. NREL 46B-D3]	KAF8061963.1 acpP1 [Scenedesmus sp. PABB004]
N3.HOG0001292	OG0000667	n1									KAF6261625.1 ribosomal L27 protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001293	OG0000667	n8									KAF6250333.1 ribosomal L27 protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001294	OG0000668	n1									KAF6263611.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001295	OG0000668	n12									KAF6262739.1 hypothetical protein COO60DRAFT_1699155 [Scenedesmus sp. NREL 46B-D3]	KAF8058465.1 hypothetical protein HT031_005589 [Scenedesmus sp. PABB004]
N3.HOG0001296	OG0000669	n1									KAF6252539.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3], KAF6252540.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3], KAF6252542.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3]	KAF8059655.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. PABB004]
N3.HOG0001297	OG0000669	n10									KAF6263359.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001298	OG0000670	n0									KAF6254761.1 hypothetical protein COO60DRAFT_285516 [Scenedesmus sp. NREL 46B-D3]	KAF8072827.1 hypothetical protein HT031_000487 [Scenedesmus sp. PABB004]
N3.HOG0001299	OG0000671	n2									KAF6256769.1 hypothetical protein COO60DRAFT_1296048 [Scenedesmus sp. NREL 46B-D3]	KAF8064588.1 POLR3F [Scenedesmus sp. PABB004]
N3.HOG0001300	OG0000671	n6									KAF6256768.1 RNA polymerase Rpc34 subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001301	OG0000672	n0									KAF6257188.1 hypothetical protein COO60DRAFT_1701956 [Scenedesmus sp. NREL 46B-D3]	KAF8061171.1 ABCG2 [Scenedesmus sp. PABB004]
N3.HOG0001302	OG0000673	n3									KAF6262182.1 solanesyl diphosphate synthase [Scenedesmus sp. NREL 46B-D3]	KAF8071361.1 SPS3 [Scenedesmus sp. PABB004]
N3.HOG0001303	OG0000673	n9									KAF6259770.1 hypothetical protein COO60DRAFT_972597 [Scenedesmus sp. NREL 46B-D3], KAF6259766.1 hypothetical protein COO60DRAFT_1511004 [Scenedesmus sp. NREL 46B-D3]	KAF8061130.1 ENV9 [Scenedesmus sp. PABB004]
N3.HOG0001304	OG0000674	n3									KAF6259545.1 hypothetical protein COO60DRAFT_1004200 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001305	OG0000674	n9									KAF6259544.1 hypothetical protein COO60DRAFT_1004323 [Scenedesmus sp. NREL 46B-D3], KAF6266504.1 hypothetical protein COO60DRAFT_1265623 [Scenedesmus sp. NREL 46B-D3], KAF6259547.1 hypothetical protein COO60DRAFT_1294817 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001306	OG0000675	n0									KAF6256906.1 hypothetical protein COO60DRAFT_1656220 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001307	OG0000676	n0									KAF6262523.1 hypothetical protein COO60DRAFT_1495501 [Scenedesmus sp. NREL 46B-D3]	KAF8073045.1 LSM1A [Scenedesmus sp. PABB004]
N3.HOG0001308	OG0000677	n0									KAF6262278.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]	KAF8072487.1 Glutamate decarboxylase [Scenedesmus sp. PABB004]
N3.HOG0001309	OG0000678	n4									KAF6254309.1 E3 ubiquitin ligase [Scenedesmus sp. NREL 46B-D3]	KAF8064669.1 SKP1B [Scenedesmus sp. PABB004]
N3.HOG0001310	OG0000678	n5									KAF6265082.1 Gar1/Naf1 RNA binding region-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8062103.1 hypothetical protein HT031_004363 [Scenedesmus sp. PABB004]
N3.HOG0001311	OG0000679	n4									KAF6264887.1 ribosomal protein L17 [Scenedesmus sp. NREL 46B-D3]	KAF8067226.1 Nat9 [Scenedesmus sp. PABB004]
N3.HOG0001312	OG0000679	n5									KAF6264969.1 hypothetical protein COO60DRAFT_1694712_ partial [Scenedesmus sp. NREL 46B-D3]	KAF8070910.1 GPX6 [Scenedesmus sp. PABB004]
N3.HOG0001313	OG0000680	n0									KAF6263820.1 hypothetical protein COO60DRAFT_1488684 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001314	OG0000681	n3									KAF6266034.1 RNA pol II accessory factor_ Cdc73 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8059437.1 CDC73 [Scenedesmus sp. PABB004]
N3.HOG0001315	OG0000681	n9									KAF6265071.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	KAF8062100.1 ELP2 [Scenedesmus sp. PABB004]
N3.HOG0001316	OG0000682	n2									KAF6256253.1 hypothetical protein COO60DRAFT_130697 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001317	OG0000682	n3									KAF6256254.1 hypothetical protein COO60DRAFT_1530230 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001318	OG0000684	n0									KAF6265677.1 hypothetical protein COO60DRAFT_1697673 [Scenedesmus sp. NREL 46B-D3]	KAF8061392.1 cfaD [Scenedesmus sp. PABB004], KAF8061334.1 cfaD [Scenedesmus sp. PABB004]
N3.HOG0001319	OG0000685	n0									KAF6252577.1 galactose oxidase [Scenedesmus sp. NREL 46B-D3]	KAF8056441.1 ACBP4 [Scenedesmus sp. PABB004]
N3.HOG0001320	OG0000686	n5									KAF6251836.1 30S ribosomal protein S12 [Scenedesmus sp. NREL 46B-D3]	KAF8057098.1 rpsL [Scenedesmus sp. PABB004]
N3.HOG0001321	OG0000686	n8									KAF6262151.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253799.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255661.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253982.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8060551.1 apr [Scenedesmus sp. PABB004]
N3.HOG0001322	OG0000686	n12									KAF6251838.1 hypothetical protein COO60DRAFT_580039 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001323	OG0000687	n5									KAF6251977.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	KAF8069622.1 RH35 [Scenedesmus sp. PABB004]
N3.HOG0001324	OG0000687	n7									KAF6265169.1 CDC45-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001325	OG0000688	n0									KAF6250964.1 hypothetical protein COO60DRAFT_1678393 [Scenedesmus sp. NREL 46B-D3], KAF6257766.1 glycoside hydrolase superfamily [Scenedesmus sp. NREL 46B-D3]	KAF8072582.1 nmd3 [Scenedesmus sp. PABB004]
N3.HOG0001326	OG0000689	n4									KAF6261836.1 2-isopropylmalate synthase [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001327	OG0000689	n8									KAF6259364.1 2-isopropylmalate synthase [Scenedesmus sp. NREL 46B-D3]	KAF8065927.1 IPMS1 [Scenedesmus sp. PABB004]
N3.HOG0001328	OG0000690	n4									KAF6264942.1 acyl transferase/acyl hydrolase/lysophospholipase [Scenedesmus sp. NREL 46B-D3]	KAF8070879.1 hypothetical protein HT031_000960 [Scenedesmus sp. PABB004]
N3.HOG0001329	OG0000690	n10									KAF6263050.1 peptidase family S49-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8062053.1 sppA [Scenedesmus sp. PABB004]
N3.HOG0001330	OG0000691	n4									KAF6255696.1 NAD_P_-binding protein [Scenedesmus sp. NREL 46B-D3]	KAF8057736.1 hypothetical protein HT031_005920 [Scenedesmus sp. PABB004]
N3.HOG0001331	OG0000691	n5									KAF6263832.1 hypothetical protein COO60DRAFT_1751935 [Scenedesmus sp. NREL 46B-D3], KAF6250067.1 hypothetical protein COO60DRAFT_912483 [Scenedesmus sp. NREL 46B-D3]	KAF8059659.1 slc38a10 [Scenedesmus sp. PABB004]
N3.HOG0001332	OG0000692	n2									KAF6263567.1 hypothetical protein COO60DRAFT_1282230 [Scenedesmus sp. NREL 46B-D3]	KAF8065512.1 EXOSC8 [Scenedesmus sp. PABB004]
N3.HOG0001333	OG0000692	n8									KAF6252117.1 Oxoglutarate and iron-dependent oxygenase degradation C-term-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8057154.1 Ogd [Scenedesmus sp. PABB004], KAF8060096.1 Ogd [Scenedesmus sp. PABB004]
N3.HOG0001334	OG0000693	n0									KAF6259217.1 MRG-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6259714.1 dihydrouridine synthase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8065442.1 HAP2 [Scenedesmus sp. PABB004]
N3.HOG0001335	OG0000694	n0									KAF6256705.1 hypothetical protein COO60DRAFT_1640499 [Scenedesmus sp. NREL 46B-D3], KAF6251786.1 hypothetical protein COO60DRAFT_584986 [Scenedesmus sp. NREL 46B-D3]	KAF8070979.1 hddc2 [Scenedesmus sp. PABB004], KAF8067123.1 Ccdc61 [Scenedesmus sp. PABB004]
N3.HOG0001336	OG0000695	n0									KAF6263806.1 ABC-2 type transporter-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8059669.1 ABCG36 [Scenedesmus sp. PABB004]
N3.HOG0001337	OG0000696	n2									KAF6258902.1 hypothetical protein COO60DRAFT_1626257 [Scenedesmus sp. NREL 46B-D3]	KAF8069395.1 hypothetical protein HT031_001510 [Scenedesmus sp. PABB004]
N3.HOG0001338	OG0000696	n3									KAF6258870.1 hypothetical protein COO60DRAFT_1460453 [Scenedesmus sp. NREL 46B-D3]	KAF8055119.1 RPL34 [Scenedesmus sp. PABB004]
N3.HOG0001339	OG0000697	n0									KAF6260566.1 hypothetical protein COO60DRAFT_884459 [Scenedesmus sp. NREL 46B-D3], KAF6255221.1 peptide deformylase [Scenedesmus sp. NREL 46B-D3]	KAF8068188.1 hypothetical protein HT031_001874 [Scenedesmus sp. PABB004]
N3.HOG0001340	OG0000698	n1									KAF6259040.1 hypothetical protein COO60DRAFT_1701005 [Scenedesmus sp. NREL 46B-D3]	KAF8062040.1 hypothetical protein HT031_004300 [Scenedesmus sp. PABB004]
N3.HOG0001341	OG0000698	n8									KAF6254115.1 hypothetical protein COO60DRAFT_351797 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001342	OG0000699	n3									KAF6254896.1 hypothetical protein COO60DRAFT_276890 [Scenedesmus sp. NREL 46B-D3], KAF6262639.1 hypothetical protein COO60DRAFT_601225 [Scenedesmus sp. NREL 46B-D3]	KAF8065595.1 hypothetical protein HT031_003196 [Scenedesmus sp. PABB004]
N3.HOG0001343	OG0000699	n6									KAF6253174.1 carbohydrate-binding-like protein [Scenedesmus sp. NREL 46B-D3], KAF6253175.1 hypothetical protein COO60DRAFT_463560 [Scenedesmus sp. NREL 46B-D3]	KAF8058890.1 zinc finger CCCH domain-containing protein 56 [Scenedesmus sp. PABB004]
N3.HOG0001344	OG0000700	n3									KAF6266253.1 hypothetical protein COO60DRAFT_444001 [Scenedesmus sp. NREL 46B-D3]	KAF8057899.1 Ppie [Scenedesmus sp. PABB004]
N3.HOG0001345	OG0000700	n9									KAF6261576.1 hypothetical protein COO60DRAFT_754300 [Scenedesmus sp. NREL 46B-D3]	KAF8063686.1 hypothetical protein HT031_003541 [Scenedesmus sp. PABB004]
N3.HOG0001346	OG0000701	n2									KAF6253076.1 ABC1 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8067109.1 ABC1 family protein [Scenedesmus sp. PABB004], KAF8054611.1 ABC1 family protein [Scenedesmus sp. PABB004]
N3.HOG0001347	OG0000701	n10									KAF6264395.1 hypothetical protein COO60DRAFT_1457553 [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001348	OG0000702	n0									KAF6258525.1 hypothetical protein COO60DRAFT_1691963 [Scenedesmus sp. NREL 46B-D3]	KAF8066289.1 mfsd5 [Scenedesmus sp. PABB004], KAF8056749.1 MFSD5 [Scenedesmus sp. PABB004]
N3.HOG0001349	OG0000703	n3									KAF6266091.1 putative carbon-nitrogen family hydrolase [Scenedesmus sp. NREL 46B-D3]	KAF8059458.1 hypothetical protein HT031_005263 [Scenedesmus sp. PABB004]
N3.HOG0001350	OG0000703	n9									KAF6259030.1 putative translation releasing factor2 [Scenedesmus sp. NREL 46B-D3]	KAF8073112.1 PRFB1 [Scenedesmus sp. PABB004]
N3.HOG0001351	OG0000704	n0									KAF6253983.1 transmembrane protein 18-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8060550.1 TMEM18 [Scenedesmus sp. PABB004]
N3.HOG0001352	OG0000705	n0									KAF6252535.1 hypothetical protein COO60DRAFT_1463630 [Scenedesmus sp. NREL 46B-D3]	KAF8059153.1 hypothetical protein HT031_005325 [Scenedesmus sp. PABB004], KAF8059657.1 hypothetical protein HT031_005065 [Scenedesmus sp. PABB004]
N3.HOG0001353	OG0000706	n2									KAF6251329.1 uracil phosphoribosyltransferase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8062067.1 UKL1 [Scenedesmus sp. PABB004]
N3.HOG0001354	OG0000706	n3									KAF6263602.1 uracil phosphoribosyltransferase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8072566.1 UKL1 [Scenedesmus sp. PABB004]
N3.HOG0001355	OG0000707	n1									KAF6249925.1 ubiquitin-fold modifier-conjugating enzyme 1 [Scenedesmus sp. NREL 46B-D3]	KAF8056394.1 ufc1 [Scenedesmus sp. PABB004]
N3.HOG0001356	OG0000707	n8									KAF6262295.1 BTB/POZ protein [Scenedesmus sp. NREL 46B-D3]	KAF8056387.1 USP42 [Scenedesmus sp. PABB004]
N3.HOG0001357	OG0000707	n10									KAF6262287.1 NAD_P_-binding protein [Scenedesmus sp. NREL 46B-D3]	
N3.HOG0001358	OG0000708	n0									KAF6262363.1 methionine adenosyltransferase regulatory beta subunit-related [Scenedesmus sp. NREL 46B-D3]	KAF8059151.1 mat2b [Scenedesmus sp. PABB004]
N3.HOG0001359	OG0000709	n3									KAF6256236.1 hypothetical protein COO60DRAFT_1702438 [Scenedesmus sp. NREL 46B-D3]	KAF8065577.1 hypothetical protein HT031_003178 [Scenedesmus sp. PABB004]
N3.HOG0001360	OG0000709	n5									KAF6251704.1 A1 cistron-splicing factor [Scenedesmus sp. NREL 46B-D3], KAF6250924.1 AAR2-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	
