Orthogroup	Auxenochlorella_protothecoides	Chlorella_VariabilisNC64A
OG0000274	RMZ57257.1 hypothetical protein APUTEX25_004091_ partial [Auxenochlorella protothecoides]	XP_005851725.1 hypothetical protein CHLNCDRAFT_133066 [Chlorella variabilis]
OG0000276	RMZ57398.1 hypothetical protein APUTEX25_004232_ partial [Auxenochlorella protothecoides]	XP_005843894.1 expressed protein [Chlorella variabilis], XP_005843916.1 hypothetical protein CHLNCDRAFT_139804 [Chlorella variabilis]
OG0000283	RMZ52062.1 hypothetical protein APUTEX25_001256 [Auxenochlorella protothecoides]	XP_005849049.1 hypothetical protein CHLNCDRAFT_51217 [Chlorella variabilis]
OG0000284	RMZ56095.1 hypothetical protein APUTEX25_004519 [Auxenochlorella protothecoides], RMZ52182.1 hypothetical protein APUTEX25_001572 [Auxenochlorella protothecoides]	XP_005846850.1 hypothetical protein CHLNCDRAFT_58029 [Chlorella variabilis], XP_005844148.1 hypothetical protein CHLNCDRAFT_54633 [Chlorella variabilis], XP_005843039.1 hypothetical protein CHLNCDRAFT_141589 [Chlorella variabilis]
OG0000285	RMZ52333.1 hypothetical protein APUTEX25_005086 [Auxenochlorella protothecoides]	XP_005849899.1 hypothetical protein CHLNCDRAFT_51094 [Chlorella variabilis], XP_005850708.1 hypothetical protein CHLNCDRAFT_34209 [Chlorella variabilis]
OG0000286	RMZ52563.1 hypothetical protein APUTEX25_003706_ partial [Auxenochlorella protothecoides]	XP_005848923.1 hypothetical protein CHLNCDRAFT_144368 [Chlorella variabilis]
OG0000286	RMZ52497.1 hypothetical protein APUTEX25_003640 [Auxenochlorella protothecoides]	XP_005850211.1 hypothetical protein CHLNCDRAFT_57156 [Chlorella variabilis], XP_005851030.1 hypothetical protein CHLNCDRAFT_50471 [Chlorella variabilis]
OG0000287	RMZ56196.1 hypothetical protein APUTEX25_002386 [Auxenochlorella protothecoides]	XP_005845787.1 hypothetical protein CHLNCDRAFT_36362 [Chlorella variabilis]
OG0000287	RMZ52611.1 hypothetical protein APUTEX25_000730 [Auxenochlorella protothecoides]	XP_005845898.1 hypothetical protein CHLNCDRAFT_36359 [Chlorella variabilis]
OG0000288	RMZ52756.1 hypothetical protein APUTEX25_000875 [Auxenochlorella protothecoides]	XP_005848338.1 hypothetical protein CHLNCDRAFT_51905 [Chlorella variabilis], XP_005844893.1 hypothetical protein CHLNCDRAFT_138435 [Chlorella variabilis]
OG0000290	RMZ57411.1 hypothetical protein APUTEX25_004245_ partial [Auxenochlorella protothecoides]	XP_005851745.1 hypothetical protein CHLNCDRAFT_56489 [Chlorella variabilis]
OG0000290	RMZ52846.1 hypothetical protein APUTEX25_000965 [Auxenochlorella protothecoides]	XP_005847707.1 hypothetical protein CHLNCDRAFT_52224 [Chlorella variabilis]
OG0000291	RMZ55210.1 hypothetical protein APUTEX25_005488 [Auxenochlorella protothecoides]	XP_005850496.1 hypothetical protein CHLNCDRAFT_13809_ partial [Chlorella variabilis]
OG0000292	RMZ55562.1 hypothetical protein APUTEX25_000145 [Auxenochlorella protothecoides]	XP_005848627.1 hypothetical protein CHLNCDRAFT_144148 [Chlorella variabilis]
OG0000292	RMZ57686.1 hypothetical protein APUTEX25_001886_ partial [Auxenochlorella protothecoides], RMZ52969.1 hypothetical protein APUTEX25_001088_ partial [Auxenochlorella protothecoides]	XP_005844432.1 hypothetical protein CHLNCDRAFT_54573 [Chlorella variabilis], XP_005842726.1 hypothetical protein CHLNCDRAFT_55709 [Chlorella variabilis], XP_005844340.1 hypothetical protein CHLNCDRAFT_139110 [Chlorella variabilis], XP_005844338.1 hypothetical protein CHLNCDRAFT_139108 [Chlorella variabilis], XP_005844339.1 hypothetical protein CHLNCDRAFT_139109 [Chlorella variabilis]
OG0000293	RMZ52997.1 hypothetical protein APUTEX25_001116_ partial [Auxenochlorella protothecoides]	XP_005847963.1 hypothetical protein CHLNCDRAFT_35323 [Chlorella variabilis], XP_005849129.1 hypothetical protein CHLNCDRAFT_143714 [Chlorella variabilis]
OG0000294	RMZ53050.1 hypothetical protein APUTEX25_001169_ partial [Auxenochlorella protothecoides]	XP_005847526.1 hypothetical protein CHLNCDRAFT_134573 [Chlorella variabilis]
OG0000295	RMZ54086.1 hypothetical protein APUTEX25_002663 [Auxenochlorella protothecoides]	XP_005848292.1 hypothetical protein CHLNCDRAFT_144920 [Chlorella variabilis]
OG0000295	RMZ53141.1 hypothetical protein APUTEX25_005130 [Auxenochlorella protothecoides]	XP_005844656.1 hypothetical protein CHLNCDRAFT_138533 [Chlorella variabilis], XP_005844657.1 expressed protein [Chlorella variabilis]
OG0000296	RMZ56149.1 hypothetical protein APUTEX25_004573 [Auxenochlorella protothecoides]	XP_005851258.1 hypothetical protein CHLNCDRAFT_138008 [Chlorella variabilis]
OG0000296	RMZ53154.1 hypothetical protein APUTEX25_005143 [Auxenochlorella protothecoides]	XP_005845944.1 hypothetical protein CHLNCDRAFT_135927 [Chlorella variabilis]
OG0000297	RMZ53301.1 hypothetical protein APUTEX25_004789 [Auxenochlorella protothecoides]	XP_005849963.1 hypothetical protein CHLNCDRAFT_143323 [Chlorella variabilis]
OG0000298	RMZ53374.1 hypothetical protein APUTEX25_004862 [Auxenochlorella protothecoides]	XP_005843812.1 hypothetical protein CHLNCDRAFT_54915 [Chlorella variabilis]
OG0000299	RMZ53432.1 hypothetical protein APUTEX25_004920_ partial [Auxenochlorella protothecoides]	XP_005851619.1 hypothetical protein CHLNCDRAFT_18854_ partial [Chlorella variabilis]
OG0000300	RMZ54645.1 hypothetical protein APUTEX25_003023 [Auxenochlorella protothecoides]	XP_005844637.1 hypothetical protein CHLNCDRAFT_58882 [Chlorella variabilis]
OG0000301	RMZ53669.1 hypothetical protein APUTEX25_003203 [Auxenochlorella protothecoides]	XP_005846374.1 hypothetical protein CHLNCDRAFT_135840 [Chlorella variabilis]
OG0000302	RMZ55097.1 hypothetical protein APUTEX25_005723_ partial [Auxenochlorella protothecoides]	XP_005842935.1 hypothetical protein CHLNCDRAFT_6977_ partial [Chlorella variabilis]
OG0000302	RMZ53675.1 hypothetical protein APUTEX25_003209 [Auxenochlorella protothecoides]	XP_005850901.1 hypothetical protein CHLNCDRAFT_140589 [Chlorella variabilis]
OG0000303	RMZ53685.1 hypothetical protein APUTEX25_003219 [Auxenochlorella protothecoides]	XP_005845930.1 hypothetical protein CHLNCDRAFT_36395 [Chlorella variabilis]
OG0000303	RMZ55991.1 hypothetical protein APUTEX25_004415 [Auxenochlorella protothecoides]	XP_005846848.1 hypothetical protein CHLNCDRAFT_134643 [Chlorella variabilis]
OG0000304	RMZ54339.1 hypothetical protein APUTEX25_001497 [Auxenochlorella protothecoides]	XP_005845253.1 hypothetical protein CHLNCDRAFT_136923 [Chlorella variabilis]
OG0000304	RMZ53724.1 hypothetical protein APUTEX25_003258 [Auxenochlorella protothecoides]	XP_005849062.1 hypothetical protein CHLNCDRAFT_21811_ partial [Chlorella variabilis]
OG0000304	RMZ54285.1 hypothetical protein APUTEX25_001443 [Auxenochlorella protothecoides]	XP_005845252.1 hypothetical protein CHLNCDRAFT_136922 [Chlorella variabilis]
OG0000305	RMZ54467.1 hypothetical protein APUTEX25_002043 [Auxenochlorella protothecoides]	XP_005844889.1 hypothetical protein CHLNCDRAFT_10712_ partial [Chlorella variabilis]
OG0000305	RMZ53768.1 hypothetical protein APUTEX25_003907 [Auxenochlorella protothecoides]	XP_005850889.1 hypothetical protein CHLNCDRAFT_34102 [Chlorella variabilis]
OG0000306	RMZ53984.1 hypothetical protein APUTEX25_002561 [Auxenochlorella protothecoides]	XP_005848225.1 expressed protein [Chlorella variabilis], XP_005848224.1 hypothetical protein CHLNCDRAFT_144739 [Chlorella variabilis], XP_005848222.1 expressed protein [Chlorella variabilis]
OG0000307	RMZ54062.1 hypothetical protein APUTEX25_002639 [Auxenochlorella protothecoides]	XP_005848304.1 hypothetical protein CHLNCDRAFT_144950 [Chlorella variabilis], XP_005848305.1 hypothetical protein CHLNCDRAFT_35132 [Chlorella variabilis]
OG0000309	RMZ54130.1 hypothetical protein APUTEX25_005286 [Auxenochlorella protothecoides]	XP_005848993.1 hypothetical protein CHLNCDRAFT_144557 [Chlorella variabilis], XP_005848451.1 hypothetical protein CHLNCDRAFT_144828 [Chlorella variabilis]
OG0000310	RMZ54372.1 hypothetical protein APUTEX25_001948 [Auxenochlorella protothecoides]	XP_005844908.1 hypothetical protein CHLNCDRAFT_54241 [Chlorella variabilis], XP_005844909.1 hypothetical protein CHLNCDRAFT_138468 [Chlorella variabilis]
OG0000310	RMZ56953.1 hypothetical protein APUTEX25_005015 [Auxenochlorella protothecoides]	XP_005847264.1 hypothetical protein CHLNCDRAFT_59679 [Chlorella variabilis]
OG0000311	RMZ54663.1 hypothetical protein APUTEX25_003041 [Auxenochlorella protothecoides]	XP_005850365.1 hypothetical protein CHLNCDRAFT_34412 [Chlorella variabilis], XP_005845955.1 hypothetical protein CHLNCDRAFT_53335 [Chlorella variabilis]
OG0000312	RMZ54951.1 hypothetical protein APUTEX25_000468 [Auxenochlorella protothecoides]	XP_005847619.1 hypothetical protein CHLNCDRAFT_133932 [Chlorella variabilis]
OG0000313	RMZ55080.1 hypothetical protein APUTEX25_005706_ partial [Auxenochlorella protothecoides]	XP_005847503.1 hypothetical protein CHLNCDRAFT_23609_ partial [Chlorella variabilis]
OG0000313	RMZ55176.1 hypothetical protein APUTEX25_005454_ partial [Auxenochlorella protothecoides]	XP_005849509.1 hypothetical protein CHLNCDRAFT_30336 [Chlorella variabilis], XP_005842625.1 hypothetical protein CHLNCDRAFT_141395_ partial [Chlorella variabilis]
OG0000314	RMZ55292.1 hypothetical protein APUTEX25_003430 [Auxenochlorella protothecoides]	XP_005847151.1 hypothetical protein CHLNCDRAFT_35821 [Chlorella variabilis], XP_005847150.1 hypothetical protein CHLNCDRAFT_134907 [Chlorella variabilis]
OG0000315	RMZ55874.1 hypothetical protein APUTEX25_003840_ partial [Auxenochlorella protothecoides]	XP_005852304.1 hypothetical protein CHLNCDRAFT_59481 [Chlorella variabilis], XP_005846168.1 hypothetical protein CHLNCDRAFT_136163 [Chlorella variabilis]
OG0000315	RMZ55539.1 hypothetical protein APUTEX25_000122 [Auxenochlorella protothecoides]	XP_005843373.1 hypothetical protein CHLNCDRAFT_37464 [Chlorella variabilis]
OG0000316	RMZ55571.1 hypothetical protein APUTEX25_000154 [Auxenochlorella protothecoides]	XP_005849873.1 hypothetical protein CHLNCDRAFT_21181_ partial [Chlorella variabilis]
OG0000316	RMZ56868.1 hypothetical protein APUTEX25_002957_ partial [Auxenochlorella protothecoides]	XP_005842593.1 hypothetical protein CHLNCDRAFT_55867_ partial [Chlorella variabilis], XP_005849872.1 hypothetical protein CHLNCDRAFT_143098_ partial [Chlorella variabilis]
OG0000317	RMZ55600.1 hypothetical protein APUTEX25_000183 [Auxenochlorella protothecoides]	XP_005848629.1 hypothetical protein CHLNCDRAFT_30648 [Chlorella variabilis]
OG0000317	RMZ57048.1 hypothetical protein APUTEX25_002280_ partial [Auxenochlorella protothecoides]	XP_005847625.1 26S proteasome AAA-ATPase subunit RPT2a [Chlorella variabilis]
OG0000318	RMZ56220.1 hypothetical protein APUTEX25_002410 [Auxenochlorella protothecoides]	XP_005844510.1 hypothetical protein CHLNCDRAFT_138882 [Chlorella variabilis], XP_005844599.1 hypothetical protein CHLNCDRAFT_138875 [Chlorella variabilis]
OG0000320	RMZ55896.1 hypothetical protein APUTEX25_003862_ partial [Auxenochlorella protothecoides]	XP_005846023.1 hypothetical protein CHLNCDRAFT_136135 [Chlorella variabilis], XP_005852051.1 hypothetical protein CHLNCDRAFT_14012_ partial [Chlorella variabilis]
OG0000321	RMZ55997.1 hypothetical protein APUTEX25_004421 [Auxenochlorella protothecoides]	XP_005847616.1 hypothetical protein CHLNCDRAFT_59671 [Chlorella variabilis]
OG0000322	RMZ56086.1 hypothetical protein APUTEX25_004510 [Auxenochlorella protothecoides]	XP_005847772.1 hypothetical protein CHLNCDRAFT_133895 [Chlorella variabilis], XP_005842985.1 hypothetical protein CHLNCDRAFT_59380 [Chlorella variabilis], XP_005850170.1 hypothetical protein CHLNCDRAFT_142340 [Chlorella variabilis], XP_005852258.1 hypothetical protein CHLNCDRAFT_133606 [Chlorella variabilis]
OG0000324	RMZ56261.1 hypothetical protein APUTEX25_002451 [Auxenochlorella protothecoides]	XP_005844582.1 hypothetical protein CHLNCDRAFT_26697_ partial [Chlorella variabilis]
OG0000324	RMZ56708.1 hypothetical protein APUTEX25_002797 [Auxenochlorella protothecoides]	XP_005844581.1 hypothetical protein CHLNCDRAFT_138835 [Chlorella variabilis]
OG0000325	RMZ56691.1 hypothetical protein APUTEX25_002780 [Auxenochlorella protothecoides]	XP_005843519.1 hypothetical protein CHLNCDRAFT_55134 [Chlorella variabilis]
OG0000326	RMZ57020.1 hypothetical protein APUTEX25_002252 [Auxenochlorella protothecoides]	XP_005846407.1 hypothetical protein CHLNCDRAFT_58222 [Chlorella variabilis], XP_005846805.1 hypothetical protein CHLNCDRAFT_135359 [Chlorella variabilis], XP_005846663.1 hypothetical protein CHLNCDRAFT_135360 [Chlorella variabilis], XP_005851056.1 hypothetical protein CHLNCDRAFT_50501 [Chlorella variabilis], XP_005851835.1 hypothetical protein CHLNCDRAFT_133328 [Chlorella variabilis], XP_005847773.1 hypothetical protein CHLNCDRAFT_133896 [Chlorella variabilis], XP_005851649.1 hypothetical protein CHLNCDRAFT_138228 [Chlorella variabilis], XP_005845169.1 hypothetical protein CHLNCDRAFT_137356 [Chlorella variabilis], XP_005843545.1 hypothetical protein CHLNCDRAFT_140162 [Chlorella variabilis]
OG0000327	RMZ57138.1 hypothetical protein APUTEX25_003595 [Auxenochlorella protothecoides]	XP_005847159.1 hypothetical protein CHLNCDRAFT_24142_ partial [Chlorella variabilis]
OG0000328	RMZ57410.1 hypothetical protein APUTEX25_004244 [Auxenochlorella protothecoides]	XP_005843413.1 hypothetical protein CHLNCDRAFT_49251 [Chlorella variabilis]
OG0000328	RMZ57529.1 hypothetical protein APUTEX25_001729 [Auxenochlorella protothecoides]	XP_005849257.1 hypothetical protein CHLNCDRAFT_56093 [Chlorella variabilis], XP_005849054.1 hypothetical protein CHLNCDRAFT_17930_ partial [Chlorella variabilis]
OG0000329	RMZ57452.1 hypothetical protein APUTEX25_004286 [Auxenochlorella protothecoides]	XP_005850044.1 hypothetical protein CHLNCDRAFT_57047 [Chlorella variabilis]
OG0000330	RMZ57515.1 hypothetical protein APUTEX25_003758 [Auxenochlorella protothecoides]	XP_005851926.1 hypothetical protein CHLNCDRAFT_59546 [Chlorella variabilis], XP_005851928.1 hypothetical protein CHLNCDRAFT_59547 [Chlorella variabilis], XP_005850965.1 hypothetical protein CHLNCDRAFT_19445_ partial [Chlorella variabilis]
OG0000340	RMZ52175.1 hypothetical protein APUTEX25_001565 [Auxenochlorella protothecoides]	XP_005850990.1 hypothetical protein CHLNCDRAFT_56016 [Chlorella variabilis]
OG0000341	RMZ54961.1 hypothetical protein APUTEX25_000478 [Auxenochlorella protothecoides]	XP_005846222.1 hypothetical protein CHLNCDRAFT_35997_ partial [Chlorella variabilis]
OG0000341	RMZ52210.1 hypothetical protein APUTEX25_001600 [Auxenochlorella protothecoides]	XP_005849110.1 hypothetical protein CHLNCDRAFT_143672 [Chlorella variabilis]
OG0000342	RMZ52237.1 hypothetical protein APUTEX25_001627 [Auxenochlorella protothecoides]	XP_005845124.1 hypothetical protein CHLNCDRAFT_137519 [Chlorella variabilis]
OG0000343	RMZ52246.1 hypothetical protein APUTEX25_001636_ partial [Auxenochlorella protothecoides]	XP_005842816.1 hypothetical protein CHLNCDRAFT_142577 [Chlorella variabilis]
OG0000343	RMZ54940.1 hypothetical protein APUTEX25_000457 [Auxenochlorella protothecoides]	XP_005842818.1 hypothetical protein CHLNCDRAFT_7483_ partial [Chlorella variabilis]
OG0000344	RMZ52250.1 hypothetical protein APUTEX25_001640_ partial [Auxenochlorella protothecoides]	XP_005846213.1 hypothetical protein CHLNCDRAFT_25190 [Chlorella variabilis]
OG0000344	RMZ55172.1 hypothetical protein APUTEX25_005450 [Auxenochlorella protothecoides]	XP_005843263.1 hypothetical protein CHLNCDRAFT_141387 [Chlorella variabilis]
OG0000345	RMZ55426.1 hypothetical protein APUTEX25_003550 [Auxenochlorella protothecoides]	XP_005844289.1 hypothetical protein CHLNCDRAFT_59036 [Chlorella variabilis]
OG0000345	RMZ52273.1 hypothetical protein APUTEX25_001663_ partial [Auxenochlorella protothecoides]	XP_005844384.1 hypothetical protein CHLNCDRAFT_139024 [Chlorella variabilis]
OG0000346	RMZ52313.1 hypothetical protein APUTEX25_005066 [Auxenochlorella protothecoides]	XP_005844208.1 hypothetical protein CHLNCDRAFT_27175 [Chlorella variabilis]
OG0000346	RMZ55584.1 hypothetical protein APUTEX25_000167 [Auxenochlorella protothecoides]	XP_005843206.1 hypothetical protein CHLNCDRAFT_55365 [Chlorella variabilis]
OG0000347	RMZ52402.1 hypothetical protein APUTEX25_000677_ partial [Auxenochlorella protothecoides]	XP_005843989.1 hypothetical protein CHLNCDRAFT_8704_ partial [Chlorella variabilis]
OG0000348	RMZ52448.1 hypothetical protein APUTEX25_000027 [Auxenochlorella protothecoides]	XP_005848044.1 hypothetical protein CHLNCDRAFT_17181_ partial [Chlorella variabilis]
OG0000349	RMZ52778.1 hypothetical protein APUTEX25_000897_ partial [Auxenochlorella protothecoides]	XP_005845850.1 hypothetical protein CHLNCDRAFT_136342 [Chlorella variabilis]
OG0000350	RMZ53274.1 hypothetical protein APUTEX25_005263_ partial [Auxenochlorella protothecoides]	XP_005847197.1 hypothetical protein CHLNCDRAFT_134996 [Chlorella variabilis]
OG0000350	RMZ53139.1 hypothetical protein APUTEX25_005128 [Auxenochlorella protothecoides]	XP_005847196.1 hypothetical protein CHLNCDRAFT_31552 [Chlorella variabilis]
OG0000351	RMZ55866.1 hypothetical protein APUTEX25_003832 [Auxenochlorella protothecoides]	XP_005846183.1 hypothetical protein CHLNCDRAFT_25329_ partial [Chlorella variabilis]
OG0000351	RMZ53286.1 hypothetical protein APUTEX25_005275 [Auxenochlorella protothecoides]	XP_005846328.1 hypothetical protein CHLNCDRAFT_56223 [Chlorella variabilis]
OG0000352	RMZ53381.1 hypothetical protein APUTEX25_004869 [Auxenochlorella protothecoides]	XP_005843767.1 hypothetical protein CHLNCDRAFT_54929 [Chlorella variabilis], XP_005845791.1 hypothetical protein CHLNCDRAFT_136500 [Chlorella variabilis]
OG0000353	RMZ53384.1 hypothetical protein APUTEX25_004872 [Auxenochlorella protothecoides]	XP_005846842.1 hypothetical protein CHLNCDRAFT_35689 [Chlorella variabilis], XP_005842605.1 hypothetical protein CHLNCDRAFT_16011_ partial [Chlorella variabilis]
OG0000354	RMZ53404.1 hypothetical protein APUTEX25_004892 [Auxenochlorella protothecoides]	XP_005842621.1 hypothetical protein CHLNCDRAFT_141574_ partial [Chlorella variabilis]
OG0000354	RMZ56254.1 hypothetical protein APUTEX25_002444 [Auxenochlorella protothecoides]	XP_005844455.1 hypothetical protein CHLNCDRAFT_58959 [Chlorella variabilis]
OG0000355	RMZ54411.1 hypothetical protein APUTEX25_001987_ partial [Auxenochlorella protothecoides]	XP_005843184.1 hypothetical protein CHLNCDRAFT_141464 [Chlorella variabilis]
OG0000356	RMZ53540.1 hypothetical protein APUTEX25_003362 [Auxenochlorella protothecoides]	XP_005850419.1 hypothetical protein CHLNCDRAFT_142335 [Chlorella variabilis]
OG0000356	RMZ55512.1 hypothetical protein APUTEX25_000095 [Auxenochlorella protothecoides]	XP_005850962.1 hypothetical protein CHLNCDRAFT_48551 [Chlorella variabilis]
OG0000357	RMZ53742.1 hypothetical protein APUTEX25_003881 [Auxenochlorella protothecoides]	XP_005847947.1 hypothetical protein CHLNCDRAFT_145403 [Chlorella variabilis], XP_005850718.1 hypothetical protein CHLNCDRAFT_50436 [Chlorella variabilis], XP_005844729.1 hypothetical protein CHLNCDRAFT_138717 [Chlorella variabilis]
OG0000358	RMZ53851.1 hypothetical protein APUTEX25_005597 [Auxenochlorella protothecoides]	XP_005848456.1 hypothetical protein CHLNCDRAFT_144841 [Chlorella variabilis]
OG0000359	RMZ53857.1 hypothetical protein APUTEX25_005603_ partial [Auxenochlorella protothecoides]	XP_005844523.1 hypothetical protein CHLNCDRAFT_138919 [Chlorella variabilis], XP_005844524.1 hypothetical protein CHLNCDRAFT_26830 [Chlorella variabilis]
OG0000360	RMZ54193.1 hypothetical protein APUTEX25_005349 [Auxenochlorella protothecoides]	XP_005848787.1 hypothetical protein CHLNCDRAFT_16992_ partial [Chlorella variabilis]
OG0000361	RMZ56743.1 hypothetical protein APUTEX25_002832 [Auxenochlorella protothecoides]	XP_005849785.1 expressed protein [Chlorella variabilis]
OG0000361	RMZ54200.1 hypothetical protein APUTEX25_005356 [Auxenochlorella protothecoides]	XP_005848082.1 hypothetical protein CHLNCDRAFT_145336 [Chlorella variabilis]
OG0000362	RMZ54367.1 hypothetical protein APUTEX25_001943 [Auxenochlorella protothecoides]	XP_005846340.1 hypothetical protein CHLNCDRAFT_135759 [Chlorella variabilis]
OG0000362	RMZ57739.1 hypothetical protein APUTEX25_001715_ partial [Auxenochlorella protothecoides]	XP_005847152.1 hypothetical protein CHLNCDRAFT_58089 [Chlorella variabilis]
OG0000363	RMZ57098.1 hypothetical protein APUTEX25_002330_ partial [Auxenochlorella protothecoides]	XP_005852061.1 hypothetical protein CHLNCDRAFT_133057 [Chlorella variabilis]
OG0000363	RMZ54463.1 hypothetical protein APUTEX25_002039_ partial [Auxenochlorella protothecoides]	XP_005850270.1 hypothetical protein CHLNCDRAFT_57031 [Chlorella variabilis]
OG0000364	RMZ54507.1 hypothetical protein APUTEX25_002083 [Auxenochlorella protothecoides]	XP_005850940.1 hypothetical protein CHLNCDRAFT_19791_ partial [Chlorella variabilis]
OG0000364	RMZ54871.1 hypothetical protein APUTEX25_000388 [Auxenochlorella protothecoides]	XP_005845878.1 hypothetical protein CHLNCDRAFT_15844_ partial [Chlorella variabilis], XP_005846493.1 hypothetical protein CHLNCDRAFT_53215 [Chlorella variabilis]
OG0000365	RMZ54535.1 hypothetical protein APUTEX25_001707 [Auxenochlorella protothecoides]	XP_005846753.1 hypothetical protein CHLNCDRAFT_52968 [Chlorella variabilis], XP_005850570.1 hypothetical protein CHLNCDRAFT_50241 [Chlorella variabilis], XP_005848779.1 hypothetical protein CHLNCDRAFT_144549 [Chlorella variabilis]
OG0000366	RMZ54558.1 hypothetical protein APUTEX25_002133 [Auxenochlorella protothecoides]	XP_005851231.1 hypothetical protein CHLNCDRAFT_33865 [Chlorella variabilis]
OG0000367	RMZ54655.1 hypothetical protein APUTEX25_003033_ partial [Auxenochlorella protothecoides]	XP_005844530.1 hypothetical protein CHLNCDRAFT_138936 [Chlorella variabilis], XP_005850563.1 hypothetical protein CHLNCDRAFT_140464 [Chlorella variabilis]
OG0000368	RMZ54830.1 hypothetical protein APUTEX25_000347 [Auxenochlorella protothecoides]	XP_005843659.1 hypothetical protein CHLNCDRAFT_140027 [Chlorella variabilis]
OG0000369	RMZ54839.1 hypothetical protein APUTEX25_000356 [Auxenochlorella protothecoides]	XP_005843180.1 hypothetical protein CHLNCDRAFT_141455 [Chlorella variabilis], XP_005843181.1 hypothetical protein CHLNCDRAFT_141456 [Chlorella variabilis], XP_005849684.1 hypothetical protein CHLNCDRAFT_143262 [Chlorella variabilis]
OG0000370	RMZ54901.1 hypothetical protein APUTEX25_000418 [Auxenochlorella protothecoides]	XP_005843889.1 hypothetical protein CHLNCDRAFT_59118_ partial [Chlorella variabilis]
OG0000371	RMZ56858.1 hypothetical protein APUTEX25_002947 [Auxenochlorella protothecoides]	XP_005850581.1 hypothetical protein CHLNCDRAFT_6949_ partial [Chlorella variabilis]
OG0000371	RMZ55118.1 hypothetical protein APUTEX25_005396 [Auxenochlorella protothecoides]	XP_005849481.1 hypothetical protein CHLNCDRAFT_142774 [Chlorella variabilis]
OG0000372	RMZ55120.1 hypothetical protein APUTEX25_005398 [Auxenochlorella protothecoides]	XP_005850810.1 hypothetical protein CHLNCDRAFT_140350 [Chlorella variabilis]
OG0000373	RMZ55177.1 hypothetical protein APUTEX25_005455 [Auxenochlorella protothecoides]	XP_005845699.1 hypothetical protein CHLNCDRAFT_136822 [Chlorella variabilis]
OG0000374	RMZ55186.1 hypothetical protein APUTEX25_005464 [Auxenochlorella protothecoides]	XP_005849751.1 hypothetical protein CHLNCDRAFT_34609 [Chlorella variabilis]
OG0000374	RMZ55200.1 hypothetical protein APUTEX25_005478_ partial [Auxenochlorella protothecoides]	XP_005849750.1 hypothetical protein CHLNCDRAFT_21051_ partial [Chlorella variabilis]
OG0000375	RMZ55260.1 hypothetical protein APUTEX25_005538 [Auxenochlorella protothecoides]	XP_005846575.1 hypothetical protein CHLNCDRAFT_52919 [Chlorella variabilis]
OG0000376	RMZ57235.1 hypothetical protein APUTEX25_004069_ partial [Auxenochlorella protothecoides]	XP_005846161.1 hypothetical protein CHLNCDRAFT_8919_ partial [Chlorella variabilis]
OG0000376	RMZ55269.1 hypothetical protein APUTEX25_005547_ partial [Auxenochlorella protothecoides]	XP_005842701.1 hypothetical protein CHLNCDRAFT_136271_ partial [Chlorella variabilis]
OG0000377	RMZ55473.1 hypothetical protein APUTEX25_000056 [Auxenochlorella protothecoides]	XP_005851388.1 hypothetical protein CHLNCDRAFT_137626 [Chlorella variabilis]
OG0000378	RMZ55931.1 hypothetical protein APUTEX25_004355 [Auxenochlorella protothecoides]	XP_005848878.1 hypothetical protein CHLNCDRAFT_144260 [Chlorella variabilis], XP_005848877.1 hypothetical protein CHLNCDRAFT_144259 [Chlorella variabilis], XP_005847697.1 hypothetical protein CHLNCDRAFT_134129 [Chlorella variabilis], XP_005847695.1 hypothetical protein CHLNCDRAFT_57899 [Chlorella variabilis], XP_005848879.1 hypothetical protein CHLNCDRAFT_144261 [Chlorella variabilis]
OG0000379	RMZ56003.1 hypothetical protein APUTEX25_004427_ partial [Auxenochlorella protothecoides]	XP_005851201.1 hypothetical protein CHLNCDRAFT_137883 [Chlorella variabilis]
OG0000380	RMZ56151.1 hypothetical protein APUTEX25_004575 [Auxenochlorella protothecoides]	XP_005843088.1 hypothetical protein CHLNCDRAFT_55443 [Chlorella variabilis], XP_005846442.1 hypothetical protein CHLNCDRAFT_24724_ partial [Chlorella variabilis], XP_005844092.1 hypothetical protein CHLNCDRAFT_32765 [Chlorella variabilis], XP_005844000.1 hypothetical protein CHLNCDRAFT_59057 [Chlorella variabilis], XP_005851603.1 hypothetical protein CHLNCDRAFT_138133 [Chlorella variabilis]
OG0000381	RMZ56231.1 hypothetical protein APUTEX25_002421 [Auxenochlorella protothecoides]	XP_005846194.1 hypothetical protein CHLNCDRAFT_136216 [Chlorella variabilis]
OG0000382	RMZ56488.1 hypothetical protein APUTEX25_001335 [Auxenochlorella protothecoides]	XP_005852238.1 hypothetical protein CHLNCDRAFT_33654 [Chlorella variabilis]
OG0000382	RMZ57352.1 hypothetical protein APUTEX25_004186 [Auxenochlorella protothecoides]	XP_005847206.1 hypothetical protein CHLNCDRAFT_24374 [Chlorella variabilis]
OG0000383	RMZ56512.1 hypothetical protein APUTEX25_001359 [Auxenochlorella protothecoides]	XP_005851508.1 hypothetical protein CHLNCDRAFT_48478 [Chlorella variabilis]
OG0000384	RMZ56564.1 hypothetical protein APUTEX25_001411 [Auxenochlorella protothecoides], RMZ56569.1 hypothetical protein APUTEX25_001416_ partial [Auxenochlorella protothecoides]	XP_005847320.1 hypothetical protein CHLNCDRAFT_52598 [Chlorella variabilis]
