Orthogroup	Auxenochlorella_protothecoides	Scenedesmus_PABB004
OG0000688	RMZ56435.1 hypothetical protein APUTEX25_004658 [Auxenochlorella protothecoides]	KAF8072582.1 nmd3 [Scenedesmus sp. PABB004]
OG0000689	RMZ56566.1 hypothetical protein APUTEX25_001413 [Auxenochlorella protothecoides]	KAF8065927.1 IPMS1 [Scenedesmus sp. PABB004]
OG0000690	RMZ56612.1 hypothetical protein APUTEX25_002701 [Auxenochlorella protothecoides]	KAF8070879.1 hypothetical protein HT031_000960 [Scenedesmus sp. PABB004]
OG0000691	RMZ56674.1 hypothetical protein APUTEX25_002763_ partial [Auxenochlorella protothecoides]	KAF8059659.1 slc38a10 [Scenedesmus sp. PABB004]
OG0000692	RMZ56647.1 hypothetical protein APUTEX25_002736 [Auxenochlorella protothecoides]	KAF8065512.1 EXOSC8 [Scenedesmus sp. PABB004]
OG0000692	RMZ56634.1 hypothetical protein APUTEX25_002723_ partial [Auxenochlorella protothecoides]	KAF8057154.1 Ogd [Scenedesmus sp. PABB004], KAF8060096.1 Ogd [Scenedesmus sp. PABB004]
OG0000693	RMZ56690.1 hypothetical protein APUTEX25_002779 [Auxenochlorella protothecoides]	KAF8065442.1 HAP2 [Scenedesmus sp. PABB004]
OG0000694	RMZ56696.1 hypothetical protein APUTEX25_002785 [Auxenochlorella protothecoides]	KAF8070979.1 hddc2 [Scenedesmus sp. PABB004], KAF8067123.1 Ccdc61 [Scenedesmus sp. PABB004]
OG0000695	RMZ56703.1 hypothetical protein APUTEX25_002792_ partial [Auxenochlorella protothecoides]	KAF8059669.1 ABCG36 [Scenedesmus sp. PABB004]
OG0000696	RMZ56712.1 hypothetical protein APUTEX25_002801 [Auxenochlorella protothecoides]	KAF8069395.1 hypothetical protein HT031_001510 [Scenedesmus sp. PABB004], KAF8055119.1 RPL34 [Scenedesmus sp. PABB004]
OG0000697	RMZ57035.1 hypothetical protein APUTEX25_002267 [Auxenochlorella protothecoides], RMZ56775.1 hypothetical protein APUTEX25_002864 [Auxenochlorella protothecoides]	KAF8068188.1 hypothetical protein HT031_001874 [Scenedesmus sp. PABB004]
OG0000698	RMZ56836.1 hypothetical protein APUTEX25_002925 [Auxenochlorella protothecoides]	KAF8062040.1 hypothetical protein HT031_004300 [Scenedesmus sp. PABB004]
OG0000699	RMZ56899.1 hypothetical protein APUTEX25_002988 [Auxenochlorella protothecoides]	KAF8065595.1 hypothetical protein HT031_003196 [Scenedesmus sp. PABB004]
OG0000700	RMZ57155.1 hypothetical protein APUTEX25_003989 [Auxenochlorella protothecoides]	KAF8057899.1 Ppie [Scenedesmus sp. PABB004], KAF8063686.1 hypothetical protein HT031_003541 [Scenedesmus sp. PABB004]
OG0000701	RMZ57220.1 hypothetical protein APUTEX25_004054 [Auxenochlorella protothecoides]	KAF8067109.1 ABC1 family protein [Scenedesmus sp. PABB004], KAF8054611.1 ABC1 family protein [Scenedesmus sp. PABB004]
OG0000702	RMZ57280.1 hypothetical protein APUTEX25_004114 [Auxenochlorella protothecoides]	KAF8066289.1 mfsd5 [Scenedesmus sp. PABB004], KAF8056749.1 MFSD5 [Scenedesmus sp. PABB004]
OG0000703	RMZ57397.1 hypothetical protein APUTEX25_004231_ partial [Auxenochlorella protothecoides]	KAF8059458.1 hypothetical protein HT031_005263 [Scenedesmus sp. PABB004]
OG0000704	RMZ57405.1 hypothetical protein APUTEX25_004239 [Auxenochlorella protothecoides]	KAF8060550.1 TMEM18 [Scenedesmus sp. PABB004]
OG0000705	RMZ57419.1 hypothetical protein APUTEX25_004253 [Auxenochlorella protothecoides]	KAF8059153.1 hypothetical protein HT031_005325 [Scenedesmus sp. PABB004], KAF8059657.1 hypothetical protein HT031_005065 [Scenedesmus sp. PABB004]
OG0000706	RMZ57456.1 hypothetical protein APUTEX25_004290 [Auxenochlorella protothecoides]	KAF8062067.1 UKL1 [Scenedesmus sp. PABB004], KAF8072566.1 UKL1 [Scenedesmus sp. PABB004]
OG0000707	RMZ57457.1 hypothetical protein APUTEX25_004291_ partial [Auxenochlorella protothecoides]	KAF8056387.1 USP42 [Scenedesmus sp. PABB004]
OG0000708	RMZ57507.1 hypothetical protein APUTEX25_003750 [Auxenochlorella protothecoides]	KAF8059151.1 mat2b [Scenedesmus sp. PABB004]
OG0000710	RMZ57675.1 hypothetical protein APUTEX25_001875 [Auxenochlorella protothecoides]	KAF8059728.1 APK2 [Scenedesmus sp. PABB004]
OG0000730	RMZ52364.1 hypothetical protein APUTEX25_000639_ partial [Auxenochlorella protothecoides]	KAF8061075.1 PRP31 [Scenedesmus sp. PABB004]
OG0000732	RMZ52510.1 hypothetical protein APUTEX25_003653 [Auxenochlorella protothecoides]	KAF8068353.1 ttuB [Scenedesmus sp. PABB004]
OG0000733	RMZ52557.1 hypothetical protein APUTEX25_003700 [Auxenochlorella protothecoides]	KAF8068413.1 hypothetical protein HT031_002102 [Scenedesmus sp. PABB004]
OG0000734	RMZ52645.1 hypothetical protein APUTEX25_000764 [Auxenochlorella protothecoides]	KAF8073060.1 mdn1 [Scenedesmus sp. PABB004]
OG0000735	RMZ52751.1 hypothetical protein APUTEX25_000870 [Auxenochlorella protothecoides]	KAF8065437.1 hypothetical protein HT031_003038 [Scenedesmus sp. PABB004]
OG0000737	RMZ52700.1 hypothetical protein APUTEX25_000819_ partial [Auxenochlorella protothecoides]	KAF8064550.1 Ufm1-specific protease [Scenedesmus sp. PABB004]
OG0000738	RMZ52743.1 hypothetical protein APUTEX25_000862_ partial [Auxenochlorella protothecoides]	KAF8055286.1 hypothetical protein HT031_006812 [Scenedesmus sp. PABB004]
OG0000739	RMZ52791.1 hypothetical protein APUTEX25_000910 [Auxenochlorella protothecoides]	KAF8073192.1 NCA1 [Scenedesmus sp. PABB004]
OG0000741	RMZ52828.1 hypothetical protein APUTEX25_000947 [Auxenochlorella protothecoides], RMZ54481.1 hypothetical protein APUTEX25_002057_ partial [Auxenochlorella protothecoides]	KAF8070974.1 HXK1 [Scenedesmus sp. PABB004]
OG0000742	RMZ52860.1 hypothetical protein APUTEX25_000979 [Auxenochlorella protothecoides]	KAF8054878.1 NRT2.2 [Scenedesmus sp. PABB004]
OG0000743	RMZ52874.1 hypothetical protein APUTEX25_000993_ partial [Auxenochlorella protothecoides], RMZ56479.1 hypothetical protein APUTEX25_001326 [Auxenochlorella protothecoides]	KAF8064605.1 abhd17c [Scenedesmus sp. PABB004]
OG0000744	RMZ52923.1 hypothetical protein APUTEX25_001042_ partial [Auxenochlorella protothecoides]	KAF8067147.1 GTE1 [Scenedesmus sp. PABB004]
OG0000745	RMZ53084.1 hypothetical protein APUTEX25_002493_ partial [Auxenochlorella protothecoides]	KAF8062723.1 Heat shock 22 kDa protein [Scenedesmus sp. PABB004], KAF8062724.1 Heat shock 22 kDa protein [Scenedesmus sp. PABB004]
OG0000746	RMZ53087.1 hypothetical protein APUTEX25_002496 [Auxenochlorella protothecoides]	KAF8072525.1 SPBC3B9.04 [Scenedesmus sp. PABB004]
OG0000747	RMZ53148.1 hypothetical protein APUTEX25_005137 [Auxenochlorella protothecoides], RMZ57809.1 hypothetical protein APUTEX25_000571_ partial [Auxenochlorella protothecoides]	KAF8060493.1 SYP61 [Scenedesmus sp. PABB004]
OG0000748	RMZ55829.1 hypothetical protein APUTEX25_003795 [Auxenochlorella protothecoides]	KAF8056742.1 hypothetical protein HT031_006240 [Scenedesmus sp. PABB004]
OG0000749	RMZ53211.1 hypothetical protein APUTEX25_005200 [Auxenochlorella protothecoides]	KAF8058082.1 cystathionine beta-lyase [Scenedesmus sp. PABB004]
OG0000750	RMZ53214.1 hypothetical protein APUTEX25_005203_ partial [Auxenochlorella protothecoides]	KAF8058950.1 AGO1 [Scenedesmus sp. PABB004]
OG0000751	RMZ53327.1 hypothetical protein APUTEX25_004815 [Auxenochlorella protothecoides]	KAF8057898.1 hypothetical protein HT031_005844 [Scenedesmus sp. PABB004], KAF8061058.1 hypothetical protein HT031_004518 [Scenedesmus sp. PABB004], KAF8061063.1 hypothetical protein HT031_004523 [Scenedesmus sp. PABB004], KAF8065810.1 hypothetical protein HT031_002870 [Scenedesmus sp. PABB004], KAF8069695.1 hypothetical protein HT031_001812 [Scenedesmus sp. PABB004], KAF8060302.1 APA1 [Scenedesmus sp. PABB004]
OG0000752	RMZ53338.1 hypothetical protein APUTEX25_004826_ partial [Auxenochlorella protothecoides]	KAF8072423.1 HISN6B [Scenedesmus sp. PABB004]
OG0000752	RMZ53414.1 hypothetical protein APUTEX25_004902_ partial [Auxenochlorella protothecoides]	KAF8072927.1 VPS54 [Scenedesmus sp. PABB004]
OG0000753	RMZ53347.1 hypothetical protein APUTEX25_004835_ partial [Auxenochlorella protothecoides]	KAF8062970.1 Succinate--CoA ligase [ADP-forming] subunit beta [Scenedesmus sp. PABB004]
OG0000755	RMZ53493.1 hypothetical protein APUTEX25_003315 [Auxenochlorella protothecoides], RMZ53553.1 hypothetical protein APUTEX25_003375 [Auxenochlorella protothecoides], RMZ53482.1 hypothetical protein APUTEX25_003304 [Auxenochlorella protothecoides]	KAF8069456.1 hypothetical protein HT031_001572 [Scenedesmus sp. PABB004]
OG0000757	RMZ53539.1 hypothetical protein APUTEX25_003361_ partial [Auxenochlorella protothecoides]	KAF8063036.1 ATP8B4 [Scenedesmus sp. PABB004]
OG0000758	RMZ53558.1 hypothetical protein APUTEX25_003380 [Auxenochlorella protothecoides]	KAF8057854.1 ttll6 [Scenedesmus sp. PABB004], KAF8063863.1 Ttll9 [Scenedesmus sp. PABB004]
OG0000759	RMZ53590.1 hypothetical protein APUTEX25_003412_ partial [Auxenochlorella protothecoides]	KAF8055843.1 hypothetical protein HT031_006618 [Scenedesmus sp. PABB004], KAF8073074.1 PAH2 [Scenedesmus sp. PABB004], KAF8073075.1 hypothetical protein HT031_000736 [Scenedesmus sp. PABB004], KAF8073067.1 hypothetical protein HT031_000728 [Scenedesmus sp. PABB004], KAF8059990.1 hypothetical protein HT031_004928 [Scenedesmus sp. PABB004]
OG0000760	RMZ53702.1 hypothetical protein APUTEX25_003236 [Auxenochlorella protothecoides]	KAF8072700.1 PUX13 [Scenedesmus sp. PABB004]
OG0000761	RMZ57501.1 hypothetical protein APUTEX25_003744 [Auxenochlorella protothecoides], RMZ53717.1 hypothetical protein APUTEX25_003251 [Auxenochlorella protothecoides]	KAF8057928.1 hypothetical protein HT031_005874 [Scenedesmus sp. PABB004]
OG0000763	RMZ53737.1 hypothetical protein APUTEX25_003876 [Auxenochlorella protothecoides]	KAF8069551.1 UBA2 [Scenedesmus sp. PABB004]
OG0000764	RMZ53749.1 hypothetical protein APUTEX25_003888_ partial [Auxenochlorella protothecoides]	KAF8058334.1 VTE4 [Scenedesmus sp. PABB004]
OG0000765	RMZ53772.1 hypothetical protein APUTEX25_003911_ partial [Auxenochlorella protothecoides]	KAF8062916.1 relA [Scenedesmus sp. PABB004]
OG0000767	RMZ53871.1 hypothetical protein APUTEX25_005617_ partial [Auxenochlorella protothecoides]	KAF8068336.1 hypothetical protein HT031_002024 [Scenedesmus sp. PABB004]
OG0000768	RMZ53967.1 hypothetical protein APUTEX25_002544 [Auxenochlorella protothecoides], RMZ57184.1 hypothetical protein APUTEX25_004018 [Auxenochlorella protothecoides]	KAF8067365.1 hypothetical protein HT031_002413 [Scenedesmus sp. PABB004]
OG0000769	RMZ53977.1 hypothetical protein APUTEX25_002554_ partial [Auxenochlorella protothecoides]	KAF8057108.1 RER4 [Scenedesmus sp. PABB004]
OG0000770	RMZ54042.1 hypothetical protein APUTEX25_002619_ partial [Auxenochlorella protothecoides]	KAF8070973.1 putative glucose-6-phosphate 1-epimerase [Scenedesmus sp. PABB004]
OG0000772	RMZ54172.1 hypothetical protein APUTEX25_005328 [Auxenochlorella protothecoides]	KAF8070902.1 pflB [Scenedesmus sp. PABB004]
OG0000773	RMZ54183.1 hypothetical protein APUTEX25_005339 [Auxenochlorella protothecoides]	KAF8073103.1 PLGG1 [Scenedesmus sp. PABB004]
OG0000775	RMZ54210.1 hypothetical protein APUTEX25_005366 [Auxenochlorella protothecoides]	KAF8073171.1 trx [Scenedesmus sp. PABB004], KAF8068427.1 hypothetical protein HT031_002116 [Scenedesmus sp. PABB004]
OG0000776	RMZ54227.1 hypothetical protein APUTEX25_000578 [Auxenochlorella protothecoides]	KAF8072742.1 hypothetical protein HT031_000402 [Scenedesmus sp. PABB004]
OG0000777	RMZ54250.1 hypothetical protein APUTEX25_000601 [Auxenochlorella protothecoides]	KAF8072499.1 Zinc finger CCCH domain-containing protein 10 [Scenedesmus sp. PABB004]
OG0000779	RMZ54514.1 hypothetical protein APUTEX25_002090 [Auxenochlorella protothecoides]	KAF8073205.1 hypothetical protein HT031_000866 [Scenedesmus sp. PABB004], KAF8069520.1 hypothetical protein HT031_001637 [Scenedesmus sp. PABB004]
OG0000780	RMZ57165.1 hypothetical protein APUTEX25_003999 [Auxenochlorella protothecoides], RMZ54582.1 hypothetical protein APUTEX25_002168 [Auxenochlorella protothecoides]	KAF8058362.1 cysG [Scenedesmus sp. PABB004]
OG0000781	RMZ54690.1 hypothetical protein APUTEX25_003068 [Auxenochlorella protothecoides], RMZ54601.1 hypothetical protein APUTEX25_002187_ partial [Auxenochlorella protothecoides]	KAF8062941.1 apaH [Scenedesmus sp. PABB004], KAF8065841.1 apaH [Scenedesmus sp. PABB004]
OG0000784	RMZ54824.1 hypothetical protein APUTEX25_000341 [Auxenochlorella protothecoides], RMZ57581.1 hypothetical protein APUTEX25_001781 [Auxenochlorella protothecoides]	KAF8073091.1 dpm1 [Scenedesmus sp. PABB004]
OG0000785	RMZ54834.1 hypothetical protein APUTEX25_000351 [Auxenochlorella protothecoides]	KAF8054827.1 TTM3 [Scenedesmus sp. PABB004], KAF8054829.1 TTM3 [Scenedesmus sp. PABB004], KAF8068146.1 TTM3 [Scenedesmus sp. PABB004], KAF8054762.1 TTM3 [Scenedesmus sp. PABB004], KAF8055813.1 TTM3 [Scenedesmus sp. PABB004], KAF8057781.1 TTM3 [Scenedesmus sp. PABB004]
OG0000786	RMZ54925.1 hypothetical protein APUTEX25_000442_ partial [Auxenochlorella protothecoides]	KAF8062042.1 protein-ribulosamine 3-kinase [Scenedesmus sp. PABB004]
OG0000787	RMZ54937.1 hypothetical protein APUTEX25_000454_ partial [Auxenochlorella protothecoides]	KAF8062059.1 isovaleryl-CoA dehydrogenase [Scenedesmus sp. PABB004]
OG0000789	RMZ54962.1 hypothetical protein APUTEX25_000479 [Auxenochlorella protothecoides]	KAF8072549.1 hypothetical protein HT031_000209 [Scenedesmus sp. PABB004], KAF8059375.1 SRR1 [Scenedesmus sp. PABB004]
OG0000789	RMZ57083.1 hypothetical protein APUTEX25_002315 [Auxenochlorella protothecoides]	KAF8062631.1 Wdr18 [Scenedesmus sp. PABB004]
OG0000791	RMZ55075.1 hypothetical protein APUTEX25_005701 [Auxenochlorella protothecoides]	KAF8060284.1 trappc4 [Scenedesmus sp. PABB004]
OG0000793	RMZ55086.1 hypothetical protein APUTEX25_005712_ partial [Auxenochlorella protothecoides]	KAF8071092.1 RHD3 [Scenedesmus sp. PABB004]
OG0000795	RMZ55175.1 hypothetical protein APUTEX25_005453 [Auxenochlorella protothecoides]	KAF8062052.1 CAP1 [Scenedesmus sp. PABB004]
OG0000796	RMZ55236.1 hypothetical protein APUTEX25_005514_ partial [Auxenochlorella protothecoides]	KAF8067372.1 Ferredoxin-1 [Scenedesmus sp. PABB004]
OG0000797	RMZ55371.1 hypothetical protein APUTEX25_002229_ partial [Auxenochlorella protothecoides]	KAF8060341.1 NUP98B [Scenedesmus sp. PABB004]
OG0000798	RMZ55381.1 hypothetical protein APUTEX25_003505 [Auxenochlorella protothecoides]	KAF8059194.1 guaD [Scenedesmus sp. PABB004], KAF8062743.1 guaD [Scenedesmus sp. PABB004], KAF8062744.1 guaD [Scenedesmus sp. PABB004]
OG0000799	RMZ55698.1 hypothetical protein APUTEX25_005739 [Auxenochlorella protothecoides], RMZ55407.1 hypothetical protein APUTEX25_003531 [Auxenochlorella protothecoides]	KAF8066360.1 NUC1 [Scenedesmus sp. PABB004]
OG0000800	RMZ55433.1 hypothetical protein APUTEX25_003557 [Auxenochlorella protothecoides]	KAF8055823.1 NTR2 [Scenedesmus sp. PABB004]
OG0000801	RMZ55448.1 hypothetical protein APUTEX25_003572 [Auxenochlorella protothecoides], RMZ55466.1 hypothetical protein APUTEX25_003590 [Auxenochlorella protothecoides], RMZ55436.1 hypothetical protein APUTEX25_003560 [Auxenochlorella protothecoides]	KAF8065626.1 mrp5 [Scenedesmus sp. PABB004]
OG0000802	RMZ55494.1 hypothetical protein APUTEX25_000077 [Auxenochlorella protothecoides]	KAF8057929.1 RPL19B [Scenedesmus sp. PABB004]
OG0000803	RMZ55587.1 hypothetical protein APUTEX25_000170 [Auxenochlorella protothecoides]	KAF8072856.1 Slc35f1 [Scenedesmus sp. PABB004]
OG0000805	RMZ55656.1 hypothetical protein APUTEX25_000239 [Auxenochlorella protothecoides]	KAF8064513.1 SNL3 [Scenedesmus sp. PABB004]
OG0000806	RMZ55722.1 hypothetical protein APUTEX25_005763 [Auxenochlorella protothecoides]	KAF8062661.1 MPC4 [Scenedesmus sp. PABB004]
OG0000808	RMZ55789.1 hypothetical protein APUTEX25_005830 [Auxenochlorella protothecoides], RMZ57160.1 hypothetical protein APUTEX25_003994 [Auxenochlorella protothecoides]	KAF8061420.1 BTR1 [Scenedesmus sp. PABB004]
OG0000810	RMZ56006.1 hypothetical protein APUTEX25_004430 [Auxenochlorella protothecoides]	KAF8062750.1 MAN5 [Scenedesmus sp. PABB004]
OG0000811	RMZ56090.1 hypothetical protein APUTEX25_004514_ partial [Auxenochlorella protothecoides]	KAF8062990.1 ABCG22 [Scenedesmus sp. PABB004]
OG0000812	RMZ56147.1 hypothetical protein APUTEX25_004571 [Auxenochlorella protothecoides]	KAF8057240.1 ACA11 [Scenedesmus sp. PABB004], KAF8063851.1 patA [Scenedesmus sp. PABB004]
OG0000814	RMZ56183.1 hypothetical protein APUTEX25_002373 [Auxenochlorella protothecoides]	KAF8056868.1 hypothetical protein HT031_006212 [Scenedesmus sp. PABB004]
OG0000815	RMZ56394.1 hypothetical protein APUTEX25_004617 [Auxenochlorella protothecoides]	KAF8065777.1 PED1 [Scenedesmus sp. PABB004]
OG0000816	RMZ56427.1 hypothetical protein APUTEX25_004650_ partial [Auxenochlorella protothecoides]	KAF8071369.1 hypothetical protein HT031_001453 [Scenedesmus sp. PABB004]
OG0000817	RMZ56601.1 hypothetical protein APUTEX25_004765_ partial [Auxenochlorella protothecoides]	KAF8058304.1 clcA [Scenedesmus sp. PABB004]
OG0000818	RMZ56638.1 hypothetical protein APUTEX25_002727_ partial [Auxenochlorella protothecoides]	KAF8064537.1 ADNT1 [Scenedesmus sp. PABB004]
OG0000819	RMZ56733.1 hypothetical protein APUTEX25_002822 [Auxenochlorella protothecoides], RMZ56774.1 hypothetical protein APUTEX25_002863 [Auxenochlorella protothecoides]	KAF8065598.1 hypothetical protein HT031_003199 [Scenedesmus sp. PABB004]
OG0000822	RMZ56911.1 hypothetical protein APUTEX25_004973 [Auxenochlorella protothecoides]	KAF8063769.1 LIP2P [Scenedesmus sp. PABB004]
OG0000823	RMZ56952.1 hypothetical protein APUTEX25_005014_ partial [Auxenochlorella protothecoides]	KAF8065616.1 ELP5 [Scenedesmus sp. PABB004]
OG0000824	RMZ57030.1 hypothetical protein APUTEX25_002262_ partial [Auxenochlorella protothecoides]	KAF8073189.1 rpa1 [Scenedesmus sp. PABB004]
OG0000825	RMZ57124.1 hypothetical protein APUTEX25_002356 [Auxenochlorella protothecoides]	KAF8055093.1 ESRP2 [Scenedesmus sp. PABB004]
OG0000826	RMZ57125.1 hypothetical protein APUTEX25_002357 [Auxenochlorella protothecoides]	KAF8065952.1 60S ribosomal protein L37a-2 [Scenedesmus sp. PABB004]
OG0000827	RMZ57161.1 hypothetical protein APUTEX25_003995 [Auxenochlorella protothecoides]	KAF8072873.1 hypothetical protein HT031_000533 [Scenedesmus sp. PABB004]
OG0000828	RMZ57214.1 hypothetical protein APUTEX25_004048 [Auxenochlorella protothecoides]	KAF8065478.1 CCB2 [Scenedesmus sp. PABB004]
OG0000828	RMZ57331.1 hypothetical protein APUTEX25_004165 [Auxenochlorella protothecoides]	KAF8065912.1 RPL21M [Scenedesmus sp. PABB004]
OG0000830	RMZ57261.1 hypothetical protein APUTEX25_004095_ partial [Auxenochlorella protothecoides]	KAF8072658.1 Serine/threonine-protein kinase SRPK [Scenedesmus sp. PABB004]
OG0000831	RMZ57278.1 hypothetical protein APUTEX25_004112 [Auxenochlorella protothecoides]	KAF8071249.1 NOP2C [Scenedesmus sp. PABB004]
OG0000832	RMZ57353.1 hypothetical protein APUTEX25_004187 [Auxenochlorella protothecoides]	KAF8065915.1 ME6 [Scenedesmus sp. PABB004]
OG0000834	RMZ57386.1 hypothetical protein APUTEX25_004220 [Auxenochlorella protothecoides]	KAF8065838.1 mannose-P-dolichol utilization defect 2 [Scenedesmus sp. PABB004]
OG0000835	RMZ57409.1 hypothetical protein APUTEX25_004243_ partial [Auxenochlorella protothecoides]	KAF8069385.1 DEGP1 [Scenedesmus sp. PABB004]
OG0000836	RMZ57420.1 hypothetical protein APUTEX25_004254_ partial [Auxenochlorella protothecoides]	KAF8068279.1 FIP37 [Scenedesmus sp. PABB004]
OG0000837	RMZ57437.1 hypothetical protein APUTEX25_004271 [Auxenochlorella protothecoides]	KAF8066263.1 APC1 [Scenedesmus sp. PABB004]
OG0000838	RMZ57462.1 hypothetical protein APUTEX25_004296 [Auxenochlorella protothecoides]	KAF8066236.1 BOB1 [Scenedesmus sp. PABB004], KAF8072502.1 ftsZ [Scenedesmus sp. PABB004]
OG0000839	RMZ57506.1 hypothetical protein APUTEX25_003749 [Auxenochlorella protothecoides]	KAF8055928.1 maa [Scenedesmus sp. PABB004]
OG0000841	RMZ57544.1 hypothetical protein APUTEX25_001744_ partial [Auxenochlorella protothecoides]	KAF8059654.1 Hdac6 [Scenedesmus sp. PABB004]
OG0000842	RMZ57549.1 hypothetical protein APUTEX25_001749 [Auxenochlorella protothecoides]	KAF8059218.1 THO5B [Scenedesmus sp. PABB004]
OG0000843	RMZ57682.1 hypothetical protein APUTEX25_001882 [Auxenochlorella protothecoides]	KAF8055288.1 RHM1 [Scenedesmus sp. PABB004]
OG0000878	RMZ52055.1 hypothetical protein APUTEX25_001249 [Auxenochlorella protothecoides]	KAF8060576.1 trappc1-1 [Scenedesmus sp. PABB004]
OG0000879	RMZ52106.1 hypothetical protein APUTEX25_001300 [Auxenochlorella protothecoides]	KAF8062056.1 KRE6 [Scenedesmus sp. PABB004]
OG0000881	RMZ52158.1 hypothetical protein APUTEX25_001548 [Auxenochlorella protothecoides]	KAF8061374.1 hypothetical protein HT031_004465 [Scenedesmus sp. PABB004], KAF8066261.1 HOL3 [Scenedesmus sp. PABB004]
OG0000882	RMZ52184.1 hypothetical protein APUTEX25_001574 [Auxenochlorella protothecoides]	KAF8060038.1 serine/threonine-protein kinase [Scenedesmus sp. PABB004], KAF8066374.1 fyna [Scenedesmus sp. PABB004], KAF8069589.1 FEN1 [Scenedesmus sp. PABB004]
OG0000884	RMZ52262.1 hypothetical protein APUTEX25_001652_ partial [Auxenochlorella protothecoides]	KAF8064624.1 CAT1 [Scenedesmus sp. PABB004]
OG0000885	RMZ52265.1 hypothetical protein APUTEX25_001655_ partial [Auxenochlorella protothecoides]	KAF8073061.1 hypothetical protein HT031_000722 [Scenedesmus sp. PABB004]
OG0000886	RMZ54335.1 hypothetical protein APUTEX25_001493 [Auxenochlorella protothecoides], RMZ52270.1 hypothetical protein APUTEX25_001660 [Auxenochlorella protothecoides]	KAF8072940.1 hypothetical protein HT031_000600 [Scenedesmus sp. PABB004]
OG0000887	RMZ52288.1 hypothetical protein APUTEX25_001678_ partial [Auxenochlorella protothecoides]	KAF8065615.1 tmem106b [Scenedesmus sp. PABB004]
OG0000888	RMZ52303.1 hypothetical protein APUTEX25_001919 [Auxenochlorella protothecoides], RMZ55915.1 hypothetical protein APUTEX25_004339 [Auxenochlorella protothecoides]	KAF8062097.1 SUVR3 [Scenedesmus sp. PABB004]
OG0000889	RMZ52351.1 hypothetical protein APUTEX25_001713_ partial [Auxenochlorella protothecoides]	KAF8056758.1 DGD1 [Scenedesmus sp. PABB004], KAF8056763.1 DGD1 [Scenedesmus sp. PABB004]
OG0000890	RMZ52372.1 hypothetical protein APUTEX25_000647 [Auxenochlorella protothecoides]	KAF8057728.1 hypothetical protein HT031_005912 [Scenedesmus sp. PABB004]
OG0000891	RMZ52393.1 hypothetical protein APUTEX25_000668_ partial [Auxenochlorella protothecoides]	KAF8061070.1 Ribulose bisphosphate carboxylase/oxygenase activase [Scenedesmus sp. PABB004], KAF8065664.1 hypothetical protein HT031_003265 [Scenedesmus sp. PABB004]
OG0000892	RMZ52430.1 hypothetical protein APUTEX25_000009_ partial [Auxenochlorella protothecoides]	KAF8064504.1 Beta-galactosidase [Scenedesmus sp. PABB004]
OG0000895	RMZ52551.1 hypothetical protein APUTEX25_003694 [Auxenochlorella protothecoides]	KAF8069539.1 npc-2 [Scenedesmus sp. PABB004]
OG0000896	RMZ52607.1 hypothetical protein APUTEX25_000726 [Auxenochlorella protothecoides]	KAF8061945.1 hypothetical protein HT031_004205 [Scenedesmus sp. PABB004], KAF8061992.1 Mpdu1 [Scenedesmus sp. PABB004]
OG0000897	RMZ52757.1 hypothetical protein APUTEX25_000876_ partial [Auxenochlorella protothecoides], RMZ52613.1 hypothetical protein APUTEX25_000732_ partial [Auxenochlorella protothecoides]	KAF8072973.1 PGDH1 [Scenedesmus sp. PABB004]
OG0000898	RMZ52634.1 hypothetical protein APUTEX25_000753 [Auxenochlorella protothecoides]	KAF8064535.1 RNA cytidine acetyltransferase 1 [Scenedesmus sp. PABB004]
OG0000899	RMZ52937.1 hypothetical protein APUTEX25_001056_ partial [Auxenochlorella protothecoides], RMZ52637.1 hypothetical protein APUTEX25_000756 [Auxenochlorella protothecoides]	KAF8068261.1 TIF3C1 [Scenedesmus sp. PABB004]
OG0000900	RMZ52673.1 hypothetical protein APUTEX25_000792_ partial [Auxenochlorella protothecoides], RMZ55069.1 hypothetical protein APUTEX25_005695_ partial [Auxenochlorella protothecoides]	KAF8072478.1 Eukaryotic translation initiation factor 5A-3 [Scenedesmus sp. PABB004]
OG0000901	RMZ52706.1 hypothetical protein APUTEX25_000825_ partial [Auxenochlorella protothecoides]	KAF8057931.1 SCE1 [Scenedesmus sp. PABB004]
OG0000902	RMZ52733.1 hypothetical protein APUTEX25_000852_ partial [Auxenochlorella protothecoides]	KAF8071088.1 tagC [Scenedesmus sp. PABB004]
OG0000903	RMZ55505.1 hypothetical protein APUTEX25_000088 [Auxenochlorella protothecoides], RMZ52748.1 hypothetical protein APUTEX25_000867 [Auxenochlorella protothecoides]	KAF8062648.1 hypothetical protein HT031_003977 [Scenedesmus sp. PABB004]
OG0000904	RMZ54440.1 hypothetical protein APUTEX25_002016 [Auxenochlorella protothecoides], RMZ52754.1 hypothetical protein APUTEX25_000873 [Auxenochlorella protothecoides]	KAF8060564.1 SNAT2 [Scenedesmus sp. PABB004]
OG0000905	RMZ52849.1 hypothetical protein APUTEX25_000968 [Auxenochlorella protothecoides], RMZ53996.1 hypothetical protein APUTEX25_002573_ partial [Auxenochlorella protothecoides]	KAF8068373.1 NAA25 [Scenedesmus sp. PABB004]
OG0000907	RMZ52953.1 hypothetical protein APUTEX25_001072 [Auxenochlorella protothecoides]	KAF8066364.1 hypothetical protein HT031_002688 [Scenedesmus sp. PABB004]
