Orthogroup	Auxenochlorella_protothecoides	Micractinium_SAG24180
OG0000478	RMZ57244.1 hypothetical protein APUTEX25_004078_ partial [Auxenochlorella protothecoides]	PSC67291.1 5 -adenylylsulfate reductase [Micractinium conductrix]
OG0000479	RMZ57382.1 hypothetical protein APUTEX25_004216 [Auxenochlorella protothecoides]	PSC68596.1 sister chromatid cohesion DCC1 [Micractinium conductrix]
OG0000480	RMZ57389.1 hypothetical protein APUTEX25_004223_ partial [Auxenochlorella protothecoides]	PSC70498.1 Peptide chain release factor 1 [Micractinium conductrix]
OG0000482	RMZ57407.1 hypothetical protein APUTEX25_004241 [Auxenochlorella protothecoides]	PSC72516.1 Acyl-coenzyme A oxidase peroxisomal [Micractinium conductrix]
OG0000498	RMZ52697.1 hypothetical protein APUTEX25_000816_ partial [Auxenochlorella protothecoides]	PSC70230.1 UPF0016-domain-containing [Micractinium conductrix]
OG0000499	RMZ52031.1 hypothetical protein APUTEX25_001225_ partial [Auxenochlorella protothecoides], RMZ57844.1 hypothetical protein APUTEX25_001201_ partial [Auxenochlorella protothecoides]	PSC75519.1 twinkle-like protein chloroplastic mitochondrial isoform X2 [Micractinium conductrix]
OG0000500	RMZ52040.1 hypothetical protein APUTEX25_001234 [Auxenochlorella protothecoides]	PSC70010.1 cystathionine beta-lyase family involved in aluminum resistance [Micractinium conductrix], PSC68761.1 Calcium-binding mitochondrial carrier S [Micractinium conductrix]
OG0000502	RMZ52104.1 hypothetical protein APUTEX25_001298_ partial [Auxenochlorella protothecoides]	PSC67692.1 Beta-galactosidase 17 [Micractinium conductrix]
OG0000503	RMZ52185.1 hypothetical protein APUTEX25_001575 [Auxenochlorella protothecoides]	PSC68119.1 P-loop containing nucleoside triphosphate hydrolase [Micractinium conductrix]
OG0000504	RMZ52340.1 hypothetical protein APUTEX25_005093 [Auxenochlorella protothecoides]	PSC72628.1 DNA-directed RNA polymerase II subunit RPB1 [Micractinium conductrix]
OG0000504	RMZ55872.1 hypothetical protein APUTEX25_003838_ partial [Auxenochlorella protothecoides]	PSC71861.1 DNA-directed RNA polymerase II subunit RPB1 [Micractinium conductrix]
OG0000505	RMZ52537.1 hypothetical protein APUTEX25_003680 [Auxenochlorella protothecoides]	PSC75328.1 putative phytol kinase chloroplastic [Micractinium conductrix]
OG0000506	RMZ52573.1 hypothetical protein APUTEX25_003716_ partial [Auxenochlorella protothecoides], RMZ52560.1 hypothetical protein APUTEX25_003703_ partial [Auxenochlorella protothecoides]	PSC73690.1 Bromodomain adjacent to zinc finger domain 1A [Micractinium conductrix]
OG0000507	RMZ52568.1 hypothetical protein APUTEX25_003711 [Auxenochlorella protothecoides]	PSC76915.1 LAG1 longevity assurance-like protein 3 isoform B [Micractinium conductrix], PSC76914.1 LAG1 longevity assurance-like protein 3 isoform A [Micractinium conductrix]
OG0000508	RMZ52605.1 hypothetical protein APUTEX25_000724 [Auxenochlorella protothecoides]	PSC76292.1 translocator -like [Micractinium conductrix]
OG0000509	RMZ54230.1 hypothetical protein APUTEX25_000581_ partial [Auxenochlorella protothecoides], RMZ53222.1 hypothetical protein APUTEX25_005211 [Auxenochlorella protothecoides], RMZ52701.1 hypothetical protein APUTEX25_000820 [Auxenochlorella protothecoides]	PSC71382.1 ATPase [Micractinium conductrix], PSC74740.1 DUF563 domain [Micractinium conductrix]
OG0000510	RMZ52784.1 hypothetical protein APUTEX25_000903_ partial [Auxenochlorella protothecoides], RMZ56194.1 hypothetical protein APUTEX25_002384 [Auxenochlorella protothecoides]	PSC69867.1 3-phosphoshikimate 1-carboxyvinyltransferase [Micractinium conductrix]
OG0000511	RMZ52879.1 hypothetical protein APUTEX25_000998_ partial [Auxenochlorella protothecoides]	PSC73939.1 thiol-disulfide oxidoreductase [Micractinium conductrix]
OG0000512	RMZ52907.1 hypothetical protein APUTEX25_001026 [Auxenochlorella protothecoides]	PSC71732.1 glutamate-cysteine chloroplastic [Micractinium conductrix]
OG0000513	RMZ52917.1 hypothetical protein APUTEX25_001036 [Auxenochlorella protothecoides]	PSC69359.1 Serine threonine family 2C [Micractinium conductrix], PSC69346.1 Plastid lipid-associated fibrillin conserved domain [Micractinium conductrix]
OG0000514	RMZ54487.1 hypothetical protein APUTEX25_002063_ partial [Auxenochlorella protothecoides]	PSC75069.1 magnesium transporter MRS2-7 [Micractinium conductrix], PSC75097.1 magnesium transporter MRS2-7 isoform B [Micractinium conductrix], PSC75098.1 magnesium transporter MRS2-7 isoform A [Micractinium conductrix]
OG0000515	RMZ53047.1 hypothetical protein APUTEX25_001166 [Auxenochlorella protothecoides]	PSC74983.1 Gamma-interferon-inducible lysosomal thiol reductase [Micractinium conductrix]
OG0000515	RMZ53025.1 hypothetical protein APUTEX25_001144_ partial [Auxenochlorella protothecoides]	PSC69520.1 Gamma-interferon-inducible lysosomal thiol reductase [Micractinium conductrix]
OG0000516	RMZ56390.1 hypothetical protein APUTEX25_004773_ partial [Auxenochlorella protothecoides]	PSC70791.1 Methionine-tRNA [Micractinium conductrix]
OG0000517	RMZ53153.1 hypothetical protein APUTEX25_005142 [Auxenochlorella protothecoides]	PSC71174.1 hypothetical protein C2E20_5468 [Micractinium conductrix]
OG0000518	RMZ57228.1 hypothetical protein APUTEX25_004062_ partial [Auxenochlorella protothecoides]	PSC69847.1 membrane transporter [Micractinium conductrix]
OG0000518	RMZ53202.1 hypothetical protein APUTEX25_005191 [Auxenochlorella protothecoides]	PSC72949.1 membrane transporter [Micractinium conductrix]
OG0000518	RMZ57424.1 hypothetical protein APUTEX25_004258_ partial [Auxenochlorella protothecoides]	PSC69956.1 serine-repeat antigen 4 _SERA_ [Micractinium conductrix]
OG0000519	RMZ53264.1 hypothetical protein APUTEX25_005253_ partial [Auxenochlorella protothecoides]	PSC71029.1 putative UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase SEC [Micractinium conductrix]
OG0000519	RMZ54388.1 hypothetical protein APUTEX25_001964_ partial [Auxenochlorella protothecoides]	PSC70746.1 Glycylpeptide N-tetradecanoyltransferase 1 [Micractinium conductrix]
OG0000520	RMZ53266.1 hypothetical protein APUTEX25_005255_ partial [Auxenochlorella protothecoides]	PSC75158.1 3-oxo-5-alpha-steroid 4-dehydrogenase 1 [Micractinium conductrix]
OG0000521	RMZ53359.1 hypothetical protein APUTEX25_004847 [Auxenochlorella protothecoides]	PSC74106.1 ubiquitin-like-specific protease ESD4 isoform X2 isoform A [Micractinium conductrix], PSC74105.1 ubiquitin-like-specific protease ESD4 isoform X2 isoform B [Micractinium conductrix]
OG0000522	RMZ53397.1 hypothetical protein APUTEX25_004885 [Auxenochlorella protothecoides], RMZ56227.1 hypothetical protein APUTEX25_002417_ partial [Auxenochlorella protothecoides]	PSC73440.1 molecular chaperone [Micractinium conductrix]
OG0000523	RMZ55940.1 hypothetical protein APUTEX25_004364_ partial [Auxenochlorella protothecoides]	PSC67119.1 Transmembrane 50A [Micractinium conductrix], PSC67007.1 Transmembrane 50A [Micractinium conductrix], PSC67298.1 Transmembrane 50A [Micractinium conductrix], PSC67051.1 transmembrane 50-like protein [Micractinium conductrix]
OG0000523	RMZ53470.1 hypothetical protein APUTEX25_003292 [Auxenochlorella protothecoides]	PSC73905.1 transmembrane 50-like protein [Micractinium conductrix]
OG0000524	RMZ53567.1 hypothetical protein APUTEX25_003389 [Auxenochlorella protothecoides]	PSC73361.1 glycosyltransferase family 8 [Micractinium conductrix], PSC67237.1 glycosyltransferase family 8 [Micractinium conductrix], PSC67076.1 glycosyltransferase family 8 [Micractinium conductrix]
OG0000525	RMZ55257.1 hypothetical protein APUTEX25_005535_ partial [Auxenochlorella protothecoides]	PSC73806.1 monooxygenase [Micractinium conductrix]
OG0000526	RMZ53665.1 hypothetical protein APUTEX25_003199 [Auxenochlorella protothecoides]	PSC74272.1 BSD domain-containing 1 [Micractinium conductrix]
OG0000526	RMZ54343.1 hypothetical protein APUTEX25_001501_ partial [Auxenochlorella protothecoides]	PSC74677.1 ACT domain-containing ACR2 [Micractinium conductrix]
OG0000527	RMZ53712.1 hypothetical protein APUTEX25_003246_ partial [Auxenochlorella protothecoides]	PSC72323.1 cell division cycle 27-like protein B isoform X2 [Micractinium conductrix]
OG0000528	RMZ53744.1 hypothetical protein APUTEX25_003883 [Auxenochlorella protothecoides]	PSC75046.1 random slug 5-like [Micractinium conductrix]
OG0000529	RMZ53816.1 hypothetical protein APUTEX25_003955_ partial [Auxenochlorella protothecoides], RMZ54662.1 hypothetical protein APUTEX25_003040 [Auxenochlorella protothecoides]	PSC71738.1 Glyoxylate hydroxypyruvate reductase A [Micractinium conductrix], PSC74920.1 Chromatin structure-remodeling complex BSH [Micractinium conductrix]
OG0000530	RMZ54612.1 hypothetical protein APUTEX25_002198 [Auxenochlorella protothecoides]	PSC76041.1 SNF1-related kinase catalytic subunit alpha KIN10-like [Micractinium conductrix]
OG0000530	RMZ53873.1 hypothetical protein APUTEX25_005619 [Auxenochlorella protothecoides]	PSC70383.1 SNF1-related kinase catalytic subunit alpha KIN10 [Micractinium conductrix]
OG0000531	RMZ53913.1 hypothetical protein APUTEX25_004938 [Auxenochlorella protothecoides]	PSC73373.1 inactive purple acid phosphatase 2 [Micractinium conductrix]
OG0000531	RMZ53925.1 hypothetical protein APUTEX25_004950_ partial [Auxenochlorella protothecoides]	PSC73232.1 KH domain-containing protein [Micractinium conductrix]
OG0000532	RMZ53958.1 hypothetical protein APUTEX25_002535 [Auxenochlorella protothecoides]	PSC67783.1 Expansin 1 [Micractinium conductrix], PSC67798.1 Expansin 1 [Micractinium conductrix]
OG0000533	RMZ53998.1 hypothetical protein APUTEX25_002575 [Auxenochlorella protothecoides]	PSC67550.1 hypothetical protein C2E20_8787 isoform B [Micractinium conductrix], PSC67551.1 hypothetical protein C2E20_8787 isoform A [Micractinium conductrix]
OG0000534	RMZ54059.1 hypothetical protein APUTEX25_002636 [Auxenochlorella protothecoides]	PSC73161.1 hypothetical protein C2E20_3691 [Micractinium conductrix]
OG0000535	RMZ54061.1 hypothetical protein APUTEX25_002638 [Auxenochlorella protothecoides]	PSC71223.1 Kinesin KIF6 [Micractinium conductrix], PSC76319.1 putative 6-phosphogluconolactonase chloroplastic [Micractinium conductrix]
OG0000536	RMZ54157.1 hypothetical protein APUTEX25_005313 [Auxenochlorella protothecoides]	PSC71710.1 thiol disulfide reductase thioredoxin [Micractinium conductrix], PSC71716.1 cytochrome c oxidase subunit [Micractinium conductrix]
OG0000537	RMZ54182.1 hypothetical protein APUTEX25_005338 [Auxenochlorella protothecoides]	PSC70125.1 monovalent Cation_Proton antiporter-1 family [Micractinium conductrix], PSC75329.1 low-CO2-inducible chloroplast envelope [Micractinium conductrix]
OG0000538	RMZ54236.1 hypothetical protein APUTEX25_000587_ partial [Auxenochlorella protothecoides]	PSC70691.1 DNA mismatch repair MSH6 [Micractinium conductrix]
OG0000539	RMZ54296.1 hypothetical protein APUTEX25_001454_ partial [Auxenochlorella protothecoides]	PSC67761.1 MFS general substrate transporter [Micractinium conductrix]
OG0000540	RMZ54371.1 hypothetical protein APUTEX25_001947 [Auxenochlorella protothecoides]	PSC69890.1 DNA polymerase lambda [Micractinium conductrix]
OG0000540	RMZ54362.1 hypothetical protein APUTEX25_001938_ partial [Auxenochlorella protothecoides]	PSC69899.1 DNA-directed DNA RNA polymerase mu isoform X1 [Micractinium conductrix]
OG0000541	RMZ54402.1 hypothetical protein APUTEX25_001978 [Auxenochlorella protothecoides]	PSC72747.1 superoxide dismutase [Fe] [Micractinium conductrix], PSC77044.1 superoxide dismutase [Fe] [Micractinium conductrix]
OG0000542	RMZ54410.1 hypothetical protein APUTEX25_001986 [Auxenochlorella protothecoides]	PSC69510.1 mitochondrial substrate carrier family B [Micractinium conductrix]
OG0000544	RMZ54806.1 hypothetical protein APUTEX25_000323_ partial [Auxenochlorella protothecoides]	PSC69040.1 sedoheptulose-1_7-bisphosphatase [Micractinium conductrix]
OG0000544	RMZ54556.1 hypothetical protein APUTEX25_002131 [Auxenochlorella protothecoides]	PSC76933.1 Sedoheptulose-1_7-chloroplastic [Micractinium conductrix]
OG0000545	RMZ54559.1 hypothetical protein APUTEX25_002134 [Auxenochlorella protothecoides]	PSC75103.1 aspartate aminotransferase [Micractinium conductrix]
OG0000546	RMZ54704.1 hypothetical protein APUTEX25_003082_ partial [Auxenochlorella protothecoides]	PSC69174.1 putative phosphatase 2C 5 isoform X1 [Micractinium conductrix], PSC69106.1 Qa-SYP4 Tlg2p Syntaxin 16-type [Micractinium conductrix]
OG0000547	RMZ54726.1 hypothetical protein APUTEX25_003104 [Auxenochlorella protothecoides]	PSC68301.1 polyketide cyclase hydroxylase [Micractinium conductrix]
OG0000548	RMZ54812.1 hypothetical protein APUTEX25_000329 [Auxenochlorella protothecoides]	PSC76480.1 plastid division [Micractinium conductrix]
OG0000549	RMZ54897.1 hypothetical protein APUTEX25_000414 [Auxenochlorella protothecoides]	PSC72960.1 Sulfate adenylyltransferase isoform A [Micractinium conductrix], PSC72959.1 Sulfate adenylyltransferase isoform B [Micractinium conductrix], PSC70809.1 sulfate adenylyltransferase [Micractinium conductrix]
OG0000550	RMZ54980.1 hypothetical protein APUTEX25_000497 [Auxenochlorella protothecoides]	PSC72527.1 hypothetical protein C2E20_4309 [Micractinium conductrix], PSC74010.1 citrate synthase methylcitrate synthase [Micractinium conductrix], PSC77040.1 hypothetical protein C2E20_0522 [Micractinium conductrix], PSC71142.1 hypothetical protein C2E20_5434 [Micractinium conductrix]
OG0000551	RMZ55476.1 hypothetical protein APUTEX25_000059 [Auxenochlorella protothecoides]	PSC71514.1 MUT9-related serine threonine kinase [Micractinium conductrix]
OG0000551	RMZ55028.1 hypothetical protein APUTEX25_005654 [Auxenochlorella protothecoides]	PSC75885.1 MUT9-related serine threonine kinase isoform A [Micractinium conductrix], PSC75884.1 MUT9-related serine threonine kinase isoform B [Micractinium conductrix]
OG0000552	RMZ55131.1 hypothetical protein APUTEX25_005409 [Auxenochlorella protothecoides]	PSC70972.1 serine carboxypeptidase 24-like [Micractinium conductrix]
OG0000553	RMZ55133.1 hypothetical protein APUTEX25_005411 [Auxenochlorella protothecoides]	PSC73318.1 T-complex 1 subunit gamma [Micractinium conductrix]
OG0000555	RMZ57441.1 hypothetical protein APUTEX25_004275 [Auxenochlorella protothecoides]	PSC67355.1 prohibitin-mitochondrial-like [Micractinium conductrix]
OG0000556	RMZ55439.1 hypothetical protein APUTEX25_003563 [Auxenochlorella protothecoides]	PSC68880.1 expressed protein isoform E [Micractinium conductrix], PSC68883.1 expressed protein isoform D [Micractinium conductrix], PSC68882.1 expressed protein isoform A [Micractinium conductrix], PSC73483.1 splicing arginine serine-rich 19 [Micractinium conductrix], PSC69212.1 FAD-linked oxidase [Micractinium conductrix], PSC72441.1 Transcriptional Crp Fnr family [Micractinium conductrix]
OG0000557	RMZ55463.1 hypothetical protein APUTEX25_003587_ partial [Auxenochlorella protothecoides], RMZ56118.1 hypothetical protein APUTEX25_004542_ partial [Auxenochlorella protothecoides]	PSC72540.1 tRNA uridine_34_ 5-carboxymethylaminomethyl synthesis enzyme [Micractinium conductrix]
OG0000559	RMZ55545.1 hypothetical protein APUTEX25_000128 [Auxenochlorella protothecoides]	PSC76261.1 tRNA _cytosine_34_-C_5__-methyltransferase [Micractinium conductrix]
OG0000559	RMZ55624.1 hypothetical protein APUTEX25_000207_ partial [Auxenochlorella protothecoides]	PSC67965.1 DNA replication licensing factor MCM4 [Micractinium conductrix]
OG0000560	RMZ55629.1 hypothetical protein APUTEX25_000212_ partial [Auxenochlorella protothecoides]	PSC73974.1 ERD4-related membrane isoform A [Micractinium conductrix], PSC73975.1 ERD4-related membrane isoform B [Micractinium conductrix]
OG0000561	RMZ55661.1 hypothetical protein APUTEX25_000244_ partial [Auxenochlorella protothecoides]	PSC74078.1 UPF0047 isoform B [Micractinium conductrix], PSC74079.1 UPF0047 isoform A [Micractinium conductrix]
OG0000562	RMZ55695.1 hypothetical protein APUTEX25_005736 [Auxenochlorella protothecoides]	PSC75160.1 Solute carrier family 35 member E3 isoform B [Micractinium conductrix], PSC75159.1 Solute carrier family 35 member E3 isoform A [Micractinium conductrix]
OG0000563	RMZ55717.1 hypothetical protein APUTEX25_005758 [Auxenochlorella protothecoides]	PSC72141.1 alpha beta-hydrolase [Micractinium conductrix], PSC69058.1 alpha beta-hydrolase isoform B [Micractinium conductrix], PSC69057.1 alpha beta-hydrolase isoform A [Micractinium conductrix]
OG0000564	RMZ57295.1 hypothetical protein APUTEX25_004129 [Auxenochlorella protothecoides]	PSC74467.1 phosphatase 1 [Micractinium conductrix]
OG0000564	RMZ55748.1 hypothetical protein APUTEX25_005789_ partial [Auxenochlorella protothecoides], RMZ55740.1 hypothetical protein APUTEX25_005781_ partial [Auxenochlorella protothecoides]	PSC70233.1 acylamino-acid-releasing enzyme isoform X1 [Micractinium conductrix]
OG0000565	RMZ55744.1 hypothetical protein APUTEX25_005785 [Auxenochlorella protothecoides]	PSC70159.1 3-dehydroquinate synthase [Micractinium conductrix]
OG0000566	RMZ55867.1 hypothetical protein APUTEX25_003833 [Auxenochlorella protothecoides]	PSC67130.1 structural maintenance of chromosomes 6B_ partial [Micractinium conductrix], PSC68121.1 structural maintenance of chromosomes 6B [Micractinium conductrix], PSC71901.1 structural maintenance of chromosomes 6B [Micractinium conductrix]
OG0000567	RMZ56083.1 hypothetical protein APUTEX25_004507 [Auxenochlorella protothecoides]	PSC70525.1 fructose bisphosphate aldolase [Micractinium conductrix]
OG0000568	RMZ56228.1 hypothetical protein APUTEX25_002418 [Auxenochlorella protothecoides], RMZ56190.1 hypothetical protein APUTEX25_002380 [Auxenochlorella protothecoides]	PSC67980.1 dnaJ ERDJ3B [Micractinium conductrix]
OG0000569	RMZ56311.1 hypothetical protein APUTEX25_000550 [Auxenochlorella protothecoides]	PSC73100.1 na+ solute symporter isoform A [Micractinium conductrix], PSC73101.1 na+ solute symporter isoform B [Micractinium conductrix]
OG0000570	RMZ56315.1 hypothetical protein APUTEX25_000554 [Auxenochlorella protothecoides]	PSC73030.1 asparagine-tRNA cytoplasmic 1-like [Micractinium conductrix]
OG0000570	RMZ57042.1 hypothetical protein APUTEX25_002274_ partial [Auxenochlorella protothecoides]	PSC74776.1 SWI SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A 1 isoform X1 [Micractinium conductrix]
OG0000571	RMZ56456.1 hypothetical protein APUTEX25_004679 [Auxenochlorella protothecoides]	PSC75843.1 Alpha-galactosidase [Micractinium conductrix]
OG0000572	RMZ56474.1 hypothetical protein APUTEX25_001321_ partial [Auxenochlorella protothecoides], RMZ57131.1 hypothetical protein APUTEX25_002363 [Auxenochlorella protothecoides]	PSC76246.1 histone acetyltransferase HAC1-like [Micractinium conductrix]
OG0000573	RMZ56532.1 hypothetical protein APUTEX25_001379 [Auxenochlorella protothecoides]	PSC71818.1 hypothetical protein C2E20_4941 [Micractinium conductrix]
OG0000573	RMZ57188.1 hypothetical protein APUTEX25_004022 [Auxenochlorella protothecoides]	PSC71739.1 Serine threonine-kinase TOUSLED [Micractinium conductrix]
OG0000574	RMZ56844.1 hypothetical protein APUTEX25_002933_ partial [Auxenochlorella protothecoides]	PSC73562.1 molybdopterin adenylyltransferase [Micractinium conductrix], PSC73786.1 Proteasome subunit beta type-6 [Micractinium conductrix]
OG0000576	RMZ56897.1 hypothetical protein APUTEX25_002986 [Auxenochlorella protothecoides]	PSC74615.1 serine threonine phosphatase 2A regulatory subunit B beta-like [Micractinium conductrix]
OG0000577	RMZ56925.1 hypothetical protein APUTEX25_004987 [Auxenochlorella protothecoides], RMZ56949.1 hypothetical protein APUTEX25_005011 [Auxenochlorella protothecoides]	PSC75825.1 Eukaryotic translation initiation factor 3 subunit F [Micractinium conductrix]
OG0000578	RMZ56936.1 hypothetical protein APUTEX25_004998 [Auxenochlorella protothecoides]	PSC70900.1 PXMP2 4 family 4 [Micractinium conductrix], PSC70859.1 ubiquitin [Micractinium conductrix]
OG0000579	RMZ56942.1 hypothetical protein APUTEX25_005004 [Auxenochlorella protothecoides]	PSC75909.1 Vacuolar amino acid transporter 1 [Micractinium conductrix], PSC72470.1 Vacuolar amino acid transporter 1 [Micractinium conductrix]
OG0000580	RMZ57063.1 hypothetical protein APUTEX25_002295_ partial [Auxenochlorella protothecoides]	PSC73827.1 COP9 signalosome complex subunit 6a [Micractinium conductrix]
OG0000581	RMZ57082.1 hypothetical protein APUTEX25_002314 [Auxenochlorella protothecoides]	PSC71485.1 TBC1 domain family member 2A [Micractinium conductrix]
OG0000582	RMZ57104.1 hypothetical protein APUTEX25_002336 [Auxenochlorella protothecoides]	PSC74415.1 33kDa oxygen evolving of photosystem II [Micractinium conductrix], PSC69559.1 photosystem II manganese-stabilizing polypeptide [Micractinium conductrix]
OG0000583	RMZ57150.1 hypothetical protein APUTEX25_003984 [Auxenochlorella protothecoides]	PSC67606.1 Acyl-coenzyme A thioesterase THEM4 [Micractinium conductrix], PSC67085.1 Acyl-coenzyme A thioesterase THEM4 [Micractinium conductrix], PSC76552.1 Acyl-coenzyme A thioesterase THEM4 [Micractinium conductrix]
OG0000584	RMZ57178.1 hypothetical protein APUTEX25_004012 [Auxenochlorella protothecoides]	PSC75017.1 ADP-ribosylation factor 9 [Micractinium conductrix], PSC74963.1 heme oxygenase [Micractinium conductrix]
OG0000585	RMZ57249.1 hypothetical protein APUTEX25_004083 [Auxenochlorella protothecoides]	PSC74997.1 NLI interacting factor-like phosphatase [Micractinium conductrix]
OG0000586	RMZ57309.1 hypothetical protein APUTEX25_004143 [Auxenochlorella protothecoides]	PSC71302.1 mitochondrial-processing peptidase subunit alpha-like [Micractinium conductrix]
OG0000587	RMZ57360.1 hypothetical protein APUTEX25_004194 [Auxenochlorella protothecoides]	PSC69903.1 BTB POZ and MATH domain-containing 2-like isoform B [Micractinium conductrix]
OG0000588	RMZ57370.1 hypothetical protein APUTEX25_004204 [Auxenochlorella protothecoides]	PSC71257.1 spore coat isoform A [Micractinium conductrix], PSC71256.1 spore coat isoform B [Micractinium conductrix]
OG0000589	RMZ57402.1 hypothetical protein APUTEX25_004236 [Auxenochlorella protothecoides]	PSC74763.1 epoxide hydrolase [Micractinium conductrix]
OG0000590	RMZ57508.1 hypothetical protein APUTEX25_003751 [Auxenochlorella protothecoides]	PSC75613.1 FAD-dependent oxidoreductase family [Micractinium conductrix]
OG0000609	RMZ52010.1 hypothetical protein APUTEX25_001204 [Auxenochlorella protothecoides]	PSC69176.1 serine threonine-kinase SAPK3-like [Micractinium conductrix]
OG0000610	RMZ56673.1 hypothetical protein APUTEX25_002762_ partial [Auxenochlorella protothecoides]	PSC69329.1 aldehyde dehydrogenase [Micractinium conductrix], PSC69086.1 aldehyde dehydrogenase [Micractinium conductrix]
OG0000611	RMZ52033.1 hypothetical protein APUTEX25_001227_ partial [Auxenochlorella protothecoides]	PSC72946.1 Ubiquitin domain-containing 2 [Micractinium conductrix]
OG0000612	RMZ52073.1 hypothetical protein APUTEX25_001267 [Auxenochlorella protothecoides]	PSC69098.1 Vacuolar transporter chaperone 4 [Micractinium conductrix]
OG0000614	RMZ52307.1 hypothetical protein APUTEX25_005060 [Auxenochlorella protothecoides]	PSC67289.1 GDP-mannose transporter GONST2-like [Micractinium conductrix], PSC67285.1 GDP-mannose golgi apparatus [Micractinium conductrix], PSC75907.1 GDP-mannose transporter GONST1-like [Micractinium conductrix], PSC76911.1 GDP-mannose golgi apparatus [Micractinium conductrix], PSC73311.1 GDP-mannose transporter GONST1 [Micractinium conductrix]
OG0000615	RMZ52859.1 hypothetical protein APUTEX25_000978_ partial [Auxenochlorella protothecoides]	PSC71737.1 VTC domain-containing [Micractinium conductrix]
OG0000615	RMZ52318.1 hypothetical protein APUTEX25_005071_ partial [Auxenochlorella protothecoides]	PSC73529.1 ABC transporter C family member 2 isoform B [Micractinium conductrix], PSC73528.1 ABC transporter C family member 2 isoform A [Micractinium conductrix]
OG0000616	RMZ52321.1 hypothetical protein APUTEX25_005074_ partial [Auxenochlorella protothecoides]	PSC73413.1 small nuclear ribonucleo -associated B -like [Micractinium conductrix]
OG0000617	RMZ52406.1 hypothetical protein APUTEX25_000681 [Auxenochlorella protothecoides]	PSC69702.1 cystathionine gamma-synthase [Micractinium conductrix]
OG0000618	RMZ52555.1 hypothetical protein APUTEX25_003698_ partial [Auxenochlorella protothecoides]	PSC73676.1 40S ribosomal S15a isoform B [Micractinium conductrix], PSC73675.1 40S ribosomal S15a isoform A [Micractinium conductrix]
OG0000620	RMZ52762.1 hypothetical protein APUTEX25_000881 [Auxenochlorella protothecoides]	PSC71057.1 saccharopine dehydrogenase [Micractinium conductrix]
OG0000623	RMZ52819.1 hypothetical protein APUTEX25_000938 [Auxenochlorella protothecoides]	PSC73755.1 U1 small nuclear ribonucleo A [Micractinium conductrix], PSC70739.1 U2 small nuclear ribonucleo B -like isoform B [Micractinium conductrix], PSC70740.1 U2 small nuclear ribonucleo B -like isoform A [Micractinium conductrix]
OG0000624	RMZ52916.1 hypothetical protein APUTEX25_001035 [Auxenochlorella protothecoides]	PSC73123.1 N-alpha-acetyltransferase auxiliary subunit isoform X1 [Micractinium conductrix]
OG0000625	RMZ52945.1 hypothetical protein APUTEX25_001064 [Auxenochlorella protothecoides]	PSC68467.1 putative sphingolipid transporter spinster-like protein 2 [Micractinium conductrix]
OG0000625	RMZ55705.1 hypothetical protein APUTEX25_005746_ partial [Auxenochlorella protothecoides]	PSC73072.1 putative sphingolipid transporter spinster-like protein 2 [Micractinium conductrix]
OG0000626	RMZ55093.1 hypothetical protein APUTEX25_005719 [Auxenochlorella protothecoides]	PSC76267.1 lon protease-like protein peroxisomal [Micractinium conductrix]
OG0000626	RMZ53082.1 hypothetical protein APUTEX25_002491_ partial [Auxenochlorella protothecoides]	PSC76277.1 SDA1 [Micractinium conductrix]
OG0000627	RMZ56387.1 hypothetical protein APUTEX25_004744 [Auxenochlorella protothecoides]	PSC75741.1 NAD_P_ transhydrogenase_ mitochondrial [Micractinium conductrix]
OG0000627	RMZ53112.1 hypothetical protein APUTEX25_004936_ partial [Auxenochlorella protothecoides]	PSC75818.1 NAD_P_ transhydrogenase_ mitochondrial [Micractinium conductrix]
OG0000628	RMZ53162.1 hypothetical protein APUTEX25_005151_ partial [Auxenochlorella protothecoides]	PSC75597.1 Transmembrane 45B [Micractinium conductrix]
OG0000629	RMZ56657.1 hypothetical protein APUTEX25_002746 [Auxenochlorella protothecoides]	PSC75401.1 CPYC type [Micractinium conductrix]
OG0000630	RMZ53248.1 hypothetical protein APUTEX25_005237_ partial [Auxenochlorella protothecoides]	PSC68371.1 polyribonucleotide nucleotidyltransferase [Micractinium conductrix]
OG0000631	RMZ53249.1 hypothetical protein APUTEX25_005238 [Auxenochlorella protothecoides]	PSC71884.1 Vacuolar sorting-associated 16 [Micractinium conductrix]
OG0000633	RMZ53368.1 hypothetical protein APUTEX25_004856 [Auxenochlorella protothecoides]	PSC72178.1 tyramine oxidase [Micractinium conductrix]
OG0000634	RMZ53409.1 hypothetical protein APUTEX25_004897 [Auxenochlorella protothecoides]	PSC68566.1 Cell division cycle-associated 7 [Micractinium conductrix], PSC73301.1 ubiquitin-ligase zinc ion binding [Micractinium conductrix]
OG0000635	RMZ56144.1 hypothetical protein APUTEX25_004568 [Auxenochlorella protothecoides]	PSC72390.1 ribulose-phosphate 3-chloroplastic-like [Micractinium conductrix]
OG0000636	RMZ53494.1 hypothetical protein APUTEX25_003316 [Auxenochlorella protothecoides]	PSC73715.1 carotenoid oxygenase [Micractinium conductrix]
OG0000637	RMZ53706.1 hypothetical protein APUTEX25_003240 [Auxenochlorella protothecoides]	PSC69313.1 N-alpha-acetyltransferase 20 [Micractinium conductrix]
