Orthogroup	Auxenochlorella_protothecoides	Chlorella_Vulgaris2111P
OG0000469	RMZ56818.1 hypothetical protein APUTEX25_002907 [Auxenochlorella protothecoides]	KAI3424724.1 hypothetical protein D9Q98_008113 [Chlorella vulgaris]
OG0000469	RMZ56542.1 hypothetical protein APUTEX25_001389 [Auxenochlorella protothecoides]	KAI3431360.1 hypothetical protein D9Q98_004417 [Chlorella vulgaris]
OG0000470	RMZ57656.1 hypothetical protein APUTEX25_001856 [Auxenochlorella protothecoides]	KAI3426508.1 hypothetical protein D9Q98_008873 [Chlorella vulgaris]
OG0000470	RMZ56552.1 hypothetical protein APUTEX25_001399 [Auxenochlorella protothecoides]	KAI3434498.1 hypothetical protein D9Q98_002573 [Chlorella vulgaris]
OG0000471	RMZ56752.1 hypothetical protein APUTEX25_002841_ partial [Auxenochlorella protothecoides]	KAI3434778.1 hypothetical protein D9Q98_002838 [Chlorella vulgaris]
OG0000472	RMZ56852.1 hypothetical protein APUTEX25_002941_ partial [Auxenochlorella protothecoides]	KAI3425733.1 hypothetical protein D9Q98_007709 [Chlorella vulgaris], KAI3425734.1 hypothetical protein D9Q98_007710 [Chlorella vulgaris]
OG0000473	RMZ56931.1 hypothetical protein APUTEX25_004993 [Auxenochlorella protothecoides]	KAI3433728.1 hypothetical protein D9Q98_003536 [Chlorella vulgaris], KAI3433729.1 hypothetical protein D9Q98_003537 [Chlorella vulgaris], KAI3438279.1 hypothetical protein D9Q98_000714 [Chlorella vulgaris]
OG0000474	RMZ57017.1 hypothetical protein APUTEX25_002249 [Auxenochlorella protothecoides]	KAI3424846.1 hypothetical protein D9Q98_008232 [Chlorella vulgaris], KAI3424847.1 hypothetical protein D9Q98_008232 [Chlorella vulgaris]
OG0000475	RMZ57621.1 hypothetical protein APUTEX25_001821 [Auxenochlorella protothecoides]	KAI3424746.1 hypothetical protein D9Q98_008135 [Chlorella vulgaris]
OG0000475	RMZ57105.1 hypothetical protein APUTEX25_002337 [Auxenochlorella protothecoides]	KAI3424749.1 hypothetical protein D9Q98_008138 [Chlorella vulgaris], KAI3424757.1 hypothetical protein D9Q98_008146 [Chlorella vulgaris]
OG0000476	RMZ57342.1 hypothetical protein APUTEX25_004176 [Auxenochlorella protothecoides], RMZ57334.1 hypothetical protein APUTEX25_004168_ partial [Auxenochlorella protothecoides], RMZ57241.1 hypothetical protein APUTEX25_004075 [Auxenochlorella protothecoides]	KAI3425011.1 hypothetical protein D9Q98_008393 [Chlorella vulgaris]
OG0000477	RMZ57496.1 hypothetical protein APUTEX25_003739 [Auxenochlorella protothecoides]	KAI3433800.1 hypothetical protein D9Q98_003604 [Chlorella vulgaris]
OG0000477	RMZ57242.1 hypothetical protein APUTEX25_004076 [Auxenochlorella protothecoides]	KAI3425220.1 hypothetical protein D9Q98_008988 [Chlorella vulgaris]
OG0000478	RMZ57244.1 hypothetical protein APUTEX25_004078_ partial [Auxenochlorella protothecoides]	KAI3431837.1 hypothetical protein D9Q98_010589 [Chlorella vulgaris]
OG0000479	RMZ57644.1 hypothetical protein APUTEX25_001844 [Auxenochlorella protothecoides]	KAI3424894.1 hypothetical protein D9Q98_008278 [Chlorella vulgaris]
OG0000479	RMZ57382.1 hypothetical protein APUTEX25_004216 [Auxenochlorella protothecoides]	KAI3424893.1 hypothetical protein D9Q98_008277 [Chlorella vulgaris]
OG0000480	RMZ57389.1 hypothetical protein APUTEX25_004223_ partial [Auxenochlorella protothecoides]	KAI3436138.1 hypothetical protein D9Q98_002195 [Chlorella vulgaris]
OG0000481	RMZ57406.1 hypothetical protein APUTEX25_004240 [Auxenochlorella protothecoides]	KAI3426404.1 hypothetical protein D9Q98_008774 [Chlorella vulgaris], KAI3432795.1 hypothetical protein D9Q98_010379 [Chlorella vulgaris], KAI3423897.1 hypothetical protein D9Q98_009731 [Chlorella vulgaris], KAI3426405.1 hypothetical protein D9Q98_008775 [Chlorella vulgaris]
OG0000482	RMZ57407.1 hypothetical protein APUTEX25_004241 [Auxenochlorella protothecoides]	KAI3425022.1 hypothetical protein D9Q98_008403 [Chlorella vulgaris], KAI3425021.1 hypothetical protein D9Q98_008403 [Chlorella vulgaris]
OG0000498	RMZ52697.1 hypothetical protein APUTEX25_000816_ partial [Auxenochlorella protothecoides]	KAI3425957.1 hypothetical protein D9Q98_007927 [Chlorella vulgaris]
OG0000498	RMZ52011.1 hypothetical protein APUTEX25_001205 [Auxenochlorella protothecoides]	KAI3434517.1 hypothetical protein D9Q98_002590 [Chlorella vulgaris]
OG0000499	RMZ52031.1 hypothetical protein APUTEX25_001225_ partial [Auxenochlorella protothecoides], RMZ57844.1 hypothetical protein APUTEX25_001201_ partial [Auxenochlorella protothecoides]	KAI3428774.1 hypothetical protein D9Q98_007595 [Chlorella vulgaris]
OG0000500	RMZ52040.1 hypothetical protein APUTEX25_001234 [Auxenochlorella protothecoides]	KAI3425229.1 hypothetical protein D9Q98_008997 [Chlorella vulgaris]
OG0000501	RMZ52092.1 hypothetical protein APUTEX25_001286_ partial [Auxenochlorella protothecoides]	KAI3434680.1 hypothetical protein D9Q98_002744 [Chlorella vulgaris]
OG0000502	RMZ52104.1 hypothetical protein APUTEX25_001298_ partial [Auxenochlorella protothecoides]	KAI3434573.1 hypothetical protein D9Q98_002644 [Chlorella vulgaris], KAI3434572.1 hypothetical protein D9Q98_002644 [Chlorella vulgaris]
OG0000503	RMZ52185.1 hypothetical protein APUTEX25_001575 [Auxenochlorella protothecoides]	KAI3428309.1 hypothetical protein D9Q98_006689 [Chlorella vulgaris]
OG0000504	RMZ52340.1 hypothetical protein APUTEX25_005093 [Auxenochlorella protothecoides]	KAI3436574.1 hypothetical protein D9Q98_005990 [Chlorella vulgaris]
OG0000504	RMZ55872.1 hypothetical protein APUTEX25_003838_ partial [Auxenochlorella protothecoides]	KAI3431393.1 hypothetical protein D9Q98_004447 [Chlorella vulgaris]
OG0000505	RMZ52537.1 hypothetical protein APUTEX25_003680 [Auxenochlorella protothecoides]	KAI3427000.1 hypothetical protein D9Q98_006944 [Chlorella vulgaris], KAI3427001.1 hypothetical protein D9Q98_006945 [Chlorella vulgaris]
OG0000506	RMZ52573.1 hypothetical protein APUTEX25_003716_ partial [Auxenochlorella protothecoides], RMZ52560.1 hypothetical protein APUTEX25_003703_ partial [Auxenochlorella protothecoides]	KAI3438557.1 hypothetical protein D9Q98_000985 [Chlorella vulgaris]
OG0000507	RMZ55671.1 hypothetical protein APUTEX25_000254 [Auxenochlorella protothecoides]	KAI3438590.1 hypothetical protein D9Q98_001014 [Chlorella vulgaris]
OG0000507	RMZ52568.1 hypothetical protein APUTEX25_003711 [Auxenochlorella protothecoides]	KAI3438586.1 hypothetical protein D9Q98_001010 [Chlorella vulgaris]
OG0000508	RMZ52605.1 hypothetical protein APUTEX25_000724 [Auxenochlorella protothecoides]	KAI3436236.1 hypothetical protein D9Q98_002290 [Chlorella vulgaris]
OG0000509	RMZ54230.1 hypothetical protein APUTEX25_000581_ partial [Auxenochlorella protothecoides], RMZ53222.1 hypothetical protein APUTEX25_005211 [Auxenochlorella protothecoides], RMZ52701.1 hypothetical protein APUTEX25_000820 [Auxenochlorella protothecoides]	KAI3431845.1 hypothetical protein D9Q98_010597 [Chlorella vulgaris], KAI3428185.1 hypothetical protein D9Q98_006565 [Chlorella vulgaris]
OG0000510	RMZ52784.1 hypothetical protein APUTEX25_000903_ partial [Auxenochlorella protothecoides]	KAI3428563.1 hypothetical protein D9Q98_007385 [Chlorella vulgaris]
OG0000511	RMZ52879.1 hypothetical protein APUTEX25_000998_ partial [Auxenochlorella protothecoides]	KAI3433520.1 hypothetical protein D9Q98_003330 [Chlorella vulgaris]
OG0000512	RMZ52907.1 hypothetical protein APUTEX25_001026 [Auxenochlorella protothecoides]	KAI3430868.1 hypothetical protein D9Q98_009277 [Chlorella vulgaris]
OG0000513	RMZ52917.1 hypothetical protein APUTEX25_001036 [Auxenochlorella protothecoides]	KAI3425069.1 hypothetical protein D9Q98_008446 [Chlorella vulgaris], KAI3425068.1 hypothetical protein D9Q98_008445 [Chlorella vulgaris]
OG0000514	RMZ54487.1 hypothetical protein APUTEX25_002063_ partial [Auxenochlorella protothecoides]	KAI3437682.1 hypothetical protein D9Q98_000131 [Chlorella vulgaris], KAI3437683.1 hypothetical protein D9Q98_000132 [Chlorella vulgaris]
OG0000515	RMZ53047.1 hypothetical protein APUTEX25_001166 [Auxenochlorella protothecoides]	KAI3437624.1 hypothetical protein D9Q98_000076 [Chlorella vulgaris]
OG0000515	RMZ53025.1 hypothetical protein APUTEX25_001144_ partial [Auxenochlorella protothecoides]	KAI3437801.1 hypothetical protein D9Q98_000248 [Chlorella vulgaris]
OG0000516	RMZ56390.1 hypothetical protein APUTEX25_004773_ partial [Auxenochlorella protothecoides]	KAI3437930.1 hypothetical protein D9Q98_000374 [Chlorella vulgaris]
OG0000517	RMZ53153.1 hypothetical protein APUTEX25_005142 [Auxenochlorella protothecoides]	KAI3438018.1 hypothetical protein D9Q98_000461 [Chlorella vulgaris], KAI3438019.1 hypothetical protein D9Q98_000462 [Chlorella vulgaris]
OG0000518	RMZ57228.1 hypothetical protein APUTEX25_004062_ partial [Auxenochlorella protothecoides]	KAI3428486.1 hypothetical protein D9Q98_007311 [Chlorella vulgaris], KAI3428485.1 hypothetical protein D9Q98_007310 [Chlorella vulgaris]
OG0000518	RMZ53202.1 hypothetical protein APUTEX25_005191 [Auxenochlorella protothecoides]	KAI3430375.1 hypothetical protein D9Q98_004970 [Chlorella vulgaris]
OG0000518	RMZ57424.1 hypothetical protein APUTEX25_004258_ partial [Auxenochlorella protothecoides]	KAI3428487.1 hypothetical protein D9Q98_007312 [Chlorella vulgaris]
OG0000519	RMZ53264.1 hypothetical protein APUTEX25_005253_ partial [Auxenochlorella protothecoides]	KAI3437986.1 hypothetical protein D9Q98_000429 [Chlorella vulgaris]
OG0000519	RMZ54388.1 hypothetical protein APUTEX25_001964_ partial [Auxenochlorella protothecoides]	KAI3437841.1 hypothetical protein D9Q98_000287 [Chlorella vulgaris]
OG0000520	RMZ53266.1 hypothetical protein APUTEX25_005255_ partial [Auxenochlorella protothecoides]	KAI3429479.1 hypothetical protein D9Q98_005570 [Chlorella vulgaris]
OG0000521	RMZ53359.1 hypothetical protein APUTEX25_004847 [Auxenochlorella protothecoides]	KAI3432893.1 hypothetical protein D9Q98_010475 [Chlorella vulgaris]
OG0000522	RMZ53397.1 hypothetical protein APUTEX25_004885 [Auxenochlorella protothecoides]	KAI3432852.1 hypothetical protein D9Q98_010435 [Chlorella vulgaris]
OG0000522	RMZ56227.1 hypothetical protein APUTEX25_002417_ partial [Auxenochlorella protothecoides]	KAI3432814.1 hypothetical protein D9Q98_010397 [Chlorella vulgaris]
OG0000523	RMZ55940.1 hypothetical protein APUTEX25_004364_ partial [Auxenochlorella protothecoides]	KAI3432835.1 hypothetical protein D9Q98_010419 [Chlorella vulgaris], KAI3432828.1 hypothetical protein D9Q98_010412 [Chlorella vulgaris]
OG0000523	RMZ53470.1 hypothetical protein APUTEX25_003292 [Auxenochlorella protothecoides]	KAI3431639.1 hypothetical protein D9Q98_004686 [Chlorella vulgaris]
OG0000524	RMZ53567.1 hypothetical protein APUTEX25_003389 [Auxenochlorella protothecoides]	KAI3434831.1 hypothetical protein D9Q98_002886 [Chlorella vulgaris]
OG0000525	RMZ55257.1 hypothetical protein APUTEX25_005535_ partial [Auxenochlorella protothecoides]	KAI3438909.1 hypothetical protein D9Q98_001323 [Chlorella vulgaris]
OG0000526	RMZ53665.1 hypothetical protein APUTEX25_003199 [Auxenochlorella protothecoides]	KAI3432661.1 hypothetical protein D9Q98_004205 [Chlorella vulgaris]
OG0000526	RMZ54343.1 hypothetical protein APUTEX25_001501_ partial [Auxenochlorella protothecoides]	KAI3432662.1 hypothetical protein D9Q98_004206 [Chlorella vulgaris]
OG0000527	RMZ53712.1 hypothetical protein APUTEX25_003246_ partial [Auxenochlorella protothecoides]	KAI3438245.1 hypothetical protein D9Q98_000682 [Chlorella vulgaris]
OG0000528	RMZ53744.1 hypothetical protein APUTEX25_003883 [Auxenochlorella protothecoides]	KAI3429542.1 hypothetical protein D9Q98_005630 [Chlorella vulgaris]
OG0000529	RMZ53816.1 hypothetical protein APUTEX25_003955_ partial [Auxenochlorella protothecoides], RMZ54662.1 hypothetical protein APUTEX25_003040 [Auxenochlorella protothecoides]	KAI3430758.1 hypothetical protein D9Q98_009170 [Chlorella vulgaris], KAI3429557.1 hypothetical protein D9Q98_005645 [Chlorella vulgaris]
OG0000530	RMZ54612.1 hypothetical protein APUTEX25_002198 [Auxenochlorella protothecoides]	KAI3423913.1 hypothetical protein D9Q98_009747 [Chlorella vulgaris]
OG0000530	RMZ53873.1 hypothetical protein APUTEX25_005619 [Auxenochlorella protothecoides]	KAI3426244.1 hypothetical protein D9Q98_008620 [Chlorella vulgaris]
OG0000531	RMZ53913.1 hypothetical protein APUTEX25_004938 [Auxenochlorella protothecoides]	KAI3426170.1 hypothetical protein D9Q98_008547 [Chlorella vulgaris]
OG0000531	RMZ53925.1 hypothetical protein APUTEX25_004950_ partial [Auxenochlorella protothecoides]	KAI3426171.1 hypothetical protein D9Q98_008548 [Chlorella vulgaris]
OG0000532	RMZ53958.1 hypothetical protein APUTEX25_002535 [Auxenochlorella protothecoides]	KAI3426427.1 hypothetical protein D9Q98_008795 [Chlorella vulgaris], KAI3426430.1 hypothetical protein D9Q98_008798 [Chlorella vulgaris]
OG0000533	RMZ53998.1 hypothetical protein APUTEX25_002575 [Auxenochlorella protothecoides]	KAI3429664.1 hypothetical protein D9Q98_005749 [Chlorella vulgaris]
OG0000534	RMZ54059.1 hypothetical protein APUTEX25_002636 [Auxenochlorella protothecoides]	KAI3430893.1 hypothetical protein D9Q98_009302 [Chlorella vulgaris], KAI3434727.1 hypothetical protein D9Q98_002788 [Chlorella vulgaris]
OG0000535	RMZ54061.1 hypothetical protein APUTEX25_002638 [Auxenochlorella protothecoides]	KAI3435944.1 hypothetical protein D9Q98_002002 [Chlorella vulgaris], KAI3436209.1 hypothetical protein D9Q98_002263 [Chlorella vulgaris]
OG0000536	RMZ54157.1 hypothetical protein APUTEX25_005313 [Auxenochlorella protothecoides]	KAI3426464.1 hypothetical protein D9Q98_008831 [Chlorella vulgaris], KAI3430762.1 hypothetical protein D9Q98_009174 [Chlorella vulgaris], KAI3430784.1 hypothetical protein D9Q98_009196 [Chlorella vulgaris], KAI3430795.1 hypothetical protein D9Q98_009207 [Chlorella vulgaris]
OG0000537	RMZ54182.1 hypothetical protein APUTEX25_005338 [Auxenochlorella protothecoides]	KAI3425176.1 hypothetical protein D9Q98_008946 [Chlorella vulgaris]
OG0000538	RMZ54236.1 hypothetical protein APUTEX25_000587_ partial [Auxenochlorella protothecoides]	KAI3430702.1 hypothetical protein D9Q98_005291 [Chlorella vulgaris]
OG0000538	RMZ54244.1 hypothetical protein APUTEX25_000595 [Auxenochlorella protothecoides]	KAI3430700.1 hypothetical protein D9Q98_005289 [Chlorella vulgaris]
OG0000539	RMZ54296.1 hypothetical protein APUTEX25_001454_ partial [Auxenochlorella protothecoides]	KAI3436351.1 hypothetical protein D9Q98_002404 [Chlorella vulgaris]
OG0000540	RMZ54371.1 hypothetical protein APUTEX25_001947 [Auxenochlorella protothecoides]	KAI3428450.1 hypothetical protein D9Q98_007277 [Chlorella vulgaris]
OG0000540	RMZ54362.1 hypothetical protein APUTEX25_001938_ partial [Auxenochlorella protothecoides]	KAI3428493.1 hypothetical protein D9Q98_007318 [Chlorella vulgaris]
OG0000541	RMZ54402.1 hypothetical protein APUTEX25_001978 [Auxenochlorella protothecoides]	KAI3435486.1 hypothetical protein D9Q98_001552 [Chlorella vulgaris], KAI3433430.1 hypothetical protein D9Q98_003245 [Chlorella vulgaris]
OG0000542	RMZ54410.1 hypothetical protein APUTEX25_001986 [Auxenochlorella protothecoides]	KAI3437729.1 hypothetical protein D9Q98_000177 [Chlorella vulgaris]
OG0000543	RMZ54498.1 hypothetical protein APUTEX25_002074_ partial [Auxenochlorella protothecoides]	KAI3429412.1 hypothetical protein D9Q98_005507 [Chlorella vulgaris]
OG0000544	RMZ54806.1 hypothetical protein APUTEX25_000323_ partial [Auxenochlorella protothecoides]	KAI3436393.1 hypothetical protein D9Q98_005810 [Chlorella vulgaris]
OG0000544	RMZ54556.1 hypothetical protein APUTEX25_002131 [Auxenochlorella protothecoides]	KAI3438745.1 hypothetical protein D9Q98_001164 [Chlorella vulgaris]
OG0000545	RMZ54559.1 hypothetical protein APUTEX25_002134 [Auxenochlorella protothecoides]	KAI3433584.1 hypothetical protein D9Q98_003395 [Chlorella vulgaris]
OG0000546	RMZ54704.1 hypothetical protein APUTEX25_003082_ partial [Auxenochlorella protothecoides]	KAI3438264.1 hypothetical protein D9Q98_000700 [Chlorella vulgaris], KAI3430380.1 hypothetical protein D9Q98_004975 [Chlorella vulgaris], KAI3430379.1 hypothetical protein D9Q98_004974 [Chlorella vulgaris]
OG0000547	RMZ54726.1 hypothetical protein APUTEX25_003104 [Auxenochlorella protothecoides]	KAI3430628.1 hypothetical protein D9Q98_005221 [Chlorella vulgaris]
OG0000548	RMZ54812.1 hypothetical protein APUTEX25_000329 [Auxenochlorella protothecoides]	KAI3434889.1 hypothetical protein D9Q98_002943 [Chlorella vulgaris]
OG0000549	RMZ54897.1 hypothetical protein APUTEX25_000414 [Auxenochlorella protothecoides]	KAI3434657.1 hypothetical protein D9Q98_002721 [Chlorella vulgaris], KAI3437913.1 hypothetical protein D9Q98_000358 [Chlorella vulgaris]
OG0000550	RMZ54980.1 hypothetical protein APUTEX25_000497 [Auxenochlorella protothecoides]	KAI3438829.1 hypothetical protein D9Q98_001246 [Chlorella vulgaris], KAI3427955.1 hypothetical protein D9Q98_006345 [Chlorella vulgaris], KAI3438052.1 hypothetical protein D9Q98_000495 [Chlorella vulgaris], KAI3424169.1 hypothetical protein D9Q98_009528 [Chlorella vulgaris], KAI3424168.1 hypothetical protein D9Q98_009527 [Chlorella vulgaris], KAI3424167.1 hypothetical protein D9Q98_009526 [Chlorella vulgaris], KAI3424171.1 hypothetical protein D9Q98_009530 [Chlorella vulgaris]
OG0000551	RMZ55476.1 hypothetical protein APUTEX25_000059 [Auxenochlorella protothecoides]	KAI3436643.1 hypothetical protein D9Q98_006059 [Chlorella vulgaris]
OG0000551	RMZ55028.1 hypothetical protein APUTEX25_005654 [Auxenochlorella protothecoides]	KAI3428793.1 hypothetical protein D9Q98_007612 [Chlorella vulgaris]
OG0000553	RMZ55133.1 hypothetical protein APUTEX25_005411 [Auxenochlorella protothecoides]	KAI3438892.1 hypothetical protein D9Q98_001307 [Chlorella vulgaris]
OG0000554	RMZ55239.1 hypothetical protein APUTEX25_005517 [Auxenochlorella protothecoides]	KAI3435823.1 hypothetical protein D9Q98_001881 [Chlorella vulgaris]
OG0000555	RMZ57441.1 hypothetical protein APUTEX25_004275 [Auxenochlorella protothecoides]	KAI3433685.1 hypothetical protein D9Q98_003494 [Chlorella vulgaris]
OG0000555	RMZ55265.1 hypothetical protein APUTEX25_005543 [Auxenochlorella protothecoides]	KAI3438907.1 hypothetical protein D9Q98_001321 [Chlorella vulgaris]
OG0000556	RMZ55439.1 hypothetical protein APUTEX25_003563 [Auxenochlorella protothecoides]	KAI3429840.1 hypothetical protein D9Q98_010152 [Chlorella vulgaris]
OG0000557	RMZ55463.1 hypothetical protein APUTEX25_003587_ partial [Auxenochlorella protothecoides], RMZ56118.1 hypothetical protein APUTEX25_004542_ partial [Auxenochlorella protothecoides]	KAI3428126.1 hypothetical protein D9Q98_006509 [Chlorella vulgaris]
OG0000558	RMZ55527.1 hypothetical protein APUTEX25_000110 [Auxenochlorella protothecoides]	KAI3430483.1 hypothetical protein D9Q98_005078 [Chlorella vulgaris]
OG0000559	RMZ55545.1 hypothetical protein APUTEX25_000128 [Auxenochlorella protothecoides]	KAI3430554.1 hypothetical protein D9Q98_005147 [Chlorella vulgaris]
OG0000559	RMZ55624.1 hypothetical protein APUTEX25_000207_ partial [Auxenochlorella protothecoides]	KAI3438606.1 hypothetical protein D9Q98_001029 [Chlorella vulgaris]
OG0000560	RMZ55629.1 hypothetical protein APUTEX25_000212_ partial [Auxenochlorella protothecoides]	KAI3424173.1 hypothetical protein D9Q98_009532 [Chlorella vulgaris]
OG0000561	RMZ55661.1 hypothetical protein APUTEX25_000244_ partial [Auxenochlorella protothecoides]	KAI3424207.1 hypothetical protein D9Q98_009563 [Chlorella vulgaris], KAI3435004.1 hypothetical protein D9Q98_003056 [Chlorella vulgaris]
OG0000562	RMZ55695.1 hypothetical protein APUTEX25_005736 [Auxenochlorella protothecoides]	KAI3425899.1 hypothetical protein D9Q98_007872 [Chlorella vulgaris]
OG0000563	RMZ55717.1 hypothetical protein APUTEX25_005758 [Auxenochlorella protothecoides]	KAI3433504.1 hypothetical protein D9Q98_003316 [Chlorella vulgaris], KAI3436488.1 hypothetical protein D9Q98_005905 [Chlorella vulgaris], KAI3436487.1 hypothetical protein D9Q98_005904 [Chlorella vulgaris]
OG0000564	RMZ57295.1 hypothetical protein APUTEX25_004129 [Auxenochlorella protothecoides]	KAI3434530.1 hypothetical protein D9Q98_002603 [Chlorella vulgaris]
OG0000564	RMZ55748.1 hypothetical protein APUTEX25_005789_ partial [Auxenochlorella protothecoides], RMZ55740.1 hypothetical protein APUTEX25_005781_ partial [Auxenochlorella protothecoides]	KAI3425969.1 hypothetical protein D9Q98_007937 [Chlorella vulgaris]
OG0000565	RMZ55744.1 hypothetical protein APUTEX25_005785 [Auxenochlorella protothecoides]	KAI3425980.1 hypothetical protein D9Q98_007948 [Chlorella vulgaris]
OG0000566	RMZ55867.1 hypothetical protein APUTEX25_003833 [Auxenochlorella protothecoides]	KAI3430279.1 hypothetical protein D9Q98_004875 [Chlorella vulgaris], KAI3431453.1 hypothetical protein D9Q98_004505 [Chlorella vulgaris]
OG0000567	RMZ56083.1 hypothetical protein APUTEX25_004507 [Auxenochlorella protothecoides]	KAI3423957.1 hypothetical protein D9Q98_009791 [Chlorella vulgaris]
OG0000568	RMZ56228.1 hypothetical protein APUTEX25_002418 [Auxenochlorella protothecoides]	KAI3430333.1 hypothetical protein D9Q98_004928 [Chlorella vulgaris]
OG0000568	RMZ56190.1 hypothetical protein APUTEX25_002380 [Auxenochlorella protothecoides]	KAI3430332.1 hypothetical protein D9Q98_004927 [Chlorella vulgaris]
OG0000569	RMZ56311.1 hypothetical protein APUTEX25_000550 [Auxenochlorella protothecoides]	KAI3434693.1 hypothetical protein D9Q98_002756 [Chlorella vulgaris]
OG0000570	RMZ56315.1 hypothetical protein APUTEX25_000554 [Auxenochlorella protothecoides]	KAI3434722.1 hypothetical protein D9Q98_002783 [Chlorella vulgaris]
OG0000571	RMZ56456.1 hypothetical protein APUTEX25_004679 [Auxenochlorella protothecoides]	KAI3423885.1 hypothetical protein D9Q98_009719 [Chlorella vulgaris], KAI3436067.1 hypothetical protein D9Q98_002125 [Chlorella vulgaris], KAI3436068.1 hypothetical protein D9Q98_002126 [Chlorella vulgaris]
OG0000572	RMZ56474.1 hypothetical protein APUTEX25_001321_ partial [Auxenochlorella protothecoides]	KAI3434894.1 hypothetical protein D9Q98_002948 [Chlorella vulgaris]
OG0000573	RMZ56532.1 hypothetical protein APUTEX25_001379 [Auxenochlorella protothecoides]	KAI3430859.1 hypothetical protein D9Q98_009268 [Chlorella vulgaris]
OG0000573	RMZ57188.1 hypothetical protein APUTEX25_004022 [Auxenochlorella protothecoides]	KAI3430849.1 hypothetical protein D9Q98_009259 [Chlorella vulgaris]
OG0000574	RMZ56844.1 hypothetical protein APUTEX25_002933_ partial [Auxenochlorella protothecoides]	KAI3438549.1 hypothetical protein D9Q98_000977 [Chlorella vulgaris], KAI3438548.1 hypothetical protein D9Q98_000976 [Chlorella vulgaris]
OG0000575	RMZ56847.1 hypothetical protein APUTEX25_002936 [Auxenochlorella protothecoides]	KAI3436688.1 hypothetical protein D9Q98_006103 [Chlorella vulgaris]
OG0000576	RMZ56897.1 hypothetical protein APUTEX25_002986 [Auxenochlorella protothecoides]	KAI3424424.1 hypothetical protein D9Q98_009976 [Chlorella vulgaris]
OG0000577	RMZ56949.1 hypothetical protein APUTEX25_005011 [Auxenochlorella protothecoides]	KAI3428755.1 hypothetical protein D9Q98_007577 [Chlorella vulgaris]
OG0000578	RMZ56936.1 hypothetical protein APUTEX25_004998 [Auxenochlorella protothecoides]	KAI3428656.1 hypothetical protein D9Q98_007479 [Chlorella vulgaris], KAI3428657.1 hypothetical protein D9Q98_007480 [Chlorella vulgaris]
OG0000579	RMZ56942.1 hypothetical protein APUTEX25_005004 [Auxenochlorella protothecoides]	KAI3428695.1 hypothetical protein D9Q98_007518 [Chlorella vulgaris], KAI3428103.1 hypothetical protein D9Q98_006486 [Chlorella vulgaris]
OG0000580	RMZ57063.1 hypothetical protein APUTEX25_002295_ partial [Auxenochlorella protothecoides]	KAI3424819.1 hypothetical protein D9Q98_008205 [Chlorella vulgaris]
OG0000581	RMZ57082.1 hypothetical protein APUTEX25_002314 [Auxenochlorella protothecoides]	KAI3436761.1 hypothetical protein D9Q98_006173 [Chlorella vulgaris]
OG0000582	RMZ57104.1 hypothetical protein APUTEX25_002336 [Auxenochlorella protothecoides]	KAI3434507.1 hypothetical protein D9Q98_002581 [Chlorella vulgaris]
OG0000583	RMZ57150.1 hypothetical protein APUTEX25_003984 [Auxenochlorella protothecoides]	KAI3438715.1 hypothetical protein D9Q98_001135 [Chlorella vulgaris]
OG0000583	RMZ57164.1 hypothetical protein APUTEX25_003998 [Auxenochlorella protothecoides]	KAI3429369.1 hypothetical protein D9Q98_005464 [Chlorella vulgaris]
OG0000584	RMZ57178.1 hypothetical protein APUTEX25_004012 [Auxenochlorella protothecoides]	KAI3425239.1 hypothetical protein D9Q98_009007 [Chlorella vulgaris]
OG0000585	RMZ57249.1 hypothetical protein APUTEX25_004083 [Auxenochlorella protothecoides]	KAI3425268.1 hypothetical protein D9Q98_009035 [Chlorella vulgaris]
OG0000586	RMZ57309.1 hypothetical protein APUTEX25_004143 [Auxenochlorella protothecoides]	KAI3435961.1 hypothetical protein D9Q98_002019 [Chlorella vulgaris]
OG0000587	RMZ57360.1 hypothetical protein APUTEX25_004194 [Auxenochlorella protothecoides]	KAI3428459.1 hypothetical protein D9Q98_007285 [Chlorella vulgaris]
OG0000588	RMZ57446.1 hypothetical protein APUTEX25_004280 [Auxenochlorella protothecoides]	KAI3428144.1 hypothetical protein D9Q98_006528 [Chlorella vulgaris]
OG0000588	RMZ57370.1 hypothetical protein APUTEX25_004204 [Auxenochlorella protothecoides]	KAI3428145.1 hypothetical protein D9Q98_006529 [Chlorella vulgaris]
OG0000589	RMZ57402.1 hypothetical protein APUTEX25_004236 [Auxenochlorella protothecoides]	KAI3431866.1 hypothetical protein D9Q98_010617 [Chlorella vulgaris], KAI3434445.1 hypothetical protein D9Q98_002522 [Chlorella vulgaris], KAI3424381.1 hypothetical protein D9Q98_009934 [Chlorella vulgaris], KAI3424377.1 hypothetical protein D9Q98_009930 [Chlorella vulgaris]
OG0000590	RMZ57503.1 hypothetical protein APUTEX25_003746 [Auxenochlorella protothecoides]	KAI3433841.1 hypothetical protein D9Q98_003644 [Chlorella vulgaris]
OG0000590	RMZ57508.1 hypothetical protein APUTEX25_003751 [Auxenochlorella protothecoides]	KAI3433842.1 hypothetical protein D9Q98_003645 [Chlorella vulgaris]
OG0000609	RMZ52010.1 hypothetical protein APUTEX25_001204 [Auxenochlorella protothecoides]	KAI3434633.1 hypothetical protein D9Q98_002700 [Chlorella vulgaris]
