Orthogroup	Auxenochlorella_protothecoides	Coccomyxa_SubellipsoideaC169
OG0000798	RMZ55381.1 hypothetical protein APUTEX25_003505 [Auxenochlorella protothecoides]	EIE25649.1 hypothetical protein COCSUDRAFT_60661 [Coccomyxa subellipsoidea C-169], EIE25739.1 hypothetical protein COCSUDRAFT_46359 [Coccomyxa subellipsoidea C-169]
OG0000799	RMZ55698.1 hypothetical protein APUTEX25_005739 [Auxenochlorella protothecoides]	EIE18157.1 Maf-like protein [Coccomyxa subellipsoidea C-169]
OG0000799	RMZ55407.1 hypothetical protein APUTEX25_003531 [Auxenochlorella protothecoides]	EIE23808.1 DNA/RNA non-specific endonuclease_ partial [Coccomyxa subellipsoidea C-169]
OG0000800	RMZ55433.1 hypothetical protein APUTEX25_003557 [Auxenochlorella protothecoides]	EIE25147.1 NADPH-dependent thioredoxin reductase 1 [Coccomyxa subellipsoidea C-169]
OG0000801	RMZ55448.1 hypothetical protein APUTEX25_003572 [Auxenochlorella protothecoides], RMZ55466.1 hypothetical protein APUTEX25_003590 [Auxenochlorella protothecoides]	EIE27759.1 hypothetical protein COCSUDRAFT_64369 [Coccomyxa subellipsoidea C-169]
OG0000801	RMZ55436.1 hypothetical protein APUTEX25_003560 [Auxenochlorella protothecoides]	EIE20524.1 hypothetical protein COCSUDRAFT_57673 [Coccomyxa subellipsoidea C-169]
OG0000802	RMZ55494.1 hypothetical protein APUTEX25_000077 [Auxenochlorella protothecoides]	EIE20820.1 hypothetical protein COCSUDRAFT_30453 [Coccomyxa subellipsoidea C-169], EIE23755.1 hypothetical protein COCSUDRAFT_41909 [Coccomyxa subellipsoidea C-169]
OG0000803	RMZ55587.1 hypothetical protein APUTEX25_000170 [Auxenochlorella protothecoides]	EIE19883.1 DUF914-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE24481.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0000804	RMZ55620.1 hypothetical protein APUTEX25_000203 [Auxenochlorella protothecoides]	EIE23569.1 ferredoxin reductase-like protein [Coccomyxa subellipsoidea C-169], EIE23241.1 ferredoxin reductase-like protein [Coccomyxa subellipsoidea C-169]
OG0000805	RMZ55656.1 hypothetical protein APUTEX25_000239 [Auxenochlorella protothecoides]	EIE23772.1 hypothetical protein COCSUDRAFT_29004 [Coccomyxa subellipsoidea C-169]
OG0000806	RMZ55722.1 hypothetical protein APUTEX25_005763 [Auxenochlorella protothecoides]	EIE23203.1 putative light-induced protein [Coccomyxa subellipsoidea C-169]
OG0000807	RMZ55778.1 hypothetical protein APUTEX25_005819 [Auxenochlorella protothecoides]	EIE26106.1 iron permease FTR1 [Coccomyxa subellipsoidea C-169]
OG0000808	RMZ55789.1 hypothetical protein APUTEX25_005830 [Auxenochlorella protothecoides], RMZ57160.1 hypothetical protein APUTEX25_003994 [Auxenochlorella protothecoides]	EIE21573.1 hypothetical protein COCSUDRAFT_17393 [Coccomyxa subellipsoidea C-169]
OG0000809	RMZ55949.1 hypothetical protein APUTEX25_004373_ partial [Auxenochlorella protothecoides]	EIE25001.1 RNI-like protein [Coccomyxa subellipsoidea C-169], EIE19962.1 hypothetical protein COCSUDRAFT_58198 [Coccomyxa subellipsoidea C-169], EIE27295.1 RNI-like protein [Coccomyxa subellipsoidea C-169]
OG0000810	RMZ56006.1 hypothetical protein APUTEX25_004430 [Auxenochlorella protothecoides]	EIE27747.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169], EIE18602.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]
OG0000811	RMZ56090.1 hypothetical protein APUTEX25_004514_ partial [Auxenochlorella protothecoides]	EIE25035.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0000812	RMZ56147.1 hypothetical protein APUTEX25_004571 [Auxenochlorella protothecoides]	EIE19492.1 calcium-translocating P-type ATPase [Coccomyxa subellipsoidea C-169]
OG0000813	RMZ56164.1 hypothetical protein APUTEX25_004588 [Auxenochlorella protothecoides]	EIE21892.1 hypothetical protein COCSUDRAFT_56339 [Coccomyxa subellipsoidea C-169], EIE18845.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0000814	RMZ56183.1 hypothetical protein APUTEX25_002373 [Auxenochlorella protothecoides]	EIE24400.1 glutamate dehydrogenase [Coccomyxa subellipsoidea C-169], EIE23148.1 glutamate dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0000815	RMZ56394.1 hypothetical protein APUTEX25_004617 [Auxenochlorella protothecoides]	EIE21619.1 thiolase [Coccomyxa subellipsoidea C-169]
OG0000816	RMZ56427.1 hypothetical protein APUTEX25_004650_ partial [Auxenochlorella protothecoides], RMZ56431.1 hypothetical protein APUTEX25_004654 [Auxenochlorella protothecoides]	EIE25520.1 hypothetical protein COCSUDRAFT_32673 [Coccomyxa subellipsoidea C-169]
OG0000817	RMZ56601.1 hypothetical protein APUTEX25_004765_ partial [Auxenochlorella protothecoides]	EIE22417.1 hypothetical protein COCSUDRAFT_16693 [Coccomyxa subellipsoidea C-169], EIE22416.1 Clc chloride channel [Coccomyxa subellipsoidea C-169]
OG0000818	RMZ56638.1 hypothetical protein APUTEX25_002727_ partial [Auxenochlorella protothecoides]	EIE18899.1 mitochondrial carrier protein [Coccomyxa subellipsoidea C-169]
OG0000819	RMZ56733.1 hypothetical protein APUTEX25_002822 [Auxenochlorella protothecoides]	EIE25225.1 hypothetical protein COCSUDRAFT_61463 [Coccomyxa subellipsoidea C-169]
OG0000819	RMZ56774.1 hypothetical protein APUTEX25_002863 [Auxenochlorella protothecoides]	EIE25264.1 hypothetical protein COCSUDRAFT_13889_ partial [Coccomyxa subellipsoidea C-169]
OG0000820	RMZ56800.1 hypothetical protein APUTEX25_002889_ partial [Auxenochlorella protothecoides]	EIE20136.1 gamma-carbonic anhydrase [Coccomyxa subellipsoidea C-169]
OG0000821	RMZ56827.1 hypothetical protein APUTEX25_002916 [Auxenochlorella protothecoides]	EIE26739.1 hypothetical protein COCSUDRAFT_52442 [Coccomyxa subellipsoidea C-169]
OG0000822	RMZ56911.1 hypothetical protein APUTEX25_004973 [Auxenochlorella protothecoides]	EIE22276.1 lipoyltransferase_ partial [Coccomyxa subellipsoidea C-169], EIE27233.1 LIPOYLtransferase 2 [Coccomyxa subellipsoidea C-169]
OG0000823	RMZ56952.1 hypothetical protein APUTEX25_005014_ partial [Auxenochlorella protothecoides]	EIE19532.1 hypothetical protein COCSUDRAFT_44410 [Coccomyxa subellipsoidea C-169]
OG0000824	RMZ57030.1 hypothetical protein APUTEX25_002262_ partial [Auxenochlorella protothecoides]	EIE20860.1 beta and beta-prime subunits of DNA dependent RNA-polymerase [Coccomyxa subellipsoidea C-169]
OG0000825	RMZ57124.1 hypothetical protein APUTEX25_002356 [Auxenochlorella protothecoides]	EIE26810.1 hypothetical protein COCSUDRAFT_46239 [Coccomyxa subellipsoidea C-169]
OG0000826	RMZ57125.1 hypothetical protein APUTEX25_002357 [Auxenochlorella protothecoides]	EIE22743.1 60S ribosomal protein L37a [Coccomyxa subellipsoidea C-169]
OG0000827	RMZ57161.1 hypothetical protein APUTEX25_003995 [Auxenochlorella protothecoides]	EIE23070.1 acetohydroxy acid isomeroreductase [Coccomyxa subellipsoidea C-169]
OG0000828	RMZ57214.1 hypothetical protein APUTEX25_004048 [Auxenochlorella protothecoides]	EIE25496.1 hypothetical protein COCSUDRAFT_61709 [Coccomyxa subellipsoidea C-169]
OG0000828	RMZ57331.1 hypothetical protein APUTEX25_004165 [Auxenochlorella protothecoides]	EIE25523.1 hypothetical protein COCSUDRAFT_40742 [Coccomyxa subellipsoidea C-169]
OG0000829	RMZ57252.1 hypothetical protein APUTEX25_004086_ partial [Auxenochlorella protothecoides]	EIE18979.1 hypothetical protein COCSUDRAFT_68115 [Coccomyxa subellipsoidea C-169]
OG0000830	RMZ57261.1 hypothetical protein APUTEX25_004095_ partial [Auxenochlorella protothecoides]	EIE22727.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000833	RMZ57362.1 hypothetical protein APUTEX25_004196_ partial [Auxenochlorella protothecoides]	EIE27328.1 hypothetical protein COCSUDRAFT_31977 [Coccomyxa subellipsoidea C-169]
OG0000834	RMZ57386.1 hypothetical protein APUTEX25_004220 [Auxenochlorella protothecoides]	EIE21176.1 mannose-P-dolichol utilization defect 1 protein [Coccomyxa subellipsoidea C-169], EIE19087.1 hypothetical protein COCSUDRAFT_34352 [Coccomyxa subellipsoidea C-169]
OG0000835	RMZ57409.1 hypothetical protein APUTEX25_004243_ partial [Auxenochlorella protothecoides]	EIE22079.1 trypsin-like serine protease_ partial [Coccomyxa subellipsoidea C-169]
OG0000836	RMZ57420.1 hypothetical protein APUTEX25_004254_ partial [Auxenochlorella protothecoides]	EIE18989.1 hypothetical protein COCSUDRAFT_68118 [Coccomyxa subellipsoidea C-169], EIE18990.1 hypothetical protein COCSUDRAFT_54832 [Coccomyxa subellipsoidea C-169]
OG0000837	RMZ57437.1 hypothetical protein APUTEX25_004271 [Auxenochlorella protothecoides]	EIE20068.1 hypothetical protein COCSUDRAFT_48589 [Coccomyxa subellipsoidea C-169]
OG0000838	RMZ57462.1 hypothetical protein APUTEX25_004296 [Auxenochlorella protothecoides]	EIE25269.1 hypothetical protein COCSUDRAFT_61497 [Coccomyxa subellipsoidea C-169]
OG0000839	RMZ57486.1 hypothetical protein APUTEX25_003729_ partial [Auxenochlorella protothecoides]	EIE27172.1 hypothetical protein COCSUDRAFT_64104 [Coccomyxa subellipsoidea C-169]
OG0000840	RMZ57487.1 hypothetical protein APUTEX25_003730 [Auxenochlorella protothecoides]	EIE18722.1 hypothetical protein COCSUDRAFT_60030 [Coccomyxa subellipsoidea C-169]
OG0000841	RMZ57544.1 hypothetical protein APUTEX25_001744_ partial [Auxenochlorella protothecoides]	EIE22251.1 hypothetical protein COCSUDRAFT_66525 [Coccomyxa subellipsoidea C-169]
OG0000842	RMZ57549.1 hypothetical protein APUTEX25_001749 [Auxenochlorella protothecoides]	EIE18663.1 hypothetical protein COCSUDRAFT_45149 [Coccomyxa subellipsoidea C-169]
OG0000843	RMZ57682.1 hypothetical protein APUTEX25_001882 [Auxenochlorella protothecoides]	EIE20300.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]
OG0000844	RMZ57716.1 hypothetical protein APUTEX25_001916 [Auxenochlorella protothecoides]	EIE24678.1 ENTH-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000878	RMZ52055.1 hypothetical protein APUTEX25_001249 [Auxenochlorella protothecoides]	EIE22480.1 hypothetical protein COCSUDRAFT_47904 [Coccomyxa subellipsoidea C-169]
OG0000880	RMZ52156.1 hypothetical protein APUTEX25_001546 [Auxenochlorella protothecoides]	EIE20297.1 hypothetical protein COCSUDRAFT_58006 [Coccomyxa subellipsoidea C-169]
OG0000881	RMZ52158.1 hypothetical protein APUTEX25_001548 [Auxenochlorella protothecoides]	EIE27033.1 putative nuclease domain protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000882	RMZ52184.1 hypothetical protein APUTEX25_001574 [Auxenochlorella protothecoides]	EIE19234.1 PIN domain-like protein [Coccomyxa subellipsoidea C-169]
OG0000883	RMZ52261.1 hypothetical protein APUTEX25_001651_ partial [Auxenochlorella protothecoides]	EIE26419.1 cysteine proteinase [Coccomyxa subellipsoidea C-169], EIE26421.1 hypothetical protein COCSUDRAFT_64484 [Coccomyxa subellipsoidea C-169]
OG0000884	RMZ52262.1 hypothetical protein APUTEX25_001652_ partial [Auxenochlorella protothecoides]	EIE22125.1 hypothetical protein COCSUDRAFT_24131 [Coccomyxa subellipsoidea C-169], EIE19311.1 hypothetical protein COCSUDRAFT_58604 [Coccomyxa subellipsoidea C-169], EIE25667.1 hypothetical protein COCSUDRAFT_46326 [Coccomyxa subellipsoidea C-169]
OG0000885	RMZ52265.1 hypothetical protein APUTEX25_001655_ partial [Auxenochlorella protothecoides]	EIE18445.1 hypothetical protein COCSUDRAFT_45253 [Coccomyxa subellipsoidea C-169]
OG0000886	RMZ54335.1 hypothetical protein APUTEX25_001493 [Auxenochlorella protothecoides]	EIE21428.1 hypothetical protein COCSUDRAFT_53985 [Coccomyxa subellipsoidea C-169]
OG0000886	RMZ52270.1 hypothetical protein APUTEX25_001660 [Auxenochlorella protothecoides]	EIE22573.1 hypothetical protein COCSUDRAFT_53587 [Coccomyxa subellipsoidea C-169]
OG0000887	RMZ52288.1 hypothetical protein APUTEX25_001678_ partial [Auxenochlorella protothecoides]	EIE19134.1 hypothetical protein COCSUDRAFT_59618 [Coccomyxa subellipsoidea C-169]
OG0000888	RMZ52303.1 hypothetical protein APUTEX25_001919 [Auxenochlorella protothecoides]	EIE27529.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0000888	RMZ55915.1 hypothetical protein APUTEX25_004339 [Auxenochlorella protothecoides]	EIE24024.1 SET domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000889	RMZ52351.1 hypothetical protein APUTEX25_001713_ partial [Auxenochlorella protothecoides]	EIE18270.1 hypothetical protein COCSUDRAFT_49349 [Coccomyxa subellipsoidea C-169]
OG0000890	RMZ52372.1 hypothetical protein APUTEX25_000647 [Auxenochlorella protothecoides]	EIE27439.1 hypothetical protein COCSUDRAFT_11457 [Coccomyxa subellipsoidea C-169]
OG0000891	RMZ52393.1 hypothetical protein APUTEX25_000668_ partial [Auxenochlorella protothecoides]	EIE26583.1 Rubisco activase [Coccomyxa subellipsoidea C-169]
OG0000892	RMZ52430.1 hypothetical protein APUTEX25_000009_ partial [Auxenochlorella protothecoides]	EIE19776.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169], EIE24550.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169], EIE27654.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]
OG0000893	RMZ52460.1 hypothetical protein APUTEX25_000039 [Auxenochlorella protothecoides]	EIE27475.1 prenylated rab acceptor family protein [Coccomyxa subellipsoidea C-169]
OG0000894	RMZ52513.1 hypothetical protein APUTEX25_003656 [Auxenochlorella protothecoides]	EIE19613.1 hypothetical protein COCSUDRAFT_58358 [Coccomyxa subellipsoidea C-169]
OG0000895	RMZ52551.1 hypothetical protein APUTEX25_003694 [Auxenochlorella protothecoides]	EIE19635.1 hypothetical protein COCSUDRAFT_54568 [Coccomyxa subellipsoidea C-169]
OG0000896	RMZ52607.1 hypothetical protein APUTEX25_000726 [Auxenochlorella protothecoides]	EIE26717.1 hypothetical protein COCSUDRAFT_59234 [Coccomyxa subellipsoidea C-169]
OG0000897	RMZ52757.1 hypothetical protein APUTEX25_000876_ partial [Auxenochlorella protothecoides]	EIE24512.1 phosphoglycerate dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0000897	RMZ52613.1 hypothetical protein APUTEX25_000732_ partial [Auxenochlorella protothecoides]	EIE24714.1 hypothetical protein COCSUDRAFT_41038 [Coccomyxa subellipsoidea C-169]
OG0000898	RMZ52634.1 hypothetical protein APUTEX25_000753 [Auxenochlorella protothecoides]	EIE18893.1 hypothetical protein COCSUDRAFT_45039 [Coccomyxa subellipsoidea C-169], EIE18896.1 DUF699-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000899	RMZ52937.1 hypothetical protein APUTEX25_001056_ partial [Auxenochlorella protothecoides]	EIE19918.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]
OG0000899	RMZ52637.1 hypothetical protein APUTEX25_000756 [Auxenochlorella protothecoides]	EIE19917.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0000900	RMZ52673.1 hypothetical protein APUTEX25_000792_ partial [Auxenochlorella protothecoides], RMZ55069.1 hypothetical protein APUTEX25_005695_ partial [Auxenochlorella protothecoides]	EIE22968.1 hypothetical protein COCSUDRAFT_63361 [Coccomyxa subellipsoidea C-169], EIE23237.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169], EIE20827.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]
OG0000901	RMZ52706.1 hypothetical protein APUTEX25_000825_ partial [Auxenochlorella protothecoides]	EIE24564.1 E2 ubiquitin-conjugating-like enzyme [Coccomyxa subellipsoidea C-169]
OG0000902	RMZ52733.1 hypothetical protein APUTEX25_000852_ partial [Auxenochlorella protothecoides]	EIE18139.1 hypothetical protein COCSUDRAFT_49367 [Coccomyxa subellipsoidea C-169]
OG0000903	RMZ52748.1 hypothetical protein APUTEX25_000867 [Auxenochlorella protothecoides]	EIE24349.1 hypothetical protein COCSUDRAFT_65858 [Coccomyxa subellipsoidea C-169]
OG0000904	RMZ52754.1 hypothetical protein APUTEX25_000873 [Auxenochlorella protothecoides]	EIE18591.1 histone acetyltransferase [Coccomyxa subellipsoidea C-169]
OG0000905	RMZ52849.1 hypothetical protein APUTEX25_000968 [Auxenochlorella protothecoides]	EIE19722.1 hypothetical protein COCSUDRAFT_54594 [Coccomyxa subellipsoidea C-169]
OG0000906	RMZ52892.1 hypothetical protein APUTEX25_001011_ partial [Auxenochlorella protothecoides]	EIE21494.1 hypothetical protein COCSUDRAFT_56707 [Coccomyxa subellipsoidea C-169]
OG0000907	RMZ52953.1 hypothetical protein APUTEX25_001072 [Auxenochlorella protothecoides]	EIE20503.1 magnesium chelatase subunit D [Coccomyxa subellipsoidea C-169]
OG0000908	RMZ52988.1 hypothetical protein APUTEX25_001107 [Auxenochlorella protothecoides]	EIE18454.1 iron-sulfur cluster assembly protein IscA [Coccomyxa subellipsoidea C-169]
OG0000909	RMZ53303.1 hypothetical protein APUTEX25_004791 [Auxenochlorella protothecoides]	EIE18284.1 hypothetical protein COCSUDRAFT_20812 [Coccomyxa subellipsoidea C-169]
OG0000910	RMZ53344.1 hypothetical protein APUTEX25_004832 [Auxenochlorella protothecoides]	EIE18818.1 hypothetical protein COCSUDRAFT_59748 [Coccomyxa subellipsoidea C-169]
OG0000911	RMZ53471.1 hypothetical protein APUTEX25_003293 [Auxenochlorella protothecoides]	EIE22549.1 hypothetical protein COCSUDRAFT_42230 [Coccomyxa subellipsoidea C-169]
OG0000912	RMZ53472.1 hypothetical protein APUTEX25_003294_ partial [Auxenochlorella protothecoides]	EIE26035.1 hypothetical protein COCSUDRAFT_61027 [Coccomyxa subellipsoidea C-169]
OG0000913	RMZ53474.1 hypothetical protein APUTEX25_003296_ partial [Auxenochlorella protothecoides]	EIE21707.1 RNA-binding domain-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE23697.1 hypothetical protein COCSUDRAFT_8654_ partial [Coccomyxa subellipsoidea C-169]
OG0000914	RMZ53489.1 hypothetical protein APUTEX25_003311 [Auxenochlorella protothecoides]	EIE25823.1 hypothetical protein COCSUDRAFT_60832 [Coccomyxa subellipsoidea C-169]
OG0000915	RMZ53498.1 hypothetical protein APUTEX25_003320 [Auxenochlorella protothecoides]	EIE25929.1 long-chain-fatty-acid CoA ligase [Coccomyxa subellipsoidea C-169]
OG0000916	RMZ53513.1 hypothetical protein APUTEX25_003335 [Auxenochlorella protothecoides], RMZ53510.1 hypothetical protein APUTEX25_003332 [Auxenochlorella protothecoides]	EIE21421.1 hypothetical protein COCSUDRAFT_48103 [Coccomyxa subellipsoidea C-169]
OG0000917	RMZ53534.1 hypothetical protein APUTEX25_003356 [Auxenochlorella protothecoides]	EIE25938.1 hypothetical protein COCSUDRAFT_27529 [Coccomyxa subellipsoidea C-169]
OG0000918	RMZ53653.1 hypothetical protein APUTEX25_003187_ partial [Auxenochlorella protothecoides], RMZ53647.1 hypothetical protein APUTEX25_003181_ partial [Auxenochlorella protothecoides]	EIE23163.1 Ribokinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000919	RMZ53651.1 hypothetical protein APUTEX25_003185 [Auxenochlorella protothecoides]	EIE21838.1 hypothetical protein COCSUDRAFT_56289 [Coccomyxa subellipsoidea C-169]
OG0000920	RMZ53729.1 hypothetical protein APUTEX25_003263 [Auxenochlorella protothecoides]	EIE27757.1 hypothetical protein COCSUDRAFT_55740 [Coccomyxa subellipsoidea C-169], EIE24852.1 hypothetical protein COCSUDRAFT_41130 [Coccomyxa subellipsoidea C-169]
OG0000921	RMZ53733.1 hypothetical protein APUTEX25_003872 [Auxenochlorella protothecoides]	EIE20286.1 hypothetical protein COCSUDRAFT_67565 [Coccomyxa subellipsoidea C-169]
OG0000921	RMZ53794.1 hypothetical protein APUTEX25_003933 [Auxenochlorella protothecoides]	EIE27205.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]
OG0000922	RMZ54458.1 hypothetical protein APUTEX25_002034_ partial [Auxenochlorella protothecoides], RMZ53735.1 hypothetical protein APUTEX25_003874 [Auxenochlorella protothecoides]	EIE18263.1 Mnt1 protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000923	RMZ53791.1 hypothetical protein APUTEX25_003930 [Auxenochlorella protothecoides]	EIE19826.1 hypothetical protein COCSUDRAFT_44252 [Coccomyxa subellipsoidea C-169]
OG0000923	RMZ55446.1 hypothetical protein APUTEX25_003570_ partial [Auxenochlorella protothecoides]	EIE25687.1 hypothetical protein COCSUDRAFT_64779 [Coccomyxa subellipsoidea C-169]
OG0000924	RMZ53854.1 hypothetical protein APUTEX25_005600_ partial [Auxenochlorella protothecoides]	EIE25414.1 hypothetical protein COCSUDRAFT_61633 [Coccomyxa subellipsoidea C-169], EIE22294.1 hypothetical protein COCSUDRAFT_55988 [Coccomyxa subellipsoidea C-169]
OG0000925	RMZ53877.1 hypothetical protein APUTEX25_005623 [Auxenochlorella protothecoides]	EIE21091.1 hypothetical protein COCSUDRAFT_33788 [Coccomyxa subellipsoidea C-169]
OG0000926	RMZ53878.1 hypothetical protein APUTEX25_005624_ partial [Auxenochlorella protothecoides]	EIE19009.1 hypothetical protein COCSUDRAFT_83599 [Coccomyxa subellipsoidea C-169]
OG0000927	RMZ56113.1 hypothetical protein APUTEX25_004537_ partial [Auxenochlorella protothecoides], RMZ53891.1 hypothetical protein APUTEX25_005573 [Auxenochlorella protothecoides]	EIE19767.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]
OG0000928	RMZ56864.1 hypothetical protein APUTEX25_002953 [Auxenochlorella protothecoides]	EIE26730.1 Translin [Coccomyxa subellipsoidea C-169]
OG0000929	RMZ55059.1 hypothetical protein APUTEX25_005685 [Auxenochlorella protothecoides], RMZ53964.1 hypothetical protein APUTEX25_002541 [Auxenochlorella protothecoides]	EIE21682.1 G-strand telomere binding protein 1 [Coccomyxa subellipsoidea C-169]
OG0000930	RMZ53978.1 hypothetical protein APUTEX25_002555 [Auxenochlorella protothecoides]	EIE26546.1 TPR-like protein [Coccomyxa subellipsoidea C-169]
OG0000931	RMZ53993.1 hypothetical protein APUTEX25_002570 [Auxenochlorella protothecoides]	EIE24051.1 hypothetical protein COCSUDRAFT_62574 [Coccomyxa subellipsoidea C-169]
OG0000932	RMZ54083.1 hypothetical protein APUTEX25_002660_ partial [Auxenochlorella protothecoides]	EIE22786.1 PRA-CH-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000933	RMZ54094.1 hypothetical protein APUTEX25_002671 [Auxenochlorella protothecoides], RMZ54092.1 hypothetical protein APUTEX25_002669_ partial [Auxenochlorella protothecoides]	EIE23100.1 hypothetical protein COCSUDRAFT_42055 [Coccomyxa subellipsoidea C-169], EIE18767.1 hypothetical protein COCSUDRAFT_49195 [Coccomyxa subellipsoidea C-169], EIE24130.1 hypothetical protein COCSUDRAFT_47154 [Coccomyxa subellipsoidea C-169]
OG0000934	RMZ54252.1 hypothetical protein APUTEX25_000603_ partial [Auxenochlorella protothecoides]	EIE23704.1 nucleotide-diphospho-sugar transferase [Coccomyxa subellipsoidea C-169], EIE23705.1 nucleotide-diphospho-sugar transferase_ partial [Coccomyxa subellipsoidea C-169]
OG0000936	RMZ54471.1 hypothetical protein APUTEX25_002047 [Auxenochlorella protothecoides]	EIE27426.1 hypothetical protein COCSUDRAFT_52164 [Coccomyxa subellipsoidea C-169]
OG0000938	RMZ54533.1 hypothetical protein APUTEX25_001705 [Auxenochlorella protothecoides], RMZ56598.1 hypothetical protein APUTEX25_004762 [Auxenochlorella protothecoides]	EIE24462.1 hypothetical protein COCSUDRAFT_65368 [Coccomyxa subellipsoidea C-169]
OG0000939	RMZ54546.1 hypothetical protein APUTEX25_002121 [Auxenochlorella protothecoides]	EIE25345.1 gamma-glutamyltranspeptidase [Coccomyxa subellipsoidea C-169]
OG0000940	RMZ54611.1 hypothetical protein APUTEX25_002197 [Auxenochlorella protothecoides]	EIE20875.1 initiation factor 3_ partial [Coccomyxa subellipsoidea C-169]
OG0000941	RMZ54696.1 hypothetical protein APUTEX25_003074 [Auxenochlorella protothecoides]	EIE22954.1 DAGAT-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000942	RMZ54705.1 hypothetical protein APUTEX25_003083 [Auxenochlorella protothecoides]	EIE26649.1 ankyrin [Coccomyxa subellipsoidea C-169]
OG0000943	RMZ54730.1 hypothetical protein APUTEX25_003108 [Auxenochlorella protothecoides]	EIE22055.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000944	RMZ54760.1 hypothetical protein APUTEX25_000277 [Auxenochlorella protothecoides]	EIE19007.1 hypothetical protein COCSUDRAFT_83597 [Coccomyxa subellipsoidea C-169]
OG0000945	RMZ54804.1 hypothetical protein APUTEX25_000321 [Auxenochlorella protothecoides]	EIE19092.1 hypothetical protein COCSUDRAFT_44871 [Coccomyxa subellipsoidea C-169]
OG0000946	RMZ54838.1 hypothetical protein APUTEX25_000355_ partial [Auxenochlorella protothecoides]	EIE19014.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0000947	RMZ57754.1 hypothetical protein APUTEX25_001709_ partial [Auxenochlorella protothecoides], RMZ54850.1 hypothetical protein APUTEX25_000367 [Auxenochlorella protothecoides]	EIE23147.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000948	RMZ54888.1 hypothetical protein APUTEX25_000405_ partial [Auxenochlorella protothecoides]	EIE21058.1 omega-3 fatty acid desaturase [Coccomyxa subellipsoidea C-169]
OG0000949	RMZ55773.1 hypothetical protein APUTEX25_005814 [Auxenochlorella protothecoides], RMZ54917.1 hypothetical protein APUTEX25_000434 [Auxenochlorella protothecoides]	EIE23640.1 Metallo-dependent phosphatase_ partial [Coccomyxa subellipsoidea C-169]
OG0000950	RMZ54941.1 hypothetical protein APUTEX25_000458_ partial [Auxenochlorella protothecoides]	EIE18998.1 hypothetical protein COCSUDRAFT_20201 [Coccomyxa subellipsoidea C-169]
OG0000951	RMZ54973.1 hypothetical protein APUTEX25_000490 [Auxenochlorella protothecoides]	EIE20738.1 hypothetical protein COCSUDRAFT_57302 [Coccomyxa subellipsoidea C-169]
OG0000952	RMZ55043.1 hypothetical protein APUTEX25_005669_ partial [Auxenochlorella protothecoides]	EIE23900.1 R-SNARE protein_ VAMP72-family [Coccomyxa subellipsoidea C-169], EIE19250.1 R-SNARE protein_ VAMP72-family [Coccomyxa subellipsoidea C-169]
OG0000953	RMZ55121.1 hypothetical protein APUTEX25_005399 [Auxenochlorella protothecoides]	EIE26723.1 PCI-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000954	RMZ55134.1 hypothetical protein APUTEX25_005412_ partial [Auxenochlorella protothecoides]	EIE18918.1 TPR-like protein [Coccomyxa subellipsoidea C-169]
OG0000955	RMZ55206.1 hypothetical protein APUTEX25_005484 [Auxenochlorella protothecoides]	EIE19682.1 coproporphyrinogen oxidase [Coccomyxa subellipsoidea C-169]
