Orthogroup	Auxenochlorella_protothecoides	Chlorella_Sorokiniana1602
OG0000823	RMZ56952.1 hypothetical protein APUTEX25_005014_ partial [Auxenochlorella protothecoides]	PRW44293.1 N-alpha-acetyltransferase daf-31 [Chlorella sorokiniana]
OG0000825	RMZ57124.1 hypothetical protein APUTEX25_002356 [Auxenochlorella protothecoides]	PRW18353.1 G-rich sequence factor 1 [Chlorella sorokiniana]
OG0000826	RMZ57125.1 hypothetical protein APUTEX25_002357 [Auxenochlorella protothecoides]	PRW56338.1 60S ribosomal L37a [Chlorella sorokiniana]
OG0000827	RMZ57161.1 hypothetical protein APUTEX25_003995 [Auxenochlorella protothecoides]	PRW44622.1 acetohydroxy acid isomeroreductase isoform A [Chlorella sorokiniana], PRW44623.1 acetohydroxy acid isomeroreductase isoform B [Chlorella sorokiniana]
OG0000828	RMZ57331.1 hypothetical protein APUTEX25_004165 [Auxenochlorella protothecoides]	PRW61400.1 Ribosomal L21 [Chlorella sorokiniana]
OG0000829	RMZ57252.1 hypothetical protein APUTEX25_004086_ partial [Auxenochlorella protothecoides]	PRW20215.1 hypothetical protein C2E21_9220 [Chlorella sorokiniana]
OG0000830	RMZ57261.1 hypothetical protein APUTEX25_004095_ partial [Auxenochlorella protothecoides]	PRW45730.1 SRSF kinase 1 [Chlorella sorokiniana]
OG0000831	RMZ57278.1 hypothetical protein APUTEX25_004112 [Auxenochlorella protothecoides]	PRW60820.1 methyltransferase NSUN6 isoform X1 [Chlorella sorokiniana]
OG0000832	RMZ57353.1 hypothetical protein APUTEX25_004187 [Auxenochlorella protothecoides]	PRW33894.1 NADP-dependent malate dehydrogenase [Chlorella sorokiniana]
OG0000834	RMZ57386.1 hypothetical protein APUTEX25_004220 [Auxenochlorella protothecoides]	PRW59800.1 mannose-P-dolichol utilization defect 1-like protein 2 [Chlorella sorokiniana], PRW59976.1 transmembrane of CMA family [Chlorella sorokiniana]
OG0000835	RMZ57409.1 hypothetical protein APUTEX25_004243_ partial [Auxenochlorella protothecoides]	PRW44556.1 Protease Do-like chloroplastic [Chlorella sorokiniana]
OG0000836	RMZ57420.1 hypothetical protein APUTEX25_004254_ partial [Auxenochlorella protothecoides]	PRW61504.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
OG0000837	RMZ57437.1 hypothetical protein APUTEX25_004271 [Auxenochlorella protothecoides]	PRW45371.1 anaphase-promoting complex subunit 1 isoform X1 [Chlorella sorokiniana]
OG0000838	RMZ57462.1 hypothetical protein APUTEX25_004296 [Auxenochlorella protothecoides]	PRW61363.1 domain-containing 2 [Chlorella sorokiniana]
OG0000839	RMZ57486.1 hypothetical protein APUTEX25_003729_ partial [Auxenochlorella protothecoides]	PRW58596.1 Translocation sec62 [Chlorella sorokiniana]
OG0000840	RMZ57487.1 hypothetical protein APUTEX25_003730 [Auxenochlorella protothecoides]	PRW58409.1 RRP15 isoform X2 [Chlorella sorokiniana]
OG0000842	RMZ57549.1 hypothetical protein APUTEX25_001749 [Auxenochlorella protothecoides]	PRW58213.1 thioredoxin peroxidase [Chlorella sorokiniana]
OG0000843	RMZ57682.1 hypothetical protein APUTEX25_001882 [Auxenochlorella protothecoides]	PRW45538.1 GDP-L-fucose synthase 2 [Chlorella sorokiniana]
OG0000844	RMZ57716.1 hypothetical protein APUTEX25_001916 [Auxenochlorella protothecoides]	PRW45169.1 ENTH domain-containing [Chlorella sorokiniana]
OG0000878	RMZ52055.1 hypothetical protein APUTEX25_001249 [Auxenochlorella protothecoides]	PRW45222.1 hypothetical protein C2E21_6410 [Chlorella sorokiniana]
OG0000879	RMZ52106.1 hypothetical protein APUTEX25_001300 [Auxenochlorella protothecoides]	PRW60711.1 glycoside hydrolase family 16 [Chlorella sorokiniana]
OG0000880	RMZ52156.1 hypothetical protein APUTEX25_001546 [Auxenochlorella protothecoides]	PRW45589.1 histone-lysine N-methyltransferase SMYD3 [Chlorella sorokiniana]
OG0000881	RMZ52158.1 hypothetical protein APUTEX25_001548 [Auxenochlorella protothecoides]	PRW39217.1 nuclease [Chlorella sorokiniana]
OG0000882	RMZ52184.1 hypothetical protein APUTEX25_001574 [Auxenochlorella protothecoides]	PRW61218.1 Flap endonuclease 1 [Chlorella sorokiniana]
OG0000883	RMZ52261.1 hypothetical protein APUTEX25_001651_ partial [Auxenochlorella protothecoides]	PRW61360.1 ubiquitin carboxyl-terminal hydrolase 23-like isoform X2 [Chlorella sorokiniana]
OG0000884	RMZ52262.1 hypothetical protein APUTEX25_001652_ partial [Auxenochlorella protothecoides]	PRW61179.1 Mitochondrial sodium hydrogen exchanger 9B2 [Chlorella sorokiniana]
OG0000885	RMZ52265.1 hypothetical protein APUTEX25_001655_ partial [Auxenochlorella protothecoides]	PRW21057.1 AAA+-type ATPase _ISS_ isoform A [Chlorella sorokiniana], PRW21058.1 AAA+-type ATPase _ISS_ isoform B [Chlorella sorokiniana]
OG0000886	RMZ52270.1 hypothetical protein APUTEX25_001660 [Auxenochlorella protothecoides]	PRW45560.1 histone deacetylase complex subunit SAP30L [Chlorella sorokiniana]
OG0000887	RMZ52288.1 hypothetical protein APUTEX25_001678_ partial [Auxenochlorella protothecoides]	PRW58086.1 transmembrane 106A [Chlorella sorokiniana]
OG0000888	RMZ52303.1 hypothetical protein APUTEX25_001919 [Auxenochlorella protothecoides]	PRW60024.1 alpha beta hydrolase domain-containing 11 [Chlorella sorokiniana]
OG0000889	RMZ52351.1 hypothetical protein APUTEX25_001713_ partial [Auxenochlorella protothecoides]	PRW57332.1 Digalactosyldiacylglycerol synthase chloroplastic [Chlorella sorokiniana]
OG0000890	RMZ52372.1 hypothetical protein APUTEX25_000647 [Auxenochlorella protothecoides]	PRW57398.1 5-oxoprolinase [Chlorella sorokiniana]
OG0000891	RMZ52393.1 hypothetical protein APUTEX25_000668_ partial [Auxenochlorella protothecoides]	PRW60797.1 Rubisco activase [Chlorella sorokiniana]
OG0000892	RMZ52430.1 hypothetical protein APUTEX25_000009_ partial [Auxenochlorella protothecoides]	PRW57011.1 glycoside hydrolase [Chlorella sorokiniana]
OG0000893	RMZ52460.1 hypothetical protein APUTEX25_000039 [Auxenochlorella protothecoides]	PRW57517.1 PRA1 family B2 [Chlorella sorokiniana]
OG0000894	RMZ52513.1 hypothetical protein APUTEX25_003656 [Auxenochlorella protothecoides]	PRW50841.1 hypothetical protein C2E21_5521 [Chlorella sorokiniana]
OG0000895	RMZ52551.1 hypothetical protein APUTEX25_003694 [Auxenochlorella protothecoides]	PRW51093.1 phosphatidylglycerol phosphatidylinositol transfer [Chlorella sorokiniana], PRW44480.1 Meiotic nuclear division 1 [Chlorella sorokiniana]
OG0000896	RMZ52607.1 hypothetical protein APUTEX25_000726 [Auxenochlorella protothecoides]	PRW57114.1 Mannose-P-dolichol utilization defect 1 [Chlorella sorokiniana]
OG0000897	RMZ52757.1 hypothetical protein APUTEX25_000876_ partial [Auxenochlorella protothecoides]	PRW60314.1 D-3-phosphoglycerate dehydrogenase family [Chlorella sorokiniana]
OG0000898	RMZ52634.1 hypothetical protein APUTEX25_000753 [Auxenochlorella protothecoides]	PRW57974.1 N-acetyltransferase 10 [Chlorella sorokiniana]
OG0000899	RMZ52937.1 hypothetical protein APUTEX25_001056_ partial [Auxenochlorella protothecoides]	PRW20730.1 Eukaryotic translation initiation factor 3 subunit C [Chlorella sorokiniana]
OG0000899	RMZ52637.1 hypothetical protein APUTEX25_000756 [Auxenochlorella protothecoides]	PRW44244.1 F-box WD-40 repeat-containing protein [Chlorella sorokiniana]
OG0000900	RMZ52673.1 hypothetical protein APUTEX25_000792_ partial [Auxenochlorella protothecoides]	PRW59119.1 eukaryotic translation initiation factor 5A [Chlorella sorokiniana]
OG0000901	RMZ52706.1 hypothetical protein APUTEX25_000825_ partial [Auxenochlorella protothecoides]	PRW60558.1 SUMO-conjugating enzyme SCE1 [Chlorella sorokiniana]
OG0000902	RMZ52733.1 hypothetical protein APUTEX25_000852_ partial [Auxenochlorella protothecoides]	PRW20816.1 Serine protease ABC transporter B family tagA [Chlorella sorokiniana]
OG0000903	RMZ52748.1 hypothetical protein APUTEX25_000867 [Auxenochlorella protothecoides]	PRW58770.1 putative adenylate kinase chloroplastic isoform X1 [Chlorella sorokiniana]
OG0000904	RMZ54440.1 hypothetical protein APUTEX25_002016 [Auxenochlorella protothecoides]	PRW32566.1 Magnesium transporter [Chlorella sorokiniana]
OG0000904	RMZ52754.1 hypothetical protein APUTEX25_000873 [Auxenochlorella protothecoides]	PRW57946.1 acetyltransferase NSI [Chlorella sorokiniana]
OG0000905	RMZ53996.1 hypothetical protein APUTEX25_002573_ partial [Auxenochlorella protothecoides]	PRW51162.1 Batten s disease Cln3 isoform A [Chlorella sorokiniana], PRW51161.1 Batten s disease Cln3 isoform B [Chlorella sorokiniana]
OG0000906	RMZ52892.1 hypothetical protein APUTEX25_001011_ partial [Auxenochlorella protothecoides]	PRW32676.1 leucine-rich repeat-containing 40 [Chlorella sorokiniana], PRW32686.1 LRR receptor-like kinase family [Chlorella sorokiniana], PRW33270.1 small GTP-binding [Chlorella sorokiniana], PRW58888.1 adenylate cyclase regulatory [Chlorella sorokiniana]
OG0000907	RMZ52953.1 hypothetical protein APUTEX25_001072 [Auxenochlorella protothecoides]	PRW44497.1 magnesium-chelatase subunit chloroplastic [Chlorella sorokiniana], PRW59066.1 magnesium-chelatase subunit chloroplastic isoform B [Chlorella sorokiniana], PRW59067.1 magnesium-chelatase subunit chloroplastic isoform A [Chlorella sorokiniana]
OG0000908	RMZ52988.1 hypothetical protein APUTEX25_001107 [Auxenochlorella protothecoides]	PRW21128.1 Iron-sulfur assembly -like mitochondrial [Chlorella sorokiniana]
OG0000910	RMZ53344.1 hypothetical protein APUTEX25_004832 [Auxenochlorella protothecoides]	PRW57249.1 hypothetical protein C2E21_3811 [Chlorella sorokiniana]
OG0000911	RMZ53471.1 hypothetical protein APUTEX25_003293 [Auxenochlorella protothecoides]	PRW58707.1 multidrug transporter isoform B [Chlorella sorokiniana], PRW58708.1 multidrug transporter isoform A [Chlorella sorokiniana], PRW33720.1 Solute carrier family 35 member G1 [Chlorella sorokiniana], PRW32584.1 Solute carrier family 35 member G1 [Chlorella sorokiniana]
OG0000912	RMZ54488.1 hypothetical protein APUTEX25_002064_ partial [Auxenochlorella protothecoides], RMZ53472.1 hypothetical protein APUTEX25_003294_ partial [Auxenochlorella protothecoides]	PRW33324.1 DNA ligase 4 [Chlorella sorokiniana]
OG0000913	RMZ53474.1 hypothetical protein APUTEX25_003296_ partial [Auxenochlorella protothecoides]	PRW59934.1 heterogeneous nuclear ribonucleo 1 [Chlorella sorokiniana]
OG0000914	RMZ53489.1 hypothetical protein APUTEX25_003311 [Auxenochlorella protothecoides]	PRW33204.1 hypothetical protein C2E21_7817 [Chlorella sorokiniana], PRW32508.1 Cytochrome c554 [Chlorella sorokiniana], PRW45445.1 Cytochrome c554 [Chlorella sorokiniana]
OG0000915	RMZ53498.1 hypothetical protein APUTEX25_003320 [Auxenochlorella protothecoides]	PRW33092.1 long-chain-fatty-acid-- ligase [Chlorella sorokiniana], PRW61462.1 long-chain-fatty-acid-- ligase [Chlorella sorokiniana]
OG0000916	RMZ53513.1 hypothetical protein APUTEX25_003335 [Auxenochlorella protothecoides], RMZ53510.1 hypothetical protein APUTEX25_003332 [Auxenochlorella protothecoides]	PRW60066.1 EFR3 like B isoform B [Chlorella sorokiniana], PRW60067.1 EFR3 like B isoform A [Chlorella sorokiniana]
OG0000917	RMZ53534.1 hypothetical protein APUTEX25_003356 [Auxenochlorella protothecoides]	PRW33210.1 multicopper oxidase [Chlorella sorokiniana], PRW33098.1 20S-pre-rRNA D-site endonuclease nob1-like [Chlorella sorokiniana]
OG0000918	RMZ53647.1 hypothetical protein APUTEX25_003181_ partial [Auxenochlorella protothecoides]	PRW57376.1 ribokinase-like domain-containing [Chlorella sorokiniana]
OG0000919	RMZ53651.1 hypothetical protein APUTEX25_003185 [Auxenochlorella protothecoides]	PRW56958.1 Magnesium transporter MRS2-4 isoform A [Chlorella sorokiniana], PRW56957.1 Magnesium transporter MRS2-4 isoform B [Chlorella sorokiniana]
OG0000920	RMZ53729.1 hypothetical protein APUTEX25_003263 [Auxenochlorella protothecoides]	PRW61054.1 ENHANCED DOWNY MILDEW 2-like isoform X1 [Chlorella sorokiniana]
OG0000921	RMZ53733.1 hypothetical protein APUTEX25_003872 [Auxenochlorella protothecoides]	PRW45378.1 hypothetical protein C2E21_6062 [Chlorella sorokiniana]
OG0000922	RMZ54458.1 hypothetical protein APUTEX25_002034_ partial [Auxenochlorella protothecoides], RMZ53735.1 hypothetical protein APUTEX25_003874 [Auxenochlorella protothecoides]	PRW59336.1 Glycolipid 2-alpha-mannosyltransferase 1 [Chlorella sorokiniana]
OG0000923	RMZ53791.1 hypothetical protein APUTEX25_003930 [Auxenochlorella protothecoides], RMZ55446.1 hypothetical protein APUTEX25_003570_ partial [Auxenochlorella protothecoides]	PRW20702.1 TVP38 TMEM64 family membrane slr0305 isoform B [Chlorella sorokiniana], PRW20703.1 TVP38 TMEM64 family membrane slr0305 isoform A [Chlorella sorokiniana]
OG0000924	RMZ53854.1 hypothetical protein APUTEX25_005600_ partial [Auxenochlorella protothecoides]	PRW45230.1 50S ribosomal L23 isoform B [Chlorella sorokiniana], PRW45229.1 50S ribosomal L23 isoform A [Chlorella sorokiniana]
OG0000925	RMZ53877.1 hypothetical protein APUTEX25_005623 [Auxenochlorella protothecoides]	PRW18409.1 hypothetical protein C2E21_9356 [Chlorella sorokiniana]
OG0000926	RMZ53878.1 hypothetical protein APUTEX25_005624_ partial [Auxenochlorella protothecoides]	PRW20522.1 microtubule associated isoform A [Chlorella sorokiniana], PRW20523.1 microtubule associated isoform B [Chlorella sorokiniana]
OG0000927	RMZ56113.1 hypothetical protein APUTEX25_004537_ partial [Auxenochlorella protothecoides]	PRW57814.1 B Chain Kynurenine Aminotransferase Ii Inhibitor [Chlorella sorokiniana]
OG0000928	RMZ56864.1 hypothetical protein APUTEX25_002953 [Auxenochlorella protothecoides]	PRW55923.1 Translin [Chlorella sorokiniana]
OG0000930	RMZ53978.1 hypothetical protein APUTEX25_002555 [Auxenochlorella protothecoides]	PRW61484.1 RNA polymerase-associated CTR9-like protein [Chlorella sorokiniana]
OG0000931	RMZ53993.1 hypothetical protein APUTEX25_002570 [Auxenochlorella protothecoides]	PRW60456.1 DUF151 domain-containing [Chlorella sorokiniana]
OG0000932	RMZ54083.1 hypothetical protein APUTEX25_002660_ partial [Auxenochlorella protothecoides]	PRW59060.1 Histidine biosynthesis bifunctional chloroplastic [Chlorella sorokiniana]
OG0000933	RMZ54094.1 hypothetical protein APUTEX25_002671 [Auxenochlorella protothecoides], RMZ54092.1 hypothetical protein APUTEX25_002669_ partial [Auxenochlorella protothecoides]	PRW60421.1 RAP domain [Chlorella sorokiniana]
OG0000934	RMZ54252.1 hypothetical protein APUTEX25_000603_ partial [Auxenochlorella protothecoides]	PRW20282.1 glycosyltransferase family 2 [Chlorella sorokiniana]
OG0000936	RMZ54471.1 hypothetical protein APUTEX25_002047 [Auxenochlorella protothecoides]	PRW20884.1 Nitric oxide synthase-interacting [Chlorella sorokiniana]
OG0000937	RMZ54494.1 hypothetical protein APUTEX25_002070 [Auxenochlorella protothecoides]	PRW45014.1 leukotriene A-4 hydrolase isoform X1 isoform B [Chlorella sorokiniana], PRW45013.1 leukotriene A-4 hydrolase isoform X1 isoform A [Chlorella sorokiniana]
OG0000938	RMZ54533.1 hypothetical protein APUTEX25_001705 [Auxenochlorella protothecoides], RMZ56598.1 hypothetical protein APUTEX25_004762 [Auxenochlorella protothecoides]	PRW32685.1 synaptosomal-associated 23 isoform X3 [Chlorella sorokiniana], PRW32671.1 Synaptosomal-associated 25 [Chlorella sorokiniana]
OG0000939	RMZ54546.1 hypothetical protein APUTEX25_002121 [Auxenochlorella protothecoides]	PRW56746.1 gamma-glutamyltranspeptidase 1-like [Chlorella sorokiniana]
OG0000940	RMZ54611.1 hypothetical protein APUTEX25_002197 [Auxenochlorella protothecoides]	PRW33264.1 translation initiation factor IF-3 [Chlorella sorokiniana], PRW33328.1 HIT-type Zinc finger family isoform 1 [Chlorella sorokiniana]
OG0000941	RMZ54696.1 hypothetical protein APUTEX25_003074 [Auxenochlorella protothecoides]	PRW21030.1 Diacylglycerol O-acyltransferase 2 [Chlorella sorokiniana], PRW20576.1 Diacylglycerol O-acyltransferase 2 [Chlorella sorokiniana]
OG0000942	RMZ54705.1 hypothetical protein APUTEX25_003083 [Auxenochlorella protothecoides]	PRW58469.1 kinesin light chain 3-like isoform X1 [Chlorella sorokiniana]
OG0000943	RMZ54730.1 hypothetical protein APUTEX25_003108 [Auxenochlorella protothecoides]	PRW56627.1 denticleless-like protein [Chlorella sorokiniana]
OG0000944	RMZ54760.1 hypothetical protein APUTEX25_000277 [Auxenochlorella protothecoides]	PRW34060.1 MC family transporter [Chlorella sorokiniana]
OG0000945	RMZ54804.1 hypothetical protein APUTEX25_000321 [Auxenochlorella protothecoides]	PRW20344.1 oxidoreductase isoform A [Chlorella sorokiniana], PRW20345.1 oxidoreductase isoform B [Chlorella sorokiniana]
OG0000946	RMZ54838.1 hypothetical protein APUTEX25_000355_ partial [Auxenochlorella protothecoides]	PRW20431.1 siderophore transcription factor [Chlorella sorokiniana]
OG0000947	RMZ57754.1 hypothetical protein APUTEX25_001709_ partial [Auxenochlorella protothecoides]	PRW58530.1 alternative oxidase [Chlorella sorokiniana]
OG0000948	RMZ54888.1 hypothetical protein APUTEX25_000405_ partial [Auxenochlorella protothecoides]	PRW60085.1 omega-3 fatty acid desaturase [Chlorella sorokiniana]
OG0000949	RMZ55773.1 hypothetical protein APUTEX25_005814 [Auxenochlorella protothecoides]	PRW20819.1 Metallo-dependent [Chlorella sorokiniana]
OG0000949	RMZ54917.1 hypothetical protein APUTEX25_000434 [Auxenochlorella protothecoides]	PRW34094.1 Metallo-dependent [Chlorella sorokiniana]
OG0000950	RMZ54941.1 hypothetical protein APUTEX25_000458_ partial [Auxenochlorella protothecoides]	PRW56287.1 Beta-galactosidase isoform B [Chlorella sorokiniana], PRW56286.1 Beta-galactosidase isoform A [Chlorella sorokiniana]
OG0000951	RMZ54973.1 hypothetical protein APUTEX25_000490 [Auxenochlorella protothecoides]	PRW60480.1 RE1-silencing transcription factor-like [Chlorella sorokiniana], PRW33971.1 heat shock factor HSF8-like [Chlorella sorokiniana]
OG0000952	RMZ55043.1 hypothetical protein APUTEX25_005669_ partial [Auxenochlorella protothecoides]	PRW59432.1 R-SNARE VAMP72-family [Chlorella sorokiniana]
OG0000953	RMZ55121.1 hypothetical protein APUTEX25_005399 [Auxenochlorella protothecoides]	PRW18415.1 COP9 signalosome complex subunit 2 [Chlorella sorokiniana]
OG0000954	RMZ55134.1 hypothetical protein APUTEX25_005412_ partial [Auxenochlorella protothecoides]	PRW55975.1 nadh_ubiquinone oxidoreductase complex i intermediate-associated 30 [Chlorella sorokiniana]
OG0000955	RMZ55206.1 hypothetical protein APUTEX25_005484 [Auxenochlorella protothecoides]	PRW34019.1 coproporphyrinogen III oxidase [Chlorella sorokiniana], PRW59269.1 coproporphyrinogen III oxidase chloroplast precursor [Chlorella sorokiniana]
OG0000956	RMZ55226.1 hypothetical protein APUTEX25_005504_ partial [Auxenochlorella protothecoides]	PRW61280.1 ubiquitin-like modifier-activating enzyme 5 [Chlorella sorokiniana]
OG0000957	RMZ55271.1 hypothetical protein APUTEX25_005549 [Auxenochlorella protothecoides]	PRW32641.1 leukocyte receptor cluster member 1-like protein [Chlorella sorokiniana], PRW32649.1 leukocyte receptor cluster member 1-like protein [Chlorella sorokiniana]
OG0000958	RMZ57470.1 hypothetical protein APUTEX25_004304_ partial [Auxenochlorella protothecoides]	PRW57527.1 Yippee zincbinding isoform C [Chlorella sorokiniana], PRW57525.1 Yippee zincbinding isoform A [Chlorella sorokiniana], PRW57526.1 Yippee zincbinding isoform B [Chlorella sorokiniana]
OG0000959	RMZ55299.1 hypothetical protein APUTEX25_003437 [Auxenochlorella protothecoides]	PRW57512.1 Heat shock 67B2 [Chlorella sorokiniana]
OG0000960	RMZ55317.1 hypothetical protein APUTEX25_003455 [Auxenochlorella protothecoides]	PRW57283.1 Serine threonine- kinase STY46 [Chlorella sorokiniana]
OG0000961	RMZ55454.1 hypothetical protein APUTEX25_003578_ partial [Auxenochlorella protothecoides], RMZ55458.1 hypothetical protein APUTEX25_003582 [Auxenochlorella protothecoides], RMZ57765.1 hypothetical protein APUTEX25_004325_ partial [Auxenochlorella protothecoides]	PRW56647.1 DNA-directed RNA polymerase III subunit RPC5 isoform B [Chlorella sorokiniana], PRW56646.1 DNA-directed RNA polymerase III subunit RPC5 isoform A [Chlorella sorokiniana]
OG0000962	RMZ55456.1 hypothetical protein APUTEX25_003580 [Auxenochlorella protothecoides]	PRW56521.1 ABC transporter F family member 4 isoform B [Chlorella sorokiniana], PRW56522.1 ABC transporter F family member 4 isoform A [Chlorella sorokiniana]
OG0000964	RMZ55570.1 hypothetical protein APUTEX25_000153 [Auxenochlorella protothecoides]	PRW58937.1 flagellar associated [Chlorella sorokiniana]
OG0000965	RMZ55785.1 hypothetical protein APUTEX25_005826 [Auxenochlorella protothecoides]	PRW34041.1 RNA polymerase sigma factor [Chlorella sorokiniana]
OG0000966	RMZ55594.1 hypothetical protein APUTEX25_000177_ partial [Auxenochlorella protothecoides], RMZ57715.1 hypothetical protein APUTEX25_001915 [Auxenochlorella protothecoides]	PRW33151.1 methyltransferase TARBP1 [Chlorella sorokiniana]
OG0000967	RMZ55606.1 hypothetical protein APUTEX25_000189 [Auxenochlorella protothecoides]	PRW58859.1 flavin-containing monooxygenase FMO GS-OX-like 4 [Chlorella sorokiniana]
OG0000968	RMZ55708.1 hypothetical protein APUTEX25_005749 [Auxenochlorella protothecoides]	PRW57979.1 ATP-dependent DNA helicase Q-like 1 isoform A [Chlorella sorokiniana], PRW57980.1 ATP-dependent DNA helicase Q-like 1 isoform B [Chlorella sorokiniana], PRW61229.1 ribulose bisphosphate carboxylase oxygenase activase [Chlorella sorokiniana]
OG0000970	RMZ56563.1 hypothetical protein APUTEX25_001410_ partial [Auxenochlorella protothecoides], RMZ56169.1 hypothetical protein APUTEX25_004593 [Auxenochlorella protothecoides], RMZ55776.1 hypothetical protein APUTEX25_005817 [Auxenochlorella protothecoides]	PRW33950.1 kynurenine formamidase-like isoform X1 [Chlorella sorokiniana]
OG0000971	RMZ56356.1 hypothetical protein APUTEX25_004713 [Auxenochlorella protothecoides]	PRW61538.1 MAP3K epsilon kinase 1-like isoform X2 [Chlorella sorokiniana]
OG0000971	RMZ55781.1 hypothetical protein APUTEX25_005822_ partial [Auxenochlorella protothecoides]	PRW58018.1 vacuolar sorting-associated 13B [Chlorella sorokiniana]
OG0000972	RMZ55817.1 hypothetical protein APUTEX25_003783 [Auxenochlorella protothecoides]	PRW56243.1 NADH dehydrogenase [ubiquinone] flavo mitochondrial [Chlorella sorokiniana], PRW39281.1 NADH dehydrogenase [ubiquinone] flavo mitochondrial [Chlorella sorokiniana]
OG0000973	RMZ55824.1 hypothetical protein APUTEX25_003790 [Auxenochlorella protothecoides]	PRW39144.1 calcium proton exchanger [Chlorella sorokiniana], PRW39287.1 calcium proton exchanger [Chlorella sorokiniana]
OG0000974	RMZ55871.1 hypothetical protein APUTEX25_003837_ partial [Auxenochlorella protothecoides]	PRW39068.1 DEAD-box ATP-dependent RNA helicase 37-like isoform A [Chlorella sorokiniana], PRW39067.1 DEAD-box ATP-dependent RNA helicase 37-like isoform B [Chlorella sorokiniana]
OG0000975	RMZ55899.1 hypothetical protein APUTEX25_003865 [Auxenochlorella protothecoides]	PRW32976.1 Long chain acyl- synthetase peroxisomal [Chlorella sorokiniana]
OG0000976	RMZ55923.1 hypothetical protein APUTEX25_004347 [Auxenochlorella protothecoides]	PRW33326.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana]
OG0000977	RMZ55932.1 hypothetical protein APUTEX25_004356 [Auxenochlorella protothecoides]	PRW58195.1 disulfide-isomerase 5-4 [Chlorella sorokiniana]
OG0000978	RMZ55939.1 hypothetical protein APUTEX25_004363 [Auxenochlorella protothecoides]	PRW58129.1 amidase signature enzyme [Chlorella sorokiniana]
OG0000979	RMZ55968.1 hypothetical protein APUTEX25_004392 [Auxenochlorella protothecoides]	PRW58649.1 phospholipid n-methyltransferase [Chlorella sorokiniana], PRW58253.1 glutamate 5-kinase isoform X1 [Chlorella sorokiniana]
OG0000980	RMZ56009.1 hypothetical protein APUTEX25_004433 [Auxenochlorella protothecoides]	PRW58561.1 RNA polymerase-associated LEO1 isoform X1 [Chlorella sorokiniana]
OG0000980	RMZ56658.1 hypothetical protein APUTEX25_002747 [Auxenochlorella protothecoides]	PRW58557.1 flagellar associated [Chlorella sorokiniana]
OG0000981	RMZ56176.1 hypothetical protein APUTEX25_004600 [Auxenochlorella protothecoides]	PRW58175.1 autophagy-related 13 [Chlorella sorokiniana]
OG0000982	RMZ56280.1 hypothetical protein APUTEX25_002470 [Auxenochlorella protothecoides]	PRW44512.1 CWF19 2 [Chlorella sorokiniana]
OG0000983	RMZ56324.1 hypothetical protein APUTEX25_000563 [Auxenochlorella protothecoides]	PRW45109.1 glycine oxidase isoform X1 isoform B [Chlorella sorokiniana], PRW45110.1 glycine oxidase isoform X1 isoform A [Chlorella sorokiniana], PRW59188.1 FAD-dependent oxidoreductase domain-containing 1 [Chlorella sorokiniana]
OG0000984	RMZ56348.1 hypothetical protein APUTEX25_004705_ partial [Auxenochlorella protothecoides]	PRW05837.1 myosin heavy class XI isoform B [Chlorella sorokiniana], PRW05838.1 myosin heavy class XI isoform A [Chlorella sorokiniana]
OG0000985	RMZ56378.1 hypothetical protein APUTEX25_004735 [Auxenochlorella protothecoides]	PRW55944.1 serine threonine- phosphatase 7 [Chlorella sorokiniana], PRW05857.1 Serine threonine- phosphatase 7 [Chlorella sorokiniana]
OG0000986	RMZ56426.1 hypothetical protein APUTEX25_004649 [Auxenochlorella protothecoides]	PRW57547.1 5 -nucleotidase [Chlorella sorokiniana], PRW59853.1 5 -nucleotidase [Chlorella sorokiniana]
OG0000987	RMZ56441.1 hypothetical protein APUTEX25_004664 [Auxenochlorella protothecoides]	PRW59672.1 chaperone chloroplastic-like [Chlorella sorokiniana]
OG0000988	RMZ56444.1 hypothetical protein APUTEX25_004667_ partial [Auxenochlorella protothecoides]	PRW60132.1 60S ribosomal L15 [Chlorella sorokiniana]
OG0000989	RMZ56449.1 hypothetical protein APUTEX25_004672_ partial [Auxenochlorella protothecoides]	PRW56755.1 ubiquinone biosynthesis mitochondrial [Chlorella sorokiniana]
OG0000990	RMZ56544.1 hypothetical protein APUTEX25_001391 [Auxenochlorella protothecoides], RMZ56499.1 hypothetical protein APUTEX25_001346 [Auxenochlorella protothecoides]	PRW60607.1 40S ribosomal S21-2 [Chlorella sorokiniana]
OG0000991	RMZ56524.1 hypothetical protein APUTEX25_001371_ partial [Auxenochlorella protothecoides]	PRW60312.1 Bet v1 [Chlorella sorokiniana]
OG0000992	RMZ56514.1 hypothetical protein APUTEX25_001361 [Auxenochlorella protothecoides]	PRW60603.1 CBS domain-containing mitochondrial [Chlorella sorokiniana]
OG0000993	RMZ56620.1 hypothetical protein APUTEX25_002709 [Auxenochlorella protothecoides]	PRW58065.1 Argininosuccinate synthase isoform A [Chlorella sorokiniana], PRW58066.1 Argininosuccinate synthase isoform B [Chlorella sorokiniana]
OG0000994	RMZ56678.1 hypothetical protein APUTEX25_002767 [Auxenochlorella protothecoides]	PRW33813.1 putative lactoylglutathione chloroplastic [Chlorella sorokiniana]
