Orthogroup	Chlorella_Vulgaris2111P	Auxenochlorella_protothecoides
OG0000806	KAI3428553.1 hypothetical protein D9Q98_007375 [Chlorella vulgaris]	RMZ55722.1 hypothetical protein APUTEX25_005763 [Auxenochlorella protothecoides]
OG0000807	KAI3432383.1 hypothetical protein D9Q98_003939 [Chlorella vulgaris]	RMZ55778.1 hypothetical protein APUTEX25_005819 [Auxenochlorella protothecoides]
OG0000808	KAI3435826.1 hypothetical protein D9Q98_001884 [Chlorella vulgaris]	RMZ57160.1 hypothetical protein APUTEX25_003994 [Auxenochlorella protothecoides]
OG0000809	KAI3435743.1 hypothetical protein D9Q98_001801 [Chlorella vulgaris]	RMZ55949.1 hypothetical protein APUTEX25_004373_ partial [Auxenochlorella protothecoides]
OG0000810	KAI3427109.1 hypothetical protein D9Q98_007047 [Chlorella vulgaris]	RMZ56006.1 hypothetical protein APUTEX25_004430 [Auxenochlorella protothecoides]
OG0000811	KAI3436788.1 hypothetical protein D9Q98_006199 [Chlorella vulgaris]	RMZ56090.1 hypothetical protein APUTEX25_004514_ partial [Auxenochlorella protothecoides]
OG0000812	KAI3436362.1 hypothetical protein D9Q98_002415 [Chlorella vulgaris], KAI3438797.1 hypothetical protein D9Q98_001214 [Chlorella vulgaris]	RMZ56147.1 hypothetical protein APUTEX25_004571 [Auxenochlorella protothecoides]
OG0000813	KAI3430989.1 hypothetical protein D9Q98_009392 [Chlorella vulgaris], KAI3438287.1 hypothetical protein D9Q98_000722 [Chlorella vulgaris], KAI3438288.1 hypothetical protein D9Q98_000722 [Chlorella vulgaris]	RMZ56164.1 hypothetical protein APUTEX25_004588 [Auxenochlorella protothecoides]
OG0000814	KAI3428525.1 hypothetical protein D9Q98_007348 [Chlorella vulgaris]	RMZ56183.1 hypothetical protein APUTEX25_002373 [Auxenochlorella protothecoides]
OG0000815	KAI3436149.1 hypothetical protein D9Q98_002206 [Chlorella vulgaris]	RMZ56394.1 hypothetical protein APUTEX25_004617 [Auxenochlorella protothecoides]
OG0000816	KAI3428151.1 hypothetical protein D9Q98_006535 [Chlorella vulgaris], KAI3428152.1 hypothetical protein D9Q98_006536 [Chlorella vulgaris]	RMZ56427.1 hypothetical protein APUTEX25_004650_ partial [Auxenochlorella protothecoides]
OG0000816	KAI3434404.1 hypothetical protein D9Q98_002482 [Chlorella vulgaris]	RMZ56431.1 hypothetical protein APUTEX25_004654 [Auxenochlorella protothecoides]
OG0000817	KAI3425051.1 hypothetical protein D9Q98_008429 [Chlorella vulgaris], KAI3437928.1 hypothetical protein D9Q98_000372 [Chlorella vulgaris]	RMZ56601.1 hypothetical protein APUTEX25_004765_ partial [Auxenochlorella protothecoides]
OG0000818	KAI3434995.1 hypothetical protein D9Q98_003047 [Chlorella vulgaris]	RMZ56638.1 hypothetical protein APUTEX25_002727_ partial [Auxenochlorella protothecoides]
OG0000819	KAI3428384.1 hypothetical protein D9Q98_006764 [Chlorella vulgaris]	RMZ56733.1 hypothetical protein APUTEX25_002822 [Auxenochlorella protothecoides]
OG0000819	KAI3428834.1 hypothetical protein D9Q98_007651 [Chlorella vulgaris]	RMZ56774.1 hypothetical protein APUTEX25_002863 [Auxenochlorella protothecoides]
OG0000820	KAI3425744.1 hypothetical protein D9Q98_007720 [Chlorella vulgaris]	RMZ56800.1 hypothetical protein APUTEX25_002889_ partial [Auxenochlorella protothecoides]
OG0000821	KAI3435488.1 hypothetical protein D9Q98_001554 [Chlorella vulgaris]	RMZ56827.1 hypothetical protein APUTEX25_002916 [Auxenochlorella protothecoides]
OG0000822	KAI3427011.1 hypothetical protein D9Q98_006954 [Chlorella vulgaris], KAI3428687.1 hypothetical protein D9Q98_007510 [Chlorella vulgaris]	RMZ56911.1 hypothetical protein APUTEX25_004973 [Auxenochlorella protothecoides]
OG0000823	KAI3428675.1 hypothetical protein D9Q98_007498 [Chlorella vulgaris]	RMZ56952.1 hypothetical protein APUTEX25_005014_ partial [Auxenochlorella protothecoides]
OG0000825	KAI3435543.1 hypothetical protein D9Q98_001608 [Chlorella vulgaris]	RMZ57124.1 hypothetical protein APUTEX25_002356 [Auxenochlorella protothecoides]
OG0000826	KAI3436755.1 hypothetical protein D9Q98_006167 [Chlorella vulgaris]	RMZ57125.1 hypothetical protein APUTEX25_002357 [Auxenochlorella protothecoides]
OG0000827	KAI3428456.1 hypothetical protein D9Q98_007282 [Chlorella vulgaris], KAI3428455.1 hypothetical protein D9Q98_007282 [Chlorella vulgaris]	RMZ57161.1 hypothetical protein APUTEX25_003995 [Auxenochlorella protothecoides]
OG0000828	KAI3432648.1 hypothetical protein D9Q98_004194 [Chlorella vulgaris]	RMZ57214.1 hypothetical protein APUTEX25_004048 [Auxenochlorella protothecoides], RMZ57331.1 hypothetical protein APUTEX25_004165 [Auxenochlorella protothecoides]
OG0000829	KAI3430637.1 hypothetical protein D9Q98_005230 [Chlorella vulgaris]	RMZ57252.1 hypothetical protein APUTEX25_004086_ partial [Auxenochlorella protothecoides]
OG0000830	KAI3428335.1 hypothetical protein D9Q98_006715 [Chlorella vulgaris], KAI3424978.1 hypothetical protein D9Q98_008359 [Chlorella vulgaris]	RMZ57261.1 hypothetical protein APUTEX25_004095_ partial [Auxenochlorella protothecoides]
OG0000831	KAI3429255.1 hypothetical protein D9Q98_005352 [Chlorella vulgaris]	RMZ57278.1 hypothetical protein APUTEX25_004112 [Auxenochlorella protothecoides]
OG0000832	KAI3425953.1 hypothetical protein D9Q98_007923 [Chlorella vulgaris]	RMZ57353.1 hypothetical protein APUTEX25_004187 [Auxenochlorella protothecoides]
OG0000834	KAI3435809.1 hypothetical protein D9Q98_001867 [Chlorella vulgaris], KAI3435808.1 hypothetical protein D9Q98_001866 [Chlorella vulgaris]	RMZ57386.1 hypothetical protein APUTEX25_004220 [Auxenochlorella protothecoides]
OG0000835	KAI3428678.1 hypothetical protein D9Q98_007501 [Chlorella vulgaris]	RMZ57409.1 hypothetical protein APUTEX25_004243_ partial [Auxenochlorella protothecoides]
OG0000836	KAI3436405.1 hypothetical protein D9Q98_005822 [Chlorella vulgaris]	RMZ57420.1 hypothetical protein APUTEX25_004254_ partial [Auxenochlorella protothecoides]
OG0000837	KAI3425098.1 hypothetical protein D9Q98_008476 [Chlorella vulgaris]	RMZ57437.1 hypothetical protein APUTEX25_004271 [Auxenochlorella protothecoides]
OG0000838	KAI3428546.1 hypothetical protein D9Q98_007368 [Chlorella vulgaris]	RMZ57462.1 hypothetical protein APUTEX25_004296 [Auxenochlorella protothecoides]
OG0000839	KAI3433795.1 hypothetical protein D9Q98_003600 [Chlorella vulgaris]	RMZ57506.1 hypothetical protein APUTEX25_003749 [Auxenochlorella protothecoides], RMZ57486.1 hypothetical protein APUTEX25_003729_ partial [Auxenochlorella protothecoides]
OG0000840	KAI3433863.1 hypothetical protein D9Q98_003666 [Chlorella vulgaris]	RMZ57487.1 hypothetical protein APUTEX25_003730 [Auxenochlorella protothecoides]
OG0000842	KAI3433954.1 hypothetical protein D9Q98_003756 [Chlorella vulgaris]	RMZ57549.1 hypothetical protein APUTEX25_001749 [Auxenochlorella protothecoides]
OG0000843	KAI3424885.1 hypothetical protein D9Q98_008269 [Chlorella vulgaris]	RMZ57682.1 hypothetical protein APUTEX25_001882 [Auxenochlorella protothecoides]
OG0000844	KAI3426383.1 hypothetical protein D9Q98_008754 [Chlorella vulgaris]	RMZ57716.1 hypothetical protein APUTEX25_001916 [Auxenochlorella protothecoides]
OG0000878	KAI3426207.1 hypothetical protein D9Q98_008584 [Chlorella vulgaris]	RMZ52055.1 hypothetical protein APUTEX25_001249 [Auxenochlorella protothecoides]
OG0000879	KAI3431296.1 hypothetical protein D9Q98_004355 [Chlorella vulgaris], KAI3433376.1 hypothetical protein D9Q98_003193 [Chlorella vulgaris]	RMZ52106.1 hypothetical protein APUTEX25_001300 [Auxenochlorella protothecoides]
OG0000880	KAI3424916.1 hypothetical protein D9Q98_008300 [Chlorella vulgaris]	RMZ52156.1 hypothetical protein APUTEX25_001546 [Auxenochlorella protothecoides]
OG0000881	KAI3431562.1 hypothetical protein D9Q98_004611 [Chlorella vulgaris]	RMZ52158.1 hypothetical protein APUTEX25_001548 [Auxenochlorella protothecoides]
OG0000882	KAI3424268.1 hypothetical protein D9Q98_009622 [Chlorella vulgaris]	RMZ52184.1 hypothetical protein APUTEX25_001574 [Auxenochlorella protothecoides]
OG0000883	KAI3432255.1 hypothetical protein D9Q98_003816 [Chlorella vulgaris], KAI3432257.1 hypothetical protein D9Q98_003818 [Chlorella vulgaris]	RMZ52261.1 hypothetical protein APUTEX25_001651_ partial [Auxenochlorella protothecoides]
OG0000884	KAI3424269.1 hypothetical protein D9Q98_009623 [Chlorella vulgaris], KAI3424258.1 hypothetical protein D9Q98_009612 [Chlorella vulgaris]	RMZ52262.1 hypothetical protein APUTEX25_001652_ partial [Auxenochlorella protothecoides]
OG0000885	KAI3430905.1 hypothetical protein D9Q98_009314 [Chlorella vulgaris]	RMZ52265.1 hypothetical protein APUTEX25_001655_ partial [Auxenochlorella protothecoides]
OG0000886	KAI3424928.1 hypothetical protein D9Q98_008312 [Chlorella vulgaris]	RMZ52270.1 hypothetical protein APUTEX25_001660 [Auxenochlorella protothecoides]
OG0000887	KAI3424116.1 hypothetical protein D9Q98_009477 [Chlorella vulgaris]	RMZ52288.1 hypothetical protein APUTEX25_001678_ partial [Auxenochlorella protothecoides]
OG0000888	KAI3436152.1 hypothetical protein D9Q98_002209 [Chlorella vulgaris]	RMZ52303.1 hypothetical protein APUTEX25_001919 [Auxenochlorella protothecoides]
OG0000889	KAI3438272.1 hypothetical protein D9Q98_000707 [Chlorella vulgaris]	RMZ52351.1 hypothetical protein APUTEX25_001713_ partial [Auxenochlorella protothecoides]
OG0000890	KAI3437806.1 hypothetical protein D9Q98_000253 [Chlorella vulgaris]	RMZ52372.1 hypothetical protein APUTEX25_000647 [Auxenochlorella protothecoides]
OG0000891	KAI3429725.1 hypothetical protein D9Q98_010041 [Chlorella vulgaris]	RMZ52393.1 hypothetical protein APUTEX25_000668_ partial [Auxenochlorella protothecoides]
OG0000892	KAI3437846.1 hypothetical protein D9Q98_000292 [Chlorella vulgaris]	RMZ52430.1 hypothetical protein APUTEX25_000009_ partial [Auxenochlorella protothecoides]
OG0000893	KAI3437859.1 hypothetical protein D9Q98_000305 [Chlorella vulgaris], KAI3437858.1 hypothetical protein D9Q98_000304 [Chlorella vulgaris]	RMZ52460.1 hypothetical protein APUTEX25_000039 [Auxenochlorella protothecoides]
OG0000894	KAI3427047.1 hypothetical protein D9Q98_006988 [Chlorella vulgaris], KAI3437563.1 hypothetical protein D9Q98_000016 [Chlorella vulgaris]	RMZ52513.1 hypothetical protein APUTEX25_003656 [Auxenochlorella protothecoides]
OG0000895	KAI3427021.1 hypothetical protein D9Q98_006963 [Chlorella vulgaris], KAI3427024.1 hypothetical protein D9Q98_006966 [Chlorella vulgaris], KAI3428631.1 hypothetical protein D9Q98_007454 [Chlorella vulgaris]	RMZ52551.1 hypothetical protein APUTEX25_003694 [Auxenochlorella protothecoides]
OG0000896	KAI3437897.1 hypothetical protein D9Q98_000342 [Chlorella vulgaris], KAI3437898.1 hypothetical protein D9Q98_000343 [Chlorella vulgaris]	RMZ52607.1 hypothetical protein APUTEX25_000726 [Auxenochlorella protothecoides]
OG0000897	KAI3429279.1 hypothetical protein D9Q98_005375 [Chlorella vulgaris]	RMZ52757.1 hypothetical protein APUTEX25_000876_ partial [Auxenochlorella protothecoides]
OG0000897	KAI3429233.1 hypothetical protein D9Q98_005332 [Chlorella vulgaris]	RMZ52613.1 hypothetical protein APUTEX25_000732_ partial [Auxenochlorella protothecoides]
OG0000898	KAI3434806.1 hypothetical protein D9Q98_002863 [Chlorella vulgaris]	RMZ52634.1 hypothetical protein APUTEX25_000753 [Auxenochlorella protothecoides]
OG0000899	KAI3434561.1 hypothetical protein D9Q98_002634 [Chlorella vulgaris]	RMZ52937.1 hypothetical protein APUTEX25_001056_ partial [Auxenochlorella protothecoides]
OG0000900	KAI3438855.1 hypothetical protein D9Q98_001272 [Chlorella vulgaris]	RMZ52673.1 hypothetical protein APUTEX25_000792_ partial [Auxenochlorella protothecoides]
OG0000901	KAI3429295.1 hypothetical protein D9Q98_005391 [Chlorella vulgaris]	RMZ52706.1 hypothetical protein APUTEX25_000825_ partial [Auxenochlorella protothecoides]
OG0000902	KAI3437560.1 hypothetical protein D9Q98_000013 [Chlorella vulgaris]	RMZ52733.1 hypothetical protein APUTEX25_000852_ partial [Auxenochlorella protothecoides]
OG0000903	KAI3438701.1 hypothetical protein D9Q98_001121 [Chlorella vulgaris]	RMZ52748.1 hypothetical protein APUTEX25_000867 [Auxenochlorella protothecoides]
OG0000904	KAI3423852.1 hypothetical protein D9Q98_009686 [Chlorella vulgaris]	RMZ54440.1 hypothetical protein APUTEX25_002016 [Auxenochlorella protothecoides]
OG0000904	KAI3434728.1 hypothetical protein D9Q98_002789 [Chlorella vulgaris]	RMZ52754.1 hypothetical protein APUTEX25_000873 [Auxenochlorella protothecoides]
OG0000905	KAI3426945.1 hypothetical protein D9Q98_006889 [Chlorella vulgaris]	RMZ53996.1 hypothetical protein APUTEX25_002573_ partial [Auxenochlorella protothecoides]
OG0000906	KAI3431446.1 hypothetical protein D9Q98_004498 [Chlorella vulgaris], KAI3436220.1 hypothetical protein D9Q98_002274 [Chlorella vulgaris]	RMZ52892.1 hypothetical protein APUTEX25_001011_ partial [Auxenochlorella protothecoides]
OG0000907	KAI3438819.1 hypothetical protein D9Q98_001236 [Chlorella vulgaris]	RMZ52953.1 hypothetical protein APUTEX25_001072 [Auxenochlorella protothecoides]
OG0000908	KAI3430751.1 hypothetical protein D9Q98_009163 [Chlorella vulgaris]	RMZ52988.1 hypothetical protein APUTEX25_001107 [Auxenochlorella protothecoides]
OG0000909	KAI3432475.1 hypothetical protein D9Q98_004024 [Chlorella vulgaris]	RMZ53303.1 hypothetical protein APUTEX25_004791 [Auxenochlorella protothecoides]
OG0000910	KAI3438330.1 hypothetical protein D9Q98_000764 [Chlorella vulgaris], KAI3438332.1 hypothetical protein D9Q98_000765 [Chlorella vulgaris], KAI3438331.1 hypothetical protein D9Q98_000765 [Chlorella vulgaris]	RMZ53344.1 hypothetical protein APUTEX25_004832 [Auxenochlorella protothecoides]
OG0000911	KAI3437637.1 hypothetical protein D9Q98_000089 [Chlorella vulgaris], KAI3423911.1 hypothetical protein D9Q98_009745 [Chlorella vulgaris]	RMZ53471.1 hypothetical protein APUTEX25_003293 [Auxenochlorella protothecoides]
OG0000912	KAI3431623.1 hypothetical protein D9Q98_004672 [Chlorella vulgaris]	RMZ54488.1 hypothetical protein APUTEX25_002064_ partial [Auxenochlorella protothecoides]
OG0000912	KAI3431624.1 hypothetical protein D9Q98_004673 [Chlorella vulgaris]	RMZ53472.1 hypothetical protein APUTEX25_003294_ partial [Auxenochlorella protothecoides]
OG0000913	KAI3436074.1 hypothetical protein D9Q98_002132 [Chlorella vulgaris], KAI3436696.1 hypothetical protein D9Q98_006111 [Chlorella vulgaris]	RMZ53474.1 hypothetical protein APUTEX25_003296_ partial [Auxenochlorella protothecoides]
OG0000914	KAI3431730.1 hypothetical protein D9Q98_004772 [Chlorella vulgaris], KAI3431729.1 hypothetical protein D9Q98_004771 [Chlorella vulgaris]	RMZ53489.1 hypothetical protein APUTEX25_003311 [Auxenochlorella protothecoides]
OG0000915	KAI3431692.1 hypothetical protein D9Q98_004738 [Chlorella vulgaris]	RMZ53498.1 hypothetical protein APUTEX25_003320 [Auxenochlorella protothecoides]
OG0000916	KAI3435863.1 hypothetical protein D9Q98_001921 [Chlorella vulgaris]	RMZ53513.1 hypothetical protein APUTEX25_003335 [Auxenochlorella protothecoides], RMZ53510.1 hypothetical protein APUTEX25_003332 [Auxenochlorella protothecoides]
OG0000917	KAI3431646.1 hypothetical protein D9Q98_004693 [Chlorella vulgaris]	RMZ53534.1 hypothetical protein APUTEX25_003356 [Auxenochlorella protothecoides]
OG0000918	KAI3438251.1 hypothetical protein D9Q98_000687 [Chlorella vulgaris], KAI3438250.1 hypothetical protein D9Q98_000687 [Chlorella vulgaris]	RMZ53653.1 hypothetical protein APUTEX25_003187_ partial [Auxenochlorella protothecoides], RMZ53647.1 hypothetical protein APUTEX25_003181_ partial [Auxenochlorella protothecoides]
OG0000919	KAI3437817.1 hypothetical protein D9Q98_000264 [Chlorella vulgaris]	RMZ53651.1 hypothetical protein APUTEX25_003185 [Auxenochlorella protothecoides]
OG0000920	KAI3425357.1 hypothetical protein D9Q98_009121 [Chlorella vulgaris]	RMZ53729.1 hypothetical protein APUTEX25_003263 [Auxenochlorella protothecoides]
OG0000921	KAI3424730.1 hypothetical protein D9Q98_008119 [Chlorella vulgaris]	RMZ53733.1 hypothetical protein APUTEX25_003872 [Auxenochlorella protothecoides]
OG0000922	KAI3424987.1 hypothetical protein D9Q98_008368 [Chlorella vulgaris]	RMZ54458.1 hypothetical protein APUTEX25_002034_ partial [Auxenochlorella protothecoides], RMZ53735.1 hypothetical protein APUTEX25_003874 [Auxenochlorella protothecoides]
OG0000923	KAI3439050.1 hypothetical protein D9Q98_001460 [Chlorella vulgaris]	RMZ53791.1 hypothetical protein APUTEX25_003930 [Auxenochlorella protothecoides]
OG0000923	KAI3434450.1 hypothetical protein D9Q98_002527 [Chlorella vulgaris]	RMZ55446.1 hypothetical protein APUTEX25_003570_ partial [Auxenochlorella protothecoides]
OG0000924	KAI3426254.1 hypothetical protein D9Q98_008629 [Chlorella vulgaris], KAI3426255.1 hypothetical protein D9Q98_008630 [Chlorella vulgaris]	RMZ53854.1 hypothetical protein APUTEX25_005600_ partial [Auxenochlorella protothecoides]
OG0000925	KAI3435625.1 hypothetical protein D9Q98_001685 [Chlorella vulgaris]	RMZ53877.1 hypothetical protein APUTEX25_005623 [Auxenochlorella protothecoides]
OG0000926	KAI3430287.1 hypothetical protein D9Q98_004883 [Chlorella vulgaris]	RMZ53878.1 hypothetical protein APUTEX25_005624_ partial [Auxenochlorella protothecoides]
OG0000927	KAI3425850.1 hypothetical protein D9Q98_007824 [Chlorella vulgaris]	RMZ56113.1 hypothetical protein APUTEX25_004537_ partial [Auxenochlorella protothecoides]
OG0000927	KAI3427091.1 hypothetical protein D9Q98_007030 [Chlorella vulgaris]	RMZ53891.1 hypothetical protein APUTEX25_005573 [Auxenochlorella protothecoides]
OG0000928	KAI3436882.1 hypothetical protein D9Q98_006290 [Chlorella vulgaris]	RMZ56864.1 hypothetical protein APUTEX25_002953 [Auxenochlorella protothecoides]
OG0000929	KAI3436113.1 hypothetical protein D9Q98_002171 [Chlorella vulgaris]	RMZ55059.1 hypothetical protein APUTEX25_005685 [Auxenochlorella protothecoides], RMZ53964.1 hypothetical protein APUTEX25_002541 [Auxenochlorella protothecoides]
OG0000930	KAI3432858.1 hypothetical protein D9Q98_010441 [Chlorella vulgaris]	RMZ53978.1 hypothetical protein APUTEX25_002555 [Auxenochlorella protothecoides]
OG0000931	KAI3429559.1 hypothetical protein D9Q98_005647 [Chlorella vulgaris]	RMZ53993.1 hypothetical protein APUTEX25_002570 [Auxenochlorella protothecoides]
OG0000932	KAI3438577.1 hypothetical protein D9Q98_001002 [Chlorella vulgaris]	RMZ54083.1 hypothetical protein APUTEX25_002660_ partial [Auxenochlorella protothecoides]
OG0000933	KAI3429563.1 hypothetical protein D9Q98_005650 [Chlorella vulgaris], KAI3429562.1 hypothetical protein D9Q98_005650 [Chlorella vulgaris]	RMZ54094.1 hypothetical protein APUTEX25_002671 [Auxenochlorella protothecoides], RMZ54092.1 hypothetical protein APUTEX25_002669_ partial [Auxenochlorella protothecoides]
OG0000934	KAI3430676.1 hypothetical protein D9Q98_005265 [Chlorella vulgaris], KAI3430675.1 hypothetical protein D9Q98_005265 [Chlorella vulgaris]	RMZ54252.1 hypothetical protein APUTEX25_000603_ partial [Auxenochlorella protothecoides]
OG0000935	KAI3426289.1 hypothetical protein D9Q98_008662 [Chlorella vulgaris]	RMZ54426.1 hypothetical protein APUTEX25_002002_ partial [Auxenochlorella protothecoides]
OG0000936	KAI3437726.1 hypothetical protein D9Q98_000174 [Chlorella vulgaris]	RMZ54471.1 hypothetical protein APUTEX25_002047 [Auxenochlorella protothecoides]
OG0000937	KAI3426279.1 hypothetical protein D9Q98_008653 [Chlorella vulgaris], KAI3426280.1 hypothetical protein D9Q98_008653 [Chlorella vulgaris], KAI3426278.1 hypothetical protein D9Q98_008653 [Chlorella vulgaris]	RMZ54494.1 hypothetical protein APUTEX25_002070 [Auxenochlorella protothecoides]
OG0000938	KAI3423821.1 hypothetical protein D9Q98_009657 [Chlorella vulgaris], KAI3423820.1 hypothetical protein D9Q98_009656 [Chlorella vulgaris]	RMZ54533.1 hypothetical protein APUTEX25_001705 [Auxenochlorella protothecoides], RMZ56598.1 hypothetical protein APUTEX25_004762 [Auxenochlorella protothecoides]
OG0000939	KAI3427914.1 hypothetical protein D9Q98_006306 [Chlorella vulgaris]	RMZ54546.1 hypothetical protein APUTEX25_002121 [Auxenochlorella protothecoides]
OG0000940	KAI3431855.1 hypothetical protein D9Q98_010607 [Chlorella vulgaris], KAI3431867.1 hypothetical protein D9Q98_010618 [Chlorella vulgaris]	RMZ54611.1 hypothetical protein APUTEX25_002197 [Auxenochlorella protothecoides]
OG0000941	KAI3430458.1 hypothetical protein D9Q98_005053 [Chlorella vulgaris], KAI3430244.1 hypothetical protein D9Q98_004840 [Chlorella vulgaris]	RMZ54696.1 hypothetical protein APUTEX25_003074 [Auxenochlorella protothecoides]
OG0000942	KAI3433762.1 hypothetical protein D9Q98_003569 [Chlorella vulgaris]	RMZ54705.1 hypothetical protein APUTEX25_003083 [Auxenochlorella protothecoides]
OG0000943	KAI3428243.1 hypothetical protein D9Q98_006623 [Chlorella vulgaris]	RMZ54730.1 hypothetical protein APUTEX25_003108 [Auxenochlorella protothecoides]
OG0000944	KAI3434970.1 hypothetical protein D9Q98_003022 [Chlorella vulgaris], KAI3434969.1 hypothetical protein D9Q98_003021 [Chlorella vulgaris]	RMZ54760.1 hypothetical protein APUTEX25_000277 [Auxenochlorella protothecoides]
OG0000945	KAI3430230.1 hypothetical protein D9Q98_004827 [Chlorella vulgaris], KAI3424329.1 hypothetical protein D9Q98_009882 [Chlorella vulgaris]	RMZ54804.1 hypothetical protein APUTEX25_000321 [Auxenochlorella protothecoides]
OG0000946	KAI3424304.1 hypothetical protein D9Q98_009858 [Chlorella vulgaris]	RMZ54838.1 hypothetical protein APUTEX25_000355_ partial [Auxenochlorella protothecoides]
OG0000947	KAI3433345.1 hypothetical protein D9Q98_003163 [Chlorella vulgaris]	RMZ57754.1 hypothetical protein APUTEX25_001709_ partial [Auxenochlorella protothecoides]
OG0000948	KAI3436018.1 hypothetical protein D9Q98_002075 [Chlorella vulgaris]	RMZ54888.1 hypothetical protein APUTEX25_000405_ partial [Auxenochlorella protothecoides]
OG0000949	KAI3437625.1 hypothetical protein D9Q98_000077 [Chlorella vulgaris]	RMZ55773.1 hypothetical protein APUTEX25_005814 [Auxenochlorella protothecoides]
OG0000949	KAI3434890.1 hypothetical protein D9Q98_002944 [Chlorella vulgaris]	RMZ54917.1 hypothetical protein APUTEX25_000434 [Auxenochlorella protothecoides]
OG0000950	KAI3436434.1 hypothetical protein D9Q98_005851 [Chlorella vulgaris]	RMZ54941.1 hypothetical protein APUTEX25_000458_ partial [Auxenochlorella protothecoides]
OG0000951	KAI3429622.1 hypothetical protein D9Q98_005708 [Chlorella vulgaris], KAI3423310.1 hypothetical protein D9Q98_010721 [Chlorella vulgaris], KAI3426071.1 hypothetical protein D9Q98_008039 [Chlorella vulgaris]	RMZ54973.1 hypothetical protein APUTEX25_000490 [Auxenochlorella protothecoides]
OG0000952	KAI3439109.1 hypothetical protein D9Q98_001518 [Chlorella vulgaris]	RMZ55043.1 hypothetical protein APUTEX25_005669_ partial [Auxenochlorella protothecoides]
OG0000953	KAI3435494.1 hypothetical protein D9Q98_001560 [Chlorella vulgaris]	RMZ55121.1 hypothetical protein APUTEX25_005399 [Auxenochlorella protothecoides]
OG0000954	KAI3436680.1 hypothetical protein D9Q98_006096 [Chlorella vulgaris]	RMZ55134.1 hypothetical protein APUTEX25_005412_ partial [Auxenochlorella protothecoides]
OG0000955	KAI3427401.1 hypothetical protein D9Q98_010316 [Chlorella vulgaris]	RMZ55206.1 hypothetical protein APUTEX25_005484 [Auxenochlorella protothecoides]
OG0000956	KAI3432250.1 hypothetical protein D9Q98_003811 [Chlorella vulgaris], KAI3432252.1 hypothetical protein D9Q98_003813 [Chlorella vulgaris]	RMZ55226.1 hypothetical protein APUTEX25_005504_ partial [Auxenochlorella protothecoides]
OG0000957	KAI3423922.1 hypothetical protein D9Q98_009756 [Chlorella vulgaris]	RMZ55271.1 hypothetical protein APUTEX25_005549 [Auxenochlorella protothecoides]
OG0000958	KAI3438122.1 hypothetical protein D9Q98_000563 [Chlorella vulgaris]	RMZ57470.1 hypothetical protein APUTEX25_004304_ partial [Auxenochlorella protothecoides]
OG0000959	KAI3438095.1 hypothetical protein D9Q98_000537 [Chlorella vulgaris]	RMZ55299.1 hypothetical protein APUTEX25_003437 [Auxenochlorella protothecoides]
OG0000960	KAI3438098.1 hypothetical protein D9Q98_000540 [Chlorella vulgaris], KAI3438097.1 hypothetical protein D9Q98_000539 [Chlorella vulgaris]	RMZ55317.1 hypothetical protein APUTEX25_003455 [Auxenochlorella protothecoides]
OG0000961	KAI3427987.1 hypothetical protein D9Q98_006375 [Chlorella vulgaris]	RMZ57765.1 hypothetical protein APUTEX25_004325_ partial [Auxenochlorella protothecoides]
OG0000962	KAI3428141.1 hypothetical protein D9Q98_006524 [Chlorella vulgaris]	RMZ55456.1 hypothetical protein APUTEX25_003580 [Auxenochlorella protothecoides]
OG0000963	KAI3433558.1 hypothetical protein D9Q98_003369 [Chlorella vulgaris]	RMZ55488.1 hypothetical protein APUTEX25_000071 [Auxenochlorella protothecoides]
OG0000964	KAI3438727.1 hypothetical protein D9Q98_001147 [Chlorella vulgaris]	RMZ55570.1 hypothetical protein APUTEX25_000153 [Auxenochlorella protothecoides]
OG0000965	KAI3427430.1 hypothetical protein D9Q98_010345 [Chlorella vulgaris]	RMZ55582.1 hypothetical protein APUTEX25_000165 [Auxenochlorella protothecoides]
OG0000965	KAI3425973.1 hypothetical protein D9Q98_007941 [Chlorella vulgaris]	RMZ55785.1 hypothetical protein APUTEX25_005826 [Auxenochlorella protothecoides]
OG0000966	KAI3431685.1 hypothetical protein D9Q98_004731 [Chlorella vulgaris]	RMZ57715.1 hypothetical protein APUTEX25_001915 [Auxenochlorella protothecoides]
OG0000967	KAI3437777.1 hypothetical protein D9Q98_000224 [Chlorella vulgaris]	RMZ55606.1 hypothetical protein APUTEX25_000189 [Auxenochlorella protothecoides]
OG0000968	KAI3425882.1 hypothetical protein D9Q98_007855 [Chlorella vulgaris], KAI3427347.1 hypothetical protein D9Q98_010264 [Chlorella vulgaris]	RMZ55708.1 hypothetical protein APUTEX25_005749 [Auxenochlorella protothecoides]
OG0000970	KAI3425962.1 hypothetical protein D9Q98_007932 [Chlorella vulgaris], KAI3425963.1 hypothetical protein D9Q98_007933 [Chlorella vulgaris], KAI3425964.1 hypothetical protein D9Q98_007934 [Chlorella vulgaris]	RMZ56563.1 hypothetical protein APUTEX25_001410_ partial [Auxenochlorella protothecoides], RMZ56169.1 hypothetical protein APUTEX25_004593 [Auxenochlorella protothecoides], RMZ55776.1 hypothetical protein APUTEX25_005817 [Auxenochlorella protothecoides]
OG0000971	KAI3432753.1 hypothetical protein D9Q98_004294 [Chlorella vulgaris]	RMZ56356.1 hypothetical protein APUTEX25_004713 [Auxenochlorella protothecoides]
