Orthogroup	Chlorella_Vulgaris2111P	Scenedesmus_PABB004
OG0000414	KAI3429380.1 hypothetical protein D9Q98_005475 [Chlorella vulgaris], KAI3434501.1 hypothetical protein D9Q98_002576 [Chlorella vulgaris]	KAF8058120.1 XEG113 [Scenedesmus sp. PABB004]
OG0000415	KAI3423961.1 hypothetical protein D9Q98_009795 [Chlorella vulgaris]	KAF8054900.1 Thyn1 [Scenedesmus sp. PABB004]
OG0000415	KAI3426138.1 hypothetical protein D9Q98_008517 [Chlorella vulgaris]	KAF8054903.1 MUS81 [Scenedesmus sp. PABB004], KAF8054904.1 hypothetical protein HT031_006903 [Scenedesmus sp. PABB004]
OG0000416	KAI3429229.1 hypothetical protein D9Q98_005328 [Chlorella vulgaris], KAI3429486.1 hypothetical protein D9Q98_005577 [Chlorella vulgaris]	KAF8057130.1 acu-9 [Scenedesmus sp. PABB004]
OG0000417	KAI3434435.1 hypothetical protein D9Q98_002512 [Chlorella vulgaris], KAI3434437.1 hypothetical protein D9Q98_002514 [Chlorella vulgaris], KAI3429904.1 hypothetical protein D9Q98_010215 [Chlorella vulgaris]	KAF8068408.1 SPAC6G10.10c [Scenedesmus sp. PABB004]
OG0000418	KAI3438821.1 hypothetical protein D9Q98_001238 [Chlorella vulgaris]	KAF8060086.1 FTSH11 [Scenedesmus sp. PABB004]
OG0000418	KAI3428267.1 hypothetical protein D9Q98_006646 [Chlorella vulgaris]	KAF8056381.1 FTSH5 [Scenedesmus sp. PABB004]
OG0000419	KAI3437567.1 hypothetical protein D9Q98_000020 [Chlorella vulgaris]	KAF8058414.1 PIP5K5 [Scenedesmus sp. PABB004]
OG0000420	KAI3429768.1 hypothetical protein D9Q98_010081 [Chlorella vulgaris], KAI3435774.1 hypothetical protein D9Q98_001832 [Chlorella vulgaris]	KAF8065460.1 AMT1-1 [Scenedesmus sp. PABB004]
OG0000421	KAI3438028.1 hypothetical protein D9Q98_000471 [Chlorella vulgaris]	KAF8055753.1 PF20 [Scenedesmus sp. PABB004]
OG0000421	KAI3438605.1 hypothetical protein D9Q98_001028 [Chlorella vulgaris]	KAF8059181.1 LHCA5 [Scenedesmus sp. PABB004]
OG0000422	KAI3436656.1 hypothetical protein D9Q98_006072 [Chlorella vulgaris]	KAF8062028.1 SAR2 [Scenedesmus sp. PABB004]
OG0000422	KAI3436655.1 hypothetical protein D9Q98_006071 [Chlorella vulgaris]	KAF8064689.1 uricase [Scenedesmus sp. PABB004]
OG0000423	KAI3424057.1 hypothetical protein D9Q98_009420 [Chlorella vulgaris]	KAF8068370.1 CDKG-2 [Scenedesmus sp. PABB004]
OG0000423	KAI3424742.1 hypothetical protein D9Q98_008131 [Chlorella vulgaris]	KAF8066222.1 cdk10 [Scenedesmus sp. PABB004]
OG0000424	KAI3430418.1 hypothetical protein D9Q98_005013 [Chlorella vulgaris]	KAF8064677.1 hypothetical protein HT031_003479 [Scenedesmus sp. PABB004]
OG0000425	KAI3438522.1 hypothetical protein D9Q98_000950 [Chlorella vulgaris], KAI3423876.1 hypothetical protein D9Q98_009710 [Chlorella vulgaris]	KAF8059445.1 ABCA9 [Scenedesmus sp. PABB004], KAF8060280.1 ABCA2 [Scenedesmus sp. PABB004], KAF8065711.1 ABCA2 [Scenedesmus sp. PABB004]
OG0000426	KAI3435882.1 hypothetical protein D9Q98_001940 [Chlorella vulgaris]	KAF8058128.1 VAC14 [Scenedesmus sp. PABB004]
OG0000427	KAI3438936.1 hypothetical protein D9Q98_001350 [Chlorella vulgaris]	KAF8065503.1 soxA [Scenedesmus sp. PABB004]
OG0000427	KAI3438939.1 hypothetical protein D9Q98_001353 [Chlorella vulgaris]	KAF8055283.1 PAS2 [Scenedesmus sp. PABB004]
OG0000428	KAI3429491.1 hypothetical protein D9Q98_005580 [Chlorella vulgaris], KAI3431735.1 hypothetical protein D9Q98_004777 [Chlorella vulgaris]	KAF8072600.1 hypothetical protein HT031_000260 [Scenedesmus sp. PABB004], KAF8060099.1 trx [Scenedesmus sp. PABB004]
OG0000429	KAI3435650.1 hypothetical protein D9Q98_001708 [Chlorella vulgaris], KAI3435620.1 hypothetical protein D9Q98_001680 [Chlorella vulgaris]	KAF8058093.1 LPD2 [Scenedesmus sp. PABB004]
OG0000430	KAI3430737.1 hypothetical protein D9Q98_009150 [Chlorella vulgaris]	KAF8066322.1 hypothetical protein HT031_002645 [Scenedesmus sp. PABB004], KAF8066314.1 TAF2 [Scenedesmus sp. PABB004]
OG0000430	KAI3432784.1 hypothetical protein D9Q98_010369 [Chlorella vulgaris]	KAF8065879.1 phosphopantothenate--cysteine ligase 1 [Scenedesmus sp. PABB004]
OG0000431	KAI3425770.1 hypothetical protein D9Q98_007745 [Chlorella vulgaris]	KAF8058066.1 DUR1 [Scenedesmus sp. PABB004]
OG0000432	KAI3438740.1 hypothetical protein D9Q98_001159 [Chlorella vulgaris]	KAF8065551.1 RER5 [Scenedesmus sp. PABB004]
OG0000432	KAI3438741.1 hypothetical protein D9Q98_001160 [Chlorella vulgaris]	KAF8056216.1 hypothetical protein HT031_006404 [Scenedesmus sp. PABB004]
OG0000433	KAI3424315.1 hypothetical protein D9Q98_009868 [Chlorella vulgaris], KAI3425132.1 hypothetical protein D9Q98_008904 [Chlorella vulgaris]	KAF8072763.1 PLSP1 [Scenedesmus sp. PABB004]
OG0000434	KAI3423803.1 hypothetical protein D9Q98_009640 [Chlorella vulgaris], KAI3423802.1 hypothetical protein D9Q98_009639 [Chlorella vulgaris]	KAF8058080.1 HSP31 [Scenedesmus sp. PABB004]
OG0000435	KAI3428061.1 hypothetical protein D9Q98_006445 [Chlorella vulgaris]	KAF8068332.1 Calcium sensing receptor [Scenedesmus sp. PABB004]
OG0000436	KAI3429703.1 hypothetical protein D9Q98_005788 [Chlorella vulgaris]	KAF8055826.1 4-hydroxy-4-methyl-2-oxoglutarate aldolase [Scenedesmus sp. PABB004]
OG0000436	KAI3429682.1 hypothetical protein D9Q98_005767 [Chlorella vulgaris], KAI3438779.1 hypothetical protein D9Q98_001196 [Chlorella vulgaris]	KAF8061387.1 4-hydroxy-4-methyl-2-oxoglutarate aldolase [Scenedesmus sp. PABB004]
OG0000439	KAI3426203.1 hypothetical protein D9Q98_008580 [Chlorella vulgaris], KAI3434746.1 hypothetical protein D9Q98_002806 [Chlorella vulgaris], KAI3430668.1 hypothetical protein D9Q98_005260 [Chlorella vulgaris]	KAF8072854.1 HPAT1 [Scenedesmus sp. PABB004]
OG0000440	KAI3430720.1 hypothetical protein D9Q98_005306 [Chlorella vulgaris]	KAF8057272.1 OXSR1 [Scenedesmus sp. PABB004], KAF8056256.1 fray2 [Scenedesmus sp. PABB004]
OG0000441	KAI3435736.1 hypothetical protein D9Q98_001794 [Chlorella vulgaris]	KAF8059195.1 NADP-specific glutamate dehydrogenase [Scenedesmus sp. PABB004]
OG0000442	KAI3429399.1 hypothetical protein D9Q98_005494 [Chlorella vulgaris]	KAF8072972.1 SS2 [Scenedesmus sp. PABB004]
OG0000442	KAI3429899.1 hypothetical protein D9Q98_010210 [Chlorella vulgaris]	KAF8061313.1 SS1 [Scenedesmus sp. PABB004]
OG0000443	KAI3430606.1 hypothetical protein D9Q98_005199 [Chlorella vulgaris], KAI3430612.1 hypothetical protein D9Q98_005204 [Chlorella vulgaris]	KAF8062653.1 CM1 [Scenedesmus sp. PABB004], KAF8062651.1 CM1 [Scenedesmus sp. PABB004]
OG0000445	KAI3434886.1 hypothetical protein D9Q98_002940 [Chlorella vulgaris]	KAF8057290.1 Abcc2 [Scenedesmus sp. PABB004]
OG0000445	KAI3436892.1 hypothetical protein D9Q98_006300 [Chlorella vulgaris]	KAF8071181.1 abcC12 [Scenedesmus sp. PABB004]
OG0000446	KAI3436065.1 hypothetical protein D9Q98_002123 [Chlorella vulgaris]	KAF8058843.1 ATCSA-1 [Scenedesmus sp. PABB004]
OG0000447	KAI3438128.1 hypothetical protein D9Q98_000569 [Chlorella vulgaris]	KAF8071059.1 SPBC16D10.01c [Scenedesmus sp. PABB004]
OG0000449	KAI3423794.1 hypothetical protein D9Q98_009632 [Chlorella vulgaris]	KAF8064639.1 ERCC1 [Scenedesmus sp. PABB004]
OG0000451	KAI3438067.1 hypothetical protein D9Q98_000510 [Chlorella vulgaris]	KAF8059431.1 TTC1 [Scenedesmus sp. PABB004]
OG0000452	KAI3436762.1 hypothetical protein D9Q98_006174 [Chlorella vulgaris], KAI3426483.1 hypothetical protein D9Q98_008849 [Chlorella vulgaris]	KAF8058880.1 VPS32.1 [Scenedesmus sp. PABB004]
OG0000453	KAI3438775.1 hypothetical protein D9Q98_001192 [Chlorella vulgaris], KAI3438774.1 hypothetical protein D9Q98_001192 [Chlorella vulgaris]	KAF8057716.1 CTDSP1 [Scenedesmus sp. PABB004]
OG0000453	KAI3438776.1 hypothetical protein D9Q98_001193 [Chlorella vulgaris]	KAF8060083.1 sugar phosphate/phosphate translocator [Scenedesmus sp. PABB004]
OG0000454	KAI3427968.1 hypothetical protein D9Q98_006358 [Chlorella vulgaris], KAI3427960.1 hypothetical protein D9Q98_006350 [Chlorella vulgaris]	KAF8067196.1 RPI3 [Scenedesmus sp. PABB004]
OG0000455	KAI3434451.1 hypothetical protein D9Q98_002528 [Chlorella vulgaris]	KAF8069398.1 hypothetical protein HT031_001513 [Scenedesmus sp. PABB004]
OG0000455	KAI3434446.1 hypothetical protein D9Q98_002523 [Chlorella vulgaris]	KAF8072541.1 ARMC6 [Scenedesmus sp. PABB004]
OG0000457	KAI3436609.1 hypothetical protein D9Q98_006026 [Chlorella vulgaris]	KAF8058430.1 Pyruvate kinase isozyme A [Scenedesmus sp. PABB004]
OG0000457	KAI3436610.1 hypothetical protein D9Q98_006027 [Chlorella vulgaris]	KAF8061067.1 dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex 2 [Scenedesmus sp. PABB004]
OG0000458	KAI3438593.1 hypothetical protein D9Q98_001017 [Chlorella vulgaris]	KAF8058308.1 NDPK1 [Scenedesmus sp. PABB004]
OG0000460	KAI3430583.1 hypothetical protein D9Q98_005176 [Chlorella vulgaris], KAI3424908.1 hypothetical protein D9Q98_008292 [Chlorella vulgaris]	KAF8062932.1 Proliferating cell nuclear antigen [Scenedesmus sp. PABB004]
OG0000461	KAI3425976.1 hypothetical protein D9Q98_007944 [Chlorella vulgaris]	KAF8071061.1 Pyruvate kinase [Scenedesmus sp. PABB004]
OG0000461	KAI3425977.1 hypothetical protein D9Q98_007945 [Chlorella vulgaris]	KAF8072857.1 zupT [Scenedesmus sp. PABB004]
OG0000463	KAI3425002.1 hypothetical protein D9Q98_008383 [Chlorella vulgaris], KAI3425001.1 hypothetical protein D9Q98_008382 [Chlorella vulgaris]	KAF8056117.1 ATPK2 [Scenedesmus sp. PABB004]
OG0000464	KAI3428776.1 hypothetical protein D9Q98_007597 [Chlorella vulgaris]	KAF8071162.1 APE2 [Scenedesmus sp. PABB004]
OG0000465	KAI3432263.1 hypothetical protein D9Q98_003823 [Chlorella vulgaris], KAI3433843.1 hypothetical protein D9Q98_003646 [Chlorella vulgaris]	KAF8060080.1 NAGS2 [Scenedesmus sp. PABB004]
OG0000466	KAI3436395.1 hypothetical protein D9Q98_005812 [Chlorella vulgaris], KAI3436396.1 hypothetical protein D9Q98_005813 [Chlorella vulgaris], KAI3424365.1 hypothetical protein D9Q98_009918 [Chlorella vulgaris], KAI3431487.1 hypothetical protein D9Q98_004538 [Chlorella vulgaris]	KAF8072919.1 hypothetical protein HT031_000579 [Scenedesmus sp. PABB004]
OG0000467	KAI3432772.1 hypothetical protein D9Q98_004312 [Chlorella vulgaris]	KAF8072938.1 hypothetical protein HT031_000598 [Scenedesmus sp. PABB004]
OG0000467	KAI3431280.1 hypothetical protein D9Q98_004341 [Chlorella vulgaris]	KAF8072916.1 TRX-X [Scenedesmus sp. PABB004]
OG0000468	KAI3435810.1 hypothetical protein D9Q98_001868 [Chlorella vulgaris], KAI3433359.1 hypothetical protein D9Q98_003177 [Chlorella vulgaris]	KAF8059453.1 RAB1BV [Scenedesmus sp. PABB004]
OG0000469	KAI3424724.1 hypothetical protein D9Q98_008113 [Chlorella vulgaris], KAI3431360.1 hypothetical protein D9Q98_004417 [Chlorella vulgaris]	KAF8072663.1 TD1 [Scenedesmus sp. PABB004]
OG0000470	KAI3426508.1 hypothetical protein D9Q98_008873 [Chlorella vulgaris], KAI3434498.1 hypothetical protein D9Q98_002573 [Chlorella vulgaris]	KAF8060524.1 leucine--tRNA ligase [Scenedesmus sp. PABB004]
OG0000471	KAI3434778.1 hypothetical protein D9Q98_002838 [Chlorella vulgaris], KAI3434777.1 hypothetical protein D9Q98_002837 [Chlorella vulgaris]	KAF8072620.1 ASF1B [Scenedesmus sp. PABB004]
OG0000472	KAI3425733.1 hypothetical protein D9Q98_007709 [Chlorella vulgaris], KAI3425734.1 hypothetical protein D9Q98_007710 [Chlorella vulgaris], KAI3425732.1 hypothetical protein D9Q98_007708 [Chlorella vulgaris]	KAF8072690.1 MAA3 [Scenedesmus sp. PABB004]
OG0000473	KAI3433728.1 hypothetical protein D9Q98_003536 [Chlorella vulgaris], KAI3433729.1 hypothetical protein D9Q98_003537 [Chlorella vulgaris], KAI3438279.1 hypothetical protein D9Q98_000714 [Chlorella vulgaris]	KAF8072567.1 WDR26 [Scenedesmus sp. PABB004]
OG0000474	KAI3424846.1 hypothetical protein D9Q98_008232 [Chlorella vulgaris], KAI3424847.1 hypothetical protein D9Q98_008232 [Chlorella vulgaris]	KAF8068169.1 Ethe1 [Scenedesmus sp. PABB004]
OG0000475	KAI3424746.1 hypothetical protein D9Q98_008135 [Chlorella vulgaris]	KAF8072652.1 cyp6 [Scenedesmus sp. PABB004]
OG0000476	KAI3425011.1 hypothetical protein D9Q98_008393 [Chlorella vulgaris]	KAF8071284.1 R1 [Scenedesmus sp. PABB004], KAF8059679.1 R1 [Scenedesmus sp. PABB004]
OG0000477	KAI3433800.1 hypothetical protein D9Q98_003604 [Chlorella vulgaris], KAI3425220.1 hypothetical protein D9Q98_008988 [Chlorella vulgaris]	KAF8063066.1 hflX [Scenedesmus sp. PABB004]
OG0000478	KAI3432643.1 hypothetical protein D9Q98_004189 [Chlorella vulgaris]	KAF8072540.1 TBL3 [Scenedesmus sp. PABB004]
OG0000478	KAI3431837.1 hypothetical protein D9Q98_010589 [Chlorella vulgaris]	KAF8068432.1 APR3 [Scenedesmus sp. PABB004]
OG0000479	KAI3424894.1 hypothetical protein D9Q98_008278 [Chlorella vulgaris]	KAF8072726.1 ER membrane protein complex subunit 7 [Scenedesmus sp. PABB004]
OG0000479	KAI3424893.1 hypothetical protein D9Q98_008277 [Chlorella vulgaris]	KAF8068237.1 dscc1 [Scenedesmus sp. PABB004]
OG0000480	KAI3436138.1 hypothetical protein D9Q98_002195 [Chlorella vulgaris]	KAF8063808.1 prfA [Scenedesmus sp. PABB004]
OG0000480	KAI3432638.1 hypothetical protein D9Q98_004184 [Chlorella vulgaris]	KAF8072695.1 RPL3 [Scenedesmus sp. PABB004]
OG0000483	KAI3438154.1 hypothetical protein D9Q98_000592 [Chlorella vulgaris]	KAF8055983.1 tef3 [Scenedesmus sp. PABB004]
OG0000483	KAI3424351.1 hypothetical protein D9Q98_009904 [Chlorella vulgaris]	KAF8058137.1 tef3 [Scenedesmus sp. PABB004]
OG0000485	KAI3429773.1 hypothetical protein D9Q98_010086 [Chlorella vulgaris]	KAF8059102.1 djlA [Scenedesmus sp. PABB004]
OG0000486	KAI3431633.1 hypothetical protein D9Q98_004680 [Chlorella vulgaris]	KAF8065948.1 nahA [Scenedesmus sp. PABB004]
OG0000490	KAI3429737.1 hypothetical protein D9Q98_010052 [Chlorella vulgaris], KAI3424750.1 hypothetical protein D9Q98_008139 [Chlorella vulgaris], KAI3424913.1 hypothetical protein D9Q98_008297 [Chlorella vulgaris]	KAF8055655.1 hypothetical protein HT031_006677 [Scenedesmus sp. PABB004], KAF8059117.1 hypothetical protein HT031_005289 [Scenedesmus sp. PABB004]
OG0000493	KAI3428282.1 hypothetical protein D9Q98_006661 [Chlorella vulgaris]	KAF8063038.1 Orct2 [Scenedesmus sp. PABB004], KAF8056782.1 hypothetical protein HT031_006280 [Scenedesmus sp. PABB004]
OG0000493	KAI3428283.1 hypothetical protein D9Q98_006662 [Chlorella vulgaris]	KAF8071214.1 OCT4 [Scenedesmus sp. PABB004]
OG0000498	KAI3425957.1 hypothetical protein D9Q98_007927 [Chlorella vulgaris]	KAF8060328.1 PAM71 [Scenedesmus sp. PABB004]
OG0000498	KAI3434517.1 hypothetical protein D9Q98_002590 [Chlorella vulgaris]	KAF8055118.1 GDT1-like protein [Scenedesmus sp. PABB004]
OG0000499	KAI3428774.1 hypothetical protein D9Q98_007595 [Chlorella vulgaris]	KAF8073089.1 Twinkle-like protein [Scenedesmus sp. PABB004], KAF8073039.1 Twinkle-like protein [Scenedesmus sp. PABB004], KAF8073040.1 Twinkle-like protein [Scenedesmus sp. PABB004]
OG0000500	KAI3425229.1 hypothetical protein D9Q98_008997 [Chlorella vulgaris]	KAF8066226.1 ynbB [Scenedesmus sp. PABB004]
OG0000501	KAI3434677.1 hypothetical protein D9Q98_002741 [Chlorella vulgaris]	KAF8060562.1 PAT04 [Scenedesmus sp. PABB004]
OG0000503	KAI3428309.1 hypothetical protein D9Q98_006689 [Chlorella vulgaris]	KAF8069503.1 ycf45 [Scenedesmus sp. PABB004]
OG0000503	KAI3423869.1 hypothetical protein D9Q98_009703 [Chlorella vulgaris]	KAF8054898.1 ycf45 [Scenedesmus sp. PABB004]
OG0000506	KAI3438557.1 hypothetical protein D9Q98_000985 [Chlorella vulgaris]	KAF8056773.1 hypothetical protein HT031_006271 [Scenedesmus sp. PABB004], KAF8056775.1 hypothetical protein HT031_006273 [Scenedesmus sp. PABB004]
OG0000510	KAI3428564.1 hypothetical protein D9Q98_007386 [Chlorella vulgaris], KAI3428563.1 hypothetical protein D9Q98_007385 [Chlorella vulgaris]	KAF8064502.1 3-phosphoshikimate 1-carboxyvinyltransferase [Scenedesmus sp. PABB004]
OG0000511	KAI3433520.1 hypothetical protein D9Q98_003330 [Chlorella vulgaris]	KAF8072899.1 hypothetical protein HT031_000559 [Scenedesmus sp. PABB004]
OG0000511	KAI3429451.1 hypothetical protein D9Q98_005544 [Chlorella vulgaris]	KAF8068434.1 hypothetical protein HT031_002123 [Scenedesmus sp. PABB004]
OG0000511	KAI3428476.1 hypothetical protein D9Q98_007301 [Chlorella vulgaris]	KAF8072696.1 hypothetical protein HT031_000356 [Scenedesmus sp. PABB004]
OG0000512	KAI3430868.1 hypothetical protein D9Q98_009277 [Chlorella vulgaris]	KAF8057135.1 RH3A [Scenedesmus sp. PABB004]
OG0000514	KAI3437682.1 hypothetical protein D9Q98_000131 [Chlorella vulgaris], KAI3437683.1 hypothetical protein D9Q98_000132 [Chlorella vulgaris]	KAF8068273.1 MRS2-7 [Scenedesmus sp. PABB004]
OG0000515	KAI3437624.1 hypothetical protein D9Q98_000076 [Chlorella vulgaris], KAI3437801.1 hypothetical protein D9Q98_000248 [Chlorella vulgaris]	KAF8063862.1 hypothetical protein HT031_003719 [Scenedesmus sp. PABB004]
OG0000516	KAI3437930.1 hypothetical protein D9Q98_000374 [Chlorella vulgaris]	KAF8067162.1 hypothetical protein HT031_002209 [Scenedesmus sp. PABB004]
OG0000517	KAI3438019.1 hypothetical protein D9Q98_000462 [Chlorella vulgaris]	KAF8072623.1 hypothetical protein HT031_000283 [Scenedesmus sp. PABB004]
OG0000519	KAI3437986.1 hypothetical protein D9Q98_000429 [Chlorella vulgaris]	KAF8058410.1 hypothetical protein HT031_005534 [Scenedesmus sp. PABB004]
OG0000520	KAI3429478.1 hypothetical protein D9Q98_005569 [Chlorella vulgaris], KAI3429479.1 hypothetical protein D9Q98_005570 [Chlorella vulgaris]	KAF8058944.1 SRD5A1 [Scenedesmus sp. PABB004]
OG0000521	KAI3432894.1 hypothetical protein D9Q98_010476 [Chlorella vulgaris], KAI3432893.1 hypothetical protein D9Q98_010475 [Chlorella vulgaris]	KAF8060317.1 protein phosphatase 2C 69 [Scenedesmus sp. PABB004]
OG0000522	KAI3432814.1 hypothetical protein D9Q98_010397 [Chlorella vulgaris]	KAF8060045.1 DnAJ-like protein [Scenedesmus sp. PABB004]
OG0000524	KAI3425708.1 hypothetical protein D9Q98_007684 [Chlorella vulgaris], KAI3434831.1 hypothetical protein D9Q98_002886 [Chlorella vulgaris]	KAF8065585.1 hypothetical protein HT031_003186 [Scenedesmus sp. PABB004]
OG0000525	KAI3434844.1 hypothetical protein D9Q98_002898 [Chlorella vulgaris], KAI3438909.1 hypothetical protein D9Q98_001323 [Chlorella vulgaris]	KAF8056468.1 hypothetical protein HT031_006325 [Scenedesmus sp. PABB004]
OG0000526	KAI3432661.1 hypothetical protein D9Q98_004205 [Chlorella vulgaris]	KAF8058920.1 BSDC1 [Scenedesmus sp. PABB004]
OG0000527	KAI3438245.1 hypothetical protein D9Q98_000682 [Chlorella vulgaris]	KAF8062719.1 RRC1 [Scenedesmus sp. PABB004]
OG0000527	KAI3438248.1 hypothetical protein D9Q98_000685 [Chlorella vulgaris]	KAF8062637.1 CDC27B [Scenedesmus sp. PABB004]
OG0000528	KAI3429542.1 hypothetical protein D9Q98_005630 [Chlorella vulgaris]	KAF8064679.1 pitC [Scenedesmus sp. PABB004]
OG0000529	KAI3430758.1 hypothetical protein D9Q98_009170 [Chlorella vulgaris], KAI3429557.1 hypothetical protein D9Q98_005645 [Chlorella vulgaris]	KAF8056146.1 ghrA [Scenedesmus sp. PABB004]
OG0000530	KAI3423913.1 hypothetical protein D9Q98_009747 [Chlorella vulgaris]	KAF8069704.1 KIN10 [Scenedesmus sp. PABB004]
OG0000530	KAI3426244.1 hypothetical protein D9Q98_008620 [Chlorella vulgaris]	KAF8063775.1 KIN10 [Scenedesmus sp. PABB004]
OG0000531	KAI3426170.1 hypothetical protein D9Q98_008547 [Chlorella vulgaris]	KAF8069374.1 PAP27 [Scenedesmus sp. PABB004]
OG0000531	KAI3426171.1 hypothetical protein D9Q98_008548 [Chlorella vulgaris]	KAF8062967.1 hypothetical protein HT031_003806 [Scenedesmus sp. PABB004]
OG0000533	KAI3423544.1 hypothetical protein D9Q98_010726_ partial _chloroplast_ [Chlorella vulgaris]	KAF8054356.1 atpA _chloroplast_ [Scenedesmus sp. PABB004], KAF8054436.1 atpA _chloroplast_ [Scenedesmus sp. PABB004]
OG0000533	KAI3423003.1 hypothetical protein D9Q98_010846_ partial _mitochondrion_ [Chlorella vulgaris]	KAF8072960.1 hypothetical protein HT031_000620 [Scenedesmus sp. PABB004]
OG0000535	KAI3435944.1 hypothetical protein D9Q98_002002 [Chlorella vulgaris], KAI3436209.1 hypothetical protein D9Q98_002263 [Chlorella vulgaris]	KAF8072934.1 KIF6 [Scenedesmus sp. PABB004]
OG0000538	KAI3430702.1 hypothetical protein D9Q98_005291 [Chlorella vulgaris]	KAF8072792.1 MSH6 [Scenedesmus sp. PABB004]
OG0000538	KAI3430700.1 hypothetical protein D9Q98_005289 [Chlorella vulgaris]	KAF8064585.1 hypothetical protein HT031_003385 [Scenedesmus sp. PABB004]
OG0000540	KAI3428450.1 hypothetical protein D9Q98_007277 [Chlorella vulgaris], KAI3428493.1 hypothetical protein D9Q98_007318 [Chlorella vulgaris]	KAF8060023.1 hypothetical protein HT031_004961 [Scenedesmus sp. PABB004]
OG0000541	KAI3435486.1 hypothetical protein D9Q98_001552 [Chlorella vulgaris], KAI3433430.1 hypothetical protein D9Q98_003245 [Chlorella vulgaris]	KAF8072345.1 hypothetical protein HT031_000004 [Scenedesmus sp. PABB004], KAF8054759.1 hypothetical protein HT031_006941 [Scenedesmus sp. PABB004], KAF8070899.1 hypothetical protein HT031_000980 [Scenedesmus sp. PABB004]
OG0000542	KAI3437729.1 hypothetical protein D9Q98_000177 [Chlorella vulgaris]	KAF8063735.1 VPS45 [Scenedesmus sp. PABB004], KAF8059184.1 COAC2 [Scenedesmus sp. PABB004]
OG0000543	KAI3429401.1 hypothetical protein D9Q98_005496 [Chlorella vulgaris]	KAF8072967.1 Aurka [Scenedesmus sp. PABB004]
OG0000543	KAI3429412.1 hypothetical protein D9Q98_005507 [Chlorella vulgaris]	KAF8064678.1 CPK18 [Scenedesmus sp. PABB004]
OG0000544	KAI3436393.1 hypothetical protein D9Q98_005810 [Chlorella vulgaris]	KAF8067269.1 hypothetical protein HT031_002316 [Scenedesmus sp. PABB004]
OG0000545	KAI3433584.1 hypothetical protein D9Q98_003395 [Chlorella vulgaris]	KAF8072598.1 Aspartate aminotransferase P2 [Scenedesmus sp. PABB004]
OG0000545	KAI3433583.1 hypothetical protein D9Q98_003394 [Chlorella vulgaris]	KAF8055987.1 OVA7 [Scenedesmus sp. PABB004]
OG0000546	KAI3438264.1 hypothetical protein D9Q98_000700 [Chlorella vulgaris], KAI3430380.1 hypothetical protein D9Q98_004975 [Chlorella vulgaris], KAI3430379.1 hypothetical protein D9Q98_004974 [Chlorella vulgaris]	KAF8073136.1 SYP43 [Scenedesmus sp. PABB004]
OG0000547	KAI3430630.1 hypothetical protein D9Q98_005223 [Chlorella vulgaris], KAI3430629.1 hypothetical protein D9Q98_005222 [Chlorella vulgaris], KAI3430628.1 hypothetical protein D9Q98_005221 [Chlorella vulgaris]	KAF8062714.1 HSL1 [Scenedesmus sp. PABB004]
OG0000548	KAI3434889.1 hypothetical protein D9Q98_002943 [Chlorella vulgaris]	KAF8065506.1 FTSZ1 [Scenedesmus sp. PABB004], KAF8072810.1 FTSZ1 [Scenedesmus sp. PABB004]
OG0000549	KAI3434657.1 hypothetical protein D9Q98_002721 [Chlorella vulgaris]	KAF8059362.1 sua1 [Scenedesmus sp. PABB004]
OG0000549	KAI3437913.1 hypothetical protein D9Q98_000358 [Chlorella vulgaris]	KAF8065943.1 sua1 [Scenedesmus sp. PABB004]
OG0000551	KAI3436643.1 hypothetical protein D9Q98_006059 [Chlorella vulgaris], KAI3428793.1 hypothetical protein D9Q98_007612 [Chlorella vulgaris]	KAF8063073.1 HD16 [Scenedesmus sp. PABB004]
OG0000553	KAI3438892.1 hypothetical protein D9Q98_001307 [Chlorella vulgaris]	KAF8060369.1 CCT3 [Scenedesmus sp. PABB004]
OG0000554	KAI3435823.1 hypothetical protein D9Q98_001881 [Chlorella vulgaris], KAI3436101.1 hypothetical protein D9Q98_002159 [Chlorella vulgaris], KAI3436102.1 hypothetical protein D9Q98_002160 [Chlorella vulgaris]	KAF8065704.1 hypothetical protein HT031_002764 [Scenedesmus sp. PABB004]
OG0000555	KAI3438907.1 hypothetical protein D9Q98_001321 [Chlorella vulgaris]	KAF8060291.1 PHB6 [Scenedesmus sp. PABB004]
OG0000556	KAI3429840.1 hypothetical protein D9Q98_010152 [Chlorella vulgaris]	KAF8062726.1 hypothetical protein HT031_004056 [Scenedesmus sp. PABB004]
OG0000557	KAI3428126.1 hypothetical protein D9Q98_006509 [Chlorella vulgaris]	KAF8068463.1 Vps13a [Scenedesmus sp. PABB004]
OG0000558	KAI3430483.1 hypothetical protein D9Q98_005078 [Chlorella vulgaris]	KAF8058887.1 P4H3 [Scenedesmus sp. PABB004]
OG0000559	KAI3430554.1 hypothetical protein D9Q98_005147 [Chlorella vulgaris], KAI3438606.1 hypothetical protein D9Q98_001029 [Chlorella vulgaris]	KAF8067200.1 MCM4 [Scenedesmus sp. PABB004]
OG0000560	KAI3424173.1 hypothetical protein D9Q98_009532 [Chlorella vulgaris]	KAF8062767.1 ERD4 [Scenedesmus sp. PABB004], KAF8065514.1 CSC1-like protein [Scenedesmus sp. PABB004]
