Orthogroup	Chlorella_Vulgaris2111P	Scenedesmus_NREL
OG0000610	KAI3436841.1 hypothetical protein D9Q98_006251 [Chlorella vulgaris]	KAF6262661.1 aldehyde dehydrogenase [Scenedesmus sp. NREL 46B-D3]
OG0000611	KAI3434670.1 hypothetical protein D9Q98_002734 [Chlorella vulgaris]	KAF6260522.1 hypothetical protein COO60DRAFT_1294336 [Scenedesmus sp. NREL 46B-D3]
OG0000612	KAI3434628.1 hypothetical protein D9Q98_002695 [Chlorella vulgaris], KAI3434635.1 hypothetical protein D9Q98_002702 [Chlorella vulgaris]	KAF6248347.1 glycoside hydrolase superfamily [Scenedesmus sp. NREL 46B-D3]
OG0000613	KAI3425991.1 hypothetical protein D9Q98_007959 [Chlorella vulgaris]	KAF6260559.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6260916.1 kinesin-like protein FLA10 [Scenedesmus sp. NREL 46B-D3]
OG0000614	KAI3432309.1 hypothetical protein D9Q98_003869 [Chlorella vulgaris]	KAF6263496.1 hypothetical protein COO60DRAFT_1282192 [Scenedesmus sp. NREL 46B-D3], KAF6261273.1 GDP-mannose transporter_ golgi apparatus [Scenedesmus sp. NREL 46B-D3], KAF6265686.1 GDP-mannose transporter_ golgi apparatus [Scenedesmus sp. NREL 46B-D3]
OG0000615	KAI3430839.1 hypothetical protein D9Q98_009250 [Chlorella vulgaris], KAI3431806.1 hypothetical protein D9Q98_010559 [Chlorella vulgaris]	KAF6262836.1 VTC domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000616	KAI3435946.1 hypothetical protein D9Q98_002004 [Chlorella vulgaris], KAI3432435.1 hypothetical protein D9Q98_003988 [Chlorella vulgaris], KAI3432436.1 hypothetical protein D9Q98_003989 [Chlorella vulgaris]	KAF6265002.1 hypothetical protein COO60DRAFT_1281606 [Scenedesmus sp. NREL 46B-D3]
OG0000617	KAI3435692.1 hypothetical protein D9Q98_001750 [Chlorella vulgaris]	KAF6265800.1 phosphatase 2C-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000617	KAI3435693.1 hypothetical protein D9Q98_001751 [Chlorella vulgaris]	KAF6264934.1 Cys/Met metabolism PLP-dependent enzyme-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000618	KAI3438568.1 hypothetical protein D9Q98_000995 [Chlorella vulgaris]	KAF6251048.1 ribosomal protein S8 [Scenedesmus sp. NREL 46B-D3], KAF6250898.1 component of cytosolic 80S ribosome and 40S small subunit [Scenedesmus sp. NREL 46B-D3]
OG0000618	KAI3438569.1 hypothetical protein D9Q98_000996 [Chlorella vulgaris]	KAF6256221.1 mitochondrial K+-H+ exchange-related-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000619	KAI3425995.1 hypothetical protein D9Q98_007963 [Chlorella vulgaris]	KAF6253953.1 SNF2 family N-terminal domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000620	KAI3437936.1 hypothetical protein D9Q98_000380 [Chlorella vulgaris]	KAF6259555.1 hypothetical protein COO60DRAFT_994648 [Scenedesmus sp. NREL 46B-D3]
OG0000621	KAI3428533.1 hypothetical protein D9Q98_007356 [Chlorella vulgaris]	KAF6261376.1 hypothetical protein COO60DRAFT_1501890 [Scenedesmus sp. NREL 46B-D3], KAF6255684.1 hypothetical protein COO60DRAFT_193031 [Scenedesmus sp. NREL 46B-D3]
OG0000621	KAI3428609.1 hypothetical protein D9Q98_007432 [Chlorella vulgaris]	KAF6254486.1 pyruvate-ferredoxin oxidoreductase [Scenedesmus sp. NREL 46B-D3]
OG0000622	KAI3428582.1 hypothetical protein D9Q98_007404 [Chlorella vulgaris]	KAF6251314.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3], KAF6255742.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0000622	KAI3428583.1 hypothetical protein D9Q98_007405 [Chlorella vulgaris]	KAF6260920.1 hypothetical protein COO60DRAFT_1637142 [Scenedesmus sp. NREL 46B-D3]
OG0000623	KAI3433493.1 hypothetical protein D9Q98_003305 [Chlorella vulgaris], KAI3430726.1 hypothetical protein D9Q98_005312 [Chlorella vulgaris]	KAF6262296.1 hypothetical protein COO60DRAFT_1497304 [Scenedesmus sp. NREL 46B-D3], KAF6262288.1 hypothetical protein COO60DRAFT_1497273 [Scenedesmus sp. NREL 46B-D3]
OG0000625	KAI3429300.1 hypothetical protein D9Q98_005395 [Chlorella vulgaris], KAI3429299.1 hypothetical protein D9Q98_005395 [Chlorella vulgaris], KAI3430460.1 hypothetical protein D9Q98_005055 [Chlorella vulgaris]	KAF6249470.1 major facilitator superfamily domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255645.1 major facilitator superfamily domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000626	KAI3436093.1 hypothetical protein D9Q98_002151 [Chlorella vulgaris]	KAF6250382.1 hypothetical protein COO60DRAFT_1706034 [Scenedesmus sp. NREL 46B-D3]
OG0000626	KAI3430569.1 hypothetical protein D9Q98_005162 [Chlorella vulgaris]	KAF6262746.1 SDA1-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000627	KAI3433374.1 hypothetical protein D9Q98_003191 [Chlorella vulgaris]	KAF6264515.1 NAD_P_ transhydrogenase beta subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000628	KAI3428720.1 hypothetical protein D9Q98_007544 [Chlorella vulgaris], KAI3426436.1 hypothetical protein D9Q98_008804 [Chlorella vulgaris]	KAF6263374.1 hypothetical protein COO60DRAFT_459184 [Scenedesmus sp. NREL 46B-D3]
OG0000629	KAI3432589.1 hypothetical protein D9Q98_004137 [Chlorella vulgaris]	KAF6260208.1 thioredoxin-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000629	KAI3438846.1 hypothetical protein D9Q98_001263 [Chlorella vulgaris]	KAF6260336.1 thioredoxin-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000630	KAI3435779.1 hypothetical protein D9Q98_001837 [Chlorella vulgaris]	KAF6254394.1 hypothetical protein COO60DRAFT_322563 [Scenedesmus sp. NREL 46B-D3]
OG0000631	KAI3431266.1 hypothetical protein D9Q98_004328 [Chlorella vulgaris]	KAF6266150.1 ribosomal protein S9/S16-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000631	KAI3423606.1 hypothetical protein D9Q98_010790_ partial _chloroplast_ [Chlorella vulgaris], KAI3431263.1 hypothetical protein D9Q98_004325 [Chlorella vulgaris]	KAF6254839.1 vacuolar protein sorting-associated protein 16 [Scenedesmus sp. NREL 46B-D3]
OG0000632	KAI3432836.1 hypothetical protein D9Q98_010420 [Chlorella vulgaris]	KAF6248935.1 hypothetical protein COO60DRAFT_1277211 [Scenedesmus sp. NREL 46B-D3]
OG0000633	KAI3438228.1 hypothetical protein D9Q98_000665 [Chlorella vulgaris], KAI3429769.1 hypothetical protein D9Q98_010082 [Chlorella vulgaris]	KAF6251268.1 copper amine oxidase [Scenedesmus sp. NREL 46B-D3], KAF6250723.1 copper amine oxidase [Scenedesmus sp. NREL 46B-D3]
OG0000634	KAI3433932.1 hypothetical protein D9Q98_003734 [Chlorella vulgaris], KAI3432866.1 hypothetical protein D9Q98_010449 [Chlorella vulgaris]	KAF6250799.1 zinc-finger domain of monoamine-oxidase A repressor R1-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000635	KAI3428114.1 hypothetical protein D9Q98_006497 [Chlorella vulgaris]	KAF6252210.1 ribulose phosphate-3-epimerase chloroplast precursor [Scenedesmus sp. NREL 46B-D3]
OG0000636	KAI3431645.1 hypothetical protein D9Q98_004692 [Chlorella vulgaris], KAI3438485.1 hypothetical protein D9Q98_000913 [Chlorella vulgaris]	KAF6256619.1 carotenoid oxygenase [Scenedesmus sp. NREL 46B-D3], KAF6256621.1 hypothetical protein COO60DRAFT_1702244 [Scenedesmus sp. NREL 46B-D3]
OG0000637	KAI3425086.1 hypothetical protein D9Q98_008464 [Chlorella vulgaris], KAI3432760.1 hypothetical protein D9Q98_004300 [Chlorella vulgaris]	KAF6261646.1 hypothetical protein COO60DRAFT_1283019 [Scenedesmus sp. NREL 46B-D3]
OG0000638	KAI3432606.1 hypothetical protein D9Q98_004153 [Chlorella vulgaris]	KAF6265415.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000639	KAI3424406.1 hypothetical protein D9Q98_009958 [Chlorella vulgaris]	KAF6259954.1 hypothetical protein COO60DRAFT_1510342 [Scenedesmus sp. NREL 46B-D3]
OG0000639	KAI3424340.1 hypothetical protein D9Q98_009893 [Chlorella vulgaris]	KAF6252083.1 hypothetical protein COO60DRAFT_1673785 [Scenedesmus sp. NREL 46B-D3]
OG0000640	KAI3431789.1 hypothetical protein D9Q98_010542 [Chlorella vulgaris]	KAF6255865.1 hypothetical protein COO60DRAFT_168485 [Scenedesmus sp. NREL 46B-D3]
OG0000640	KAI3434499.1 hypothetical protein D9Q98_002574 [Chlorella vulgaris]	KAF6251947.1 NAD_P_-binding protein [Scenedesmus sp. NREL 46B-D3]
OG0000641	KAI3429327.1 hypothetical protein D9Q98_005422 [Chlorella vulgaris]	KAF6262514.1 hypothetical protein COO60DRAFT_613137 [Scenedesmus sp. NREL 46B-D3]
OG0000642	KAI3429493.1 hypothetical protein D9Q98_005582 [Chlorella vulgaris], KAI3429701.1 hypothetical protein D9Q98_005786 [Chlorella vulgaris]	KAF6260634.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3], KAF6263065.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]
OG0000643	KAI3438389.1 hypothetical protein D9Q98_000821 [Chlorella vulgaris], KAI3438387.1 hypothetical protein D9Q98_000819 [Chlorella vulgaris]	KAF6260469.1 hypothetical protein COO60DRAFT_892770 [Scenedesmus sp. NREL 46B-D3], KAF6260499.1 hypothetical protein COO60DRAFT_1684872 [Scenedesmus sp. NREL 46B-D3], KAF6265222.1 hypothetical protein COO60DRAFT_1697829 [Scenedesmus sp. NREL 46B-D3]
OG0000644	KAI3429634.1 hypothetical protein D9Q98_005720 [Chlorella vulgaris], KAI3429630.1 hypothetical protein D9Q98_005716 [Chlorella vulgaris]	KAF6250454.1 hypothetical protein COO60DRAFT_1682790 [Scenedesmus sp. NREL 46B-D3], KAF6256556.1 hypothetical protein COO60DRAFT_1640628 [Scenedesmus sp. NREL 46B-D3], KAF6260443.1 hypothetical protein COO60DRAFT_1684776 [Scenedesmus sp. NREL 46B-D3], KAF6258429.1 hypothetical protein COO60DRAFT_1701312 [Scenedesmus sp. NREL 46B-D3]
OG0000645	KAI3426131.1 hypothetical protein D9Q98_008510 [Chlorella vulgaris]	KAF6260532.1 Mg-protoporphyrin IX monomethyl ester oxidative cyclase 2 [Scenedesmus sp. NREL 46B-D3], KAF6259712.1 copper target-like protein 1 protein [Scenedesmus sp. NREL 46B-D3]
OG0000646	KAI3425286.1 hypothetical protein D9Q98_009053 [Chlorella vulgaris]	KAF6251923.1 WD40 repeat-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000646	KAI3425283.1 hypothetical protein D9Q98_009050 [Chlorella vulgaris]	KAF6257736.1 transcriptional repressor TCF25-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000647	KAI3436832.1 hypothetical protein D9Q98_006242 [Chlorella vulgaris], KAI3436831.1 hypothetical protein D9Q98_006241 [Chlorella vulgaris], KAI3425172.1 hypothetical protein D9Q98_008942 [Chlorella vulgaris], KAI3425171.1 hypothetical protein D9Q98_008942 [Chlorella vulgaris]	KAF6259138.1 hypothetical protein COO60DRAFT_1514679 [Scenedesmus sp. NREL 46B-D3]
OG0000648	KAI3424237.1 hypothetical protein D9Q98_009593 [Chlorella vulgaris]	KAF6257992.1 hypothetical protein COO60DRAFT_1163089 [Scenedesmus sp. NREL 46B-D3]
OG0000648	KAI3436804.1 hypothetical protein D9Q98_006214 [Chlorella vulgaris]	KAF6261943.1 tRNA-dihydrouridine synthase [Scenedesmus sp. NREL 46B-D3]
OG0000649	KAI3436301.1 hypothetical protein D9Q98_002354 [Chlorella vulgaris]	KAF6258687.1 diaminopimelate decarboxylase [Scenedesmus sp. NREL 46B-D3]
OG0000650	KAI3426365.1 hypothetical protein D9Q98_008737 [Chlorella vulgaris]	KAF6259593.1 mitogen-activated protein kinase [Scenedesmus sp. NREL 46B-D3]
OG0000651	KAI3436648.1 hypothetical protein D9Q98_006064 [Chlorella vulgaris]	KAF6260629.1 hypothetical protein COO60DRAFT_1505577 [Scenedesmus sp. NREL 46B-D3]
OG0000653	KAI3428423.1 hypothetical protein D9Q98_007250 [Chlorella vulgaris]	KAF6258595.1 hypothetical protein COO60DRAFT_1101716 [Scenedesmus sp. NREL 46B-D3]
OG0000654	KAI3433576.1 hypothetical protein D9Q98_003387 [Chlorella vulgaris]	KAF6256078.1 Mur ligase [Scenedesmus sp. NREL 46B-D3]
OG0000654	KAI3433577.1 hypothetical protein D9Q98_003388 [Chlorella vulgaris]	KAF6259155.1 hypothetical protein COO60DRAFT_1460310 [Scenedesmus sp. NREL 46B-D3]
OG0000655	KAI3433780.1 hypothetical protein D9Q98_003585 [Chlorella vulgaris], KAI3425025.1 hypothetical protein D9Q98_008405 [Chlorella vulgaris], KAI3425027.1 hypothetical protein D9Q98_008405 [Chlorella vulgaris], KAI3425026.1 hypothetical protein D9Q98_008405 [Chlorella vulgaris], KAI3425024.1 hypothetical protein D9Q98_008405 [Chlorella vulgaris]	KAF6253725.1 hypothetical protein COO60DRAFT_1667884 [Scenedesmus sp. NREL 46B-D3]
OG0000656	KAI3425752.1 hypothetical protein D9Q98_007727 [Chlorella vulgaris]	KAF6262884.1 hypothetical protein COO60DRAFT_1624791 [Scenedesmus sp. NREL 46B-D3]
OG0000656	KAI3425753.1 hypothetical protein D9Q98_007728 [Chlorella vulgaris]	KAF6256779.1 putative methyltransferase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000657	KAI3427990.1 hypothetical protein D9Q98_006378 [Chlorella vulgaris]	KAF6262262.1 ubiquitin-conjugating enzyme/RWD-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000657	KAI3425796.1 hypothetical protein D9Q98_007771 [Chlorella vulgaris]	KAF6258342.1 ubiquitin-conjugating enzyme/RWD-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000658	KAI3436004.1 hypothetical protein D9Q98_002061 [Chlorella vulgaris]	KAF6262957.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]
OG0000658	KAI3436005.1 hypothetical protein D9Q98_002062 [Chlorella vulgaris]	KAF6265927.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0000659	KAI3426156.1 hypothetical protein D9Q98_008533 [Chlorella vulgaris]	KAF6252916.1 SNF2 family N-terminal domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000659	KAI3432466.1 hypothetical protein D9Q98_004015 [Chlorella vulgaris]	KAF6259945.1 hypothetical protein COO60DRAFT_947165 [Scenedesmus sp. NREL 46B-D3]
OG0000660	KAI3428772.1 hypothetical protein D9Q98_007593 [Chlorella vulgaris]	KAF6266345.1 component of 80S ribosome and 40S small subunit [Scenedesmus sp. NREL 46B-D3]
OG0000660	KAI3428771.1 hypothetical protein D9Q98_007592 [Chlorella vulgaris]	KAF6257922.1 hypothetical protein COO60DRAFT_1521190_ partial [Scenedesmus sp. NREL 46B-D3]
OG0000661	KAI3430851.1 hypothetical protein D9Q98_009261 [Chlorella vulgaris], KAI3430852.1 hypothetical protein D9Q98_009262 [Chlorella vulgaris]	KAF6261306.1 hypothetical protein COO60DRAFT_1699870 [Scenedesmus sp. NREL 46B-D3]
OG0000662	KAI3429858.1 hypothetical protein D9Q98_010169 [Chlorella vulgaris]	KAF6249725.1 hypothetical protein COO60DRAFT_1706386 [Scenedesmus sp. NREL 46B-D3]
OG0000662	KAI3423953.1 hypothetical protein D9Q98_009787 [Chlorella vulgaris]	KAF6256312.1 hypothetical protein COO60DRAFT_1627219 [Scenedesmus sp. NREL 46B-D3]
OG0000664	KAI3436681.1 hypothetical protein D9Q98_006097 [Chlorella vulgaris], KAI3436682.1 hypothetical protein D9Q98_006098 [Chlorella vulgaris]	KAF6249780.1 hypothetical protein COO60DRAFT_1579329 [Scenedesmus sp. NREL 46B-D3], KAF6257804.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0000665	KAI3436529.1 hypothetical protein D9Q98_005946 [Chlorella vulgaris]	KAF6252612.1 hypothetical protein COO60DRAFT_1552333 [Scenedesmus sp. NREL 46B-D3], KAF6256126.1 hypothetical protein COO60DRAFT_143999 [Scenedesmus sp. NREL 46B-D3], KAF6252756.1 hypothetical protein COO60DRAFT_503070 [Scenedesmus sp. NREL 46B-D3]
OG0000666	KAI3436671.1 hypothetical protein D9Q98_006087 [Chlorella vulgaris], KAI3436674.1 hypothetical protein D9Q98_006090 [Chlorella vulgaris], KAI3436672.1 hypothetical protein D9Q98_006088 [Chlorella vulgaris]	KAF6258810.1 acyl carrier protein [Scenedesmus sp. NREL 46B-D3]
OG0000667	KAI3428173.1 hypothetical protein D9Q98_006553 [Chlorella vulgaris]	KAF6261625.1 ribosomal L27 protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000667	KAI3423891.1 hypothetical protein D9Q98_009725 [Chlorella vulgaris]	KAF6250333.1 ribosomal L27 protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000668	KAI3425041.1 hypothetical protein D9Q98_008419 [Chlorella vulgaris], KAI3426005.1 hypothetical protein D9Q98_007973 [Chlorella vulgaris]	KAF6263611.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0000668	KAI3425040.1 hypothetical protein D9Q98_008418 [Chlorella vulgaris]	KAF6262739.1 hypothetical protein COO60DRAFT_1699155 [Scenedesmus sp. NREL 46B-D3]
OG0000669	KAI3425332.1 hypothetical protein D9Q98_009096 [Chlorella vulgaris]	KAF6252539.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3], KAF6252540.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3], KAF6252542.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0000669	KAI3425331.1 hypothetical protein D9Q98_009095 [Chlorella vulgaris]	KAF6263359.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0000670	KAI3430871.1 hypothetical protein D9Q98_009280 [Chlorella vulgaris], KAI3424132.1 hypothetical protein D9Q98_009492 [Chlorella vulgaris], KAI3429600.1 hypothetical protein D9Q98_005686 [Chlorella vulgaris]	KAF6254761.1 hypothetical protein COO60DRAFT_285516 [Scenedesmus sp. NREL 46B-D3]
OG0000671	KAI3438602.1 hypothetical protein D9Q98_001025 [Chlorella vulgaris]	KAF6256768.1 RNA polymerase Rpc34 subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000672	KAI3436589.1 hypothetical protein D9Q98_006006 [Chlorella vulgaris], KAI3436221.1 hypothetical protein D9Q98_002275 [Chlorella vulgaris]	KAF6257188.1 hypothetical protein COO60DRAFT_1701956 [Scenedesmus sp. NREL 46B-D3]
OG0000673	KAI3430559.1 hypothetical protein D9Q98_005152 [Chlorella vulgaris]	KAF6262182.1 solanesyl diphosphate synthase [Scenedesmus sp. NREL 46B-D3]
OG0000673	KAI3430560.1 hypothetical protein D9Q98_005153 [Chlorella vulgaris]	KAF6259770.1 hypothetical protein COO60DRAFT_972597 [Scenedesmus sp. NREL 46B-D3], KAF6259766.1 hypothetical protein COO60DRAFT_1511004 [Scenedesmus sp. NREL 46B-D3]
OG0000674	KAI3425184.1 hypothetical protein D9Q98_008953 [Chlorella vulgaris]	KAF6259545.1 hypothetical protein COO60DRAFT_1004200 [Scenedesmus sp. NREL 46B-D3]
OG0000675	KAI3430276.1 hypothetical protein D9Q98_004872 [Chlorella vulgaris], KAI3424759.1 hypothetical protein D9Q98_008148 [Chlorella vulgaris], KAI3424721.1 hypothetical protein D9Q98_008110 [Chlorella vulgaris], KAI3424712.1 hypothetical protein D9Q98_008101 [Chlorella vulgaris], KAI3430324.1 hypothetical protein D9Q98_004919 [Chlorella vulgaris]	KAF6256906.1 hypothetical protein COO60DRAFT_1656220 [Scenedesmus sp. NREL 46B-D3]
OG0000676	KAI3438591.1 hypothetical protein D9Q98_001015 [Chlorella vulgaris], KAI3435824.1 hypothetical protein D9Q98_001882 [Chlorella vulgaris]	KAF6262523.1 hypothetical protein COO60DRAFT_1495501 [Scenedesmus sp. NREL 46B-D3]
OG0000677	KAI3437785.1 hypothetical protein D9Q98_000232 [Chlorella vulgaris], KAI3429627.1 hypothetical protein D9Q98_005713 [Chlorella vulgaris]	KAF6262278.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]
OG0000678	KAI3431398.1 hypothetical protein D9Q98_004451 [Chlorella vulgaris]	KAF6265082.1 Gar1/Naf1 RNA binding region-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000679	KAI3431463.1 hypothetical protein D9Q98_004515 [Chlorella vulgaris]	KAF6264969.1 hypothetical protein COO60DRAFT_1694712_ partial [Scenedesmus sp. NREL 46B-D3]
OG0000680	KAI3433622.1 hypothetical protein D9Q98_003431 [Chlorella vulgaris], KAI3433623.1 hypothetical protein D9Q98_003432 [Chlorella vulgaris]	KAF6263820.1 hypothetical protein COO60DRAFT_1488684 [Scenedesmus sp. NREL 46B-D3]
OG0000681	KAI3433538.1 hypothetical protein D9Q98_003348 [Chlorella vulgaris]	KAF6266034.1 RNA pol II accessory factor_ Cdc73 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000681	KAI3433542.1 hypothetical protein D9Q98_003352 [Chlorella vulgaris]	KAF6265071.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0000682	KAI3425774.1 hypothetical protein D9Q98_007749 [Chlorella vulgaris], KAI3425776.1 hypothetical protein D9Q98_007751 [Chlorella vulgaris]	KAF6256254.1 hypothetical protein COO60DRAFT_1530230 [Scenedesmus sp. NREL 46B-D3]
OG0000684	KAI3428334.1 hypothetical protein D9Q98_006714 [Chlorella vulgaris], KAI3431411.1 hypothetical protein D9Q98_004464 [Chlorella vulgaris]	KAF6265677.1 hypothetical protein COO60DRAFT_1697673 [Scenedesmus sp. NREL 46B-D3]
OG0000685	KAI3430307.1 hypothetical protein D9Q98_004903 [Chlorella vulgaris], KAI3430306.1 hypothetical protein D9Q98_004902 [Chlorella vulgaris]	KAF6252577.1 galactose oxidase [Scenedesmus sp. NREL 46B-D3]
OG0000686	KAI3423016.1 hypothetical protein D9Q98_010859_ partial _mitochondrion_ [Chlorella vulgaris], KAI3423597.1 hypothetical protein D9Q98_010781 _chloroplast_ [Chlorella vulgaris]	KAF6251836.1 30S ribosomal protein S12 [Scenedesmus sp. NREL 46B-D3]
OG0000687	KAI3436794.1 hypothetical protein D9Q98_006205 [Chlorella vulgaris]	KAF6265169.1 CDC45-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000688	KAI3428209.1 hypothetical protein D9Q98_006589 [Chlorella vulgaris]	KAF6257766.1 glycoside hydrolase superfamily [Scenedesmus sp. NREL 46B-D3]
OG0000689	KAI3429866.1 hypothetical protein D9Q98_010177 [Chlorella vulgaris]	KAF6259364.1 2-isopropylmalate synthase [Scenedesmus sp. NREL 46B-D3]
OG0000690	KAI3436875.1 hypothetical protein D9Q98_006284 [Chlorella vulgaris]	KAF6264942.1 acyl transferase/acyl hydrolase/lysophospholipase [Scenedesmus sp. NREL 46B-D3]
OG0000691	KAI3428322.1 hypothetical protein D9Q98_006702 [Chlorella vulgaris]	KAF6263832.1 hypothetical protein COO60DRAFT_1751935 [Scenedesmus sp. NREL 46B-D3], KAF6250067.1 hypothetical protein COO60DRAFT_912483 [Scenedesmus sp. NREL 46B-D3]
OG0000692	KAI3435905.1 hypothetical protein D9Q98_001963 [Chlorella vulgaris]	KAF6263567.1 hypothetical protein COO60DRAFT_1282230 [Scenedesmus sp. NREL 46B-D3]
OG0000692	KAI3435904.1 hypothetical protein D9Q98_001962 [Chlorella vulgaris]	KAF6252117.1 Oxoglutarate and iron-dependent oxygenase degradation C-term-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000693	KAI3428380.1 hypothetical protein D9Q98_006760 [Chlorella vulgaris]	KAF6259217.1 MRG-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000694	KAI3436883.1 hypothetical protein D9Q98_006291 [Chlorella vulgaris], KAI3436885.1 hypothetical protein D9Q98_006293 [Chlorella vulgaris]	KAF6251786.1 hypothetical protein COO60DRAFT_584986 [Scenedesmus sp. NREL 46B-D3]
OG0000695	KAI3428353.1 hypothetical protein D9Q98_006733 [Chlorella vulgaris]	KAF6263806.1 ABC-2 type transporter-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000696	KAI3428329.1 hypothetical protein D9Q98_006709 [Chlorella vulgaris], KAI3428330.1 hypothetical protein D9Q98_006710 [Chlorella vulgaris]	KAF6258902.1 hypothetical protein COO60DRAFT_1626257 [Scenedesmus sp. NREL 46B-D3], KAF6258870.1 hypothetical protein COO60DRAFT_1460453 [Scenedesmus sp. NREL 46B-D3]
OG0000697	KAI3438534.1 hypothetical protein D9Q98_000962 [Chlorella vulgaris]	KAF6260566.1 hypothetical protein COO60DRAFT_884459 [Scenedesmus sp. NREL 46B-D3]
OG0000698	KAI3438720.1 hypothetical protein D9Q98_001140 [Chlorella vulgaris]	KAF6259040.1 hypothetical protein COO60DRAFT_1701005 [Scenedesmus sp. NREL 46B-D3]
OG0000698	KAI3438506.1 hypothetical protein D9Q98_000934 [Chlorella vulgaris]	KAF6254115.1 hypothetical protein COO60DRAFT_351797 [Scenedesmus sp. NREL 46B-D3]
OG0000699	KAI3435921.1 hypothetical protein D9Q98_001979 [Chlorella vulgaris], KAI3435913.1 hypothetical protein D9Q98_001971 [Chlorella vulgaris]	KAF6254896.1 hypothetical protein COO60DRAFT_276890 [Scenedesmus sp. NREL 46B-D3], KAF6262639.1 hypothetical protein COO60DRAFT_601225 [Scenedesmus sp. NREL 46B-D3], KAF6253174.1 carbohydrate-binding-like protein [Scenedesmus sp. NREL 46B-D3], KAF6253175.1 hypothetical protein COO60DRAFT_463560 [Scenedesmus sp. NREL 46B-D3]
OG0000700	KAI3430816.1 hypothetical protein D9Q98_009227 [Chlorella vulgaris]	KAF6266253.1 hypothetical protein COO60DRAFT_444001 [Scenedesmus sp. NREL 46B-D3]
OG0000700	KAI3435787.1 hypothetical protein D9Q98_001845 [Chlorella vulgaris]	KAF6261576.1 hypothetical protein COO60DRAFT_754300 [Scenedesmus sp. NREL 46B-D3]
OG0000701	KAI3430417.1 hypothetical protein D9Q98_005012 [Chlorella vulgaris]	KAF6253076.1 ABC1 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000701	KAI3431494.1 hypothetical protein D9Q98_004545 [Chlorella vulgaris]	KAF6264395.1 hypothetical protein COO60DRAFT_1457553 [Scenedesmus sp. NREL 46B-D3]
OG0000702	KAI3439118.1 hypothetical protein D9Q98_001527 [Chlorella vulgaris], KAI3439119.1 hypothetical protein D9Q98_001527 [Chlorella vulgaris]	KAF6258525.1 hypothetical protein COO60DRAFT_1691963 [Scenedesmus sp. NREL 46B-D3]
