Orthogroup	Chlorella_Vulgaris2111P	Chlorella_VariabilisNC64A
OG0001079	KAI3438596.1 hypothetical protein D9Q98_001020 [Chlorella vulgaris]	XP_005849803.1 hypothetical protein CHLNCDRAFT_34679 [Chlorella variabilis]
OG0001080	KAI3438574.1 hypothetical protein D9Q98_001000 [Chlorella vulgaris], KAI3438575.1 hypothetical protein D9Q98_001000 [Chlorella vulgaris]	XP_005849798.1 hypothetical protein CHLNCDRAFT_57228 [Chlorella variabilis]
OG0001081	KAI3425215.1 hypothetical protein D9Q98_008983 [Chlorella vulgaris]	XP_005845778.1 hypothetical protein CHLNCDRAFT_136458 [Chlorella variabilis]
OG0001081	KAI3425214.1 hypothetical protein D9Q98_008982 [Chlorella vulgaris]	XP_005845777.1 hypothetical protein CHLNCDRAFT_136457 [Chlorella variabilis]
OG0001083	KAI3436259.1 hypothetical protein D9Q98_002312 [Chlorella vulgaris]	XP_005845265.1 hypothetical protein CHLNCDRAFT_53844 [Chlorella variabilis]
OG0001084	KAI3436449.1 hypothetical protein D9Q98_005866 [Chlorella vulgaris], KAI3436450.1 hypothetical protein D9Q98_005867 [Chlorella vulgaris]	XP_005850746.1 hypothetical protein CHLNCDRAFT_140892 [Chlorella variabilis]
OG0001084	KAI3436447.1 hypothetical protein D9Q98_005864 [Chlorella vulgaris]	XP_005850748.1 hypothetical protein CHLNCDRAFT_140894 [Chlorella variabilis]
OG0001085	KAI3424861.1 hypothetical protein D9Q98_008245 [Chlorella vulgaris], KAI3424860.1 hypothetical protein D9Q98_008244 [Chlorella vulgaris]	XP_005845099.1 hypothetical protein CHLNCDRAFT_12749_ partial [Chlorella variabilis]
OG0001086	KAI3430774.1 hypothetical protein D9Q98_009186 [Chlorella vulgaris]	XP_005844679.1 hypothetical protein CHLNCDRAFT_138584_ partial [Chlorella variabilis]
OG0001087	KAI3438810.1 hypothetical protein D9Q98_001227 [Chlorella vulgaris]	XP_005849653.1 hypothetical protein CHLNCDRAFT_14673_ partial [Chlorella variabilis]
OG0001087	KAI3438811.1 hypothetical protein D9Q98_001228 [Chlorella vulgaris]	XP_005849654.1 hypothetical protein CHLNCDRAFT_21169_ partial [Chlorella variabilis]
OG0001088	KAI3437797.1 hypothetical protein D9Q98_000244 [Chlorella vulgaris]	XP_005848088.1 hypothetical protein CHLNCDRAFT_30965 [Chlorella variabilis]
OG0001088	KAI3437798.1 hypothetical protein D9Q98_000245 [Chlorella vulgaris]	XP_005848087.1 hypothetical protein CHLNCDRAFT_145350 [Chlorella variabilis]
OG0001089	KAI3429527.1 hypothetical protein D9Q98_005615 [Chlorella vulgaris]	XP_005851790.1 hypothetical protein CHLNCDRAFT_133227 [Chlorella variabilis]
OG0001090	KAI3428447.1 hypothetical protein D9Q98_007274 [Chlorella vulgaris]	XP_005842651.1 hypothetical protein CHLNCDRAFT_139440 [Chlorella variabilis]
OG0001090	KAI3428446.1 hypothetical protein D9Q98_007273 [Chlorella vulgaris]	XP_005847516.1 hypothetical protein CHLNCDRAFT_134547 [Chlorella variabilis]
OG0001091	KAI3429506.1 hypothetical protein D9Q98_005595 [Chlorella vulgaris]	XP_005851782.1 hypothetical protein CHLNCDRAFT_133199 [Chlorella variabilis]
OG0001092	KAI3435635.1 hypothetical protein D9Q98_001694 [Chlorella vulgaris]	XP_005846549.1 hypothetical protein CHLNCDRAFT_58332 [Chlorella variabilis]
OG0001093	KAI3429558.1 hypothetical protein D9Q98_005646 [Chlorella vulgaris]	XP_005852147.1 hypothetical protein CHLNCDRAFT_133273 [Chlorella variabilis]
OG0001094	KAI3438850.1 hypothetical protein D9Q98_001267 [Chlorella vulgaris]	XP_005849677.1 hypothetical protein CHLNCDRAFT_57327 [Chlorella variabilis]
OG0001095	KAI3437615.1 hypothetical protein D9Q98_000067 [Chlorella vulgaris]	XP_005848174.1 hypothetical protein CHLNCDRAFT_145571 [Chlorella variabilis]
OG0001096	KAI3429264.1 hypothetical protein D9Q98_005361 [Chlorella vulgaris]	XP_005851996.1 hypothetical protein CHLNCDRAFT_132912 [Chlorella variabilis]
OG0001097	KAI3425065.1 hypothetical protein D9Q98_008442 [Chlorella vulgaris]	XP_005846634.1 hypothetical protein CHLNCDRAFT_58170 [Chlorella variabilis]
OG0001098	KAI3428623.1 hypothetical protein D9Q98_007446 [Chlorella vulgaris]	XP_005847277.1 hypothetical protein CHLNCDRAFT_35597 [Chlorella variabilis]
OG0001099	KAI3427149.1 hypothetical protein D9Q98_007086 [Chlorella vulgaris]	XP_005848659.1 hypothetical protein CHLNCDRAFT_144215 [Chlorella variabilis]
OG0001099	KAI3427150.1 hypothetical protein D9Q98_007087 [Chlorella vulgaris]	XP_005848658.1 hypothetical protein CHLNCDRAFT_144214 [Chlorella variabilis]
OG0001100	KAI3429523.1 hypothetical protein D9Q98_005611 [Chlorella vulgaris], KAI3429522.1 hypothetical protein D9Q98_005611 [Chlorella vulgaris]	XP_005852129.1 hypothetical protein CHLNCDRAFT_14465_ partial [Chlorella variabilis]
OG0001101	KAI3430397.1 hypothetical protein D9Q98_004992 [Chlorella vulgaris]	XP_005844570.1 hypothetical protein CHLNCDRAFT_32503 [Chlorella variabilis]
OG0001102	KAI3432471.1 hypothetical protein D9Q98_004020 [Chlorella vulgaris], KAI3436428.1 hypothetical protein D9Q98_005845 [Chlorella vulgaris], KAI3436430.1 hypothetical protein D9Q98_005847 [Chlorella vulgaris]	XP_005849359.1 expressed protein [Chlorella variabilis]
OG0001103	KAI3435778.1 hypothetical protein D9Q98_001836 [Chlorella vulgaris]	XP_005846499.1 hypothetical protein CHLNCDRAFT_56219 [Chlorella variabilis]
OG0001104	KAI3435752.1 hypothetical protein D9Q98_001810 [Chlorella vulgaris]	XP_005846507.1 hypothetical protein CHLNCDRAFT_135738 [Chlorella variabilis]
OG0001105	KAI3428790.1 hypothetical protein D9Q98_007609 [Chlorella vulgaris]	XP_005847507.1 hypothetical protein CHLNCDRAFT_134521 [Chlorella variabilis]
OG0001106	KAI3436665.1 hypothetical protein D9Q98_006081 [Chlorella vulgaris]	XP_005850931.1 hypothetical protein CHLNCDRAFT_140664 [Chlorella variabilis]
OG0001106	KAI3436666.1 hypothetical protein D9Q98_006082 [Chlorella vulgaris]	XP_005850930.1 hypothetical protein CHLNCDRAFT_140663 [Chlorella variabilis]
OG0001107	KAI3430221.1 hypothetical protein D9Q98_004819 [Chlorella vulgaris], KAI3430222.1 hypothetical protein D9Q98_004819 [Chlorella vulgaris]	XP_005844545.1 hypothetical protein CHLNCDRAFT_12084_ partial [Chlorella variabilis]
OG0001107	KAI3428722.1 hypothetical protein D9Q98_007546 [Chlorella vulgaris]	XP_005847381.1 hypothetical protein CHLNCDRAFT_134204 [Chlorella variabilis]
OG0001108	KAI3438015.1 hypothetical protein D9Q98_000458 [Chlorella vulgaris]	XP_005846972.1 hypothetical protein CHLNCDRAFT_134953 [Chlorella variabilis], XP_005849834.1 hypothetical protein CHLNCDRAFT_142985 [Chlorella variabilis], XP_005846971.1 hypothetical protein CHLNCDRAFT_52845 [Chlorella variabilis], XP_005843517.1 hypothetical protein CHLNCDRAFT_59244 [Chlorella variabilis]
OG0001109	KAI3432621.1 hypothetical protein D9Q98_004167 [Chlorella vulgaris]	XP_005843552.1 hypothetical protein CHLNCDRAFT_140182 [Chlorella variabilis], XP_005851778.1 hypothetical protein CHLNCDRAFT_133191 [Chlorella variabilis]
OG0001110	KAI3435781.1 hypothetical protein D9Q98_001839 [Chlorella vulgaris]	XP_005846321.1 hypothetical protein CHLNCDRAFT_17245_ partial [Chlorella variabilis], XP_005844650.1 hypothetical protein CHLNCDRAFT_138993 [Chlorella variabilis]
OG0001111	KAI3437998.1 hypothetical protein D9Q98_000441 [Chlorella vulgaris]	XP_005847182.1 hypothetical protein CHLNCDRAFT_52858 [Chlorella variabilis]
OG0001112	KAI3437967.1 hypothetical protein D9Q98_000411 [Chlorella vulgaris]	XP_005847201.1 hypothetical protein CHLNCDRAFT_135001 [Chlorella variabilis]
OG0001113	KAI3431273.1 hypothetical protein D9Q98_004334 [Chlorella vulgaris]	XP_005845949.1 hypothetical protein CHLNCDRAFT_135933 [Chlorella variabilis]
OG0001115	KAI3435006.1 hypothetical protein D9Q98_003058 [Chlorella vulgaris]	XP_005849031.1 hypothetical protein CHLNCDRAFT_21772 [Chlorella variabilis]
OG0001115	KAI3435007.1 hypothetical protein D9Q98_003059 [Chlorella vulgaris]	XP_005849030.1 hypothetical protein CHLNCDRAFT_143448 [Chlorella variabilis]
OG0001116	KAI3426330.1 hypothetical protein D9Q98_008703 [Chlorella vulgaris]	XP_005848499.1 hypothetical protein CHLNCDRAFT_144962 [Chlorella variabilis]
OG0001117	KAI3429609.1 hypothetical protein D9Q98_005695 [Chlorella vulgaris]	XP_005851838.1 hypothetical protein CHLNCDRAFT_133336 [Chlorella variabilis], XP_005844303.1 hypothetical protein CHLNCDRAFT_139012 [Chlorella variabilis]
OG0001118	KAI3438036.1 hypothetical protein D9Q98_000479 [Chlorella vulgaris]	XP_005847166.1 hypothetical protein CHLNCDRAFT_35843 [Chlorella variabilis]
OG0001119	KAI3438235.1 hypothetical protein D9Q98_000672 [Chlorella vulgaris]	XP_005847057.1 hypothetical protein CHLNCDRAFT_134718 [Chlorella variabilis]
OG0001121	KAI3439023.1 hypothetical protein D9Q98_001435 [Chlorella vulgaris]	XP_005843831.1 hypothetical protein CHLNCDRAFT_59162 [Chlorella variabilis]
OG0001122	KAI3438041.1 hypothetical protein D9Q98_000484 [Chlorella vulgaris]	XP_005846965.1 hypothetical protein CHLNCDRAFT_134932 [Chlorella variabilis]
OG0001123	KAI3429454.1 hypothetical protein D9Q98_005547 [Chlorella vulgaris]	XP_005851759.1 hypothetical protein CHLNCDRAFT_33512_ partial [Chlorella variabilis]
OG0001124	KAI3429450.1 hypothetical protein D9Q98_005543 [Chlorella vulgaris]	XP_005851755.1 hypothetical protein CHLNCDRAFT_133135 [Chlorella variabilis]
OG0001125	KAI3434815.1 hypothetical protein D9Q98_002872 [Chlorella vulgaris]	XP_005849327.1 hypothetical protein CHLNCDRAFT_34882 [Chlorella variabilis]
OG0001126	KAI3428019.1 hypothetical protein D9Q98_006405 [Chlorella vulgaris]	XP_005850025.1 hypothetical protein CHLNCDRAFT_141995 [Chlorella variabilis]
OG0001127	KAI3425155.1 hypothetical protein D9Q98_008926 [Chlorella vulgaris]	XP_005845921.1 hypothetical protein CHLNCDRAFT_36383 [Chlorella variabilis]
OG0001127	KAI3433716.1 hypothetical protein D9Q98_003524 [Chlorella vulgaris]	XP_005851158.1 hypothetical protein CHLNCDRAFT_19087 [Chlorella variabilis]
OG0001128	KAI3425031.1 hypothetical protein D9Q98_008409 [Chlorella vulgaris]	XP_005846644.1 hypothetical protein CHLNCDRAFT_56207 [Chlorella variabilis]
OG0001129	KAI3431762.1 hypothetical protein D9Q98_004804 [Chlorella vulgaris]	XP_005842688.1 hypothetical protein CHLNCDRAFT_55749_ partial [Chlorella variabilis]
OG0001130	KAI3431746.1 hypothetical protein D9Q98_004788 [Chlorella vulgaris]	XP_005844831.1 hypothetical protein CHLNCDRAFT_138271 [Chlorella variabilis]
OG0001130	KAI3431737.1 hypothetical protein D9Q98_004779 [Chlorella vulgaris]	XP_005844944.1 hypothetical protein CHLNCDRAFT_138293 [Chlorella variabilis]
OG0001131	KAI3436731.1 hypothetical protein D9Q98_006146 [Chlorella vulgaris]	XP_005850619.1 hypothetical protein CHLNCDRAFT_140581 [Chlorella variabilis]
OG0001132	KAI3435656.1 hypothetical protein D9Q98_001714 [Chlorella vulgaris]	XP_005846543.1 hypothetical protein CHLNCDRAFT_135849 [Chlorella variabilis]
OG0001132	KAI3439034.1 hypothetical protein D9Q98_001444 [Chlorella vulgaris]	XP_005843790.1 hypothetical protein CHLNCDRAFT_139931 [Chlorella variabilis]
OG0001133	KAI3436543.1 hypothetical protein D9Q98_005959 [Chlorella vulgaris]	XP_005850993.1 hypothetical protein CHLNCDRAFT_19551_ partial [Chlorella variabilis]
OG0001134	KAI3438734.1 hypothetical protein D9Q98_001153 [Chlorella vulgaris], KAI3438733.1 hypothetical protein D9Q98_001153 [Chlorella vulgaris]	XP_005849618.1 hypothetical protein CHLNCDRAFT_57288_ partial [Chlorella variabilis]
OG0001136	KAI3424785.1 hypothetical protein D9Q98_008172 [Chlorella vulgaris], KAI3424784.1 hypothetical protein D9Q98_008172 [Chlorella vulgaris]	XP_005845172.1 hypothetical protein CHLNCDRAFT_137363 [Chlorella variabilis]
OG0001138	KAI3426974.1 hypothetical protein D9Q98_006918 [Chlorella vulgaris]	XP_005848735.1 hypothetical protein CHLNCDRAFT_144423 [Chlorella variabilis]
OG0001139	KAI3429419.1 hypothetical protein D9Q98_005514 [Chlorella vulgaris]	XP_005851739.1 hypothetical protein CHLNCDRAFT_133102 [Chlorella variabilis]
OG0001140	KAI3436201.1 hypothetical protein D9Q98_002255 [Chlorella vulgaris]	XP_005845294.1 hypothetical protein CHLNCDRAFT_137012 [Chlorella variabilis]
OG0001141	KAI3435786.1 hypothetical protein D9Q98_001844 [Chlorella vulgaris]	XP_005846320.1 hypothetical protein CHLNCDRAFT_53217 [Chlorella variabilis]
OG0001142	KAI3437662.1 hypothetical protein D9Q98_000112 [Chlorella vulgaris]	XP_005847993.1 hypothetical protein CHLNCDRAFT_94487 [Chlorella variabilis]
OG0001143	KAI3429586.1 hypothetical protein D9Q98_005672 [Chlorella vulgaris]	XP_005851850.1 hypothetical protein CHLNCDRAFT_133371 [Chlorella variabilis], XP_005851851.1 hypothetical protein CHLNCDRAFT_133372 [Chlorella variabilis]
OG0001144	KAI3431543.1 hypothetical protein D9Q98_004592 [Chlorella vulgaris]	XP_005846212.1 hypothetical protein CHLNCDRAFT_36301 [Chlorella variabilis]
OG0001145	KAI3426443.1 hypothetical protein D9Q98_008810 [Chlorella vulgaris], KAI3426442.1 hypothetical protein D9Q98_008810 [Chlorella vulgaris]	XP_005848554.1 hypothetical protein CHLNCDRAFT_35207 [Chlorella variabilis]
OG0001146	KAI3429611.1 hypothetical protein D9Q98_005697 [Chlorella vulgaris]	XP_005851837.1 expressed protein [Chlorella variabilis]
OG0001147	KAI3426224.1 hypothetical protein D9Q98_008600 [Chlorella vulgaris]	XP_005848453.1 expressed protein [Chlorella variabilis]
OG0001147	KAI3426225.1 hypothetical protein D9Q98_008601 [Chlorella vulgaris]	XP_005848452.1 hypothetical protein CHLNCDRAFT_144830 [Chlorella variabilis]
OG0001148	KAI3426869.1 hypothetical protein D9Q98_006815 [Chlorella vulgaris]	XP_005848997.1 hypothetical protein CHLNCDRAFT_35035 [Chlorella variabilis]
OG0001149	KAI3425161.1 hypothetical protein D9Q98_008932 [Chlorella vulgaris]	XP_005845804.1 hypothetical protein CHLNCDRAFT_9713_ partial [Chlorella variabilis]
OG0001150	KAI3430400.1 hypothetical protein D9Q98_004995 [Chlorella vulgaris]	XP_005844476.1 hypothetical protein CHLNCDRAFT_26822 [Chlorella variabilis]
OG0001151	KAI3430694.1 hypothetical protein D9Q98_005283 [Chlorella vulgaris]	XP_005844053.1 hypothetical protein CHLNCDRAFT_54799 [Chlorella variabilis]
OG0001152	KAI3430477.1 hypothetical protein D9Q98_005072 [Chlorella vulgaris]	XP_005843395.1 hypothetical protein CHLNCDRAFT_141234 [Chlorella variabilis]
OG0001152	KAI3430478.1 hypothetical protein D9Q98_005073 [Chlorella vulgaris]	XP_005843394.1 hypothetical protein CHLNCDRAFT_141233 [Chlorella variabilis]
OG0001153	KAI3436303.1 hypothetical protein D9Q98_002356 [Chlorella vulgaris]	XP_005845244.1 hypothetical protein CHLNCDRAFT_36479 [Chlorella variabilis]
OG0001154	KAI3433424.1 hypothetical protein D9Q98_003239 [Chlorella vulgaris]	XP_005851582.1 hypothetical protein CHLNCDRAFT_138089 [Chlorella variabilis]
OG0001155	KAI3427312.1 hypothetical protein D9Q98_010229 [Chlorella vulgaris]	XP_005843187.1 hypothetical protein CHLNCDRAFT_141472 [Chlorella variabilis]
OG0001156	KAI3431689.1 hypothetical protein D9Q98_004735 [Chlorella vulgaris]	XP_005844964.1 hypothetical protein CHLNCDRAFT_26350 [Chlorella variabilis]
OG0001157	KAI3428496.1 hypothetical protein D9Q98_007320 [Chlorella vulgaris]	XP_005847489.1 hypothetical protein CHLNCDRAFT_52604 [Chlorella variabilis]
OG0001157	KAI3428494.1 hypothetical protein D9Q98_007319 [Chlorella vulgaris], KAI3428495.1 hypothetical protein D9Q98_007319 [Chlorella vulgaris]	XP_005847490.1 hypothetical protein CHLNCDRAFT_134476 [Chlorella variabilis]
OG0001158	KAI3423845.1 hypothetical protein D9Q98_009681 [Chlorella vulgaris], KAI3423846.1 hypothetical protein D9Q98_009681 [Chlorella vulgaris]	XP_005846743.1 hypothetical protein CHLNCDRAFT_35907 [Chlorella variabilis]
OG0001159	KAI3433435.1 hypothetical protein D9Q98_003250 [Chlorella vulgaris]	XP_005851577.1 hypothetical protein CHLNCDRAFT_33905 [Chlorella variabilis]
OG0001160	KAI3431684.1 hypothetical protein D9Q98_004730 [Chlorella vulgaris]	XP_005844855.1 hypothetical protein CHLNCDRAFT_138349 [Chlorella variabilis]
OG0001161	KAI3437659.1 hypothetical protein D9Q98_000109 [Chlorella vulgaris]	XP_005847996.1 hypothetical protein CHLNCDRAFT_35354_ partial [Chlorella variabilis]
OG0001162	KAI3435923.1 hypothetical protein D9Q98_001981 [Chlorella vulgaris]	XP_005846255.1 hypothetical protein CHLNCDRAFT_24929_ partial [Chlorella variabilis]
OG0001162	KAI3431620.1 hypothetical protein D9Q98_004669 [Chlorella vulgaris]	XP_005844995.1 hypothetical protein CHLNCDRAFT_138423 [Chlorella variabilis]
OG0001163	KAI3433316.1 hypothetical protein D9Q98_003134 [Chlorella vulgaris]	XP_005851327.1 expressed protein [Chlorella variabilis]
OG0001164	KAI3439099.1 hypothetical protein D9Q98_001508 [Chlorella vulgaris]	XP_005851517.1 hypothetical protein CHLNCDRAFT_137934 [Chlorella variabilis], XP_005845563.1 hypothetical protein CHLNCDRAFT_136725 [Chlorella variabilis]
OG0001164	KAI3435836.1 hypothetical protein D9Q98_001894 [Chlorella vulgaris]	XP_005846295.1 expressed protein_ partial [Chlorella variabilis]
OG0001165	KAI3433570.1 hypothetical protein D9Q98_003381 [Chlorella vulgaris]	XP_005851515.1 hypothetical protein CHLNCDRAFT_8842_ partial [Chlorella variabilis]
OG0001166	KAI3433574.1 hypothetical protein D9Q98_003385 [Chlorella vulgaris]	XP_005851224.1 hypothetical protein CHLNCDRAFT_18825 [Chlorella variabilis]
OG0001167	KAI3427945.1 hypothetical protein D9Q98_006335 [Chlorella vulgaris]	XP_005850240.1 hypothetical protein CHLNCDRAFT_141896 [Chlorella variabilis]
OG0001168	KAI3430254.1 hypothetical protein D9Q98_004850 [Chlorella vulgaris]	XP_005844533.1 hypothetical protein CHLNCDRAFT_138948 [Chlorella variabilis]
OG0001168	KAI3430256.1 hypothetical protein D9Q98_004852 [Chlorella vulgaris], KAI3430258.1 hypothetical protein D9Q98_004854 [Chlorella vulgaris]	XP_005844532.1 hypothetical protein CHLNCDRAFT_138942 [Chlorella variabilis]
OG0001169	KAI3430272.1 hypothetical protein D9Q98_004868 [Chlorella vulgaris]	XP_005844526.1 hypothetical protein CHLNCDRAFT_58876 [Chlorella variabilis]
OG0001169	KAI3426039.1 hypothetical protein D9Q98_008007 [Chlorella vulgaris]	XP_005844138.1 hypothetical protein CHLNCDRAFT_139224 [Chlorella variabilis]
OG0001170	KAI3430290.1 hypothetical protein D9Q98_004886 [Chlorella vulgaris]	XP_005844612.1 hypothetical protein CHLNCDRAFT_26868 [Chlorella variabilis]
OG0001170	KAI3430625.1 hypothetical protein D9Q98_005218 [Chlorella vulgaris]	XP_005844110.1 hypothetical protein CHLNCDRAFT_15163_ partial [Chlorella variabilis]
OG0001171	KAI3430232.1 hypothetical protein D9Q98_004829 [Chlorella vulgaris]	XP_005844538.1 expressed protein [Chlorella variabilis]
OG0001172	KAI3433721.1 hypothetical protein D9Q98_003529 [Chlorella vulgaris]	XP_005851154.1 hypothetical protein CHLNCDRAFT_137765 [Chlorella variabilis]
OG0001173	KAI3424954.1 hypothetical protein D9Q98_008336 [Chlorella vulgaris], KAI3424955.1 hypothetical protein D9Q98_008336 [Chlorella vulgaris]	XP_005846691.1 hypothetical protein CHLNCDRAFT_135424_ partial [Chlorella variabilis]
OG0001174	KAI3425754.1 hypothetical protein D9Q98_007729 [Chlorella vulgaris]	XP_005847557.1 hypothetical protein CHLNCDRAFT_57817 [Chlorella variabilis]
OG0001175	KAI3436803.1 hypothetical protein D9Q98_006213 [Chlorella vulgaris]	XP_005850869.1 hypothetical protein CHLNCDRAFT_34079 [Chlorella variabilis]
OG0001176	KAI3434880.1 hypothetical protein D9Q98_002934 [Chlorella vulgaris]	XP_005849287.1 hypothetical protein CHLNCDRAFT_30552 [Chlorella variabilis]
OG0001177	KAI3424956.1 hypothetical protein D9Q98_008337 [Chlorella vulgaris]	XP_005846827.1 hypothetical protein CHLNCDRAFT_58206 [Chlorella variabilis]
OG0001178	KAI3429353.1 hypothetical protein D9Q98_005448 [Chlorella vulgaris]	XP_005847558.1 hypothetical protein CHLNCDRAFT_133793 [Chlorella variabilis]
OG0001178	KAI3436445.1 hypothetical protein D9Q98_005862 [Chlorella vulgaris]	XP_005850749.1 hypothetical protein CHLNCDRAFT_11132_ partial [Chlorella variabilis]
OG0001179	KAI3424211.1 hypothetical protein D9Q98_009567 [Chlorella vulgaris]	XP_005849035.1 hypothetical protein CHLNCDRAFT_143460 [Chlorella variabilis]
OG0001179	KAI3430822.1 hypothetical protein D9Q98_009233 [Chlorella vulgaris]	XP_005844778.1 hypothetical protein CHLNCDRAFT_54323 [Chlorella variabilis]
OG0001180	KAI3430836.1 hypothetical protein D9Q98_009247 [Chlorella vulgaris]	XP_005844712.1 hypothetical protein CHLNCDRAFT_138669 [Chlorella variabilis], XP_005844788.1 hypothetical protein CHLNCDRAFT_36776 [Chlorella variabilis]
OG0001181	KAI3439052.1 hypothetical protein D9Q98_001462 [Chlorella vulgaris]	XP_005843799.1 hypothetical protein CHLNCDRAFT_54966 [Chlorella variabilis]
OG0001181	KAI3439047.1 hypothetical protein D9Q98_001457 [Chlorella vulgaris]	XP_005845068.1 hypothetical protein CHLNCDRAFT_137359 [Chlorella variabilis]
OG0001182	KAI3436119.1 hypothetical protein D9Q98_002177 [Chlorella vulgaris], KAI3436120.1 hypothetical protein D9Q98_002178 [Chlorella vulgaris]	XP_005845336.1 hypothetical protein CHLNCDRAFT_32258 [Chlorella variabilis]
OG0001183	KAI3428303.1 hypothetical protein D9Q98_006682 [Chlorella vulgaris]	XP_005850413.1 hypothetical protein CHLNCDRAFT_7378_ partial [Chlorella variabilis]
OG0001184	KAI3428670.1 hypothetical protein D9Q98_007493 [Chlorella vulgaris]	XP_005847408.1 hypothetical protein CHLNCDRAFT_134269 [Chlorella variabilis]
OG0001184	KAI3439055.1 hypothetical protein D9Q98_001465 [Chlorella vulgaris]	XP_005845852.1 hypothetical protein CHLNCDRAFT_53533 [Chlorella variabilis]
OG0001185	KAI3433307.1 hypothetical protein D9Q98_003125 [Chlorella vulgaris]	XP_005851638.1 hypothetical protein CHLNCDRAFT_48498 [Chlorella variabilis]
OG0001185	KAI3433308.1 hypothetical protein D9Q98_003126 [Chlorella vulgaris]	XP_005851637.1 hypothetical protein CHLNCDRAFT_138203 [Chlorella variabilis]
OG0001186	KAI3433313.1 hypothetical protein D9Q98_003131 [Chlorella vulgaris], KAI3433315.1 hypothetical protein D9Q98_003133 [Chlorella vulgaris]	XP_005851328.1 hypothetical protein CHLNCDRAFT_59563 [Chlorella variabilis]
OG0001187	KAI3435891.1 hypothetical protein D9Q98_001949 [Chlorella vulgaris]	XP_005846443.1 hypothetical protein CHLNCDRAFT_24871 [Chlorella variabilis]
OG0001187	KAI3435938.1 hypothetical protein D9Q98_001996 [Chlorella vulgaris]	XP_005846246.1 hypothetical protein CHLNCDRAFT_53131 [Chlorella variabilis]
OG0001188	KAI3438500.1 hypothetical protein D9Q98_000928 [Chlorella vulgaris]	XP_005849496.1 hypothetical protein CHLNCDRAFT_20987 [Chlorella variabilis]
OG0001189	KAI3437959.1 hypothetical protein D9Q98_000403 [Chlorella vulgaris]	XP_005847205.1 hypothetical protein CHLNCDRAFT_24322_ partial [Chlorella variabilis], XP_005847204.1 hypothetical protein CHLNCDRAFT_10418_ partial [Chlorella variabilis]
OG0001190	KAI3438492.1 hypothetical protein D9Q98_000920 [Chlorella vulgaris]	XP_005849492.1 hypothetical protein CHLNCDRAFT_20972_ partial [Chlorella variabilis]
OG0001192	KAI3432218.1 hypothetical protein D9Q98_003780 [Chlorella vulgaris]	XP_005844168.1 hypothetical protein CHLNCDRAFT_139311 [Chlorella variabilis]
OG0001192	KAI3432219.1 hypothetical protein D9Q98_003781 [Chlorella vulgaris]	XP_005844169.1 hypothetical protein CHLNCDRAFT_139312 [Chlorella variabilis]
OG0001193	KAI3426116.1 hypothetical protein D9Q98_008495 [Chlorella vulgaris]	XP_005848202.1 hypothetical protein CHLNCDRAFT_144683 [Chlorella variabilis]
OG0001193	KAI3432321.1 hypothetical protein D9Q98_003880 [Chlorella vulgaris]	XP_005851094.1 hypothetical protein CHLNCDRAFT_18903_ partial [Chlorella variabilis]
OG0001194	KAI3438056.1 hypothetical protein D9Q98_000499 [Chlorella vulgaris]	XP_005846959.1 hypothetical protein CHLNCDRAFT_56196 [Chlorella variabilis]
OG0001195	KAI3434732.1 hypothetical protein D9Q98_002793 [Chlorella vulgaris], KAI3434730.1 hypothetical protein D9Q98_002791 [Chlorella vulgaris]	XP_005842626.1 hypothetical protein CHLNCDRAFT_141290_ partial [Chlorella variabilis]
OG0001196	KAI3438396.1 hypothetical protein D9Q98_000828 [Chlorella vulgaris]	XP_005849448.1 hypothetical protein CHLNCDRAFT_56057 [Chlorella variabilis]
OG0001197	KAI3438411.1 hypothetical protein D9Q98_000842 [Chlorella vulgaris]	XP_005849457.1 hypothetical protein CHLNCDRAFT_57183 [Chlorella variabilis]
OG0001198	KAI3430575.1 hypothetical protein D9Q98_005168 [Chlorella vulgaris]	XP_005844080.1 hypothetical protein CHLNCDRAFT_139479 [Chlorella variabilis], XP_005844081.1 hypothetical protein CHLNCDRAFT_16948_ partial [Chlorella variabilis]
OG0001199	KAI3427174.1 hypothetical protein D9Q98_007111 [Chlorella vulgaris]	XP_005848848.1 hypothetical protein CHLNCDRAFT_144184 [Chlorella variabilis]
OG0001199	KAI3427246.1 hypothetical protein D9Q98_007180 [Chlorella vulgaris]	XP_005848603.1 hypothetical protein CHLNCDRAFT_144100 [Chlorella variabilis]
OG0001200	KAI3438609.1 hypothetical protein D9Q98_001032 [Chlorella vulgaris]	XP_005849553.1 hypothetical protein CHLNCDRAFT_142939 [Chlorella variabilis]
OG0001201	KAI3427431.1 hypothetical protein D9Q98_010346 [Chlorella vulgaris]	XP_005843198.1 hypothetical protein CHLNCDRAFT_33230 [Chlorella variabilis]
OG0001202	KAI3436588.1 hypothetical protein D9Q98_006005 [Chlorella vulgaris]	XP_005850973.1 hypothetical protein CHLNCDRAFT_11560_ partial [Chlorella variabilis]
OG0001202	KAI3436587.1 hypothetical protein D9Q98_006004 [Chlorella vulgaris]	XP_005850974.1 hypothetical protein CHLNCDRAFT_140760 [Chlorella variabilis]
OG0001203	KAI3424193.1 hypothetical protein D9Q98_009549 [Chlorella vulgaris]	XP_005845643.1 hypothetical protein CHLNCDRAFT_25698 [Chlorella variabilis]
