Orthogroup	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
OG0012396						KAI3432490.1 hypothetical protein D9Q98_004039 [Chlorella vulgaris]				
OG0012397						KAI3432492.1 hypothetical protein D9Q98_004041 [Chlorella vulgaris]				
OG0012398						KAI3432494.1 hypothetical protein D9Q98_004043 [Chlorella vulgaris]				
OG0012399						KAI3432495.1 hypothetical protein D9Q98_004044 [Chlorella vulgaris]				
OG0012400						KAI3432496.1 hypothetical protein D9Q98_004045 [Chlorella vulgaris]				
OG0012401						KAI3432497.1 hypothetical protein D9Q98_004046 [Chlorella vulgaris]				
OG0012402						KAI3432498.1 hypothetical protein D9Q98_004047 [Chlorella vulgaris]				
OG0012403						KAI3432499.1 hypothetical protein D9Q98_004048 [Chlorella vulgaris]				
OG0012404						KAI3432500.1 hypothetical protein D9Q98_004049 [Chlorella vulgaris]				
OG0012405						KAI3432502.1 hypothetical protein D9Q98_004051 [Chlorella vulgaris]				
OG0012406						KAI3432503.1 hypothetical protein D9Q98_004052 [Chlorella vulgaris]				
OG0012407						KAI3432504.1 hypothetical protein D9Q98_004053 [Chlorella vulgaris]				
OG0012408						KAI3432506.1 hypothetical protein D9Q98_004055 [Chlorella vulgaris]				
OG0012409						KAI3432507.1 hypothetical protein D9Q98_004056 [Chlorella vulgaris]				
OG0012410						KAI3432508.1 hypothetical protein D9Q98_004057 [Chlorella vulgaris]				
OG0012411						KAI3432509.1 hypothetical protein D9Q98_004058 [Chlorella vulgaris]				
OG0012412						KAI3432510.1 hypothetical protein D9Q98_004059 [Chlorella vulgaris]				
OG0012413						KAI3432511.1 hypothetical protein D9Q98_004060 [Chlorella vulgaris]				
OG0012414						KAI3432512.1 hypothetical protein D9Q98_004061 [Chlorella vulgaris]				
OG0012415						KAI3432513.1 hypothetical protein D9Q98_004062 [Chlorella vulgaris]				
OG0012416						KAI3432516.1 hypothetical protein D9Q98_004065 [Chlorella vulgaris]				
OG0012417						KAI3432517.1 hypothetical protein D9Q98_004066 [Chlorella vulgaris]				
OG0012418						KAI3432518.1 hypothetical protein D9Q98_004067 [Chlorella vulgaris]				
OG0012419						KAI3432519.1 hypothetical protein D9Q98_004068 [Chlorella vulgaris]				
OG0012420						KAI3432520.1 hypothetical protein D9Q98_004069 [Chlorella vulgaris]				
OG0012421						KAI3432521.1 hypothetical protein D9Q98_004070 [Chlorella vulgaris]				
OG0012422						KAI3432523.1 hypothetical protein D9Q98_004072 [Chlorella vulgaris]				
OG0012423						KAI3432524.1 hypothetical protein D9Q98_004073 [Chlorella vulgaris]				
OG0012424						KAI3432525.1 hypothetical protein D9Q98_004074 [Chlorella vulgaris]				
OG0012425						KAI3432526.1 hypothetical protein D9Q98_004075 [Chlorella vulgaris]				
OG0012426						KAI3432527.1 hypothetical protein D9Q98_004076 [Chlorella vulgaris]				
OG0012427						KAI3432528.1 hypothetical protein D9Q98_004077 [Chlorella vulgaris]				
OG0012428						KAI3432531.1 hypothetical protein D9Q98_004080 [Chlorella vulgaris]				
OG0012429						KAI3432533.1 hypothetical protein D9Q98_004082 [Chlorella vulgaris]				
OG0012430						KAI3432534.1 hypothetical protein D9Q98_004083 [Chlorella vulgaris]				
OG0012431						KAI3432535.1 hypothetical protein D9Q98_004084 [Chlorella vulgaris]				
OG0012432						KAI3432536.1 hypothetical protein D9Q98_004085 [Chlorella vulgaris]				
OG0012433						KAI3432537.1 hypothetical protein D9Q98_004086 [Chlorella vulgaris]				
OG0012434						KAI3432538.1 hypothetical protein D9Q98_004087 [Chlorella vulgaris]				
OG0012435						KAI3432540.1 hypothetical protein D9Q98_004089 [Chlorella vulgaris]				
OG0012436						KAI3432541.1 hypothetical protein D9Q98_004090 [Chlorella vulgaris]				
OG0012437						KAI3432542.1 hypothetical protein D9Q98_004091 [Chlorella vulgaris]				
OG0012438						KAI3432543.1 hypothetical protein D9Q98_004092 [Chlorella vulgaris]				
OG0012439						KAI3432544.1 hypothetical protein D9Q98_004093 [Chlorella vulgaris]				
OG0012440						KAI3432545.1 hypothetical protein D9Q98_004094 [Chlorella vulgaris]				
OG0012441						KAI3432546.1 hypothetical protein D9Q98_004095 [Chlorella vulgaris]				
OG0012442						KAI3432548.1 hypothetical protein D9Q98_004097 [Chlorella vulgaris]				
OG0012443						KAI3432549.1 hypothetical protein D9Q98_004098 [Chlorella vulgaris]				
OG0012444						KAI3432551.1 hypothetical protein D9Q98_004100 [Chlorella vulgaris]				
OG0012445						KAI3432552.1 hypothetical protein D9Q98_004101 [Chlorella vulgaris]				
OG0012446						KAI3432553.1 hypothetical protein D9Q98_004102 [Chlorella vulgaris]				
OG0012447						KAI3432554.1 hypothetical protein D9Q98_004103 [Chlorella vulgaris]				
OG0012448						KAI3432555.1 hypothetical protein D9Q98_004104 [Chlorella vulgaris]				
OG0012449						KAI3432556.1 hypothetical protein D9Q98_004105 [Chlorella vulgaris]				
OG0012450						KAI3432557.1 hypothetical protein D9Q98_004106 [Chlorella vulgaris]				
OG0012451						KAI3432558.1 hypothetical protein D9Q98_004107 [Chlorella vulgaris]				
OG0012452						KAI3432559.1 hypothetical protein D9Q98_004108 [Chlorella vulgaris]				
OG0012453						KAI3432565.1 hypothetical protein D9Q98_004114 [Chlorella vulgaris]				
OG0012454						KAI3432567.1 hypothetical protein D9Q98_004116 [Chlorella vulgaris]				
OG0012455						KAI3432576.1 hypothetical protein D9Q98_004125 [Chlorella vulgaris]				
OG0012456						KAI3432578.1 hypothetical protein D9Q98_004127 [Chlorella vulgaris]				
OG0012457						KAI3432613.1 hypothetical protein D9Q98_004159 [Chlorella vulgaris]				
OG0012458						KAI3432622.1 hypothetical protein D9Q98_004168 [Chlorella vulgaris]				
OG0012459						KAI3432630.1 hypothetical protein D9Q98_004176 [Chlorella vulgaris]				
OG0012460						KAI3432631.1 hypothetical protein D9Q98_004177 [Chlorella vulgaris]				
OG0012461						KAI3432634.1 hypothetical protein D9Q98_004180 [Chlorella vulgaris]				
OG0012462						KAI3432669.1 hypothetical protein D9Q98_004213 [Chlorella vulgaris]				
OG0012463						KAI3432679.1 hypothetical protein D9Q98_004222 [Chlorella vulgaris]				
OG0012464						KAI3432714.1 hypothetical protein D9Q98_004257 [Chlorella vulgaris]				
OG0012465						KAI3432716.1 hypothetical protein D9Q98_004259 [Chlorella vulgaris]				
OG0012466						KAI3432732.1 hypothetical protein D9Q98_004273 [Chlorella vulgaris]				
OG0012467						KAI3432744.1 hypothetical protein D9Q98_004285 [Chlorella vulgaris]				
OG0012468						KAI3432745.1 hypothetical protein D9Q98_004286 [Chlorella vulgaris]				
OG0012469						KAI3432749.1 hypothetical protein D9Q98_004290 [Chlorella vulgaris]				
OG0012470						KAI3432755.1 hypothetical protein D9Q98_004296 [Chlorella vulgaris]				
OG0012471						KAI3432786.1 hypothetical protein D9Q98_010371 [Chlorella vulgaris]				
OG0012472						KAI3432791.1 hypothetical protein D9Q98_010375 [Chlorella vulgaris]				
OG0012473						KAI3432829.1 hypothetical protein D9Q98_010413 [Chlorella vulgaris]				
OG0012474						KAI3432844.1 hypothetical protein D9Q98_010428 [Chlorella vulgaris]				
OG0012475						KAI3433305.1 hypothetical protein D9Q98_003123 [Chlorella vulgaris]				
OG0012476						KAI3433363.1 hypothetical protein D9Q98_003180 [Chlorella vulgaris]				
OG0012477						KAI3433364.1 hypothetical protein D9Q98_003181 [Chlorella vulgaris]				
OG0012478						KAI3433367.1 hypothetical protein D9Q98_003184 [Chlorella vulgaris]				
OG0012479						KAI3433386.1 hypothetical protein D9Q98_003202 [Chlorella vulgaris]				
OG0012480						KAI3433471.1 hypothetical protein D9Q98_003283 [Chlorella vulgaris]				
OG0012481						KAI3433492.1 hypothetical protein D9Q98_003304 [Chlorella vulgaris]				
OG0012482						KAI3433547.1 hypothetical protein D9Q98_003358 [Chlorella vulgaris]				
OG0012483						KAI3433578.1 hypothetical protein D9Q98_003389 [Chlorella vulgaris]				
OG0012484						KAI3433662.1 hypothetical protein D9Q98_003471 [Chlorella vulgaris]				
OG0012485						KAI3433664.1 hypothetical protein D9Q98_003473 [Chlorella vulgaris]				
OG0012486						KAI3433669.1 hypothetical protein D9Q98_003478 [Chlorella vulgaris]				
OG0012487						KAI3433738.1 hypothetical protein D9Q98_003545 [Chlorella vulgaris]				
OG0012488						KAI3433847.1 hypothetical protein D9Q98_003650 [Chlorella vulgaris]				
OG0012489						KAI3433893.1 hypothetical protein D9Q98_003695 [Chlorella vulgaris]				
OG0012490						KAI3433895.1 hypothetical protein D9Q98_003697 [Chlorella vulgaris]				
OG0012491						KAI3433965.1 hypothetical protein D9Q98_003767 [Chlorella vulgaris]				
OG0012492						KAI3433966.1 hypothetical protein D9Q98_003768_ partial [Chlorella vulgaris]				
OG0012493						KAI3434363.1 hypothetical protein D9Q98_002442 [Chlorella vulgaris]				
OG0012494						KAI3434390.1 hypothetical protein D9Q98_002468 [Chlorella vulgaris]				
OG0012495						KAI3434411.1 hypothetical protein D9Q98_002489 [Chlorella vulgaris]				
OG0012496						KAI3434436.1 hypothetical protein D9Q98_002513 [Chlorella vulgaris]				
OG0012497						KAI3434438.1 hypothetical protein D9Q98_002515 [Chlorella vulgaris]				
OG0012498						KAI3434442.1 hypothetical protein D9Q98_002519 [Chlorella vulgaris]				
OG0012499						KAI3434448.1 hypothetical protein D9Q98_002525 [Chlorella vulgaris]				
OG0012500						KAI3434458.1 hypothetical protein D9Q98_002535 [Chlorella vulgaris]				
OG0012501						KAI3434479.1 hypothetical protein D9Q98_002555 [Chlorella vulgaris]				
OG0012502						KAI3434480.1 hypothetical protein D9Q98_002556 [Chlorella vulgaris]				
OG0012503						KAI3434523.1 hypothetical protein D9Q98_002596 [Chlorella vulgaris]				
OG0012504						KAI3434524.1 hypothetical protein D9Q98_002597 [Chlorella vulgaris]				
OG0012505						KAI3434544.1 hypothetical protein D9Q98_002617 [Chlorella vulgaris]				
OG0012506						KAI3434554.1 hypothetical protein D9Q98_002627 [Chlorella vulgaris]				
OG0012507						KAI3434556.1 hypothetical protein D9Q98_002629 [Chlorella vulgaris]				
OG0012508						KAI3434592.1 hypothetical protein D9Q98_002661 [Chlorella vulgaris]				
OG0012509						KAI3434594.1 hypothetical protein D9Q98_002663 [Chlorella vulgaris]				
OG0012510						KAI3434595.1 hypothetical protein D9Q98_002664 [Chlorella vulgaris]				
OG0012511						KAI3434605.1 hypothetical protein D9Q98_002673 [Chlorella vulgaris]				
OG0012512						KAI3434606.1 hypothetical protein D9Q98_002674 [Chlorella vulgaris]				
OG0012513						KAI3434611.1 hypothetical protein D9Q98_002679 [Chlorella vulgaris]				
OG0012514						KAI3434618.1 hypothetical protein D9Q98_002685 [Chlorella vulgaris]				
OG0012515						KAI3434645.1 hypothetical protein D9Q98_002710 [Chlorella vulgaris]				
OG0012516						KAI3434666.1 hypothetical protein D9Q98_002730 [Chlorella vulgaris]				
OG0012517						KAI3434719.1 hypothetical protein D9Q98_002780 [Chlorella vulgaris]				
OG0012518						KAI3434729.1 hypothetical protein D9Q98_002790 [Chlorella vulgaris]				
OG0012519						KAI3434743.1 hypothetical protein D9Q98_002803 [Chlorella vulgaris]				
OG0012520						KAI3434758.1 hypothetical protein D9Q98_002818 [Chlorella vulgaris]				
OG0012521						KAI3434765.1 hypothetical protein D9Q98_002825 [Chlorella vulgaris]				
OG0012522						KAI3434766.1 hypothetical protein D9Q98_002826 [Chlorella vulgaris]				
OG0012523						KAI3434767.1 hypothetical protein D9Q98_002827 [Chlorella vulgaris]				
OG0012524						KAI3434769.1 hypothetical protein D9Q98_002829 [Chlorella vulgaris]				
OG0012525						KAI3434772.1 hypothetical protein D9Q98_002832 [Chlorella vulgaris]				
OG0012526						KAI3434809.1 hypothetical protein D9Q98_002866 [Chlorella vulgaris]				
OG0012527						KAI3434823.1 hypothetical protein D9Q98_002879 [Chlorella vulgaris]				
OG0012528						KAI3434825.1 hypothetical protein D9Q98_002881 [Chlorella vulgaris]				
OG0012529						KAI3434862.1 hypothetical protein D9Q98_002916 [Chlorella vulgaris]				
OG0012530						KAI3434881.1 hypothetical protein D9Q98_002935 [Chlorella vulgaris]				
OG0012531						KAI3434906.1 hypothetical protein D9Q98_002960 [Chlorella vulgaris]				
OG0012532						KAI3434925.1 hypothetical protein D9Q98_002979 [Chlorella vulgaris]				
OG0012533						KAI3434934.1 hypothetical protein D9Q98_002988 [Chlorella vulgaris]				
OG0012534						KAI3434949.1 hypothetical protein D9Q98_003003 [Chlorella vulgaris]				
OG0012535						KAI3434955.1 hypothetical protein D9Q98_003009 [Chlorella vulgaris]				
OG0012536						KAI3434961.1 hypothetical protein D9Q98_003015 [Chlorella vulgaris]				
OG0012537						KAI3434993.1 hypothetical protein D9Q98_003045 [Chlorella vulgaris]				
OG0012538						KAI3435018.1 hypothetical protein D9Q98_003070 [Chlorella vulgaris]				
OG0012539						KAI3435527.1 hypothetical protein D9Q98_001593 [Chlorella vulgaris]				
OG0012540						KAI3435669.1 hypothetical protein D9Q98_001727 [Chlorella vulgaris]				
OG0012541						KAI3435696.1 hypothetical protein D9Q98_001754 [Chlorella vulgaris]				
OG0012542						KAI3435697.1 hypothetical protein D9Q98_001755 [Chlorella vulgaris]				
OG0012543						KAI3435713.1 hypothetical protein D9Q98_001771 [Chlorella vulgaris]				
OG0012544						KAI3435723.1 hypothetical protein D9Q98_001781 [Chlorella vulgaris]				
OG0012545						KAI3435749.1 hypothetical protein D9Q98_001807 [Chlorella vulgaris]				
OG0012546						KAI3435761.1 hypothetical protein D9Q98_001819 [Chlorella vulgaris]				
OG0012547						KAI3435765.1 hypothetical protein D9Q98_001823 [Chlorella vulgaris]				
OG0012548						KAI3435782.1 hypothetical protein D9Q98_001840 [Chlorella vulgaris]				
OG0012549						KAI3435792.1 hypothetical protein D9Q98_001850 [Chlorella vulgaris]				
OG0012550						KAI3435876.1 hypothetical protein D9Q98_001934 [Chlorella vulgaris]				
OG0012551						KAI3435976.1 hypothetical protein D9Q98_002034 [Chlorella vulgaris]				
OG0012552						KAI3435983.1 hypothetical protein D9Q98_002041 [Chlorella vulgaris]				
OG0012553						KAI3435988.1 hypothetical protein D9Q98_002046 [Chlorella vulgaris]				
OG0012554						KAI3436030.1 hypothetical protein D9Q98_002087 [Chlorella vulgaris]				
OG0012555						KAI3436084.1 hypothetical protein D9Q98_002142 [Chlorella vulgaris]				
OG0012556						KAI3436250.1 hypothetical protein D9Q98_002303 [Chlorella vulgaris]				
OG0012557						KAI3436263.1 hypothetical protein D9Q98_002316 [Chlorella vulgaris]				
OG0012558						KAI3436306.1 hypothetical protein D9Q98_002359 [Chlorella vulgaris]				
OG0012559						KAI3436334.1 hypothetical protein D9Q98_002387 [Chlorella vulgaris]				
OG0012560						KAI3436346.1 hypothetical protein D9Q98_002399 [Chlorella vulgaris]				
OG0012561						KAI3436352.1 hypothetical protein D9Q98_002405 [Chlorella vulgaris]				
OG0012562						KAI3436386.1 hypothetical protein D9Q98_002440 [Chlorella vulgaris]				
OG0012563						KAI3436391.1 hypothetical protein D9Q98_005808 [Chlorella vulgaris]				
OG0012564						KAI3436400.1 hypothetical protein D9Q98_005817 [Chlorella vulgaris]				
OG0012565						KAI3436407.1 hypothetical protein D9Q98_005824 [Chlorella vulgaris]				
OG0012566						KAI3436431.1 hypothetical protein D9Q98_005848 [Chlorella vulgaris]				
OG0012567						KAI3436446.1 hypothetical protein D9Q98_005863 [Chlorella vulgaris]				
OG0012568						KAI3436453.1 hypothetical protein D9Q98_005870 [Chlorella vulgaris]				
OG0012569						KAI3436455.1 hypothetical protein D9Q98_005872 [Chlorella vulgaris]				
OG0012570						KAI3436490.1 hypothetical protein D9Q98_005907 [Chlorella vulgaris]				
OG0012571						KAI3436507.1 hypothetical protein D9Q98_005924 [Chlorella vulgaris]				
OG0012572						KAI3436515.1 hypothetical protein D9Q98_005932 [Chlorella vulgaris]				
OG0012573						KAI3436517.1 hypothetical protein D9Q98_005934 [Chlorella vulgaris]				
OG0012574						KAI3436533.1 hypothetical protein D9Q98_005950 [Chlorella vulgaris]				
OG0012575						KAI3436573.1 hypothetical protein D9Q98_005989 [Chlorella vulgaris]				
OG0012576						KAI3436607.1 hypothetical protein D9Q98_006024 [Chlorella vulgaris]				
OG0012577						KAI3436659.1 hypothetical protein D9Q98_006075 [Chlorella vulgaris]				
OG0012578						KAI3436705.1 hypothetical protein D9Q98_006120 [Chlorella vulgaris]				
OG0012579						KAI3436716.1 hypothetical protein D9Q98_006131 [Chlorella vulgaris]				
OG0012580						KAI3436775.1 hypothetical protein D9Q98_006187 [Chlorella vulgaris]				
OG0012581						KAI3436840.1 hypothetical protein D9Q98_006250 [Chlorella vulgaris]				
OG0012582						KAI3436860.1 hypothetical protein D9Q98_006270 [Chlorella vulgaris]				
OG0012583						KAI3436893.1 hypothetical protein D9Q98_006301 [Chlorella vulgaris]				
OG0012584						KAI3437564.1 hypothetical protein D9Q98_000017 [Chlorella vulgaris]				
OG0012585						KAI3437582.1 hypothetical protein D9Q98_000035 [Chlorella vulgaris]				
OG0012586						KAI3437607.1 hypothetical protein D9Q98_000059 [Chlorella vulgaris]				
OG0012587						KAI3437609.1 hypothetical protein D9Q98_000061 [Chlorella vulgaris]				
OG0012588						KAI3437634.1 hypothetical protein D9Q98_000086 [Chlorella vulgaris]				
OG0012589						KAI3437639.1 hypothetical protein D9Q98_000091 [Chlorella vulgaris]				
OG0012590						KAI3437655.1 hypothetical protein D9Q98_000105 [Chlorella vulgaris]				
OG0012591						KAI3437657.1 hypothetical protein D9Q98_000107 [Chlorella vulgaris]				
OG0012592						KAI3437669.1 hypothetical protein D9Q98_000119 [Chlorella vulgaris]				
OG0012593						KAI3437688.1 hypothetical protein D9Q98_000137 [Chlorella vulgaris]				
OG0012594						KAI3437710.1 hypothetical protein D9Q98_000158 [Chlorella vulgaris]				
OG0012595						KAI3437725.1 hypothetical protein D9Q98_000173 [Chlorella vulgaris]				
OG0012596						KAI3437740.1 hypothetical protein D9Q98_000188 [Chlorella vulgaris]				
OG0012597						KAI3437741.1 hypothetical protein D9Q98_000189 [Chlorella vulgaris]				
OG0012598						KAI3437799.1 hypothetical protein D9Q98_000246 [Chlorella vulgaris]				
OG0012599						KAI3437825.1 hypothetical protein D9Q98_000272 [Chlorella vulgaris]				
OG0012600						KAI3437826.1 hypothetical protein D9Q98_000273 [Chlorella vulgaris]				
OG0012601						KAI3437900.1 hypothetical protein D9Q98_000345 [Chlorella vulgaris]				
OG0012602						KAI3437985.1 hypothetical protein D9Q98_000428 [Chlorella vulgaris]				
OG0012603						KAI3438001.1 hypothetical protein D9Q98_000444 [Chlorella vulgaris]				
OG0012604						KAI3438032.1 hypothetical protein D9Q98_000475 [Chlorella vulgaris]				
OG0012605						KAI3438033.1 hypothetical protein D9Q98_000476 [Chlorella vulgaris]				
OG0012606						KAI3438149.1 hypothetical protein D9Q98_000590 [Chlorella vulgaris]				
OG0012607						KAI3438194.1 hypothetical protein D9Q98_000631 [Chlorella vulgaris]				
OG0012608						KAI3438220.1 hypothetical protein D9Q98_000657 [Chlorella vulgaris]				
OG0012609						KAI3438316.1 hypothetical protein D9Q98_000750 [Chlorella vulgaris]				
OG0012610						KAI3438318.1 hypothetical protein D9Q98_000752 [Chlorella vulgaris]				
OG0012611						KAI3438377.1 hypothetical protein D9Q98_000809 [Chlorella vulgaris]				
OG0012612						KAI3438456.1 hypothetical protein D9Q98_000885 [Chlorella vulgaris]				
OG0012613						KAI3438457.1 hypothetical protein D9Q98_000886 [Chlorella vulgaris]				
OG0012614						KAI3438654.1 hypothetical protein D9Q98_001076 [Chlorella vulgaris]				
OG0012615						KAI3438684.1 hypothetical protein D9Q98_001104 [Chlorella vulgaris]				
OG0012616						KAI3438754.1 hypothetical protein D9Q98_001173 [Chlorella vulgaris]				
OG0012617						KAI3438758.1 hypothetical protein D9Q98_001176 [Chlorella vulgaris]				
OG0012618						KAI3438785.1 hypothetical protein D9Q98_001202 [Chlorella vulgaris]				
OG0012619						KAI3438794.1 hypothetical protein D9Q98_001211 [Chlorella vulgaris]				
OG0012620						KAI3438804.1 hypothetical protein D9Q98_001221 [Chlorella vulgaris]				
OG0012621						KAI3438824.1 hypothetical protein D9Q98_001241 [Chlorella vulgaris]				
OG0012622						KAI3438840.1 hypothetical protein D9Q98_001257 [Chlorella vulgaris]				
OG0012623						KAI3438857.1 hypothetical protein D9Q98_001274 [Chlorella vulgaris]				
OG0012624						KAI3438858.1 hypothetical protein D9Q98_001275 [Chlorella vulgaris]				
OG0012625						KAI3438859.1 hypothetical protein D9Q98_001276 [Chlorella vulgaris]				
OG0012626						KAI3438860.1 hypothetical protein D9Q98_001277 [Chlorella vulgaris]				
OG0012627						KAI3438863.1 hypothetical protein D9Q98_001280 [Chlorella vulgaris]				
OG0012628						KAI3438871.1 hypothetical protein D9Q98_001287 [Chlorella vulgaris]				
OG0012629						KAI3438876.1 hypothetical protein D9Q98_001291 [Chlorella vulgaris]				
OG0012630						KAI3438914.1 hypothetical protein D9Q98_001328 [Chlorella vulgaris]				
OG0012631						KAI3438940.1 hypothetical protein D9Q98_001354 [Chlorella vulgaris]				
OG0012632						KAI3438989.1 hypothetical protein D9Q98_001401 [Chlorella vulgaris]				
OG0012633						KAI3439004.1 hypothetical protein D9Q98_001416 [Chlorella vulgaris]				
OG0012634						KAI3439010.1 hypothetical protein D9Q98_001422 [Chlorella vulgaris]				
OG0012635						KAI3439012.1 hypothetical protein D9Q98_001424 [Chlorella vulgaris]				
OG0012636						KAI3439063.1 hypothetical protein D9Q98_001473 [Chlorella vulgaris]				
OG0012637						KAI3439083.1 hypothetical protein D9Q98_001493 [Chlorella vulgaris]				
OG0012638						KAI3439101.1 hypothetical protein D9Q98_001510 [Chlorella vulgaris]				
OG0012639						KAI3439116.1 hypothetical protein D9Q98_001525 [Chlorella vulgaris]				
OG0012640						KAI3439120.1 hypothetical protein D9Q98_001528 [Chlorella vulgaris]				
OG0012641						KAI3439140.1 hypothetical protein D9Q98_001548_ partial [Chlorella vulgaris]				
OG0012642							EIE18007.1 hypothetical protein COCSUDRAFT_60635 [Coccomyxa subellipsoidea C-169]			
OG0012643							EIE18011.1 hypothetical protein COCSUDRAFT_34655 [Coccomyxa subellipsoidea C-169]			
OG0012644							EIE18012.1 hypothetical protein COCSUDRAFT_68433 [Coccomyxa subellipsoidea C-169]			
OG0012645							EIE18016.1 hypothetical protein COCSUDRAFT_55053 [Coccomyxa subellipsoidea C-169]			
OG0012646							EIE18023.1 hypothetical protein COCSUDRAFT_45651 [Coccomyxa subellipsoidea C-169]			
OG0012647							EIE18032.1 hypothetical protein COCSUDRAFT_45660 [Coccomyxa subellipsoidea C-169]			
OG0012648							EIE18033.1 hypothetical protein COCSUDRAFT_45662 [Coccomyxa subellipsoidea C-169]			
OG0012649							EIE18035.1 hypothetical protein COCSUDRAFT_45664 [Coccomyxa subellipsoidea C-169]			
OG0012650							EIE18036.1 hypothetical protein COCSUDRAFT_45665 [Coccomyxa subellipsoidea C-169]			
OG0012651							EIE18038.1 hypothetical protein COCSUDRAFT_45667 [Coccomyxa subellipsoidea C-169]			
OG0012652							EIE18041.1 hypothetical protein COCSUDRAFT_55045 [Coccomyxa subellipsoidea C-169]			
OG0012653							EIE18042.1 hypothetical protein COCSUDRAFT_45671 [Coccomyxa subellipsoidea C-169]			
OG0012654							EIE18049.1 hypothetical protein COCSUDRAFT_45678 [Coccomyxa subellipsoidea C-169]			
OG0012655							EIE18051.1 hypothetical protein COCSUDRAFT_60631 [Coccomyxa subellipsoidea C-169]			
OG0012656							EIE18055.1 hypothetical protein COCSUDRAFT_45684 [Coccomyxa subellipsoidea C-169]			
OG0012657							EIE18057.1 hypothetical protein COCSUDRAFT_45602 [Coccomyxa subellipsoidea C-169]			
OG0012658							EIE18058.1 hypothetical protein COCSUDRAFT_45603 [Coccomyxa subellipsoidea C-169]			
OG0012659							EIE18060.1 hypothetical protein COCSUDRAFT_45605 [Coccomyxa subellipsoidea C-169]			
OG0012660							EIE18065.1 hypothetical protein COCSUDRAFT_34624 [Coccomyxa subellipsoidea C-169]			
OG0012661							EIE18069.1 hypothetical protein COCSUDRAFT_45613 [Coccomyxa subellipsoidea C-169]			
OG0012662							EIE18070.1 hypothetical protein COCSUDRAFT_34625 [Coccomyxa subellipsoidea C-169]			
OG0012663							EIE18071.1 hypothetical protein COCSUDRAFT_45614 [Coccomyxa subellipsoidea C-169]			
OG0012664							EIE18072.1 hypothetical protein COCSUDRAFT_49395 [Coccomyxa subellipsoidea C-169]			
OG0012665							EIE18074.1 hypothetical protein COCSUDRAFT_68408 [Coccomyxa subellipsoidea C-169]			
OG0012666							EIE18078.1 hypothetical protein COCSUDRAFT_45625 [Coccomyxa subellipsoidea C-169]			
OG0012667							EIE18082.1 hypothetical protein COCSUDRAFT_34630_ partial [Coccomyxa subellipsoidea C-169]			
OG0012668							EIE18083.1 hypothetical protein COCSUDRAFT_60578 [Coccomyxa subellipsoidea C-169]			
OG0012669							EIE18086.1 hypothetical protein COCSUDRAFT_45633 [Coccomyxa subellipsoidea C-169]			
OG0012670							EIE18095.1 hypothetical protein COCSUDRAFT_49408 [Coccomyxa subellipsoidea C-169]			
OG0012671							EIE18102.1 hypothetical protein COCSUDRAFT_55034 [Coccomyxa subellipsoidea C-169]			
OG0012672							EIE18106.1 hypothetical protein COCSUDRAFT_31870 [Coccomyxa subellipsoidea C-169]			
OG0012673							EIE18108.1 hypothetical protein COCSUDRAFT_60595 [Coccomyxa subellipsoidea C-169]			
OG0012674							EIE18109.1 hypothetical protein COCSUDRAFT_68421 [Coccomyxa subellipsoidea C-169]			
OG0012675							EIE18116.1 hypothetical protein COCSUDRAFT_34645_ partial [Coccomyxa subellipsoidea C-169]			
OG0012676							EIE18127.1 hypothetical protein COCSUDRAFT_34600 [Coccomyxa subellipsoidea C-169]			
OG0012677							EIE18130.1 hypothetical protein COCSUDRAFT_55001 [Coccomyxa subellipsoidea C-169]			
OG0012678							EIE18135.1 hypothetical protein COCSUDRAFT_60509 [Coccomyxa subellipsoidea C-169]			
OG0012679							EIE18137.1 hypothetical protein COCSUDRAFT_60511 [Coccomyxa subellipsoidea C-169]			
OG0012680							EIE18138.1 hypothetical protein COCSUDRAFT_60512 [Coccomyxa subellipsoidea C-169]			
OG0012681							EIE18148.1 hypothetical protein COCSUDRAFT_55004 [Coccomyxa subellipsoidea C-169]			
OG0012682							EIE18149.1 hypothetical protein COCSUDRAFT_60522 [Coccomyxa subellipsoidea C-169]			
OG0012683							EIE18150.1 hypothetical protein COCSUDRAFT_60523 [Coccomyxa subellipsoidea C-169]			
OG0012684							EIE18161.1 camp-binding domain-like protein [Coccomyxa subellipsoidea C-169]			
OG0012685							EIE18165.1 hypothetical protein COCSUDRAFT_68388 [Coccomyxa subellipsoidea C-169]			
OG0012686							EIE18176.1 hypothetical protein COCSUDRAFT_45588 [Coccomyxa subellipsoidea C-169]			
OG0012687							EIE18184.1 hypothetical protein COCSUDRAFT_55015_ partial [Coccomyxa subellipsoidea C-169]			
OG0012688							EIE18193.1 hypothetical protein COCSUDRAFT_60562 [Coccomyxa subellipsoidea C-169]			
OG0012689							EIE18195.1 hypothetical protein COCSUDRAFT_60397 [Coccomyxa subellipsoidea C-169]			
OG0012690							EIE18200.1 hypothetical protein COCSUDRAFT_54974 [Coccomyxa subellipsoidea C-169]			
OG0012691							EIE18207.1 hypothetical protein COCSUDRAFT_49329 [Coccomyxa subellipsoidea C-169]			
