Orthogroup	Chlorella_KRBP	Chlorella_VariabilisNC64A
OG0000676	QAXK01015338.1_519-166	XP_005846476.1 hypothetical protein CHLNCDRAFT_135669 [Chlorella variabilis], XP_005849546.1 hypothetical protein CHLNCDRAFT_21126 [Chlorella variabilis]
OG0000678	QAXK01001500.1_1992-2978	XP_005846143.1 hypothetical protein CHLNCDRAFT_136109 [Chlorella variabilis], XP_005846142.1 hypothetical protein CHLNCDRAFT_59724 [Chlorella variabilis]
OG0000679	QAXK01006881.1_8512-9541	XP_005846174.1 hypothetical protein CHLNCDRAFT_56243 [Chlorella variabilis], XP_005846173.1 hypothetical protein CHLNCDRAFT_13326_ partial [Chlorella variabilis]
OG0000688	QAXK01003305.1_27047-24211	XP_005850119.1 hypothetical protein CHLNCDRAFT_142211 [Chlorella variabilis], XP_005850120.1 hypothetical protein CHLNCDRAFT_142212 [Chlorella variabilis]
OG0000689	QAXK01001638.1_16082-13313	XP_005851963.1 hypothetical protein CHLNCDRAFT_133663 [Chlorella variabilis]
OG0000691	QAXK01001186.1_10565-8532	XP_005850169.1 hypothetical protein CHLNCDRAFT_56043 [Chlorella variabilis]
OG0000693	QAXK01008377.1_3630-1851	XP_005850448.1 hypothetical protein CHLNCDRAFT_142405 [Chlorella variabilis], XP_005850441.1 hypothetical protein CHLNCDRAFT_16859_ partial [Chlorella variabilis]
OG0000694	QAXK01012986.1_3546-2582	XP_005850838.1 hypothetical protein CHLNCDRAFT_140428 [Chlorella variabilis], XP_005850837.1 hypothetical protein CHLNCDRAFT_140427 [Chlorella variabilis]
OG0000697	QAXK01000899.1_15443-14285	XP_005849518.1 hypothetical protein CHLNCDRAFT_17300_ partial [Chlorella variabilis], XP_005849517.1 hypothetical protein CHLNCDRAFT_142855 [Chlorella variabilis]
OG0000704	QAXK01006701.1_1896-1296	XP_005852043.1 hypothetical protein CHLNCDRAFT_133014 [Chlorella variabilis], XP_005852044.1 hypothetical protein CHLNCDRAFT_133015 [Chlorella variabilis]
OG0000730	QAXK01001551.1_59690-63747	XP_005849771.1 hypothetical protein CHLNCDRAFT_142825 [Chlorella variabilis], XP_005849770.1 hypothetical protein CHLNCDRAFT_142824 [Chlorella variabilis]
OG0000732	QAXK01003652.1_16558-15646	XP_005848939.1 hypothetical protein CHLNCDRAFT_144411 [Chlorella variabilis]
OG0000734	QAXK01007307.1_6962-7960	XP_005852202.1 hypothetical protein CHLNCDRAFT_133426 [Chlorella variabilis], XP_005852203.1 hypothetical protein CHLNCDRAFT_133427 [Chlorella variabilis]
OG0000735	QAXK01011105.1_8336-6488	XP_005849935.1 hypothetical protein CHLNCDRAFT_20778 [Chlorella variabilis], XP_005849933.1 hypothetical protein CHLNCDRAFT_143259 [Chlorella variabilis]
OG0000747	QAXK01006607.1_16309-17535	XP_005852077.1 hypothetical protein CHLNCDRAFT_18657 [Chlorella variabilis], XP_005852076.1 hypothetical protein CHLNCDRAFT_18784_ partial [Chlorella variabilis]
OG0000753	QAXK01001647.1_3154-482	XP_005843828.1 hypothetical protein CHLNCDRAFT_139908 [Chlorella variabilis]
OG0000764	QAXK01005724.1_7661-4858	XP_005845039.1 hypothetical protein CHLNCDRAFT_26131 [Chlorella variabilis]
OG0000770	QAXK01003607.1_11324-13747	XP_005847482.1 hypothetical protein CHLNCDRAFT_35636 [Chlorella variabilis], XP_005844360.1 hypothetical protein CHLNCDRAFT_36917 [Chlorella variabilis]
OG0000774	QAXK01004825.1_8965-10753	XP_005849008.1 hypothetical protein CHLNCDRAFT_30733 [Chlorella variabilis]
OG0000777	QAXK01002948.1_4354-3157	XP_005842954.1 hypothetical protein CHLNCDRAFT_141766 [Chlorella variabilis], XP_005842955.1 hypothetical protein CHLNCDRAFT_141768 [Chlorella variabilis]
OG0000778	QAXK01014006.1_1593-3302	XP_005843007.1 hypothetical protein CHLNCDRAFT_141664 [Chlorella variabilis], XP_005842978.1 hypothetical protein CHLNCDRAFT_141673 [Chlorella variabilis]
OG0000782	QAXK01009651.1_2303-1712	XP_005851138.1 hypothetical protein CHLNCDRAFT_137734 [Chlorella variabilis], XP_005850480.1 hypothetical protein CHLNCDRAFT_13680_ partial [Chlorella variabilis]
OG0000784	QAXK01014689.1_5406-4708	XP_005849247.1 hypothetical protein CHLNCDRAFT_57362 [Chlorella variabilis]
OG0000786	QAXK01006828.1_9411-7696	XP_005844217.1 expressed protein [Chlorella variabilis], XP_005846364.1 hypothetical protein CHLNCDRAFT_135817 [Chlorella variabilis], XP_005846363.1 hypothetical protein CHLNCDRAFT_48255 [Chlorella variabilis]
OG0000788	QAXK01010339.1_3422-4517	XP_005843738.1 hypothetical protein CHLNCDRAFT_140078 [Chlorella variabilis]
OG0000793	QAXK01000249.1_22218-16975	XP_005842638.1 hypothetical protein CHLNCDRAFT_55812_ partial [Chlorella variabilis], XP_005842545.1 expressed protein [Chlorella variabilis]
OG0000799	QAXK01005565.1_18254-19052	XP_005848196.1 hypothetical protein CHLNCDRAFT_22668 [Chlorella variabilis]
OG0000818	QAXK01008587.1_153-1989	XP_005849239.1 hypothetical protein CHLNCDRAFT_34838 [Chlorella variabilis]
OG0000819	QAXK01003572.1_15443-13865	XP_005850196.1 hypothetical protein CHLNCDRAFT_142412 [Chlorella variabilis], XP_005850197.1 hypothetical protein CHLNCDRAFT_142413 [Chlorella variabilis]
OG0000827	QAXK01003364.1_14418-18303	XP_005847337.1 hypothetical protein CHLNCDRAFT_58001 [Chlorella variabilis]
OG0000828	QAXK01000782.1_20679-19905	XP_005843561.1 hypothetical protein CHLNCDRAFT_140197 [Chlorella variabilis]
OG0000830	QAXK01013271.1_12309-15183	XP_005850427.1 hypothetical protein CHLNCDRAFT_7891_ partial [Chlorella variabilis], XP_005846670.1 hypothetical protein CHLNCDRAFT_58196 [Chlorella variabilis]
OG0000856	QAXK01018212.1_1235-2568	XP_005844273.1 hypothetical protein CHLNCDRAFT_27124 [Chlorella variabilis], XP_005845339.1 hypothetical protein CHLNCDRAFT_137137 [Chlorella variabilis]
OG0000857	QAXK01003829.1_4453-4800	XP_005850992.1 hypothetical protein CHLNCDRAFT_20008_ partial [Chlorella variabilis], XP_005846797.1 hypothetical protein CHLNCDRAFT_15594_ partial [Chlorella variabilis]
OG0000858	QAXK01000114.1_14115-13091	XP_005848812.1 hypothetical protein CHLNCDRAFT_21843 [Chlorella variabilis], XP_005848813.1 hypothetical protein CHLNCDRAFT_22035_ partial [Chlorella variabilis]
OG0000882	QAXK01006249.1_4939-7634	XP_005842852.1 hypothetical protein CHLNCDRAFT_37697 [Chlorella variabilis]
OG0000890	QAXK01001134.1_10091-19430	XP_005847925.1 hypothetical protein CHLNCDRAFT_145342 [Chlorella variabilis]
OG0000898	QAXK01003876.1_5991-120	XP_005849127.1 hypothetical protein CHLNCDRAFT_57403 [Chlorella variabilis]
OG0000899	QAXK01013989.1_346-4178	XP_005843944.1 hypothetical protein CHLNCDRAFT_59104 [Chlorella variabilis]
OG0000908	QAXK01003972.1_3812-4471	XP_005844750.1 hypothetical protein CHLNCDRAFT_14993_ partial [Chlorella variabilis]
OG0000925	QAXK01005294.1_1798-325	XP_005846393.1 expressed protein [Chlorella variabilis]
OG0000926	QAXK01006171.1_11343-179	XP_005844518.1 hypothetical protein CHLNCDRAFT_138907 [Chlorella variabilis]
OG0000932	QAXK01003666.1_997-2479	XP_005849800.1 hypothetical protein CHLNCDRAFT_57230 [Chlorella variabilis], XP_005849799.1 hypothetical protein CHLNCDRAFT_20847 [Chlorella variabilis]
OG0000934	QAXK01002301.1_12772-10269	XP_005844039.1 hypothetical protein CHLNCDRAFT_139598 [Chlorella variabilis]
OG0000936	QAXK01016824.1_8642-5783	XP_005847964.1 hypothetical protein CHLNCDRAFT_145441 [Chlorella variabilis]
OG0000942	QAXK01000587.1_67122-65127	XP_005851129.1 hypothetical protein CHLNCDRAFT_137717 [Chlorella variabilis]
OG0000950	QAXK01002497.1_4221-184	XP_005851036.1 hypothetical protein CHLNCDRAFT_140909 [Chlorella variabilis]
OG0000971	QAXK01002117.1_8261-6549	XP_005843484.1 hypothetical protein CHLNCDRAFT_140983 [Chlorella variabilis], XP_005847640.1 hypothetical protein CHLNCDRAFT_133979 [Chlorella variabilis]
OG0000972	QAXK01000705.1_20067-23668	XP_005846008.1 NADH_ubiquinone oxidoreductase 51 kD subunit_ partial [Chlorella variabilis]
OG0000974	QAXK01004234.1_3012-6646	XP_005846110.1 hypothetical protein CHLNCDRAFT_31911 [Chlorella variabilis]
OG0000975	QAXK01000204.1_17480-21863	XP_005844479.1 hypothetical protein CHLNCDRAFT_32504 [Chlorella variabilis]
OG0000993	QAXK01000283.1_5726-3204	XP_005847703.1 hypothetical protein CHLNCDRAFT_52216 [Chlorella variabilis]
OG0001052	QAXK01004375.1_5952-7899	XP_005850574.1 hypothetical protein CHLNCDRAFT_140491 [Chlorella variabilis]
OG0001054	QAXK01011306.1_4473-2613	XP_005843928.1 hypothetical protein CHLNCDRAFT_56352 [Chlorella variabilis]
OG0001058	QAXK01006232.1_3779-3289	XP_005844270.1 expressed protein [Chlorella variabilis]
OG0001060	QAXK01001037.1_5070-1976	XP_005845689.1 hypothetical protein CHLNCDRAFT_136793 [Chlorella variabilis]
OG0001061	QAXK01005753.1_2076-3799	XP_005844925.1 hypothetical protein CHLNCDRAFT_15784_ partial [Chlorella variabilis]
OG0001062	QAXK01000341.1_1318-5933	XP_005845518.1 hypothetical protein CHLNCDRAFT_58505 [Chlorella variabilis]
OG0001063	QAXK01005942.1_10013-5629	XP_005843936.1 hypothetical protein CHLNCDRAFT_37165 [Chlorella variabilis]
OG0001064	QAXK01004812.1_12403-13506	XP_005845681.1 hypothetical protein CHLNCDRAFT_36436 [Chlorella variabilis]
OG0001072	QAXK01000429.1_50912-41458	XP_005849779.1 hypothetical protein CHLNCDRAFT_142847 [Chlorella variabilis], XP_005849780.1 hypothetical protein CHLNCDRAFT_142849 [Chlorella variabilis]
OG0001074	QAXK01000217.1_8076-10531	XP_005848049.1 S-adenosyl-L-methionine synthetase [Chlorella variabilis]
OG0001079	QAXK01000446.1_57156-52957	XP_005849803.1 hypothetical protein CHLNCDRAFT_34679 [Chlorella variabilis]
OG0001082	QAXK01005854.1_4720-5401	XP_005850332.1 hypothetical protein CHLNCDRAFT_142121 [Chlorella variabilis]
OG0001088	QAXK01002175.1_7346-5749	XP_005848088.1 hypothetical protein CHLNCDRAFT_30965 [Chlorella variabilis], XP_005848087.1 hypothetical protein CHLNCDRAFT_145350 [Chlorella variabilis]
OG0001094	QAXK01001089.1_6956-8023	XP_005849677.1 hypothetical protein CHLNCDRAFT_57327 [Chlorella variabilis]
OG0001095	QAXK01000217.1_13973-11099	XP_005848174.1 hypothetical protein CHLNCDRAFT_145571 [Chlorella variabilis]
OG0001096	QAXK01005613.1_12658-11106	XP_005851996.1 hypothetical protein CHLNCDRAFT_132912 [Chlorella variabilis]
OG0001099	QAXK01001823.1_3618-2631	XP_005848659.1 hypothetical protein CHLNCDRAFT_144215 [Chlorella variabilis], XP_005848658.1 hypothetical protein CHLNCDRAFT_144214 [Chlorella variabilis]
OG0001101	QAXK01003836.1_8909-3187	XP_005844570.1 hypothetical protein CHLNCDRAFT_32503 [Chlorella variabilis]
OG0001103	QAXK01003163.1_8178-11099	XP_005846499.1 hypothetical protein CHLNCDRAFT_56219 [Chlorella variabilis]
OG0001105	QAXK01006902.1_4861-6562	XP_005847507.1 hypothetical protein CHLNCDRAFT_134521 [Chlorella variabilis]
OG0001122	QAXK01010311.1_2932-555	XP_005846965.1 hypothetical protein CHLNCDRAFT_134932 [Chlorella variabilis]
OG0001123	QAXK01007750.1_2281-4745	XP_005851759.1 hypothetical protein CHLNCDRAFT_33512_ partial [Chlorella variabilis]
OG0001133	QAXK01006196.1_4390-1589	XP_005850993.1 hypothetical protein CHLNCDRAFT_19551_ partial [Chlorella variabilis]
OG0001143	QAXK01003700.1_2979-9653	XP_005851850.1 hypothetical protein CHLNCDRAFT_133371 [Chlorella variabilis], XP_005851851.1 hypothetical protein CHLNCDRAFT_133372 [Chlorella variabilis]
OG0001144	QAXK01003900.1_2413-4929	XP_005846212.1 hypothetical protein CHLNCDRAFT_36301 [Chlorella variabilis]
OG0001154	QAXK01011150.1_3959-2216	XP_005849664.1 hypothetical protein CHLNCDRAFT_143206 [Chlorella variabilis], XP_005851582.1 hypothetical protein CHLNCDRAFT_138089 [Chlorella variabilis]
OG0001156	QAXK01018601.1_3296-410	XP_005844964.1 hypothetical protein CHLNCDRAFT_26350 [Chlorella variabilis]
OG0001158	QAXK01006945.1_6596-10279	XP_005846743.1 hypothetical protein CHLNCDRAFT_35907 [Chlorella variabilis]
OG0001161	QAXK01004407.1_7887-8977	XP_005847996.1 hypothetical protein CHLNCDRAFT_35354_ partial [Chlorella variabilis]
OG0001166	QAXK01009825.1_846-2644	XP_005851224.1 hypothetical protein CHLNCDRAFT_18825 [Chlorella variabilis]
OG0001171	QAXK01006983.1_10356-12388	XP_005844538.1 expressed protein [Chlorella variabilis]
OG0001176	QAXK01004323.1_8147-5874	XP_005849287.1 hypothetical protein CHLNCDRAFT_30552 [Chlorella variabilis]
OG0001180	QAXK01019295.1_3574-2070	XP_005844712.1 hypothetical protein CHLNCDRAFT_138669 [Chlorella variabilis], XP_005844788.1 hypothetical protein CHLNCDRAFT_36776 [Chlorella variabilis]
OG0001194	QAXK01001649.1_8862-4505	XP_005846959.1 hypothetical protein CHLNCDRAFT_56196 [Chlorella variabilis]
OG0001201	QAXK01000596.1_10252-6748	XP_005843198.1 hypothetical protein CHLNCDRAFT_33230 [Chlorella variabilis]
OG0001208	QAXK01012769.1_10100-9091	XP_005850301.1 hypothetical protein CHLNCDRAFT_50601 [Chlorella variabilis]
OG0001212	QAXK01005236.1_15612-13478	XP_005848409.1 hypothetical protein CHLNCDRAFT_51737 [Chlorella variabilis], XP_005848678.1 hypothetical protein CHLNCDRAFT_17713_ partial [Chlorella variabilis]
OG0001214	QAXK01012739.1_10679-8642	XP_005846274.1 hypothetical protein CHLNCDRAFT_36044 [Chlorella variabilis], XP_005848647.1 hypothetical protein CHLNCDRAFT_48708 [Chlorella variabilis]
OG0001216	QAXK01001490.1_17280-15927	XP_005844266.1 hypothetical protein CHLNCDRAFT_32681 [Chlorella variabilis]
OG0001219	QAXK01008035.1_3747-6912	XP_005843856.1 hypothetical protein CHLNCDRAFT_16969_ partial [Chlorella variabilis]
OG0001221	QAXK01001061.1_17190-18239	XP_005850840.1 hypothetical protein CHLNCDRAFT_48524 [Chlorella variabilis]
OG0001223	QAXK01005846.1_3896-588	XP_005847551.1 hypothetical protein CHLNCDRAFT_52248 [Chlorella variabilis], XP_005842897.1 hypothetical protein CHLNCDRAFT_55557 [Chlorella variabilis]
OG0001225	QAXK01000732.1_2978-2655	XP_005849146.1 hypothetical protein CHLNCDRAFT_30584 [Chlorella variabilis], XP_005849147.1 hypothetical protein CHLNCDRAFT_143760 [Chlorella variabilis]
OG0001229	QAXK01016063.1_5569-3270	XP_005847572.1 hypothetical protein CHLNCDRAFT_56155 [Chlorella variabilis]
OG0001231	QAXK01000362.1_21408-20438	XP_005847262.1 hypothetical protein CHLNCDRAFT_134271 [Chlorella variabilis], XP_005847261.1 hypothetical protein CHLNCDRAFT_35566 [Chlorella variabilis]
OG0001236	QAXK01000513.1_15183-11736	XP_005843958.1 hypothetical protein CHLNCDRAFT_48339 [Chlorella variabilis]
OG0001242	QAXK01004645.1_1487-5075	XP_005851115.1 hypothetical protein CHLNCDRAFT_33771 [Chlorella variabilis]
OG0001246	QAXK01010639.1_8900-15142	XP_005845102.1 hypothetical protein CHLNCDRAFT_137448 [Chlorella variabilis]
OG0001248	QAXK01010718.1_75-1989	XP_005847702.1 hypothetical protein CHLNCDRAFT_52424_ partial [Chlorella variabilis], XP_005844136.1 hypothetical protein CHLNCDRAFT_54617_ partial [Chlorella variabilis]
OG0001264	QAXK01001653.1_329-2259	XP_005847698.1 hypothetical protein CHLNCDRAFT_48821 [Chlorella variabilis], XP_005847123.1 hypothetical protein CHLNCDRAFT_24333 [Chlorella variabilis]
OG0001279	QAXK01000624.1_32528-30577	XP_005849115.1 hypothetical protein CHLNCDRAFT_143681 [Chlorella variabilis], XP_005849116.1 hypothetical protein CHLNCDRAFT_143682 [Chlorella variabilis]
OG0001307	QAXK01005917.1_319-7230	XP_005849409.1 hypothetical protein CHLNCDRAFT_143921 [Chlorella variabilis], XP_005849410.1 hypothetical protein CHLNCDRAFT_143922 [Chlorella variabilis]
OG0001308	QAXK01006084.1_8922-13556	XP_005847083.1 hypothetical protein CHLNCDRAFT_24199 [Chlorella variabilis]
OG0001309	QAXK01004533.1_5070-10667	XP_005846908.1 hypothetical protein CHLNCDRAFT_134789_ partial [Chlorella variabilis]
OG0001310	QAXK01002895.1_5020-6663	XP_005849411.1 hypothetical protein CHLNCDRAFT_143924 [Chlorella variabilis]
OG0001311	QAXK01001613.1_2521-6885	XP_005846912.1 hypothetical protein CHLNCDRAFT_35777 [Chlorella variabilis]
OG0001312	QAXK01003510.1_1900-3653	XP_005843854.1 hypothetical protein CHLNCDRAFT_27642 [Chlorella variabilis]
OG0001313	QAXK01001184.1_9548-5781	XP_005846901.1 hypothetical protein CHLNCDRAFT_24291_ partial [Chlorella variabilis], XP_005846900.1 hypothetical protein CHLNCDRAFT_52755 [Chlorella variabilis]
OG0001314	QAXK01001944.1_3765-1753	XP_005846897.1 hypothetical protein CHLNCDRAFT_134762 [Chlorella variabilis]
OG0001316	QAXK01006921.1_16832-14836	XP_005845703.1 hypothetical protein CHLNCDRAFT_58555 [Chlorella variabilis]
OG0001318	QAXK01001801.1_7866-9916	XP_005848322.1 hypothetical protein CHLNCDRAFT_30844 [Chlorella variabilis]
OG0001320	QAXK01000167.1_14384-11911	XP_005845683.1 hypothetical protein CHLNCDRAFT_8099_ partial [Chlorella variabilis]
OG0001328	QAXK01006882.1_17133-19836	XP_005844082.1 hypothetical protein CHLNCDRAFT_56342 [Chlorella variabilis]
OG0001331	QAXK01009171.1_15170-12352	XP_005848712.1 hypothetical protein CHLNCDRAFT_144369 [Chlorella variabilis]
OG0001332	QAXK01004338.1_10706-15436	XP_005849793.1 hypothetical protein CHLNCDRAFT_57223 [Chlorella variabilis]
OG0001334	QAXK01003133.1_258-4577	XP_005845274.1 hypothetical protein CHLNCDRAFT_25981 [Chlorella variabilis]
OG0001338	QAXK01002293.1_4021-8056	XP_005848731.1 hypothetical protein CHLNCDRAFT_144412 [Chlorella variabilis]
OG0001340	QAXK01004523.1_6228-4685	XP_005844812.1 hypothetical protein CHLNCDRAFT_36797 [Chlorella variabilis]
OG0001342	QAXK01003268.1_11937-16935	XP_005849334.1 hypothetical protein CHLNCDRAFT_143718 [Chlorella variabilis]
OG0001343	QAXK01000799.1_6873-2057	XP_005849911.1 hypothetical protein CHLNCDRAFT_21002 [Chlorella variabilis]
OG0001353	QAXK01011632.1_4873-7912	XP_005846771.1 hypothetical protein CHLNCDRAFT_52990 [Chlorella variabilis]
OG0001356	QAXK01003307.1_27135-26267	XP_005851938.1 hypothetical protein CHLNCDRAFT_133597 [Chlorella variabilis]
OG0001360	QAXK01001741.1_6153-8648	XP_005849861.1 hypothetical protein CHLNCDRAFT_143054 [Chlorella variabilis]
OG0001363	QAXK01003747.1_13973-10331	XP_005849404.1 hypothetical protein CHLNCDRAFT_34933 [Chlorella variabilis]
OG0001365	QAXK01000515.1_20837-25236	XP_005847199.1 hypothetical protein CHLNCDRAFT_134999 [Chlorella variabilis]
OG0001366	QAXK01004846.1_20461-19235	XP_005850938.1 hypothetical protein CHLNCDRAFT_140676 [Chlorella variabilis]
OG0001370	QAXK01000381.1_4423-6771	XP_005843617.1 hypothetical protein CHLNCDRAFT_27963 [Chlorella variabilis]
OG0001374	QAXK01013224.1_5335-6988	XP_005843622.1 hypothetical protein CHLNCDRAFT_49235 [Chlorella variabilis]
OG0001375	QAXK01005120.1_8361-10056	XP_005847170.1 hypothetical protein CHLNCDRAFT_23906 [Chlorella variabilis]
OG0001376	QAXK01019935.1_413-1820	XP_005852078.1 expressed protein [Chlorella variabilis]
OG0001381	QAXK01000172.1_6135-2748	XP_005844407.1 argininosuccinate lyase [Chlorella variabilis]
OG0001382	QAXK01001066.1_8917-1138	XP_005843626.1 hypothetical protein CHLNCDRAFT_59234 [Chlorella variabilis]
OG0001383	QAXK01003326.1_3639-1243	XP_005842570.1 hypothetical protein CHLNCDRAFT_55891_ partial [Chlorella variabilis], XP_005843581.1 hypothetical protein CHLNCDRAFT_56398 [Chlorella variabilis]
OG0001385	QAXK01005279.1_10173-5871	XP_005844342.1 hypothetical protein CHLNCDRAFT_26891 [Chlorella variabilis]
OG0001388	QAXK01001208.1_10635-13964	XP_005844954.1 hypothetical protein CHLNCDRAFT_26393_ partial [Chlorella variabilis]
OG0001393	QAXK01005917.1_17047-13738	XP_005846625.1 hypothetical protein CHLNCDRAFT_9747_ partial [Chlorella variabilis]
OG0001397	QAXK01000502.1_39339-43298	XP_005846379.1 hypothetical protein CHLNCDRAFT_24755_ partial [Chlorella variabilis]
OG0001398	QAXK01003277.1_3770-8	XP_005849717.1 hypothetical protein CHLNCDRAFT_34562 [Chlorella variabilis]
OG0001400	QAXK01001993.1_28544-29840	XP_005843813.1 hypothetical protein CHLNCDRAFT_12853_ partial [Chlorella variabilis]
OG0001401	QAXK01010276.1_2943-1867	XP_005848967.1 hypothetical protein CHLNCDRAFT_144492 [Chlorella variabilis]
OG0001406	QAXK01000595.1_2983-1676	XP_005851025.1 hypothetical protein CHLNCDRAFT_56983 [Chlorella variabilis]
OG0001408	QAXK01000367.1_8675-18356	XP_005844747.1 hypothetical protein CHLNCDRAFT_56301 [Chlorella variabilis]
OG0001409	QAXK01004930.1_4250-5628	XP_005846539.1 hypothetical protein CHLNCDRAFT_135831 [Chlorella variabilis]
OG0001417	QAXK01005381.1_315-2273	XP_005848359.1 hypothetical protein CHLNCDRAFT_59660 [Chlorella variabilis]
OG0001420	QAXK01000297.1_21777-22493	XP_005851832.1 hypothetical protein CHLNCDRAFT_133322 [Chlorella variabilis]
OG0001424	QAXK01001628.1_9434-11057	XP_005848357.1 hypothetical protein CHLNCDRAFT_22496 [Chlorella variabilis]
OG0001425	QAXK01003581.1_2363-4183	XP_005848403.1 hypothetical protein CHLNCDRAFT_11586_ partial [Chlorella variabilis]
OG0001426	QAXK01005880.1_1-9276	XP_005844348.1 hypothetical protein CHLNCDRAFT_58930 [Chlorella variabilis]
OG0001428	QAXK01000837.1_14096-17956	XP_005845307.1 hypothetical protein CHLNCDRAFT_137054 [Chlorella variabilis]
OG0001431	QAXK01013424.1_6153-1945	XP_005848243.1 hypothetical protein CHLNCDRAFT_144800 [Chlorella variabilis]
OG0001432	QAXK01000224.1_16848-15439	XP_005844036.1 hypothetical protein CHLNCDRAFT_49152 [Chlorella variabilis]
OG0001445	QAXK01000732.1_11950-7418	XP_005843270.1 hypothetical protein CHLNCDRAFT_55283 [Chlorella variabilis]
OG0001455	QAXK01001576.1_5934-8651	XP_005849069.1 hypothetical protein CHLNCDRAFT_51247 [Chlorella variabilis]
OG0001456	QAXK01006785.1_1906-1226	XP_005845731.1 hypothetical protein CHLNCDRAFT_136322 [Chlorella variabilis]
OG0001460	QAXK01015424.1_3358-1233	XP_005849260.1 hypothetical protein CHLNCDRAFT_143518 [Chlorella variabilis], XP_005849066.1 hypothetical protein CHLNCDRAFT_143546 [Chlorella variabilis]
OG0001462	QAXK01002112.1_6014-14709	XP_005849044.1 hypothetical protein CHLNCDRAFT_143487 [Chlorella variabilis]
OG0001465	QAXK01006322.1_7890-11183	XP_005848956.1 hypothetical protein CHLNCDRAFT_22067 [Chlorella variabilis]
OG0001469	QAXK01007783.1_10721-12010	XP_005849423.1 hypothetical protein CHLNCDRAFT_51429 [Chlorella variabilis], XP_005850473.1 hypothetical protein CHLNCDRAFT_16970_ partial [Chlorella variabilis]
OG0001473	QAXK01003650.1_4575-2929	XP_005844309.1 hypothetical protein CHLNCDRAFT_59761 [Chlorella variabilis]
OG0001476	QAXK01001134.1_7136-9582	XP_005843038.1 hypothetical protein CHLNCDRAFT_141588 [Chlorella variabilis]
OG0001477	QAXK01003160.1_17527-15091	XP_005847477.1 hypothetical protein CHLNCDRAFT_57981 [Chlorella variabilis], XP_005849361.1 hypothetical protein CHLNCDRAFT_143807 [Chlorella variabilis]
OG0001480	QAXK01000632.1_24086-22557	XP_005843037.1 hypothetical protein CHLNCDRAFT_28509_ partial [Chlorella variabilis]
OG0001482	QAXK01000159.1_14204-11398	XP_005847130.1 hypothetical protein CHLNCDRAFT_134869 [Chlorella variabilis]
OG0001488	QAXK01004286.1_7784-2904	XP_005843630.1 hypothetical protein CHLNCDRAFT_33094 [Chlorella variabilis]
OG0001492	QAXK01003809.1_2040-4733	XP_005847074.1 hypothetical protein CHLNCDRAFT_56191 [Chlorella variabilis]
OG0001493	QAXK01001201.1_5367-10319	XP_005843967.1 hypothetical protein CHLNCDRAFT_32953 [Chlorella variabilis]
OG0001503	QAXK01001163.1_27767-28960	XP_005844070.1 hypothetical protein CHLNCDRAFT_32746 [Chlorella variabilis], XP_005844069.1 hypothetical protein CHLNCDRAFT_139459 [Chlorella variabilis]
OG0001506	QAXK01000137.1_3425-4331	XP_005848003.1 hypothetical protein CHLNCDRAFT_22955 [Chlorella variabilis]
OG0001508	QAXK01001982.1_904-3015	XP_005848097.1 hypothetical protein CHLNCDRAFT_145376 [Chlorella variabilis], XP_005842657.1 hypothetical protein CHLNCDRAFT_139005_ partial [Chlorella variabilis]
OG0001514	QAXK01003231.1_16625-14068	XP_005846135.1 hypothetical protein CHLNCDRAFT_58381 [Chlorella variabilis]
OG0001526	QAXK01019948.1_5388-2969	XP_005847609.1 hypothetical protein CHLNCDRAFT_35428 [Chlorella variabilis]
OG0001527	QAXK01013863.1_4654-1867	XP_005844327.1 hypothetical protein CHLNCDRAFT_54543 [Chlorella variabilis]
OG0001528	QAXK01000325.1_37384-41123	XP_005850071.1 hypothetical protein CHLNCDRAFT_142104 [Chlorella variabilis]
OG0001529	QAXK01004092.1_4427-5291	XP_005844210.1 hypothetical protein CHLNCDRAFT_139408 [Chlorella variabilis]
OG0001532	QAXK01000782.1_11007-12134	XP_005851497.1 hypothetical protein CHLNCDRAFT_137885 [Chlorella variabilis]
OG0001533	QAXK01000265.1_17007-12444	XP_005844336.1 hypothetical protein CHLNCDRAFT_58922 [Chlorella variabilis]
OG0001534	QAXK01000695.1_5671-2183	XP_005846636.1 hypothetical protein CHLNCDRAFT_35936 [Chlorella variabilis]
OG0001538	QAXK01009353.1_4260-348	XP_005847304.1 hypothetical protein CHLNCDRAFT_35625 [Chlorella variabilis]
OG0001542	QAXK01011884.1_2510-4036	XP_005848850.1 hypothetical protein CHLNCDRAFT_17454_ partial [Chlorella variabilis]
OG0001544	QAXK01002332.1_5291-4007	XP_005845316.1 hypothetical protein CHLNCDRAFT_11702_ partial [Chlorella variabilis]
OG0001545	QAXK01000350.1_22889-27018	XP_005850377.1 hypothetical protein CHLNCDRAFT_142244 [Chlorella variabilis]
OG0001546	QAXK01011857.1_1226-3209	XP_005845367.1 hypothetical protein CHLNCDRAFT_8322_ partial [Chlorella variabilis]
OG0001548	QAXK01001795.1_1688-3314	XP_005851947.1 hypothetical protein CHLNCDRAFT_14078_ partial [Chlorella variabilis], XP_005851944.1 hypothetical protein CHLNCDRAFT_49694 [Chlorella variabilis]
OG0001549	QAXK01005406.1_4717-2509	XP_005843954.1 hypothetical protein CHLNCDRAFT_37236 [Chlorella variabilis]
OG0001550	QAXK01004537.1_7009-1449	XP_005852260.1 hypothetical protein CHLNCDRAFT_59548 [Chlorella variabilis]
