Orthogroup	Chlorella_KRBP	Micractinium_SAG24180
OG0000898	QAXK01003876.1_5991-120	PSC72964.1 N-acetyltransferase 10 isoform A [Micractinium conductrix], PSC72965.1 N-acetyltransferase 10 isoform B [Micractinium conductrix]
OG0000899	QAXK01013989.1_346-4178	PSC74602.1 Eukaryotic translation initiation factor 3 subunit C [Micractinium conductrix]
OG0000908	QAXK01003972.1_3812-4471	PSC71768.1 Iron-sulfur assembly -like mitochondrial [Micractinium conductrix], PSC69380.1 3-hydroxyacyl-dehydrogenase [Micractinium conductrix], PSC71748.1 inactive serine protease 54 isoform X2 [Micractinium conductrix]
OG0000925	QAXK01005294.1_1798-325	PSC73212.1 iron manganese superoxide alpha-hairpin domain [Micractinium conductrix], PSC71348.1 hypothetical protein C2E20_5234 [Micractinium conductrix], PSC73153.1 N-acetylgalactosamine kinase [Micractinium conductrix], PSC73526.1 hypothetical protein C2E20_3519 [Micractinium conductrix]
OG0000926	QAXK01006171.1_11343-179	PSC74335.1 microtubule organizing mora [Micractinium conductrix], PSC67998.1 microtubule associated [Micractinium conductrix]
OG0000932	QAXK01003666.1_997-2479	PSC77066.1 zinc finger CCHC domain-containing 7-like [Micractinium conductrix], PSC76889.1 histidine biosynthesis bifunctional chloroplastic-like [Micractinium conductrix]
OG0000934	QAXK01002301.1_12772-10269	PSC71384.1 glycosyltransferase family 2 [Micractinium conductrix]
OG0000936	QAXK01016824.1_8642-5783	PSC69552.1 Nitric oxide synthase-interacting [Micractinium conductrix], PSC75411.1 hypothetical protein C2E20_1400 isoform X1 [Micractinium conductrix]
OG0000942	QAXK01000587.1_67122-65127	PSC75316.1 S-acyltransferase 24 isoform X1 [Micractinium conductrix]
OG0000950	QAXK01002497.1_4221-184	PSC69053.1 beta-galactosidase [Micractinium conductrix]
OG0000953	QAXK01003575.1_2283-197	PSC72680.1 COP9 signalosome complex subunit 2 [Micractinium conductrix]
OG0000971	QAXK01002117.1_8261-6549	PSC74845.1 MAP3K epsilon kinase 1-like [Micractinium conductrix]
OG0000972	QAXK01000705.1_20067-23668	PSC71939.1 NADH dehydrogenase [ubiquinone] flavo mitochondrial [Micractinium conductrix]
OG0000974	QAXK01004234.1_3012-6646	PSC71864.1 DEAD-box ATP-dependent RNA helicase 37-like [Micractinium conductrix]
OG0000975	QAXK01000204.1_17480-21863	PSC67138.1 long-chain acyl-synthetase 7_ partial [Micractinium conductrix], PSC69107.1 Long chain acyl-synthetase peroxisomal [Micractinium conductrix]
OG0000993	QAXK01000283.1_5726-3204	PSC73912.1 Argininosuccinate synthase [Micractinium conductrix]
OG0001052	QAXK01004375.1_5952-7899	PSC72803.1 hypothetical protein C2E20_4083 [Micractinium conductrix]
OG0001054	QAXK01011306.1_4473-2613	PSC68802.1 mitochondrial dicarboxylate tricarboxylate transporter DTC [Micractinium conductrix]
OG0001058	QAXK01006232.1_3779-3289	PSC73538.1 plant UBX domain-containing 2 [Micractinium conductrix]
OG0001060	QAXK01001037.1_5070-1976	PSC74143.1 DEAD-box ATP-dependent RNA helicase 15-like isoform X1 [Micractinium conductrix]
OG0001061	QAXK01005753.1_2076-3799	PSC67655.1 40S ribosomal S3a-2 [Micractinium conductrix]
OG0001062	QAXK01000341.1_1318-5933	PSC74221.1 Serine threonine-phosphatase 4 regulatory subunit 3 isoform B [Micractinium conductrix], PSC74222.1 Serine threonine-phosphatase 4 regulatory subunit 3 isoform A [Micractinium conductrix]
OG0001063	QAXK01005942.1_10013-5629	PSC68783.1 water dikinase [Micractinium conductrix]
OG0001064	QAXK01004812.1_12403-13506	PSC74236.1 Signal peptide peptidase 2 isoform B [Micractinium conductrix], PSC74237.1 Signal peptide peptidase 2 isoform A [Micractinium conductrix]
OG0001072	QAXK01000429.1_50912-41458	PSC76713.1 ribosome biogenesis BMS1-like protein [Micractinium conductrix]
OG0001074	QAXK01000217.1_8076-10531	PSC70807.1 S-adenosylmethionine synthetase [Micractinium conductrix]
OG0001079	QAXK01000446.1_57156-52957	PSC76368.1 Pantothenate kinase 2 isoform B [Micractinium conductrix], PSC76369.1 Pantothenate kinase 2 isoform A [Micractinium conductrix]
OG0001088	QAXK01002175.1_7346-5749	PSC69449.1 60S ribosomal L18a-2 [Micractinium conductrix]
OG0001094	QAXK01001089.1_6956-8023	PSC75650.1 Galactokinase [Micractinium conductrix]
OG0001095	QAXK01000217.1_13973-11099	PSC74835.1 eukaryotic translation initiation factor 5-like [Micractinium conductrix]
OG0001096	QAXK01005613.1_12658-11106	PSC75165.1 meiotic nuclear division 1-like protein [Micractinium conductrix]
OG0001099	QAXK01001823.1_3618-2631	PSC75301.1 DNA-directed RNA polymerases IV and V subunit 3 [Micractinium conductrix]
OG0001101	QAXK01003836.1_8909-3187	PSC67004.1 eukaryotic translation initiation factor 3 subunit D-like [Micractinium conductrix], PSC69167.1 eukaryotic translation initiation factor 3 subunit D-like [Micractinium conductrix], PSC67136.1 eukaryotic translation initiation factor 3 subunit D-like [Micractinium conductrix], PSC67171.1 eukaryotic translation initiation factor 3 subunit D-like [Micractinium conductrix]
OG0001103	QAXK01003163.1_8178-11099	PSC68332.1 Transmembrane 9 superfamily member 4 [Micractinium conductrix]
OG0001105	QAXK01006902.1_4861-6562	PSC73962.1 OPI10-like protein isoform A [Micractinium conductrix], PSC73963.1 OPI10-like protein isoform B [Micractinium conductrix], PSC74321.1 hypothetical protein C2E20_2762 [Micractinium conductrix], PSC73995.1 hypothetical protein C2E20_2765 [Micractinium conductrix]
OG0001120	QAXK01002607.1_494-808	PSC74288.1 DNA-directed RNA polymerases IV and V subunit 11 [Micractinium conductrix]
OG0001122	QAXK01010311.1_2932-555	PSC71053.1 regulator of nonsense transcripts UPF2 [Micractinium conductrix]
OG0001123	QAXK01007750.1_2281-4745	PSC75131.1 cell division cycle 5 isoform B [Micractinium conductrix], PSC75132.1 cell division cycle 5 isoform A [Micractinium conductrix]
OG0001133	QAXK01006196.1_4390-1589	PSC72779.1 Elongation factor Tu [Micractinium conductrix]
OG0001143	QAXK01003700.1_2979-9653	PSC69429.1 DEFECTIVE IN EXINE FORMATION 1 [Micractinium conductrix]
OG0001144	QAXK01003900.1_2413-4929	PSC67657.1 Autophagy-related 3 [Micractinium conductrix]
OG0001154	QAXK01011150.1_3959-2216	PSC76409.1 transferase mitochondrial [Micractinium conductrix], PSC76928.1 transferase mitochondrial [Micractinium conductrix]
OG0001156	QAXK01018601.1_3296-410	PSC68744.1 D-2-hydroxyglutarate mitochondrial isoform A [Micractinium conductrix], PSC68743.1 D-2-hydroxyglutarate mitochondrial isoform B [Micractinium conductrix]
OG0001158	QAXK01006945.1_6596-10279	PSC68656.1 sulfite reductase isoform B [Micractinium conductrix], PSC68657.1 sulfite reductase isoform A [Micractinium conductrix]
OG0001161	QAXK01004407.1_7887-8977	PSC76021.1 thylakoid lumenal kDa chloroplastic [Micractinium conductrix]
OG0001166	QAXK01009825.1_846-2644	PSC68244.1 NAD_P_-binding domain [Micractinium conductrix]
OG0001171	QAXK01006983.1_10356-12388	PSC70293.1 translation initiation factor eIF-2B subunit delta [Micractinium conductrix]
OG0001176	QAXK01004323.1_8147-5874	PSC76849.1 glycine cleavage T [Micractinium conductrix]
OG0001180	QAXK01019295.1_3574-2070	PSC71673.1 V-type proton ATPase subunit D-like [Micractinium conductrix]
OG0001194	QAXK01001649.1_8862-4505	PSC71080.1 Succinate dehydrogenase [ubiquinone] flavo subunit mitochondrial isoform A [Micractinium conductrix], PSC71081.1 Succinate dehydrogenase [ubiquinone] flavo subunit mitochondrial isoform B [Micractinium conductrix]
OG0001201	QAXK01000596.1_10252-6748	PSC68410.1 acetolactate synthase isoform A [Micractinium conductrix], PSC68409.1 acetolactate synthase isoform B [Micractinium conductrix]
OG0001208	QAXK01012769.1_10100-9091	PSC72447.1 hypothetical protein C2E20_4214 isoform B [Micractinium conductrix], PSC72446.1 hypothetical protein C2E20_4214 isoform A [Micractinium conductrix]
OG0001214	QAXK01012739.1_10679-8642	PSC75534.1 125 kDa kinesin-related-like protein [Micractinium conductrix]
OG0001216	QAXK01001490.1_17280-15927	PSC73320.1 motile sperm domain-containing 2 [Micractinium conductrix]
OG0001219	QAXK01008035.1_3747-6912	PSC68800.1 kinesin-13A-like isoform X1 [Micractinium conductrix]
OG0001221	QAXK01001061.1_17190-18239	PSC67454.1 Qa-SYP3 Sed5p Syntaxin 5-type isoform A [Micractinium conductrix], PSC67455.1 Qa-SYP3 Sed5p Syntaxin 5-type isoform B [Micractinium conductrix]
OG0001223	QAXK01005846.1_3896-588	PSC73785.1 pre-mRNA-splicing factor CWC22-like protein [Micractinium conductrix]
OG0001225	QAXK01000732.1_2978-2655	PSC73192.1 Ribosomal L35Ae family isoform 1 [Micractinium conductrix], PSC72947.1 Major facilitator superfamily domain-containing 6 [Micractinium conductrix]
OG0001229	QAXK01016063.1_5569-3270	PSC74360.1 WD repeat-containing LWD1 isoform B [Micractinium conductrix], PSC74361.1 WD repeat-containing LWD1 isoform A [Micractinium conductrix]
OG0001231	QAXK01000362.1_21408-20438	PSC70899.1 Ras-related Rab7 [Micractinium conductrix], PSC70894.1 ras-related Rab7 [Micractinium conductrix]
OG0001236	QAXK01000513.1_15183-11736	PSC68811.1 dihydrolipoyl mitochondrial-like [Micractinium conductrix], PSC74380.1 Dihydrolipoyl dehydrogenase mitochondrial [Micractinium conductrix], PSC68781.1 dihydrolipoyl dehydrogenase mitochondrial [Micractinium conductrix]
OG0001242	QAXK01004645.1_1487-5075	PSC67247.1 Site-1 isoform 2 [Micractinium conductrix]
OG0001246	QAXK01010639.1_8900-15142	PSC73885.1 glutamyl-tRNA synthetase [Micractinium conductrix]
OG0001248	QAXK01010718.1_75-1989	PSC70281.1 E3 ubiquitin-ligase UPL3-like isoform B [Micractinium conductrix], PSC70280.1 E3 ubiquitin-ligase UPL3-like isoform A [Micractinium conductrix]
OG0001264	QAXK01001653.1_329-2259	PSC72101.1 tropinone reductase-like protein [Micractinium conductrix]
OG0001279	QAXK01000624.1_32528-30577	PSC76678.1 Cyclic nucleotide-gated ion channel 1 [Micractinium conductrix]
OG0001307	QAXK01005917.1_319-7230	PSC69084.1 magnesium chelatase subunit H isoform A [Micractinium conductrix]
OG0001308	QAXK01006084.1_8922-13556	PSC72151.1 prolyl-tRNA synthetase [Micractinium conductrix]
OG0001309	QAXK01004533.1_5070-10667	PSC72123.1 putative splicing factor 3A subunit 1 [Micractinium conductrix]
OG0001310	QAXK01002895.1_5020-6663	PSC69138.1 Serine-threonine kinase receptor-associated [Micractinium conductrix]
OG0001311	QAXK01001613.1_2521-6885	PSC72180.1 AP-4 complex subunit epsilon [Micractinium conductrix]
OG0001312	QAXK01003510.1_1900-3653	PSC68794.1 DNA-directed RNA polymerases I and III subunit RPAC1 [Micractinium conductrix]
OG0001313	QAXK01001184.1_9548-5781	PSC72140.1 phosphoacetylglucosamine mutase [Micractinium conductrix]
OG0001314	QAXK01001944.1_3765-1753	PSC72268.1 tetratricopeptide repeat 4-like protein [Micractinium conductrix]
OG0001316	QAXK01006921.1_16832-14836	PSC74340.1 Chaperone dnaJ 13 isoform A [Micractinium conductrix], PSC74339.1 Chaperone dnaJ 13 isoform B [Micractinium conductrix]
OG0001317	QAXK01010058.1_4279-1636	PSC67181.1 proliferation-associated 2G4 [Micractinium conductrix], PSC67177.1 proliferation-associated 2G4 [Micractinium conductrix], PSC67049.1 proliferation-associated 2G4-like [Micractinium conductrix], PSC67649.1 proliferation-associated 2G4 [Micractinium conductrix]
OG0001318	QAXK01001801.1_7866-9916	PSC70338.1 tyrosine-tRNA cytoplasmic-like [Micractinium conductrix]
OG0001320	QAXK01000167.1_14384-11911	PSC74309.1 DNA primase large subunit [Micractinium conductrix], PSC74333.1 putative DNA primase large subunit [Micractinium conductrix]
OG0001328	QAXK01006882.1_17133-19836	PSC76271.1 tryptophan synthase beta chain 1 [Micractinium conductrix]
OG0001331	QAXK01009171.1_15170-12352	PSC76567.1 glycosyltransferase family 32 [Micractinium conductrix], PSC76571.1 glycosyltransferase family 32 [Micractinium conductrix]
OG0001332	QAXK01004338.1_10706-15436	PSC76421.1 eukaryotic translation initiation factor 3 subunit L-like [Micractinium conductrix]
OG0001334	QAXK01003133.1_258-4577	PSC76969.1 DEAD-box ATP-dependent RNA helicase 13 [Micractinium conductrix]
OG0001338	QAXK01002293.1_4021-8056	PSC75305.1 carbon catabolite repressor 4-like protein 1 [Micractinium conductrix]
OG0001340	QAXK01004523.1_6228-4685	PSC71802.1 Diaminopimelate chloroplastic [Micractinium conductrix]
OG0001342	QAXK01003268.1_11937-16935	PSC72970.1 NPL4 1 [Micractinium conductrix]
OG0001343	QAXK01000799.1_6873-2057	PSC76155.1 Gamma-tubulin complex component 2 [Micractinium conductrix]
OG0001353	QAXK01011632.1_4873-7912	PSC69405.1 D-amino-acid chloroplastic-like [Micractinium conductrix]
OG0001356	QAXK01003307.1_27135-26267	PSC74315.1 Fanconi anemia group M isoform X1 [Micractinium conductrix]
OG0001360	QAXK01001741.1_6153-8648	PSC75633.1 bifunctional 3-dehydroquinate dehydratase shikimate dehydrogenase_ chloroplastic-like [Micractinium conductrix]
OG0001363	QAXK01003747.1_13973-10331	PSC73094.1 prolyl-tRNA synthetase [Micractinium conductrix]
OG0001365	QAXK01000515.1_20837-25236	PSC71050.1 ARM REPEAT PROTEIN INTERACTING WITH ABF2-like isoform A [Micractinium conductrix], PSC71051.1 ARM REPEAT PROTEIN INTERACTING WITH ABF2-like isoform B [Micractinium conductrix]
OG0001366	QAXK01004846.1_20461-19235	PSC72714.1 IMPACT isoform X1 [Micractinium conductrix]
OG0001370	QAXK01000381.1_4423-6771	PSC70608.1 3-dehydroquinate synthase [Micractinium conductrix]
OG0001374	QAXK01013224.1_5335-6988	PSC74239.1 ADP-ribosylation factor 8 [Micractinium conductrix]
OG0001375	QAXK01005120.1_8361-10056	PSC71119.1 Rae1 [Micractinium conductrix]
OG0001376	QAXK01019935.1_413-1820	PSC75073.1 ubiquitin-conjugating enzyme E2 32 [Micractinium conductrix]
OG0001381	QAXK01000172.1_6135-2748	PSC72879.1 aggrecan core [Micractinium conductrix], PSC70599.1 argininosuccinate lyase [Micractinium conductrix]
OG0001382	QAXK01001066.1_8917-1138	PSC74142.1 structural maintenance of chromosomes 2-1-like [Micractinium conductrix]
OG0001383	QAXK01003326.1_3639-1243	PSC74003.1 DNA gyrase subunit A [Micractinium conductrix]
OG0001385	QAXK01005279.1_10173-5871	PSC70487.1 DNA topoisomerase 6 subunit B isoform A [Micractinium conductrix], PSC70486.1 DNA topoisomerase 6 subunit B isoform B [Micractinium conductrix]
OG0001388	QAXK01001208.1_10635-13964	PSC71287.1 DEAD-box ATP-dependent RNA helicase 29 [Micractinium conductrix]
OG0001393	QAXK01005917.1_17047-13738	PSC69314.1 cyclin-dependent kinase C-2-like isoform B [Micractinium conductrix], PSC69315.1 cyclin-dependent kinase C-2-like isoform A [Micractinium conductrix]
OG0001397	QAXK01000502.1_39339-43298	PSC69662.1 suppressor of mec-8 and unc-52-like protein 1 isoform A [Micractinium conductrix], PSC69661.1 suppressor of mec-8 and unc-52-like protein 1 isoform B [Micractinium conductrix]
OG0001398	QAXK01003277.1_3770-8	PSC68209.1 cysteine desulfurase chloroplastic-like [Micractinium conductrix]
OG0001400	QAXK01001993.1_28544-29840	PSC73498.1 Coiled-coil domain-containing 25 [Micractinium conductrix]
OG0001401	QAXK01010276.1_2943-1867	PSC75971.1 PITH domain-containing protein [Micractinium conductrix]
OG0001406	QAXK01000595.1_2983-1676	PSC69052.1 Proteasome subunit beta type-5-B [Micractinium conductrix]
OG0001408	QAXK01000367.1_8675-18356	PSC71723.1 exportin-1-like isoform X2 [Micractinium conductrix]
OG0001409	QAXK01004930.1_4250-5628	PSC69600.1 S-adenosyl-L-methionine-dependent [Micractinium conductrix]
OG0001417	QAXK01005381.1_315-2273	PSC70973.1 threonine synthase [Micractinium conductrix]
OG0001420	QAXK01000297.1_21777-22493	PSC67932.1 14 kDa zinc-binding isoform A [Micractinium conductrix], PSC67931.1 14 kDa zinc-binding isoform B [Micractinium conductrix]
OG0001424	QAXK01001628.1_9434-11057	PSC70990.1 homoserine kinase [Micractinium conductrix], PSC67769.1 homoserine kinase [Micractinium conductrix]
OG0001425	QAXK01003581.1_2363-4183	PSC67532.1 anthranilate synthase component II [Micractinium conductrix]
OG0001426	QAXK01005880.1_1-9276	PSC73537.1 pre-mRNA-processing-splicing factor 8 [Micractinium conductrix]
OG0001428	QAXK01000837.1_14096-17956	PSC76771.1 putative transmembrane GTPase FZO-chloroplastic [Micractinium conductrix]
OG0001431	QAXK01013424.1_6153-1945	PSC67405.1 Quino amine beta chain-like RIC1-like guanyl-nucleotide exchange factor [Micractinium conductrix]
OG0001432	QAXK01000224.1_16848-15439	PSC71314.1 adrenodoxin mitochondrial isoform A [Micractinium conductrix], PSC71313.1 adrenodoxin mitochondrial isoform B [Micractinium conductrix]
OG0001445	QAXK01000732.1_11950-7418	PSC69229.1 Nucleolar GTP-binding 1 [Micractinium conductrix]
OG0001455	QAXK01001576.1_5934-8651	PSC76848.1 carotene epsilon-chloroplastic [Micractinium conductrix]
OG0001456	QAXK01006785.1_1906-1226	PSC74832.1 pre-mRNA-processing 40A [Micractinium conductrix]
OG0001460	QAXK01015424.1_3358-1233	PSC76987.1 50S ribosomal chloroplastic [Micractinium conductrix]
OG0001462	QAXK01002112.1_6014-14709	PSC76172.1 transport SEC31-like protein B isoform A [Micractinium conductrix], PSC76171.1 transport SEC31-like protein B isoform B [Micractinium conductrix]
OG0001465	QAXK01006322.1_7890-11183	PSC75675.1 Dihydroorotate dehydrogenase _quinone__ mitochondrial isoform B [Micractinium conductrix], PSC75676.1 Dihydroorotate dehydrogenase _quinone__ mitochondrial isoform A [Micractinium conductrix]
OG0001469	QAXK01007783.1_10721-12010	PSC75943.1 peroxisome biogenesis factor 10 [Micractinium conductrix]
OG0001473	QAXK01003650.1_4575-2929	PSC73333.1 dna-binding horma domain-containing [Micractinium conductrix]
OG0001476	QAXK01001134.1_7136-9582	PSC76084.1 Conserved oligomeric Golgi complex subunit 6 [Micractinium conductrix]
OG0001477	QAXK01003160.1_17527-15091	PSC73250.1 A G-specific adenine DNA glycosylase [Micractinium conductrix]
OG0001480	QAXK01000632.1_24086-22557	PSC76147.1 putative mitochondrial intermediate mitochondrial [Micractinium conductrix]
OG0001482	QAXK01000159.1_14204-11398	PSC72085.1 non-discriminatory gln-glu-trna synthetase [Micractinium conductrix]
OG0001488	QAXK01004286.1_7784-2904	PSC74028.1 ubiquitin carboxyl-terminal hydrolase 5 isoform X1 [Micractinium conductrix]
OG0001492	QAXK01003809.1_2040-4733	PSC72172.1 NAD_P_-binding Rossmann-fold superfamily [Micractinium conductrix]
OG0001493	QAXK01001201.1_5367-10319	PSC67480.1 Ribonucleoside-diphosphate reductase large subunit [Micractinium conductrix]
OG0001503	QAXK01001163.1_27767-28960	PSC76738.1 CF0 ATP synthase subunit II precursor [Micractinium conductrix]
OG0001506	QAXK01000137.1_3425-4331	PSC75204.1 50S ribosomal chloroplastic [Micractinium conductrix]
OG0001508	QAXK01001982.1_904-3015	PSC69458.1 Nucleolar 14 isoform A [Micractinium conductrix], PSC69457.1 Nucleolar 14 isoform B [Micractinium conductrix]
OG0001514	QAXK01003231.1_16625-14068	PSC72024.1 Cytochrome c1-heme mitochondrial [Micractinium conductrix]
OG0001526	QAXK01019948.1_5388-2969	PSC74796.1 aspartate-tRNA ligase [Micractinium conductrix]
OG0001527	QAXK01013863.1_4654-1867	PSC67294.1 Pre-mRNA-splicing factor 38B [Micractinium conductrix]
OG0001528	QAXK01000325.1_37384-41123	PSC72487.1 Nucleolar 10 [Micractinium conductrix]
OG0001529	QAXK01004092.1_4427-5291	PSC70583.1 60S ribosome subunit biogenesis NIP7 [Micractinium conductrix]
OG0001532	QAXK01000782.1_11007-12134	PSC68817.1 hypothetical protein C2E20_7624 [Micractinium conductrix], PSC67055.1 hypothetical protein C2E20_9274 [Micractinium conductrix]
OG0001533	QAXK01000265.1_17007-12444	PSC73273.1 splicing factor 3A subunit 3 [Micractinium conductrix]
OG0001534	QAXK01000695.1_5671-2183	PSC69389.1 ATP-dependent RNA helicase dhx8 [Micractinium conductrix]
OG0001538	QAXK01009353.1_4260-348	PSC70890.1 COP9 signalosome complex subunit 1 [Micractinium conductrix]
OG0001542	QAXK01011884.1_2510-4036	PSC75562.1 ALA-interacting subunit 3 [Micractinium conductrix]
OG0001544	QAXK01002332.1_5291-4007	PSC76276.1 thiamine pyrophosphokinase1 [Micractinium conductrix]
OG0001545	QAXK01000350.1_22889-27018	PSC71522.1 arginine N-methyltransferase [Micractinium conductrix], PSC71639.1 arginine N-methyltransferase [Micractinium conductrix]
OG0001546	QAXK01011857.1_1226-3209	PSC71008.1 Glycoprotease 1 isoform 1 [Micractinium conductrix]
OG0001548	QAXK01001795.1_1688-3314	PSC68537.1 DUF3531 domain-containing [Micractinium conductrix]
OG0001549	QAXK01005406.1_4717-2509	PSC68752.1 H ACA ribonucleo complex subunit 4 [Micractinium conductrix], PSC74781.1 H ACA ribonucleo complex subunit 4 [Micractinium conductrix]
OG0001550	QAXK01004537.1_7009-1449	PSC68525.1 ABC transporter E family member 2 [Micractinium conductrix]
OG0001551	QAXK01006072.1_19473-19787	PSC76515.1 regulation of nuclear pre-mRNA domain-containing 1B-like isoform B [Micractinium conductrix], PSC76516.1 regulation of nuclear pre-mRNA domain-containing 1B-like isoform A [Micractinium conductrix]
OG0001554	QAXK01001638.1_7681-11612	PSC71409.1 hypothetical protein C2E20_5335 [Micractinium conductrix]
OG0001561	QAXK01003228.1_3995-6597	PSC74685.1 U4 U6 small nuclear ribonucleo Prp3-like [Micractinium conductrix]
OG0001562	QAXK01000869.1_5647-9196	PSC71260.1 glutamate-rich WD repeat-containing 1-like [Micractinium conductrix]
OG0001571	QAXK01005898.1_15715-20620	PSC74516.1 Kinesin-II 95 kDa subunit [Micractinium conductrix]
OG0001573	QAXK01001714.1_23807-22483	PSC76020.1 alpha beta-hydrolase [Micractinium conductrix]
OG0001575	QAXK01006456.1_5116-6698	PSC75967.1 Methionine aminopeptidase 1D_ chloroplastic mitochondrial [Micractinium conductrix]
OG0001576	QAXK01003511.1_8584-2188	PSC73392.1 Glyoxysomal fatty acid beta-oxidation multifunctional MFP-a [Micractinium conductrix], PSC67634.1 T9SS C-terminal target domain-containing [Micractinium conductrix]
OG0001579	QAXK01000149.1_3007-205	PSC68452.1 tubulin gamma-2 chain [Micractinium conductrix], PSC68445.1 tubulin gamma-2 chain [Micractinium conductrix]
OG0001581	QAXK01003468.1_8146-4525	PSC70570.1 cysteine desulfurase [Micractinium conductrix]
OG0001582	QAXK01003110.1_3669-4960	PSC67363.1 SNF1-related kinase regulatory subunit beta-2 isoform B [Micractinium conductrix], PSC67364.1 SNF1-related kinase regulatory subunit beta-2 isoform A [Micractinium conductrix]
OG0001592	QAXK01004995.1_4321-153	PSC67240.1 AMP deaminase isoform B [Micractinium conductrix], PSC67241.1 AMP deaminase isoform A [Micractinium conductrix]
OG0001595	QAXK01003821.1_4511-8191	PSC67942.1 DEAD-box ATP-dependent RNA helicase 38 isoform A [Micractinium conductrix], PSC67943.1 DEAD-box ATP-dependent RNA helicase 38 isoform B [Micractinium conductrix]
OG0001599	QAXK01001163.1_31234-32344	PSC68198.1 CPLD51 required for cyt b6 assembly [Micractinium conductrix], PSC67328.1 CPLD51 required for cyt b6 assembly [Micractinium conductrix], PSC67100.1 hypothetical protein C2E20_9217 [Micractinium conductrix]
OG0001602	QAXK01009112.1_2932-1649	PSC72926.1 translation factor-like [Micractinium conductrix]
OG0001606	QAXK01001551.1_37852-43451	PSC74911.1 Cysteinyl-tRNA synthetase [Micractinium conductrix]
OG0001618	QAXK01003579.1_4454-5700	PSC73775.1 beta-hydroxyacyl-ACP dehydratase [Micractinium conductrix]
OG0001620	QAXK01004906.1_4885-7564	PSC71659.1 kinase [Micractinium conductrix]
OG0001624	QAXK01001935.1_7191-6190	PSC76300.1 peroxisomal membrane 13 isoform B [Micractinium conductrix], PSC76299.1 peroxisomal membrane 13 isoform C [Micractinium conductrix], PSC76301.1 peroxisomal membrane 13 isoform A [Micractinium conductrix]
OG0001625	QAXK01008598.1_11627-10467	PSC70073.1 pyridoxamine 5 -phosphate oxidase isoform B [Micractinium conductrix], PSC70074.1 pyridoxamine 5 -phosphate oxidase isoform A [Micractinium conductrix]
OG0001666	QAXK01000648.1_7716-3949	PSC72061.1 transketolase [Micractinium conductrix]
OG0001670	QAXK01001801.1_20671-18627	PSC67716.1 glutamate-1-semialdehyde aminotransferase [Micractinium conductrix]
OG0001676	QAXK01000084.1_15952-9180	PSC74648.1 transportin-1 isoform X1 [Micractinium conductrix]
OG0001677	QAXK01006154.1_7199-4782	PSC77045.1 Cyclic pyranopterin monophosphate mitochondrial [Micractinium conductrix]
OG0001679	QAXK01005586.1_4660-3715	PSC74310.1 mitochondrial glyco [Micractinium conductrix]
OG0001681	QAXK01003694.1_10054-1111	PSC73466.1 putative phosphoribosylformylglycinamidine chloroplastic mitochondrial [Micractinium conductrix]
OG0001683	QAXK01005873.1_4902-1877	PSC74301.1 nifU chloroplastic [Micractinium conductrix]
OG0001684	QAXK01001160.1_46203-44172	PSC74431.1 Eukaryotic translation initiation factor 4G [Micractinium conductrix]
OG0001686	QAXK01001518.1_29154-38461	PSC73488.1 clathrin heavy chain [Micractinium conductrix]
OG0001687	QAXK01011350.1_4968-4302	PSC67263.1 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 [Micractinium conductrix]
OG0001689	QAXK01000325.1_49285-50693	PSC76278.1 Proteasome subunit beta type-7-A [Micractinium conductrix]
OG0001691	QAXK01009543.1_7053-9512	PSC71755.1 D-lactate dehydrogenase [Micractinium conductrix]
OG0001694	QAXK01004860.1_550-2257	PSC67646.1 MAK16-like protein A [Micractinium conductrix]
OG0001698	QAXK01011739.1_15998-17366	PSC70606.1 putative transaldolase [Micractinium conductrix]
OG0001700	QAXK01001944.1_5351-7976	PSC72131.1 heat shock 70 kDa 4 [Micractinium conductrix]
OG0001702	QAXK01000864.1_61145-62900	PSC69538.1 biotin synthase [Micractinium conductrix]
OG0001703	QAXK01003602.1_34329-32576	PSC71269.1 DNA polymerase alpha subunit B [Micractinium conductrix]
OG0001704	QAXK01008991.1_236-2513	PSC76664.1 transmembrane CLPTM1 family [Micractinium conductrix]
OG0001705	QAXK01002478.1_7313-12188	PSC74260.1 aspartate-tRNA cytoplasmic [Micractinium conductrix]
OG0001709	QAXK01018148.1_4196-2780	PSC69533.1 Ankyrin repeat [Micractinium conductrix]
OG0001712	QAXK01008136.1_3960-6111	PSC73669.1 60S ribosomal L13a-2-like [Micractinium conductrix]
OG0001713	QAXK01001137.1_1588-5821	PSC70717.1 putative lysine-tRNA cytoplasmic [Micractinium conductrix]
OG0001714	QAXK01014632.1_3916-2466	PSC75777.1 hypothetical protein C2E20_1315 isoform X1 [Micractinium conductrix]
OG0001715	QAXK01004338.1_24179-21163	PSC67794.1 bifunctional dihydrofolate reductase-thymidylate synthase_ partial [Micractinium conductrix]
OG0001716	QAXK01000646.1_3437-2178	PSC75624.1 hypothetical protein C2E20_1034 [Micractinium conductrix]
OG0001719	QAXK01013811.1_5298-9155	PSC76724.1 T-complex 1 subunit zeta [Micractinium conductrix]
OG0001724	QAXK01006565.1_2429-269	PSC71671.1 methyltransferase 5 [Micractinium conductrix]
OG0001728	QAXK01001807.1_1026-15	PSC75668.1 40S ribosomal S19-1 [Micractinium conductrix]
OG0001729	QAXK01006338.1_1051-28	PSC75055.1 heat shock 40 kDa [Micractinium conductrix]
