Orthogroup	Scenedesmus_NREL	Auxenochlorella_protothecoides
OG0001066	KAF6265928.1 hypothetical protein COO60DRAFT_1633330 [Scenedesmus sp. NREL 46B-D3]	RMZ52301.1 hypothetical protein APUTEX25_001691 [Auxenochlorella protothecoides]
OG0001067	KAF6257127.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6257126.1 hypothetical protein COO60DRAFT_1701976 [Scenedesmus sp. NREL 46B-D3], KAF6255498.1 hypothetical protein COO60DRAFT_1702818 [Scenedesmus sp. NREL 46B-D3]	RMZ52311.1 hypothetical protein APUTEX25_005064 [Auxenochlorella protothecoides]
OG0001068	KAF6265604.1 hypothetical protein COO60DRAFT_1623787 [Scenedesmus sp. NREL 46B-D3], KAF6265615.1 Nse4 C-terminal-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250413.1 Nse4 C-terminal-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ52322.1 hypothetical protein APUTEX25_005075_ partial [Auxenochlorella protothecoides]
OG0001069	KAF6266550.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ52337.1 hypothetical protein APUTEX25_005090 [Auxenochlorella protothecoides]
OG0001070	KAF6258348.1 Transglutaminase-like superfamily-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ52392.1 hypothetical protein APUTEX25_000667 [Auxenochlorella protothecoides]
OG0001072	KAF6264611.1 hypothetical protein COO60DRAFT_73335 [Scenedesmus sp. NREL 46B-D3], KAF6264612.1 NUC121 domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ52401.1 hypothetical protein APUTEX25_000676 [Auxenochlorella protothecoides]
OG0001073	KAF6254715.1 hypothetical protein COO60DRAFT_1703205 [Scenedesmus sp. NREL 46B-D3], KAF6250394.1 hypothetical protein COO60DRAFT_858686 [Scenedesmus sp. NREL 46B-D3]	RMZ52446.1 hypothetical protein APUTEX25_000025 [Auxenochlorella protothecoides]
OG0001074	KAF6257969.1 S-adenosyl-L-methionine synthetase [Scenedesmus sp. NREL 46B-D3], KAF6261472.1 S-adenosylmethionine synthase [Scenedesmus sp. NREL 46B-D3]	RMZ52465.1 hypothetical protein APUTEX25_000044 [Auxenochlorella protothecoides]
OG0001075	KAF6260485.1 hypothetical protein COO60DRAFT_893457 [Scenedesmus sp. NREL 46B-D3], KAF6260475.1 peroxisomal biogenesis factor 11-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6260492.1 peroxisomal biogenesis factor 11 [Scenedesmus sp. NREL 46B-D3]	RMZ52493.1 hypothetical protein APUTEX25_003636 [Auxenochlorella protothecoides]
OG0001076	KAF6259463.1 hypothetical protein COO60DRAFT_1011290 [Scenedesmus sp. NREL 46B-D3]	RMZ52511.1 hypothetical protein APUTEX25_003654 [Auxenochlorella protothecoides], RMZ54710.1 hypothetical protein APUTEX25_003088 [Auxenochlorella protothecoides]
OG0001077	KAF6266161.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	RMZ52520.1 hypothetical protein APUTEX25_003663 [Auxenochlorella protothecoides], RMZ56142.1 hypothetical protein APUTEX25_004566_ partial [Auxenochlorella protothecoides]
OG0001078	KAF6248985.1 hypothetical protein COO60DRAFT_1289142 [Scenedesmus sp. NREL 46B-D3], KAF6248984.1 hypothetical protein COO60DRAFT_1007444 [Scenedesmus sp. NREL 46B-D3], KAF6260769.1 Not1 N-terminal domain_ CCR4-Not complex component-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ52548.1 hypothetical protein APUTEX25_003691 [Auxenochlorella protothecoides]
OG0001079	KAF6257385.1 fumble-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257411.1 fumble-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ52550.1 hypothetical protein APUTEX25_003693_ partial [Auxenochlorella protothecoides]
OG0001080	KAF6254560.1 histidine phosphatase superfamily-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263760.1 histidine phosphatase superfamily-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ52572.1 hypothetical protein APUTEX25_003715_ partial [Auxenochlorella protothecoides]
OG0001081	KAF6262004.1 hypothetical protein COO60DRAFT_703437 [Scenedesmus sp. NREL 46B-D3]	RMZ52592.1 hypothetical protein APUTEX25_000711 [Auxenochlorella protothecoides]
OG0001082	KAF6260362.1 hypothetical protein COO60DRAFT_900351 [Scenedesmus sp. NREL 46B-D3]	RMZ57010.1 hypothetical protein APUTEX25_002242 [Auxenochlorella protothecoides]
OG0001082	KAF6260361.1 ATP synthase [Scenedesmus sp. NREL 46B-D3]	RMZ52603.1 hypothetical protein APUTEX25_000722 [Auxenochlorella protothecoides]
OG0001083	KAF6256988.1 hypothetical protein COO60DRAFT_47816 [Scenedesmus sp. NREL 46B-D3], KAF6256987.1 hypothetical protein COO60DRAFT_1526169 [Scenedesmus sp. NREL 46B-D3], KAF6258640.1 hypothetical protein COO60DRAFT_1626360 [Scenedesmus sp. NREL 46B-D3]	RMZ52636.1 hypothetical protein APUTEX25_000755 [Auxenochlorella protothecoides]
OG0001084	KAF6260076.1 hypothetical protein COO60DRAFT_1700525 [Scenedesmus sp. NREL 46B-D3]	RMZ52699.1 hypothetical protein APUTEX25_000818 [Auxenochlorella protothecoides]
OG0001085	KAF6251364.1 Caleosin related protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6259149.1 Caleosin related protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ52703.1 hypothetical protein APUTEX25_000822 [Auxenochlorella protothecoides]
OG0001086	KAF6255667.1 hypothetical protein COO60DRAFT_1272383 [Scenedesmus sp. NREL 46B-D3], KAF6255670.1 hypothetical protein COO60DRAFT_192043 [Scenedesmus sp. NREL 46B-D3]	RMZ52729.1 hypothetical protein APUTEX25_000848 [Auxenochlorella protothecoides]
OG0001087	KAF6260333.1 hypothetical protein COO60DRAFT_1459686 [Scenedesmus sp. NREL 46B-D3]	RMZ52737.1 hypothetical protein APUTEX25_000856_ partial [Auxenochlorella protothecoides]
OG0001088	KAF6262745.1 ribosomal protein L18A component of cytosolic 80S ribosome and 60S large subunit [Scenedesmus sp. NREL 46B-D3]	RMZ52818.1 hypothetical protein APUTEX25_000937 [Auxenochlorella protothecoides]
OG0001089	KAF6264686.1 hypothetical protein COO60DRAFT_1634287 [Scenedesmus sp. NREL 46B-D3]	RMZ52839.1 hypothetical protein APUTEX25_000958_ partial [Auxenochlorella protothecoides], RMZ52821.1 hypothetical protein APUTEX25_000940 [Auxenochlorella protothecoides]
OG0001091	KAF6256456.1 hypothetical protein COO60DRAFT_1702321 [Scenedesmus sp. NREL 46B-D3]	RMZ52900.1 hypothetical protein APUTEX25_001019_ partial [Auxenochlorella protothecoides]
OG0001092	KAF6257915.1 hypothetical protein COO60DRAFT_1639598 [Scenedesmus sp. NREL 46B-D3], KAF6252503.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6241927.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252504.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	RMZ52908.1 hypothetical protein APUTEX25_001027_ partial [Auxenochlorella protothecoides]
OG0001093	KAF6258050.1 hypothetical protein COO60DRAFT_1701519 [Scenedesmus sp. NREL 46B-D3], KAF6262397.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3]	RMZ52919.1 hypothetical protein APUTEX25_001038_ partial [Auxenochlorella protothecoides], RMZ54056.1 hypothetical protein APUTEX25_002633_ partial [Auxenochlorella protothecoides]
OG0001094	KAF6266742.1 hypothetical protein COO60DRAFT_11231 [Scenedesmus sp. NREL 46B-D3], KAF6266747.1 putative galactose kinase [Scenedesmus sp. NREL 46B-D3]	RMZ52925.1 hypothetical protein APUTEX25_001044 [Auxenochlorella protothecoides]
OG0001095	KAF6261468.1 hypothetical protein COO60DRAFT_774232 [Scenedesmus sp. NREL 46B-D3], KAF6261490.1 eukaryotic translation initiation factor 5 [Scenedesmus sp. NREL 46B-D3]	RMZ52936.1 hypothetical protein APUTEX25_001055 [Auxenochlorella protothecoides]
OG0001096	KAF6253902.1 putative MND1 domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ52948.1 hypothetical protein APUTEX25_001067 [Auxenochlorella protothecoides]
OG0001097	KAF6259474.1 flagellar associated protein [Scenedesmus sp. NREL 46B-D3], KAF6251066.1 Cilia/flagella-associated protein 20/WDR90/C3orf67 [Scenedesmus sp. NREL 46B-D3], KAF6255993.1 gene trap locus 3 [Scenedesmus sp. NREL 46B-D3]	RMZ52955.1 hypothetical protein APUTEX25_001074 [Auxenochlorella protothecoides]
OG0001098	KAF6251114.1 hypothetical protein COO60DRAFT_1471642 [Scenedesmus sp. NREL 46B-D3]	RMZ52961.1 hypothetical protein APUTEX25_001080_ partial [Auxenochlorella protothecoides]
OG0001099	KAF6253922.1 DNA-directed RNA polymerase II_ 36 kDa polypeptide [Scenedesmus sp. NREL 46B-D3]	RMZ52989.1 hypothetical protein APUTEX25_001108_ partial [Auxenochlorella protothecoides]
OG0001100	KAF6254037.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256795.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256796.1 acyl transferase/acyl hydrolase/lysophospholipase [Scenedesmus sp. NREL 46B-D3]	RMZ52998.1 hypothetical protein APUTEX25_001117_ partial [Auxenochlorella protothecoides]
OG0001101	KAF6253322.1 eukaryotic translation initiation factor 3_ subunit 7 [Scenedesmus sp. NREL 46B-D3]	RMZ53044.1 hypothetical protein APUTEX25_001163_ partial [Auxenochlorella protothecoides]
OG0001102	KAF6255889.1 hypothetical protein COO60DRAFT_1702588 [Scenedesmus sp. NREL 46B-D3], KAF6254932.1 hypothetical protein COO60DRAFT_273403 [Scenedesmus sp. NREL 46B-D3]	RMZ53105.1 hypothetical protein APUTEX25_002514_ partial [Auxenochlorella protothecoides]
OG0001103	KAF6252463.1 EMP/nonaspanin domain family protein [Scenedesmus sp. NREL 46B-D3], KAF6263028.1 EMP/nonaspanin domain family protein [Scenedesmus sp. NREL 46B-D3]	RMZ53125.1 hypothetical protein APUTEX25_005114 [Auxenochlorella protothecoides]
OG0001104	KAF6263030.1 arginine biosynthesis protein ArgJ [Scenedesmus sp. NREL 46B-D3]	RMZ53128.1 hypothetical protein APUTEX25_005117_ partial [Auxenochlorella protothecoides]
OG0001105	KAF6265837.1 hypothetical protein COO60DRAFT_1266128 [Scenedesmus sp. NREL 46B-D3]	RMZ53136.1 hypothetical protein APUTEX25_005125 [Auxenochlorella protothecoides]
OG0001106	KAF6254261.1 TIP-1 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53150.1 hypothetical protein APUTEX25_005139 [Auxenochlorella protothecoides]
OG0001107	KAF6265013.1 ribonuclease H-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53159.1 hypothetical protein APUTEX25_005148 [Auxenochlorella protothecoides]
OG0001108	KAF6253582.1 hypothetical protein COO60DRAFT_406260 [Scenedesmus sp. NREL 46B-D3]	RMZ53165.1 hypothetical protein APUTEX25_005154_ partial [Auxenochlorella protothecoides]
OG0001109	KAF6260733.1 hypothetical protein COO60DRAFT_1700187 [Scenedesmus sp. NREL 46B-D3]	RMZ53183.1 hypothetical protein APUTEX25_005172 [Auxenochlorella protothecoides]
OG0001110	KAF6252776.1 RmlC-like cupin domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53192.1 hypothetical protein APUTEX25_005181 [Auxenochlorella protothecoides]
OG0001111	KAF6251968.1 Nodulin-like-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53207.1 hypothetical protein APUTEX25_005196 [Auxenochlorella protothecoides]
OG0001112	KAF6259691.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3], KAF6259742.1 hypothetical protein COO60DRAFT_1625980 [Scenedesmus sp. NREL 46B-D3]	RMZ53218.1 hypothetical protein APUTEX25_005207_ partial [Auxenochlorella protothecoides]
OG0001113	KAF6254063.1 hypothetical protein COO60DRAFT_1462902 [Scenedesmus sp. NREL 46B-D3], KAF6257668.1 hypothetical protein COO60DRAFT_1207305 [Scenedesmus sp. NREL 46B-D3], KAF6265788.1 hypothetical protein COO60DRAFT_1633244 [Scenedesmus sp. NREL 46B-D3], KAF6252773.1 hypothetical protein COO60DRAFT_500902 [Scenedesmus sp. NREL 46B-D3], KAF6252775.1 hypothetical protein COO60DRAFT_501041 [Scenedesmus sp. NREL 46B-D3]	RMZ53255.1 hypothetical protein APUTEX25_005244_ partial [Auxenochlorella protothecoides]
OG0001114	KAF6260798.1 hypothetical protein COO60DRAFT_1504895 [Scenedesmus sp. NREL 46B-D3]	RMZ53308.1 hypothetical protein APUTEX25_004796 [Auxenochlorella protothecoides]
OG0001115	KAF6266566.1 membrane protein [Scenedesmus sp. NREL 46B-D3]	RMZ53342.1 hypothetical protein APUTEX25_004830 [Auxenochlorella protothecoides], RMZ55496.1 hypothetical protein APUTEX25_000079 [Auxenochlorella protothecoides]
OG0001116	KAF6260850.1 serine carboxypeptidase S28-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53349.1 hypothetical protein APUTEX25_004837_ partial [Auxenochlorella protothecoides]
OG0001118	KAF6260216.1 hypothetical protein COO60DRAFT_1283714 [Scenedesmus sp. NREL 46B-D3], KAF6256843.1 hypothetical protein COO60DRAFT_1471072 [Scenedesmus sp. NREL 46B-D3], KAF6262892.1 hypothetical protein COO60DRAFT_1493280 [Scenedesmus sp. NREL 46B-D3]	RMZ53375.1 hypothetical protein APUTEX25_004863_ partial [Auxenochlorella protothecoides]
OG0001119	KAF6256587.1 NUC091 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256589.1 hypothetical protein COO60DRAFT_91256 [Scenedesmus sp. NREL 46B-D3], KAF6258820.1 NUC091 domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53379.1 hypothetical protein APUTEX25_004867 [Auxenochlorella protothecoides]
OG0001120	KAF6258950.1 RNA polymerase subunit [Scenedesmus sp. NREL 46B-D3], KAF6255074.1 DNA-directed RNA polymerase [Scenedesmus sp. NREL 46B-D3]	RMZ53389.1 hypothetical protein APUTEX25_004877 [Auxenochlorella protothecoides]
OG0001121	KAF6265478.1 hypothetical protein COO60DRAFT_1633589 [Scenedesmus sp. NREL 46B-D3], KAF6261765.1 cell morphogenesis central region-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53415.1 hypothetical protein APUTEX25_004903_ partial [Auxenochlorella protothecoides]
OG0001122	KAF6260581.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	RMZ53429.1 hypothetical protein APUTEX25_004917_ partial [Auxenochlorella protothecoides], RMZ57149.1 hypothetical protein APUTEX25_003606_ partial [Auxenochlorella protothecoides]
OG0001123	KAF6264690.1 pre-mRNA splicing factor component-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53506.1 hypothetical protein APUTEX25_003328 [Auxenochlorella protothecoides]
OG0001124	KAF6255690.1 Ccc1 family [Scenedesmus sp. NREL 46B-D3], KAF6239468.1 VIT family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53522.1 hypothetical protein APUTEX25_003344 [Auxenochlorella protothecoides], RMZ54972.1 hypothetical protein APUTEX25_000489_ partial [Auxenochlorella protothecoides]
OG0001125	KAF6262221.1 isocitrate dehydrogenase_ NAD-dependent [Scenedesmus sp. NREL 46B-D3], KAF6251269.1 hypothetical protein COO60DRAFT_1561811_ partial [Scenedesmus sp. NREL 46B-D3]	RMZ53544.1 hypothetical protein APUTEX25_003366 [Auxenochlorella protothecoides]
OG0001126	KAF6264915.1 cobalamin-independent synthase [Scenedesmus sp. NREL 46B-D3]	RMZ53546.1 hypothetical protein APUTEX25_003368 [Auxenochlorella protothecoides]
OG0001127	KAF6252789.1 NAD-dependent glyceraldehyde-3-phosphate dehydrogenase [Scenedesmus sp. NREL 46B-D3]	RMZ53556.1 hypothetical protein APUTEX25_003378 [Auxenochlorella protothecoides]
OG0001128	KAF6259069.1 inhibitor of apoptosis-promoting Bax1-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53561.1 hypothetical protein APUTEX25_003383_ partial [Auxenochlorella protothecoides], RMZ54249.1 hypothetical protein APUTEX25_000600 [Auxenochlorella protothecoides]
OG0001129	KAF6252833.1 hypothetical protein COO60DRAFT_494236 [Scenedesmus sp. NREL 46B-D3]	RMZ53562.1 hypothetical protein APUTEX25_003384_ partial [Auxenochlorella protothecoides], RMZ56079.1 hypothetical protein APUTEX25_004503 [Auxenochlorella protothecoides]
OG0001130	KAF6251886.1 hypothetical protein COO60DRAFT_1556592 [Scenedesmus sp. NREL 46B-D3], KAF6266223.1 hypothetical protein COO60DRAFT_1280936 [Scenedesmus sp. NREL 46B-D3]	RMZ53568.1 hypothetical protein APUTEX25_003390_ partial [Auxenochlorella protothecoides]
OG0001131	KAF6251573.1 hypothetical protein COO60DRAFT_606754 [Scenedesmus sp. NREL 46B-D3]	RMZ53639.1 hypothetical protein APUTEX25_003173_ partial [Auxenochlorella protothecoides]
OG0001132	KAF6256498.1 Serine/arginine-rich splicing factor RSZ21A [Scenedesmus sp. NREL 46B-D3]	RMZ53666.1 hypothetical protein APUTEX25_003200 [Auxenochlorella protothecoides]
OG0001133	KAF6254630.1 translation elongation factor_ mitochondrial [Scenedesmus sp. NREL 46B-D3]	RMZ53758.1 hypothetical protein APUTEX25_003897 [Auxenochlorella protothecoides]
OG0001134	KAF6251732.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	RMZ53762.1 hypothetical protein APUTEX25_003901 [Auxenochlorella protothecoides]
OG0001135	KAF6262549.1 hypothetical protein COO60DRAFT_1624944_ partial [Scenedesmus sp. NREL 46B-D3], KAF6252242.1 hypothetical protein COO60DRAFT_1644208 [Scenedesmus sp. NREL 46B-D3], KAF6261864.1 hypothetical protein COO60DRAFT_711777 [Scenedesmus sp. NREL 46B-D3], KAF6252243.1 hypothetical protein COO60DRAFT_544342 [Scenedesmus sp. NREL 46B-D3], KAF6255268.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	RMZ53779.1 hypothetical protein APUTEX25_003918 [Auxenochlorella protothecoides]
OG0001137	KAF6252139.1 nucleotide-diphospho-sugar transferase [Scenedesmus sp. NREL 46B-D3], KAF6254097.1 nucleotide-diphospho-sugar transferase [Scenedesmus sp. NREL 46B-D3], KAF6255283.1 nucleotide-diphospho-sugar transferase [Scenedesmus sp. NREL 46B-D3]	RMZ53865.1 hypothetical protein APUTEX25_005611 [Auxenochlorella protothecoides]
OG0001138	KAF6253530.1 snare associated Golgi protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53951.1 hypothetical protein APUTEX25_002528 [Auxenochlorella protothecoides]
OG0001139	KAF6256143.1 nucleotide-diphospho-sugar transferase [Scenedesmus sp. NREL 46B-D3], KAF6260994.1 GDP-D-mannose pyrophosphorylase [Scenedesmus sp. NREL 46B-D3]	RMZ53965.1 hypothetical protein APUTEX25_002542 [Auxenochlorella protothecoides]
OG0001140	KAF6258483.1 hypothetical protein COO60DRAFT_1460658 [Scenedesmus sp. NREL 46B-D3], KAF6258484.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53966.1 hypothetical protein APUTEX25_002543_ partial [Auxenochlorella protothecoides]
OG0001142	KAF6251958.1 hypothetical protein COO60DRAFT_1556089 [Scenedesmus sp. NREL 46B-D3], KAF6252808.1 hypothetical protein COO60DRAFT_1704150 [Scenedesmus sp. NREL 46B-D3], KAF6265418.1 aspartate aminotransferase [Scenedesmus sp. NREL 46B-D3], KAF6259878.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]	RMZ53976.1 hypothetical protein APUTEX25_002553_ partial [Auxenochlorella protothecoides]
OG0001143	KAF6259027.1 hypothetical protein COO60DRAFT_1515824 [Scenedesmus sp. NREL 46B-D3]	RMZ53994.1 hypothetical protein APUTEX25_002571_ partial [Auxenochlorella protothecoides]
OG0001144	KAF6262497.1 autophagy protein [Scenedesmus sp. NREL 46B-D3], KAF6262496.1 Metalloenzyme_ LuxS/M16 peptidase-like protein [Scenedesmus sp. NREL 46B-D3]	RMZ54013.1 hypothetical protein APUTEX25_002590 [Auxenochlorella protothecoides]
OG0001145	KAF6252366.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	RMZ54044.1 hypothetical protein APUTEX25_002621 [Auxenochlorella protothecoides]
OG0001147	KAF6265995.1 signal peptide peptidase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ54175.1 hypothetical protein APUTEX25_005331 [Auxenochlorella protothecoides]
OG0001148	KAF6257459.1 ferredoxin-NADP reductase [Scenedesmus sp. NREL 46B-D3]	RMZ54181.1 hypothetical protein APUTEX25_005337_ partial [Auxenochlorella protothecoides]
OG0001149	KAF6259697.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253328.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ54206.1 hypothetical protein APUTEX25_005362_ partial [Auxenochlorella protothecoides]
OG0001150	KAF6253781.1 activator and specificity subunit of anaphase promoting complex [Scenedesmus sp. NREL 46B-D3], KAF6251981.1 activator and specificity subunit of anaphase promoting complex [Scenedesmus sp. NREL 46B-D3], KAF6260414.1 activator and specificity subunit of anaphase promoting complex [Scenedesmus sp. NREL 46B-D3]	RMZ54253.1 hypothetical protein APUTEX25_000604 [Auxenochlorella protothecoides]
OG0001151	KAF6251306.1 chlorophyll a oxygenase [Scenedesmus sp. NREL 46B-D3]	RMZ54255.1 hypothetical protein APUTEX25_000606 [Auxenochlorella protothecoides]
OG0001152	KAF6252279.1 hypothetical protein COO60DRAFT_1704362 [Scenedesmus sp. NREL 46B-D3]	RMZ54273.1 hypothetical protein APUTEX25_000624_ partial [Auxenochlorella protothecoides]
OG0001153	KAF6264335.1 hypothetical protein COO60DRAFT_176671 [Scenedesmus sp. NREL 46B-D3]	RMZ54312.1 hypothetical protein APUTEX25_001470 [Auxenochlorella protothecoides]
OG0001154	KAF6265118.1 hypothetical protein COO60DRAFT_1116131 [Scenedesmus sp. NREL 46B-D3]	RMZ54352.1 hypothetical protein APUTEX25_001928 [Auxenochlorella protothecoides]
OG0001155	KAF6260822.1 hypothetical protein COO60DRAFT_849275 [Scenedesmus sp. NREL 46B-D3]	RMZ54377.1 hypothetical protein APUTEX25_001953_ partial [Auxenochlorella protothecoides]
OG0001156	KAF6260396.1 hypothetical protein COO60DRAFT_1294458 [Scenedesmus sp. NREL 46B-D3], KAF6260398.1 hypothetical protein COO60DRAFT_901873 [Scenedesmus sp. NREL 46B-D3]	RMZ54381.1 hypothetical protein APUTEX25_001957_ partial [Auxenochlorella protothecoides]
OG0001158	KAF6252610.1 sulfite reductase [Scenedesmus sp. NREL 46B-D3]	RMZ54442.1 hypothetical protein APUTEX25_002018 [Auxenochlorella protothecoides]
OG0001159	KAF6251830.1 cytosol aminopeptidase family_ catalytic domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ54451.1 hypothetical protein APUTEX25_002027 [Auxenochlorella protothecoides]
OG0001160	KAF6262658.1 Isochorismatase-like protein [Scenedesmus sp. NREL 46B-D3]	RMZ55485.1 hypothetical protein APUTEX25_000068 [Auxenochlorella protothecoides], RMZ54452.1 hypothetical protein APUTEX25_002028 [Auxenochlorella protothecoides]
OG0001161	KAF6262163.1 hypothetical protein COO60DRAFT_1699448 [Scenedesmus sp. NREL 46B-D3], KAF6255364.1 hypothetical protein COO60DRAFT_215195 [Scenedesmus sp. NREL 46B-D3], KAF6262164.1 hypothetical protein COO60DRAFT_1497567 [Scenedesmus sp. NREL 46B-D3], KAF6240404.1 hypothetical protein COO60DRAFT_339150 [Scenedesmus sp. NREL 46B-D3]	RMZ54485.1 hypothetical protein APUTEX25_002061_ partial [Auxenochlorella protothecoides]
OG0001162	KAF6264947.1 UV-endonuclease UvdE-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ54493.1 hypothetical protein APUTEX25_002069 [Auxenochlorella protothecoides]
OG0001163	KAF6257968.1 DHS-like NAD/FAD-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ54518.1 hypothetical protein APUTEX25_002094 [Auxenochlorella protothecoides]
OG0001165	KAF6234312.1 GroES-like protein [Scenedesmus sp. NREL 46B-D3]	RMZ54564.1 hypothetical protein APUTEX25_002139 [Auxenochlorella protothecoides]
OG0001166	KAF6253380.1 hypothetical protein COO60DRAFT_1547236 [Scenedesmus sp. NREL 46B-D3], KAF6260140.1 hypothetical protein COO60DRAFT_1470735 [Scenedesmus sp. NREL 46B-D3], KAF6260136.1 glycoside hydrolase superfamily_ partial [Scenedesmus sp. NREL 46B-D3], KAF6260138.1 pyruvate kinase [Scenedesmus sp. NREL 46B-D3]	RMZ54569.1 hypothetical protein APUTEX25_002144_ partial [Auxenochlorella protothecoides]
OG0001167	KAF6251911.1 phosphate acetyltransferase [Scenedesmus sp. NREL 46B-D3], KAF6253656.1 phosphate acetyltransferase [Scenedesmus sp. NREL 46B-D3]	RMZ54573.1 hypothetical protein APUTEX25_002148_ partial [Auxenochlorella protothecoides]
OG0001168	KAF6251888.1 hypothetical protein COO60DRAFT_1556594 [Scenedesmus sp. NREL 46B-D3], KAF6253475.1 N-terminal asparagine amidohydrolase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ54636.1 hypothetical protein APUTEX25_003014 [Auxenochlorella protothecoides]
OG0001169	KAF6261732.1 hypothetical protein COO60DRAFT_1293753 [Scenedesmus sp. NREL 46B-D3]	RMZ54685.1 hypothetical protein APUTEX25_003063 [Auxenochlorella protothecoides]
OG0001171	KAF6254968.1 translation initiation factor eIF-2B subunit delta-like protein [Scenedesmus sp. NREL 46B-D3], KAF6254967.1 sarcaleumin-like protein [Scenedesmus sp. NREL 46B-D3]	RMZ54700.1 hypothetical protein APUTEX25_003078 [Auxenochlorella protothecoides]
OG0001172	KAF6260132.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	RMZ54721.1 hypothetical protein APUTEX25_003099_ partial [Auxenochlorella protothecoides]
OG0001173	KAF6261994.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	RMZ54809.1 hypothetical protein APUTEX25_000326 [Auxenochlorella protothecoides]
OG0001174	KAF6252859.1 catalase [Scenedesmus sp. NREL 46B-D3]	RMZ54876.1 hypothetical protein APUTEX25_000393_ partial [Auxenochlorella protothecoides]
OG0001175	KAF6259644.1 fumarate hydratase 2 [Scenedesmus sp. NREL 46B-D3]	RMZ54889.1 hypothetical protein APUTEX25_000406 [Auxenochlorella protothecoides]
OG0001176	KAF6248527.1 hypothetical protein COO60DRAFT_1706973 [Scenedesmus sp. NREL 46B-D3], KAF6255651.1 hypothetical protein COO60DRAFT_1296524 [Scenedesmus sp. NREL 46B-D3]	RMZ54898.1 hypothetical protein APUTEX25_000415 [Auxenochlorella protothecoides]
