Orthogroup	Scenedesmus_NREL	Chlorella_VariabilisNC64A
OG0000393	KAF6252062.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6250895.1 hypothetical protein COO60DRAFT_715656 [Scenedesmus sp. NREL 46B-D3]	XP_005851855.1 hypothetical protein CHLNCDRAFT_56546 [Chlorella variabilis], XP_005851853.1 hypothetical protein CHLNCDRAFT_133374 [Chlorella variabilis]
OG0000394	KAF6263084.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	XP_005852179.1 hypothetical protein CHLNCDRAFT_133375 [Chlorella variabilis]
OG0000395	KAF6262734.1 hypothetical protein COO60DRAFT_1674573 [Scenedesmus sp. NREL 46B-D3], KAF6254107.1 hypothetical protein COO60DRAFT_1642640 [Scenedesmus sp. NREL 46B-D3], KAF6262350.1 hypothetical protein COO60DRAFT_649798 [Scenedesmus sp. NREL 46B-D3], KAF6265682.1 hypothetical protein COO60DRAFT_1683935 [Scenedesmus sp. NREL 46B-D3], KAF6262351.1 hypothetical protein COO60DRAFT_649849 [Scenedesmus sp. NREL 46B-D3], KAF6263161.1 hypothetical protein COO60DRAFT_1624718 [Scenedesmus sp. NREL 46B-D3]	XP_005844816.1 hypothetical protein CHLNCDRAFT_138736 [Chlorella variabilis], XP_005844817.1 hypothetical protein CHLNCDRAFT_138738 [Chlorella variabilis], XP_005843985.1 hypothetical protein CHLNCDRAFT_54730 [Chlorella variabilis]
OG0000396	KAF6262530.1 aldehyde dehydrogenase domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005842757.1 hypothetical protein CHLNCDRAFT_37743_ partial [Chlorella variabilis], XP_005849041.1 hypothetical protein CHLNCDRAFT_143478 [Chlorella variabilis]
OG0000396	KAF6262529.1 CRAL-TRIO domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005844416.1 hypothetical protein CHLNCDRAFT_26961_ partial [Chlorella variabilis]
OG0000398	KAF6255964.1 hypothetical protein COO60DRAFT_1461903_ partial [Scenedesmus sp. NREL 46B-D3], KAF6251436.1 glycosyl transferase family 90-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005844515.1 hypothetical protein CHLNCDRAFT_138890 [Chlorella variabilis], XP_005851843.1 hypothetical protein CHLNCDRAFT_133347 [Chlorella variabilis]
OG0000398	KAF6256849.1 hypothetical protein COO60DRAFT_61380 [Scenedesmus sp. NREL 46B-D3], KAF6262589.1 hypothetical protein COO60DRAFT_598684 [Scenedesmus sp. NREL 46B-D3]	XP_005844213.1 hypothetical protein CHLNCDRAFT_139417 [Chlorella variabilis], XP_005843546.1 hypothetical protein CHLNCDRAFT_33034 [Chlorella variabilis]
OG0000404	KAF6259337.1 hypothetical protein COO60DRAFT_1015036 [Scenedesmus sp. NREL 46B-D3]	XP_005847137.1 hypothetical protein CHLNCDRAFT_24051 [Chlorella variabilis]
OG0000404	KAF6258709.1 lipoic acid synthetase [Scenedesmus sp. NREL 46B-D3], KAF6258720.1 hypothetical protein COO60DRAFT_1701205 [Scenedesmus sp. NREL 46B-D3]	XP_005848552.1 hypothetical protein CHLNCDRAFT_10627_ partial [Chlorella variabilis]
OG0000405	KAF6258830.1 aminotransferase [Scenedesmus sp. NREL 46B-D3]	XP_005845359.1 hypothetical protein CHLNCDRAFT_137177 [Chlorella variabilis]
OG0000405	KAF6256595.1 hypothetical protein COO60DRAFT_1627108 [Scenedesmus sp. NREL 46B-D3], KAF6258828.1 hypothetical protein COO60DRAFT_1638915 [Scenedesmus sp. NREL 46B-D3]	XP_005849429.1 hypothetical protein CHLNCDRAFT_143971 [Chlorella variabilis]
OG0000406	KAF6255410.1 hypothetical protein COO60DRAFT_1661632 [Scenedesmus sp. NREL 46B-D3]	XP_005846894.1 hypothetical protein CHLNCDRAFT_52747 [Chlorella variabilis]
OG0000407	KAF6254545.1 hypothetical protein COO60DRAFT_312479 [Scenedesmus sp. NREL 46B-D3]	XP_005842866.1 hypothetical protein CHLNCDRAFT_59450 [Chlorella variabilis]
OG0000407	KAF6262574.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005844175.1 hypothetical protein CHLNCDRAFT_32668 [Chlorella variabilis]
OG0000408	KAF6263152.1 SE-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005845028.1 hypothetical protein CHLNCDRAFT_137251 [Chlorella variabilis]
OG0000409	KAF6255950.1 phosphoenolpyruvate carboxykinase [Scenedesmus sp. NREL 46B-D3]	XP_005843995.1 hypothetical protein CHLNCDRAFT_139487 [Chlorella variabilis], XP_005844689.1 hypothetical protein CHLNCDRAFT_49080 [Chlorella variabilis], XP_005851829.1 hypothetical protein CHLNCDRAFT_56532 [Chlorella variabilis]
OG0000410	KAF6258753.1 hypothetical protein COO60DRAFT_1691460 [Scenedesmus sp. NREL 46B-D3], KAF6258744.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	XP_005842660.1 hypothetical protein CHLNCDRAFT_138759_ partial [Chlorella variabilis]
OG0000411	KAF6257110.1 hypothetical protein COO60DRAFT_1640210 [Scenedesmus sp. NREL 46B-D3]	XP_005851894.1 hypothetical protein CHLNCDRAFT_56579 [Chlorella variabilis], XP_005852225.1 expressed protein_ partial [Chlorella variabilis]
OG0000412	KAF6253511.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6253528.1 hypothetical protein COO60DRAFT_408782 [Scenedesmus sp. NREL 46B-D3]	XP_005843796.1 hypothetical protein CHLNCDRAFT_139944 [Chlorella variabilis]
OG0000412	KAF6259239.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	XP_005844481.1 hypothetical protein CHLNCDRAFT_26750_ partial [Chlorella variabilis]
OG0000413	KAF6258229.1 stearoyl-ACP desaturase [Scenedesmus sp. NREL 46B-D3], KAF6258230.1 stearoyl-ACP desaturase [Scenedesmus sp. NREL 46B-D3]	XP_005848353.1 hypothetical protein CHLNCDRAFT_35190 [Chlorella variabilis], XP_005849748.1 hypothetical protein CHLNCDRAFT_48629 [Chlorella variabilis]
OG0000414	KAF6261029.1 nucleotide-diphospho-sugar transferase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005852062.1 hypothetical protein CHLNCDRAFT_133059 [Chlorella variabilis], XP_005843950.1 hypothetical protein CHLNCDRAFT_37217 [Chlorella variabilis]
OG0000415	KAF6255755.1 thymocyte nuclear protein 1-like protein [Scenedesmus sp. NREL 46B-D3]	XP_005843073.1 hypothetical protein CHLNCDRAFT_28531 [Chlorella variabilis]
OG0000415	KAF6260853.1 hypothetical protein COO60DRAFT_838915 [Scenedesmus sp. NREL 46B-D3]	XP_005848408.1 hypothetical protein CHLNCDRAFT_144716 [Chlorella variabilis], XP_005846782.1 hypothetical protein CHLNCDRAFT_135296 [Chlorella variabilis]
OG0000416	KAF6257907.1 malate synthase [Scenedesmus sp. NREL 46B-D3], KAF6257910.1 hypothetical protein COO60DRAFT_1701618 [Scenedesmus sp. NREL 46B-D3]	XP_005851977.1 hypothetical protein CHLNCDRAFT_49305 [Chlorella variabilis], XP_005852109.1 hypothetical protein CHLNCDRAFT_133175 [Chlorella variabilis]
OG0000418	KAF6252523.1 hypothetical protein COO60DRAFT_1471478 [Scenedesmus sp. NREL 46B-D3]	XP_005849660.1 hypothetical protein CHLNCDRAFT_34770 [Chlorella variabilis]
OG0000418	KAF6262260.1 membrane AAA-metalloprotease [Scenedesmus sp. NREL 46B-D3]	XP_005850396.1 hypothetical protein CHLNCDRAFT_142278 [Chlorella variabilis]
OG0000419	KAF6257898.1 hypothetical protein COO60DRAFT_1175694 [Scenedesmus sp. NREL 46B-D3]	XP_005842770.1 hypothetical protein CHLNCDRAFT_28877_ partial [Chlorella variabilis]
OG0000419	KAF6253451.1 hypothetical protein COO60DRAFT_1643139 [Scenedesmus sp. NREL 46B-D3]	XP_005848192.1 hypothetical protein CHLNCDRAFT_145618 [Chlorella variabilis]
OG0000420	KAF6254499.1 ammonium transporter AmtB-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005852239.1 hypothetical protein CHLNCDRAFT_56592 [Chlorella variabilis], XP_005846324.1 hypothetical protein CHLNCDRAFT_36096 [Chlorella variabilis]
OG0000421	KAF6266151.1 light-harvesting complex I protein [Scenedesmus sp. NREL 46B-D3]	XP_005846968.1 hypothetical protein CHLNCDRAFT_134943 [Chlorella variabilis]
OG0000421	KAF6257002.1 light-harvesting chlorophyll-a/b protein of photosystem I [Scenedesmus sp. NREL 46B-D3]	XP_005849804.1 hypothetical protein CHLNCDRAFT_59626 [Chlorella variabilis]
OG0000422	KAF6262980.1 hypothetical protein COO60DRAFT_530512 [Scenedesmus sp. NREL 46B-D3], KAF6262987.1 ADP-ribosylation factor family-domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3]	XP_005850935.1 hypothetical protein CHLNCDRAFT_59583 [Chlorella variabilis]
OG0000422	KAF6265173.1 hypothetical protein COO60DRAFT_1697991 [Scenedesmus sp. NREL 46B-D3]	XP_005850936.1 hypothetical protein CHLNCDRAFT_20118 [Chlorella variabilis]
OG0000423	KAF6253305.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005845688.1 hypothetical protein CHLNCDRAFT_56262 [Chlorella variabilis]
OG0000423	KAF6263850.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005845046.1 hypothetical protein CHLNCDRAFT_32311_ partial [Chlorella variabilis]
OG0000424	KAF6253670.1 PGAP1-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005849447.1 hypothetical protein CHLNCDRAFT_57178 [Chlorella variabilis]
OG0000424	KAF6255631.1 hypothetical protein COO60DRAFT_1702729 [Scenedesmus sp. NREL 46B-D3]	XP_005844462.1 hypothetical protein CHLNCDRAFT_138776 [Chlorella variabilis]
OG0000425	KAF6261747.1 hypothetical protein COO60DRAFT_1699674 [Scenedesmus sp. NREL 46B-D3], KAF6266062.1 hypothetical protein COO60DRAFT_1697444 [Scenedesmus sp. NREL 46B-D3], KAF6264706.1 hypothetical protein COO60DRAFT_16234 [Scenedesmus sp. NREL 46B-D3]	XP_005849777.1 hypothetical protein CHLNCDRAFT_57211 [Chlorella variabilis], XP_005846724.1 hypothetical protein CHLNCDRAFT_135156 [Chlorella variabilis]
OG0000426	KAF6257156.1 copper-translocating P-t [Scenedesmus sp. NREL 46B-D3]	XP_005846273.1 hypothetical protein CHLNCDRAFT_135599 [Chlorella variabilis], XP_005852165.1 hypothetical protein CHLNCDRAFT_49546 [Chlorella variabilis]
OG0000427	KAF6263563.1 FAD dependent oxidoreductase [Scenedesmus sp. NREL 46B-D3]	XP_005849708.1 hypothetical protein CHLNCDRAFT_20797 [Chlorella variabilis]
OG0000427	KAF6254850.1 tyrosine phosphatase-like protein [Scenedesmus sp. NREL 46B-D3]	XP_005849967.1 hypothetical protein CHLNCDRAFT_143333 [Chlorella variabilis]
OG0000428	KAF6262176.1 hypothetical protein COO60DRAFT_677318 [Scenedesmus sp. NREL 46B-D3], KAF6255264.1 hypothetical protein COO60DRAFT_235055 [Scenedesmus sp. NREL 46B-D3]	XP_005849867.1 hypothetical protein CHLNCDRAFT_143079 [Chlorella variabilis], XP_005844945.1 hypothetical protein CHLNCDRAFT_138295 [Chlorella variabilis], XP_005852111.1 expressed protein [Chlorella variabilis], XP_005844946.1 hypothetical protein CHLNCDRAFT_138296 [Chlorella variabilis]
OG0000429	KAF6260596.1 dihydrolipoamide dehydrogenase plastid precursor [Scenedesmus sp. NREL 46B-D3]	XP_005846382.1 hypothetical protein CHLNCDRAFT_58327 [Chlorella variabilis]
OG0000429	KAF6260595.1 HAD-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005846556.1 hypothetical protein CHLNCDRAFT_56232 [Chlorella variabilis]
OG0000430	KAF6265480.1 hypothetical protein COO60DRAFT_1697768 [Scenedesmus sp. NREL 46B-D3]	XP_005844653.1 hypothetical protein CHLNCDRAFT_138525 [Chlorella variabilis]
OG0000431	KAF6260591.1 allophanate hydrolase subunit 2-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005847566.1 hypothetical protein CHLNCDRAFT_133810 [Chlorella variabilis]
OG0000431	KAF6254124.1 hypothetical protein COO60DRAFT_352275 [Scenedesmus sp. NREL 46B-D3]	XP_005849442.1 hypothetical protein CHLNCDRAFT_142698 [Chlorella variabilis]
OG0000432	KAF6261388.1 hypothetical protein COO60DRAFT_1268734 [Scenedesmus sp. NREL 46B-D3]	XP_005849879.1 hypothetical protein CHLNCDRAFT_20786 [Chlorella variabilis]
OG0000433	KAF6232419.1 peptidase S24/S26A/S26B/S26C [Scenedesmus sp. NREL 46B-D3]	XP_005843672.1 hypothetical protein CHLNCDRAFT_27784 [Chlorella variabilis], XP_005846209.1 hypothetical protein CHLNCDRAFT_25301_ partial [Chlorella variabilis], XP_005845932.1 hypothetical protein CHLNCDRAFT_13086_ partial [Chlorella variabilis]
OG0000434	KAF6261186.1 class I glutamine amidotransferase-like protein [Scenedesmus sp. NREL 46B-D3]	XP_005851347.1 hypothetical protein CHLNCDRAFT_50121 [Chlorella variabilis], XP_005851346.1 hypothetical protein CHLNCDRAFT_138237 [Chlorella variabilis]
OG0000435	KAF6252153.1 hypothetical protein COO60DRAFT_1644278 [Scenedesmus sp. NREL 46B-D3]	XP_005850295.1 hypothetical protein CHLNCDRAFT_142040 [Chlorella variabilis]
OG0000435	KAF6254588.1 hypothetical protein COO60DRAFT_1703264 [Scenedesmus sp. NREL 46B-D3]	XP_005850041.1 hypothetical protein CHLNCDRAFT_142036 [Chlorella variabilis]
OG0000436	KAF6255096.1 S-adenosylmethionine_2-demethylmenaquinone methyltransferase [Scenedesmus sp. NREL 46B-D3]	XP_005852211.1 hypothetical protein CHLNCDRAFT_133452 [Chlorella variabilis], XP_005849637.1 hypothetical protein CHLNCDRAFT_21385_ partial [Chlorella variabilis]
OG0000437	KAF6256419.1 hypothetical protein COO60DRAFT_110528 [Scenedesmus sp. NREL 46B-D3]	XP_005847630.1 hypothetical protein CHLNCDRAFT_52345 [Chlorella variabilis]
OG0000438	KAF6262624.1 hypothetical protein COO60DRAFT_600618 [Scenedesmus sp. NREL 46B-D3], KAF6264242.1 hypothetical protein COO60DRAFT_1292720 [Scenedesmus sp. NREL 46B-D3]	XP_005847358.1 expressed protein [Chlorella variabilis], XP_005846202.1 hypothetical protein CHLNCDRAFT_136236 [Chlorella variabilis]
OG0000439	KAF6266812.1 hypothetical protein COO60DRAFT_15244 [Scenedesmus sp. NREL 46B-D3]	XP_005848438.1 hypothetical protein CHLNCDRAFT_144797 [Chlorella variabilis], XP_005849159.1 hypothetical protein CHLNCDRAFT_143799 [Chlorella variabilis], XP_005844123.1 hypothetical protein CHLNCDRAFT_139592 [Chlorella variabilis]
OG0000440	KAF6263987.1 hypothetical protein COO60DRAFT_266714 [Scenedesmus sp. NREL 46B-D3], KAF6252296.1 MAP kinase [Scenedesmus sp. NREL 46B-D3]	XP_005842947.1 hypothetical protein CHLNCDRAFT_28672_ partial [Chlorella variabilis]
OG0000441	KAF6248937.1 glutamate dehydrogenase [Scenedesmus sp. NREL 46B-D3], KAF6258661.1 hypothetical protein COO60DRAFT_1622128 [Scenedesmus sp. NREL 46B-D3]	XP_005847391.1 hypothetical protein CHLNCDRAFT_52469 [Chlorella variabilis], XP_005846339.1 hypothetical protein CHLNCDRAFT_25065_ partial [Chlorella variabilis]
OG0000442	KAF6266584.1 hypothetical protein COO60DRAFT_1623413 [Scenedesmus sp. NREL 46B-D3]	XP_005852072.1 hypothetical protein CHLNCDRAFT_6734_ partial [Chlorella variabilis]
OG0000442	KAF6265623.1 hypothetical protein COO60DRAFT_1292046 [Scenedesmus sp. NREL 46B-D3]	XP_005851974.1 hypothetical protein CHLNCDRAFT_6787_ partial [Chlorella variabilis]
OG0000443	KAF6262054.1 chorismate mutase [Scenedesmus sp. NREL 46B-D3], KAF6239459.1 chorismate mutase [Scenedesmus sp. NREL 46B-D3]	XP_005844006.1 hypothetical protein CHLNCDRAFT_27314 [Chlorella variabilis], XP_005844009.1 hypothetical protein CHLNCDRAFT_54762 [Chlorella variabilis], XP_005844004.1 hypothetical protein CHLNCDRAFT_139527 [Chlorella variabilis]
OG0000444	KAF6266093.1 plasma membrane intrinsic protein [Scenedesmus sp. NREL 46B-D3], KAF6266092.1 plasma membrane intrinsic protein [Scenedesmus sp. NREL 46B-D3]	XP_005843414.1 hypothetical protein CHLNCDRAFT_17655_ partial [Chlorella variabilis], XP_005848151.1 hypothetical protein CHLNCDRAFT_145499 [Chlorella variabilis], XP_005844514.1 hypothetical protein CHLNCDRAFT_13804_ partial [Chlorella variabilis]
OG0000445	KAF6256840.1 hypothetical protein COO60DRAFT_1656538_ partial [Scenedesmus sp. NREL 46B-D3]	XP_005849084.1 hypothetical protein CHLNCDRAFT_143584 [Chlorella variabilis]
OG0000446	KAF6258032.1 hypothetical protein COO60DRAFT_1693831 [Scenedesmus sp. NREL 46B-D3], KAF6258033.1 hypothetical protein COO60DRAFT_1701513 [Scenedesmus sp. NREL 46B-D3]	XP_005849694.1 hypothetical protein CHLNCDRAFT_20970_ partial [Chlorella variabilis]
OG0000447	KAF6265906.1 TPR-like protein [Scenedesmus sp. NREL 46B-D3]	XP_005843065.1 hypothetical protein CHLNCDRAFT_141593 [Chlorella variabilis]
OG0000447	KAF6265907.1 hypothetical protein COO60DRAFT_768730 [Scenedesmus sp. NREL 46B-D3]	XP_005847107.1 hypothetical protein CHLNCDRAFT_58072 [Chlorella variabilis]
OG0000449	KAF6256020.1 hypothetical protein COO60DRAFT_1641046 [Scenedesmus sp. NREL 46B-D3]	XP_005851351.1 hypothetical protein CHLNCDRAFT_19196 [Chlorella variabilis]
OG0000452	KAF6258428.1 component of the ESCRT-III complex [Scenedesmus sp. NREL 46B-D3]	XP_005850888.1 hypothetical protein CHLNCDRAFT_56887 [Chlorella variabilis]
OG0000453	KAF6253752.1 HAD-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005849895.1 hypothetical protein CHLNCDRAFT_34758 [Chlorella variabilis]
OG0000453	KAF6258385.1 triose-phosphate transporter family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005849896.1 hypothetical protein CHLNCDRAFT_143148 [Chlorella variabilis]
OG0000454	KAF6255399.1 ribose 5-phosphate isomerase A-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005849996.1 hypothetical protein CHLNCDRAFT_34303 [Chlorella variabilis], XP_005849992.1 expressed protein_ partial [Chlorella variabilis]
OG0000455	KAF6258914.1 magnesium protoporphyrin IX S-adenosyl methionine O-methyl transferase chloroplast precursor [Scenedesmus sp. NREL 46B-D3]	XP_005843906.1 hypothetical protein CHLNCDRAFT_27668_ partial [Chlorella variabilis]
OG0000455	KAF6264410.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	XP_005843905.1 hypothetical protein CHLNCDRAFT_59136 [Chlorella variabilis]
OG0000456	KAF6255797.1 Presenilin-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005848775.1 hypothetical protein CHLNCDRAFT_144542 [Chlorella variabilis], XP_005850309.1 hypothetical protein CHLNCDRAFT_20260_ partial [Chlorella variabilis], XP_005850310.1 hypothetical protein CHLNCDRAFT_142071 [Chlorella variabilis]
OG0000457	KAF6261484.1 putative pyruvate kinase [Scenedesmus sp. NREL 46B-D3]	XP_005850677.1 hypothetical protein CHLNCDRAFT_34199 [Chlorella variabilis]
OG0000457	KAF6256160.1 dihydrolipoamide S-succinyltransferase_ isoform CRA_b [Scenedesmus sp. NREL 46B-D3]	XP_005850676.1 hypothetical protein CHLNCDRAFT_48552 [Chlorella variabilis]
OG0000458	KAF6265973.1 nucleoside diphosphate kinase [Scenedesmus sp. NREL 46B-D3]	XP_005851072.1 hypothetical protein CHLNCDRAFT_48451 [Chlorella variabilis]
OG0000458	KAF6261786.1 flagellar associated protein [Scenedesmus sp. NREL 46B-D3]	XP_005849808.1 hypothetical protein CHLNCDRAFT_30376 [Chlorella variabilis]
OG0000459	KAF6256426.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	XP_005850662.1 hypothetical protein CHLNCDRAFT_140690 [Chlorella variabilis], XP_005850250.1 hypothetical protein CHLNCDRAFT_141928 [Chlorella variabilis], XP_005850251.1 hypothetical protein CHLNCDRAFT_141930 [Chlorella variabilis]
OG0000460	KAF6265312.1 PCNA proliferating cell nuclear antigen [Scenedesmus sp. NREL 46B-D3], KAF6259997.1 proliferating cell nuclear antigen_ N-terminal domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005844084.1 hypothetical protein CHLNCDRAFT_139488 [Chlorella variabilis], XP_005845113.1 hypothetical protein CHLNCDRAFT_59751 [Chlorella variabilis]
OG0000461	KAF6260927.1 pyruvate kinase [Scenedesmus sp. NREL 46B-D3], KAF6265903.1 pyruvate kinase [Scenedesmus sp. NREL 46B-D3]	XP_005847835.1 hypothetical protein CHLNCDRAFT_134063_ partial [Chlorella variabilis]
OG0000461	KAF6266816.1 zinc permease family [Scenedesmus sp. NREL 46B-D3], KAF6263470.1 hypothetical protein COO60DRAFT_1621667 [Scenedesmus sp. NREL 46B-D3]	XP_005847836.1 hypothetical protein CHLNCDRAFT_23061_ partial [Chlorella variabilis]
OG0000462	KAF6254969.1 hypothetical protein COO60DRAFT_1537819 [Scenedesmus sp. NREL 46B-D3]	XP_005843814.1 hypothetical protein CHLNCDRAFT_139869 [Chlorella variabilis]
OG0000463	KAF6257398.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005842608.1 hypothetical protein CHLNCDRAFT_142567_ partial [Chlorella variabilis], XP_005842606.1 hypothetical protein CHLNCDRAFT_16100_ partial [Chlorella variabilis]
OG0000464	KAF6253367.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	XP_005850223.1 hypothetical protein CHLNCDRAFT_57165 [Chlorella variabilis]
OG0000465	KAF6258390.1 Aspartate/glutamate/uridylate kinase [Scenedesmus sp. NREL 46B-D3]	XP_005844263.1 hypothetical protein CHLNCDRAFT_7287_ partial [Chlorella variabilis], XP_005851396.1 hypothetical protein CHLNCDRAFT_137645 [Chlorella variabilis]
OG0000466	KAF6266683.1 ribonuclease T2-like protein [Scenedesmus sp. NREL 46B-D3]	XP_005847164.1 hypothetical protein CHLNCDRAFT_13061_ partial [Chlorella variabilis], XP_005843652.1 hypothetical protein CHLNCDRAFT_140010 [Chlorella variabilis], XP_005846187.1 hypothetical protein CHLNCDRAFT_25350_ partial [Chlorella variabilis]
OG0000467	KAF6266604.1 thioredoxin-like protein [Scenedesmus sp. NREL 46B-D3]	XP_005843507.1 hypothetical protein CHLNCDRAFT_33111 [Chlorella variabilis]
OG0000467	KAF6266691.1 thioredoxin-like protein [Scenedesmus sp. NREL 46B-D3]	XP_005845953.1 hypothetical protein CHLNCDRAFT_14388_ partial [Chlorella variabilis]
OG0000468	KAF6266086.1 ras family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005846307.1 GTP-binding protein yptV1 [Chlorella variabilis], XP_005851611.1 hypothetical protein CHLNCDRAFT_33935 [Chlorella variabilis]
OG0000469	KAF6263659.1 threonine deaminase [Scenedesmus sp. NREL 46B-D3]	XP_005845145.1 hypothetical protein CHLNCDRAFT_137280 [Chlorella variabilis], XP_005843930.1 hypothetical protein CHLNCDRAFT_7647_ partial [Chlorella variabilis], XP_005846124.1 hypothetical protein CHLNCDRAFT_25383 [Chlorella variabilis]
OG0000470	KAF6264278.1 pseudouridine synthase [Scenedesmus sp. NREL 46B-D3]	XP_005848387.1 hypothetical protein CHLNCDRAFT_145167 [Chlorella variabilis]
OG0000470	KAF6264279.1 hypothetical protein COO60DRAFT_1281825 [Scenedesmus sp. NREL 46B-D3]	XP_005843941.1 hypothetical protein CHLNCDRAFT_32859 [Chlorella variabilis]
OG0000471	KAF6252498.1 hTAFII28-like protein conserved region-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005849344.1 hypothetical protein CHLNCDRAFT_143750 [Chlorella variabilis]
OG0000471	KAF6264461.1 hypothetical protein COO60DRAFT_1484576 [Scenedesmus sp. NREL 46B-D3]	XP_005849343.1 hypothetical protein CHLNCDRAFT_143749 [Chlorella variabilis]
OG0000472	KAF6259513.1 AAA domain-containing protein [Scenedesmus sp. NREL 46B-D3]	XP_005847716.1 hypothetical protein CHLNCDRAFT_133757 [Chlorella variabilis]
OG0000473	KAF6263603.1 WD40 repeat-like protein [Scenedesmus sp. NREL 46B-D3]	XP_005851149.1 expressed protein [Chlorella variabilis], XP_005851148.1 hypothetical protein CHLNCDRAFT_7805_ partial [Chlorella variabilis], XP_005846862.1 hypothetical protein CHLNCDRAFT_35720 [Chlorella variabilis]
OG0000475	KAF6263699.1 cyclophilin-type peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. NREL 46B-D3]	XP_005845157.1 hypothetical protein CHLNCDRAFT_137318 [Chlorella variabilis]
OG0000475	KAF6260986.1 actin-depolymerizing factor AdfA [Scenedesmus sp. NREL 46B-D3]	XP_005845054.1 hypothetical protein CHLNCDRAFT_36630 [Chlorella variabilis], XP_005845056.1 hypothetical protein CHLNCDRAFT_54025 [Chlorella variabilis]
OG0000476	KAF6251713.1 hypothetical protein COO60DRAFT_593515 [Scenedesmus sp. NREL 46B-D3], KAF6251712.1 glutathione synthetase ATP-binding domain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6252933.1 pyruvate phosphate dikinase [Scenedesmus sp. NREL 46B-D3], KAF6263785.1 pyruvate phosphate dikinase [Scenedesmus sp. NREL 46B-D3]	XP_005846650.1 hypothetical protein CHLNCDRAFT_135335 [Chlorella variabilis]
OG0000477	KAF6258285.1 hypothetical protein COO60DRAFT_1639311 [Scenedesmus sp. NREL 46B-D3]	XP_005851414.1 hypothetical protein CHLNCDRAFT_137680 [Chlorella variabilis]
OG0000477	KAF6258260.1 hypothetical protein COO60DRAFT_1701428 [Scenedesmus sp. NREL 46B-D3]	XP_005845780.1 hypothetical protein CHLNCDRAFT_32043 [Chlorella variabilis]
OG0000478	KAF6264411.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	XP_005843559.1 hypothetical protein CHLNCDRAFT_140192 [Chlorella variabilis]
OG0000478	KAF6257426.1 5'-adenylylsulfate reductase [Scenedesmus sp. NREL 46B-D3]	XP_005843278.1 hypothetical protein CHLNCDRAFT_33215 [Chlorella variabilis]
OG0000479	KAF6260988.1 hypothetical protein COO60DRAFT_1700073 [Scenedesmus sp. NREL 46B-D3]	XP_005845224.1 hypothetical protein CHLNCDRAFT_59750 [Chlorella variabilis]
OG0000479	KAF6256903.1 sister chromatid cohesion protein Dcc1 [Scenedesmus sp. NREL 46B-D3], KAF6256884.1 hypothetical protein COO60DRAFT_57976 [Scenedesmus sp. NREL 46B-D3]	XP_005845223.1 hypothetical protein CHLNCDRAFT_137476 [Chlorella variabilis]
OG0000480	KAF6253660.1 hypothetical protein COO60DRAFT_1643007 [Scenedesmus sp. NREL 46B-D3], KAF6265621.1 hypothetical protein COO60DRAFT_1477480 [Scenedesmus sp. NREL 46B-D3], KAF6265581.1 peptide chain release factor [Scenedesmus sp. NREL 46B-D3]	XP_005845327.1 hypothetical protein CHLNCDRAFT_25946_ partial [Chlorella variabilis]
OG0000480	KAF6259527.1 plastid ribosomal protein L3 [Scenedesmus sp. NREL 46B-D3]	XP_005843606.1 hypothetical protein CHLNCDRAFT_48352 [Chlorella variabilis]
