Orthogroup	Scenedesmus_NREL	Chlorella_A99
OG0000544	KAF6254444.1 sedoheptulose-1_7-biphosphatase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2924 [Chlorella sp. A99]
OG0000544	KAF6260023.1 hypothetical protein COO60DRAFT_939814 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2615 [Chlorella sp. A99]
OG0000545	KAF6264503.1 aspartate aminotransferase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g108 [Chlorella sp. A99]
OG0000545	KAF6254597.1 putative seryl-tRNA synthetase [Scenedesmus sp. NREL 46B-D3], KAF6255001.1 putative seryl-tRNA synthetase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g110 [Chlorella sp. A99]
OG0000546	KAF6257944.1 Qa-snare protein_ Tlg2/Syntaxin16-family [Scenedesmus sp. NREL 46B-D3]	PCFQ01000002.1 g702 [Chlorella sp. A99]
OG0000547	KAF6256311.1 hypothetical protein COO60DRAFT_1461735 [Scenedesmus sp. NREL 46B-D3], KAF6256529.1 hypothetical protein COO60DRAFT_101375 [Scenedesmus sp. NREL 46B-D3], KAF6256527.1 glycoside hydrolase superfamily [Scenedesmus sp. NREL 46B-D3], KAF6256530.1 hypothetical protein COO60DRAFT_1529033 [Scenedesmus sp. NREL 46B-D3], KAF6259132.1 hypothetical protein COO60DRAFT_1044814 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000002.1 g664 [Chlorella sp. A99]
OG0000548	KAF6263551.1 cell division protein FtsZ [Scenedesmus sp. NREL 46B-D3], KAF6251494.1 Tubulin/FtsZ_ GTPase domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251816.1 Tubulin/FtsZ_ GTPase domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251817.1 Tubulin/FtsZ_ GTPase domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251493.1 Tubulin/FtsZ_ GTPase domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000024.1 g2556 [Chlorella sp. A99], PCFQ01000015.1 g2953 [Chlorella sp. A99]
OG0000549	KAF6260172.1 hypothetical protein COO60DRAFT_1508974 [Scenedesmus sp. NREL 46B-D3], KAF6256571.1 hypothetical protein COO60DRAFT_1702271 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g3034 [Chlorella sp. A99]
OG0000551	KAF6258271.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2854 [Chlorella sp. A99], PCFQ01000008.1 g1101 [Chlorella sp. A99]
OG0000552	KAF6252042.1 peptidase S10_ serine carboxypeptidase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1487 [Chlorella sp. A99], PCFQ01000020.1 g903 [Chlorella sp. A99]
OG0000553	KAF6245147.1 chaperonin Cpn60/TCP-1 family [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2629 [Chlorella sp. A99]
OG0000554	KAF6264718.1 hypothetical protein COO60DRAFT_1482085 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2141 [Chlorella sp. A99], PCFQ01000046.1 g1862 [Chlorella sp. A99], PCFQ01000078.1 g2100 [Chlorella sp. A99]
OG0000555	KAF6256079.1 prohibitin [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g79 [Chlorella sp. A99]
OG0000555	KAF6255965.1 prohibitin [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2628 [Chlorella sp. A99]
OG0000557	KAF6249694.1 hypothetical protein COO60DRAFT_940689 [Scenedesmus sp. NREL 46B-D3], KAF6249695.1 hypothetical protein COO60DRAFT_940688 [Scenedesmus sp. NREL 46B-D3], KAF6259549.1 hypothetical protein COO60DRAFT_1700741 [Scenedesmus sp. NREL 46B-D3], KAF6249693.1 hypothetical protein COO60DRAFT_940637 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000008.1 g1116 [Chlorella sp. A99], PCFQ01000008.1 g1115 [Chlorella sp. A99]
OG0000559	KAF6255406.1 MCM-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2694 [Chlorella sp. A99]
OG0000560	KAF6254913.1 hypothetical protein COO60DRAFT_272391 [Scenedesmus sp. NREL 46B-D3], KAF6257823.1 hypothetical protein COO60DRAFT_1521842 [Scenedesmus sp. NREL 46B-D3], KAF6257824.1 late exocytosis_ associated with Golgi transport-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1350 [Chlorella sp. A99]
OG0000562	KAF6259079.1 triose-phosphate transporter family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g535 [Chlorella sp. A99]
OG0000564	KAF6266385.1 Metallo-dependent phosphatase-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000018.1 g481 [Chlorella sp. A99]
OG0000565	KAF6257116.1 hypothetical protein COO60DRAFT_40936 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g559 [Chlorella sp. A99]
OG0000566	KAF6260374.1 hypothetical protein COO60DRAFT_1700367 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000010.1 g352 [Chlorella sp. A99]
OG0000567	KAF6262444.1 regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II_ partial [Scenedesmus sp. NREL 46B-D3]	PCFQ01000010.1 g367 [Chlorella sp. A99]
OG0000567	KAF6258881.1 cytosolic aldolase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1284 [Chlorella sp. A99]
OG0000568	KAF6250458.1 dnaJ-like protein subfamily B member 11-like protein [Scenedesmus sp. NREL 46B-D3], KAF6256359.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000002.1 g710 [Chlorella sp. A99]
OG0000569	KAF6261370.1 hypothetical protein COO60DRAFT_1501806 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g3038 [Chlorella sp. A99]
OG0000570	KAF6256809.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3231 [Chlorella sp. A99]
OG0000572	KAF6264865.1 CREB-binding protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g2973 [Chlorella sp. A99]
OG0000573	KAF6254941.1 hypothetical protein COO60DRAFT_1703082 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1402 [Chlorella sp. A99]
OG0000574	KAF6258427.1 MoaB/Mog domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257030.1 20S proteasome beta subunit A1 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2403 [Chlorella sp. A99]
OG0000576	KAF6241961.1 hypothetical protein COO60DRAFT_1607887 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3209 [Chlorella sp. A99]
OG0000577	KAF6257785.1 eukaryotic translation initiation factor 3f [Scenedesmus sp. NREL 46B-D3], KAF6258062.1 TLC ATP/ADP transporter-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2781 [Chlorella sp. A99]
OG0000578	KAF6264959.1 hypothetical protein COO60DRAFT_1185335 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000046.1 g1849 [Chlorella sp. A99]
OG0000580	KAF6257728.1 COP9 signalosome subunit 6 [Scenedesmus sp. NREL 46B-D3], KAF6255371.1 hypothetical protein COO60DRAFT_215437 [Scenedesmus sp. NREL 46B-D3], KAF6257722.1 hypothetical protein COO60DRAFT_1203083 [Scenedesmus sp. NREL 46B-D3], KAF6254155.1 hypothetical protein COO60DRAFT_1273269 [Scenedesmus sp. NREL 46B-D3], KAF6257721.1 hypothetical protein COO60DRAFT_1202984 [Scenedesmus sp. NREL 46B-D3], KAF6263269.1 hypothetical protein COO60DRAFT_487736 [Scenedesmus sp. NREL 46B-D3], KAF6263273.1 hypothetical protein COO60DRAFT_487944 [Scenedesmus sp. NREL 46B-D3], KAF6255370.1 hypothetical protein COO60DRAFT_215397 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000077.1 g1742 [Chlorella sp. A99]
OG0000582	KAF6255881.1 oxygen-evolving enhancer protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000005.1 g795 [Chlorella sp. A99]
OG0000582	KAF6263730.1 33kDa oxygen evolving protein of photosystem II [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3197 [Chlorella sp. A99]
OG0000583	KAF6250303.1 HotDog domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000019.1 g1815 [Chlorella sp. A99]
OG0000584	KAF6256353.1 heme oxygenase-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000012.1 g1842 [Chlorella sp. A99]
OG0000585	KAF6253097.1 hypothetical protein COO60DRAFT_1703986 [Scenedesmus sp. NREL 46B-D3], KAF6259402.1 hypothetical protein COO60DRAFT_1513169 [Scenedesmus sp. NREL 46B-D3], KAF6259403.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000012.1 g1828 [Chlorella sp. A99]
OG0000586	KAF6254749.1 mitochondrial processing peptidase alpha subunit [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2106 [Chlorella sp. A99]
OG0000587	KAF6262580.1 POZ domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2480 [Chlorella sp. A99]
OG0000587	KAF6266349.1 hypothetical protein COO60DRAFT_1697351 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2466 [Chlorella sp. A99]
OG0000588	KAF6258837.1 hypothetical protein COO60DRAFT_1074383 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000002.1 g659 [Chlorella sp. A99]
OG0000588	KAF6264711.1 coth protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000077.1 g1766 [Chlorella sp. A99]
OG0000591	KAF6256244.1 aquaporin-like protein [Scenedesmus sp. NREL 46B-D3], KAF6260339.1 aquaporin-like protein [Scenedesmus sp. NREL 46B-D3], KAF6260340.1 aquaporin-like protein [Scenedesmus sp. NREL 46B-D3], KAF6258885.1 aquaporin-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g136 [Chlorella sp. A99]
OG0000592	KAF6266192.1 hypothetical protein COO60DRAFT_1697283 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g270 [Chlorella sp. A99]
OG0000593	KAF6254012.1 hypothetical protein COO60DRAFT_1642684 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000007.1 g1219 [Chlorella sp. A99], PCFQ01000023.1 g2228 [Chlorella sp. A99]
OG0000594	KAF6253931.1 hypothetical protein COO60DRAFT_1703593 [Scenedesmus sp. NREL 46B-D3], KAF6263985.1 hypothetical protein COO60DRAFT_1258405_ partial [Scenedesmus sp. NREL 46B-D3], KAF6261593.1 hypothetical protein COO60DRAFT_1459090 [Scenedesmus sp. NREL 46B-D3], KAF6252403.1 solute carrier protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000081.1 g1563 [Chlorella sp. A99]
OG0000595	KAF6253399.1 ras-related protein YPTC6 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2178 [Chlorella sp. A99]
OG0000596	KAF6255077.1 DNA damage checkpoint protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2706 [Chlorella sp. A99]
OG0000597	KAF6253434.1 hypothetical protein COO60DRAFT_421895 [Scenedesmus sp. NREL 46B-D3], KAF6249638.1 regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g3066 [Chlorella sp. A99]
OG0000598	KAF6264226.1 hypothetical protein COO60DRAFT_1267074 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g3077 [Chlorella sp. A99]
OG0000609	KAF6263751.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252798.1 hypothetical protein COO60DRAFT_499134 [Scenedesmus sp. NREL 46B-D3], KAF6257802.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263322.1 hypothetical protein COO60DRAFT_1458217_ partial [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g3074 [Chlorella sp. A99]
OG0000610	KAF6261163.1 aldehyde dehydrogenase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g493 [Chlorella sp. A99]
OG0000612	KAF6248347.1 glycoside hydrolase superfamily [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g3081 [Chlorella sp. A99]
OG0000613	KAF6260559.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6260916.1 kinesin-like protein FLA10 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1524 [Chlorella sp. A99], PCFQ01000015.1 g3094 [Chlorella sp. A99]
OG0000615	KAF6262836.1 VTC domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1396 [Chlorella sp. A99], PCFQ01000079.1 g1394 [Chlorella sp. A99]
OG0000617	KAF6264934.1 Cys/Met metabolism PLP-dependent enzyme-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2005 [Chlorella sp. A99]
OG0000618	KAF6251048.1 ribosomal protein S8 [Scenedesmus sp. NREL 46B-D3], KAF6250898.1 component of cytosolic 80S ribosome and 40S small subunit [Scenedesmus sp. NREL 46B-D3], KAF6256221.1 mitochondrial K+-H+ exchange-related-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2393 [Chlorella sp. A99]
OG0000619	KAF6253953.1 SNF2 family N-terminal domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6245565.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3250 [Chlorella sp. A99]
OG0000620	KAF6259628.1 hypothetical protein COO60DRAFT_1638196 [Scenedesmus sp. NREL 46B-D3], KAF6259555.1 hypothetical protein COO60DRAFT_994648 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000007.1 g1236 [Chlorella sp. A99]
OG0000621	KAF6254486.1 pyruvate-ferredoxin oxidoreductase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g3087 [Chlorella sp. A99]
OG0000623	KAF6262296.1 hypothetical protein COO60DRAFT_1497304 [Scenedesmus sp. NREL 46B-D3], KAF6262288.1 hypothetical protein COO60DRAFT_1497273 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g200 [Chlorella sp. A99]
OG0000627	KAF6264515.1 NAD_P_ transhydrogenase beta subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g170 [Chlorella sp. A99]
OG0000628	KAF6263374.1 hypothetical protein COO60DRAFT_459184 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2900 [Chlorella sp. A99]
OG0000629	KAF6260208.1 thioredoxin-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2889 [Chlorella sp. A99]
OG0000630	KAF6254394.1 hypothetical protein COO60DRAFT_322563 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000028.1 g2727 [Chlorella sp. A99]
OG0000631	KAF6266150.1 ribosomal protein S9/S16-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000010.1 g289 [Chlorella sp. A99]
OG0000632	KAF6248935.1 hypothetical protein COO60DRAFT_1277211 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000009.1 g1697 [Chlorella sp. A99]
OG0000633	KAF6251268.1 copper amine oxidase [Scenedesmus sp. NREL 46B-D3], KAF6250723.1 copper amine oxidase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000009.1 g1682 [Chlorella sp. A99]
OG0000634	KAF6250799.1 zinc-finger domain of monoamine-oxidase A repressor R1-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1397 [Chlorella sp. A99], PCFQ01000079.1 g1262 [Chlorella sp. A99]
OG0000635	KAF6252210.1 ribulose phosphate-3-epimerase chloroplast precursor [Scenedesmus sp. NREL 46B-D3]	PCFQ01000008.1 g1104 [Chlorella sp. A99]
OG0000635	KAF6266665.1 Ribulose-phosphate 3-epimerase-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000022.1 g2332 [Chlorella sp. A99]
OG0000636	KAF6256619.1 carotenoid oxygenase [Scenedesmus sp. NREL 46B-D3], KAF6256621.1 hypothetical protein COO60DRAFT_1702244 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000003.1 g1054 [Chlorella sp. A99]
OG0000637	KAF6261646.1 hypothetical protein COO60DRAFT_1283019 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000001.1 g952 [Chlorella sp. A99]
OG0000638	KAF6265415.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2775 [Chlorella sp. A99]
OG0000639	KAF6252083.1 hypothetical protein COO60DRAFT_1673785 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g617 [Chlorella sp. A99]
OG0000640	KAF6251947.1 NAD_P_-binding protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3248 [Chlorella sp. A99]
OG0000642	KAF6260634.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3], KAF6263065.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2602 [Chlorella sp. A99], PCFQ01000018.1 g447 [Chlorella sp. A99]
OG0000643	KAF6260469.1 hypothetical protein COO60DRAFT_892770 [Scenedesmus sp. NREL 46B-D3], KAF6260499.1 hypothetical protein COO60DRAFT_1684872 [Scenedesmus sp. NREL 46B-D3], KAF6265222.1 hypothetical protein COO60DRAFT_1697829 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2411 [Chlorella sp. A99]
OG0000644	KAF6250454.1 hypothetical protein COO60DRAFT_1682790 [Scenedesmus sp. NREL 46B-D3], KAF6256556.1 hypothetical protein COO60DRAFT_1640628 [Scenedesmus sp. NREL 46B-D3], KAF6260443.1 hypothetical protein COO60DRAFT_1684776 [Scenedesmus sp. NREL 46B-D3], KAF6258429.1 hypothetical protein COO60DRAFT_1701312 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000018.1 g421 [Chlorella sp. A99]
OG0000645	KAF6260532.1 Mg-protoporphyrin IX monomethyl ester oxidative cyclase 2 [Scenedesmus sp. NREL 46B-D3], KAF6259712.1 copper target-like protein 1 protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2794 [Chlorella sp. A99]
OG0000646	KAF6251923.1 WD40 repeat-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000012.1 g1829 [Chlorella sp. A99]
OG0000646	KAF6257736.1 transcriptional repressor TCF25-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000001.1 g1002 [Chlorella sp. A99]
OG0000647	KAF6259138.1 hypothetical protein COO60DRAFT_1514679 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000001.1 g982 [Chlorella sp. A99]
OG0000648	KAF6257992.1 hypothetical protein COO60DRAFT_1163089 [Scenedesmus sp. NREL 46B-D3], KAF6261943.1 tRNA-dihydrouridine synthase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000021.1 g2313 [Chlorella sp. A99]
OG0000649	KAF6258687.1 diaminopimelate decarboxylase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2215 [Chlorella sp. A99]
OG0000650	KAF6259593.1 mitogen-activated protein kinase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000020.1 g893 [Chlorella sp. A99]
OG0000651	KAF6260629.1 hypothetical protein COO60DRAFT_1505577 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2885 [Chlorella sp. A99], PCFQ01000058.1 g87 [Chlorella sp. A99]
OG0000651	KAF6263309.1 fatty acid desaturase-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6260540.1 MGDG specific palmitate delta-7 desaturase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000020.1 g884 [Chlorella sp. A99]
OG0000653	KAF6266722.1 aspartate semialdehyde dehydrogenase [Scenedesmus sp. NREL 46B-D3], KAF6258595.1 hypothetical protein COO60DRAFT_1101716 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2490 [Chlorella sp. A99]
OG0000654	KAF6256078.1 Mur ligase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g112 [Chlorella sp. A99]
OG0000656	KAF6262884.1 hypothetical protein COO60DRAFT_1624791 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g511 [Chlorella sp. A99]
OG0000657	KAF6262262.1 ubiquitin-conjugating enzyme/RWD-like protein [Scenedesmus sp. NREL 46B-D3], KAF6258342.1 ubiquitin-conjugating enzyme/RWD-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000077.1 g1771 [Chlorella sp. A99]
OG0000658	KAF6265927.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2135 [Chlorella sp. A99]
OG0000661	KAF6261306.1 hypothetical protein COO60DRAFT_1699870 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1400 [Chlorella sp. A99]
OG0000664	KAF6249780.1 hypothetical protein COO60DRAFT_1579329 [Scenedesmus sp. NREL 46B-D3], KAF6257804.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3234 [Chlorella sp. A99]
OG0000666	KAF6258810.1 acyl carrier protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2819 [Chlorella sp. A99]
OG0000670	KAF6254761.1 hypothetical protein COO60DRAFT_285516 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2640 [Chlorella sp. A99]
OG0000671	KAF6256768.1 RNA polymerase Rpc34 subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2702 [Chlorella sp. A99]
OG0000672	KAF6257188.1 hypothetical protein COO60DRAFT_1701956 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2822 [Chlorella sp. A99], PCFQ01000078.1 g2191 [Chlorella sp. A99]
OG0000673	KAF6262182.1 solanesyl diphosphate synthase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1456 [Chlorella sp. A99]
OG0000674	KAF6259545.1 hypothetical protein COO60DRAFT_1004200 [Scenedesmus sp. NREL 46B-D3], KAF6259544.1 hypothetical protein COO60DRAFT_1004323 [Scenedesmus sp. NREL 46B-D3], KAF6266504.1 hypothetical protein COO60DRAFT_1265623 [Scenedesmus sp. NREL 46B-D3], KAF6259547.1 hypothetical protein COO60DRAFT_1294817 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000012.1 g1822 [Chlorella sp. A99]
OG0000676	KAF6262523.1 hypothetical protein COO60DRAFT_1495501 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2709 [Chlorella sp. A99]
OG0000677	KAF6262278.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000007.1 g1201 [Chlorella sp. A99], PCFQ01000006.1 g3238 [Chlorella sp. A99]
OG0000678	KAF6254309.1 E3 ubiquitin ligase [Scenedesmus sp. NREL 46B-D3], KAF6265082.1 Gar1/Naf1 RNA binding region-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000010.1 g323 [Chlorella sp. A99]
OG0000679	KAF6264887.1 ribosomal protein L17 [Scenedesmus sp. NREL 46B-D3], KAF6264969.1 hypothetical protein COO60DRAFT_1694712_ partial [Scenedesmus sp. NREL 46B-D3]	PCFQ01000010.1 g303 [Chlorella sp. A99]
OG0000680	KAF6263820.1 hypothetical protein COO60DRAFT_1488684 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g98 [Chlorella sp. A99]
OG0000681	KAF6266034.1 RNA pol II accessory factor_ Cdc73 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g128 [Chlorella sp. A99]
OG0000682	KAF6256254.1 hypothetical protein COO60DRAFT_1530230 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g542 [Chlorella sp. A99]
OG0000684	KAF6265677.1 hypothetical protein COO60DRAFT_1697673 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000002.1 g686 [Chlorella sp. A99], PCFQ01000082.1 g625 [Chlorella sp. A99]
OG0000685	KAF6252577.1 galactose oxidase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000002.1 g717 [Chlorella sp. A99], PCFQ01000002.1 g716 [Chlorella sp. A99]
OG0000686	KAF6251837.1 hypothetical protein COO60DRAFT_580040 [Scenedesmus sp. NREL 46B-D3], KAF6251836.1 30S ribosomal protein S12 [Scenedesmus sp. NREL 46B-D3], KAF6262151.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253799.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255661.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253982.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251838.1 hypothetical protein COO60DRAFT_580039 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000008.1 g1094 [Chlorella sp. A99]
OG0000687	KAF6251977.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6265169.1 CDC45-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3102 [Chlorella sp. A99]
OG0000689	KAF6261836.1 2-isopropylmalate synthase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000018.1 g400 [Chlorella sp. A99]
OG0000690	KAF6264942.1 acyl transferase/acyl hydrolase/lysophospholipase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3135 [Chlorella sp. A99]
OG0000690	KAF6263050.1 peptidase family S49-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2079 [Chlorella sp. A99]
OG0000692	KAF6263567.1 hypothetical protein COO60DRAFT_1282230 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2074 [Chlorella sp. A99]
OG0000692	KAF6252117.1 Oxoglutarate and iron-dependent oxygenase degradation C-term-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2078 [Chlorella sp. A99]
OG0000694	KAF6251786.1 hypothetical protein COO60DRAFT_584986 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3141 [Chlorella sp. A99]
OG0000695	KAF6263806.1 ABC-2 type transporter-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2219 [Chlorella sp. A99], PCFQ01000078.1 g2181 [Chlorella sp. A99], PCFQ01000007.1 g1227 [Chlorella sp. A99]
OG0000696	KAF6258902.1 hypothetical protein COO60DRAFT_1626257 [Scenedesmus sp. NREL 46B-D3], KAF6258870.1 hypothetical protein COO60DRAFT_1460453 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2802 [Chlorella sp. A99], PCFQ01000008.1 g1083 [Chlorella sp. A99]
OG0000697	KAF6260566.1 hypothetical protein COO60DRAFT_884459 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2398 [Chlorella sp. A99]
