Orthogroup	Scenedesmus_NREL	Scenedesmus_PABB004
OG0001044	KAF6254158.1 hypothetical protein COO60DRAFT_1273282_ partial [Scenedesmus sp. NREL 46B-D3]	KAF8066280.1 Rnf6 [Scenedesmus sp. PABB004]
OG0001044	KAF6260613.1 hypothetical protein COO60DRAFT_1505489 [Scenedesmus sp. NREL 46B-D3]	KAF8067378.1 hypothetical protein HT031_002426 [Scenedesmus sp. PABB004]
OG0001045	KAF6255161.1 trypsin-like cysteine/serine peptidase domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8065833.1 hypothetical protein HT031_002893 [Scenedesmus sp. PABB004]
OG0001045	KAF6248990.1 trypsin-like cysteine/serine peptidase domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265991.1 hypothetical protein COO60DRAFT_637940 [Scenedesmus sp. NREL 46B-D3], KAF6265992.1 hypothetical protein COO60DRAFT_1475042_ partial [Scenedesmus sp. NREL 46B-D3], KAF6265996.1 trypsin-like cysteine/serine peptidase domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265993.1 hypothetical protein COO60DRAFT_637863 [Scenedesmus sp. NREL 46B-D3]	KAF8059421.1 nbas [Scenedesmus sp. PABB004]
OG0001051	KAF6259166.1 hypothetical protein COO60DRAFT_1047049 [Scenedesmus sp. NREL 46B-D3], KAF6251216.1 hypothetical protein COO60DRAFT_658996 [Scenedesmus sp. NREL 46B-D3], KAF6264900.1 hypothetical protein COO60DRAFT_1633968 [Scenedesmus sp. NREL 46B-D3], KAF6262208.1 hypothetical protein COO60DRAFT_1636071 [Scenedesmus sp. NREL 46B-D3], KAF6250436.1 hypothetical protein COO60DRAFT_1705894 [Scenedesmus sp. NREL 46B-D3], KAF6264386.1 hypothetical protein COO60DRAFT_1660542 [Scenedesmus sp. NREL 46B-D3], KAF6262253.1 hypothetical protein COO60DRAFT_663095 [Scenedesmus sp. NREL 46B-D3], KAF6264385.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3], KAF6264313.1 hypothetical protein COO60DRAFT_1485513 [Scenedesmus sp. NREL 46B-D3], KAF6264328.1 hypothetical protein COO60DRAFT_1485562_ partial [Scenedesmus sp. NREL 46B-D3], KAF6264329.1 hypothetical protein COO60DRAFT_176363 [Scenedesmus sp. NREL 46B-D3]	KAF8060307.1 hypothetical protein HT031_004843 [Scenedesmus sp. PABB004], KAF8060278.1 hypothetical protein HT031_004813 [Scenedesmus sp. PABB004]
OG0001052	KAF6255334.1 hypothetical protein COO60DRAFT_226811 [Scenedesmus sp. NREL 46B-D3]	KAF8056760.1 TGD2 [Scenedesmus sp. PABB004], KAF8056764.1 RD21A [Scenedesmus sp. PABB004], KAF8056772.1 hypothetical protein HT031_006270 [Scenedesmus sp. PABB004], KAF8056774.1 hypothetical protein HT031_006272 [Scenedesmus sp. PABB004]
OG0001054	KAF6251457.1 mitochondrial substrate carrier protein [Scenedesmus sp. NREL 46B-D3], KAF6251459.1 mitochondrial substrate carrier_ partial [Scenedesmus sp. NREL 46B-D3], KAF6237335.1 mitochondrial substrate carrier protein [Scenedesmus sp. NREL 46B-D3]	KAF8056785.1 1-acyl-sn-glycerol-3-phosphate acyltransferase [Scenedesmus sp. PABB004]
OG0001056	KAF6256478.1 tetrahydrofolate dehydrogenase/cyclohydrolase [Scenedesmus sp. NREL 46B-D3], KAF6250681.1 tetrahydrofolate dehydrogenase/cyclohydrolase [Scenedesmus sp. NREL 46B-D3]	KAF8057282.1 FOLD2 [Scenedesmus sp. PABB004]
OG0001056	KAF6257748.1 5_10-methylenetetrahydrofolate dehydrogenase/5_10-methenyltetrahydrofolate cyclohydrolase [Scenedesmus sp. NREL 46B-D3]	KAF8063044.1 FOLD2 [Scenedesmus sp. PABB004]
OG0001057	KAF6264894.1 hypothetical protein COO60DRAFT_1698027 [Scenedesmus sp. NREL 46B-D3]	KAF8067227.1 hypothetical protein HT031_002274 [Scenedesmus sp. PABB004]
OG0001058	KAF6251942.1 hypothetical protein COO60DRAFT_1556043 [Scenedesmus sp. NREL 46B-D3]	KAF8073240.1 hypothetical protein HT031_000901 [Scenedesmus sp. PABB004]
OG0001059	KAF6256727.1 P-loop containing nucleoside triphosphate hydrolase protein_ partial [Scenedesmus sp. NREL 46B-D3]	KAF8070997.1 hypothetical protein HT031_001078 [Scenedesmus sp. PABB004]
OG0001060	KAF6258226.1 nuclear RNA helicase-like protein Bat1 [Scenedesmus sp. NREL 46B-D3]	KAF8063090.1 AIP1 [Scenedesmus sp. PABB004], KAF8061128.1 hypothetical protein HT031_004589 [Scenedesmus sp. PABB004], KAF8060275.1 hly [Scenedesmus sp. PABB004]
OG0001061	KAF6259709.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8065444.1 40S ribosomal protein S3a [Scenedesmus sp. PABB004]
OG0001062	KAF6258240.1 component of IIS longevity pathway SMK-1-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8063085.1 smkA [Scenedesmus sp. PABB004]
OG0001063	KAF6254566.1 selenide_ water dikinase [Scenedesmus sp. NREL 46B-D3]	KAF8068343.1 selD1 [Scenedesmus sp. PABB004]
OG0001064	KAF6254616.1 signal peptide peptidase-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6260106.1 signal peptide peptidase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8063764.1 SPP1 [Scenedesmus sp. PABB004]
OG0001065	KAF6251408.1 RNA recognition motif 2-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8060053.1 ML1 [Scenedesmus sp. PABB004]
OG0001066	KAF6233693.1 hypothetical protein COO60DRAFT_1653770 [Scenedesmus sp. NREL 46B-D3], KAF6251504.1 hypothetical protein COO60DRAFT_1704767 [Scenedesmus sp. NREL 46B-D3]	KAF8068357.1 gppA [Scenedesmus sp. PABB004]
OG0001067	KAF6257126.1 hypothetical protein COO60DRAFT_1701976 [Scenedesmus sp. NREL 46B-D3]	KAF8059991.1 rsph10b [Scenedesmus sp. PABB004]
OG0001067	KAF6255498.1 hypothetical protein COO60DRAFT_1702818 [Scenedesmus sp. NREL 46B-D3]	KAF8059981.1 ABCF1 [Scenedesmus sp. PABB004]
OG0001068	KAF6265604.1 hypothetical protein COO60DRAFT_1623787 [Scenedesmus sp. NREL 46B-D3], KAF6265615.1 Nse4 C-terminal-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8063801.1 NSE4A [Scenedesmus sp. PABB004]
OG0001069	KAF6266550.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8072987.1 GLO5 [Scenedesmus sp. PABB004]
OG0001072	KAF6264612.1 NUC121 domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8060362.1 BMS1 [Scenedesmus sp. PABB004]
OG0001074	KAF6257969.1 S-adenosyl-L-methionine synthetase [Scenedesmus sp. NREL 46B-D3]	KAF8073133.1 SAMS2 [Scenedesmus sp. PABB004]
OG0001074	KAF6261472.1 S-adenosylmethionine synthase [Scenedesmus sp. NREL 46B-D3]	KAF8058429.1 hypothetical protein HT031_005553 [Scenedesmus sp. PABB004]
OG0001075	KAF6260475.1 peroxisomal biogenesis factor 11-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6260492.1 peroxisomal biogenesis factor 11 [Scenedesmus sp. NREL 46B-D3]	KAF8069640.1 PEX11A [Scenedesmus sp. PABB004]
OG0001076	KAF6259463.1 hypothetical protein COO60DRAFT_1011290 [Scenedesmus sp. NREL 46B-D3]	KAF8068411.1 hypothetical protein HT031_002100 [Scenedesmus sp. PABB004]
OG0001077	KAF6266161.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	KAF8055758.1 KIN14F [Scenedesmus sp. PABB004]
OG0001079	KAF6257385.1 fumble-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257411.1 fumble-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8056112.1 pantothenate kinase 2 [Scenedesmus sp. PABB004]
OG0001080	KAF6254560.1 histidine phosphatase superfamily-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8068344.1 PPIP5K1 [Scenedesmus sp. PABB004]
OG0001080	KAF6263760.1 histidine phosphatase superfamily-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8059699.1 VIP2 [Scenedesmus sp. PABB004]
OG0001081	KAF6262004.1 hypothetical protein COO60DRAFT_703437 [Scenedesmus sp. NREL 46B-D3]	KAF8063678.1 CCT2 [Scenedesmus sp. PABB004]
OG0001082	KAF6260362.1 hypothetical protein COO60DRAFT_900351 [Scenedesmus sp. NREL 46B-D3], KAF6260361.1 ATP synthase [Scenedesmus sp. NREL 46B-D3]	KAF8073167.1 ATP synthase subunit delta [Scenedesmus sp. PABB004]
OG0001083	KAF6256988.1 hypothetical protein COO60DRAFT_47816 [Scenedesmus sp. NREL 46B-D3], KAF6256987.1 hypothetical protein COO60DRAFT_1526169 [Scenedesmus sp. NREL 46B-D3], KAF6258640.1 hypothetical protein COO60DRAFT_1626360 [Scenedesmus sp. NREL 46B-D3]	KAF8059193.1 CDK5RAP3-like protein [Scenedesmus sp. PABB004]
OG0001085	KAF6259149.1 Caleosin related protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8072391.1 SOP1 [Scenedesmus sp. PABB004]
OG0001086	KAF6255667.1 hypothetical protein COO60DRAFT_1272383 [Scenedesmus sp. NREL 46B-D3]	KAF8054876.1 MMD1 [Scenedesmus sp. PABB004]
OG0001087	KAF6253317.1 hypothetical protein COO60DRAFT_1547527 [Scenedesmus sp. NREL 46B-D3]	KAF8066355.1 RSP14 [Scenedesmus sp. PABB004]
OG0001087	KAF6260333.1 hypothetical protein COO60DRAFT_1459686 [Scenedesmus sp. NREL 46B-D3]	KAF8073191.1 hypothetical protein HT031_000852 [Scenedesmus sp. PABB004]
OG0001089	KAF6264686.1 hypothetical protein COO60DRAFT_1634287 [Scenedesmus sp. NREL 46B-D3]	KAF8067239.1 SEL1L [Scenedesmus sp. PABB004]
OG0001091	KAF6256456.1 hypothetical protein COO60DRAFT_1702321 [Scenedesmus sp. NREL 46B-D3]	KAF8068274.1 FBXL14 [Scenedesmus sp. PABB004]
OG0001092	KAF6257915.1 hypothetical protein COO60DRAFT_1639598 [Scenedesmus sp. NREL 46B-D3], KAF6252503.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6241927.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252504.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	KAF8057127.1 hypothetical protein HT031_006136 [Scenedesmus sp. PABB004]
OG0001094	KAF6266747.1 putative galactose kinase [Scenedesmus sp. NREL 46B-D3]	KAF8072914.1 GAL1 [Scenedesmus sp. PABB004], KAF8072885.1 GAL1 [Scenedesmus sp. PABB004]
OG0001095	KAF6261468.1 hypothetical protein COO60DRAFT_774232 [Scenedesmus sp. NREL 46B-D3]	KAF8071286.1 hypothetical protein HT031_001369 [Scenedesmus sp. PABB004]
OG0001095	KAF6261490.1 eukaryotic translation initiation factor 5 [Scenedesmus sp. NREL 46B-D3]	KAF8058433.1 eukaryotic translation initiation factor 5-1 [Scenedesmus sp. PABB004]
OG0001096	KAF6253902.1 putative MND1 domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8067426.1 mnd1 [Scenedesmus sp. PABB004], KAF8067425.1 hypothetical protein HT031_002473 [Scenedesmus sp. PABB004]
OG0001097	KAF6259474.1 flagellar associated protein [Scenedesmus sp. NREL 46B-D3], KAF6251066.1 Cilia/flagella-associated protein 20/WDR90/C3orf67 [Scenedesmus sp. NREL 46B-D3]	KAF8072674.1 CFAP20 [Scenedesmus sp. PABB004]
OG0001097	KAF6255993.1 gene trap locus 3 [Scenedesmus sp. NREL 46B-D3]	KAF8057721.1 Bug22 [Scenedesmus sp. PABB004]
OG0001098	KAF6254427.1 hypothetical protein COO60DRAFT_1622466 [Scenedesmus sp. NREL 46B-D3]	KAF8067259.1 3-oxoacyl-[acyl-carrier-protein] reductase [Scenedesmus sp. PABB004]
OG0001099	KAF6253922.1 DNA-directed RNA polymerase II_ 36 kDa polypeptide [Scenedesmus sp. NREL 46B-D3]	KAF8063747.1 NRPB3 [Scenedesmus sp. PABB004]
OG0001100	KAF6254037.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256795.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256796.1 acyl transferase/acyl hydrolase/lysophospholipase [Scenedesmus sp. NREL 46B-D3]	KAF8064603.1 CFAP61 [Scenedesmus sp. PABB004]
OG0001101	KAF6253322.1 eukaryotic translation initiation factor 3_ subunit 7 [Scenedesmus sp. NREL 46B-D3]	KAF8066359.1 EIF3D [Scenedesmus sp. PABB004]
OG0001103	KAF6252463.1 EMP/nonaspanin domain family protein [Scenedesmus sp. NREL 46B-D3]	KAF8064568.1 TMN7 [Scenedesmus sp. PABB004]
OG0001103	KAF6263028.1 EMP/nonaspanin domain family protein [Scenedesmus sp. NREL 46B-D3]	KAF8062046.1 TMN7 [Scenedesmus sp. PABB004]
OG0001104	KAF6263030.1 arginine biosynthesis protein ArgJ [Scenedesmus sp. NREL 46B-D3]	KAF8062048.1 ArgJ [Scenedesmus sp. PABB004]
OG0001105	KAF6265837.1 hypothetical protein COO60DRAFT_1266128 [Scenedesmus sp. NREL 46B-D3]	KAF8071039.1 Usp2 [Scenedesmus sp. PABB004]
OG0001108	KAF6253582.1 hypothetical protein COO60DRAFT_406260 [Scenedesmus sp. NREL 46B-D3]	KAF8072437.1 ccnb1 [Scenedesmus sp. PABB004]
OG0001109	KAF6260733.1 hypothetical protein COO60DRAFT_1700187 [Scenedesmus sp. NREL 46B-D3]	KAF8067312.1 TAF1 [Scenedesmus sp. PABB004]
OG0001110	KAF6252776.1 RmlC-like cupin domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8068293.1 hypothetical protein HT031_001980 [Scenedesmus sp. PABB004]
OG0001112	KAF6259691.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	KAF8065447.1 ODA6 [Scenedesmus sp. PABB004]
OG0001113	KAF6257668.1 hypothetical protein COO60DRAFT_1207305 [Scenedesmus sp. NREL 46B-D3]	KAF8068265.1 Insoluble matrix shell protein 1 [Scenedesmus sp. PABB004]
OG0001113	KAF6265788.1 hypothetical protein COO60DRAFT_1633244 [Scenedesmus sp. NREL 46B-D3], KAF6252773.1 hypothetical protein COO60DRAFT_500902 [Scenedesmus sp. NREL 46B-D3], KAF6252775.1 hypothetical protein COO60DRAFT_501041 [Scenedesmus sp. NREL 46B-D3]	KAF8068295.1 Insoluble matrix shell protein 1 [Scenedesmus sp. PABB004]
OG0001114	KAF6260800.1 hypothetical protein COO60DRAFT_1294208 [Scenedesmus sp. NREL 46B-D3], KAF6260798.1 hypothetical protein COO60DRAFT_1504895 [Scenedesmus sp. NREL 46B-D3]	KAF8063861.1 tatD [Scenedesmus sp. PABB004]
OG0001116	KAF6259247.1 serine carboxypeptidase S28-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8072769.1 DPP7 [Scenedesmus sp. PABB004]
OG0001116	KAF6260850.1 serine carboxypeptidase S28-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8054905.1 hypothetical protein HT031_006904 [Scenedesmus sp. PABB004]
OG0001118	KAF6260216.1 hypothetical protein COO60DRAFT_1283714 [Scenedesmus sp. NREL 46B-D3], KAF6256843.1 hypothetical protein COO60DRAFT_1471072 [Scenedesmus sp. NREL 46B-D3], KAF6262892.1 hypothetical protein COO60DRAFT_1493280 [Scenedesmus sp. NREL 46B-D3]	KAF8061901.1 P4H6 [Scenedesmus sp. PABB004]
OG0001119	KAF6256587.1 NUC091 domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8067405.1 hypothetical protein HT031_002453 [Scenedesmus sp. PABB004]
OG0001119	KAF6256589.1 hypothetical protein COO60DRAFT_91256 [Scenedesmus sp. NREL 46B-D3]	KAF8061967.1 NUG2 [Scenedesmus sp. PABB004]
OG0001120	KAF6258950.1 RNA polymerase subunit [Scenedesmus sp. NREL 46B-D3]	KAF8069430.1 RPC19 [Scenedesmus sp. PABB004]
OG0001120	KAF6255074.1 DNA-directed RNA polymerase [Scenedesmus sp. NREL 46B-D3]	KAF8071210.1 NRPB11 [Scenedesmus sp. PABB004]
OG0001122	KAF6260581.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	KAF8071278.1 UPF2 [Scenedesmus sp. PABB004]
OG0001123	KAF6264690.1 pre-mRNA splicing factor component-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8067237.1 CDC5 [Scenedesmus sp. PABB004]
OG0001124	KAF6255690.1 Ccc1 family [Scenedesmus sp. NREL 46B-D3], KAF6239468.1 VIT family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8057734.1 pcl1 [Scenedesmus sp. PABB004]
OG0001125	KAF6262221.1 isocitrate dehydrogenase_ NAD-dependent [Scenedesmus sp. NREL 46B-D3]	KAF8056351.1 IDH1 [Scenedesmus sp. PABB004]
OG0001125	KAF6251269.1 hypothetical protein COO60DRAFT_1561811_ partial [Scenedesmus sp. NREL 46B-D3]	KAF8056446.1 IDH6 [Scenedesmus sp. PABB004]
OG0001126	KAF6264914.1 hypothetical protein COO60DRAFT_1621541 [Scenedesmus sp. NREL 46B-D3]	KAF8070897.1 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Scenedesmus sp. PABB004]
OG0001127	KAF6252789.1 NAD-dependent glyceraldehyde-3-phosphate dehydrogenase [Scenedesmus sp. NREL 46B-D3]	KAF8073224.1 GapC [Scenedesmus sp. PABB004]
OG0001128	KAF6259069.1 inhibitor of apoptosis-promoting Bax1-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8062010.1 TMBIM6 [Scenedesmus sp. PABB004]
OG0001129	KAF6252833.1 hypothetical protein COO60DRAFT_494236 [Scenedesmus sp. NREL 46B-D3]	KAF8056130.1 hypothetical protein HT031_006481 [Scenedesmus sp. PABB004]
OG0001130	KAF6251886.1 hypothetical protein COO60DRAFT_1556592 [Scenedesmus sp. NREL 46B-D3]	KAF8062762.1 LSM5 [Scenedesmus sp. PABB004]
OG0001131	KAF6251573.1 hypothetical protein COO60DRAFT_606754 [Scenedesmus sp. NREL 46B-D3]	KAF8071382.1 SRP68 [Scenedesmus sp. PABB004]
OG0001133	KAF6254630.1 translation elongation factor_ mitochondrial [Scenedesmus sp. NREL 46B-D3]	KAF8058941.1 tuf [Scenedesmus sp. PABB004]
OG0001134	KAF6251732.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]	KAF8067210.1 CAND1 [Scenedesmus sp. PABB004]
OG0001135	KAF6262549.1 hypothetical protein COO60DRAFT_1624944_ partial [Scenedesmus sp. NREL 46B-D3]	KAF8066425.1 XBOS36 [Scenedesmus sp. PABB004]
OG0001135	KAF6252242.1 hypothetical protein COO60DRAFT_1644208 [Scenedesmus sp. NREL 46B-D3]	KAF8061113.1 hypothetical protein HT031_004574 [Scenedesmus sp. PABB004]
OG0001135	KAF6252243.1 hypothetical protein COO60DRAFT_544342 [Scenedesmus sp. NREL 46B-D3]	KAF8060095.1 RAD51B [Scenedesmus sp. PABB004], KAF8068152.1 hypothetical protein HT031_001838 [Scenedesmus sp. PABB004]
OG0001137	KAF6252139.1 nucleotide-diphospho-sugar transferase [Scenedesmus sp. NREL 46B-D3], KAF6254097.1 nucleotide-diphospho-sugar transferase [Scenedesmus sp. NREL 46B-D3], KAF6255283.1 nucleotide-diphospho-sugar transferase [Scenedesmus sp. NREL 46B-D3]	KAF8060101.1 GLCNAC1PUT2 [Scenedesmus sp. PABB004]
OG0001138	KAF6259541.1 snare associated Golgi protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8072707.1 TVP38/TMEM64 family membrane protein [Scenedesmus sp. PABB004]
OG0001138	KAF6253530.1 snare associated Golgi protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8069670.1 histone H3 [Scenedesmus sp. PABB004]
OG0001139	KAF6256143.1 nucleotide-diphospho-sugar transferase [Scenedesmus sp. NREL 46B-D3], KAF6260994.1 GDP-D-mannose pyrophosphorylase [Scenedesmus sp. NREL 46B-D3]	KAF8072722.1 mannose-1-phosphate guanylyltransferase [Scenedesmus sp. PABB004]
OG0001140	KAF6258483.1 hypothetical protein COO60DRAFT_1460658 [Scenedesmus sp. NREL 46B-D3], KAF6258484.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8058876.1 shkD [Scenedesmus sp. PABB004]
OG0001141	KAF6266095.1 hypothetical protein COO60DRAFT_1633146 [Scenedesmus sp. NREL 46B-D3]	KAF8059457.1 IMPACT family member in pol 5'region [Scenedesmus sp. PABB004]
OG0001142	KAF6251958.1 hypothetical protein COO60DRAFT_1556089 [Scenedesmus sp. NREL 46B-D3], KAF6252808.1 hypothetical protein COO60DRAFT_1704150 [Scenedesmus sp. NREL 46B-D3], KAF6265418.1 aspartate aminotransferase [Scenedesmus sp. NREL 46B-D3], KAF6259878.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]	KAF8066353.1 ISS1 [Scenedesmus sp. PABB004]
OG0001143	KAF6259027.1 hypothetical protein COO60DRAFT_1515824 [Scenedesmus sp. NREL 46B-D3]	KAF8073111.1 DEX1 [Scenedesmus sp. PABB004]
OG0001144	KAF6262496.1 Metalloenzyme_ LuxS/M16 peptidase-like protein [Scenedesmus sp. NREL 46B-D3]	KAF8073057.1 PXM16 [Scenedesmus sp. PABB004]
OG0001145	KAF6252366.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	KAF8073115.1 RFC3 [Scenedesmus sp. PABB004]
OG0001147	KAF6265995.1 signal peptide peptidase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8059420.1 SPPL2 [Scenedesmus sp. PABB004]
OG0001148	KAF6257459.1 ferredoxin-NADP reductase [Scenedesmus sp. NREL 46B-D3]	KAF8068423.1 DRC4 [Scenedesmus sp. PABB004]
OG0001149	KAF6259697.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8070919.1 Extracellular serine proteinase [Scenedesmus sp. PABB004]
OG0001149	KAF6253328.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8060579.1 Extracellular serine proteinase [Scenedesmus sp. PABB004]
OG0001150	KAF6253781.1 activator and specificity subunit of anaphase promoting complex [Scenedesmus sp. NREL 46B-D3], KAF6251981.1 activator and specificity subunit of anaphase promoting complex [Scenedesmus sp. NREL 46B-D3], KAF6260414.1 activator and specificity subunit of anaphase promoting complex [Scenedesmus sp. NREL 46B-D3]	KAF8069619.1 CDC20-2 [Scenedesmus sp. PABB004]
OG0001151	KAF6251306.1 chlorophyll a oxygenase [Scenedesmus sp. NREL 46B-D3]	KAF8065639.1 hypothetical protein HT031_003240 [Scenedesmus sp. PABB004]
OG0001152	KAF6253058.1 hypothetical protein COO60DRAFT_1549451 [Scenedesmus sp. NREL 46B-D3]	KAF8072364.1 Dhrsx [Scenedesmus sp. PABB004]
OG0001153	KAF6264335.1 hypothetical protein COO60DRAFT_176671 [Scenedesmus sp. NREL 46B-D3]	KAF8060498.1 histidine--tRNA ligase [Scenedesmus sp. PABB004]
OG0001156	KAF6260396.1 hypothetical protein COO60DRAFT_1294458 [Scenedesmus sp. NREL 46B-D3], KAF6260398.1 hypothetical protein COO60DRAFT_901873 [Scenedesmus sp. NREL 46B-D3]	KAF8073160.1 D2HGDH [Scenedesmus sp. PABB004]
OG0001158	KAF6252610.1 sulfite reductase [Scenedesmus sp. NREL 46B-D3]	KAF8068201.1 SIR1 [Scenedesmus sp. PABB004]
OG0001159	KAF6259480.1 hypothetical protein COO60DRAFT_1700780 [Scenedesmus sp. NREL 46B-D3]	KAF8062036.1 LAP1 [Scenedesmus sp. PABB004]
OG0001159	KAF6251830.1 cytosol aminopeptidase family_ catalytic domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8057771.1 LAP1 [Scenedesmus sp. PABB004]
OG0001161	KAF6262163.1 hypothetical protein COO60DRAFT_1699448 [Scenedesmus sp. NREL 46B-D3], KAF6255364.1 hypothetical protein COO60DRAFT_215195 [Scenedesmus sp. NREL 46B-D3], KAF6262164.1 hypothetical protein COO60DRAFT_1497567 [Scenedesmus sp. NREL 46B-D3], KAF6240404.1 hypothetical protein COO60DRAFT_339150 [Scenedesmus sp. NREL 46B-D3]	KAF8071349.1 thylakoid lumenal protein [Scenedesmus sp. PABB004]
OG0001162	KAF6264947.1 UV-endonuclease UvdE-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8070876.1 mus-18 [Scenedesmus sp. PABB004]
OG0001165	KAF6234312.1 GroES-like protein [Scenedesmus sp. NREL 46B-D3]	KAF8068252.1 fdh [Scenedesmus sp. PABB004]
OG0001166	KAF6253380.1 hypothetical protein COO60DRAFT_1547236 [Scenedesmus sp. NREL 46B-D3], KAF6260140.1 hypothetical protein COO60DRAFT_1470735 [Scenedesmus sp. NREL 46B-D3], KAF6260136.1 glycoside hydrolase superfamily_ partial [Scenedesmus sp. NREL 46B-D3], KAF6260138.1 pyruvate kinase [Scenedesmus sp. NREL 46B-D3]	KAF8059377.1 hypothetical protein HT031_005182 [Scenedesmus sp. PABB004]
OG0001167	KAF6251911.1 phosphate acetyltransferase [Scenedesmus sp. NREL 46B-D3], KAF6253656.1 phosphate acetyltransferase [Scenedesmus sp. NREL 46B-D3]	KAF8061400.1 pta [Scenedesmus sp. PABB004]
OG0001168	KAF6251888.1 hypothetical protein COO60DRAFT_1556594 [Scenedesmus sp. NREL 46B-D3]	KAF8062763.1 hypothetical protein HT031_004093 [Scenedesmus sp. PABB004]
OG0001169	KAF6261732.1 hypothetical protein COO60DRAFT_1293753 [Scenedesmus sp. NREL 46B-D3]	KAF8062989.1 crop [Scenedesmus sp. PABB004]
OG0001171	KAF6254967.1 sarcaleumin-like protein [Scenedesmus sp. NREL 46B-D3]	KAF8058834.1 Eif2b4 [Scenedesmus sp. PABB004]
OG0001172	KAF6260132.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]	KAF8059379.1 TBL2 [Scenedesmus sp. PABB004]
OG0001173	KAF6261994.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]	KAF8063691.1 RH28 [Scenedesmus sp. PABB004]
OG0001174	KAF6252859.1 catalase [Scenedesmus sp. NREL 46B-D3]	KAF8066435.1 CAT2 [Scenedesmus sp. PABB004]
OG0001175	KAF6259644.1 fumarate hydratase 2 [Scenedesmus sp. NREL 46B-D3]	KAF8057645.1 FUM1 [Scenedesmus sp. PABB004]
OG0001176	KAF6248527.1 hypothetical protein COO60DRAFT_1706973 [Scenedesmus sp. NREL 46B-D3], KAF6255651.1 hypothetical protein COO60DRAFT_1296524 [Scenedesmus sp. NREL 46B-D3]	KAF8064541.1 hypothetical protein HT031_003341 [Scenedesmus sp. PABB004]
OG0001177	KAF6252611.1 hypothetical protein COO60DRAFT_513932 [Scenedesmus sp. NREL 46B-D3], KAF6265877.1 hypothetical protein COO60DRAFT_767541 [Scenedesmus sp. NREL 46B-D3], KAF6265350.1 hypothetical protein COO60DRAFT_1041000 [Scenedesmus sp. NREL 46B-D3], KAF6252613.1 hypothetical protein COO60DRAFT_514006 [Scenedesmus sp. NREL 46B-D3]	KAF8068202.1 Ugt3a1 [Scenedesmus sp. PABB004]
