Orthogroup	Micractinium_SAG24180	Scenedesmus_NREL
OG0001242	PSC67247.1 Site-1 isoform 2 [Micractinium conductrix]	KAF6259290.1 hypothetical protein COO60DRAFT_1294910 [Scenedesmus sp. NREL 46B-D3]
OG0001243	PSC67826.1 isocitrate NADP-dependent [Micractinium conductrix], PSC67816.1 isocitrate NADP-dependent [Micractinium conductrix], PSC67246.1 isocitrate NADP-dependent [Micractinium conductrix]	KAF6256344.1 isocitrate dehydrogenase_ NADP-dependent_ mitochondrial [Scenedesmus sp. NREL 46B-D3]
OG0001244	PSC74818.1 glyoxal reductase-like [Micractinium conductrix], PSC75258.1 Aldo keto reductase [Micractinium conductrix]	KAF6255387.1 Aldo/keto reductase [Scenedesmus sp. NREL 46B-D3]
OG0001245	PSC70954.1 transcription factor MYB44-like isoform C [Micractinium conductrix], PSC70953.1 transcription factor MYB44-like isoform B [Micractinium conductrix], PSC70955.1 transcription factor MYB44-like isoform A [Micractinium conductrix]	KAF6260526.1 hypothetical protein COO60DRAFT_1637480 [Scenedesmus sp. NREL 46B-D3]
OG0001246	PSC73885.1 glutamyl-tRNA synthetase [Micractinium conductrix]	KAF6254122.1 tRNA synthetases class I_ catalytic domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001247	PSC70451.1 Serine palmitoyltransferase 2 [Micractinium conductrix]	KAF6250805.1 hypothetical protein COO60DRAFT_1679559 [Scenedesmus sp. NREL 46B-D3], KAF6251261.1 hypothetical protein COO60DRAFT_1562023 [Scenedesmus sp. NREL 46B-D3], KAF6256947.1 hypothetical protein COO60DRAFT_1640304 [Scenedesmus sp. NREL 46B-D3], KAF6256952.1 hypothetical protein COO60DRAFT_1702079 [Scenedesmus sp. NREL 46B-D3]
OG0001248	PSC70281.1 E3 ubiquitin-ligase UPL3-like isoform B [Micractinium conductrix], PSC70280.1 E3 ubiquitin-ligase UPL3-like isoform A [Micractinium conductrix]	KAF6266557.1 hypothetical protein COO60DRAFT_1697133 [Scenedesmus sp. NREL 46B-D3]
OG0001249	PSC75554.1 Adenine guanine permease AZG1 [Micractinium conductrix]	KAF6265110.1 hypothetical protein COO60DRAFT_1692284 [Scenedesmus sp. NREL 46B-D3]
OG0001250	PSC68998.1 synaptogyrin-1 isoform X1 [Micractinium conductrix], PSC69065.1 transmembrane of CMA family [Micractinium conductrix]	KAF6257887.1 hypothetical protein COO60DRAFT_1175149 [Scenedesmus sp. NREL 46B-D3]
OG0001251	PSC75346.1 heme peroxidase-related [Micractinium conductrix]	KAF6257600.1 heme peroxidase-related protein [Scenedesmus sp. NREL 46B-D3], KAF6255184.1 heme peroxidase-related protein [Scenedesmus sp. NREL 46B-D3]
OG0001252	PSC71423.1 26S proteasome non-ATPase regulatory subunit 10 [Micractinium conductrix]	KAF6250680.1 hypothetical protein COO60DRAFT_1568993_ partial [Scenedesmus sp. NREL 46B-D3], KAF6256476.1 hypothetical protein COO60DRAFT_1529374 [Scenedesmus sp. NREL 46B-D3]
OG0001253	PSC74672.1 nucleosome assembly [Micractinium conductrix]	KAF6262894.1 hypothetical protein COO60DRAFT_1493309 [Scenedesmus sp. NREL 46B-D3], KAF6262906.1 hypothetical protein COO60DRAFT_554149 [Scenedesmus sp. NREL 46B-D3]
OG0001254	PSC67564.1 hypothetical protein C2E20_8772 [Micractinium conductrix], PSC67566.1 hypothetical protein C2E20_8775 [Micractinium conductrix]	KAF6259282.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001255	PSC74804.1 hypothetical protein C2E20_2398 [Micractinium conductrix]	KAF6258841.1 hypothetical protein COO60DRAFT_1074463 [Scenedesmus sp. NREL 46B-D3], KAF6258845.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]
OG0001256	PSC74526.1 band 7 [Micractinium conductrix], PSC74396.1 40S ribosomal S7 [Micractinium conductrix]	KAF6258913.1 ribosomal protein S7e-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001257	PSC71632.1 sulfotransferase [Micractinium conductrix], PSC71617.1 dihydroneopterin aldolase [Micractinium conductrix]	KAF6256405.1 hypothetical protein COO60DRAFT_1529536 [Scenedesmus sp. NREL 46B-D3]
OG0001260	PSC74198.1 universal stress -like isoform X1 [Micractinium conductrix], PSC72425.1 universal stress [Micractinium conductrix]	KAF6251544.1 hypothetical protein COO60DRAFT_1704738 [Scenedesmus sp. NREL 46B-D3]
OG0001261	PSC68016.1 zinc metallo ase-like [Micractinium conductrix], PSC69486.1 zinc metallo ase [Micractinium conductrix]	KAF6263608.1 WLM domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001262	PSC69114.1 putative methyltransferase chloroplastic [Micractinium conductrix], PSC67139.1 putative methyltransferase chloroplastic_ partial [Micractinium conductrix]	KAF6266792.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0001263	PSC71100.1 putative DNA-3-methyladenine glycosylase 2 [Micractinium conductrix]	KAF6257590.1 hypothetical protein COO60DRAFT_1210744 [Scenedesmus sp. NREL 46B-D3], KAF6251912.1 hypothetical protein COO60DRAFT_1674268 [Scenedesmus sp. NREL 46B-D3], KAF6254423.1 hypothetical protein COO60DRAFT_1665172 [Scenedesmus sp. NREL 46B-D3]
OG0001264	PSC72101.1 tropinone reductase-like protein [Micractinium conductrix]	KAF6252199.1 hypothetical protein COO60DRAFT_1297975 [Scenedesmus sp. NREL 46B-D3], KAF6266195.1 hypothetical protein COO60DRAFT_1291712 [Scenedesmus sp. NREL 46B-D3]
OG0001265	PSC71581.1 hypothetical protein C2E20_5176 [Micractinium conductrix]	KAF6256718.1 hypothetical protein COO60DRAFT_84350 [Scenedesmus sp. NREL 46B-D3]
OG0001266	PSC73878.1 ATP-binding cassette sub-family A member 3 [Micractinium conductrix]	KAF6260984.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0001267	PSC76634.1 retinitis pigmentosa 1-like 1 [Micractinium conductrix]	KAF6265786.1 hypothetical protein COO60DRAFT_762315 [Scenedesmus sp. NREL 46B-D3], KAF6253487.1 hypothetical protein COO60DRAFT_416992 [Scenedesmus sp. NREL 46B-D3]
OG0001268	PSC68232.1 Interferon-related developmental regulator 1 [Micractinium conductrix]	KAF6262099.1 translocon-associated protein [Scenedesmus sp. NREL 46B-D3], KAF6258563.1 interferon-related developmental regulator-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001269	PSC68120.1 Methyltransferase type 11 [Micractinium conductrix], PSC68913.1 CMV 1a interacting 1 [Micractinium conductrix]	KAF6254312.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0001270	PSC75395.1 hypothetical protein C2E20_0976 [Micractinium conductrix]	KAF6255128.1 hypothetical protein COO60DRAFT_1702962 [Scenedesmus sp. NREL 46B-D3]
OG0001271	PSC72100.1 MFS general substrate transporter [Micractinium conductrix]	KAF6261556.1 hypothetical protein COO60DRAFT_1636708 [Scenedesmus sp. NREL 46B-D3]
OG0001272	PSC69660.1 peptidyl-prolyl cis-cyclophilin type [Micractinium conductrix], PSC70864.1 peptidyl-prolyl cis-cyclophilin type [Micractinium conductrix]	KAF6251927.1 hypothetical protein COO60DRAFT_576641 [Scenedesmus sp. NREL 46B-D3]
OG0001274	PSC67456.1 sucrose phosphatase [Micractinium conductrix]	KAF6261522.1 sucrose-6F-phosphate phosphohydrolase-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6237640.1 hypothetical protein COO60DRAFT_1653120 [Scenedesmus sp. NREL 46B-D3], KAF6261527.1 sucrose-6F-phosphate phosphohydrolase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001275	PSC72876.1 trafficking particle complex subunit 8 [Micractinium conductrix]	KAF6250991.1 ER-golgi trafficking TRAPP I complex 85 kDa subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6232855.1 hypothetical protein COO60DRAFT_1709627 [Scenedesmus sp. NREL 46B-D3]
OG0001276	PSC67198.1 mitochondrial-targeted muts 1_ partial [Micractinium conductrix], PSC67590.1 mitochondrial-targeted muts 1_ partial [Micractinium conductrix], PSC67200.1 mitochondrial-targeted muts 1 [Micractinium conductrix], PSC73121.1 DNA mismatch repair mitochondrial isoform X1_ partial [Micractinium conductrix], PSC73187.1 DNA mismatch repair mitochondrial isoform X2 [Micractinium conductrix]	KAF6251283.1 muts domain V-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001277	PSC68605.1 polyketide cyclase [Micractinium conductrix]	KAF6261979.1 hypothetical protein COO60DRAFT_1699548 [Scenedesmus sp. NREL 46B-D3]
OG0001277	PSC68426.1 S-adenosyl-L-methionine-dependent methyltransferase [Micractinium conductrix]	KAF6255779.1 hypothetical protein COO60DRAFT_1462029 [Scenedesmus sp. NREL 46B-D3]
OG0001278	PSC76023.1 sodium hydrogen exchanger 2-like [Micractinium conductrix], PSC68149.1 sodium hydrogen exchanger 4 [Micractinium conductrix]	KAF6265376.1 Sodium/hydrogen exchanger family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001279	PSC76678.1 Cyclic nucleotide-gated ion channel 1 [Micractinium conductrix]	KAF6265982.1 FAD dependent oxidoreductase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001280	PSC68053.1 L domain [Micractinium conductrix]	KAF6266199.1 hypothetical protein COO60DRAFT_441775 [Scenedesmus sp. NREL 46B-D3]
OG0001281	PSC71857.1 short-chain dehydrogenase TIC chloroplastic-like [Micractinium conductrix], PSC68474.1 WW domain-containing oxidoreductase [Micractinium conductrix], PSC68042.1 short-chain dehydrogenase reductase SDR [Micractinium conductrix]	KAF6253452.1 hypothetical protein COO60DRAFT_1622538 [Scenedesmus sp. NREL 46B-D3]
OG0001282	PSC76179.1 queuine tRNA-ribosyltransferase subunit QTRTD1-like [Micractinium conductrix]	KAF6252340.1 tRNA-guanine_15_ transglycosylase-like protein [Scenedesmus sp. NREL 46B-D3], KAF6250818.1 tRNA-guanine_15_ transglycosylase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0001285	PSC68522.1 Alpha-ketoglutarate permease isoform A [Micractinium conductrix]	KAF6260111.1 major facilitator superfamily domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6259186.1 major facilitator superfamily domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257270.1 major facilitator superfamily domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255166.1 major facilitator superfamily domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255165.1 major facilitator superfamily domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264201.1 major facilitator superfamily domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001287	PSC71016.1 cysteine desulfurase [Micractinium conductrix]	KAF6255756.1 sugar efflux transporter for intercellular exchange-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255226.1 hypothetical protein COO60DRAFT_1272616 [Scenedesmus sp. NREL 46B-D3], KAF6244012.1 hypothetical protein COO60DRAFT_1631461 [Scenedesmus sp. NREL 46B-D3], KAF6257263.1 hypothetical protein COO60DRAFT_1640092 [Scenedesmus sp. NREL 46B-D3], KAF6258801.1 sugar efflux transporter for intercellular exchange-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001289	PSC73135.1 Inositol-tetrakisphosphate 1-kinase 1 [Micractinium conductrix]	KAF6252338.1 hypothetical protein COO60DRAFT_540504 [Scenedesmus sp. NREL 46B-D3], KAF6250992.1 inositol 1_ 3_ 4-trisphosphate 5/6-kinase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001292	PSC76967.1 CTR type copper ion transporter [Micractinium conductrix]	KAF6264747.1 hypothetical protein COO60DRAFT_1698125 [Scenedesmus sp. NREL 46B-D3], KAF6264748.1 hypothetical protein COO60DRAFT_18856 [Scenedesmus sp. NREL 46B-D3], KAF6262912.1 hypothetical protein COO60DRAFT_554392 [Scenedesmus sp. NREL 46B-D3]
OG0001293	PSC74075.1 aluminum-activated malate transporter 10 [Micractinium conductrix], PSC74230.1 acetolactate synthase [Micractinium conductrix]	KAF6265087.1 hypothetical protein COO60DRAFT_1114641 [Scenedesmus sp. NREL 46B-D3]
OG0001294	PSC68181.1 CPLD51 required for cyt b6 assembly [Micractinium conductrix], PSC75155.1 MMPL family isoform A [Micractinium conductrix], PSC75156.1 MMPL family isoform B [Micractinium conductrix], PSC73377.1 mfs dha1 multidrug resistance [Micractinium conductrix], PSC71956.1 4 -phosphopantetheinyl transferase [Micractinium conductrix]	KAF6254294.1 hypothetical protein COO60DRAFT_331938 [Scenedesmus sp. NREL 46B-D3], KAF6257225.1 hypothetical protein COO60DRAFT_31260 [Scenedesmus sp. NREL 46B-D3]
OG0001295	PSC74216.1 ubiquitin specific peptidase 24 isoform B [Micractinium conductrix], PSC74217.1 ubiquitin specific peptidase 24 isoform A [Micractinium conductrix]	KAF6260179.1 hypothetical protein COO60DRAFT_1700419 [Scenedesmus sp. NREL 46B-D3]
OG0001296	PSC70557.1 methyltransferase [Micractinium conductrix], PSC69460.1 hypothetical protein C2E20_7027 [Micractinium conductrix], PSC73494.1 hypothetical protein C2E20_3323 [Micractinium conductrix], PSC70647.1 hypothetical protein C2E20_5971 [Micractinium conductrix], PSC70646.1 sidekick isoform X1 [Micractinium conductrix], PSC73452.1 ISH9-type transposase ISHwa3 [Micractinium conductrix], PSC70184.1 hypothetical protein C2E20_6274 [Micractinium conductrix]	KAF6252724.1 methyltransferase domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001297	PSC71740.1 hypothetical protein C2E20_4900 [Micractinium conductrix]	KAF6252807.1 hypothetical protein COO60DRAFT_1274119 [Scenedesmus sp. NREL 46B-D3], KAF6252805.1 hypothetical protein COO60DRAFT_1643720 [Scenedesmus sp. NREL 46B-D3], KAF6251959.1 hypothetical protein COO60DRAFT_1644507 [Scenedesmus sp. NREL 46B-D3], KAF6252793.1 hypothetical protein COO60DRAFT_498682 [Scenedesmus sp. NREL 46B-D3]
OG0001299	PSC67424.1 chromosome segregation SMC [Micractinium conductrix]	KAF6252615.1 hypothetical protein COO60DRAFT_1672060 [Scenedesmus sp. NREL 46B-D3]
OG0001305	PSC72844.1 septin-10-isoform B [Micractinium conductrix], PSC72843.1 septin-10-isoform A [Micractinium conductrix]	KAF6265905.1 hypothetical protein COO60DRAFT_1697577 [Scenedesmus sp. NREL 46B-D3]
OG0001306	PSC72093.1 hypothetical protein C2E20_4506 [Micractinium conductrix]	KAF6261912.1 hypothetical protein COO60DRAFT_714648 [Scenedesmus sp. NREL 46B-D3], KAF6261913.1 hypothetical protein COO60DRAFT_714719 [Scenedesmus sp. NREL 46B-D3]
OG0001307	PSC69084.1 magnesium chelatase subunit H isoform A [Micractinium conductrix]	KAF6251849.1 magnesium protoporphyrin chelatase [Scenedesmus sp. NREL 46B-D3]
OG0001309	PSC72123.1 putative splicing factor 3A subunit 1 [Micractinium conductrix]	KAF6251060.1 putative splicing factor 3A subunit 1 [Scenedesmus sp. NREL 46B-D3]
OG0001310	PSC69138.1 Serine-threonine kinase receptor-associated [Micractinium conductrix]	KAF6254147.1 WD40 repeat-like protein [Scenedesmus sp. NREL 46B-D3], KAF6248611.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3]
OG0001311	PSC72180.1 AP-4 complex subunit epsilon [Micractinium conductrix]	KAF6264582.1 ARM repeat-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001312	PSC68794.1 DNA-directed RNA polymerases I and III subunit RPAC1 [Micractinium conductrix]	KAF6264070.1 insert subdomain of RNA polymerase alpha subunit [Scenedesmus sp. NREL 46B-D3]
OG0001313	PSC72140.1 phosphoacetylglucosamine mutase [Micractinium conductrix]	KAF6256137.1 phosphoacetylglucosamine mutase [Scenedesmus sp. NREL 46B-D3]
OG0001314	PSC72268.1 tetratricopeptide repeat 4-like protein [Micractinium conductrix]	KAF6259157.1 hypothetical protein COO60DRAFT_1046462 [Scenedesmus sp. NREL 46B-D3], KAF6252721.1 hypothetical protein COO60DRAFT_1463572 [Scenedesmus sp. NREL 46B-D3], KAF6259158.1 hypothetical protein COO60DRAFT_1622080 [Scenedesmus sp. NREL 46B-D3]
OG0001315	PSC74084.1 DNA damage-inducible 1-like [Micractinium conductrix]	KAF6263194.1 hypothetical protein COO60DRAFT_512600 [Scenedesmus sp. NREL 46B-D3]
OG0001316	PSC74340.1 Chaperone dnaJ 13 isoform A [Micractinium conductrix], PSC74339.1 Chaperone dnaJ 13 isoform B [Micractinium conductrix]	KAF6251111.1 molecular chaperone [Scenedesmus sp. NREL 46B-D3]
OG0001317	PSC67181.1 proliferation-associated 2G4 [Micractinium conductrix], PSC67177.1 proliferation-associated 2G4 [Micractinium conductrix], PSC67049.1 proliferation-associated 2G4-like [Micractinium conductrix], PSC67649.1 proliferation-associated 2G4 [Micractinium conductrix]	KAF6260545.1 peptidase M24_ structural domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001318	PSC70338.1 tyrosine-tRNA cytoplasmic-like [Micractinium conductrix]	KAF6255921.1 hypothetical protein COO60DRAFT_1532445 [Scenedesmus sp. NREL 46B-D3], KAF6257050.1 hypothetical protein COO60DRAFT_1285162 [Scenedesmus sp. NREL 46B-D3]
OG0001319	PSC72660.1 exportin-7 isoform X2 isoform A [Micractinium conductrix], PSC72659.1 exportin-7 isoform X2 isoform B [Micractinium conductrix]	KAF6257192.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]
OG0001320	PSC74309.1 DNA primase large subunit [Micractinium conductrix], PSC74333.1 putative DNA primase large subunit [Micractinium conductrix]	KAF6264179.1 eukaryotic and archaeal DNA primase_ large subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001321	PSC74205.1 lipase class 3 family isoform B [Micractinium conductrix], PSC74204.1 lipase class 3 family isoform A [Micractinium conductrix]	KAF6262632.1 hypothetical protein COO60DRAFT_1699194 [Scenedesmus sp. NREL 46B-D3], KAF6262630.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001322	PSC74103.1 mitogen-activated kinase kinase kinase NPK1-like [Micractinium conductrix]	KAF6253116.1 hypothetical protein COO60DRAFT_1703957 [Scenedesmus sp. NREL 46B-D3], KAF6264190.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253115.1 CAP domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001323	PSC71696.1 CLIP-associated -like isoform A [Micractinium conductrix], PSC71695.1 CLIP-associated -like isoform B [Micractinium conductrix]	KAF6252277.1 clasp N terminal-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001324	PSC72646.1 expressed protein isoform B [Micractinium conductrix], PSC72645.1 expressed protein isoform A [Micractinium conductrix]	KAF6260599.1 hypothetical protein COO60DRAFT_1505448 [Scenedesmus sp. NREL 46B-D3]
OG0001325	PSC73307.1 casein kinase I isoform delta-like [Micractinium conductrix]	KAF6237642.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251528.1 ser/thr kinase [Scenedesmus sp. NREL 46B-D3], KAF6256198.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001326	PSC68524.1 hypothetical protein C2E20_7913 [Micractinium conductrix]	KAF6251989.1 hypothetical protein COO60DRAFT_1644443 [Scenedesmus sp. NREL 46B-D3], KAF6263679.1 wings apart-like protein regulation of heterochromatin-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001327	PSC68057.1 cation symporter [Micractinium conductrix], PSC68012.1 hypothetical protein C2E20_8356 [Micractinium conductrix]	KAF6252087.1 hypothetical protein COO60DRAFT_559993 [Scenedesmus sp. NREL 46B-D3]
OG0001328	PSC76271.1 tryptophan synthase beta chain 1 [Micractinium conductrix]	KAF6266528.1 tryptophan synthase beta [Scenedesmus sp. NREL 46B-D3]
OG0001329	PSC75600.1 disulfide isomerase-like 1-4 [Micractinium conductrix]	KAF6260249.1 protein disulfide isomerase precursor [Scenedesmus sp. NREL 46B-D3]
OG0001330	PSC73089.1 hypersensitive-induced response 1 [Micractinium conductrix]	KAF6253654.1 hypersensitive-induced response protein [Scenedesmus sp. NREL 46B-D3], KAF6263260.1 flagellar associated protein [Scenedesmus sp. NREL 46B-D3]
OG0001331	PSC76567.1 glycosyltransferase family 32 [Micractinium conductrix], PSC76571.1 glycosyltransferase family 32 [Micractinium conductrix]	KAF6259451.1 hypothetical protein COO60DRAFT_1700847 [Scenedesmus sp. NREL 46B-D3]
OG0001332	PSC76421.1 eukaryotic translation initiation factor 3 subunit L-like [Micractinium conductrix]	KAF6257747.1 RNA polymerase I-associated factor PAF67-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001333	PSC76463.1 enoyl-hydratase [Micractinium conductrix]	KAF6258887.1 ClpP/crotonase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6261538.1 cyclohex-1-ene-1-carboxyl-CoA hydratase [Scenedesmus sp. NREL 46B-D3]
OG0001334	PSC76969.1 DEAD-box ATP-dependent RNA helicase 13 [Micractinium conductrix]	KAF6262592.1 hypothetical protein COO60DRAFT_1699171 [Scenedesmus sp. NREL 46B-D3]
OG0001335	PSC76754.1 tesmin TSO1-like CXC 5 [Micractinium conductrix]	KAF6265208.1 hypothetical protein COO60DRAFT_1035030 [Scenedesmus sp. NREL 46B-D3]
OG0001336	PSC76186.1 Biotin carboxyl carrier of acetyl-carboxylase isoform A [Micractinium conductrix], PSC76187.1 Biotin carboxyl carrier of acetyl-carboxylase isoform B [Micractinium conductrix]	KAF6251305.1 hypothetical protein COO60DRAFT_1561489 [Scenedesmus sp. NREL 46B-D3], KAF6253226.1 hypothetical protein COO60DRAFT_1703906 [Scenedesmus sp. NREL 46B-D3]
OG0001337	PSC76740.1 U3 small nucleolar RNA-associated 14-like protein A isoform A [Micractinium conductrix], PSC76741.1 U3 small nucleolar RNA-associated 14-like protein A isoform B [Micractinium conductrix]	KAF6257301.1 Utp14 protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001338	PSC75305.1 carbon catabolite repressor 4-like protein 1 [Micractinium conductrix]	KAF6257457.1 phosphatase family [Scenedesmus sp. NREL 46B-D3]
OG0001339	PSC75052.1 8-hydroxygeraniol dehydrogenase-like [Micractinium conductrix]	KAF6264307.1 chaperonin 10-like protein [Scenedesmus sp. NREL 46B-D3], KAF6255095.1 chaperonin 10-like protein [Scenedesmus sp. NREL 46B-D3]
OG0001340	PSC71802.1 Diaminopimelate chloroplastic [Micractinium conductrix]	KAF6263281.1 diaminopimelate epimerase [Scenedesmus sp. NREL 46B-D3], KAF6263286.1 hypothetical protein COO60DRAFT_488362 [Scenedesmus sp. NREL 46B-D3]
OG0001341	PSC69519.1 Far upstream element-binding 1 [Micractinium conductrix]	KAF6259844.1 hypothetical protein COO60DRAFT_964922 [Scenedesmus sp. NREL 46B-D3]
OG0001342	PSC72970.1 NPL4 1 [Micractinium conductrix]	KAF6262215.1 NPL4 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262213.1 NPL4 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001343	PSC76155.1 Gamma-tubulin complex component 2 [Micractinium conductrix]	KAF6237058.1 hypothetical protein COO60DRAFT_464443 [Scenedesmus sp. NREL 46B-D3], KAF6252370.1 Spc98 family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001344	PSC75590.1 ribose-phosphate pyrophosphokinase 4 [Micractinium conductrix]	KAF6257322.1 ribose-phosphate pyrophosphokinase [Scenedesmus sp. NREL 46B-D3]
OG0001345	PSC73666.1 hypothetical protein C2E20_3077 [Micractinium conductrix]	KAF6261003.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001346	PSC67324.1 Coiled-coil domain-containing 132 [Micractinium conductrix]	KAF6255988.1 hypothetical protein COO60DRAFT_1702554 [Scenedesmus sp. NREL 46B-D3]
OG0001348	PSC75982.1 hypothetical protein C2E20_0966 [Micractinium conductrix], PSC75983.1 hypothetical protein C2E20_0966 [Micractinium conductrix]	KAF6266534.1 hypothetical protein COO60DRAFT_1697122 [Scenedesmus sp. NREL 46B-D3], KAF6264038.1 hypothetical protein COO60DRAFT_1624407 [Scenedesmus sp. NREL 46B-D3]
OG0001349	PSC75560.1 lysine histidine transporter 2-like [Micractinium conductrix]	KAF6255805.1 amino acid transmembrane transporter [Scenedesmus sp. NREL 46B-D3], KAF6255460.1 transmembrane amino acid transporter protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001350	PSC74855.1 Isocitrate lyase [Micractinium conductrix]	KAF6252108.1 Pyruvate/Phosphoenolpyruvate kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252110.1 Pyruvate/Phosphoenolpyruvate kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001351	PSC69972.1 Kanadaptin [Micractinium conductrix]	KAF6262046.1 hypothetical protein COO60DRAFT_1699481 [Scenedesmus sp. NREL 46B-D3], KAF6250459.1 SMAD/FHA domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001352	PSC67481.1 glycosyl transferase family 2 [Micractinium conductrix]	KAF6251769.1 glycosyltransferase family 92-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001353	PSC69405.1 D-amino-acid chloroplastic-like [Micractinium conductrix]	KAF6252089.1 aminotransferase [Scenedesmus sp. NREL 46B-D3]
OG0001354	PSC69969.1 metal transporter Nramp2-like [Micractinium conductrix]	KAF6254916.1 natural resistance-associated macrophage protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001355	PSC67838.1 sorbosone dehydrogenase [Micractinium conductrix]	KAF6265897.1 hypothetical protein COO60DRAFT_1633308 [Scenedesmus sp. NREL 46B-D3], KAF6255954.1 hypothetical protein COO60DRAFT_1702581 [Scenedesmus sp. NREL 46B-D3]
OG0001356	PSC74315.1 Fanconi anemia group M isoform X1 [Micractinium conductrix]	KAF6257094.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0001357	PSC67330.1 phosphatase 2C [Micractinium conductrix], PSC75823.1 phosphatase 2C [Micractinium conductrix]	KAF6263076.1 phosphatase 2C-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001358	PSC75110.1 elongation factor G-mitochondrial [Micractinium conductrix]	KAF6259435.1 hypothetical protein COO60DRAFT_1626084 [Scenedesmus sp. NREL 46B-D3]
OG0001359	PSC69888.1 helicase and polymerase-containing TEBICHI [Micractinium conductrix]	KAF6260432.1 hypothetical protein COO60DRAFT_891418 [Scenedesmus sp. NREL 46B-D3], KAF6260431.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0001360	PSC75633.1 bifunctional 3-dehydroquinate dehydratase shikimate dehydrogenase_ chloroplastic-like [Micractinium conductrix]	KAF6260878.1 type I 3-dehydroquinase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001361	PSC72940.1 Parkin coregulated like [Micractinium conductrix]	KAF6264138.1 hypothetical protein COO60DRAFT_220740 [Scenedesmus sp. NREL 46B-D3], KAF6264145.1 hypothetical protein COO60DRAFT_1662012 [Scenedesmus sp. NREL 46B-D3], KAF6264137.1 hypothetical protein COO60DRAFT_220743 [Scenedesmus sp. NREL 46B-D3], KAF6264135.1 parkin-co-regulated protein [Scenedesmus sp. NREL 46B-D3]
