Orthogroup	Coccomyxa_SubellipsoideaC169	Chlorella_KRBP
OG0000660	EIE27006.1 ribosomal protein S27 isoform B component of 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169], EIE27005.1 hypothetical protein COCSUDRAFT_27353 [Coccomyxa subellipsoidea C-169], EIE25175.1 leucine-rich repeat family protein [Coccomyxa subellipsoidea C-169]	QAXK01014960.1_11495-10348
OG0000661	EIE23777.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169], EIE23823.1 hypothetical protein COCSUDRAFT_83698 [Coccomyxa subellipsoidea C-169]	QAXK01004242.1_3727-7707
OG0000662	EIE24358.1 DUF1350-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01000452.1_6301-4533
OG0000664	EIE25790.1 histone H3 methyltransferase complex and RNA cleavage factor II complex_ subunit SWD2 [Coccomyxa subellipsoidea C-169], EIE24950.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01015723.1_3192-4172
OG0000671	EIE24660.1 FKBP-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE24611.1 RNA polymerase Rpc34 [Coccomyxa subellipsoidea C-169]	QAXK01001535.1_15806-14316
OG0000676	EIE22514.1 hypothetical protein COCSUDRAFT_83471 [Coccomyxa subellipsoidea C-169]	QAXK01015338.1_519-166
OG0000678	EIE27036.1 E3 ubiquitin ligase SCF complex_ Skp subunit [Coccomyxa subellipsoidea C-169], EIE25932.1 NAF1-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01001500.1_1992-2978
OG0000679	EIE19720.1 ribosomal protein L17 [Coccomyxa subellipsoidea C-169], EIE25624.1 hypothetical protein COCSUDRAFT_83631 [Coccomyxa subellipsoidea C-169]	QAXK01006881.1_8512-9541
OG0000688	EIE22014.1 NMD3-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE25427.1 hypothetical protein COCSUDRAFT_65241 [Coccomyxa subellipsoidea C-169]	QAXK01003305.1_27047-24211
OG0000689	EIE24334.1 2-isopropylmalate synthase [Coccomyxa subellipsoidea C-169]	QAXK01001638.1_16082-13313
OG0000691	EIE25437.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	QAXK01001186.1_10565-8532
OG0000693	EIE25375.1 FMN-linked oxidoreductase [Coccomyxa subellipsoidea C-169], EIE25227.1 MRG-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01008377.1_3630-1851
OG0000694	EIE26727.1 hypothetical protein COCSUDRAFT_52437 [Coccomyxa subellipsoidea C-169]	QAXK01012986.1_3546-2582
OG0000697	EIE20076.1 peptide deformylase [Coccomyxa subellipsoidea C-169], EIE20358.1 hypothetical protein COCSUDRAFT_18562 [Coccomyxa subellipsoidea C-169]	QAXK01000899.1_15443-14285
OG0000704	EIE24965.1 hypothetical protein COCSUDRAFT_83657 [Coccomyxa subellipsoidea C-169], EIE24446.1 hypothetical protein COCSUDRAFT_61871 [Coccomyxa subellipsoidea C-169]	QAXK01006701.1_1896-1296
OG0000730	EIE22867.1 pre-mRNA-splicing factor [Coccomyxa subellipsoidea C-169]	QAXK01001551.1_59690-63747
OG0000732	EIE19640.1 hypothetical protein COCSUDRAFT_25684 [Coccomyxa subellipsoidea C-169], EIE23154.1 hypothetical protein COCSUDRAFT_53525 [Coccomyxa subellipsoidea C-169]	QAXK01003652.1_16558-15646
OG0000734	EIE25917.1 hypothetical protein COCSUDRAFT_12734_ partial [Coccomyxa subellipsoidea C-169]	QAXK01007307.1_6962-7960
OG0000735	EIE19486.1 TBP-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE24985.1 hypothetical protein COCSUDRAFT_32529 [Coccomyxa subellipsoidea C-169]	QAXK01011105.1_8336-6488
OG0000747	EIE22051.1 hypothetical protein COCSUDRAFT_53946 [Coccomyxa subellipsoidea C-169]	QAXK01006607.1_16309-17535
OG0000753	EIE19389.1 succinate-CoA ligase beta chain [Coccomyxa subellipsoidea C-169]	QAXK01001647.1_3154-482
OG0000764	EIE22719.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]	QAXK01005724.1_7661-4858
OG0000770	EIE26552.1 apospory-associated protein C [Coccomyxa subellipsoidea C-169]	QAXK01003607.1_11324-13747
OG0000774	EIE19549.1 hypothetical protein COCSUDRAFT_67695 [Coccomyxa subellipsoidea C-169], EIE19548.1 DUF1649-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01004825.1_8965-10753
OG0000777	EIE19792.1 hypothetical protein COCSUDRAFT_58521 [Coccomyxa subellipsoidea C-169], EIE24655.1 Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase [Coccomyxa subellipsoidea C-169]	QAXK01002948.1_4354-3157
OG0000778	EIE21316.1 hypothetical protein COCSUDRAFT_56538 [Coccomyxa subellipsoidea C-169], EIE20780.1 SET domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01014006.1_1593-3302
OG0000782	EIE22177.1 DUF212-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01009651.1_2303-1712
OG0000784	EIE18852.1 nucleotide-diphospho-sugar transferase [Coccomyxa subellipsoidea C-169]	QAXK01014689.1_5406-4708
OG0000786	EIE23853.1 Ketosamine-3-kinase [Coccomyxa subellipsoidea C-169]	QAXK01006828.1_9411-7696
OG0000788	EIE19018.1 centrin [Coccomyxa subellipsoidea C-169]	QAXK01010339.1_3422-4517
OG0000793	EIE25466.1 root hair defective 3 GTP-binding protein [Coccomyxa subellipsoidea C-169], EIE18689.1 hypothetical protein COCSUDRAFT_60000 [Coccomyxa subellipsoidea C-169]	QAXK01000249.1_22218-16975
OG0000799	EIE18157.1 Maf-like protein [Coccomyxa subellipsoidea C-169], EIE23808.1 DNA/RNA non-specific endonuclease_ partial [Coccomyxa subellipsoidea C-169]	QAXK01005565.1_18254-19052
OG0000818	EIE18899.1 mitochondrial carrier protein [Coccomyxa subellipsoidea C-169]	QAXK01008587.1_153-1989
OG0000819	EIE25225.1 hypothetical protein COCSUDRAFT_61463 [Coccomyxa subellipsoidea C-169], EIE25264.1 hypothetical protein COCSUDRAFT_13889_ partial [Coccomyxa subellipsoidea C-169]	QAXK01003572.1_15443-13865
OG0000827	EIE23070.1 acetohydroxy acid isomeroreductase [Coccomyxa subellipsoidea C-169]	QAXK01003364.1_14418-18303
OG0000828	EIE25496.1 hypothetical protein COCSUDRAFT_61709 [Coccomyxa subellipsoidea C-169], EIE25523.1 hypothetical protein COCSUDRAFT_40742 [Coccomyxa subellipsoidea C-169]	QAXK01000782.1_20679-19905
OG0000830	EIE22727.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]	QAXK01013271.1_12309-15183
OG0000838	EIE25269.1 hypothetical protein COCSUDRAFT_61497 [Coccomyxa subellipsoidea C-169], EIE25268.1 CS-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01003718.1_1305-2104
OG0000856	EIE26409.1 putative O-sialoglyco protein endopeptidase [Coccomyxa subellipsoidea C-169], EIE26271.1 DUF1014-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01018212.1_1235-2568
OG0000857	EIE20406.1 hypothetical protein COCSUDRAFT_37744 [Coccomyxa subellipsoidea C-169], EIE22754.1 DnaJ-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01003829.1_4453-4800
OG0000858	EIE25902.1 hypothetical protein COCSUDRAFT_27505 [Coccomyxa subellipsoidea C-169]	QAXK01000114.1_14115-13091
OG0000882	EIE19234.1 PIN domain-like protein [Coccomyxa subellipsoidea C-169]	QAXK01006249.1_4939-7634
OG0000890	EIE27439.1 hypothetical protein COCSUDRAFT_11457 [Coccomyxa subellipsoidea C-169]	QAXK01001134.1_10091-19430
OG0000898	EIE18893.1 hypothetical protein COCSUDRAFT_45039 [Coccomyxa subellipsoidea C-169], EIE18896.1 DUF699-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01003876.1_5991-120
OG0000899	EIE19918.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169], EIE19917.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	QAXK01013989.1_346-4178
OG0000908	EIE18454.1 iron-sulfur cluster assembly protein IscA [Coccomyxa subellipsoidea C-169]	QAXK01003972.1_3812-4471
OG0000925	EIE21091.1 hypothetical protein COCSUDRAFT_33788 [Coccomyxa subellipsoidea C-169]	QAXK01005294.1_1798-325
OG0000926	EIE19009.1 hypothetical protein COCSUDRAFT_83599 [Coccomyxa subellipsoidea C-169]	QAXK01006171.1_11343-179
OG0000932	EIE20530.1 hypothetical protein COCSUDRAFT_10924_ partial [Coccomyxa subellipsoidea C-169], EIE22786.1 PRA-CH-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01003666.1_997-2479
OG0000934	EIE23704.1 nucleotide-diphospho-sugar transferase [Coccomyxa subellipsoidea C-169], EIE23705.1 nucleotide-diphospho-sugar transferase_ partial [Coccomyxa subellipsoidea C-169]	QAXK01002301.1_12772-10269
OG0000936	EIE27426.1 hypothetical protein COCSUDRAFT_52164 [Coccomyxa subellipsoidea C-169]	QAXK01016824.1_8642-5783
OG0000942	EIE26649.1 ankyrin [Coccomyxa subellipsoidea C-169]	QAXK01000587.1_67122-65127
OG0000950	EIE18998.1 hypothetical protein COCSUDRAFT_20201 [Coccomyxa subellipsoidea C-169], EIE24648.1 hypothetical protein COCSUDRAFT_65460 [Coccomyxa subellipsoidea C-169]	QAXK01002497.1_4221-184
OG0000953	EIE26723.1 PCI-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01003575.1_2283-197
OG0000971	EIE26601.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	QAXK01002117.1_8261-6549
OG0000972	EIE26041.1 NADH-ubiquinone oxidoreductase [Coccomyxa subellipsoidea C-169]	QAXK01000705.1_20067-23668
OG0000974	EIE23469.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE27725.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01004234.1_3012-6646
OG0000975	EIE20929.1 long-chain acyl-CoA synthetase 7 [Coccomyxa subellipsoidea C-169]	QAXK01000204.1_17480-21863
OG0000993	EIE18346.1 argininosuccinate synthase [Coccomyxa subellipsoidea C-169], EIE24113.1 ABC family transporter [Coccomyxa subellipsoidea C-169]	QAXK01000283.1_5726-3204
OG0001052	EIE25724.1 hypothetical protein COCSUDRAFT_46353 [Coccomyxa subellipsoidea C-169]	QAXK01004375.1_5952-7899
OG0001054	EIE25726.1 mitochondrial substrate carrier protein [Coccomyxa subellipsoidea C-169]	QAXK01011306.1_4473-2613
OG0001058	EIE26580.1 hypothetical protein COCSUDRAFT_52390 [Coccomyxa subellipsoidea C-169]	QAXK01006232.1_3779-3289
OG0001060	EIE19232.1 nuclear RNA helicase-like protein Bat1 [Coccomyxa subellipsoidea C-169]	QAXK01001037.1_5070-1976
OG0001061	EIE26074.1 ribosomal protein S3Ae [Coccomyxa subellipsoidea C-169]	QAXK01005753.1_2076-3799
OG0001062	EIE26200.1 DUF625-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01000341.1_1318-5933
OG0001063	EIE18889.1 hypothetical protein COCSUDRAFT_45036 [Coccomyxa subellipsoidea C-169], EIE21227.1 selenide_ water dikinase [Coccomyxa subellipsoidea C-169]	QAXK01005942.1_10013-5629
OG0001064	EIE19231.1 eukaryotic-type signal peptide peptidase [Coccomyxa subellipsoidea C-169]	QAXK01004812.1_12403-13506
OG0001072	EIE20399.1 DUF663-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01000429.1_50912-41458
OG0001074	EIE27619.1 methionine adenosyltransferase [Coccomyxa subellipsoidea C-169]	QAXK01000217.1_8076-10531
OG0001079	EIE24982.1 fumble-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01000446.1_57156-52957
OG0001082	EIE18850.1 hypothetical protein COCSUDRAFT_68051 [Coccomyxa subellipsoidea C-169], EIE19366.1 hypothetical protein COCSUDRAFT_48924 [Coccomyxa subellipsoidea C-169]	QAXK01005854.1_4720-5401
OG0001088	EIE27736.1 60S ribosomal protein L18a-2 [Coccomyxa subellipsoidea C-169]	QAXK01002175.1_7346-5749
OG0001094	EIE20828.1 Galactokinase [Coccomyxa subellipsoidea C-169]	QAXK01001089.1_6956-8023
OG0001095	EIE27686.1 hypothetical protein COCSUDRAFT_64334 [Coccomyxa subellipsoidea C-169]	QAXK01000217.1_13973-11099
OG0001096	EIE24578.1 putative MND1 domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01005613.1_12658-11106
OG0001099	EIE18511.1 DNA-directed RNA polymerase II_ 36 kDa polypeptide [Coccomyxa subellipsoidea C-169]	QAXK01001823.1_3618-2631
OG0001101	EIE24586.1 eukaryotic translation initiation factor 3_ subunit 7 [Coccomyxa subellipsoidea C-169]	QAXK01003836.1_8909-3187
OG0001103	EIE21130.1 EMP/nonaspanin domain family protein [Coccomyxa subellipsoidea C-169]	QAXK01003163.1_8178-11099
OG0001105	EIE25323.1 hypothetical protein COCSUDRAFT_61545 [Coccomyxa subellipsoidea C-169]	QAXK01006902.1_4861-6562
OG0001120	EIE22071.1 RBP11-like subunits of RNA polymerase [Coccomyxa subellipsoidea C-169], EIE18255.1 RBP11-like subunits of RNA polymerase [Coccomyxa subellipsoidea C-169]	QAXK01002607.1_494-808
OG0001122	EIE27329.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01010311.1_2932-555
OG0001123	EIE24122.1 hypothetical protein COCSUDRAFT_65754 [Coccomyxa subellipsoidea C-169]	QAXK01007750.1_2281-4745
OG0001133	EIE18932.1 translation elongation factor_ mitochondrial [Coccomyxa subellipsoidea C-169], EIE23346.1 translation elongation factor_ mitochondrial [Coccomyxa subellipsoidea C-169]	QAXK01006196.1_4390-1589
OG0001143	EIE24136.1 integrin alpha N-terminal domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01003700.1_2979-9653
OG0001144	EIE25975.1 autophagocytosis protein_ partial [Coccomyxa subellipsoidea C-169]	QAXK01003900.1_2413-4929
OG0001154	EIE25648.1 Aminomethyltransferase folate-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01011150.1_3959-2216
OG0001156	EIE26054.1 FAD-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01018601.1_3296-410
OG0001158	EIE24850.1 sulfite reductase [Coccomyxa subellipsoidea C-169]	QAXK01006945.1_6596-10279
OG0001161	EIE19428.1 hypothetical protein COCSUDRAFT_19620 [Coccomyxa subellipsoidea C-169]	QAXK01004407.1_7887-8977
OG0001166	EIE19832.1 hypothetical protein COCSUDRAFT_19021 [Coccomyxa subellipsoidea C-169]	QAXK01009825.1_846-2644
OG0001171	EIE24925.1 translation initiation factor [Coccomyxa subellipsoidea C-169]	QAXK01006983.1_10356-12388
OG0001176	EIE23520.1 glycine cleavage system_ T protein [Coccomyxa subellipsoidea C-169]	QAXK01004323.1_8147-5874
OG0001180	EIE23766.1 hypothetical protein COCSUDRAFT_28997 [Coccomyxa subellipsoidea C-169]	QAXK01019295.1_3574-2070
OG0001194	EIE20089.1 succinate dehydrogenase [Coccomyxa subellipsoidea C-169]	QAXK01001649.1_8862-4505
OG0001201	EIE21254.1 acetolactate synthase [Coccomyxa subellipsoidea C-169]	QAXK01000596.1_10252-6748
OG0001208	EIE19614.1 hypothetical protein COCSUDRAFT_67720 [Coccomyxa subellipsoidea C-169]	QAXK01012769.1_10100-9091
OG0001212	EIE21209.1 hypothetical protein COCSUDRAFT_17991 [Coccomyxa subellipsoidea C-169]	QAXK01005236.1_15612-13478
OG0001214	EIE18562.1 kinesin-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01012739.1_10679-8642
OG0001216	EIE26985.1 CRAL/TRIO domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01001490.1_17280-15927
OG0001219	EIE19076.1 kinesin-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01008035.1_3747-6912
OG0001221	EIE26726.1 t-SNARE [Coccomyxa subellipsoidea C-169]	QAXK01001061.1_17190-18239
OG0001223	EIE26918.1 MIF4G-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01005846.1_3896-588
OG0001225	EIE18834.1 ribosomal protein L35Ae [Coccomyxa subellipsoidea C-169]	QAXK01000732.1_2978-2655
OG0001229	EIE18030.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	QAXK01016063.1_5569-3270
OG0001231	EIE27251.1 Rab7/RabG-family small GTPase [Coccomyxa subellipsoidea C-169]	QAXK01000362.1_21408-20438
OG0001236	EIE20004.1 dihydrolipoamide dehydrogenase of glycine decarboxylase from pisum Sativum [Coccomyxa subellipsoidea C-169]	QAXK01000513.1_15183-11736
OG0001242	EIE27171.1 subtilisin-like protein [Coccomyxa subellipsoidea C-169]	QAXK01004645.1_1487-5075
OG0001246	EIE22615.1 glutamyl-tRNA synthetase_ putative [Coccomyxa subellipsoidea C-169]	QAXK01010639.1_8900-15142
OG0001248	EIE20687.1 hypothetical protein COCSUDRAFT_67182 [Coccomyxa subellipsoidea C-169]	QAXK01010718.1_75-1989
OG0001264	EIE27353.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	QAXK01001653.1_329-2259
OG0001279	EIE23612.1 hypothetical protein COCSUDRAFT_41800 [Coccomyxa subellipsoidea C-169]	QAXK01000624.1_32528-30577
OG0001307	EIE24949.1 magnesium chelatase subunit H [Coccomyxa subellipsoidea C-169]	QAXK01005917.1_319-7230
OG0001308	EIE25357.1 prolyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]	QAXK01006084.1_8922-13556
OG0001309	EIE18691.1 SF3A1 splicing factor 3a_ subunit 1 [Coccomyxa subellipsoidea C-169]	QAXK01004533.1_5070-10667
OG0001310	EIE25782.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	QAXK01002895.1_5020-6663
OG0001311	EIE27363.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01001613.1_2521-6885
OG0001312	EIE21688.1 insert subdomain of RNA polymerase alpha subunit [Coccomyxa subellipsoidea C-169]	QAXK01003510.1_1900-3653
OG0001313	EIE18707.1 intramolecular transferase [Coccomyxa subellipsoidea C-169]	QAXK01001184.1_9548-5781
OG0001314	EIE27416.1 hypothetical protein COCSUDRAFT_55423 [Coccomyxa subellipsoidea C-169]	QAXK01001944.1_3765-1753
OG0001316	EIE26180.1 DnaJ-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	QAXK01006921.1_16832-14836
OG0001317	EIE26136.1 proliferation-associated protein 1 [Coccomyxa subellipsoidea C-169]	QAXK01010058.1_4279-1636
OG0001318	EIE20046.1 tyrosine tRNA ligase [Coccomyxa subellipsoidea C-169]	QAXK01001801.1_7866-9916
OG0001320	EIE19143.1 hypothetical protein COCSUDRAFT_59627 [Coccomyxa subellipsoidea C-169]	QAXK01000167.1_14384-11911
OG0001328	EIE19529.1 tryptophan synthase [Coccomyxa subellipsoidea C-169]	QAXK01006882.1_17133-19836
OG0001331	EIE19642.1 hypothetical protein COCSUDRAFT_44496 [Coccomyxa subellipsoidea C-169]	QAXK01009171.1_15170-12352
OG0001332	EIE20509.1 hypothetical protein COCSUDRAFT_54338 [Coccomyxa subellipsoidea C-169]	QAXK01004338.1_10706-15436
OG0001334	EIE21018.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	QAXK01003133.1_258-4577
OG0001338	EIE19641.1 hypothetical protein COCSUDRAFT_54570 [Coccomyxa subellipsoidea C-169]	QAXK01002293.1_4021-8056
OG0001340	EIE19741.1 diaminopimelate epimerase [Coccomyxa subellipsoidea C-169]	QAXK01004523.1_6228-4685
OG0001342	EIE18832.1 NPL4-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01003268.1_11937-16935
OG0001343	EIE26959.1 hypothetical protein COCSUDRAFT_46296 [Coccomyxa subellipsoidea C-169]	QAXK01000799.1_6873-2057
OG0001353	EIE20322.1 D-aminoacid aminotransferase-like PLP-dependent enzyme [Coccomyxa subellipsoidea C-169]	QAXK01011632.1_4873-7912
OG0001356	EIE24101.1 P-loop containing nucleoside triphosphate hydrolase protein_ partial [Coccomyxa subellipsoidea C-169]	QAXK01003307.1_27135-26267
OG0001360	EIE21050.1 aldolase [Coccomyxa subellipsoidea C-169], EIE23903.1 shikimate 5-dehydrogenase_ partial [Coccomyxa subellipsoidea C-169]	QAXK01001741.1_6153-8648
OG0001363	EIE23566.1 prolyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]	QAXK01003747.1_13973-10331
OG0001365	EIE27595.1 armadillo/beta-catenin repeat family protein [Coccomyxa subellipsoidea C-169]	QAXK01000515.1_20837-25236
OG0001366	EIE20205.1 UPF0029-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01004846.1_20461-19235
OG0001370	EIE25449.1 3-dehydroquinate synthase AroB [Coccomyxa subellipsoidea C-169]	QAXK01000381.1_4423-6771
OG0001374	EIE25442.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	QAXK01013224.1_5335-6988
OG0001375	EIE22298.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	QAXK01005120.1_8361-10056
OG0001376	EIE24414.1 UBC-like protein [Coccomyxa subellipsoidea C-169]	QAXK01019935.1_413-1820
OG0001381	EIE22869.1 argininosuccinate lyase [Coccomyxa subellipsoidea C-169]	QAXK01000172.1_6135-2748
OG0001382	EIE18219.1 RecF/RecN/SMC protein [Coccomyxa subellipsoidea C-169]	QAXK01001066.1_8917-1138
OG0001383	EIE20608.1 DNA gyrase_ A subunit [Coccomyxa subellipsoidea C-169]	QAXK01003326.1_3639-1243
OG0001385	EIE26704.1 hypothetical protein COCSUDRAFT_11853 [Coccomyxa subellipsoidea C-169]	QAXK01005279.1_10173-5871
OG0001388	EIE25970.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01001208.1_10635-13964
OG0001393	EIE22771.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01005917.1_17047-13738
OG0001397	EIE22145.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	QAXK01000502.1_39339-43298
OG0001398	EIE21843.1 cysteine desulfurase [Coccomyxa subellipsoidea C-169]	QAXK01003277.1_3770-8
OG0001400	EIE23989.1 DUF814-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01001993.1_28544-29840
OG0001401	EIE19587.1 DUF1000-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01010276.1_2943-1867
OG0001406	EIE18995.1 20S proteasome beta subunit E_ type beta 5 [Coccomyxa subellipsoidea C-169]	QAXK01000595.1_2983-1676
OG0001408	EIE21833.1 hypothetical protein COCSUDRAFT_66704 [Coccomyxa subellipsoidea C-169]	QAXK01000367.1_8675-18356
OG0001409	EIE24188.1 hypothetical protein COCSUDRAFT_62698 [Coccomyxa subellipsoidea C-169], EIE19047.1 S-adenosyl-L-methionine-dependent methyltransferase_ partial [Coccomyxa subellipsoidea C-169]	QAXK01004930.1_4250-5628
OG0001417	EIE19794.1 threonine synthase [Coccomyxa subellipsoidea C-169]	QAXK01005381.1_315-2273
OG0001420	EIE24285.1 HIT-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01000297.1_21777-22493
OG0001424	EIE27004.1 homoserine kinase [Coccomyxa subellipsoidea C-169]	QAXK01001628.1_9434-11057
OG0001425	EIE22214.1 anthranilate synthase beta subunit [Coccomyxa subellipsoidea C-169]	QAXK01003581.1_2363-4183
OG0001426	EIE25534.1 splicing factor_ component of the U5 snRNP and of the spliceosome [Coccomyxa subellipsoidea C-169]	QAXK01005880.1_1-9276
OG0001428	EIE21598.1 hypothetical protein COCSUDRAFT_30102 [Coccomyxa subellipsoidea C-169]	QAXK01000837.1_14096-17956
OG0001431	EIE22522.1 hypothetical protein COCSUDRAFT_83479 [Coccomyxa subellipsoidea C-169]	QAXK01013424.1_6153-1945
OG0001432	EIE24623.1 ferredoxin [Coccomyxa subellipsoidea C-169]	QAXK01000224.1_16848-15439
OG0001445	EIE21975.1 nucleolar GTP-binding protein [Coccomyxa subellipsoidea C-169]	QAXK01000732.1_11950-7418
OG0001455	EIE23687.1 CYP97C3 [Coccomyxa subellipsoidea C-169]	QAXK01001576.1_5934-8651
OG0001456	EIE22742.1 hypothetical protein COCSUDRAFT_47676 [Coccomyxa subellipsoidea C-169]	QAXK01006785.1_1906-1226
OG0001460	EIE23535.1 ribosomal protein L15 [Coccomyxa subellipsoidea C-169]	QAXK01015424.1_3358-1233
OG0001462	EIE18851.1 hypothetical protein COCSUDRAFT_49081 [Coccomyxa subellipsoidea C-169]	QAXK01002112.1_6014-14709
OG0001465	EIE19684.1 dihydropryrimidine dehydrogenase [Coccomyxa subellipsoidea C-169]	QAXK01006322.1_7890-11183
OG0001469	EIE25552.1 hypothetical protein COCSUDRAFT_46761 [Coccomyxa subellipsoidea C-169]	QAXK01007783.1_10721-12010
OG0001473	EIE26281.1 DNA-binding protein [Coccomyxa subellipsoidea C-169]	QAXK01003650.1_4575-2929
OG0001476	EIE27799.1 component of oligomeric golgi complex 6 [Coccomyxa subellipsoidea C-169]	QAXK01001134.1_7136-9582
OG0001477	EIE26381.1 DNA glycosylase [Coccomyxa subellipsoidea C-169]	QAXK01003160.1_17527-15091
OG0001480	EIE23493.1 zincin [Coccomyxa subellipsoidea C-169]	QAXK01000632.1_24086-22557
OG0001482	EIE26633.1 non-discriminatory gln-glu-trna synthetase [Coccomyxa subellipsoidea C-169]	QAXK01000159.1_14204-11398
OG0001488	EIE18246.1 ubiquitinyl hydrolase [Coccomyxa subellipsoidea C-169]	QAXK01004286.1_7784-2904
OG0001492	EIE24340.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	QAXK01003809.1_2040-4733
OG0001493	EIE20019.1 NSG5 protein [Coccomyxa subellipsoidea C-169]	QAXK01001201.1_5367-10319
OG0001503	EIE23794.1 chloroplast ATP synthase subunit II [Coccomyxa subellipsoidea C-169]	QAXK01001163.1_27767-28960
OG0001506	EIE19547.1 ribosomal protein L13 [Coccomyxa subellipsoidea C-169]	QAXK01000137.1_3425-4331
OG0001508	EIE27537.1 Nop14-like protein [Coccomyxa subellipsoidea C-169]	QAXK01001982.1_904-3015
OG0001514	EIE26042.1 hypothetical protein COCSUDRAFT_64948 [Coccomyxa subellipsoidea C-169]	QAXK01003231.1_16625-14068
OG0001526	EIE26768.1 aspartyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]	QAXK01019948.1_5388-2969
OG0001527	EIE24993.1 PRP38-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01013863.1_4654-1867
OG0001528	EIE25411.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	QAXK01000325.1_37384-41123
OG0001529	EIE25398.1 60S ribosome subunit biogenesis protein NIP7 [Coccomyxa subellipsoidea C-169]	QAXK01004092.1_4427-5291
OG0001532	EIE22603.1 TPR-like protein [Coccomyxa subellipsoidea C-169]	QAXK01000782.1_11007-12134
OG0001533	EIE23962.1 putative splicing factor 3A subunit 3 [Coccomyxa subellipsoidea C-169]	QAXK01000265.1_17007-12444
OG0001534	EIE20327.1 DEAH-box nuclear pre-mRNA splicing factor [Coccomyxa subellipsoidea C-169]	QAXK01000695.1_5671-2183
OG0001538	EIE23091.1 PCI-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01009353.1_4260-348
