Orthogroup	Coccomyxa_SubellipsoideaC169	Chlorella_Vulgaris2111P
OG0000580	EIE22810.1 Mov34-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3424819.1 hypothetical protein D9Q98_008205 [Chlorella vulgaris]
OG0000581	EIE18957.1 TBC-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3436761.1 hypothetical protein D9Q98_006173 [Chlorella vulgaris]
OG0000582	EIE27669.1 33kDa oxygen evolving protein of photosystem II_ partial [Coccomyxa subellipsoidea C-169]	KAI3434507.1 hypothetical protein D9Q98_002581 [Chlorella vulgaris]
OG0000583	EIE24682.1 hypothetical protein COCSUDRAFT_62104 [Coccomyxa subellipsoidea C-169]	KAI3429369.1 hypothetical protein D9Q98_005464 [Chlorella vulgaris]
OG0000584	EIE20258.1 heme oxygenase-like protein [Coccomyxa subellipsoidea C-169]	KAI3425239.1 hypothetical protein D9Q98_009007 [Chlorella vulgaris]
OG0000585	EIE20137.1 DNA/RNA polymerase [Coccomyxa subellipsoidea C-169]	KAI3425261.1 hypothetical protein D9Q98_009029 [Chlorella vulgaris]
OG0000585	EIE20107.1 hypothetical protein COCSUDRAFT_54397 [Coccomyxa subellipsoidea C-169]	KAI3425268.1 hypothetical protein D9Q98_009035 [Chlorella vulgaris]
OG0000586	EIE25504.1 NMT1-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3427930.1 hypothetical protein D9Q98_006322 [Chlorella vulgaris]
OG0000586	EIE21086.1 LuxS/MPP-like metallohydrolase [Coccomyxa subellipsoidea C-169]	KAI3435961.1 hypothetical protein D9Q98_002019 [Chlorella vulgaris]
OG0000587	EIE23068.1 POZ domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3428459.1 hypothetical protein D9Q98_007285 [Chlorella vulgaris]
OG0000587	EIE18436.1 S-adenosyl-L-methionine-dependent methyltransferase_ partial [Coccomyxa subellipsoidea C-169]	KAI3428460.1 hypothetical protein D9Q98_007286 [Chlorella vulgaris]
OG0000588	EIE25202.1 hypothetical protein COCSUDRAFT_61443 [Coccomyxa subellipsoidea C-169]	KAI3428144.1 hypothetical protein D9Q98_006528 [Chlorella vulgaris]
OG0000589	EIE21764.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169], EIE18391.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169], EIE18291.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]	KAI3431866.1 hypothetical protein D9Q98_010617 [Chlorella vulgaris], KAI3434445.1 hypothetical protein D9Q98_002522 [Chlorella vulgaris], KAI3424381.1 hypothetical protein D9Q98_009934 [Chlorella vulgaris], KAI3424377.1 hypothetical protein D9Q98_009930 [Chlorella vulgaris]
OG0000590	EIE24777.1 hypothetical protein COCSUDRAFT_62188 [Coccomyxa subellipsoidea C-169]	KAI3433841.1 hypothetical protein D9Q98_003644 [Chlorella vulgaris]
OG0000590	EIE18262.1 FAD dependent oxidoreductase [Coccomyxa subellipsoidea C-169]	KAI3433842.1 hypothetical protein D9Q98_003645 [Chlorella vulgaris]
OG0000591	EIE26990.1 aquaporin-like protein_ partial [Coccomyxa subellipsoidea C-169]	KAI3424863.1 hypothetical protein D9Q98_008247 [Chlorella vulgaris]
OG0000592	EIE19349.1 alpha/beta-hydrolase_ partial [Coccomyxa subellipsoidea C-169]	KAI3425942.1 hypothetical protein D9Q98_007912 [Chlorella vulgaris], KAI3425941.1 hypothetical protein D9Q98_007912 [Chlorella vulgaris], KAI3425940.1 hypothetical protein D9Q98_007912 [Chlorella vulgaris], KAI3423963.1 hypothetical protein D9Q98_009797 [Chlorella vulgaris]
OG0000593	EIE27447.1 hypothetical protein COCSUDRAFT_64235 [Coccomyxa subellipsoidea C-169]	KAI3437684.1 hypothetical protein D9Q98_000133 [Chlorella vulgaris]
OG0000593	EIE19385.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	KAI3437644.1 hypothetical protein D9Q98_000095 [Chlorella vulgaris]
OG0000594	EIE27334.1 putative transaldolase [Coccomyxa subellipsoidea C-169], EIE25254.1 hypothetical protein COCSUDRAFT_27890 [Coccomyxa subellipsoidea C-169]	KAI3438027.1 hypothetical protein D9Q98_000470 [Chlorella vulgaris], KAI3438024.1 hypothetical protein D9Q98_000467 [Chlorella vulgaris]
OG0000595	EIE22109.1 ras-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3437877.1 hypothetical protein D9Q98_000323 [Chlorella vulgaris]
OG0000595	EIE21319.1 ras-related protein Rab2BV [Coccomyxa subellipsoidea C-169]	KAI3436354.1 hypothetical protein D9Q98_002407 [Chlorella vulgaris]
OG0000596	EIE22325.1 DNA damage checkpoint protein [Coccomyxa subellipsoidea C-169]	KAI3438611.1 hypothetical protein D9Q98_001034 [Chlorella vulgaris], KAI3438612.1 hypothetical protein D9Q98_001034 [Chlorella vulgaris]
OG0000596	EIE21113.1 3'-5' exonuclease_ partial [Coccomyxa subellipsoidea C-169]	KAI3438633.1 hypothetical protein D9Q98_001055 [Chlorella vulgaris]
OG0000598	EIE25806.1 hypothetical protein COCSUDRAFT_1459_ partial [Coccomyxa subellipsoidea C-169]	KAI3434643.1 hypothetical protein D9Q98_002708 [Chlorella vulgaris]
OG0000600	EIE18858.1 Metallo-dependent phosphatase_ partial [Coccomyxa subellipsoidea C-169]	KAI3434956.1 hypothetical protein D9Q98_003010 [Chlorella vulgaris], KAI3430746.1 hypothetical protein D9Q98_009158 [Chlorella vulgaris]
OG0000604	EIE26533.1 light chain 3 [Coccomyxa subellipsoidea C-169]	KAI3432360.1 hypothetical protein D9Q98_003917 [Chlorella vulgaris], KAI3428184.1 hypothetical protein D9Q98_006564 [Chlorella vulgaris], KAI3426209.1 hypothetical protein D9Q98_008586 [Chlorella vulgaris], KAI3428186.1 hypothetical protein D9Q98_006566 [Chlorella vulgaris], KAI3432877.1 hypothetical protein D9Q98_010460 [Chlorella vulgaris]
OG0000605	EIE19963.1 hypothetical protein COCSUDRAFT_58199 [Coccomyxa subellipsoidea C-169]	KAI3433287.1 hypothetical protein D9Q98_003106 [Chlorella vulgaris], KAI3433288.1 hypothetical protein D9Q98_003107 [Chlorella vulgaris], KAI3433286.1 hypothetical protein D9Q98_003105 [Chlorella vulgaris]
OG0000606	EIE27825.1 hypothetical protein COCSUDRAFT_83445 [Coccomyxa subellipsoidea C-169]	KAI3438628.1 hypothetical protein D9Q98_001050 [Chlorella vulgaris]
OG0000606	EIE23883.1 hypothetical protein COCSUDRAFT_28507 [Coccomyxa subellipsoidea C-169]	KAI3438621.1 hypothetical protein D9Q98_001044 [Chlorella vulgaris]
OG0000609	EIE25821.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE25720.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	KAI3434633.1 hypothetical protein D9Q98_002700 [Chlorella vulgaris]
OG0000610	EIE18437.1 aldehyde dehydrogenase [Coccomyxa subellipsoidea C-169], EIE18440.1 aldehyde dehydrogenase [Coccomyxa subellipsoidea C-169]	KAI3436841.1 hypothetical protein D9Q98_006251 [Chlorella vulgaris]
OG0000611	EIE19907.1 hypothetical protein COCSUDRAFT_19107 [Coccomyxa subellipsoidea C-169]	KAI3434679.1 hypothetical protein D9Q98_002743 [Chlorella vulgaris]
OG0000611	EIE23586.1 hypothetical protein COCSUDRAFT_53398 [Coccomyxa subellipsoidea C-169]	KAI3434670.1 hypothetical protein D9Q98_002734 [Chlorella vulgaris]
OG0000612	EIE25773.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	KAI3434628.1 hypothetical protein D9Q98_002695 [Chlorella vulgaris], KAI3434635.1 hypothetical protein D9Q98_002702 [Chlorella vulgaris]
OG0000613	EIE23467.1 kinesin family member 3b in complex with Adp [Coccomyxa subellipsoidea C-169]	KAI3425991.1 hypothetical protein D9Q98_007959 [Chlorella vulgaris]
OG0000614	EIE26589.1 GDP-mannose transporter_ golgi apparatus [Coccomyxa subellipsoidea C-169]	KAI3432309.1 hypothetical protein D9Q98_003869 [Chlorella vulgaris]
OG0000615	EIE21857.1 hypothetical protein COCSUDRAFT_47964 [Coccomyxa subellipsoidea C-169]	KAI3430839.1 hypothetical protein D9Q98_009250 [Chlorella vulgaris], KAI3431806.1 hypothetical protein D9Q98_010559 [Chlorella vulgaris]
OG0000616	EIE23984.1 hypothetical protein COCSUDRAFT_62512 [Coccomyxa subellipsoidea C-169]	KAI3432436.1 hypothetical protein D9Q98_003989 [Chlorella vulgaris]
OG0000617	EIE26819.1 protein serine/threonine phosphatase 2C [Coccomyxa subellipsoidea C-169]	KAI3435692.1 hypothetical protein D9Q98_001750 [Chlorella vulgaris]
OG0000617	EIE26818.1 cystathionine gamma-synthase [Coccomyxa subellipsoidea C-169]	KAI3435693.1 hypothetical protein D9Q98_001751 [Chlorella vulgaris]
OG0000618	EIE20469.1 ribosomal protein S15a component of cytosolic 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169]	KAI3438568.1 hypothetical protein D9Q98_000995 [Chlorella vulgaris]
OG0000619	EIE25847.1 hypothetical protein COCSUDRAFT_40099 [Coccomyxa subellipsoidea C-169], EIE21126.1 hypothetical protein COCSUDRAFT_67093 [Coccomyxa subellipsoidea C-169], EIE26375.1 hypothetical protein COCSUDRAFT_35050 [Coccomyxa subellipsoidea C-169], EIE21127.1 hypothetical protein COCSUDRAFT_57047 [Coccomyxa subellipsoidea C-169]	KAI3425995.1 hypothetical protein D9Q98_007963 [Chlorella vulgaris]
OG0000620	EIE19955.1 hypothetical protein COCSUDRAFT_19015 [Coccomyxa subellipsoidea C-169]	KAI3437936.1 hypothetical protein D9Q98_000380 [Chlorella vulgaris]
OG0000621	EIE23149.1 hypothetical protein COCSUDRAFT_63514 [Coccomyxa subellipsoidea C-169]	KAI3428533.1 hypothetical protein D9Q98_007356 [Chlorella vulgaris]
OG0000622	EIE23238.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169]	KAI3428582.1 hypothetical protein D9Q98_007404 [Chlorella vulgaris]
OG0000623	EIE24533.1 U1 small nuclear ribonucleo protein A [Coccomyxa subellipsoidea C-169]	KAI3433493.1 hypothetical protein D9Q98_003305 [Chlorella vulgaris], KAI3430726.1 hypothetical protein D9Q98_005312 [Chlorella vulgaris]
OG0000625	EIE18928.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169]	KAI3429300.1 hypothetical protein D9Q98_005395 [Chlorella vulgaris], KAI3429299.1 hypothetical protein D9Q98_005395 [Chlorella vulgaris], KAI3430460.1 hypothetical protein D9Q98_005055 [Chlorella vulgaris]
OG0000626	EIE25800.1 SDA1-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3430569.1 hypothetical protein D9Q98_005162 [Chlorella vulgaris]
OG0000628	EIE18466.1 hypothetical protein COCSUDRAFT_60132 [Coccomyxa subellipsoidea C-169]	KAI3428720.1 hypothetical protein D9Q98_007544 [Chlorella vulgaris]
OG0000628	EIE26948.1 hypothetical protein COCSUDRAFT_39894 [Coccomyxa subellipsoidea C-169]	KAI3426436.1 hypothetical protein D9Q98_008804 [Chlorella vulgaris]
OG0000629	EIE23891.1 glutaredoxin-1 [Coccomyxa subellipsoidea C-169]	KAI3432589.1 hypothetical protein D9Q98_004137 [Chlorella vulgaris]
OG0000629	EIE23892.1 glutaredoxin [Coccomyxa subellipsoidea C-169]	KAI3438846.1 hypothetical protein D9Q98_001263 [Chlorella vulgaris]
OG0000630	EIE20168.1 hypothetical protein COCSUDRAFT_48633 [Coccomyxa subellipsoidea C-169]	KAI3425043.1 hypothetical protein D9Q98_008421 [Chlorella vulgaris], KAI3435779.1 hypothetical protein D9Q98_001837 [Chlorella vulgaris]
OG0000631	EIE22874.1 hypothetical protein COCSUDRAFT_66434 [Coccomyxa subellipsoidea C-169]	KAI3431266.1 hypothetical protein D9Q98_004328 [Chlorella vulgaris]
OG0000631	EIE26192.1 vacuolar protein sorting-associated protein 16 [Coccomyxa subellipsoidea C-169]	KAI3423606.1 hypothetical protein D9Q98_010790_ partial _chloroplast_ [Chlorella vulgaris], KAI3431263.1 hypothetical protein D9Q98_004325 [Chlorella vulgaris]
OG0000632	EIE24885.1 peptidase M3 family protein [Coccomyxa subellipsoidea C-169]	KAI3432836.1 hypothetical protein D9Q98_010420 [Chlorella vulgaris]
OG0000633	EIE24739.1 hypothetical protein COCSUDRAFT_28332 [Coccomyxa subellipsoidea C-169]	KAI3438228.1 hypothetical protein D9Q98_000665 [Chlorella vulgaris]
OG0000633	EIE27379.1 amine oxidase [Coccomyxa subellipsoidea C-169], EIE23155.1 hypothetical protein COCSUDRAFT_29142 [Coccomyxa subellipsoidea C-169]	KAI3429769.1 hypothetical protein D9Q98_010082 [Chlorella vulgaris]
OG0000634	EIE24254.1 hypothetical protein COCSUDRAFT_41519 [Coccomyxa subellipsoidea C-169], EIE20430.1 hypothetical protein COCSUDRAFT_43874 [Coccomyxa subellipsoidea C-169], EIE18985.1 hypothetical protein COCSUDRAFT_59910 [Coccomyxa subellipsoidea C-169]	KAI3433932.1 hypothetical protein D9Q98_003734 [Chlorella vulgaris], KAI3432866.1 hypothetical protein D9Q98_010449 [Chlorella vulgaris]
OG0000635	EIE20104.1 D-Ribulose-5-phosphate 3-epimerase [Coccomyxa subellipsoidea C-169]	KAI3428114.1 hypothetical protein D9Q98_006497 [Chlorella vulgaris]
OG0000636	EIE22143.1 carotenoid oxygenase [Coccomyxa subellipsoidea C-169], EIE24023.1 carotenoid oxygenase [Coccomyxa subellipsoidea C-169]	KAI3431645.1 hypothetical protein D9Q98_004692 [Chlorella vulgaris]
OG0000636	EIE20486.1 carotenoid oxygenase [Coccomyxa subellipsoidea C-169]	KAI3438485.1 hypothetical protein D9Q98_000913 [Chlorella vulgaris]
OG0000637	EIE26327.1 hypothetical protein COCSUDRAFT_64439 [Coccomyxa subellipsoidea C-169]	KAI3432760.1 hypothetical protein D9Q98_004300 [Chlorella vulgaris]
OG0000638	EIE25629.1 hypothetical protein COCSUDRAFT_83636 [Coccomyxa subellipsoidea C-169]	KAI3432606.1 hypothetical protein D9Q98_004153 [Chlorella vulgaris]
OG0000639	EIE19121.1 hypothetical protein COCSUDRAFT_54749 [Coccomyxa subellipsoidea C-169], EIE19159.1 hypothetical protein COCSUDRAFT_49026 [Coccomyxa subellipsoidea C-169]	KAI3424406.1 hypothetical protein D9Q98_009958 [Chlorella vulgaris]
OG0000640	EIE25969.1 hypothetical protein COCSUDRAFT_27547 [Coccomyxa subellipsoidea C-169]	KAI3431789.1 hypothetical protein D9Q98_010542 [Chlorella vulgaris]
OG0000640	EIE27259.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	KAI3434499.1 hypothetical protein D9Q98_002574 [Chlorella vulgaris]
OG0000641	EIE24067.1 hypothetical protein COCSUDRAFT_65723 [Coccomyxa subellipsoidea C-169]	KAI3429327.1 hypothetical protein D9Q98_005422 [Chlorella vulgaris]
OG0000642	EIE23124.1 alanine-glyoxylate transaminase [Coccomyxa subellipsoidea C-169], EIE24180.1 alanine-glyoxylate transaminase [Coccomyxa subellipsoidea C-169]	KAI3429493.1 hypothetical protein D9Q98_005582 [Chlorella vulgaris], KAI3429701.1 hypothetical protein D9Q98_005786 [Chlorella vulgaris]
OG0000643	EIE22906.1 hypothetical protein COCSUDRAFT_66447 [Coccomyxa subellipsoidea C-169]	KAI3438389.1 hypothetical protein D9Q98_000821 [Chlorella vulgaris], KAI3438387.1 hypothetical protein D9Q98_000819 [Chlorella vulgaris]
OG0000644	EIE24134.1 hypothetical protein COCSUDRAFT_41430 [Coccomyxa subellipsoidea C-169]	KAI3429634.1 hypothetical protein D9Q98_005720 [Chlorella vulgaris], KAI3429630.1 hypothetical protein D9Q98_005716 [Chlorella vulgaris]
OG0000645	EIE26149.1 magnesium-protoporphyrin IX monomethyl [Coccomyxa subellipsoidea C-169]	KAI3426131.1 hypothetical protein D9Q98_008510 [Chlorella vulgaris]
OG0000646	EIE26691.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	KAI3425286.1 hypothetical protein D9Q98_009053 [Chlorella vulgaris]
OG0000646	EIE20059.1 DUF654-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3425283.1 hypothetical protein D9Q98_009050 [Chlorella vulgaris]
OG0000648	EIE19049.1 FMN-linked oxidoreductase [Coccomyxa subellipsoidea C-169]	KAI3424237.1 hypothetical protein D9Q98_009593 [Chlorella vulgaris]
OG0000648	EIE26392.1 FMN-linked oxidoreductase [Coccomyxa subellipsoidea C-169]	KAI3436804.1 hypothetical protein D9Q98_006214 [Chlorella vulgaris]
OG0000649	EIE21399.1 diaminopimelate decarboxylase [Coccomyxa subellipsoidea C-169]	KAI3436301.1 hypothetical protein D9Q98_002354 [Chlorella vulgaris]
OG0000650	EIE26890.1 mitogen-activated protein kinase 6 [Coccomyxa subellipsoidea C-169]	KAI3426365.1 hypothetical protein D9Q98_008737 [Chlorella vulgaris]
OG0000651	EIE26532.1 hypothetical protein COCSUDRAFT_27077 [Coccomyxa subellipsoidea C-169]	KAI3436648.1 hypothetical protein D9Q98_006064 [Chlorella vulgaris]
OG0000652	EIE26096.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	KAI3431691.1 hypothetical protein D9Q98_004737 [Chlorella vulgaris], KAI3423558.1 hypothetical protein D9Q98_010740_ partial _chloroplast_ [Chlorella vulgaris], KAI3427154.1 hypothetical protein D9Q98_007091 [Chlorella vulgaris]
OG0000653	EIE22955.1 hypothetical protein COCSUDRAFT_47454 [Coccomyxa subellipsoidea C-169]	KAI3428423.1 hypothetical protein D9Q98_007250 [Chlorella vulgaris]
OG0000654	EIE22826.1 Mur ligase [Coccomyxa subellipsoidea C-169]	KAI3433576.1 hypothetical protein D9Q98_003387 [Chlorella vulgaris]
OG0000654	EIE27174.1 hypothetical protein COCSUDRAFT_55196 [Coccomyxa subellipsoidea C-169]	KAI3433577.1 hypothetical protein D9Q98_003388 [Chlorella vulgaris]
OG0000655	EIE26374.1 hypothetical protein COCSUDRAFT_58910 [Coccomyxa subellipsoidea C-169]	KAI3433780.1 hypothetical protein D9Q98_003585 [Chlorella vulgaris], KAI3425025.1 hypothetical protein D9Q98_008405 [Chlorella vulgaris], KAI3425027.1 hypothetical protein D9Q98_008405 [Chlorella vulgaris], KAI3425026.1 hypothetical protein D9Q98_008405 [Chlorella vulgaris], KAI3425024.1 hypothetical protein D9Q98_008405 [Chlorella vulgaris]
OG0000656	EIE19478.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169]	KAI3425752.1 hypothetical protein D9Q98_007727 [Chlorella vulgaris]
OG0000656	EIE27311.1 guanine-7-methyltransferase_ partial [Coccomyxa subellipsoidea C-169]	KAI3425753.1 hypothetical protein D9Q98_007728 [Chlorella vulgaris]
OG0000657	EIE25156.1 hypothetical protein COCSUDRAFT_22502 [Coccomyxa subellipsoidea C-169]	KAI3427990.1 hypothetical protein D9Q98_006378 [Chlorella vulgaris]
OG0000657	EIE21092.1 ubiquitin-conjugating enzyme [Coccomyxa subellipsoidea C-169]	KAI3425796.1 hypothetical protein D9Q98_007771 [Chlorella vulgaris]
OG0000658	EIE21065.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	KAI3436005.1 hypothetical protein D9Q98_002062 [Chlorella vulgaris]
OG0000659	EIE19319.1 DnaJ-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3432466.1 hypothetical protein D9Q98_004015 [Chlorella vulgaris]
OG0000660	EIE27006.1 ribosomal protein S27 isoform B component of 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169], EIE27005.1 hypothetical protein COCSUDRAFT_27353 [Coccomyxa subellipsoidea C-169]	KAI3428772.1 hypothetical protein D9Q98_007593 [Chlorella vulgaris]
OG0000660	EIE25175.1 leucine-rich repeat family protein [Coccomyxa subellipsoidea C-169]	KAI3428771.1 hypothetical protein D9Q98_007592 [Chlorella vulgaris]
OG0000661	EIE23823.1 hypothetical protein COCSUDRAFT_83698 [Coccomyxa subellipsoidea C-169]	KAI3430851.1 hypothetical protein D9Q98_009261 [Chlorella vulgaris], KAI3430852.1 hypothetical protein D9Q98_009262 [Chlorella vulgaris]
OG0000662	EIE24358.1 DUF1350-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3429858.1 hypothetical protein D9Q98_010169 [Chlorella vulgaris]
OG0000664	EIE24950.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3436681.1 hypothetical protein D9Q98_006097 [Chlorella vulgaris], KAI3436682.1 hypothetical protein D9Q98_006098 [Chlorella vulgaris]
OG0000665	EIE24908.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169], EIE24907.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169], EIE24827.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169], EIE24825.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169], EIE21954.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169], EIE19909.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169], EIE26353.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169]	KAI3436529.1 hypothetical protein D9Q98_005946 [Chlorella vulgaris]
OG0000666	EIE21004.1 hypothetical protein COCSUDRAFT_56926 [Coccomyxa subellipsoidea C-169]	KAI3436674.1 hypothetical protein D9Q98_006090 [Chlorella vulgaris]
OG0000666	EIE26882.1 hypothetical protein COCSUDRAFT_9768_ partial [Coccomyxa subellipsoidea C-169]	KAI3436672.1 hypothetical protein D9Q98_006088 [Chlorella vulgaris]
OG0000667	EIE25363.1 LSU ribosomal protein L27P_ partial [Coccomyxa subellipsoidea C-169]	KAI3428173.1 hypothetical protein D9Q98_006553 [Chlorella vulgaris]
OG0000667	EIE27562.1 hypothetical protein COCSUDRAFT_21462 [Coccomyxa subellipsoidea C-169]	KAI3423891.1 hypothetical protein D9Q98_009725 [Chlorella vulgaris]
OG0000669	EIE27707.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]	KAI3425332.1 hypothetical protein D9Q98_009096 [Chlorella vulgaris]
OG0000670	EIE24276.1 hypothetical protein COCSUDRAFT_41532 [Coccomyxa subellipsoidea C-169]	KAI3430871.1 hypothetical protein D9Q98_009280 [Chlorella vulgaris], KAI3424132.1 hypothetical protein D9Q98_009492 [Chlorella vulgaris], KAI3429600.1 hypothetical protein D9Q98_005686 [Chlorella vulgaris]
OG0000671	EIE24611.1 RNA polymerase Rpc34 [Coccomyxa subellipsoidea C-169]	KAI3438602.1 hypothetical protein D9Q98_001025 [Chlorella vulgaris]
OG0000672	EIE21490.1 hypothetical protein COCSUDRAFT_66913 [Coccomyxa subellipsoidea C-169]	KAI3436589.1 hypothetical protein D9Q98_006006 [Chlorella vulgaris], KAI3436221.1 hypothetical protein D9Q98_002275 [Chlorella vulgaris]
OG0000673	EIE23786.1 Solanesyl diphosphate synthase [Coccomyxa subellipsoidea C-169]	KAI3430559.1 hypothetical protein D9Q98_005152 [Chlorella vulgaris]
OG0000673	EIE20312.1 hypothetical protein COCSUDRAFT_44224 [Coccomyxa subellipsoidea C-169]	KAI3430560.1 hypothetical protein D9Q98_005153 [Chlorella vulgaris]
OG0000674	EIE20349.1 hypothetical protein COCSUDRAFT_83549 [Coccomyxa subellipsoidea C-169]	KAI3425184.1 hypothetical protein D9Q98_008953 [Chlorella vulgaris]
OG0000675	EIE24823.1 hypothetical protein COCSUDRAFT_46959 [Coccomyxa subellipsoidea C-169]	KAI3430276.1 hypothetical protein D9Q98_004872 [Chlorella vulgaris], KAI3424759.1 hypothetical protein D9Q98_008148 [Chlorella vulgaris], KAI3424721.1 hypothetical protein D9Q98_008110 [Chlorella vulgaris], KAI3424712.1 hypothetical protein D9Q98_008101 [Chlorella vulgaris], KAI3430324.1 hypothetical protein D9Q98_004919 [Chlorella vulgaris]
OG0000676	EIE22514.1 hypothetical protein COCSUDRAFT_83471 [Coccomyxa subellipsoidea C-169]	KAI3438591.1 hypothetical protein D9Q98_001015 [Chlorella vulgaris], KAI3435824.1 hypothetical protein D9Q98_001882 [Chlorella vulgaris]
OG0000677	EIE19051.1 glutamate decarboxylase [Coccomyxa subellipsoidea C-169]	KAI3437785.1 hypothetical protein D9Q98_000232 [Chlorella vulgaris]
OG0000677	EIE19737.1 glutamate decarboxylase [Coccomyxa subellipsoidea C-169]	KAI3429627.1 hypothetical protein D9Q98_005713 [Chlorella vulgaris]
OG0000678	EIE25932.1 NAF1-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3431398.1 hypothetical protein D9Q98_004451 [Chlorella vulgaris]
OG0000679	EIE25624.1 hypothetical protein COCSUDRAFT_83631 [Coccomyxa subellipsoidea C-169]	KAI3431463.1 hypothetical protein D9Q98_004515 [Chlorella vulgaris]
OG0000680	EIE21965.1 beta-ketoacyl reductase [Coccomyxa subellipsoidea C-169]	KAI3433622.1 hypothetical protein D9Q98_003431 [Chlorella vulgaris]
OG0000680	EIE24347.1 hypothetical protein COCSUDRAFT_23409 [Coccomyxa subellipsoidea C-169]	KAI3433623.1 hypothetical protein D9Q98_003432 [Chlorella vulgaris]
OG0000681	EIE27008.1 CDC73-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3433538.1 hypothetical protein D9Q98_003348 [Chlorella vulgaris]
OG0000681	EIE26711.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	KAI3433542.1 hypothetical protein D9Q98_003352 [Chlorella vulgaris]
OG0000682	EIE25471.1 hypothetical protein COCSUDRAFT_40707 [Coccomyxa subellipsoidea C-169]	KAI3425774.1 hypothetical protein D9Q98_007749 [Chlorella vulgaris], KAI3425776.1 hypothetical protein D9Q98_007751 [Chlorella vulgaris]
OG0000683	EIE18560.1 hypothetical protein COCSUDRAFT_60226 [Coccomyxa subellipsoidea C-169]	KAI3427094.1 hypothetical protein D9Q98_007033 [Chlorella vulgaris]
OG0000684	EIE25566.1 cysteine proteinase [Coccomyxa subellipsoidea C-169]	KAI3428334.1 hypothetical protein D9Q98_006714 [Chlorella vulgaris]
OG0000684	EIE24547.1 cysteine proteinase [Coccomyxa subellipsoidea C-169]	KAI3431411.1 hypothetical protein D9Q98_004464 [Chlorella vulgaris]
OG0000685	EIE23784.1 galactose oxidase [Coccomyxa subellipsoidea C-169]	KAI3430307.1 hypothetical protein D9Q98_004903 [Chlorella vulgaris], KAI3430306.1 hypothetical protein D9Q98_004902 [Chlorella vulgaris]
OG0000686	EIE20729.1 hypothetical protein COCSUDRAFT_57293 [Coccomyxa subellipsoidea C-169], EIE25497.1 hypothetical protein COCSUDRAFT_61710 [Coccomyxa subellipsoidea C-169]	KAI3423016.1 hypothetical protein D9Q98_010859_ partial _mitochondrion_ [Chlorella vulgaris], KAI3423597.1 hypothetical protein D9Q98_010781 _chloroplast_ [Chlorella vulgaris]
OG0000687	EIE25746.1 CDC45-like protein [Coccomyxa subellipsoidea C-169]	KAI3436794.1 hypothetical protein D9Q98_006205 [Chlorella vulgaris]
OG0000688	EIE22014.1 NMD3-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3428208.1 hypothetical protein D9Q98_006588 [Chlorella vulgaris]
OG0000688	EIE25427.1 hypothetical protein COCSUDRAFT_65241 [Coccomyxa subellipsoidea C-169]	KAI3428209.1 hypothetical protein D9Q98_006589 [Chlorella vulgaris]
