Orthogroup	Coccomyxa_SubellipsoideaC169	Scenedesmus_NREL
OG0001107	EIE25425.1 hypothetical protein COCSUDRAFT_13461 [Coccomyxa subellipsoidea C-169]	KAF6265013.1 ribonuclease H-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001108	EIE27290.1 cyclin-like protein [Coccomyxa subellipsoidea C-169]	KAF6253582.1 hypothetical protein COO60DRAFT_406260 [Scenedesmus sp. NREL 46B-D3]
OG0001109	EIE25003.1 hypothetical protein COCSUDRAFT_46554 [Coccomyxa subellipsoidea C-169]	KAF6260733.1 hypothetical protein COO60DRAFT_1700187 [Scenedesmus sp. NREL 46B-D3]
OG0001110	EIE18265.1 RmlC-like cupin [Coccomyxa subellipsoidea C-169]	KAF6252776.1 RmlC-like cupin domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001111	EIE26368.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169], EIE25505.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169], EIE19129.1 Nodulin-like-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE19652.1 hypothetical protein COCSUDRAFT_44503 [Coccomyxa subellipsoidea C-169]	KAF6251968.1 Nodulin-like-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001112	EIE22866.1 flagellar outer dynein arm intermediate chain 2_ partial [Coccomyxa subellipsoidea C-169]	KAF6259691.1 WD40-repeat-containing domain protein [Scenedesmus sp. NREL 46B-D3], KAF6259742.1 hypothetical protein COO60DRAFT_1625980 [Scenedesmus sp. NREL 46B-D3]
OG0001114	EIE24191.1 hypothetical protein COCSUDRAFT_14972 [Coccomyxa subellipsoidea C-169]	KAF6260800.1 hypothetical protein COO60DRAFT_1294208 [Scenedesmus sp. NREL 46B-D3]
OG0001114	EIE19330.1 Mg-dependent DNase [Coccomyxa subellipsoidea C-169]	KAF6260798.1 hypothetical protein COO60DRAFT_1504895 [Scenedesmus sp. NREL 46B-D3]
OG0001115	EIE20199.1 hypothetical protein COCSUDRAFT_48641 [Coccomyxa subellipsoidea C-169]	KAF6266566.1 membrane protein [Scenedesmus sp. NREL 46B-D3]
OG0001116	EIE22532.1 hypothetical protein COCSUDRAFT_16137_ partial [Coccomyxa subellipsoidea C-169]	KAF6259247.1 serine carboxypeptidase S28-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001118	EIE19822.1 hypothetical protein COCSUDRAFT_25518 [Coccomyxa subellipsoidea C-169]	KAF6260216.1 hypothetical protein COO60DRAFT_1283714 [Scenedesmus sp. NREL 46B-D3], KAF6256843.1 hypothetical protein COO60DRAFT_1471072 [Scenedesmus sp. NREL 46B-D3], KAF6262892.1 hypothetical protein COO60DRAFT_1493280 [Scenedesmus sp. NREL 46B-D3]
OG0001119	EIE27819.1 NGP1NT-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6258820.1 NUC091 domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001120	EIE22071.1 RBP11-like subunits of RNA polymerase [Coccomyxa subellipsoidea C-169]	KAF6258950.1 RNA polymerase subunit [Scenedesmus sp. NREL 46B-D3]
OG0001120	EIE18255.1 RBP11-like subunits of RNA polymerase [Coccomyxa subellipsoidea C-169]	KAF6255074.1 DNA-directed RNA polymerase [Scenedesmus sp. NREL 46B-D3]
OG0001121	EIE19264.1 hypothetical protein COCSUDRAFT_48883 [Coccomyxa subellipsoidea C-169]	KAF6265478.1 hypothetical protein COO60DRAFT_1633589 [Scenedesmus sp. NREL 46B-D3], KAF6261765.1 cell morphogenesis central region-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001122	EIE27329.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	KAF6260581.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]
OG0001123	EIE24122.1 hypothetical protein COCSUDRAFT_65754 [Coccomyxa subellipsoidea C-169]	KAF6264690.1 pre-mRNA splicing factor component-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001124	EIE20116.1 DUF125-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6265570.1 Ccc1 family [Scenedesmus sp. NREL 46B-D3]
OG0001124	EIE25830.1 DUF125-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6255690.1 Ccc1 family [Scenedesmus sp. NREL 46B-D3], KAF6239468.1 VIT family-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001125	EIE23533.1 isocitrate dehydrogenase_ NAD-dependent [Coccomyxa subellipsoidea C-169]	KAF6262221.1 isocitrate dehydrogenase_ NAD-dependent [Scenedesmus sp. NREL 46B-D3]
OG0001125	EIE23532.1 isocitrate dehydrogenase_ NAD-dependent [Coccomyxa subellipsoidea C-169]	KAF6251269.1 hypothetical protein COO60DRAFT_1561811_ partial [Scenedesmus sp. NREL 46B-D3]
OG0001126	EIE21131.1 hypothetical protein COCSUDRAFT_17763_ partial [Coccomyxa subellipsoidea C-169]	KAF6264914.1 hypothetical protein COO60DRAFT_1621541 [Scenedesmus sp. NREL 46B-D3]
OG0001126	EIE26962.1 cobalamin-independent methionine synthase [Coccomyxa subellipsoidea C-169]	KAF6264915.1 cobalamin-independent synthase [Scenedesmus sp. NREL 46B-D3]
OG0001127	EIE23486.1 glyceraldehyde-3-phosphate dehydrogenase [Coccomyxa subellipsoidea C-169], EIE18175.1 glyceraldehyde-3-phosphate dehydrogenase_ type I [Coccomyxa subellipsoidea C-169]	KAF6252789.1 NAD-dependent glyceraldehyde-3-phosphate dehydrogenase [Scenedesmus sp. NREL 46B-D3]
OG0001128	EIE20198.1 Bax inhibitor-1 like-protein [Coccomyxa subellipsoidea C-169]	KAF6259069.1 inhibitor of apoptosis-promoting Bax1-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001130	EIE23434.1 Sm-E protein [Coccomyxa subellipsoidea C-169]	KAF6251886.1 hypothetical protein COO60DRAFT_1556592 [Scenedesmus sp. NREL 46B-D3]
OG0001130	EIE23458.1 hypothetical protein COCSUDRAFT_33078 [Coccomyxa subellipsoidea C-169]	KAF6266223.1 hypothetical protein COO60DRAFT_1280936 [Scenedesmus sp. NREL 46B-D3]
OG0001131	EIE19222.1 hypothetical protein COCSUDRAFT_68021 [Coccomyxa subellipsoidea C-169]	KAF6251573.1 hypothetical protein COO60DRAFT_606754 [Scenedesmus sp. NREL 46B-D3]
OG0001132	EIE19414.1 hypothetical protein COCSUDRAFT_58700 [Coccomyxa subellipsoidea C-169]	KAF6253791.1 hypothetical protein COO60DRAFT_389145 [Scenedesmus sp. NREL 46B-D3]
OG0001133	EIE18932.1 translation elongation factor_ mitochondrial [Coccomyxa subellipsoidea C-169], EIE23346.1 translation elongation factor_ mitochondrial [Coccomyxa subellipsoidea C-169]	KAF6254630.1 translation elongation factor_ mitochondrial [Scenedesmus sp. NREL 46B-D3]
OG0001134	EIE20950.1 TIP120-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6251732.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]
OG0001137	EIE26866.1 nucleotide-diphospho-sugar transferase [Coccomyxa subellipsoidea C-169]	KAF6252139.1 nucleotide-diphospho-sugar transferase [Scenedesmus sp. NREL 46B-D3], KAF6254097.1 nucleotide-diphospho-sugar transferase [Scenedesmus sp. NREL 46B-D3], KAF6255283.1 nucleotide-diphospho-sugar transferase [Scenedesmus sp. NREL 46B-D3]
OG0001138	EIE23937.1 hypothetical protein COCSUDRAFT_62465 [Coccomyxa subellipsoidea C-169]	KAF6259541.1 snare associated Golgi protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001138	EIE23936.1 hypothetical protein COCSUDRAFT_41280 [Coccomyxa subellipsoidea C-169], EIE18549.1 hypothetical protein COCSUDRAFT_68258 [Coccomyxa subellipsoidea C-169]	KAF6253530.1 snare associated Golgi protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001139	EIE27716.1 GDP-D-mannose pyrophosphorylase [Coccomyxa subellipsoidea C-169]	KAF6256143.1 nucleotide-diphospho-sugar transferase [Scenedesmus sp. NREL 46B-D3], KAF6260994.1 GDP-D-mannose pyrophosphorylase [Scenedesmus sp. NREL 46B-D3]
OG0001140	EIE21527.1 hypothetical protein COCSUDRAFT_43235 [Coccomyxa subellipsoidea C-169], EIE25699.1 hypothetical protein COCSUDRAFT_60714 [Coccomyxa subellipsoidea C-169], EIE21369.1 hypothetical protein COCSUDRAFT_56588 [Coccomyxa subellipsoidea C-169], EIE19825.1 hypothetical protein COCSUDRAFT_48697 [Coccomyxa subellipsoidea C-169]	KAF6258483.1 hypothetical protein COO60DRAFT_1460658 [Scenedesmus sp. NREL 46B-D3], KAF6258484.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001142	EIE27557.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169], EIE19757.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]	KAF6251958.1 hypothetical protein COO60DRAFT_1556089 [Scenedesmus sp. NREL 46B-D3], KAF6252808.1 hypothetical protein COO60DRAFT_1704150 [Scenedesmus sp. NREL 46B-D3], KAF6265418.1 aspartate aminotransferase [Scenedesmus sp. NREL 46B-D3], KAF6259878.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]
OG0001143	EIE24136.1 integrin alpha N-terminal domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6259029.1 hypothetical protein COO60DRAFT_1062256 [Scenedesmus sp. NREL 46B-D3], KAF6259027.1 hypothetical protein COO60DRAFT_1515824 [Scenedesmus sp. NREL 46B-D3]
OG0001144	EIE25975.1 autophagocytosis protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6262497.1 autophagy protein [Scenedesmus sp. NREL 46B-D3], KAF6262496.1 Metalloenzyme_ LuxS/M16 peptidase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0001145	EIE22483.1 hypothetical protein COCSUDRAFT_47906 [Coccomyxa subellipsoidea C-169]	KAF6252366.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0001148	EIE19601.1 ferredoxin-NADP+ reductase [Coccomyxa subellipsoidea C-169]	KAF6257459.1 ferredoxin-NADP reductase [Scenedesmus sp. NREL 46B-D3]
OG0001150	EIE26645.1 cell division cycle 20 [Coccomyxa subellipsoidea C-169]	KAF6253781.1 activator and specificity subunit of anaphase promoting complex [Scenedesmus sp. NREL 46B-D3], KAF6251981.1 activator and specificity subunit of anaphase promoting complex [Scenedesmus sp. NREL 46B-D3], KAF6260414.1 activator and specificity subunit of anaphase promoting complex [Scenedesmus sp. NREL 46B-D3]
OG0001151	EIE20181.1 PaO-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6251306.1 chlorophyll a oxygenase [Scenedesmus sp. NREL 46B-D3]
OG0001152	EIE19730.1 hypothetical protein COCSUDRAFT_58463 [Coccomyxa subellipsoidea C-169]	KAF6252279.1 hypothetical protein COO60DRAFT_1704362 [Scenedesmus sp. NREL 46B-D3]
OG0001152	EIE23919.1 NAD_P_-binding protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6253058.1 hypothetical protein COO60DRAFT_1549451 [Scenedesmus sp. NREL 46B-D3]
OG0001153	EIE21385.1 histidyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]	KAF6264335.1 hypothetical protein COO60DRAFT_176671 [Scenedesmus sp. NREL 46B-D3]
OG0001154	EIE25648.1 Aminomethyltransferase folate-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6265118.1 hypothetical protein COO60DRAFT_1116131 [Scenedesmus sp. NREL 46B-D3]
OG0001155	EIE24344.1 hypothetical protein COCSUDRAFT_47237 [Coccomyxa subellipsoidea C-169]	KAF6260822.1 hypothetical protein COO60DRAFT_849275 [Scenedesmus sp. NREL 46B-D3]
OG0001156	EIE26054.1 FAD-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6260396.1 hypothetical protein COO60DRAFT_1294458 [Scenedesmus sp. NREL 46B-D3], KAF6260398.1 hypothetical protein COO60DRAFT_901873 [Scenedesmus sp. NREL 46B-D3]
OG0001158	EIE24850.1 sulfite reductase [Coccomyxa subellipsoidea C-169]	KAF6252610.1 sulfite reductase [Scenedesmus sp. NREL 46B-D3]
OG0001159	EIE19999.1 hypothetical protein COCSUDRAFT_54513 [Coccomyxa subellipsoidea C-169]	KAF6251830.1 cytosol aminopeptidase family_ catalytic domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001160	EIE26098.1 hypothetical protein COCSUDRAFT_46490 [Coccomyxa subellipsoidea C-169]	KAF6262658.1 Isochorismatase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0001161	EIE19428.1 hypothetical protein COCSUDRAFT_19620 [Coccomyxa subellipsoidea C-169]	KAF6262163.1 hypothetical protein COO60DRAFT_1699448 [Scenedesmus sp. NREL 46B-D3], KAF6255364.1 hypothetical protein COO60DRAFT_215195 [Scenedesmus sp. NREL 46B-D3], KAF6262164.1 hypothetical protein COO60DRAFT_1497567 [Scenedesmus sp. NREL 46B-D3], KAF6240404.1 hypothetical protein COO60DRAFT_339150 [Scenedesmus sp. NREL 46B-D3]
OG0001162	EIE22309.1 UV-endonuclease UvdE [Coccomyxa subellipsoidea C-169]	KAF6264947.1 UV-endonuclease UvdE-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001163	EIE23800.1 histone deacetylase [Coccomyxa subellipsoidea C-169]	KAF6257968.1 DHS-like NAD/FAD-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001165	EIE21552.1 GroES-like protein [Coccomyxa subellipsoidea C-169], EIE21553.1 GroES-like protein [Coccomyxa subellipsoidea C-169]	KAF6234312.1 GroES-like protein [Scenedesmus sp. NREL 46B-D3]
OG0001166	EIE19832.1 hypothetical protein COCSUDRAFT_19021 [Coccomyxa subellipsoidea C-169]	KAF6253380.1 hypothetical protein COO60DRAFT_1547236 [Scenedesmus sp. NREL 46B-D3], KAF6260140.1 hypothetical protein COO60DRAFT_1470735 [Scenedesmus sp. NREL 46B-D3], KAF6260136.1 glycoside hydrolase superfamily_ partial [Scenedesmus sp. NREL 46B-D3], KAF6260138.1 pyruvate kinase [Scenedesmus sp. NREL 46B-D3]
OG0001167	EIE20567.1 phosphate acetyltransferase [Coccomyxa subellipsoidea C-169]	KAF6251911.1 phosphate acetyltransferase [Scenedesmus sp. NREL 46B-D3], KAF6253656.1 phosphate acetyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0001168	EIE18949.1 hypothetical protein COCSUDRAFT_59874 [Coccomyxa subellipsoidea C-169]	KAF6251888.1 hypothetical protein COO60DRAFT_1556594 [Scenedesmus sp. NREL 46B-D3], KAF6253475.1 N-terminal asparagine amidohydrolase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001169	EIE22050.1 hypothetical protein COCSUDRAFT_56482 [Coccomyxa subellipsoidea C-169]	KAF6261732.1 hypothetical protein COO60DRAFT_1293753 [Scenedesmus sp. NREL 46B-D3]
OG0001171	EIE24925.1 translation initiation factor [Coccomyxa subellipsoidea C-169]	KAF6254968.1 translation initiation factor eIF-2B subunit delta-like protein [Scenedesmus sp. NREL 46B-D3], KAF6254967.1 sarcaleumin-like protein [Scenedesmus sp. NREL 46B-D3]
OG0001172	EIE20270.1 hypothetical protein COCSUDRAFT_57988 [Coccomyxa subellipsoidea C-169]	KAF6260133.1 hypothetical protein COO60DRAFT_1700475 [Scenedesmus sp. NREL 46B-D3]
OG0001173	EIE22682.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6261994.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0001174	EIE20533.1 catalase [Coccomyxa subellipsoidea C-169], EIE20109.1 catalase-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE18384.1 catalase [Coccomyxa subellipsoidea C-169], EIE23450.1 catalase-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6252859.1 catalase [Scenedesmus sp. NREL 46B-D3]
OG0001175	EIE26386.1 fumarate hydratase [Coccomyxa subellipsoidea C-169]	KAF6259644.1 fumarate hydratase 2 [Scenedesmus sp. NREL 46B-D3]
OG0001176	EIE23520.1 glycine cleavage system_ T protein [Coccomyxa subellipsoidea C-169]	KAF6248527.1 hypothetical protein COO60DRAFT_1706973 [Scenedesmus sp. NREL 46B-D3], KAF6255651.1 hypothetical protein COO60DRAFT_1296524 [Scenedesmus sp. NREL 46B-D3]
OG0001177	EIE23629.1 hypothetical protein COCSUDRAFT_41812 [Coccomyxa subellipsoidea C-169]	KAF6252611.1 hypothetical protein COO60DRAFT_513932 [Scenedesmus sp. NREL 46B-D3], KAF6265877.1 hypothetical protein COO60DRAFT_767541 [Scenedesmus sp. NREL 46B-D3], KAF6265350.1 hypothetical protein COO60DRAFT_1041000 [Scenedesmus sp. NREL 46B-D3], KAF6252613.1 hypothetical protein COO60DRAFT_514006 [Scenedesmus sp. NREL 46B-D3]
OG0001179	EIE23421.1 ribonuclease H-like protein [Coccomyxa subellipsoidea C-169], EIE19787.1 ribonuclease H-like protein [Coccomyxa subellipsoidea C-169]	KAF6257883.1 hypothetical protein COO60DRAFT_1639575 [Scenedesmus sp. NREL 46B-D3]
OG0001180	EIE23766.1 hypothetical protein COCSUDRAFT_28997 [Coccomyxa subellipsoidea C-169]	KAF6253376.1 ATP synthase subunit D-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001181	EIE19513.1 hypothetical protein COCSUDRAFT_83564 [Coccomyxa subellipsoidea C-169], EIE19352.1 hypothetical protein COCSUDRAFT_58645 [Coccomyxa subellipsoidea C-169]	KAF6256555.1 hypothetical protein COO60DRAFT_1657430 [Scenedesmus sp. NREL 46B-D3], KAF6253759.1 hypothetical protein COO60DRAFT_391875 [Scenedesmus sp. NREL 46B-D3]
OG0001182	EIE21677.1 DUF926-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6255145.1 ras-induced vulval development antagonist-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6259031.1 hypothetical protein COO60DRAFT_1062491 [Scenedesmus sp. NREL 46B-D3]
OG0001183	EIE25439.1 ResB-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6248608.1 c-type cytochrome synthesis 1 [Scenedesmus sp. NREL 46B-D3], KAF6251391.1 hypothetical protein COO60DRAFT_1464306 [Scenedesmus sp. NREL 46B-D3], KAF6259989.1 hypothetical protein COO60DRAFT_938219 [Scenedesmus sp. NREL 46B-D3], KAF6259990.1 hypothetical protein COO60DRAFT_1509625 [Scenedesmus sp. NREL 46B-D3]
OG0001184	EIE19306.1 hypothetical protein COCSUDRAFT_34265 [Coccomyxa subellipsoidea C-169]	KAF6261256.1 hypothetical protein COO60DRAFT_1503069 [Scenedesmus sp. NREL 46B-D3]
OG0001185	EIE23927.1 hypothetical protein COCSUDRAFT_28525 [Coccomyxa subellipsoidea C-169]	KAF6262773.1 hypothetical protein COO60DRAFT_1699090 [Scenedesmus sp. NREL 46B-D3], KAF6256362.1 hypothetical protein COO60DRAFT_1640782 [Scenedesmus sp. NREL 46B-D3]
OG0001186	EIE27262.1 hypothetical protein COCSUDRAFT_52114 [Coccomyxa subellipsoidea C-169]	KAF6266465.1 AAA domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266468.1 hypothetical protein COO60DRAFT_454771 [Scenedesmus sp. NREL 46B-D3]
OG0001187	EIE26467.1 hypothetical protein COCSUDRAFT_39557 [Coccomyxa subellipsoidea C-169]	KAF6257979.1 hypothetical protein COO60DRAFT_1162240 [Scenedesmus sp. NREL 46B-D3], KAF6259187.1 hypothetical protein COO60DRAFT_1028947 [Scenedesmus sp. NREL 46B-D3]
OG0001188	EIE20489.1 strictosidine synthase [Coccomyxa subellipsoidea C-169]	KAF6259943.1 hypothetical protein COO60DRAFT_1510274 [Scenedesmus sp. NREL 46B-D3], KAF6258203.1 strictosidine synthase [Scenedesmus sp. NREL 46B-D3], KAF6258202.1 strictosidine synthase [Scenedesmus sp. NREL 46B-D3], KAF6259879.1 hypothetical protein COO60DRAFT_1638071 [Scenedesmus sp. NREL 46B-D3], KAF6263989.1 hypothetical protein COO60DRAFT_266840 [Scenedesmus sp. NREL 46B-D3]
OG0001189	EIE27434.1 Zn-dependent exopeptidase [Coccomyxa subellipsoidea C-169]	KAF6241919.1 hypothetical protein COO60DRAFT_1279749 [Scenedesmus sp. NREL 46B-D3]
OG0001190	EIE21524.1 PAP2-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6254517.1 phosphatidic acid phosphatase type 2/haloperoxidase [Scenedesmus sp. NREL 46B-D3]
OG0001191	EIE27022.1 hypothetical protein COCSUDRAFT_83581 [Coccomyxa subellipsoidea C-169]	KAF6253249.1 hypothetical protein COO60DRAFT_1643289 [Scenedesmus sp. NREL 46B-D3], KAF6254142.1 hypothetical protein COO60DRAFT_1543213 [Scenedesmus sp. NREL 46B-D3]
OG0001191	EIE26747.1 TBCC-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6253345.1 hypothetical protein COO60DRAFT_1703850 [Scenedesmus sp. NREL 46B-D3], KAF6253343.1 tubulin binding cofactor C-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001192	EIE25005.1 photosystem II oxygen evolving complex protein PsbP [Coccomyxa subellipsoidea C-169], EIE24895.1 hypothetical protein COCSUDRAFT_62304 [Coccomyxa subellipsoidea C-169], EIE25006.1 oxygen evolving enhancer 2 of photosystem II [Coccomyxa subellipsoidea C-169]	KAF6259666.1 oxygen-evolving enhancer protein 2_ chloroplastic [Scenedesmus sp. NREL 46B-D3]
OG0001193	EIE26286.1 hypothetical protein COCSUDRAFT_39420 [Coccomyxa subellipsoidea C-169]	KAF6260348.1 hypothetical protein COO60DRAFT_899705 [Scenedesmus sp. NREL 46B-D3]
OG0001194	EIE20089.1 succinate dehydrogenase [Coccomyxa subellipsoidea C-169]	KAF6261184.1 succinate dehydrogenase subunit A [Scenedesmus sp. NREL 46B-D3], KAF6258167.1 succinate dehydrogenase subunit A [Scenedesmus sp. NREL 46B-D3]
OG0001195	EIE27247.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	KAF6258143.1 armadillo-type protein [Scenedesmus sp. NREL 46B-D3]
OG0001196	EIE22820.1 ATP-dependent hsl protease ATP-binding subunit hslU [Coccomyxa subellipsoidea C-169]	KAF6261385.1 ATP-dependent hsl protease ATP-binding subunit hslU [Scenedesmus sp. NREL 46B-D3], KAF6260956.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0001197	EIE21808.1 hypothetical protein COCSUDRAFT_42850 [Coccomyxa subellipsoidea C-169]	KAF6263283.1 hypothetical protein COO60DRAFT_488276 [Scenedesmus sp. NREL 46B-D3]
OG0001197	EIE20455.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]	KAF6251248.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3]
OG0001198	EIE24830.1 Mog1p/PsbP-like protein [Coccomyxa subellipsoidea C-169]	KAF6264533.1 hypothetical protein COO60DRAFT_129913 [Scenedesmus sp. NREL 46B-D3], KAF6264531.1 hypothetical protein COO60DRAFT_129915 [Scenedesmus sp. NREL 46B-D3]
OG0001198	EIE24931.1 glycolate oxidase [Coccomyxa subellipsoidea C-169]	KAF6266545.1 glycolate oxidase [Scenedesmus sp. NREL 46B-D3]
OG0001199	EIE18502.1 hypothetical protein COCSUDRAFT_49231 [Coccomyxa subellipsoidea C-169], EIE18594.1 hypothetical protein COCSUDRAFT_26335 [Coccomyxa subellipsoidea C-169]	KAF6259421.1 hypothetical protein COO60DRAFT_1626079 [Scenedesmus sp. NREL 46B-D3]
OG0001200	EIE20958.1 hypothetical protein COCSUDRAFT_57497 [Coccomyxa subellipsoidea C-169]	KAF6266730.1 hypothetical protein COO60DRAFT_1654596 [Scenedesmus sp. NREL 46B-D3]
OG0001201	EIE21254.1 acetolactate synthase [Coccomyxa subellipsoidea C-169]	KAF6255869.1 thiamine diphosphate-binding protein [Scenedesmus sp. NREL 46B-D3]
OG0001202	EIE23944.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	KAF6259652.1 P-loop containing nucleoside triphosphate hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0001202	EIE23945.1 hypothetical protein COCSUDRAFT_65658 [Coccomyxa subellipsoidea C-169]	KAF6251822.1 hypothetical protein COO60DRAFT_581040 [Scenedesmus sp. NREL 46B-D3]
OG0001203	EIE26216.1 hypothetical protein COCSUDRAFT_46541 [Coccomyxa subellipsoidea C-169]	KAF6262543.1 hypothetical protein COO60DRAFT_1495557 [Scenedesmus sp. NREL 46B-D3]
OG0001204	EIE24857.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]	KAF6261303.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6263728.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6266281.1 hypothetical protein COO60DRAFT_1474230 [Scenedesmus sp. NREL 46B-D3], KAF6266282.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0001205	EIE24461.1 hypothetical protein COCSUDRAFT_65366 [Coccomyxa subellipsoidea C-169], EIE23620.1 hypothetical protein COCSUDRAFT_63147 [Coccomyxa subellipsoidea C-169]	KAF6257975.1 hypothetical protein COO60DRAFT_1701539 [Scenedesmus sp. NREL 46B-D3], KAF6257976.1 late exocytosis_ associated with Golgi transport-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001206	EIE24727.1 hypothetical protein COCSUDRAFT_53051 [Coccomyxa subellipsoidea C-169]	KAF6260234.1 coiled-coil domain-containing protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001207	EIE26610.1 hypothetical protein COCSUDRAFT_59132 [Coccomyxa subellipsoidea C-169]	KAF6250707.1 hypothetical protein COO60DRAFT_758966 [Scenedesmus sp. NREL 46B-D3], KAF6261598.1 hypothetical protein COO60DRAFT_741589_ partial [Scenedesmus sp. NREL 46B-D3]
OG0001208	EIE19614.1 hypothetical protein COCSUDRAFT_67720 [Coccomyxa subellipsoidea C-169]	KAF6261670.1 hypothetical protein COO60DRAFT_1500678 [Scenedesmus sp. NREL 46B-D3]
OG0001209	EIE18572.1 VAMP-associated protein [Coccomyxa subellipsoidea C-169]	KAF6258557.1 PapD-like protein [Scenedesmus sp. NREL 46B-D3]
OG0001210	EIE19484.1 JmjC-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6261711.1 JmjC domain_ hydroxylase-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0001211	EIE19059.1 hypothetical protein COCSUDRAFT_59545 [Coccomyxa subellipsoidea C-169]	KAF6263762.1 hypothetical protein COO60DRAFT_1488339 [Scenedesmus sp. NREL 46B-D3], KAF6263763.1 Alpha/beta knot methyltransferase [Scenedesmus sp. NREL 46B-D3]
OG0001212	EIE21209.1 hypothetical protein COCSUDRAFT_17991 [Coccomyxa subellipsoidea C-169]	KAF6251429.1 hypothetical protein COO60DRAFT_1287543 [Scenedesmus sp. NREL 46B-D3], KAF6250874.1 hypothetical protein COO60DRAFT_1705296 [Scenedesmus sp. NREL 46B-D3], KAF6250872.1 hypothetical protein COO60DRAFT_1565983 [Scenedesmus sp. NREL 46B-D3], KAF6251430.1 hypothetical protein COO60DRAFT_1560018 [Scenedesmus sp. NREL 46B-D3]
