Orthogroup	Coccomyxa_SubellipsoideaC169	Chlorella_A99
OG0000678	EIE27036.1 E3 ubiquitin ligase SCF complex_ Skp subunit [Coccomyxa subellipsoidea C-169], EIE25932.1 NAF1-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000010.1 g323 [Chlorella sp. A99]
OG0000679	EIE19720.1 ribosomal protein L17 [Coccomyxa subellipsoidea C-169], EIE25624.1 hypothetical protein COCSUDRAFT_83631 [Coccomyxa subellipsoidea C-169]	PCFQ01000010.1 g303 [Chlorella sp. A99]
OG0000680	EIE21965.1 beta-ketoacyl reductase [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g98 [Chlorella sp. A99]
OG0000681	EIE27008.1 CDC73-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g128 [Chlorella sp. A99]
OG0000682	EIE25471.1 hypothetical protein COCSUDRAFT_40707 [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g542 [Chlorella sp. A99]
OG0000683	EIE18580.1 hypothetical protein COCSUDRAFT_45356 [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g262 [Chlorella sp. A99]
OG0000684	EIE25566.1 cysteine proteinase [Coccomyxa subellipsoidea C-169]	PCFQ01000002.1 g686 [Chlorella sp. A99]
OG0000684	EIE24547.1 cysteine proteinase [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g625 [Chlorella sp. A99]
OG0000685	EIE23784.1 galactose oxidase [Coccomyxa subellipsoidea C-169]	PCFQ01000002.1 g717 [Chlorella sp. A99], PCFQ01000002.1 g716 [Chlorella sp. A99]
OG0000686	EIE20729.1 hypothetical protein COCSUDRAFT_57293 [Coccomyxa subellipsoidea C-169], EIE25497.1 hypothetical protein COCSUDRAFT_61710 [Coccomyxa subellipsoidea C-169]	PCFQ01000008.1 g1094 [Chlorella sp. A99]
OG0000687	EIE26736.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169], EIE25746.1 CDC45-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3102 [Chlorella sp. A99]
OG0000688	EIE22014.1 NMD3-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000008.1 g1160 [Chlorella sp. A99]
OG0000689	EIE24334.1 2-isopropylmalate synthase [Coccomyxa subellipsoidea C-169]	PCFQ01000018.1 g400 [Chlorella sp. A99]
OG0000690	EIE26790.1 putative malonyl-CoA_Acyl carrier protein transacylase [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3135 [Chlorella sp. A99]
OG0000690	EIE22534.1 hypothetical protein COCSUDRAFT_16367 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2079 [Chlorella sp. A99]
OG0000692	EIE21685.1 hypothetical protein COCSUDRAFT_56879 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2074 [Chlorella sp. A99]
OG0000694	EIE26727.1 hypothetical protein COCSUDRAFT_52437 [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3141 [Chlorella sp. A99]
OG0000695	EIE27372.1 PDR-like ABC transporter_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2219 [Chlorella sp. A99], PCFQ01000078.1 g2181 [Chlorella sp. A99], PCFQ01000007.1 g1227 [Chlorella sp. A99]
OG0000696	EIE25636.1 hypothetical protein COCSUDRAFT_83643 [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2802 [Chlorella sp. A99]
OG0000696	EIE22072.1 hypothetical protein COCSUDRAFT_16876 [Coccomyxa subellipsoidea C-169]	PCFQ01000008.1 g1083 [Chlorella sp. A99]
OG0000697	EIE20076.1 peptide deformylase [Coccomyxa subellipsoidea C-169], EIE20358.1 hypothetical protein COCSUDRAFT_18562 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2398 [Chlorella sp. A99]
OG0000700	EIE19477.1 hypothetical protein COCSUDRAFT_67908 [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3221 [Chlorella sp. A99]
OG0000701	EIE27087.1 ABC1-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000002.1 g648 [Chlorella sp. A99]
OG0000702	EIE21384.1 DUF791-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE22553.1 DUF791-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2583 [Chlorella sp. A99]
OG0000703	EIE19286.1 putative carbon-nitrogen family hydrolase putative [Coccomyxa subellipsoidea C-169], EIE19282.1 hydrolase_ carbon-nitrogen family [Coccomyxa subellipsoidea C-169], EIE23305.1 peptide chain release factor 2 [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3358 [Chlorella sp. A99]
OG0000706	EIE19251.1 putative uracil phosphoribosyl transferase [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g75 [Chlorella sp. A99]
OG0000707	EIE22389.1 DUF1782-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g74 [Chlorella sp. A99]
OG0000709	EIE21802.1 hypothetical protein COCSUDRAFT_66688 [Coccomyxa subellipsoidea C-169], EIE22542.1 AAR2-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000009.1 g1708 [Chlorella sp. A99]
OG0000710	EIE26254.1 hypothetical protein COCSUDRAFT_32119 [Coccomyxa subellipsoidea C-169]	PCFQ01000023.1 g2237 [Chlorella sp. A99]
OG0000711	EIE19572.1 hypothetical protein COCSUDRAFT_58321 [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g88 [Chlorella sp. A99], PCFQ01000037.1 g2506 [Chlorella sp. A99], PCFQ01000010.1 g315 [Chlorella sp. A99]
OG0000712	EIE23918.1 Arginase/deacetylase_ partial [Coccomyxa subellipsoidea C-169], EIE26198.1 histone deacetylase [Coccomyxa subellipsoidea C-169]	PCFQ01000002.1 g740 [Chlorella sp. A99]
OG0000713	EIE19583.1 flavo protein WrbA [Coccomyxa subellipsoidea C-169], EIE19582.1 LEDI-3 protein [Coccomyxa subellipsoidea C-169], EIE19584.1 hypothetical protein COCSUDRAFT_58333 [Coccomyxa subellipsoidea C-169], EIE19598.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000005.1 g762 [Chlorella sp. A99]
OG0000714	EIE25650.1 DAGAT-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000020.1 g904 [Chlorella sp. A99]
OG0000716	EIE22282.1 hypothetical protein COCSUDRAFT_42626 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2081 [Chlorella sp. A99]
OG0000716	EIE24529.1 hypothetical protein COCSUDRAFT_65401 [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3215 [Chlorella sp. A99]
OG0000730	EIE22867.1 pre-mRNA-splicing factor [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2422 [Chlorella sp. A99], PCFQ01000037.1 g2421 [Chlorella sp. A99]
OG0000731	EIE22024.1 plastidic phosphate translocator-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2829 [Chlorella sp. A99], PCFQ01000081.1 g1657 [Chlorella sp. A99]
OG0000733	EIE20496.1 hypothetical protein COCSUDRAFT_48531 [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2372 [Chlorella sp. A99]
OG0000734	EIE25917.1 hypothetical protein COCSUDRAFT_12734_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000003.1 g1081 [Chlorella sp. A99]
OG0000736	EIE24592.1 hypothetical protein COCSUDRAFT_62023 [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3344 [Chlorella sp. A99]
OG0000740	EIE19759.1 phosphoglycerate mutase-like protein [Coccomyxa subellipsoidea C-169], EIE24438.1 phosphoglycerate mutase-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3265 [Chlorella sp. A99]
OG0000741	EIE26809.1 actin-like ATPase domain-containing protein [Coccomyxa subellipsoidea C-169], EIE21094.1 actin-like ATPase domain-containing protein [Coccomyxa subellipsoidea C-169], EIE22905.1 hypothetical protein COCSUDRAFT_64025 [Coccomyxa subellipsoidea C-169], EIE19869.1 hypothetical protein COCSUDRAFT_67615 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2019 [Chlorella sp. A99]
OG0000745	EIE27154.1 HSP20-like chaperone [Coccomyxa subellipsoidea C-169], EIE21305.1 HSP20-like chaperone [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2062 [Chlorella sp. A99]
OG0000747	EIE22051.1 hypothetical protein COCSUDRAFT_53946 [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3352 [Chlorella sp. A99]
OG0000749	EIE22487.1 cystathionine beta-lyase [Coccomyxa subellipsoidea C-169]	PCFQ01000046.1 g1851 [Chlorella sp. A99], PCFQ01000011.1 g2816 [Chlorella sp. A99]
OG0000750	EIE22329.1 hypothetical protein COCSUDRAFT_56022 [Coccomyxa subellipsoidea C-169], EIE22331.1 Piwi-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE22330.1 Piwi-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1579 [Chlorella sp. A99]
OG0000751	EIE19337.1 putative aspartic protease [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2595 [Chlorella sp. A99]
OG0000753	EIE19389.1 succinate-CoA ligase beta chain [Coccomyxa subellipsoidea C-169]	PCFQ01000023.1 g2230 [Chlorella sp. A99]
OG0000755	EIE25587.1 hypothetical protein COCSUDRAFT_40785 [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2783 [Chlorella sp. A99]
OG0000756	EIE23591.1 hypothetical protein COCSUDRAFT_63118 [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1636 [Chlorella sp. A99]
OG0000757	EIE27267.1 phospholipid-translocating P-type ATPase [Coccomyxa subellipsoidea C-169], EIE25509.1 phospholipid-translocating P-type ATPase [Coccomyxa subellipsoidea C-169]	PCFQ01000008.1 g1097 [Chlorella sp. A99]
OG0000760	EIE23094.1 hypothetical protein COCSUDRAFT_15835 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2073 [Chlorella sp. A99], PCFQ01000037.1 g2430 [Chlorella sp. A99]
OG0000761	EIE26501.1 hypothetical protein COCSUDRAFT_39583 [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g58 [Chlorella sp. A99]
OG0000763	EIE22577.1 ubiquitin-activating enzyme E1 [Coccomyxa subellipsoidea C-169]	PCFQ01000019.1 g1786 [Chlorella sp. A99]
OG0000765	EIE19013.1 hypothetical protein COCSUDRAFT_31311 [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g633 [Chlorella sp. A99]
OG0000767	EIE21102.1 hypothetical protein COCSUDRAFT_43452 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g1996 [Chlorella sp. A99]
OG0000768	EIE25314.1 hypothetical protein COCSUDRAFT_40596 [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2771 [Chlorella sp. A99]
OG0000769	EIE22915.1 hypothetical protein COCSUDRAFT_66452 [Coccomyxa subellipsoidea C-169], EIE26551.1 hypothetical protein COCSUDRAFT_46136 [Coccomyxa subellipsoidea C-169]	PCFQ01000014.1 g1900 [Chlorella sp. A99]
OG0000770	EIE26552.1 apospory-associated protein C [Coccomyxa subellipsoidea C-169]	PCFQ01000009.1 g1725 [Chlorella sp. A99]
OG0000771	EIE23166.1 hypothetical protein COCSUDRAFT_15709 [Coccomyxa subellipsoidea C-169]	PCFQ01000005.1 g748 [Chlorella sp. A99]
OG0000773	EIE26214.1 hypothetical protein COCSUDRAFT_6667_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000005.1 g758 [Chlorella sp. A99]
OG0000774	EIE19548.1 DUF1649-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000005.1 g761 [Chlorella sp. A99]
OG0000776	EIE23931.1 Hydroxyisourate hydrolase [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1414 [Chlorella sp. A99]
OG0000777	EIE19792.1 hypothetical protein COCSUDRAFT_58521 [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1465 [Chlorella sp. A99]
OG0000778	EIE21316.1 hypothetical protein COCSUDRAFT_56538 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2222 [Chlorella sp. A99]
OG0000780	EIE20202.1 CBS-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000012.1 g1824 [Chlorella sp. A99]
OG0000781	EIE18738.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169], EIE23717.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2672 [Chlorella sp. A99]
OG0000783	EIE23014.1 DER1-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE25259.1 3-hydroxy-3-methylglutarate-CoA lyase [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g158 [Chlorella sp. A99]
OG0000784	EIE18852.1 nucleotide-diphospho-sugar transferase [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g3059 [Chlorella sp. A99], PCFQ01000015.1 g3064 [Chlorella sp. A99]
OG0000785	EIE25123.1 hypothetical protein COCSUDRAFT_13585 [Coccomyxa subellipsoidea C-169]	PCFQ01000077.1 g1756 [Chlorella sp. A99]
OG0000786	EIE23853.1 Ketosamine-3-kinase [Coccomyxa subellipsoidea C-169]	PCFQ01000038.1 g487 [Chlorella sp. A99]
OG0000787	EIE22673.1 acyl-CoA dehydrogenase NM domain-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000009.1 g1720 [Chlorella sp. A99]
OG0000788	EIE19018.1 centrin [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g627 [Chlorella sp. A99]
OG0000791	EIE26090.1 protein serine/threonine phosphatase 2C [Coccomyxa subellipsoidea C-169]	PCFQ01000023.1 g2224 [Chlorella sp. A99]
OG0000793	EIE25466.1 root hair defective 3 GTP-binding protein [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2797 [Chlorella sp. A99]
OG0000794	EIE22193.1 cinnamyl-alcohol dehydrogenase-like protein [Coccomyxa subellipsoidea C-169], EIE24719.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE25033.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE25032.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g221 [Chlorella sp. A99]
OG0000796	EIE20162.1 hypothetical protein COCSUDRAFT_34056 [Coccomyxa subellipsoidea C-169], EIE21339.1 hypothetical protein COCSUDRAFT_8016_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3157 [Chlorella sp. A99]
OG0000798	EIE25649.1 hypothetical protein COCSUDRAFT_60661 [Coccomyxa subellipsoidea C-169], EIE25739.1 hypothetical protein COCSUDRAFT_46359 [Coccomyxa subellipsoidea C-169]	PCFQ01000046.1 g1853 [Chlorella sp. A99]
OG0000800	EIE25147.1 NADPH-dependent thioredoxin reductase 1 [Coccomyxa subellipsoidea C-169]	PCFQ01000077.1 g1773 [Chlorella sp. A99]
OG0000801	EIE27759.1 hypothetical protein COCSUDRAFT_64369 [Coccomyxa subellipsoidea C-169]	PCFQ01000077.1 g1782 [Chlorella sp. A99]
OG0000801	EIE20524.1 hypothetical protein COCSUDRAFT_57673 [Coccomyxa subellipsoidea C-169]	PCFQ01000077.1 g1780 [Chlorella sp. A99]
OG0000802	EIE20820.1 hypothetical protein COCSUDRAFT_30453 [Coccomyxa subellipsoidea C-169], EIE23755.1 hypothetical protein COCSUDRAFT_41909 [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1447 [Chlorella sp. A99]
OG0000803	EIE24481.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2151 [Chlorella sp. A99]
OG0000804	EIE21212.1 cytochrome-b5 reductase like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000009.1 g1699 [Chlorella sp. A99]
OG0000807	EIE26106.1 iron permease FTR1 [Coccomyxa subellipsoidea C-169]	PCFQ01000014.1 g1877 [Chlorella sp. A99]
OG0000808	EIE21573.1 hypothetical protein COCSUDRAFT_17393 [Coccomyxa subellipsoidea C-169]	PCFQ01000075.1 g1942 [Chlorella sp. A99], PCFQ01000078.1 g2101 [Chlorella sp. A99]
OG0000811	EIE25035.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3117 [Chlorella sp. A99]
OG0000812	EIE19492.1 calcium-translocating P-type ATPase [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2606 [Chlorella sp. A99]
OG0000814	EIE24400.1 glutamate dehydrogenase [Coccomyxa subellipsoidea C-169], EIE23148.1 glutamate dehydrogenase [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2907 [Chlorella sp. A99], PCFQ01000037.1 g2532 [Chlorella sp. A99]
OG0000815	EIE21619.1 thiolase [Coccomyxa subellipsoidea C-169]	PCFQ01000003.1 g1073 [Chlorella sp. A99], PCFQ01000078.1 g2118 [Chlorella sp. A99]
OG0000818	EIE18899.1 mitochondrial carrier protein [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g2933 [Chlorella sp. A99]
OG0000820	EIE20136.1 gamma-carbonic anhydrase [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g517 [Chlorella sp. A99]
OG0000820	EIE25376.1 trimeric LpxA-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000008.1 g1084 [Chlorella sp. A99]
OG0000822	EIE22276.1 lipoyltransferase_ partial [Coccomyxa subellipsoidea C-169], EIE27233.1 LIPOYLtransferase 2 [Coccomyxa subellipsoidea C-169]	PCFQ01000017.1 g2276 [Chlorella sp. A99]
OG0000823	EIE27265.1 acyl-CoA N-acyltransferase [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g107 [Chlorella sp. A99]
OG0000824	EIE20860.1 beta and beta-prime subunits of DNA dependent RNA-polymerase [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g499 [Chlorella sp. A99]
OG0000825	EIE26810.1 hypothetical protein COCSUDRAFT_46239 [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3205 [Chlorella sp. A99]
OG0000827	EIE23070.1 acetohydroxy acid isomeroreductase [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2479 [Chlorella sp. A99]
OG0000829	EIE24770.1 hypothetical protein COCSUDRAFT_46936 [Coccomyxa subellipsoidea C-169]	PCFQ01000002.1 g673 [Chlorella sp. A99]
OG0000830	EIE22727.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000001.1 g989 [Chlorella sp. A99]
OG0000833	EIE27328.1 hypothetical protein COCSUDRAFT_31977 [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2580 [Chlorella sp. A99]
OG0000833	EIE26338.1 hypothetical protein COCSUDRAFT_39457 [Coccomyxa subellipsoidea C-169], EIE26337.1 hypothetical protein COCSUDRAFT_58874 [Coccomyxa subellipsoidea C-169], EIE26336.1 hypothetical protein COCSUDRAFT_58873 [Coccomyxa subellipsoidea C-169], EIE26335.1 hypothetical protein COCSUDRAFT_52307 [Coccomyxa subellipsoidea C-169]	PCFQ01000020.1 g869 [Chlorella sp. A99]
OG0000834	EIE19087.1 hypothetical protein COCSUDRAFT_34352 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2090 [Chlorella sp. A99]
OG0000835	EIE22079.1 trypsin-like serine protease_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g151 [Chlorella sp. A99]
OG0000837	EIE20068.1 hypothetical protein COCSUDRAFT_48589 [Coccomyxa subellipsoidea C-169]	PCFQ01000073.1 g1958 [Chlorella sp. A99]
OG0000838	EIE25269.1 hypothetical protein COCSUDRAFT_61497 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2094 [Chlorella sp. A99]
OG0000839	EIE27172.1 hypothetical protein COCSUDRAFT_64104 [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g42 [Chlorella sp. A99]
OG0000840	EIE18722.1 hypothetical protein COCSUDRAFT_60030 [Coccomyxa subellipsoidea C-169], EIE22902.1 hypothetical protein COCSUDRAFT_16364_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2412 [Chlorella sp. A99]
OG0000842	EIE18663.1 hypothetical protein COCSUDRAFT_45149 [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g4 [Chlorella sp. A99]
OG0000843	EIE24208.1 NAD-dependent epimerase/dehydratase [Coccomyxa subellipsoidea C-169]	PCFQ01000008.1 g1121 [Chlorella sp. A99]
OG0000844	EIE24678.1 ENTH-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g578 [Chlorella sp. A99]
OG0000845	EIE18734.1 hypothetical protein COCSUDRAFT_68177 [Coccomyxa subellipsoidea C-169]	PCFQ01000058.1 g63 [Chlorella sp. A99]
OG0000846	EIE22274.1 P25-alpha [Coccomyxa subellipsoidea C-169]	PCFQ01000010.1 g338 [Chlorella sp. A99]
OG0000847	EIE21846.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE21853.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE21852.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169], EIE18472.1 oxidoreductase [Coccomyxa subellipsoidea C-169]	PCFQ01000010.1 g384 [Chlorella sp. A99], PCFQ01000080.1 g1956 [Chlorella sp. A99], PCFQ01000078.1 g2155 [Chlorella sp. A99]
OG0000849	EIE18574.1 SFT2-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000005.1 g824 [Chlorella sp. A99]
OG0000850	EIE20940.1 hypothetical protein COCSUDRAFT_54287 [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1606 [Chlorella sp. A99]
OG0000851	EIE24364.1 hypothetical protein COCSUDRAFT_14826 [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1611 [Chlorella sp. A99]
OG0000852	EIE26802.1 hypothetical protein COCSUDRAFT_46235 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g1995 [Chlorella sp. A99]
OG0000853	EIE21540.1 kinesin-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2040 [Chlorella sp. A99]
OG0000853	EIE26130.1 kinesin-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g2979 [Chlorella sp. A99]
OG0000854	EIE21491.1 hypothetical protein COCSUDRAFT_43208 [Coccomyxa subellipsoidea C-169]	PCFQ01000078.1 g2204 [Chlorella sp. A99], PCFQ01000078.1 g2192 [Chlorella sp. A99]
OG0000855	EIE24420.1 UPF0187-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2384 [Chlorella sp. A99], PCFQ01000011.1 g2871 [Chlorella sp. A99]
OG0000856	EIE26409.1 putative O-sialoglyco protein endopeptidase [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2683 [Chlorella sp. A99]
OG0000878	EIE22480.1 hypothetical protein COCSUDRAFT_47904 [Coccomyxa subellipsoidea C-169]	PCFQ01000046.1 g1872 [Chlorella sp. A99]
OG0000882	EIE19234.1 PIN domain-like protein [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1306 [Chlorella sp. A99]
OG0000886	EIE22573.1 hypothetical protein COCSUDRAFT_53587 [Coccomyxa subellipsoidea C-169]	PCFQ01000009.1 g1713 [Chlorella sp. A99]
OG0000889	EIE18270.1 hypothetical protein COCSUDRAFT_49349 [Coccomyxa subellipsoidea C-169]	PCFQ01000079.1 g1331 [Chlorella sp. A99]
OG0000890	EIE27439.1 hypothetical protein COCSUDRAFT_11457 [Coccomyxa subellipsoidea C-169]	PCFQ01000007.1 g1208 [Chlorella sp. A99]
OG0000891	EIE26583.1 Rubisco activase [Coccomyxa subellipsoidea C-169]	PCFQ01000018.1 g440 [Chlorella sp. A99]
OG0000892	EIE19776.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169], EIE24550.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169], EIE27654.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1638 [Chlorella sp. A99]
OG0000893	EIE27475.1 prenylated rab acceptor family protein [Coccomyxa subellipsoidea C-169]	PCFQ01000081.1 g1634 [Chlorella sp. A99]
OG0000897	EIE24512.1 phosphoglycerate dehydrogenase [Coccomyxa subellipsoidea C-169]	PCFQ01000013.1 g3266 [Chlorella sp. A99]
OG0000898	EIE18893.1 hypothetical protein COCSUDRAFT_45039 [Coccomyxa subellipsoidea C-169], EIE18896.1 DUF699-domain-containing protein [Coccomyxa subellipsoidea C-169]	PCFQ01000015.1 g2951 [Chlorella sp. A99]
OG0000899	EIE19918.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]	PCFQ01000006.1 g3223 [Chlorella sp. A99]
OG0000900	EIE22968.1 hypothetical protein COCSUDRAFT_63361 [Coccomyxa subellipsoidea C-169], EIE23237.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169], EIE20827.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2619 [Chlorella sp. A99]
OG0000902	EIE18139.1 hypothetical protein COCSUDRAFT_49367 [Coccomyxa subellipsoidea C-169]	PCFQ01000007.1 g1179 [Chlorella sp. A99]
OG0000903	EIE18209.1 hypothetical protein COCSUDRAFT_49330 [Coccomyxa subellipsoidea C-169], EIE24349.1 hypothetical protein COCSUDRAFT_65858 [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2677 [Chlorella sp. A99]
OG0000907	EIE20503.1 magnesium chelatase subunit D [Coccomyxa subellipsoidea C-169]	PCFQ01000004.1 g2658 [Chlorella sp. A99], PCFQ01000004.1 g2653 [Chlorella sp. A99]
OG0000908	EIE18454.1 iron-sulfur cluster assembly protein IscA [Coccomyxa subellipsoidea C-169]	PCFQ01000026.1 g2296 [Chlorella sp. A99]
OG0000909	EIE18284.1 hypothetical protein COCSUDRAFT_20812 [Coccomyxa subellipsoidea C-169]	PCFQ01000082.1 g593 [Chlorella sp. A99]
OG0000915	EIE25929.1 long-chain-fatty-acid CoA ligase [Coccomyxa subellipsoidea C-169]	PCFQ01000037.1 g2511 [Chlorella sp. A99]
OG0000917	EIE25938.1 hypothetical protein COCSUDRAFT_27529 [Coccomyxa subellipsoidea C-169]	PCFQ01000003.1 g1053 [Chlorella sp. A99]
OG0000919	EIE21838.1 hypothetical protein COCSUDRAFT_56289 [Coccomyxa subellipsoidea C-169]	PCFQ01000007.1 g1206 [Chlorella sp. A99]
OG0000920	EIE27758.1 hypothetical protein COCSUDRAFT_64368 [Coccomyxa subellipsoidea C-169], EIE27757.1 hypothetical protein COCSUDRAFT_55740 [Coccomyxa subellipsoidea C-169], EIE24852.1 hypothetical protein COCSUDRAFT_41130 [Coccomyxa subellipsoidea C-169]	PCFQ01000077.1 g1752 [Chlorella sp. A99]
OG0000922	EIE18263.1 Mnt1 protein_ partial [Coccomyxa subellipsoidea C-169]	PCFQ01000011.1 g2846 [Chlorella sp. A99]
OG0000924	EIE25414.1 hypothetical protein COCSUDRAFT_61633 [Coccomyxa subellipsoidea C-169], EIE22294.1 hypothetical protein COCSUDRAFT_55988 [Coccomyxa subellipsoidea C-169]	PCFQ01000080.1 g1951 [Chlorella sp. A99]
