Orthogroup	Chlorella_A99	Chlorella_Vulgaris2111P
OG0000375	PCFQ01000046.1 g1848 [Chlorella sp. A99]	KAI3423892.1 hypothetical protein D9Q98_009726 [Chlorella vulgaris]
OG0000376	PCFQ01000019.1 g1819 [Chlorella sp. A99]	KAI3426134.1 hypothetical protein D9Q98_008513 [Chlorella vulgaris]
OG0000377	PCFQ01000058.1 g62 [Chlorella sp. A99]	KAI3433865.1 hypothetical protein D9Q98_003668 [Chlorella vulgaris]
OG0000379	PCFQ01000058.1 g97 [Chlorella sp. A99]	KAI3433616.1 hypothetical protein D9Q98_003425 [Chlorella vulgaris]
OG0000380	PCFQ01000082.1 g626 [Chlorella sp. A99]	KAI3423989.1 hypothetical protein D9Q98_009822 [Chlorella vulgaris], KAI3430592.1 hypothetical protein D9Q98_005185 [Chlorella vulgaris]
OG0000382	PCFQ01000018.1 g416 [Chlorella sp. A99]	KAI3429765.1 hypothetical protein D9Q98_010078 [Chlorella vulgaris]
OG0000382	PCFQ01000081.1 g1610 [Chlorella sp. A99], PCFQ01000081.1 g1609 [Chlorella sp. A99]	KAI3437956.1 hypothetical protein D9Q98_000400 [Chlorella vulgaris]
OG0000383	PCFQ01000078.1 g2042 [Chlorella sp. A99], PCFQ01000058.1 g106 [Chlorella sp. A99]	KAI3433585.1 hypothetical protein D9Q98_003396 [Chlorella vulgaris]
OG0000383	PCFQ01000013.1 g3369 [Chlorella sp. A99]	KAI3429755.1 hypothetical protein D9Q98_010068 [Chlorella vulgaris]
OG0000384	PCFQ01000037.1 g2504 [Chlorella sp. A99]	KAI3428505.1 hypothetical protein D9Q98_007329 [Chlorella vulgaris]
OG0000385	PCFQ01000082.1 g577 [Chlorella sp. A99]	KAI3424468.1 hypothetical protein D9Q98_010019 [Chlorella vulgaris]
OG0000386	PCFQ01000058.1 g93 [Chlorella sp. A99]	KAI3433709.1 hypothetical protein D9Q98_003518 [Chlorella vulgaris]
OG0000387	PCFQ01000073.1 g1966 [Chlorella sp. A99]	KAI3425000.1 hypothetical protein D9Q98_008381 [Chlorella vulgaris]
OG0000388	PCFQ01000081.1 g1574 [Chlorella sp. A99]	KAI3430231.1 hypothetical protein D9Q98_004828 [Chlorella vulgaris]
OG0000389	PCFQ01000010.1 g314 [Chlorella sp. A99]	KAI3431723.1 hypothetical protein D9Q98_004765 [Chlorella vulgaris]
OG0000390	PCFQ01000002.1 g658 [Chlorella sp. A99]	KAI3430407.1 hypothetical protein D9Q98_005002 [Chlorella vulgaris]
OG0000390	PCFQ01000002.1 g682 [Chlorella sp. A99]	KAI3430406.1 hypothetical protein D9Q98_005001 [Chlorella vulgaris]
OG0000391	PCFQ01000058.1 g61 [Chlorella sp. A99]	KAI3433862.1 hypothetical protein D9Q98_003665 [Chlorella vulgaris], KAI3433869.1 hypothetical protein D9Q98_003672 [Chlorella vulgaris], KAI3433875.1 hypothetical protein D9Q98_003677 [Chlorella vulgaris]
OG0000392	PCFQ01000013.1 g3329 [Chlorella sp. A99]	KAI3429385.1 hypothetical protein D9Q98_005480 [Chlorella vulgaris], KAI3429384.1 hypothetical protein D9Q98_005479 [Chlorella vulgaris], KAI3433417.1 hypothetical protein D9Q98_003232 [Chlorella vulgaris]
OG0000393	PCFQ01000018.1 g465 [Chlorella sp. A99]	KAI3429581.1 hypothetical protein D9Q98_005667 [Chlorella vulgaris]
OG0000393	PCFQ01000010.1 g294 [Chlorella sp. A99]	KAI3429584.1 hypothetical protein D9Q98_005670 [Chlorella vulgaris], KAI3429585.1 hypothetical protein D9Q98_005671 [Chlorella vulgaris]
OG0000394	PCFQ01000018.1 g451 [Chlorella sp. A99]	KAI3429731.1 hypothetical protein D9Q98_010046 [Chlorella vulgaris]
OG0000396	PCFQ01000079.1 g1382 [Chlorella sp. A99]	KAI3432862.1 hypothetical protein D9Q98_010445 [Chlorella vulgaris]
OG0000397	PCFQ01000014.1 g1886 [Chlorella sp. A99], PCFQ01000013.1 g3276 [Chlorella sp. A99]	KAI3435837.1 hypothetical protein D9Q98_001895 [Chlorella vulgaris], KAI3431441.1 hypothetical protein D9Q98_004493 [Chlorella vulgaris], KAI3431440.1 hypothetical protein D9Q98_004492 [Chlorella vulgaris], KAI3431439.1 hypothetical protein D9Q98_004491 [Chlorella vulgaris], KAI3431444.1 hypothetical protein D9Q98_004496 [Chlorella vulgaris], KAI3438970.1 hypothetical protein D9Q98_001384 [Chlorella vulgaris], KAI3438971.1 hypothetical protein D9Q98_001385 [Chlorella vulgaris], KAI3438920.1 hypothetical protein D9Q98_001334 [Chlorella vulgaris], KAI3427218.1 hypothetical protein D9Q98_007153 [Chlorella vulgaris]
OG0000405	PCFQ01000078.1 g2144 [Chlorella sp. A99]	KAI3436073.1 hypothetical protein D9Q98_002131 [Chlorella vulgaris]
OG0000406	PCFQ01000009.1 g1686 [Chlorella sp. A99]	KAI3438203.1 hypothetical protein D9Q98_000640 [Chlorella vulgaris]
OG0000406	PCFQ01000009.1 g1690 [Chlorella sp. A99]	KAI3438204.1 hypothetical protein D9Q98_000641 [Chlorella vulgaris]
OG0000407	PCFQ01000079.1 g1311 [Chlorella sp. A99]	KAI3424250.1 hypothetical protein D9Q98_009605 [Chlorella vulgaris]
OG0000407	PCFQ01000078.1 g2059 [Chlorella sp. A99]	KAI3432247.1 hypothetical protein D9Q98_003808 [Chlorella vulgaris]
OG0000408	PCFQ01000006.1 g3155 [Chlorella sp. A99]	KAI3424702.1 hypothetical protein D9Q98_008092 [Chlorella vulgaris]
OG0000409	PCFQ01000079.1 g1480 [Chlorella sp. A99]	KAI3430582.1 hypothetical protein D9Q98_005175 [Chlorella vulgaris]
OG0000409	PCFQ01000018.1 g422 [Chlorella sp. A99]	KAI3429628.1 hypothetical protein D9Q98_005714 [Chlorella vulgaris]
OG0000410	PCFQ01000037.1 g2509 [Chlorella sp. A99]	KAI3438504.1 hypothetical protein D9Q98_000932 [Chlorella vulgaris]
OG0000411	PCFQ01000018.1 g455 [Chlorella sp. A99]	KAI3429722.1 hypothetical protein D9Q98_010038 [Chlorella vulgaris], KAI3429729.1 hypothetical protein D9Q98_010044 [Chlorella vulgaris]
OG0000413	PCFQ01000020.1 g923 [Chlorella sp. A99]	KAI3426429.1 hypothetical protein D9Q98_008797 [Chlorella vulgaris]
OG0000413	PCFQ01000037.1 g2352 [Chlorella sp. A99]	KAI3438451.1 hypothetical protein D9Q98_000880 [Chlorella vulgaris]
OG0000414	PCFQ01000013.1 g3310 [Chlorella sp. A99]	KAI3429380.1 hypothetical protein D9Q98_005475 [Chlorella vulgaris]
OG0000414	PCFQ01000006.1 g3246 [Chlorella sp. A99]	KAI3434501.1 hypothetical protein D9Q98_002576 [Chlorella vulgaris]
OG0000416	PCFQ01000013.1 g3340 [Chlorella sp. A99]	KAI3429229.1 hypothetical protein D9Q98_005328 [Chlorella vulgaris]
OG0000416	PCFQ01000013.1 g3301 [Chlorella sp. A99]	KAI3429486.1 hypothetical protein D9Q98_005577 [Chlorella vulgaris]
OG0000418	PCFQ01000004.1 g2655 [Chlorella sp. A99]	KAI3438821.1 hypothetical protein D9Q98_001238 [Chlorella vulgaris]
OG0000418	PCFQ01000011.1 g2791 [Chlorella sp. A99]	KAI3428267.1 hypothetical protein D9Q98_006646 [Chlorella vulgaris]
OG0000419	PCFQ01000007.1 g1188 [Chlorella sp. A99]	KAI3437565.1 hypothetical protein D9Q98_000018 [Chlorella vulgaris]
OG0000419	PCFQ01000007.1 g1189 [Chlorella sp. A99]	KAI3437567.1 hypothetical protein D9Q98_000020 [Chlorella vulgaris]
OG0000420	PCFQ01000078.1 g2028 [Chlorella sp. A99]	KAI3435774.1 hypothetical protein D9Q98_001832 [Chlorella vulgaris]
OG0000421	PCFQ01000037.1 g2338 [Chlorella sp. A99]	KAI3438605.1 hypothetical protein D9Q98_001028 [Chlorella vulgaris]
OG0000422	PCFQ01000011.1 g2818 [Chlorella sp. A99]	KAI3436656.1 hypothetical protein D9Q98_006072 [Chlorella vulgaris]
OG0000423	PCFQ01000018.1 g477 [Chlorella sp. A99]	KAI3424057.1 hypothetical protein D9Q98_009420 [Chlorella vulgaris]
OG0000423	PCFQ01000009.1 g1731 [Chlorella sp. A99]	KAI3424742.1 hypothetical protein D9Q98_008131 [Chlorella vulgaris]
OG0000425	PCFQ01000037.1 g2416 [Chlorella sp. A99]	KAI3438522.1 hypothetical protein D9Q98_000950 [Chlorella vulgaris]
OG0000426	PCFQ01000079.1 g1249 [Chlorella sp. A99]	KAI3435882.1 hypothetical protein D9Q98_001940 [Chlorella vulgaris]
OG0000429	PCFQ01000078.1 g1990 [Chlorella sp. A99]	KAI3435650.1 hypothetical protein D9Q98_001708 [Chlorella vulgaris]
OG0000429	PCFQ01000006.1 g3187 [Chlorella sp. A99]	KAI3435620.1 hypothetical protein D9Q98_001680 [Chlorella vulgaris]
OG0000430	PCFQ01000011.1 g2925 [Chlorella sp. A99]	KAI3430737.1 hypothetical protein D9Q98_009150 [Chlorella vulgaris]
OG0000432	PCFQ01000004.1 g2682 [Chlorella sp. A99]	KAI3438740.1 hypothetical protein D9Q98_001159 [Chlorella vulgaris]
OG0000433	PCFQ01000082.1 g623 [Chlorella sp. A99]	KAI3424315.1 hypothetical protein D9Q98_009868 [Chlorella vulgaris]
OG0000433	PCFQ01000073.1 g1962 [Chlorella sp. A99]	KAI3425132.1 hypothetical protein D9Q98_008904 [Chlorella vulgaris]
OG0000435	PCFQ01000077.1 g1760 [Chlorella sp. A99]	KAI3428061.1 hypothetical protein D9Q98_006445 [Chlorella vulgaris]
OG0000436	PCFQ01000013.1 g3370 [Chlorella sp. A99]	KAI3429703.1 hypothetical protein D9Q98_005788 [Chlorella vulgaris]
OG0000438	PCFQ01000037.1 g2542 [Chlorella sp. A99]	KAI3428406.1 hypothetical protein D9Q98_007233 [Chlorella vulgaris]
OG0000439	PCFQ01000020.1 g873 [Chlorella sp. A99]	KAI3426203.1 hypothetical protein D9Q98_008580 [Chlorella vulgaris]
OG0000439	PCFQ01000020.1 g937 [Chlorella sp. A99]	KAI3434746.1 hypothetical protein D9Q98_002806 [Chlorella vulgaris], KAI3430668.1 hypothetical protein D9Q98_005260 [Chlorella vulgaris]
OG0000441	PCFQ01000082.1 g594 [Chlorella sp. A99]	KAI3435736.1 hypothetical protein D9Q98_001794 [Chlorella vulgaris]
OG0000442	PCFQ01000013.1 g3374 [Chlorella sp. A99]	KAI3429399.1 hypothetical protein D9Q98_005494 [Chlorella vulgaris]
OG0000443	PCFQ01000079.1 g1523 [Chlorella sp. A99]	KAI3430612.1 hypothetical protein D9Q98_005204 [Chlorella vulgaris]
OG0000444	PCFQ01000081.1 g1658 [Chlorella sp. A99], PCFQ01000006.1 g3165 [Chlorella sp. A99]	KAI3430305.1 hypothetical protein D9Q98_004901 [Chlorella vulgaris], KAI3432415.1 hypothetical protein D9Q98_003969 [Chlorella vulgaris]
OG0000445	PCFQ01000015.1 g2959 [Chlorella sp. A99]	KAI3436892.1 hypothetical protein D9Q98_006300 [Chlorella vulgaris]
OG0000447	PCFQ01000081.1 g1591 [Chlorella sp. A99]	KAI3438128.1 hypothetical protein D9Q98_000569 [Chlorella vulgaris]
OG0000449	PCFQ01000058.1 g223 [Chlorella sp. A99]	KAI3423794.1 hypothetical protein D9Q98_009632 [Chlorella vulgaris], KAI3433290.1 hypothetical protein D9Q98_003109 [Chlorella vulgaris]
OG0000450	PCFQ01000009.1 g1703 [Chlorella sp. A99]	KAI3438105.1 hypothetical protein D9Q98_000546 [Chlorella vulgaris], KAI3438104.1 hypothetical protein D9Q98_000546 [Chlorella vulgaris], KAI3429639.1 hypothetical protein D9Q98_005725 [Chlorella vulgaris], KAI3438106.1 hypothetical protein D9Q98_000547 [Chlorella vulgaris]
OG0000452	PCFQ01000006.1 g3131 [Chlorella sp. A99]	KAI3436762.1 hypothetical protein D9Q98_006174 [Chlorella vulgaris], KAI3426483.1 hypothetical protein D9Q98_008849 [Chlorella vulgaris]
OG0000453	PCFQ01000004.1 g2609 [Chlorella sp. A99]	KAI3438775.1 hypothetical protein D9Q98_001192 [Chlorella vulgaris], KAI3438774.1 hypothetical protein D9Q98_001192 [Chlorella vulgaris]
OG0000454	PCFQ01000077.1 g1751 [Chlorella sp. A99]	KAI3427960.1 hypothetical protein D9Q98_006350 [Chlorella vulgaris]
OG0000455	PCFQ01000058.1 g275 [Chlorella sp. A99]	KAI3434451.1 hypothetical protein D9Q98_002528 [Chlorella vulgaris]
OG0000457	PCFQ01000011.1 g2867 [Chlorella sp. A99]	KAI3436610.1 hypothetical protein D9Q98_006027 [Chlorella vulgaris]
OG0000458	PCFQ01000058.1 g15 [Chlorella sp. A99]	KAI3433926.1 hypothetical protein D9Q98_003728 [Chlorella vulgaris]
OG0000458	PCFQ01000004.1 g2712 [Chlorella sp. A99]	KAI3438593.1 hypothetical protein D9Q98_001017 [Chlorella vulgaris]
OG0000460	PCFQ01000079.1 g1481 [Chlorella sp. A99]	KAI3430583.1 hypothetical protein D9Q98_005176 [Chlorella vulgaris]
OG0000460	PCFQ01000011.1 g2751 [Chlorella sp. A99]	KAI3424908.1 hypothetical protein D9Q98_008292 [Chlorella vulgaris]
OG0000461	PCFQ01000082.1 g561 [Chlorella sp. A99]	KAI3425976.1 hypothetical protein D9Q98_007944 [Chlorella vulgaris], KAI3425977.1 hypothetical protein D9Q98_007945 [Chlorella vulgaris]
OG0000463	PCFQ01000015.1 g3035 [Chlorella sp. A99]	KAI3425001.1 hypothetical protein D9Q98_008382 [Chlorella vulgaris]
OG0000464	PCFQ01000008.1 g1092 [Chlorella sp. A99]	KAI3428776.1 hypothetical protein D9Q98_007597 [Chlorella vulgaris]
OG0000465	PCFQ01000079.1 g1279 [Chlorella sp. A99]	KAI3432263.1 hypothetical protein D9Q98_003823 [Chlorella vulgaris]
OG0000465	PCFQ01000078.1 g2195 [Chlorella sp. A99]	KAI3433843.1 hypothetical protein D9Q98_003646 [Chlorella vulgaris]
OG0000466	PCFQ01000082.1 g624 [Chlorella sp. A99]	KAI3424365.1 hypothetical protein D9Q98_009918 [Chlorella vulgaris]
OG0000467	PCFQ01000014.1 g1896 [Chlorella sp. A99]	KAI3432772.1 hypothetical protein D9Q98_004312 [Chlorella vulgaris]
OG0000467	PCFQ01000010.1 g293 [Chlorella sp. A99]	KAI3431280.1 hypothetical protein D9Q98_004341 [Chlorella vulgaris]
OG0000468	PCFQ01000078.1 g2091 [Chlorella sp. A99]	KAI3435810.1 hypothetical protein D9Q98_001868 [Chlorella vulgaris]
OG0000468	PCFQ01000058.1 g139 [Chlorella sp. A99]	KAI3433359.1 hypothetical protein D9Q98_003177 [Chlorella vulgaris]
OG0000469	PCFQ01000013.1 g3348 [Chlorella sp. A99]	KAI3424724.1 hypothetical protein D9Q98_008113 [Chlorella vulgaris]
OG0000470	PCFQ01000018.1 g485 [Chlorella sp. A99]	KAI3426508.1 hypothetical protein D9Q98_008873 [Chlorella vulgaris], KAI3434498.1 hypothetical protein D9Q98_002573 [Chlorella vulgaris]
OG0000471	PCFQ01000015.1 g2946 [Chlorella sp. A99]	KAI3434778.1 hypothetical protein D9Q98_002838 [Chlorella vulgaris]
OG0000472	PCFQ01000082.1 g513 [Chlorella sp. A99]	KAI3425733.1 hypothetical protein D9Q98_007709 [Chlorella vulgaris], KAI3425734.1 hypothetical protein D9Q98_007710 [Chlorella vulgaris]
OG0000473	PCFQ01000003.1 g1035 [Chlorella sp. A99]	KAI3433728.1 hypothetical protein D9Q98_003536 [Chlorella vulgaris]
OG0000473	PCFQ01000058.1 g66 [Chlorella sp. A99]	KAI3433729.1 hypothetical protein D9Q98_003537 [Chlorella vulgaris]
OG0000476	PCFQ01000073.1 g1964 [Chlorella sp. A99]	KAI3425011.1 hypothetical protein D9Q98_008393 [Chlorella vulgaris]
OG0000477	PCFQ01000012.1 g1831 [Chlorella sp. A99]	KAI3425220.1 hypothetical protein D9Q98_008988 [Chlorella vulgaris]
OG0000478	PCFQ01000079.1 g1495 [Chlorella sp. A99]	KAI3431837.1 hypothetical protein D9Q98_010589 [Chlorella vulgaris]
OG0000480	PCFQ01000005.1 g865 [Chlorella sp. A99]	KAI3436138.1 hypothetical protein D9Q98_002195 [Chlorella vulgaris]
OG0000480	PCFQ01000011.1 g2740 [Chlorella sp. A99]	KAI3432638.1 hypothetical protein D9Q98_004184 [Chlorella vulgaris]
OG0000482	PCFQ01000073.1 g1963 [Chlorella sp. A99], PCFQ01000073.1 g1960 [Chlorella sp. A99]	KAI3425022.1 hypothetical protein D9Q98_008403 [Chlorella vulgaris], KAI3425021.1 hypothetical protein D9Q98_008403 [Chlorella vulgaris]
OG0000483	PCFQ01000079.1 g1444 [Chlorella sp. A99]	KAI3438154.1 hypothetical protein D9Q98_000592 [Chlorella vulgaris]
OG0000483	PCFQ01000002.1 g656 [Chlorella sp. A99]	KAI3424351.1 hypothetical protein D9Q98_009904 [Chlorella vulgaris]
OG0000484	PCFQ01000001.1 g1006 [Chlorella sp. A99]	KAI3425376.1 hypothetical protein D9Q98_009140 [Chlorella vulgaris], KAI3424690.1 hypothetical protein D9Q98_008080 [Chlorella vulgaris], KAI3424696.1 hypothetical protein D9Q98_008086 [Chlorella vulgaris], KAI3424695.1 hypothetical protein D9Q98_008085 [Chlorella vulgaris], KAI3424691.1 hypothetical protein D9Q98_008081 [Chlorella vulgaris], KAI3424693.1 hypothetical protein D9Q98_008083 [Chlorella vulgaris], KAI3430528.1 hypothetical protein D9Q98_005121 [Chlorella vulgaris], KAI3425375.1 hypothetical protein D9Q98_009139 [Chlorella vulgaris]
OG0000485	PCFQ01000003.1 g1027 [Chlorella sp. A99]	KAI3429773.1 hypothetical protein D9Q98_010086 [Chlorella vulgaris]
OG0000486	PCFQ01000077.1 g1768 [Chlorella sp. A99]	KAI3431633.1 hypothetical protein D9Q98_004680 [Chlorella vulgaris]
OG0000487	PCFQ01000037.1 g2380 [Chlorella sp. A99]	KAI3431343.1 hypothetical protein D9Q98_004400 [Chlorella vulgaris], KAI3431338.1 hypothetical protein D9Q98_004395 [Chlorella vulgaris]
OG0000499	PCFQ01000008.1 g1133 [Chlorella sp. A99]	KAI3428774.1 hypothetical protein D9Q98_007595 [Chlorella vulgaris]
OG0000500	PCFQ01000012.1 g1832 [Chlorella sp. A99]	KAI3425229.1 hypothetical protein D9Q98_008997 [Chlorella vulgaris]
OG0000501	PCFQ01000015.1 g3047 [Chlorella sp. A99]	KAI3434677.1 hypothetical protein D9Q98_002741 [Chlorella vulgaris]
OG0000501	PCFQ01000015.1 g3045 [Chlorella sp. A99]	KAI3434680.1 hypothetical protein D9Q98_002744 [Chlorella vulgaris]
OG0000502	PCFQ01000004.1 g2705 [Chlorella sp. A99]	KAI3434573.1 hypothetical protein D9Q98_002644 [Chlorella vulgaris], KAI3434572.1 hypothetical protein D9Q98_002644 [Chlorella vulgaris]
OG0000503	PCFQ01000011.1 g2799 [Chlorella sp. A99]	KAI3428309.1 hypothetical protein D9Q98_006689 [Chlorella vulgaris]
OG0000505	PCFQ01000005.1 g803 [Chlorella sp. A99]	KAI3427000.1 hypothetical protein D9Q98_006944 [Chlorella vulgaris], KAI3427001.1 hypothetical protein D9Q98_006945 [Chlorella vulgaris]
OG0000506	PCFQ01000037.1 g2378 [Chlorella sp. A99]	KAI3438557.1 hypothetical protein D9Q98_000985 [Chlorella vulgaris]
OG0000507	PCFQ01000037.1 g2342 [Chlorella sp. A99]	KAI3438586.1 hypothetical protein D9Q98_001010 [Chlorella vulgaris]
OG0000508	PCFQ01000078.1 g2182 [Chlorella sp. A99]	KAI3436236.1 hypothetical protein D9Q98_002290 [Chlorella vulgaris]
OG0000509	PCFQ01000010.1 g386 [Chlorella sp. A99], PCFQ01000081.1 g1656 [Chlorella sp. A99]	KAI3431845.1 hypothetical protein D9Q98_010597 [Chlorella vulgaris], KAI3428185.1 hypothetical protein D9Q98_006565 [Chlorella vulgaris]
OG0000510	PCFQ01000037.1 g2517 [Chlorella sp. A99]	KAI3428563.1 hypothetical protein D9Q98_007385 [Chlorella vulgaris]
OG0000511	PCFQ01000013.1 g3286 [Chlorella sp. A99]	KAI3429451.1 hypothetical protein D9Q98_005544 [Chlorella vulgaris]
OG0000512	PCFQ01000079.1 g1407 [Chlorella sp. A99]	KAI3430868.1 hypothetical protein D9Q98_009277 [Chlorella vulgaris]
OG0000513	PCFQ01000001.1 g959 [Chlorella sp. A99]	KAI3425069.1 hypothetical protein D9Q98_008446 [Chlorella vulgaris], KAI3425068.1 hypothetical protein D9Q98_008445 [Chlorella vulgaris]
OG0000514	PCFQ01000081.1 g1655 [Chlorella sp. A99]	KAI3437682.1 hypothetical protein D9Q98_000131 [Chlorella vulgaris], KAI3437683.1 hypothetical protein D9Q98_000132 [Chlorella vulgaris]
OG0000515	PCFQ01000081.1 g1649 [Chlorella sp. A99]	KAI3437624.1 hypothetical protein D9Q98_000076 [Chlorella vulgaris]
OG0000516	PCFQ01000081.1 g1601 [Chlorella sp. A99]	KAI3437930.1 hypothetical protein D9Q98_000374 [Chlorella vulgaris]
OG0000517	PCFQ01000081.1 g1559 [Chlorella sp. A99]	KAI3438018.1 hypothetical protein D9Q98_000461 [Chlorella vulgaris]
OG0000520	PCFQ01000013.1 g3290 [Chlorella sp. A99]	KAI3429478.1 hypothetical protein D9Q98_005569 [Chlorella vulgaris], KAI3429479.1 hypothetical protein D9Q98_005570 [Chlorella vulgaris]
OG0000522	PCFQ01000079.1 g1255 [Chlorella sp. A99]	KAI3432852.1 hypothetical protein D9Q98_010435 [Chlorella vulgaris]
OG0000522	PCFQ01000079.1 g1278 [Chlorella sp. A99]	KAI3432814.1 hypothetical protein D9Q98_010397 [Chlorella vulgaris]
OG0000524	PCFQ01000015.1 g3017 [Chlorella sp. A99]	KAI3434831.1 hypothetical protein D9Q98_002886 [Chlorella vulgaris]
OG0000525	PCFQ01000015.1 g3009 [Chlorella sp. A99]	KAI3434844.1 hypothetical protein D9Q98_002898 [Chlorella vulgaris], KAI3438909.1 hypothetical protein D9Q98_001323 [Chlorella vulgaris]
OG0000526	PCFQ01000080.1 g1945 [Chlorella sp. A99]	KAI3432662.1 hypothetical protein D9Q98_004206 [Chlorella vulgaris]
OG0000527	PCFQ01000037.1 g2456 [Chlorella sp. A99]	KAI3438248.1 hypothetical protein D9Q98_000685 [Chlorella vulgaris]
OG0000530	PCFQ01000058.1 g251 [Chlorella sp. A99]	KAI3423913.1 hypothetical protein D9Q98_009747 [Chlorella vulgaris]
OG0000531	PCFQ01000020.1 g919 [Chlorella sp. A99]	KAI3426170.1 hypothetical protein D9Q98_008547 [Chlorella vulgaris]
OG0000532	PCFQ01000079.1 g1310 [Chlorella sp. A99]	KAI3426428.1 hypothetical protein D9Q98_008796 [Chlorella vulgaris], KAI3426427.1 hypothetical protein D9Q98_008795 [Chlorella vulgaris], KAI3426430.1 hypothetical protein D9Q98_008798 [Chlorella vulgaris]
OG0000535	PCFQ01000078.1 g2084 [Chlorella sp. A99]	KAI3435944.1 hypothetical protein D9Q98_002002 [Chlorella vulgaris]
OG0000536	PCFQ01000020.1 g935 [Chlorella sp. A99]	KAI3426464.1 hypothetical protein D9Q98_008831 [Chlorella vulgaris], KAI3430762.1 hypothetical protein D9Q98_009174 [Chlorella vulgaris], KAI3430784.1 hypothetical protein D9Q98_009196 [Chlorella vulgaris], KAI3430795.1 hypothetical protein D9Q98_009207 [Chlorella vulgaris]
OG0000538	PCFQ01000079.1 g1462 [Chlorella sp. A99]	KAI3430702.1 hypothetical protein D9Q98_005291 [Chlorella vulgaris], KAI3430700.1 hypothetical protein D9Q98_005289 [Chlorella vulgaris]
OG0000539	PCFQ01000078.1 g2176 [Chlorella sp. A99]	KAI3436351.1 hypothetical protein D9Q98_002404 [Chlorella vulgaris]
OG0000541	PCFQ01000058.1 g235 [Chlorella sp. A99]	KAI3435486.1 hypothetical protein D9Q98_001552 [Chlorella vulgaris], KAI3433430.1 hypothetical protein D9Q98_003245 [Chlorella vulgaris]
OG0000542	PCFQ01000007.1 g1223 [Chlorella sp. A99]	KAI3437729.1 hypothetical protein D9Q98_000177 [Chlorella vulgaris]
OG0000544	PCFQ01000011.1 g2924 [Chlorella sp. A99]	KAI3436393.1 hypothetical protein D9Q98_005810 [Chlorella vulgaris]
OG0000544	PCFQ01000004.1 g2615 [Chlorella sp. A99]	KAI3438745.1 hypothetical protein D9Q98_001164 [Chlorella vulgaris]
OG0000545	PCFQ01000058.1 g108 [Chlorella sp. A99]	KAI3433584.1 hypothetical protein D9Q98_003395 [Chlorella vulgaris]
OG0000545	PCFQ01000058.1 g110 [Chlorella sp. A99]	KAI3433583.1 hypothetical protein D9Q98_003394 [Chlorella vulgaris]
OG0000546	PCFQ01000002.1 g702 [Chlorella sp. A99]	KAI3430379.1 hypothetical protein D9Q98_004974 [Chlorella vulgaris]
OG0000547	PCFQ01000002.1 g664 [Chlorella sp. A99]	KAI3430628.1 hypothetical protein D9Q98_005221 [Chlorella vulgaris]
OG0000548	PCFQ01000015.1 g2953 [Chlorella sp. A99]	KAI3434889.1 hypothetical protein D9Q98_002943 [Chlorella vulgaris]
OG0000549	PCFQ01000015.1 g3034 [Chlorella sp. A99]	KAI3434657.1 hypothetical protein D9Q98_002721 [Chlorella vulgaris], KAI3437913.1 hypothetical protein D9Q98_000358 [Chlorella vulgaris]
OG0000551	PCFQ01000011.1 g2854 [Chlorella sp. A99]	KAI3436643.1 hypothetical protein D9Q98_006059 [Chlorella vulgaris]
OG0000551	PCFQ01000008.1 g1101 [Chlorella sp. A99]	KAI3428793.1 hypothetical protein D9Q98_007612 [Chlorella vulgaris]
OG0000553	PCFQ01000004.1 g2629 [Chlorella sp. A99]	KAI3438892.1 hypothetical protein D9Q98_001307 [Chlorella vulgaris]
OG0000554	PCFQ01000046.1 g1862 [Chlorella sp. A99], PCFQ01000078.1 g2100 [Chlorella sp. A99]	KAI3435823.1 hypothetical protein D9Q98_001881 [Chlorella vulgaris]
OG0000555	PCFQ01000058.1 g79 [Chlorella sp. A99]	KAI3433685.1 hypothetical protein D9Q98_003494 [Chlorella vulgaris]
OG0000555	PCFQ01000004.1 g2628 [Chlorella sp. A99]	KAI3438907.1 hypothetical protein D9Q98_001321 [Chlorella vulgaris]
OG0000556	PCFQ01000037.1 g2353 [Chlorella sp. A99]	KAI3429840.1 hypothetical protein D9Q98_010152 [Chlorella vulgaris]
OG0000557	PCFQ01000008.1 g1116 [Chlorella sp. A99], PCFQ01000008.1 g1115 [Chlorella sp. A99]	KAI3428126.1 hypothetical protein D9Q98_006509 [Chlorella vulgaris]
OG0000558	PCFQ01000079.1 g1433 [Chlorella sp. A99]	KAI3430479.1 hypothetical protein D9Q98_005074 [Chlorella vulgaris]
OG0000559	PCFQ01000004.1 g2694 [Chlorella sp. A99]	KAI3438606.1 hypothetical protein D9Q98_001029 [Chlorella vulgaris]
OG0000560	PCFQ01000079.1 g1350 [Chlorella sp. A99]	KAI3424173.1 hypothetical protein D9Q98_009532 [Chlorella vulgaris]
OG0000562	PCFQ01000082.1 g535 [Chlorella sp. A99]	KAI3425899.1 hypothetical protein D9Q98_007872 [Chlorella vulgaris]
OG0000563	PCFQ01000002.1 g704 [Chlorella sp. A99]	KAI3433504.1 hypothetical protein D9Q98_003316 [Chlorella vulgaris]
OG0000563	PCFQ01000078.1 g2124 [Chlorella sp. A99], PCFQ01000078.1 g1998 [Chlorella sp. A99]	KAI3436487.1 hypothetical protein D9Q98_005904 [Chlorella vulgaris]
OG0000564	PCFQ01000018.1 g481 [Chlorella sp. A99]	KAI3434530.1 hypothetical protein D9Q98_002603 [Chlorella vulgaris]
