Orthogroup	Chlorella_A99	Auxenochlorella_protothecoides
OG0000749	PCFQ01000046.1 g1851 [Chlorella sp. A99], PCFQ01000011.1 g2816 [Chlorella sp. A99]	RMZ53211.1 hypothetical protein APUTEX25_005200 [Auxenochlorella protothecoides]
OG0000750	PCFQ01000081.1 g1579 [Chlorella sp. A99]	RMZ53214.1 hypothetical protein APUTEX25_005203_ partial [Auxenochlorella protothecoides]
OG0000751	PCFQ01000004.1 g2595 [Chlorella sp. A99]	RMZ53327.1 hypothetical protein APUTEX25_004815 [Auxenochlorella protothecoides]
OG0000753	PCFQ01000023.1 g2230 [Chlorella sp. A99]	RMZ53347.1 hypothetical protein APUTEX25_004835_ partial [Auxenochlorella protothecoides]
OG0000755	PCFQ01000011.1 g2783 [Chlorella sp. A99]	RMZ53493.1 hypothetical protein APUTEX25_003315 [Auxenochlorella protothecoides], RMZ53553.1 hypothetical protein APUTEX25_003375 [Auxenochlorella protothecoides], RMZ53482.1 hypothetical protein APUTEX25_003304 [Auxenochlorella protothecoides]
OG0000757	PCFQ01000008.1 g1097 [Chlorella sp. A99]	RMZ53539.1 hypothetical protein APUTEX25_003361_ partial [Auxenochlorella protothecoides]
OG0000760	PCFQ01000078.1 g2073 [Chlorella sp. A99], PCFQ01000037.1 g2430 [Chlorella sp. A99]	RMZ53702.1 hypothetical protein APUTEX25_003236 [Auxenochlorella protothecoides]
OG0000761	PCFQ01000058.1 g58 [Chlorella sp. A99]	RMZ57501.1 hypothetical protein APUTEX25_003744 [Auxenochlorella protothecoides]
OG0000763	PCFQ01000019.1 g1786 [Chlorella sp. A99]	RMZ53737.1 hypothetical protein APUTEX25_003876 [Auxenochlorella protothecoides]
OG0000765	PCFQ01000082.1 g633 [Chlorella sp. A99]	RMZ53772.1 hypothetical protein APUTEX25_003911_ partial [Auxenochlorella protothecoides]
OG0000767	PCFQ01000078.1 g1997 [Chlorella sp. A99], PCFQ01000078.1 g1996 [Chlorella sp. A99]	RMZ53871.1 hypothetical protein APUTEX25_005617_ partial [Auxenochlorella protothecoides]
OG0000768	PCFQ01000011.1 g2771 [Chlorella sp. A99]	RMZ57184.1 hypothetical protein APUTEX25_004018 [Auxenochlorella protothecoides]
OG0000769	PCFQ01000014.1 g1900 [Chlorella sp. A99]	RMZ53977.1 hypothetical protein APUTEX25_002554_ partial [Auxenochlorella protothecoides]
OG0000770	PCFQ01000009.1 g1725 [Chlorella sp. A99]	RMZ54042.1 hypothetical protein APUTEX25_002619_ partial [Auxenochlorella protothecoides]
OG0000771	PCFQ01000005.1 g748 [Chlorella sp. A99]	RMZ54153.1 hypothetical protein APUTEX25_005309 [Auxenochlorella protothecoides]
OG0000772	PCFQ01000082.1 g498 [Chlorella sp. A99], PCFQ01000020.1 g872 [Chlorella sp. A99]	RMZ54172.1 hypothetical protein APUTEX25_005328 [Auxenochlorella protothecoides]
OG0000773	PCFQ01000005.1 g758 [Chlorella sp. A99]	RMZ54183.1 hypothetical protein APUTEX25_005339 [Auxenochlorella protothecoides]
OG0000774	PCFQ01000005.1 g761 [Chlorella sp. A99]	RMZ54190.1 hypothetical protein APUTEX25_005346_ partial [Auxenochlorella protothecoides]
OG0000776	PCFQ01000079.1 g1414 [Chlorella sp. A99]	RMZ54227.1 hypothetical protein APUTEX25_000578 [Auxenochlorella protothecoides]
OG0000777	PCFQ01000079.1 g1465 [Chlorella sp. A99]	RMZ54250.1 hypothetical protein APUTEX25_000601 [Auxenochlorella protothecoides]
OG0000778	PCFQ01000078.1 g2222 [Chlorella sp. A99]	RMZ54282.1 hypothetical protein APUTEX25_001440 [Auxenochlorella protothecoides]
OG0000780	PCFQ01000012.1 g1824 [Chlorella sp. A99]	RMZ57165.1 hypothetical protein APUTEX25_003999 [Auxenochlorella protothecoides]
OG0000781	PCFQ01000004.1 g2672 [Chlorella sp. A99]	RMZ54690.1 hypothetical protein APUTEX25_003068 [Auxenochlorella protothecoides], RMZ54601.1 hypothetical protein APUTEX25_002187_ partial [Auxenochlorella protothecoides]
OG0000783	PCFQ01000058.1 g158 [Chlorella sp. A99]	RMZ54667.1 hypothetical protein APUTEX25_003045 [Auxenochlorella protothecoides]
OG0000784	PCFQ01000015.1 g3064 [Chlorella sp. A99]	RMZ57581.1 hypothetical protein APUTEX25_001781 [Auxenochlorella protothecoides]
OG0000785	PCFQ01000077.1 g1756 [Chlorella sp. A99]	RMZ54834.1 hypothetical protein APUTEX25_000351 [Auxenochlorella protothecoides]
OG0000786	PCFQ01000038.1 g487 [Chlorella sp. A99]	RMZ54925.1 hypothetical protein APUTEX25_000442_ partial [Auxenochlorella protothecoides]
OG0000787	PCFQ01000009.1 g1720 [Chlorella sp. A99]	RMZ54937.1 hypothetical protein APUTEX25_000454_ partial [Auxenochlorella protothecoides]
OG0000788	PCFQ01000082.1 g627 [Chlorella sp. A99]	RMZ54950.1 hypothetical protein APUTEX25_000467_ partial [Auxenochlorella protothecoides]
OG0000791	PCFQ01000023.1 g2224 [Chlorella sp. A99]	RMZ55075.1 hypothetical protein APUTEX25_005701 [Auxenochlorella protothecoides]
OG0000793	PCFQ01000011.1 g2797 [Chlorella sp. A99]	RMZ55086.1 hypothetical protein APUTEX25_005712_ partial [Auxenochlorella protothecoides]
OG0000794	PCFQ01000058.1 g221 [Chlorella sp. A99]	RMZ55126.1 hypothetical protein APUTEX25_005404 [Auxenochlorella protothecoides]
OG0000796	PCFQ01000006.1 g3157 [Chlorella sp. A99]	RMZ55236.1 hypothetical protein APUTEX25_005514_ partial [Auxenochlorella protothecoides]
OG0000798	PCFQ01000046.1 g1853 [Chlorella sp. A99]	RMZ55381.1 hypothetical protein APUTEX25_003505 [Auxenochlorella protothecoides]
OG0000800	PCFQ01000077.1 g1773 [Chlorella sp. A99]	RMZ55433.1 hypothetical protein APUTEX25_003557 [Auxenochlorella protothecoides]
OG0000801	PCFQ01000077.1 g1782 [Chlorella sp. A99]	RMZ55448.1 hypothetical protein APUTEX25_003572 [Auxenochlorella protothecoides], RMZ55466.1 hypothetical protein APUTEX25_003590 [Auxenochlorella protothecoides]
OG0000801	PCFQ01000077.1 g1780 [Chlorella sp. A99]	RMZ55436.1 hypothetical protein APUTEX25_003560 [Auxenochlorella protothecoides]
OG0000802	PCFQ01000079.1 g1447 [Chlorella sp. A99]	RMZ55494.1 hypothetical protein APUTEX25_000077 [Auxenochlorella protothecoides]
OG0000803	PCFQ01000078.1 g2151 [Chlorella sp. A99]	RMZ55587.1 hypothetical protein APUTEX25_000170 [Auxenochlorella protothecoides]
OG0000807	PCFQ01000014.1 g1877 [Chlorella sp. A99]	RMZ55778.1 hypothetical protein APUTEX25_005819 [Auxenochlorella protothecoides]
OG0000808	PCFQ01000075.1 g1942 [Chlorella sp. A99]	RMZ55789.1 hypothetical protein APUTEX25_005830 [Auxenochlorella protothecoides]
OG0000808	PCFQ01000078.1 g2101 [Chlorella sp. A99]	RMZ57160.1 hypothetical protein APUTEX25_003994 [Auxenochlorella protothecoides]
OG0000811	PCFQ01000006.1 g3117 [Chlorella sp. A99]	RMZ56090.1 hypothetical protein APUTEX25_004514_ partial [Auxenochlorella protothecoides]
OG0000812	PCFQ01000004.1 g2606 [Chlorella sp. A99]	RMZ56147.1 hypothetical protein APUTEX25_004571 [Auxenochlorella protothecoides]
OG0000814	PCFQ01000037.1 g2532 [Chlorella sp. A99]	RMZ56183.1 hypothetical protein APUTEX25_002373 [Auxenochlorella protothecoides]
OG0000815	PCFQ01000003.1 g1073 [Chlorella sp. A99], PCFQ01000078.1 g2118 [Chlorella sp. A99]	RMZ56394.1 hypothetical protein APUTEX25_004617 [Auxenochlorella protothecoides]
OG0000818	PCFQ01000015.1 g2933 [Chlorella sp. A99]	RMZ56638.1 hypothetical protein APUTEX25_002727_ partial [Auxenochlorella protothecoides]
OG0000820	PCFQ01000082.1 g517 [Chlorella sp. A99]	RMZ56800.1 hypothetical protein APUTEX25_002889_ partial [Auxenochlorella protothecoides]
OG0000822	PCFQ01000017.1 g2276 [Chlorella sp. A99]	RMZ56911.1 hypothetical protein APUTEX25_004973 [Auxenochlorella protothecoides]
OG0000825	PCFQ01000006.1 g3205 [Chlorella sp. A99]	RMZ57124.1 hypothetical protein APUTEX25_002356 [Auxenochlorella protothecoides]
OG0000827	PCFQ01000037.1 g2479 [Chlorella sp. A99]	RMZ57161.1 hypothetical protein APUTEX25_003995 [Auxenochlorella protothecoides]
OG0000830	PCFQ01000001.1 g989 [Chlorella sp. A99]	RMZ57261.1 hypothetical protein APUTEX25_004095_ partial [Auxenochlorella protothecoides]
OG0000832	PCFQ01000082.1 g534 [Chlorella sp. A99]	RMZ57353.1 hypothetical protein APUTEX25_004187 [Auxenochlorella protothecoides]
OG0000833	PCFQ01000004.1 g2580 [Chlorella sp. A99]	RMZ57362.1 hypothetical protein APUTEX25_004196_ partial [Auxenochlorella protothecoides]
OG0000834	PCFQ01000078.1 g2090 [Chlorella sp. A99]	RMZ57386.1 hypothetical protein APUTEX25_004220 [Auxenochlorella protothecoides]
OG0000835	PCFQ01000058.1 g151 [Chlorella sp. A99]	RMZ57409.1 hypothetical protein APUTEX25_004243_ partial [Auxenochlorella protothecoides]
OG0000837	PCFQ01000073.1 g1958 [Chlorella sp. A99]	RMZ57437.1 hypothetical protein APUTEX25_004271 [Auxenochlorella protothecoides]
OG0000838	PCFQ01000078.1 g2094 [Chlorella sp. A99]	RMZ57462.1 hypothetical protein APUTEX25_004296 [Auxenochlorella protothecoides]
OG0000839	PCFQ01000058.1 g42 [Chlorella sp. A99]	RMZ57506.1 hypothetical protein APUTEX25_003749 [Auxenochlorella protothecoides], RMZ57486.1 hypothetical protein APUTEX25_003729_ partial [Auxenochlorella protothecoides]
OG0000840	PCFQ01000037.1 g2412 [Chlorella sp. A99]	RMZ57487.1 hypothetical protein APUTEX25_003730 [Auxenochlorella protothecoides]
OG0000842	PCFQ01000058.1 g4 [Chlorella sp. A99]	RMZ57549.1 hypothetical protein APUTEX25_001749 [Auxenochlorella protothecoides]
OG0000844	PCFQ01000082.1 g578 [Chlorella sp. A99]	RMZ57716.1 hypothetical protein APUTEX25_001916 [Auxenochlorella protothecoides]
OG0000878	PCFQ01000046.1 g1872 [Chlorella sp. A99]	RMZ52055.1 hypothetical protein APUTEX25_001249 [Auxenochlorella protothecoides]
OG0000882	PCFQ01000079.1 g1306 [Chlorella sp. A99]	RMZ52184.1 hypothetical protein APUTEX25_001574 [Auxenochlorella protothecoides]
OG0000886	PCFQ01000009.1 g1713 [Chlorella sp. A99]	RMZ52270.1 hypothetical protein APUTEX25_001660 [Auxenochlorella protothecoides]
OG0000889	PCFQ01000079.1 g1331 [Chlorella sp. A99]	RMZ52351.1 hypothetical protein APUTEX25_001713_ partial [Auxenochlorella protothecoides]
OG0000890	PCFQ01000007.1 g1208 [Chlorella sp. A99]	RMZ52372.1 hypothetical protein APUTEX25_000647 [Auxenochlorella protothecoides]
OG0000891	PCFQ01000018.1 g440 [Chlorella sp. A99]	RMZ52393.1 hypothetical protein APUTEX25_000668_ partial [Auxenochlorella protothecoides]
OG0000892	PCFQ01000081.1 g1638 [Chlorella sp. A99]	RMZ52430.1 hypothetical protein APUTEX25_000009_ partial [Auxenochlorella protothecoides]
OG0000893	PCFQ01000081.1 g1634 [Chlorella sp. A99]	RMZ52460.1 hypothetical protein APUTEX25_000039 [Auxenochlorella protothecoides]
OG0000897	PCFQ01000013.1 g3266 [Chlorella sp. A99]	RMZ52757.1 hypothetical protein APUTEX25_000876_ partial [Auxenochlorella protothecoides]
OG0000898	PCFQ01000015.1 g2951 [Chlorella sp. A99]	RMZ52634.1 hypothetical protein APUTEX25_000753 [Auxenochlorella protothecoides]
OG0000899	PCFQ01000006.1 g3223 [Chlorella sp. A99]	RMZ52937.1 hypothetical protein APUTEX25_001056_ partial [Auxenochlorella protothecoides]
OG0000900	PCFQ01000004.1 g2619 [Chlorella sp. A99]	RMZ55069.1 hypothetical protein APUTEX25_005695_ partial [Auxenochlorella protothecoides]
OG0000902	PCFQ01000007.1 g1179 [Chlorella sp. A99]	RMZ52733.1 hypothetical protein APUTEX25_000852_ partial [Auxenochlorella protothecoides]
OG0000903	PCFQ01000004.1 g2677 [Chlorella sp. A99]	RMZ55505.1 hypothetical protein APUTEX25_000088 [Auxenochlorella protothecoides], RMZ52748.1 hypothetical protein APUTEX25_000867 [Auxenochlorella protothecoides]
OG0000907	PCFQ01000004.1 g2658 [Chlorella sp. A99], PCFQ01000004.1 g2653 [Chlorella sp. A99]	RMZ52953.1 hypothetical protein APUTEX25_001072 [Auxenochlorella protothecoides]
OG0000908	PCFQ01000026.1 g2296 [Chlorella sp. A99]	RMZ52988.1 hypothetical protein APUTEX25_001107 [Auxenochlorella protothecoides]
OG0000909	PCFQ01000082.1 g593 [Chlorella sp. A99]	RMZ53303.1 hypothetical protein APUTEX25_004791 [Auxenochlorella protothecoides]
OG0000915	PCFQ01000037.1 g2511 [Chlorella sp. A99]	RMZ53498.1 hypothetical protein APUTEX25_003320 [Auxenochlorella protothecoides]
OG0000917	PCFQ01000003.1 g1053 [Chlorella sp. A99]	RMZ53534.1 hypothetical protein APUTEX25_003356 [Auxenochlorella protothecoides]
OG0000919	PCFQ01000007.1 g1206 [Chlorella sp. A99]	RMZ53651.1 hypothetical protein APUTEX25_003185 [Auxenochlorella protothecoides]
OG0000920	PCFQ01000077.1 g1752 [Chlorella sp. A99]	RMZ53729.1 hypothetical protein APUTEX25_003263 [Auxenochlorella protothecoides]
OG0000922	PCFQ01000011.1 g2846 [Chlorella sp. A99]	RMZ54458.1 hypothetical protein APUTEX25_002034_ partial [Auxenochlorella protothecoides], RMZ53735.1 hypothetical protein APUTEX25_003874 [Auxenochlorella protothecoides]
OG0000924	PCFQ01000080.1 g1951 [Chlorella sp. A99]	RMZ53854.1 hypothetical protein APUTEX25_005600_ partial [Auxenochlorella protothecoides]
OG0000925	PCFQ01000007.1 g1200 [Chlorella sp. A99]	RMZ53877.1 hypothetical protein APUTEX25_005623 [Auxenochlorella protothecoides]
OG0000926	PCFQ01000002.1 g725 [Chlorella sp. A99]	RMZ53878.1 hypothetical protein APUTEX25_005624_ partial [Auxenochlorella protothecoides]
OG0000928	PCFQ01000006.1 g3140 [Chlorella sp. A99]	RMZ56864.1 hypothetical protein APUTEX25_002953 [Auxenochlorella protothecoides]
OG0000929	PCFQ01000078.1 g2127 [Chlorella sp. A99]	RMZ55059.1 hypothetical protein APUTEX25_005685 [Auxenochlorella protothecoides], RMZ53964.1 hypothetical protein APUTEX25_002541 [Auxenochlorella protothecoides]
OG0000933	PCFQ01000018.1 g458 [Chlorella sp. A99]	RMZ54094.1 hypothetical protein APUTEX25_002671 [Auxenochlorella protothecoides], RMZ54092.1 hypothetical protein APUTEX25_002669_ partial [Auxenochlorella protothecoides]
OG0000934	PCFQ01000079.1 g1410 [Chlorella sp. A99]	RMZ54252.1 hypothetical protein APUTEX25_000603_ partial [Auxenochlorella protothecoides]
OG0000936	PCFQ01000007.1 g1222 [Chlorella sp. A99]	RMZ54471.1 hypothetical protein APUTEX25_002047 [Auxenochlorella protothecoides]
OG0000937	PCFQ01000080.1 g1946 [Chlorella sp. A99]	RMZ54494.1 hypothetical protein APUTEX25_002070 [Auxenochlorella protothecoides]
OG0000939	PCFQ01000003.1 g1021 [Chlorella sp. A99]	RMZ54546.1 hypothetical protein APUTEX25_002121 [Auxenochlorella protothecoides]
OG0000940	PCFQ01000003.1 g1050 [Chlorella sp. A99]	RMZ54611.1 hypothetical protein APUTEX25_002197 [Auxenochlorella protothecoides]
OG0000941	PCFQ01000002.1 g737 [Chlorella sp. A99]	RMZ54696.1 hypothetical protein APUTEX25_003074 [Auxenochlorella protothecoides]
OG0000942	PCFQ01000058.1 g16 [Chlorella sp. A99]	RMZ54705.1 hypothetical protein APUTEX25_003083 [Auxenochlorella protothecoides]
OG0000943	PCFQ01000008.1 g1139 [Chlorella sp. A99]	RMZ54730.1 hypothetical protein APUTEX25_003108 [Auxenochlorella protothecoides]
OG0000944	PCFQ01000015.1 g3061 [Chlorella sp. A99]	RMZ54760.1 hypothetical protein APUTEX25_000277 [Auxenochlorella protothecoides]
OG0000948	PCFQ01000078.1 g2160 [Chlorella sp. A99]	RMZ54888.1 hypothetical protein APUTEX25_000405_ partial [Auxenochlorella protothecoides]
OG0000950	PCFQ01000011.1 g2921 [Chlorella sp. A99]	RMZ54941.1 hypothetical protein APUTEX25_000458_ partial [Auxenochlorella protothecoides]
OG0000952	PCFQ01000004.1 g2576 [Chlorella sp. A99]	RMZ55043.1 hypothetical protein APUTEX25_005669_ partial [Auxenochlorella protothecoides]
OG0000953	PCFQ01000006.1 g3154 [Chlorella sp. A99]	RMZ55121.1 hypothetical protein APUTEX25_005399 [Auxenochlorella protothecoides]
OG0000954	PCFQ01000011.1 g2815 [Chlorella sp. A99]	RMZ55134.1 hypothetical protein APUTEX25_005412_ partial [Auxenochlorella protothecoides]
OG0000955	PCFQ01000037.1 g2414 [Chlorella sp. A99], PCFQ01000003.1 g1076 [Chlorella sp. A99]	RMZ55206.1 hypothetical protein APUTEX25_005484 [Auxenochlorella protothecoides]
OG0000956	PCFQ01000002.1 g650 [Chlorella sp. A99]	RMZ55226.1 hypothetical protein APUTEX25_005504_ partial [Auxenochlorella protothecoides]
OG0000958	PCFQ01000081.1 g1593 [Chlorella sp. A99]	RMZ57470.1 hypothetical protein APUTEX25_004304_ partial [Auxenochlorella protothecoides], RMZ55298.1 hypothetical protein APUTEX25_003436 [Auxenochlorella protothecoides]
OG0000960	PCFQ01000009.1 g1706 [Chlorella sp. A99]	RMZ55317.1 hypothetical protein APUTEX25_003455 [Auxenochlorella protothecoides]
OG0000961	PCFQ01000077.1 g1781 [Chlorella sp. A99]	RMZ55454.1 hypothetical protein APUTEX25_003578_ partial [Auxenochlorella protothecoides], RMZ55458.1 hypothetical protein APUTEX25_003582 [Auxenochlorella protothecoides], RMZ57765.1 hypothetical protein APUTEX25_004325_ partial [Auxenochlorella protothecoides]
OG0000962	PCFQ01000008.1 g1112 [Chlorella sp. A99]	RMZ55456.1 hypothetical protein APUTEX25_003580 [Auxenochlorella protothecoides]
OG0000965	PCFQ01000082.1 g562 [Chlorella sp. A99]	RMZ55785.1 hypothetical protein APUTEX25_005826 [Auxenochlorella protothecoides]
OG0000968	PCFQ01000082.1 g497 [Chlorella sp. A99]	RMZ55708.1 hypothetical protein APUTEX25_005749 [Auxenochlorella protothecoides]
OG0000969	PCFQ01000014.1 g1878 [Chlorella sp. A99]	RMZ55774.1 hypothetical protein APUTEX25_005815_ partial [Auxenochlorella protothecoides]
OG0000972	PCFQ01000010.1 g345 [Chlorella sp. A99], PCFQ01000006.1 g3121 [Chlorella sp. A99], PCFQ01000025.1 g2562 [Chlorella sp. A99]	RMZ55817.1 hypothetical protein APUTEX25_003783 [Auxenochlorella protothecoides]
OG0000973	PCFQ01000010.1 g322 [Chlorella sp. A99]	RMZ55824.1 hypothetical protein APUTEX25_003790 [Auxenochlorella protothecoides]
OG0000974	PCFQ01000010.1 g320 [Chlorella sp. A99]	RMZ55871.1 hypothetical protein APUTEX25_003837_ partial [Auxenochlorella protothecoides]
OG0000975	PCFQ01000020.1 g928 [Chlorella sp. A99]	RMZ55899.1 hypothetical protein APUTEX25_003865 [Auxenochlorella protothecoides]
OG0000976	PCFQ01000003.1 g1030 [Chlorella sp. A99]	RMZ55923.1 hypothetical protein APUTEX25_004347 [Auxenochlorella protothecoides]
OG0000977	PCFQ01000058.1 g188 [Chlorella sp. A99]	RMZ55932.1 hypothetical protein APUTEX25_004356 [Auxenochlorella protothecoides]
OG0000978	PCFQ01000058.1 g121 [Chlorella sp. A99]	RMZ55939.1 hypothetical protein APUTEX25_004363 [Auxenochlorella protothecoides]
OG0000980	PCFQ01000058.1 g133 [Chlorella sp. A99]	RMZ56658.1 hypothetical protein APUTEX25_002747 [Auxenochlorella protothecoides]
OG0000981	PCFQ01000058.1 g131 [Chlorella sp. A99]	RMZ56015.1 hypothetical protein APUTEX25_004439_ partial [Auxenochlorella protothecoides]
OG0000982	PCFQ01000037.1 g2539 [Chlorella sp. A99]	RMZ56280.1 hypothetical protein APUTEX25_002470 [Auxenochlorella protothecoides]
OG0000984	PCFQ01000079.1 g1241 [Chlorella sp. A99], PCFQ01000008.1 g1093 [Chlorella sp. A99]	RMZ56348.1 hypothetical protein APUTEX25_004705_ partial [Auxenochlorella protothecoides]
OG0000985	PCFQ01000008.1 g1091 [Chlorella sp. A99]	RMZ56378.1 hypothetical protein APUTEX25_004735 [Auxenochlorella protothecoides]
OG0000986	PCFQ01000082.1 g541 [Chlorella sp. A99], PCFQ01000078.1 g2113 [Chlorella sp. A99]	RMZ56426.1 hypothetical protein APUTEX25_004649 [Auxenochlorella protothecoides]
OG0000987	PCFQ01000078.1 g2152 [Chlorella sp. A99]	RMZ56441.1 hypothetical protein APUTEX25_004664 [Auxenochlorella protothecoides]
OG0000989	PCFQ01000011.1 g2915 [Chlorella sp. A99]	RMZ56449.1 hypothetical protein APUTEX25_004672_ partial [Auxenochlorella protothecoides]
OG0000992	PCFQ01000018.1 g402 [Chlorella sp. A99]	RMZ56514.1 hypothetical protein APUTEX25_001361 [Auxenochlorella protothecoides]
OG0000993	PCFQ01000082.1 g514 [Chlorella sp. A99]	RMZ56620.1 hypothetical protein APUTEX25_002709 [Auxenochlorella protothecoides]
OG0000994	PCFQ01000015.1 g2937 [Chlorella sp. A99]	RMZ56678.1 hypothetical protein APUTEX25_002767 [Auxenochlorella protothecoides]
OG0000997	PCFQ01000082.1 g506 [Chlorella sp. A99]	RMZ56758.1 hypothetical protein APUTEX25_002847 [Auxenochlorella protothecoides]
OG0000998	PCFQ01000006.1 g3106 [Chlorella sp. A99]	RMZ56777.1 hypothetical protein APUTEX25_002866 [Auxenochlorella protothecoides]
OG0000999	PCFQ01000006.1 g3151 [Chlorella sp. A99]	RMZ56819.1 hypothetical protein APUTEX25_002908_ partial [Auxenochlorella protothecoides]
OG0001000	PCFQ01000082.1 g588 [Chlorella sp. A99]	RMZ56901.1 hypothetical protein APUTEX25_002990 [Auxenochlorella protothecoides]
OG0001001	PCFQ01000079.1 g1514 [Chlorella sp. A99]	RMZ56978.1 hypothetical protein APUTEX25_005040 [Auxenochlorella protothecoides]
OG0001007	PCFQ01000011.1 g2770 [Chlorella sp. A99]	RMZ57199.1 hypothetical protein APUTEX25_004033 [Auxenochlorella protothecoides]
OG0001008	PCFQ01000012.1 g1844 [Chlorella sp. A99]	RMZ57329.1 hypothetical protein APUTEX25_004163_ partial [Auxenochlorella protothecoides]
OG0001009	PCFQ01000006.1 g3162 [Chlorella sp. A99], PCFQ01000058.1 g39 [Chlorella sp. A99]	RMZ57499.1 hypothetical protein APUTEX25_003742 [Auxenochlorella protothecoides]
OG0001010	PCFQ01000004.1 g2711 [Chlorella sp. A99]	RMZ57552.1 hypothetical protein APUTEX25_001752_ partial [Auxenochlorella protothecoides]
OG0001012	PCFQ01000079.1 g1497 [Chlorella sp. A99], PCFQ01000081.1 g1653 [Chlorella sp. A99]	RMZ57634.1 hypothetical protein APUTEX25_001834_ partial [Auxenochlorella protothecoides]
OG0001013	PCFQ01000058.1 g5 [Chlorella sp. A99]	RMZ57658.1 hypothetical protein APUTEX25_001858 [Auxenochlorella protothecoides]
OG0001054	PCFQ01000015.1 g3092 [Chlorella sp. A99]	RMZ52061.1 hypothetical protein APUTEX25_001255 [Auxenochlorella protothecoides]
OG0001055	PCFQ01000079.1 g1408 [Chlorella sp. A99]	RMZ52065.1 hypothetical protein APUTEX25_001259 [Auxenochlorella protothecoides]
OG0001056	PCFQ01000011.1 g2743 [Chlorella sp. A99]	RMZ52082.1 hypothetical protein APUTEX25_001276 [Auxenochlorella protothecoides]
OG0001058	PCFQ01000058.1 g155 [Chlorella sp. A99]	RMZ52161.1 hypothetical protein APUTEX25_001551_ partial [Auxenochlorella protothecoides]
OG0001060	PCFQ01000079.1 g1338 [Chlorella sp. A99]	RMZ52203.1 hypothetical protein APUTEX25_001593 [Auxenochlorella protothecoides]
OG0001061	PCFQ01000010.1 g381 [Chlorella sp. A99]	RMZ52209.1 hypothetical protein APUTEX25_001599 [Auxenochlorella protothecoides]
OG0001062	PCFQ01000079.1 g1347 [Chlorella sp. A99]	RMZ52255.1 hypothetical protein APUTEX25_001645 [Auxenochlorella protothecoides]
OG0001064	PCFQ01000079.1 g1341 [Chlorella sp. A99]	RMZ52271.1 hypothetical protein APUTEX25_001661_ partial [Auxenochlorella protothecoides]
OG0001065	PCFQ01000037.1 g2437 [Chlorella sp. A99]	RMZ52295.1 hypothetical protein APUTEX25_001685 [Auxenochlorella protothecoides], RMZ52359.1 hypothetical protein APUTEX25_000634 [Auxenochlorella protothecoides]
OG0001067	PCFQ01000079.1 g1281 [Chlorella sp. A99]	RMZ52311.1 hypothetical protein APUTEX25_005064 [Auxenochlorella protothecoides]
OG0001068	PCFQ01000011.1 g2890 [Chlorella sp. A99]	RMZ52322.1 hypothetical protein APUTEX25_005075_ partial [Auxenochlorella protothecoides]
OG0001069	PCFQ01000075.1 g1934 [Chlorella sp. A99]	RMZ52337.1 hypothetical protein APUTEX25_005090 [Auxenochlorella protothecoides]
OG0001072	PCFQ01000037.1 g2441 [Chlorella sp. A99]	RMZ52401.1 hypothetical protein APUTEX25_000676 [Auxenochlorella protothecoides]
OG0001074	PCFQ01000007.1 g1240 [Chlorella sp. A99]	RMZ52465.1 hypothetical protein APUTEX25_000044 [Auxenochlorella protothecoides]
OG0001076	PCFQ01000058.1 g29 [Chlorella sp. A99]	RMZ52511.1 hypothetical protein APUTEX25_003654 [Auxenochlorella protothecoides], RMZ54710.1 hypothetical protein APUTEX25_003088 [Auxenochlorella protothecoides]
OG0001077	PCFQ01000005.1 g796 [Chlorella sp. A99]	RMZ52520.1 hypothetical protein APUTEX25_003663 [Auxenochlorella protothecoides], RMZ56142.1 hypothetical protein APUTEX25_004566_ partial [Auxenochlorella protothecoides]
OG0001078	PCFQ01000058.1 g196 [Chlorella sp. A99]	RMZ52548.1 hypothetical protein APUTEX25_003691 [Auxenochlorella protothecoides]
OG0001079	PCFQ01000037.1 g2340 [Chlorella sp. A99]	RMZ52550.1 hypothetical protein APUTEX25_003693_ partial [Auxenochlorella protothecoides]
OG0001080	PCFQ01000037.1 g2391 [Chlorella sp. A99]	RMZ52572.1 hypothetical protein APUTEX25_003715_ partial [Auxenochlorella protothecoides]
OG0001081	PCFQ01000012.1 g1837 [Chlorella sp. A99]	RMZ52592.1 hypothetical protein APUTEX25_000711 [Auxenochlorella protothecoides]
OG0001082	PCFQ01000013.1 g3320 [Chlorella sp. A99]	RMZ52603.1 hypothetical protein APUTEX25_000722 [Auxenochlorella protothecoides]
OG0001083	PCFQ01000078.1 g2200 [Chlorella sp. A99]	RMZ52636.1 hypothetical protein APUTEX25_000755 [Auxenochlorella protothecoides]
OG0001088	PCFQ01000007.1 g1233 [Chlorella sp. A99]	RMZ52818.1 hypothetical protein APUTEX25_000937 [Auxenochlorella protothecoides]
OG0001089	PCFQ01000013.1 g3319 [Chlorella sp. A99]	RMZ52821.1 hypothetical protein APUTEX25_000940 [Auxenochlorella protothecoides]
OG0001090	PCFQ01000037.1 g2488 [Chlorella sp. A99]	RMZ52885.1 hypothetical protein APUTEX25_001004 [Auxenochlorella protothecoides]
OG0001092	PCFQ01000078.1 g1985 [Chlorella sp. A99]	RMZ52908.1 hypothetical protein APUTEX25_001027_ partial [Auxenochlorella protothecoides]
