Orthogroup	Scenedesmus_PABB004	Chlorella_A99
OG0000594	KAF8063741.1 GFT1 [Scenedesmus sp. PABB004], KAF8057271.1 SAT2 [Scenedesmus sp. PABB004], KAF8063683.1 GFT1 [Scenedesmus sp. PABB004]	PCFQ01000081.1 g1563 [Chlorella sp. A99]
OG0000595	KAF8071169.1 YPTC6 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2178 [Chlorella sp. A99]
OG0000596	KAF8071202.1 hypothetical protein HT031_001285 [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2706 [Chlorella sp. A99]
OG0000597	KAF8059662.1 UVR8 [Scenedesmus sp. PABB004], KAF8059683.1 UVR8 [Scenedesmus sp. PABB004], KAF8059722.1 UVR8 [Scenedesmus sp. PABB004], KAF8058349.1 UVR8 [Scenedesmus sp. PABB004], KAF8059647.1 UPS2 [Scenedesmus sp. PABB004], KAF8056012.1 UVR8 [Scenedesmus sp. PABB004], KAF8058355.1 UBE3A [Scenedesmus sp. PABB004], KAF8058356.1 UVR8 [Scenedesmus sp. PABB004]	PCFQ01000015.1 g3066 [Chlorella sp. A99]
OG0000609	KAF8059704.1 alpha-Man-Ia [Scenedesmus sp. PABB004], KAF8073227.1 IRL7 [Scenedesmus sp. PABB004], KAF8062957.1 SAPK1 [Scenedesmus sp. PABB004]	PCFQ01000015.1 g3074 [Chlorella sp. A99]
OG0000611	KAF8068161.1 EP0 [Scenedesmus sp. PABB004]	PCFQ01000015.1 g3046 [Chlorella sp. A99]
OG0000612	KAF8057760.1 BAM3 [Scenedesmus sp. PABB004]	PCFQ01000015.1 g3081 [Chlorella sp. A99]
OG0000613	KAF8072759.1 FLA10 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1524 [Chlorella sp. A99], PCFQ01000015.1 g3094 [Chlorella sp. A99]
OG0000615	KAF8057149.1 VTC4 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1396 [Chlorella sp. A99], PCFQ01000079.1 g1394 [Chlorella sp. A99]
OG0000617	KAF8070885.1 CGS1 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2005 [Chlorella sp. A99]
OG0000619	KAF8055097.1 CHR28 [Scenedesmus sp. PABB004], KAF8065625.1 rhp16 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3250 [Chlorella sp. A99]
OG0000620	KAF8057624.1 trans-acting enoyl reductase [Scenedesmus sp. PABB004]	PCFQ01000007.1 g1236 [Chlorella sp. A99]
OG0000621	KAF8065464.1 pyruvate-ferredoxin oxidoreductase [Scenedesmus sp. PABB004]	PCFQ01000015.1 g3087 [Chlorella sp. A99]
OG0000623	KAF8056388.1 U2 small nuclear ribonucleoprotein B [Scenedesmus sp. PABB004]	PCFQ01000058.1 g200 [Chlorella sp. A99]
OG0000627	KAF8072592.1 hypothetical protein HT031_000252 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g170 [Chlorella sp. A99]
OG0000628	KAF8066382.1 TMEM45B [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2900 [Chlorella sp. A99]
OG0000632	KAF8056129.1 hypothetical protein HT031_006480 [Scenedesmus sp. PABB004]	PCFQ01000009.1 g1697 [Chlorella sp. A99]
OG0000633	KAF8056444.1 hypothetical protein HT031_006301 [Scenedesmus sp. PABB004], KAF8068451.1 maoI [Scenedesmus sp. PABB004]	PCFQ01000009.1 g1682 [Chlorella sp. A99]
OG0000635	KAF8054980.1 hypothetical protein HT031_006870 [Scenedesmus sp. PABB004]	PCFQ01000008.1 g1104 [Chlorella sp. A99]
OG0000636	KAF8061974.1 apocarotenoid-15_15'-oxygenase [Scenedesmus sp. PABB004]	PCFQ01000003.1 g1054 [Chlorella sp. A99]
OG0000637	KAF8065666.1 NAA20 [Scenedesmus sp. PABB004]	PCFQ01000001.1 g952 [Chlorella sp. A99]
OG0000638	KAF8066343.1 mon2 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2775 [Chlorella sp. A99]
OG0000639	KAF8069658.1 histone H1.2 [Scenedesmus sp. PABB004]	PCFQ01000082.1 g617 [Chlorella sp. A99]
OG0000640	KAF8073242.1 hypothetical protein HT031_000903 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3248 [Chlorella sp. A99]
OG0000642	KAF8067361.1 hypothetical protein HT031_002409 [Scenedesmus sp. PABB004], KAF8062065.1 Agxt [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2602 [Chlorella sp. A99], PCFQ01000018.1 g447 [Chlorella sp. A99]
OG0000643	KAF8073000.1 SNX2B [Scenedesmus sp. PABB004], KAF8069637.1 SNX2A [Scenedesmus sp. PABB004], KAF8069565.1 SNX2B [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2411 [Chlorella sp. A99]
OG0000644	KAF8058879.1 CPL1 [Scenedesmus sp. PABB004]	PCFQ01000018.1 g421 [Chlorella sp. A99]
OG0000645	KAF8071252.1 CTH1 [Scenedesmus sp. PABB004], KAF8065443.1 CTH1 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2794 [Chlorella sp. A99]
OG0000646	KAF8059753.1 TCF25 [Scenedesmus sp. PABB004]	PCFQ01000001.1 g1002 [Chlorella sp. A99]
OG0000647	KAF8072382.1 CBSCBS2 [Scenedesmus sp. PABB004]	PCFQ01000001.1 g982 [Chlorella sp. A99]
OG0000648	KAF8055999.1 tRNA-dihydrouridine_47_ synthase [NAD_P__+_] [Scenedesmus sp. PABB004], KAF8063726.1 DUS3L [Scenedesmus sp. PABB004]	PCFQ01000021.1 g2313 [Chlorella sp. A99]
OG0000649	KAF8059202.1 LYSA1 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2215 [Chlorella sp. A99]
OG0000650	KAF8069371.1 MPK4b [Scenedesmus sp. PABB004]	PCFQ01000020.1 g893 [Chlorella sp. A99]
OG0000651	KAF8067366.1 ADS3 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2885 [Chlorella sp. A99], PCFQ01000058.1 g87 [Chlorella sp. A99]
OG0000651	KAF8071250.1 ADS3 [Scenedesmus sp. PABB004]	PCFQ01000020.1 g884 [Chlorella sp. A99]
OG0000652	KAF8063022.1 TGD3 [Scenedesmus sp. PABB004]	PCFQ01000003.1 g1078 [Chlorella sp. A99], PCFQ01000024.1 g2554 [Chlorella sp. A99]
OG0000653	KAF8072900.1 asd [Scenedesmus sp. PABB004], KAF8064545.1 Ank3 [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2490 [Chlorella sp. A99]
OG0000656	KAF8061890.1 Cfap57 [Scenedesmus sp. PABB004]	PCFQ01000082.1 g511 [Chlorella sp. A99]
OG0000657	KAF8056383.1 UBC2 [Scenedesmus sp. PABB004], KAF8069445.1 UBC2 [Scenedesmus sp. PABB004]	PCFQ01000077.1 g1771 [Chlorella sp. A99]
OG0000658	KAF8071083.1 THO3 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2135 [Chlorella sp. A99]
OG0000661	KAF8071310.1 ODA9 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1400 [Chlorella sp. A99]
OG0000664	KAF8065536.1 wdr82 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3234 [Chlorella sp. A99]
OG0000666	KAF8061963.1 acpP1 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2819 [Chlorella sp. A99]
OG0000670	KAF8072827.1 hypothetical protein HT031_000487 [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2640 [Chlorella sp. A99]
OG0000672	KAF8061171.1 ABCG2 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2822 [Chlorella sp. A99], PCFQ01000078.1 g2191 [Chlorella sp. A99]
OG0000673	KAF8071361.1 SPS3 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1456 [Chlorella sp. A99]
OG0000674	KAF8072708.1 UPL1 [Scenedesmus sp. PABB004]	PCFQ01000012.1 g1822 [Chlorella sp. A99]
OG0000676	KAF8073045.1 LSM1A [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2709 [Chlorella sp. A99]
OG0000677	KAF8072487.1 Glutamate decarboxylase [Scenedesmus sp. PABB004]	PCFQ01000007.1 g1201 [Chlorella sp. A99]
OG0000678	KAF8064669.1 SKP1B [Scenedesmus sp. PABB004], KAF8062103.1 hypothetical protein HT031_004363 [Scenedesmus sp. PABB004]	PCFQ01000010.1 g323 [Chlorella sp. A99]
OG0000679	KAF8067226.1 Nat9 [Scenedesmus sp. PABB004], KAF8070910.1 GPX6 [Scenedesmus sp. PABB004]	PCFQ01000010.1 g303 [Chlorella sp. A99]
OG0000681	KAF8059437.1 CDC73 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g128 [Chlorella sp. A99]
OG0000684	KAF8061392.1 cfaD [Scenedesmus sp. PABB004], KAF8061334.1 cfaD [Scenedesmus sp. PABB004]	PCFQ01000002.1 g686 [Chlorella sp. A99], PCFQ01000082.1 g625 [Chlorella sp. A99]
OG0000685	KAF8056441.1 ACBP4 [Scenedesmus sp. PABB004]	PCFQ01000002.1 g717 [Chlorella sp. A99], PCFQ01000002.1 g716 [Chlorella sp. A99]
OG0000686	KAF8057098.1 rpsL [Scenedesmus sp. PABB004], KAF8060551.1 apr [Scenedesmus sp. PABB004]	PCFQ01000008.1 g1094 [Chlorella sp. A99]
OG0000687	KAF8069622.1 RH35 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3102 [Chlorella sp. A99]
OG0000688	KAF8072582.1 nmd3 [Scenedesmus sp. PABB004]	PCFQ01000008.1 g1160 [Chlorella sp. A99]
OG0000690	KAF8070879.1 hypothetical protein HT031_000960 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3135 [Chlorella sp. A99]
OG0000690	KAF8062053.1 sppA [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2079 [Chlorella sp. A99]
OG0000692	KAF8065512.1 EXOSC8 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2074 [Chlorella sp. A99]
OG0000692	KAF8057154.1 Ogd [Scenedesmus sp. PABB004], KAF8060096.1 Ogd [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2078 [Chlorella sp. A99]
OG0000694	KAF8067123.1 Ccdc61 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3141 [Chlorella sp. A99]
OG0000695	KAF8059669.1 ABCG36 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2219 [Chlorella sp. A99], PCFQ01000078.1 g2181 [Chlorella sp. A99], PCFQ01000007.1 g1227 [Chlorella sp. A99]
OG0000696	KAF8069395.1 hypothetical protein HT031_001510 [Scenedesmus sp. PABB004], KAF8055119.1 RPL34 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2802 [Chlorella sp. A99], PCFQ01000008.1 g1083 [Chlorella sp. A99]
OG0000697	KAF8068188.1 hypothetical protein HT031_001874 [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2398 [Chlorella sp. A99]
OG0000700	KAF8057899.1 Ppie [Scenedesmus sp. PABB004], KAF8063686.1 hypothetical protein HT031_003541 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3221 [Chlorella sp. A99]
OG0000701	KAF8067109.1 ABC1 family protein [Scenedesmus sp. PABB004], KAF8054611.1 ABC1 family protein [Scenedesmus sp. PABB004]	PCFQ01000002.1 g648 [Chlorella sp. A99]
OG0000702	KAF8066289.1 mfsd5 [Scenedesmus sp. PABB004], KAF8056749.1 MFSD5 [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2583 [Chlorella sp. A99]
OG0000703	KAF8059458.1 hypothetical protein HT031_005263 [Scenedesmus sp. PABB004], KAF8073112.1 PRFB1 [Scenedesmus sp. PABB004]	PCFQ01000013.1 g3358 [Chlorella sp. A99]
OG0000706	KAF8062067.1 UKL1 [Scenedesmus sp. PABB004], KAF8072566.1 UKL1 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g75 [Chlorella sp. A99]
OG0000707	KAF8056394.1 ufc1 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g74 [Chlorella sp. A99]
OG0000709	KAF8065577.1 hypothetical protein HT031_003178 [Scenedesmus sp. PABB004]	PCFQ01000009.1 g1708 [Chlorella sp. A99]
OG0000710	KAF8059728.1 APK2 [Scenedesmus sp. PABB004]	PCFQ01000023.1 g2237 [Chlorella sp. A99]
OG0000712	KAF8055474.1 hypothetical protein HT031_006733 [Scenedesmus sp. PABB004]	PCFQ01000002.1 g740 [Chlorella sp. A99]
OG0000714	KAF8065725.1 DGAT2B [Scenedesmus sp. PABB004]	PCFQ01000020.1 g904 [Chlorella sp. A99]
OG0000716	KAF8068324.1 SLC35F6 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2081 [Chlorella sp. A99], PCFQ01000006.1 g3215 [Chlorella sp. A99]
OG0000730	KAF8061075.1 PRP31 [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2422 [Chlorella sp. A99], PCFQ01000037.1 g2421 [Chlorella sp. A99]
OG0000734	KAF8073060.1 mdn1 [Scenedesmus sp. PABB004]	PCFQ01000003.1 g1081 [Chlorella sp. A99]
OG0000741	KAF8070974.1 HXK1 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2019 [Chlorella sp. A99]
OG0000745	KAF8062723.1 Heat shock 22 kDa protein [Scenedesmus sp. PABB004], KAF8062724.1 Heat shock 22 kDa protein [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2062 [Chlorella sp. A99]
OG0000747	KAF8060493.1 SYP61 [Scenedesmus sp. PABB004]	PCFQ01000013.1 g3352 [Chlorella sp. A99]
OG0000749	KAF8058082.1 cystathionine beta-lyase [Scenedesmus sp. PABB004]	PCFQ01000046.1 g1851 [Chlorella sp. A99], PCFQ01000011.1 g2816 [Chlorella sp. A99]
OG0000750	KAF8058950.1 AGO1 [Scenedesmus sp. PABB004]	PCFQ01000081.1 g1579 [Chlorella sp. A99]
OG0000751	KAF8057898.1 hypothetical protein HT031_005844 [Scenedesmus sp. PABB004], KAF8061058.1 hypothetical protein HT031_004518 [Scenedesmus sp. PABB004], KAF8061063.1 hypothetical protein HT031_004523 [Scenedesmus sp. PABB004], KAF8065810.1 hypothetical protein HT031_002870 [Scenedesmus sp. PABB004], KAF8069695.1 hypothetical protein HT031_001812 [Scenedesmus sp. PABB004], KAF8060302.1 APA1 [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2595 [Chlorella sp. A99]
OG0000753	KAF8062970.1 Succinate--CoA ligase [ADP-forming] subunit beta [Scenedesmus sp. PABB004]	PCFQ01000023.1 g2230 [Chlorella sp. A99]
OG0000754	KAF8065801.1 ASP1 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2916 [Chlorella sp. A99]
OG0000755	KAF8069456.1 hypothetical protein HT031_001572 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2783 [Chlorella sp. A99]
OG0000757	KAF8063036.1 ATP8B4 [Scenedesmus sp. PABB004]	PCFQ01000008.1 g1097 [Chlorella sp. A99]
OG0000760	KAF8072700.1 PUX13 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2073 [Chlorella sp. A99], PCFQ01000037.1 g2430 [Chlorella sp. A99]
OG0000761	KAF8057928.1 hypothetical protein HT031_005874 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g58 [Chlorella sp. A99]
OG0000763	KAF8069551.1 UBA2 [Scenedesmus sp. PABB004]	PCFQ01000019.1 g1786 [Chlorella sp. A99]
OG0000765	KAF8062916.1 relA [Scenedesmus sp. PABB004]	PCFQ01000082.1 g632 [Chlorella sp. A99], PCFQ01000082.1 g633 [Chlorella sp. A99]
OG0000768	KAF8067365.1 hypothetical protein HT031_002413 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2771 [Chlorella sp. A99]
OG0000769	KAF8057108.1 RER4 [Scenedesmus sp. PABB004]	PCFQ01000014.1 g1900 [Chlorella sp. A99]
OG0000770	KAF8070973.1 putative glucose-6-phosphate 1-epimerase [Scenedesmus sp. PABB004]	PCFQ01000009.1 g1725 [Chlorella sp. A99]
OG0000772	KAF8070902.1 pflB [Scenedesmus sp. PABB004]	PCFQ01000082.1 g498 [Chlorella sp. A99], PCFQ01000020.1 g872 [Chlorella sp. A99]
OG0000773	KAF8073103.1 PLGG1 [Scenedesmus sp. PABB004]	PCFQ01000005.1 g758 [Chlorella sp. A99]
OG0000776	KAF8072742.1 hypothetical protein HT031_000402 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1414 [Chlorella sp. A99]
OG0000777	KAF8072499.1 Zinc finger CCCH domain-containing protein 10 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1465 [Chlorella sp. A99]
OG0000780	KAF8058362.1 cysG [Scenedesmus sp. PABB004]	PCFQ01000012.1 g1824 [Chlorella sp. A99]
OG0000781	KAF8062941.1 apaH [Scenedesmus sp. PABB004], KAF8065841.1 apaH [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2672 [Chlorella sp. A99]
OG0000783	KAF8072587.1 DER2.1 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g158 [Chlorella sp. A99]
OG0000784	KAF8073091.1 dpm1 [Scenedesmus sp. PABB004]	PCFQ01000015.1 g3059 [Chlorella sp. A99], PCFQ01000015.1 g3064 [Chlorella sp. A99]
OG0000785	KAF8054827.1 TTM3 [Scenedesmus sp. PABB004], KAF8054829.1 TTM3 [Scenedesmus sp. PABB004], KAF8068146.1 TTM3 [Scenedesmus sp. PABB004], KAF8054762.1 TTM3 [Scenedesmus sp. PABB004], KAF8055813.1 TTM3 [Scenedesmus sp. PABB004], KAF8057781.1 TTM3 [Scenedesmus sp. PABB004]	PCFQ01000077.1 g1756 [Chlorella sp. A99]
OG0000786	KAF8062042.1 protein-ribulosamine 3-kinase [Scenedesmus sp. PABB004]	PCFQ01000038.1 g487 [Chlorella sp. A99]
OG0000787	KAF8062059.1 isovaleryl-CoA dehydrogenase [Scenedesmus sp. PABB004]	PCFQ01000009.1 g1720 [Chlorella sp. A99]
OG0000791	KAF8060284.1 trappc4 [Scenedesmus sp. PABB004]	PCFQ01000023.1 g2224 [Chlorella sp. A99]
OG0000793	KAF8071092.1 RHD3 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2797 [Chlorella sp. A99]
OG0000796	KAF8067372.1 Ferredoxin-1 [Scenedesmus sp. PABB004], KAF8059972.1 FAP73 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3157 [Chlorella sp. A99]
OG0000798	KAF8059194.1 guaD [Scenedesmus sp. PABB004], KAF8062743.1 guaD [Scenedesmus sp. PABB004], KAF8062744.1 guaD [Scenedesmus sp. PABB004]	PCFQ01000046.1 g1853 [Chlorella sp. A99]
OG0000800	KAF8055823.1 NTR2 [Scenedesmus sp. PABB004]	PCFQ01000077.1 g1773 [Chlorella sp. A99]
OG0000801	KAF8065626.1 mrp5 [Scenedesmus sp. PABB004]	PCFQ01000077.1 g1782 [Chlorella sp. A99], PCFQ01000077.1 g1780 [Chlorella sp. A99]
OG0000802	KAF8057929.1 RPL19B [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1447 [Chlorella sp. A99]
OG0000803	KAF8072856.1 Slc35f1 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2151 [Chlorella sp. A99]
OG0000808	KAF8061420.1 BTR1 [Scenedesmus sp. PABB004]	PCFQ01000075.1 g1942 [Chlorella sp. A99], PCFQ01000078.1 g2101 [Chlorella sp. A99]
OG0000811	KAF8062990.1 ABCG22 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3117 [Chlorella sp. A99]
OG0000812	KAF8057240.1 ACA11 [Scenedesmus sp. PABB004], KAF8063851.1 patA [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2606 [Chlorella sp. A99]
OG0000814	KAF8056868.1 hypothetical protein HT031_006212 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2907 [Chlorella sp. A99], PCFQ01000037.1 g2532 [Chlorella sp. A99]
OG0000815	KAF8065777.1 PED1 [Scenedesmus sp. PABB004]	PCFQ01000003.1 g1073 [Chlorella sp. A99], PCFQ01000078.1 g2118 [Chlorella sp. A99]
OG0000818	KAF8064537.1 ADNT1 [Scenedesmus sp. PABB004]	PCFQ01000015.1 g2933 [Chlorella sp. A99]
OG0000822	KAF8063769.1 LIP2P [Scenedesmus sp. PABB004]	PCFQ01000017.1 g2276 [Chlorella sp. A99]
OG0000823	KAF8072385.1 NAA10 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g107 [Chlorella sp. A99]
OG0000824	KAF8073189.1 rpa1 [Scenedesmus sp. PABB004]	PCFQ01000082.1 g499 [Chlorella sp. A99]
OG0000825	KAF8055093.1 ESRP2 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3205 [Chlorella sp. A99]
OG0000827	KAF8072873.1 hypothetical protein HT031_000533 [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2479 [Chlorella sp. A99]
OG0000829	KAF8056252.1 PPI1 [Scenedesmus sp. PABB004]	PCFQ01000002.1 g673 [Chlorella sp. A99]
OG0000830	KAF8072658.1 Serine/threonine-protein kinase SRPK [Scenedesmus sp. PABB004]	PCFQ01000001.1 g989 [Chlorella sp. A99]
OG0000832	KAF8065915.1 ME6 [Scenedesmus sp. PABB004]	PCFQ01000082.1 g534 [Chlorella sp. A99]
OG0000835	KAF8069385.1 DEGP1 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g151 [Chlorella sp. A99]
OG0000837	KAF8066263.1 APC1 [Scenedesmus sp. PABB004]	PCFQ01000073.1 g1958 [Chlorella sp. A99]
OG0000838	KAF8072502.1 ftsZ [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2094 [Chlorella sp. A99]
OG0000839	KAF8055928.1 maa [Scenedesmus sp. PABB004]	PCFQ01000058.1 g42 [Chlorella sp. A99]
OG0000840	KAF8072477.1 RPH1 [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2412 [Chlorella sp. A99]
OG0000842	KAF8059218.1 THO5B [Scenedesmus sp. PABB004]	PCFQ01000058.1 g4 [Chlorella sp. A99]
OG0000843	KAF8055288.1 RHM1 [Scenedesmus sp. PABB004]	PCFQ01000008.1 g1121 [Chlorella sp. A99]
OG0000845	KAF8059703.1 hypothetical protein HT031_005111 [Scenedesmus sp. PABB004], KAF8063720.1 hypothetical protein HT031_003575 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g63 [Chlorella sp. A99]
OG0000848	KAF8060297.1 hndD [Scenedesmus sp. PABB004]	PCFQ01000018.1 g426 [Chlorella sp. A99], PCFQ01000005.1 g853 [Chlorella sp. A99]
OG0000848	KAF8065822.1 hndD [Scenedesmus sp. PABB004]	PCFQ01000013.1 g3323 [Chlorella sp. A99]
OG0000850	KAF8069434.1 peptidyl-Asp metalloendopeptidase [Scenedesmus sp. PABB004]	PCFQ01000081.1 g1606 [Chlorella sp. A99]
OG0000851	KAF8070963.1 mug157-like protein [Scenedesmus sp. PABB004]	PCFQ01000081.1 g1611 [Chlorella sp. A99], PCFQ01000081.1 g1612 [Chlorella sp. A99]
OG0000855	KAF8056864.1 hypothetical protein HT031_006208 [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2384 [Chlorella sp. A99], PCFQ01000011.1 g2871 [Chlorella sp. A99]
OG0000856	KAF8058039.1 coiled-coil domain-containing protein [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2683 [Chlorella sp. A99]
OG0000878	KAF8060576.1 trappc1-1 [Scenedesmus sp. PABB004]	PCFQ01000046.1 g1872 [Chlorella sp. A99]
OG0000882	KAF8060038.1 serine/threonine-protein kinase [Scenedesmus sp. PABB004], KAF8066374.1 fyna [Scenedesmus sp. PABB004], KAF8069589.1 FEN1 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1306 [Chlorella sp. A99]
OG0000886	KAF8072940.1 hypothetical protein HT031_000600 [Scenedesmus sp. PABB004]	PCFQ01000009.1 g1713 [Chlorella sp. A99]
OG0000889	KAF8056758.1 DGD1 [Scenedesmus sp. PABB004], KAF8056763.1 DGD1 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1331 [Chlorella sp. A99]
OG0000890	KAF8057728.1 hypothetical protein HT031_005912 [Scenedesmus sp. PABB004]	PCFQ01000007.1 g1208 [Chlorella sp. A99]
OG0000891	KAF8061070.1 Ribulose bisphosphate carboxylase/oxygenase activase [Scenedesmus sp. PABB004], KAF8065664.1 hypothetical protein HT031_003265 [Scenedesmus sp. PABB004], KAF8058479.1 Ribulose bisphosphate carboxylase/oxygenase activase [Scenedesmus sp. PABB004]	PCFQ01000018.1 g440 [Chlorella sp. A99]
OG0000892	KAF8064504.1 Beta-galactosidase [Scenedesmus sp. PABB004]	PCFQ01000081.1 g1638 [Chlorella sp. A99]
OG0000897	KAF8072973.1 PGDH1 [Scenedesmus sp. PABB004]	PCFQ01000013.1 g3266 [Chlorella sp. A99]
OG0000898	KAF8064535.1 RNA cytidine acetyltransferase 1 [Scenedesmus sp. PABB004]	PCFQ01000015.1 g2951 [Chlorella sp. A99]
OG0000899	KAF8068261.1 TIF3C1 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3223 [Chlorella sp. A99]
OG0000900	KAF8072478.1 Eukaryotic translation initiation factor 5A-3 [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2619 [Chlorella sp. A99]
OG0000902	KAF8071088.1 tagC [Scenedesmus sp. PABB004]	PCFQ01000007.1 g1179 [Chlorella sp. A99]
OG0000903	KAF8062648.1 hypothetical protein HT031_003977 [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2677 [Chlorella sp. A99]
OG0000907	KAF8066364.1 hypothetical protein HT031_002688 [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2658 [Chlorella sp. A99], PCFQ01000004.1 g2653 [Chlorella sp. A99]
OG0000908	KAF8062805.1 IscA-like protein [Scenedesmus sp. PABB004]	PCFQ01000026.1 g2296 [Chlorella sp. A99]
OG0000915	KAF8056477.1 AAE15 [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2511 [Chlorella sp. A99]
OG0000917	KAF8067249.1 fetC [Scenedesmus sp. PABB004], KAF8061145.1 fetC [Scenedesmus sp. PABB004], KAF8065842.1 NOB1 [Scenedesmus sp. PABB004]	PCFQ01000003.1 g1053 [Chlorella sp. A99]
OG0000919	KAF8060603.1 MRS2-G [Scenedesmus sp. PABB004]	PCFQ01000007.1 g1206 [Chlorella sp. A99]
OG0000924	KAF8066392.1 ATG16 [Scenedesmus sp. PABB004]	PCFQ01000080.1 g1951 [Chlorella sp. A99]
OG0000925	KAF8064602.1 hypothetical protein HT031_003403 [Scenedesmus sp. PABB004]	PCFQ01000007.1 g1200 [Chlorella sp. A99]
OG0000926	KAF8062786.1 CKAP5 [Scenedesmus sp. PABB004]	PCFQ01000002.1 g725 [Chlorella sp. A99]
OG0000928	KAF8057774.1 acyl-lipid _7-3_-desaturase [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3140 [Chlorella sp. A99]
OG0000929	KAF8065826.1 haloacid dehalogenase-like protein [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2127 [Chlorella sp. A99]
OG0000933	KAF8065534.1 hypothetical protein HT031_003135 [Scenedesmus sp. PABB004]	PCFQ01000018.1 g458 [Chlorella sp. A99]
OG0000934	KAF8057137.1 CSLA3 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1410 [Chlorella sp. A99]
OG0000937	KAF8069679.1 lkhA [Scenedesmus sp. PABB004]	PCFQ01000080.1 g1946 [Chlorella sp. A99]
OG0000939	KAF8065580.1 GGT2 [Scenedesmus sp. PABB004]	PCFQ01000003.1 g1021 [Chlorella sp. A99]
