Orthogroup	Scenedesmus_PABB004	Chlorella_VariabilisNC64A
OG0000185	KAF8059165.1 PGM2 [Scenedesmus sp. PABB004]	XP_005847078.1 hypothetical protein CHLNCDRAFT_35765 [Chlorella variabilis]
OG0000185	KAF8073135.1 NSUN5 [Scenedesmus sp. PABB004]	XP_005847077.1 hypothetical protein CHLNCDRAFT_24352 [Chlorella variabilis]
OG0000186	KAF8067254.1 pcmt [Scenedesmus sp. PABB004]	XP_005852279.1 hypothetical protein CHLNCDRAFT_133686 [Chlorella variabilis], XP_005845020.1 hypothetical protein CHLNCDRAFT_56300 [Chlorella variabilis], XP_005851969.1 hypothetical protein CHLNCDRAFT_133694 [Chlorella variabilis], XP_005849258.1 hypothetical protein CHLNCDRAFT_143507 [Chlorella variabilis], XP_005844941.1 hypothetical protein CHLNCDRAFT_138285 [Chlorella variabilis]
OG0000187	KAF8067164.1 lig1 [Scenedesmus sp. PABB004]	XP_005843412.1 hypothetical protein CHLNCDRAFT_28217_ partial [Chlorella variabilis]
OG0000189	KAF8071354.1 GRP-2 [Scenedesmus sp. PABB004]	XP_005848105.1 hypothetical protein CHLNCDRAFT_145396 [Chlorella variabilis]
OG0000190	KAF8058114.1 popC [Scenedesmus sp. PABB004]	XP_005846358.1 hypothetical protein CHLNCDRAFT_135803_ partial [Chlorella variabilis], XP_005842705.1 hypothetical protein CHLNCDRAFT_136265 [Chlorella variabilis]
OG0000191	KAF8056442.1 AGPS1 [Scenedesmus sp. PABB004]	XP_005842916.1 hypothetical protein CHLNCDRAFT_37654 [Chlorella variabilis]
OG0000191	KAF8072980.1 AGPS1 [Scenedesmus sp. PABB004]	XP_005851797.1 hypothetical protein CHLNCDRAFT_56519 [Chlorella variabilis]
OG0000192	KAF8071221.1 CDKB1-1 [Scenedesmus sp. PABB004]	XP_005843577.1 hypothetical protein CHLNCDRAFT_33088 [Chlorella variabilis]
OG0000193	KAF8063035.1 hypothetical protein HT031_003874 [Scenedesmus sp. PABB004], KAF8065748.1 hypothetical protein HT031_002808 [Scenedesmus sp. PABB004], KAF8065747.1 hypothetical protein HT031_002807 [Scenedesmus sp. PABB004], KAF8065746.1 yipf1 [Scenedesmus sp. PABB004]	XP_005845044.1 hypothetical protein CHLNCDRAFT_137304 [Chlorella variabilis], XP_005843750.1 hypothetical protein CHLNCDRAFT_139835 [Chlorella variabilis], XP_005845045.1 hypothetical protein CHLNCDRAFT_137305 [Chlorella variabilis], XP_005843751.1 hypothetical protein CHLNCDRAFT_139836 [Chlorella variabilis], XP_005842853.1 hypothetical protein CHLNCDRAFT_142543 [Chlorella variabilis]
OG0000194	KAF8061126.1 MPC1 [Scenedesmus sp. PABB004]	XP_005846789.1 hypothetical protein CHLNCDRAFT_53018 [Chlorella variabilis]
OG0000195	KAF8067423.1 hypothetical protein HT031_002471 [Scenedesmus sp. PABB004]	XP_005844894.1 expressed protein [Chlorella variabilis], XP_005844870.1 hypothetical protein CHLNCDRAFT_138382 [Chlorella variabilis], XP_005844871.1 expressed protein [Chlorella variabilis], XP_005851427.1 hypothetical protein CHLNCDRAFT_137722 [Chlorella variabilis]
OG0000196	KAF8073003.1 azin2 [Scenedesmus sp. PABB004], KAF8063717.1 Ornithine decarboxylase [Scenedesmus sp. PABB004]	XP_005847800.1 hypothetical protein CHLNCDRAFT_133981 [Chlorella variabilis]
OG0000197	KAF8070934.1 DUR3 [Scenedesmus sp. PABB004]	XP_005844886.1 hypothetical protein CHLNCDRAFT_58757 [Chlorella variabilis]
OG0000198	KAF8059207.1 lvsF [Scenedesmus sp. PABB004]	XP_005847001.1 hypothetical protein CHLNCDRAFT_135020 [Chlorella variabilis]
OG0000199	KAF8065440.1 F-box protein [Scenedesmus sp. PABB004]	XP_005851124.1 hypothetical protein CHLNCDRAFT_137703 [Chlorella variabilis]
OG0000200	KAF8069636.1 TUBA1 [Scenedesmus sp. PABB004]	XP_005851144.1 alpha-tubulin [Chlorella variabilis]
OG0000200	KAF8060064.1 hypothetical protein HT031_005003 [Scenedesmus sp. PABB004]	XP_005846116.1 tubulin beta chain [Chlorella variabilis]
OG0000201	KAF8063039.1 BRR2A [Scenedesmus sp. PABB004]	XP_005850772.1 hypothetical protein CHLNCDRAFT_140958 [Chlorella variabilis]
OG0000201	KAF8065637.1 BRR2C [Scenedesmus sp. PABB004]	XP_005844567.1 hypothetical protein CHLNCDRAFT_138793 [Chlorella variabilis]
OG0000202	KAF8072821.1 GPXMC1 [Scenedesmus sp. PABB004]	XP_005844151.1 hypothetical protein CHLNCDRAFT_49115 [Chlorella variabilis]
OG0000202	KAF8059987.1 GPX7 [Scenedesmus sp. PABB004]	XP_005848232.1 hypothetical protein CHLNCDRAFT_48733 [Chlorella variabilis]
OG0000203	KAF8065773.1 NLP2 [Scenedesmus sp. PABB004]	XP_005845332.1 hypothetical protein CHLNCDRAFT_137118 [Chlorella variabilis], XP_005845333.1 hypothetical protein CHLNCDRAFT_137119 [Chlorella variabilis], XP_005849565.1 hypothetical protein CHLNCDRAFT_142964 [Chlorella variabilis], XP_005849566.1 hypothetical protein CHLNCDRAFT_142965 [Chlorella variabilis], XP_005845331.1 hypothetical protein CHLNCDRAFT_49040 [Chlorella variabilis]
OG0000204	KAF8060107.1 hypothetical protein HT031_005046 [Scenedesmus sp. PABB004], KAF8062002.1 hypothetical protein HT031_004262 [Scenedesmus sp. PABB004], KAF8060608.1 hypothetical protein HT031_004785 [Scenedesmus sp. PABB004]	XP_005851447.1 hypothetical protein CHLNCDRAFT_137786 [Chlorella variabilis]
OG0000204	KAF8065753.1 HESO1 [Scenedesmus sp. PABB004], KAF8060104.1 HESO1 [Scenedesmus sp. PABB004]	XP_005846091.1 hypothetical protein CHLNCDRAFT_135962 [Chlorella variabilis]
OG0000207	KAF8067161.1 EXOSC1 [Scenedesmus sp. PABB004]	XP_005850435.1 hypothetical protein CHLNCDRAFT_30168 [Chlorella variabilis]
OG0000207	KAF8071230.1 TOM20 [Scenedesmus sp. PABB004]	XP_005850433.1 hypothetical protein CHLNCDRAFT_20637_ partial [Chlorella variabilis]
OG0000208	KAF8061164.1 hypothetical protein HT031_004626 [Scenedesmus sp. PABB004]	XP_005848144.1 hypothetical protein CHLNCDRAFT_145488 [Chlorella variabilis], XP_005848143.1 hypothetical protein CHLNCDRAFT_52133 [Chlorella variabilis], XP_005848709.1 hypothetical protein CHLNCDRAFT_144363 [Chlorella variabilis], XP_005849003.1 hypothetical protein CHLNCDRAFT_144576 [Chlorella variabilis], XP_005851272.1 hypothetical protein CHLNCDRAFT_138045 [Chlorella variabilis]
OG0000209	KAF8072985.1 hypothetical protein HT031_000645 [Scenedesmus sp. PABB004]	XP_005846604.1 hypothetical protein CHLNCDRAFT_8980_ partial [Chlorella variabilis], XP_005845923.1 hypothetical protein CHLNCDRAFT_53648 [Chlorella variabilis], XP_005845813.1 hypothetical protein CHLNCDRAFT_58491 [Chlorella variabilis], XP_005845814.1 hypothetical protein CHLNCDRAFT_8957_ partial [Chlorella variabilis], XP_005851773.1 hypothetical protein CHLNCDRAFT_33527 [Chlorella variabilis], XP_005848573.1 hypothetical protein CHLNCDRAFT_145145 [Chlorella variabilis]
OG0000210	KAF8057712.1 JMJ25 [Scenedesmus sp. PABB004], KAF8059101.1 JMJ25 [Scenedesmus sp. PABB004]	XP_005843781.1 hypothetical protein CHLNCDRAFT_139911 [Chlorella variabilis]
OG0000211	KAF8066375.1 Ssr2 [Scenedesmus sp. PABB004]	XP_005846579.1 hypothetical protein CHLNCDRAFT_135136 [Chlorella variabilis], XP_005850751.1 hypothetical protein CHLNCDRAFT_50474 [Chlorella variabilis]
OG0000214	KAF8063676.1 TIC20-V [Scenedesmus sp. PABB004]	XP_005851572.1 hypothetical protein CHLNCDRAFT_138063 [Chlorella variabilis], XP_005851571.1 hypothetical protein CHLNCDRAFT_138062 [Chlorella variabilis], XP_005851570.1 hypothetical protein CHLNCDRAFT_138061 [Chlorella variabilis], XP_005851569.1 hypothetical protein CHLNCDRAFT_50023 [Chlorella variabilis]
OG0000215	KAF8060026.1 hypothetical protein HT031_004964 [Scenedesmus sp. PABB004]	XP_005844078.1 hypothetical protein CHLNCDRAFT_37079_ partial [Chlorella variabilis], XP_005845727.1 hypothetical protein CHLNCDRAFT_58424 [Chlorella variabilis], XP_005849801.1 hypothetical protein CHLNCDRAFT_50966 [Chlorella variabilis], XP_005844077.1 hypothetical protein CHLNCDRAFT_139472 [Chlorella variabilis]
OG0000218	KAF8066190.1 methyltransferase [Scenedesmus sp. PABB004]	XP_005849746.1 hypothetical protein CHLNCDRAFT_142766 [Chlorella variabilis]
OG0000219	KAF8059198.1 SYP22 [Scenedesmus sp. PABB004]	XP_005843766.1 hypothetical protein CHLNCDRAFT_54927 [Chlorella variabilis]
OG0000219	KAF8059442.1 YPL264C [Scenedesmus sp. PABB004]	XP_005851682.1 hypothetical protein CHLNCDRAFT_132944 [Chlorella variabilis]
OG0000220	KAF8058033.1 FKBP3 [Scenedesmus sp. PABB004], KAF8069595.1 FKBP15 [Scenedesmus sp. PABB004]	XP_005848722.1 hypothetical protein CHLNCDRAFT_13313_ partial [Chlorella variabilis]
OG0000221	KAF8065483.1 OPR1 [Scenedesmus sp. PABB004]	XP_005847297.1 hypothetical protein CHLNCDRAFT_52565 [Chlorella variabilis]
OG0000222	KAF8072883.1 TSTA3 [Scenedesmus sp. PABB004]	XP_005844141.1 hypothetical protein CHLNCDRAFT_139232 [Chlorella variabilis]
OG0000222	KAF8072787.1 PMI2 [Scenedesmus sp. PABB004]	XP_005844140.1 hypothetical protein CHLNCDRAFT_139231 [Chlorella variabilis]
OG0000223	KAF8061978.1 GRC2 [Scenedesmus sp. PABB004]	XP_005845177.1 hypothetical protein CHLNCDRAFT_137376 [Chlorella variabilis]
OG0000223	KAF8069468.1 hypothetical protein HT031_001584 [Scenedesmus sp. PABB004]	XP_005848662.1 hypothetical protein CHLNCDRAFT_34977 [Chlorella variabilis]
OG0000224	KAF8059360.1 CPK17 [Scenedesmus sp. PABB004]	XP_005849715.1 hypothetical protein CHLNCDRAFT_30247 [Chlorella variabilis]
OG0000224	KAF8063742.1 CPK2 [Scenedesmus sp. PABB004]	XP_005845892.1 hypothetical protein CHLNCDRAFT_36351 [Chlorella variabilis], XP_005844292.1 hypothetical protein CHLNCDRAFT_139412 [Chlorella variabilis]
OG0000225	KAF8072402.1 Gfpt2 [Scenedesmus sp. PABB004]	XP_005845654.1 hypothetical protein CHLNCDRAFT_136690 [Chlorella variabilis], XP_005849588.1 hypothetical protein CHLNCDRAFT_143015 [Chlorella variabilis]
OG0000226	KAF8065936.1 CPL3 [Scenedesmus sp. PABB004]	XP_005851633.1 hypothetical protein CHLNCDRAFT_138195 [Chlorella variabilis], XP_005851632.1 hypothetical protein CHLNCDRAFT_138191 [Chlorella variabilis]
OG0000227	KAF8059731.1 hypothetical protein HT031_005139 [Scenedesmus sp. PABB004]	XP_005851391.1 hypothetical protein CHLNCDRAFT_48457 [Chlorella variabilis]
OG0000228	KAF8059718.1 hypothetical protein HT031_005126 [Scenedesmus sp. PABB004]	XP_005849609.1 hypothetical protein CHLNCDRAFT_143085 [Chlorella variabilis], XP_005851281.1 hypothetical protein CHLNCDRAFT_138071 [Chlorella variabilis]
OG0000228	KAF8065589.1 RNA-binding protein [Scenedesmus sp. PABB004]	XP_005851280.1 hypothetical protein CHLNCDRAFT_50028 [Chlorella variabilis]
OG0000229	KAF8073140.1 Acbp2 [Scenedesmus sp. PABB004]	XP_005848979.1 hypothetical protein CHLNCDRAFT_144518 [Chlorella variabilis], XP_005846622.1 hypothetical protein CHLNCDRAFT_135252 [Chlorella variabilis], XP_005850476.1 hypothetical protein CHLNCDRAFT_17984_ partial [Chlorella variabilis]
OG0000232	KAF8061896.1 KAS2 [Scenedesmus sp. PABB004]	XP_005847731.1 hypothetical protein CHLNCDRAFT_31085 [Chlorella variabilis]
OG0000232	KAF8068419.1 KAS1 [Scenedesmus sp. PABB004]	XP_005843858.1 hypothetical protein CHLNCDRAFT_27559 [Chlorella variabilis]
OG0000233	KAF8056108.1 cypD [Scenedesmus sp. PABB004]	XP_005846436.1 hypothetical protein CHLNCDRAFT_36035 [Chlorella variabilis]
OG0000233	KAF8065880.1 ATR2 [Scenedesmus sp. PABB004]	XP_005844200.1 hypothetical protein CHLNCDRAFT_59028 [Chlorella variabilis]
OG0000234	KAF8061125.1 eukaryotic initiation factor 4A-3 [Scenedesmus sp. PABB004]	XP_005845171.1 eukaryotic initiation factor 4A _ATP-dependent RNA helicase eIF4A_ [Chlorella variabilis]
OG0000234	KAF8064681.1 EIF4A3A [Scenedesmus sp. PABB004]	XP_005851716.1 hypothetical protein CHLNCDRAFT_29172 [Chlorella variabilis]
OG0000235	KAF8068180.1 coatomer subunit alpha-3 [Scenedesmus sp. PABB004]	XP_005845617.1 hypothetical protein CHLNCDRAFT_58567 [Chlorella variabilis], XP_005850263.1 hypothetical protein CHLNCDRAFT_141971 [Chlorella variabilis], XP_005851353.1 hypothetical protein CHLNCDRAFT_137537 [Chlorella variabilis]
OG0000236	KAF8060624.1 ALAAT2 [Scenedesmus sp. PABB004]	XP_005852218.1 hypothetical protein CHLNCDRAFT_29318 [Chlorella variabilis]
OG0000236	KAF8055844.1 GGAT1 [Scenedesmus sp. PABB004]	XP_005847240.1 hypothetical protein CHLNCDRAFT_57929 [Chlorella variabilis]
OG0000240	KAF8057763.1 AZG1 [Scenedesmus sp. PABB004]	XP_005850398.1 hypothetical protein CHLNCDRAFT_142286 [Chlorella variabilis], XP_005850214.1 hypothetical protein CHLNCDRAFT_142450 [Chlorella variabilis]
OG0000241	KAF8059675.1 arsM [Scenedesmus sp. PABB004]	XP_005842886.1 hypothetical protein CHLNCDRAFT_142489 [Chlorella variabilis], XP_005847544.1 hypothetical protein CHLNCDRAFT_23051 [Chlorella variabilis], XP_005847712.1 hypothetical protein CHLNCDRAFT_9950_ partial [Chlorella variabilis], XP_005845903.1 hypothetical protein CHLNCDRAFT_32055 [Chlorella variabilis]
OG0000243	KAF8065944.1 mtr [Scenedesmus sp. PABB004]	XP_005842720.1 hypothetical protein CHLNCDRAFT_55718_ partial [Chlorella variabilis], XP_005842665.1 hypothetical protein CHLNCDRAFT_37749 [Chlorella variabilis], XP_005844355.1 hypothetical protein CHLNCDRAFT_36916 [Chlorella variabilis]
OG0000244	KAF8058949.1 hypothetical protein HT031_005517 [Scenedesmus sp. PABB004]	XP_005852267.1 hypothetical protein CHLNCDRAFT_133653 [Chlorella variabilis]
OG0000244	KAF8065531.1 hypothetical protein HT031_003132 [Scenedesmus sp. PABB004]	XP_005845660.1 expressed protein [Chlorella variabilis]
OG0000245	KAF8065653.1 sirt2 [Scenedesmus sp. PABB004]	XP_005847976.1 hypothetical protein CHLNCDRAFT_31016 [Chlorella variabilis]
OG0000247	KAF8068288.1 PRDX4 [Scenedesmus sp. PABB004]	XP_005847487.1 hypothetical protein CHLNCDRAFT_23497_ partial [Chlorella variabilis]
OG0000248	KAF8063059.1 RNP1 [Scenedesmus sp. PABB004]	XP_005850660.1 hypothetical protein CHLNCDRAFT_140687 [Chlorella variabilis]
OG0000248	KAF8055751.1 splA [Scenedesmus sp. PABB004]	XP_005850661.1 hypothetical protein CHLNCDRAFT_50349 [Chlorella variabilis], XP_005851612.1 hypothetical protein CHLNCDRAFT_138152 [Chlorella variabilis], XP_005850610.1 hypothetical protein CHLNCDRAFT_50283 [Chlorella variabilis]
OG0000252	KAF8069481.1 Elongation factor 1-alpha [Scenedesmus sp. PABB004]	XP_005848761.1 hypothetical protein CHLNCDRAFT_59648 [Chlorella variabilis], XP_005848974.1 hypothetical protein CHLNCDRAFT_30705 [Chlorella variabilis]
OG0000252	KAF8073223.1 Srpra [Scenedesmus sp. PABB004]	XP_005848975.1 hypothetical protein CHLNCDRAFT_21935 [Chlorella variabilis]
OG0000253	KAF8062759.1 D-threonine aldolase [Scenedesmus sp. PABB004]	XP_005849242.1 hypothetical protein CHLNCDRAFT_143472 [Chlorella variabilis], XP_005849243.1 hypothetical protein CHLNCDRAFT_143473 [Chlorella variabilis], XP_005849241.1 hypothetical protein CHLNCDRAFT_143471 [Chlorella variabilis], XP_005849839.1 hypothetical protein CHLNCDRAFT_142995 [Chlorella variabilis]
OG0000254	KAF8060552.1 rplK [Scenedesmus sp. PABB004], KAF8054871.1 hypothetical protein HT031_006906 [Scenedesmus sp. PABB004]	XP_005844930.1 hypothetical protein CHLNCDRAFT_49066 [Chlorella variabilis]
OG0000255	KAF8071075.1 IMMP2L [Scenedesmus sp. PABB004]	XP_005850447.1 hypothetical protein CHLNCDRAFT_50794 [Chlorella variabilis]
OG0000256	KAF8060490.1 SAC9 [Scenedesmus sp. PABB004]	XP_005850527.1 hypothetical protein CHLNCDRAFT_11200_ partial [Chlorella variabilis], XP_005850529.1 hypothetical protein CHLNCDRAFT_140385 [Chlorella variabilis], XP_005852164.1 hypothetical protein CHLNCDRAFT_133330 [Chlorella variabilis]
OG0000259	KAF8072950.1 PWP1 [Scenedesmus sp. PABB004]	XP_005849978.1 hypothetical protein CHLNCDRAFT_141885 [Chlorella variabilis]
OG0000259	KAF8057289.1 GTS1 [Scenedesmus sp. PABB004]	XP_005849975.1 hypothetical protein CHLNCDRAFT_141875 [Chlorella variabilis]
OG0000260	KAF8058457.1 hypothetical protein HT031_005581 [Scenedesmus sp. PABB004]	XP_005847825.1 hypothetical protein CHLNCDRAFT_52381 [Chlorella variabilis], XP_005848085.1 hypothetical protein CHLNCDRAFT_22974 [Chlorella variabilis]
OG0000261	KAF8072369.1 NaCP60E [Scenedesmus sp. PABB004]	XP_005844739.1 hypothetical protein CHLNCDRAFT_13973_ partial [Chlorella variabilis], XP_005847467.1 hypothetical protein CHLNCDRAFT_134407 [Chlorella variabilis], XP_005844740.1 hypothetical protein CHLNCDRAFT_58834_ partial [Chlorella variabilis]
OG0000262	KAF8056222.1 Formate--tetrahydrofolate ligase [Scenedesmus sp. PABB004], KAF8060573.1 COG4 [Scenedesmus sp. PABB004]	XP_005847132.1 hypothetical protein CHLNCDRAFT_24350_ partial [Chlorella variabilis]
OG0000263	KAF8072903.1 Gstp1 [Scenedesmus sp. PABB004]	XP_005850276.1 hypothetical protein CHLNCDRAFT_57035 [Chlorella variabilis], XP_005850277.1 hypothetical protein CHLNCDRAFT_142000 [Chlorella variabilis]
OG0000264	KAF8067182.1 LIF2 [Scenedesmus sp. PABB004]	XP_005843383.1 hypothetical protein CHLNCDRAFT_141215 [Chlorella variabilis]
OG0000264	KAF8064530.1 hypothetical protein HT031_003330 [Scenedesmus sp. PABB004]	XP_005849362.1 hypothetical protein CHLNCDRAFT_6687_ partial [Chlorella variabilis]
OG0000265	KAF8069579.1 TAMM41 [Scenedesmus sp. PABB004]	XP_005849928.1 hypothetical protein CHLNCDRAFT_48669 [Chlorella variabilis]
OG0000265	KAF8061329.1 PAA2 [Scenedesmus sp. PABB004]	XP_005850457.1 hypothetical protein CHLNCDRAFT_6585_ partial [Chlorella variabilis]
OG0000266	KAF8073229.1 HRD1A [Scenedesmus sp. PABB004]	XP_005848652.1 hypothetical protein CHLNCDRAFT_144201 [Chlorella variabilis]
OG0000266	KAF8055722.1 rlmN [Scenedesmus sp. PABB004], KAF8072775.1 rlmN [Scenedesmus sp. PABB004]	XP_005848852.1 hypothetical protein CHLNCDRAFT_22096_ partial [Chlorella variabilis]
OG0000268	KAF8055592.1 SEC13B [Scenedesmus sp. PABB004]	XP_005847540.1 hypothetical protein CHLNCDRAFT_133732 [Chlorella variabilis], XP_005846000.1 hypothetical protein CHLNCDRAFT_31922 [Chlorella variabilis]
OG0000269	KAF8057668.1 hypothetical protein HT031_006017 [Scenedesmus sp. PABB004]	XP_005850323.1 hypothetical protein CHLNCDRAFT_142099 [Chlorella variabilis]
OG0000270	KAF8067125.1 DNA-directed RNA polymerase III subunit RPC1 [Scenedesmus sp. PABB004]	XP_005851265.1 hypothetical protein CHLNCDRAFT_138029_ partial [Chlorella variabilis]
OG0000270	KAF8072459.1 NRPB1 [Scenedesmus sp. PABB004]	XP_005842581.1 hypothetical protein CHLNCDRAFT_55882_ partial [Chlorella variabilis], XP_005842642.1 hypothetical protein CHLNCDRAFT_55803_ partial [Chlorella variabilis], XP_005847122.1 hypothetical protein CHLNCDRAFT_134851 [Chlorella variabilis]
OG0000271	KAF8055385.1 FGT1 [Scenedesmus sp. PABB004]	XP_005844224.1 hypothetical protein CHLNCDRAFT_32609 [Chlorella variabilis], XP_005847874.1 hypothetical protein CHLNCDRAFT_51983 [Chlorella variabilis]
OG0000271	KAF8058482.1 hypothetical protein HT031_005606 [Scenedesmus sp. PABB004], KAF8058466.1 hypothetical protein HT031_005590 [Scenedesmus sp. PABB004]	XP_005847873.1 expressed protein [Chlorella variabilis]
OG0000272	KAF8054896.1 PLR1 [Scenedesmus sp. PABB004]	XP_005847721.1 hypothetical protein CHLNCDRAFT_23295 [Chlorella variabilis]
OG0000273	KAF8060594.1 algC [Scenedesmus sp. PABB004]	XP_005844743.1 hypothetical protein CHLNCDRAFT_58837 [Chlorella variabilis], XP_005842936.1 expressed protein [Chlorella variabilis], XP_005849530.1 hypothetical protein CHLNCDRAFT_57225 [Chlorella variabilis]
OG0000274	KAF8064532.1 hypothetical protein HT031_003332 [Scenedesmus sp. PABB004]	XP_005851725.1 hypothetical protein CHLNCDRAFT_133066 [Chlorella variabilis]
OG0000274	KAF8069437.1 hypothetical protein HT031_001552 [Scenedesmus sp. PABB004]	XP_005843425.1 hypothetical protein CHLNCDRAFT_28109 [Chlorella variabilis]
OG0000275	KAF8063756.1 S-adenosyl-L-methionine-dependent methyltransferase [Scenedesmus sp. PABB004]	XP_005852039.1 hypothetical protein CHLNCDRAFT_133008 [Chlorella variabilis]
OG0000276	KAF8072929.1 Tnni3k [Scenedesmus sp. PABB004]	XP_005843894.1 expressed protein [Chlorella variabilis]
OG0000278	KAF8071330.1 yciC [Scenedesmus sp. PABB004], KAF8059685.1 hypothetical protein HT031_005093 [Scenedesmus sp. PABB004], KAF8059687.1 yciC [Scenedesmus sp. PABB004], KAF8065844.1 yciC [Scenedesmus sp. PABB004]	XP_005849236.1 hypothetical protein CHLNCDRAFT_21466 [Chlorella variabilis], XP_005844248.1 hypothetical protein CHLNCDRAFT_58985 [Chlorella variabilis]
OG0000280	KAF8062692.1 BGL1A [Scenedesmus sp. PABB004]	XP_005850063.1 hypothetical protein CHLNCDRAFT_50621 [Chlorella variabilis]
OG0000283	KAF8059451.1 yqjQ [Scenedesmus sp. PABB004]	XP_005849253.1 hypothetical protein CHLNCDRAFT_143501 [Chlorella variabilis]
OG0000284	KAF8055720.1 ZIP5 [Scenedesmus sp. PABB004]	XP_005846850.1 hypothetical protein CHLNCDRAFT_58029 [Chlorella variabilis], XP_005844148.1 hypothetical protein CHLNCDRAFT_54633 [Chlorella variabilis], XP_005843039.1 hypothetical protein CHLNCDRAFT_141589 [Chlorella variabilis]
OG0000285	KAF8060513.1 ABCB6 [Scenedesmus sp. PABB004]	XP_005849899.1 hypothetical protein CHLNCDRAFT_51094 [Chlorella variabilis], XP_005850708.1 hypothetical protein CHLNCDRAFT_34209 [Chlorella variabilis]
OG0000287	KAF8072673.1 2-3-bisphosphoglycerate-independent phosphoglycerate mutase [Scenedesmus sp. PABB004]	XP_005845787.1 hypothetical protein CHLNCDRAFT_36362 [Chlorella variabilis], XP_005845898.1 hypothetical protein CHLNCDRAFT_36359 [Chlorella variabilis]
OG0000288	KAF8071022.1 hypothetical protein HT031_001104 [Scenedesmus sp. PABB004], KAF8073017.1 rpsQ [Scenedesmus sp. PABB004]	XP_005848338.1 hypothetical protein CHLNCDRAFT_51905 [Chlorella variabilis], XP_005844893.1 hypothetical protein CHLNCDRAFT_138435 [Chlorella variabilis]
OG0000290	KAF8056455.1 aminopeptidase M1-D [Scenedesmus sp. PABB004]	XP_005851745.1 hypothetical protein CHLNCDRAFT_56489 [Chlorella variabilis]
OG0000290	KAF8072908.1 WDR55 [Scenedesmus sp. PABB004]	XP_005847707.1 hypothetical protein CHLNCDRAFT_52224 [Chlorella variabilis]
OG0000293	KAF8057632.1 CPK24 [Scenedesmus sp. PABB004]	XP_005847963.1 hypothetical protein CHLNCDRAFT_35323 [Chlorella variabilis], XP_005849129.1 hypothetical protein CHLNCDRAFT_143714 [Chlorella variabilis]
OG0000294	KAF8062641.1 D27 [Scenedesmus sp. PABB004]	XP_005849128.1 hypothetical protein CHLNCDRAFT_57404 [Chlorella variabilis]
OG0000294	KAF8056461.1 D27 [Scenedesmus sp. PABB004]	XP_005847526.1 hypothetical protein CHLNCDRAFT_134573 [Chlorella variabilis]
OG0000295	KAF8067127.1 NLP6 [Scenedesmus sp. PABB004]	XP_005844656.1 hypothetical protein CHLNCDRAFT_138533 [Chlorella variabilis], XP_005844657.1 expressed protein [Chlorella variabilis]
OG0000296	KAF8067242.1 hypothetical protein HT031_002289 [Scenedesmus sp. PABB004]	XP_005851258.1 hypothetical protein CHLNCDRAFT_138008 [Chlorella variabilis], XP_005845944.1 hypothetical protein CHLNCDRAFT_135927 [Chlorella variabilis]
OG0000297	KAF8067233.1 PHT4 [Scenedesmus sp. PABB004]	XP_005849963.1 hypothetical protein CHLNCDRAFT_143323 [Chlorella variabilis], XP_005849602.1 hypothetical protein CHLNCDRAFT_143059 [Chlorella variabilis]
OG0000298	KAF8068170.1 RH36 [Scenedesmus sp. PABB004]	XP_005843810.1 hypothetical protein CHLNCDRAFT_139858 [Chlorella variabilis], XP_005843812.1 hypothetical protein CHLNCDRAFT_54915 [Chlorella variabilis], XP_005843811.1 hypothetical protein CHLNCDRAFT_139859 [Chlorella variabilis]
OG0000299	KAF8055386.1 WNK3 [Scenedesmus sp. PABB004]	XP_005851619.1 hypothetical protein CHLNCDRAFT_18854_ partial [Chlorella variabilis]
OG0000300	KAF8063852.1 ppa1 [Scenedesmus sp. PABB004]	XP_005849278.1 hypothetical protein CHLNCDRAFT_56094 [Chlorella variabilis], XP_005844637.1 hypothetical protein CHLNCDRAFT_58882 [Chlorella variabilis]
OG0000301	KAF8067346.1 pam-b [Scenedesmus sp. PABB004]	XP_005850633.1 hypothetical protein CHLNCDRAFT_34137 [Chlorella variabilis], XP_005846374.1 hypothetical protein CHLNCDRAFT_135840 [Chlorella variabilis]
OG0000302	KAF8057147.1 CIP111 [Scenedesmus sp. PABB004]	XP_005842935.1 hypothetical protein CHLNCDRAFT_6977_ partial [Chlorella variabilis]
OG0000302	KAF8061103.1 hypothetical protein HT031_004564 [Scenedesmus sp. PABB004]	XP_005850901.1 hypothetical protein CHLNCDRAFT_140589 [Chlorella variabilis]
OG0000303	KAF8070929.1 G6PD5 [Scenedesmus sp. PABB004]	XP_005845930.1 hypothetical protein CHLNCDRAFT_36395 [Chlorella variabilis]
OG0000303	KAF8072377.1 G6PD2 [Scenedesmus sp. PABB004]	XP_005846848.1 hypothetical protein CHLNCDRAFT_134643 [Chlorella variabilis]
OG0000304	KAF8057938.1 DRP3A [Scenedesmus sp. PABB004]	XP_005845253.1 hypothetical protein CHLNCDRAFT_136923 [Chlorella variabilis]
OG0000305	KAF8065487.1 RNR2B [Scenedesmus sp. PABB004]	XP_005844889.1 hypothetical protein CHLNCDRAFT_10712_ partial [Chlorella variabilis]
OG0000305	KAF8069399.1 Ribonucleoside-diphosphate reductase small chain [Scenedesmus sp. PABB004]	XP_005850889.1 hypothetical protein CHLNCDRAFT_34102 [Chlorella variabilis]
OG0000307	KAF8057152.1 hypothetical protein HT031_006161 [Scenedesmus sp. PABB004]	XP_005848304.1 hypothetical protein CHLNCDRAFT_144950 [Chlorella variabilis]
