Orthogroup	Duplications (all)	Duplications (50% support)
OG0001395	1	0
OG0001396	2	2
OG0001397	1	1
OG0001398	1	0
OG0001399	3	2
OG0001400	1	1
OG0001401	2	2
OG0001402	3	2
OG0001403	2	2
OG0001404	2	2
OG0001405	1	0
OG0001406	1	1
OG0001407	3	3
OG0001408	1	1
OG0001409	1	0
OG0001410	2	1
OG0001411	2	2
OG0001412	2	1
OG0001413	2	1
OG0001414	2	2
OG0001415	2	2
OG0001416	3	2
OG0001417	1	1
OG0001418	3	3
OG0001419	2	1
OG0001420	1	1
OG0001421	1	1
OG0001422	1	1
OG0001423	4	4
OG0001424	1	1
OG0001425	1	1
OG0001426	1	1
OG0001427	1	1
OG0001428	1	1
OG0001429	3	2
OG0001430	2	2
OG0001431	2	2
OG0001432	3	3
OG0001433	3	3
OG0001434	3	2
OG0001435	2	2
OG0001436	2	0
OG0001437	3	3
OG0001438	2	1
OG0001439	2	1
OG0001440	2	2
OG0001441	2	0
OG0001442	2	0
OG0001443	1	0
OG0001444	4	4
OG0001445	1	1
OG0001446	1	0
OG0001447	2	2
OG0001448	3	2
OG0001449	1	1
OG0001450	2	2
OG0001451	3	3
OG0001452	2	2
OG0001453	2	2
OG0001454	3	2
OG0001455	1	1
OG0001456	1	1
OG0001457	3	2
OG0001458	2	2
OG0001459	2	1
OG0001460	1	0
OG0001461	3	2
OG0001462	2	2
OG0001463	4	4
OG0001464	3	2
OG0001465	1	1
OG0001466	1	0
OG0001467	3	3
OG0001468	1	0
OG0001469	1	0
OG0001470	1	0
OG0001471	3	3
OG0001472	2	0
OG0001473	1	1
OG0001474	2	2
OG0001475	1	1
OG0001476	1	1
OG0001477	1	1
OG0001478	2	2
OG0001479	2	2
OG0001480	2	2
OG0001481	2	2
OG0001482	1	1
OG0001483	1	0
OG0001484	4	4
OG0001485	2	2
OG0001486	1	0
OG0001487	2	2
OG0001488	1	1
OG0001489	3	3
OG0001490	2	1
OG0001491	2	2
OG0001492	1	1
OG0001493	1	1
OG0001494	1	0
OG0001495	3	3
OG0001496	2	2
OG0001497	2	2
OG0001498	1	0
OG0001499	2	1
OG0001500	3	2
OG0001501	3	3
OG0001502	2	2
OG0001503	2	2
OG0001504	1	0
OG0001505	1	0
OG0001506	1	0
OG0001507	2	2
OG0001508	3	3
OG0001509	3	2
OG0001510	2	1
OG0001511	1	0
OG0001512	2	1
OG0001513	1	1
OG0001514	1	1
OG0001515	2	2
OG0001516	3	3
OG0001517	3	3
OG0001518	1	1
OG0001519	1	1
OG0001520	4	4
OG0001521	2	2
OG0001522	2	1
OG0001523	1	1
OG0001524	2	2
OG0001525	2	2
OG0001526	1	1
OG0001527	1	1
OG0001528	1	1
OG0001529	1	1
OG0001530	2	2
OG0001531	3	3
OG0001532	2	2
OG0001533	1	1
OG0001534	1	1
OG0001535	3	3
OG0001536	1	0
OG0001537	2	2
OG0001538	2	2
OG0001539	1	0
OG0001540	3	3
OG0001541	2	2
OG0001542	2	2
OG0001543	2	2
OG0001544	2	2
OG0001545	1	1
OG0001546	1	1
OG0001547	3	3
OG0001548	3	3
OG0001549	1	1
OG0001550	1	0
OG0001551	2	1
OG0001552	2	2
OG0001553	2	0
OG0001554	1	1
OG0001555	4	3
OG0001556	1	1
OG0001557	2	1
OG0001558	2	1
OG0001559	2	1
OG0001560	1	0
OG0001561	1	1
OG0001562	1	1
OG0001563	2	1
OG0001564	3	1
OG0001565	1	0
OG0001566	1	1
OG0001567	2	2
OG0001568	2	2
OG0001569	2	2
OG0001570	6	6
OG0001571	1	1
OG0001572	2	1
OG0001573	1	0
OG0001574	2	2
OG0001575	1	0
OG0001576	1	1
OG0001577	3	3
OG0001578	2	2
OG0001579	1	1
OG0001580	2	1
OG0001581	1	0
OG0001582	1	1
OG0001583	2	2
OG0001584	3	3
OG0001585	2	1
OG0001586	1	1
OG0001587	3	3
OG0001588	3	3
OG0001589	2	2
OG0001590	3	1
OG0001591	1	1
OG0001592	1	1
OG0001593	1	0
OG0001594	2	1
OG0001595	1	1
OG0001596	1	0
OG0001597	2	0
OG0001598	3	3
OG0001599	2	2
OG0001600	4	2
OG0001601	4	4
OG0001602	1	0
OG0001603	2	1
OG0001604	6	6
OG0001605	3	2
OG0001606	2	2
OG0001607	1	0
OG0001608	2	2
OG0001609	6	6
OG0001610	4	4
OG0001611	1	1
OG0001612	1	0
OG0001613	2	0
OG0001614	5	4
OG0001615	2	1
OG0001616	3	3
OG0001617	5	5
OG0001618	2	1
OG0001619	3	2
OG0001620	1	0
OG0001621	1	0
OG0001622	3	2
OG0001623	4	4
OG0001624	4	4
OG0001625	3	3
OG0001626	6	6
OG0001627	5	5
OG0001628	4	3
OG0001629	3	3
OG0001630	2	1
OG0001631	3	2
OG0001632	4	3
OG0001633	4	4
OG0001634	4	3
OG0001635	2	1
OG0001636	3	3
OG0001637	6	6
OG0001638	3	2
OG0001639	4	2
OG0001640	4	3
OG0001641	3	3
OG0001642	3	3
OG0001643	7	7
OG0001644	5	5
OG0001645	3	1
OG0001646	2	2
OG0001647	4	4
OG0001648	6	6
OG0001649	2	2
OG0001650	4	4
OG0001651	4	2
OG0001652	4	4
OG0001653	5	5
OG0001654	2	1
OG0001655	4	4
OG0001656	4	4
OG0001657	5	5
OG0001658	10	10
OG0001659	8	8
OG0001660	8	8
OG0001661	10	10
OG0001662	10	10
OG0001663	10	10
OG0001664	2	2
OG0001665	1	1
OG0001666	0	0
OG0001667	1	1
OG0001668	1	1
OG0001669	2	2
OG0001670	0	0
OG0001671	1	0
OG0001672	1	1
OG0001673	1	1
OG0001674	1	0
OG0001675	1	1
OG0001676	0	0
OG0001677	0	0
OG0001678	1	1
OG0001679	1	0
OG0001680	2	2
OG0001681	0	0
OG0001682	1	1
OG0001683	1	1
OG0001684	0	0
OG0001685	1	0
OG0001686	0	0
OG0001687	0	0
OG0001688	4	2
OG0001689	0	0
OG0001690	1	1
OG0001691	1	0
OG0001692	1	1
OG0001693	2	2
OG0001694	0	0
OG0001695	1	0
OG0001696	3	1
OG0001697	2	2
OG0001698	0	0
OG0001699	2	2
OG0001700	0	0
OG0001701	1	1
OG0001702	0	0
OG0001703	0	0
OG0001704	0	0
OG0001705	0	0
OG0001706	1	1
OG0001707	2	2
OG0001708	1	1
OG0001709	0	0
OG0001710	2	2
OG0001711	1	1
OG0001712	0	0
OG0001713	0	0
OG0001714	1	1
OG0001715	0	0
OG0001716	0	0
OG0001717	1	0
OG0001718	2	1
OG0001719	0	0
OG0001720	1	1
OG0001721	2	2
OG0001722	2	2
OG0001723	2	2
OG0001724	0	0
OG0001725	3	3
OG0001726	2	2
OG0001727	1	0
OG0001728	0	0
OG0001729	1	1
OG0001730	1	1
OG0001731	2	0
OG0001732	1	1
OG0001733	1	0
OG0001734	2	1
OG0001735	2	2
OG0001736	2	2
OG0001737	0	0
OG0001738	1	1
OG0001739	1	0
OG0001740	1	0
OG0001741	2	2
OG0001742	2	2
OG0001743	0	0
OG0001744	0	0
OG0001745	2	2
OG0001746	1	0
OG0001747	1	0
OG0001748	0	0
OG0001749	4	2
OG0001750	0	0
OG0001751	0	0
OG0001752	2	1
OG0001753	1	0
OG0001754	1	0
OG0001755	1	0
OG0001756	0	0
OG0001757	2	2
OG0001758	1	1
OG0001759	3	2
OG0001760	0	0
OG0001761	2	1
OG0001762	1	1
OG0001763	0	0
OG0001764	3	1
OG0001765	2	2
OG0001766	1	1
OG0001767	1	0
OG0001768	2	2
OG0001769	2	2
OG0001770	0	0
OG0001771	2	2
OG0001772	1	1
OG0001773	2	1
OG0001774	2	2
OG0001775	3	2
OG0001776	3	3
OG0001777	1	1
OG0001778	0	0
OG0001779	1	1
OG0001780	0	0
OG0001781	1	1
OG0001782	1	1
OG0001783	0	0
OG0001784	2	2
OG0001785	1	1
OG0001786	1	1
OG0001787	2	2
OG0001788	0	0
OG0001789	1	1
OG0001790	0	0
OG0001791	1	0
OG0001792	0	0
OG0001793	2	2
OG0001794	0	0
OG0001795	1	1
OG0001796	2	1
OG0001797	1	1
OG0001798	1	0
OG0001799	2	1
OG0001800	2	2
OG0001801	0	0
OG0001802	1	0
OG0001803	1	1
OG0001804	2	2
OG0001805	1	1
OG0001806	0	0
OG0001807	1	0
OG0001808	4	4
OG0001809	1	1
OG0001810	1	1
OG0001811	1	0
OG0001812	0	0
OG0001813	0	0
OG0001814	3	3
OG0001815	2	2
OG0001816	2	2
OG0001817	1	1
OG0001818	0	0
OG0001819	1	1
OG0001820	2	0
OG0001821	0	0
OG0001822	2	2
OG0001823	2	2
OG0001824	0	0
OG0001825	1	1
OG0001826	0	0
OG0001827	1	1
OG0001828	1	1
OG0001829	1	1
OG0001830	1	1
OG0001831	1	1
OG0001832	1	1
OG0001833	1	1
OG0001834	1	0
OG0001835	2	2
OG0001836	4	1
OG0001837	0	0
OG0001838	0	0
OG0001839	1	1
OG0001840	2	1
OG0001841	0	0
OG0001842	0	0
OG0001843	0	0
OG0001844	1	1
OG0001845	0	0
OG0001846	1	1
OG0001847	0	0
OG0001848	1	0
OG0001849	0	0
OG0001850	2	1
OG0001851	1	0
OG0001852	2	1
OG0001853	2	1
OG0001854	1	0
OG0001855	0	0
OG0001856	0	0
OG0001857	0	0
OG0001858	0	0
OG0001859	2	2
OG0001860	0	0
OG0001861	0	0
OG0001862	0	0
OG0001863	0	0
OG0001864	0	0
OG0001865	1	1
OG0001866	1	0
OG0001867	0	0
OG0001868	0	0
OG0001869	1	0
OG0001870	0	0
OG0001871	1	1
OG0001872	1	1
OG0001873	1	1
OG0001874	0	0
OG0001875	1	1
OG0001876	1	1
OG0001877	1	1
OG0001878	1	0
OG0001879	0	0
OG0001880	0	0
OG0001881	2	2
OG0001882	1	1
OG0001883	0	0
OG0001884	2	2
OG0001885	1	1
OG0001886	2	1
OG0001887	0	0
OG0001888	0	0
OG0001889	1	1
OG0001890	1	1
OG0001891	2	2
OG0001892	1	1
OG0001893	0	0
OG0001894	1	1
OG0001895	0	0
OG0001896	2	2
OG0001897	1	1
OG0001898	1	1
OG0001899	2	1
OG0001900	0	0
OG0001901	2	2
OG0001902	0	0
OG0001903	1	1
OG0001904	1	1
OG0001905	2	2
OG0001906	1	1
OG0001907	0	0
OG0001908	3	2
OG0001909	1	0
OG0001910	2	2
OG0001911	0	0
OG0001912	1	0
OG0001913	1	1
OG0001914	1	1
OG0001915	0	0
OG0001916	0	0
OG0001917	0	0
OG0001918	0	0
OG0001919	0	0
OG0001920	0	0
OG0001921	0	0
OG0001922	0	0
OG0001923	1	1
OG0001924	1	1
OG0001925	1	1
OG0001926	2	2
OG0001927	2	2
OG0001928	0	0
OG0001929	1	1
OG0001930	1	1
OG0001931	1	1
OG0001932	2	2
OG0001933	1	0
OG0001934	0	0
OG0001935	0	0
OG0001936	0	0
OG0001937	0	0
OG0001938	1	1
OG0001939	1	0
OG0001940	2	2
OG0001941	1	1
OG0001942	1	1
OG0001943	0	0
OG0001944	1	1
OG0001945	0	0
OG0001946	0	0
OG0001947	0	0
OG0001948	1	1
OG0001949	2	2
OG0001950	2	2
OG0001951	0	0
OG0001952	0	0
OG0001953	2	0
OG0001954	1	1
OG0001955	1	1
OG0001956	0	0
OG0001957	2	2
OG0001958	1	1
OG0001959	2	1
OG0001960	0	0
OG0001961	0	0
OG0001962	2	2
OG0001963	2	2
OG0001964	1	0
OG0001965	1	1
OG0001966	1	0
OG0001967	0	0
OG0001968	1	0
OG0001969	0	0
OG0001970	0	0
OG0001971	2	2
OG0001972	1	1
OG0001973	0	0
OG0001974	1	1
OG0001975	1	1
OG0001976	1	1
OG0001977	2	2
OG0001978	2	2
OG0001979	0	0
OG0001980	0	0
OG0001981	1	1
OG0001982	1	1
OG0001983	2	0
OG0001984	2	2
OG0001985	3	2
OG0001986	0	0
OG0001987	1	1
OG0001988	1	1
OG0001989	2	2
OG0001990	1	1
OG0001991	1	1
OG0001992	1	1
OG0001993	0	0
OG0001994	1	1
OG0001995	0	0
OG0001996	0	0
OG0001997	1	1
OG0001998	1	1
OG0001999	1	1
OG0002000	0	0
OG0002001	0	0
OG0002002	2	2
OG0002003	0	0
OG0002004	0	0
OG0002005	0	0
OG0002006	0	0
OG0002007	0	0
OG0002008	0	0
OG0002009	1	1
OG0002010	1	1
OG0002011	0	0
OG0002012	0	0
OG0002013	0	0
OG0002014	1	1
OG0002015	0	0
OG0002016	1	1
OG0002017	1	1
OG0002018	0	0
OG0002019	1	1
OG0002020	1	1
OG0002021	1	1
OG0002022	1	1
OG0002023	0	0
OG0002024	0	0
OG0002025	2	2
OG0002026	0	0
OG0002027	0	0
OG0002028	0	0
OG0002029	0	0
OG0002030	1	0
OG0002031	1	1
OG0002032	0	0
OG0002033	1	1
OG0002034	2	2
OG0002035	0	0
OG0002036	1	0
OG0002037	1	1
OG0002038	2	2
OG0002039	1	1
OG0002040	0	0
OG0002041	1	1
OG0002042	1	0
OG0002043	0	0
OG0002044	2	2
OG0002045	2	1
OG0002046	0	0
OG0002047	2	1
OG0002048	1	1
OG0002049	1	1
OG0002050	1	0
OG0002051	0	0
OG0002052	1	0
OG0002053	1	1
OG0002054	2	2
OG0002055	2	2
OG0002056	1	0
OG0002057	2	1
OG0002058	1	1
OG0002059	1	0
OG0002060	3	3
OG0002061	2	2
OG0002062	2	2
OG0002063	0	0
OG0002064	1	0
OG0002065	2	2
OG0002066	1	1
OG0002067	2	2
OG0002068	1	1
OG0002069	1	1
OG0002070	1	1
OG0002071	2	2
OG0002072	0	0
OG0002073	1	0
OG0002074	0	0
OG0002075	0	0
OG0002076	1	1
OG0002077	2	2
OG0002078	2	1
OG0002079	1	1
OG0002080	0	0
OG0002081	0	0
OG0002082	0	0
OG0002083	1	1
OG0002084	1	0
OG0002085	2	2
OG0002086	1	0
OG0002087	2	2
OG0002088	0	0
OG0002089	1	1
OG0002090	0	0
OG0002091	2	2
OG0002092	0	0
OG0002093	1	1
OG0002094	2	2
OG0002095	0	0
OG0002096	3	2
OG0002097	1	1
OG0002098	1	1
OG0002099	1	1
OG0002100	2	2
OG0002101	2	1
OG0002102	1	1
OG0002103	0	0
OG0002104	1	1
OG0002105	0	0
OG0002106	1	1
OG0002107	1	1
OG0002108	2	2
OG0002109	1	1
OG0002110	0	0
OG0002111	1	1
OG0002112	0	0
OG0002113	3	3
OG0002114	2	2
OG0002115	1	1
OG0002116	1	1
OG0002117	3	2
OG0002118	1	1
OG0002119	1	1
OG0002120	1	1
OG0002121	1	1
OG0002122	0	0
OG0002123	0	0
OG0002124	0	0
OG0002125	1	1
OG0002126	1	0
OG0002127	0	0
OG0002128	0	0
OG0002129	3	2
OG0002130	1	1
OG0002131	0	0
OG0002132	1	1
OG0002133	1	1
OG0002134	1	0
OG0002135	1	1
OG0002136	2	2
OG0002137	1	1
OG0002138	0	0
OG0002139	0	0
OG0002140	2	2
OG0002141	0	0
OG0002142	1	1
OG0002143	2	2
OG0002144	0	0
OG0002145	1	1
OG0002146	0	0
OG0002147	0	0
OG0002148	1	1
OG0002149	0	0
OG0002150	1	1
OG0002151	5	4
OG0002152	1	1
OG0002153	1	1
OG0002154	1	1
OG0002155	1	1
OG0002156	1	1
OG0002157	1	1
OG0002158	0	0
OG0002159	0	0
OG0002160	1	1
OG0002161	0	0
OG0002162	0	0
OG0002163	1	1
OG0002164	1	0
OG0002165	0	0
OG0002166	1	1
OG0002167	1	1
OG0002168	2	2
OG0002169	0	0
OG0002170	2	2
OG0002171	0	0
OG0002172	0	0
OG0002173	0	0
OG0002174	1	1
OG0002175	0	0
OG0002176	1	1
OG0002177	0	0
OG0002178	1	1
OG0002179	1	1
OG0002180	0	0
OG0002181	0	0
OG0002182	0	0
OG0002183	1	1
OG0002184	1	1
OG0002185	0	0
OG0002186	1	1
OG0002187	2	0
OG0002188	1	0
OG0002189	1	0
OG0002190	1	1
OG0002191	1	1
OG0002192	1	1
OG0002193	2	1
OG0002194	1	1
OG0002195	0	0
OG0002196	1	0
OG0002197	1	1
OG0002198	1	1
OG0002199	1	0
OG0002200	3	2
OG0002201	0	0
OG0002202	1	1
OG0002203	1	1
OG0002204	1	1
OG0002205	0	0
OG0002206	0	0
OG0002207	2	2
OG0002208	2	1
OG0002209	2	2
OG0002210	2	2
OG0002211	0	0
OG0002212	0	0
OG0002213	1	1
OG0002214	1	1
OG0002215	1	1
OG0002216	0	0
OG0002217	1	1
OG0002218	1	1
OG0002219	0	0
OG0002220	2	2
OG0002221	0	0
OG0002222	2	2
OG0002223	0	0
OG0002224	1	1
OG0002225	2	2
OG0002226	2	2
OG0002227	0	0
OG0002228	0	0
OG0002229	1	1
OG0002230	1	1
OG0002231	1	1
OG0002232	0	0
OG0002233	0	0
OG0002234	3	3
OG0002235	0	0
OG0002236	1	1
OG0002237	1	1
OG0002238	0	0
OG0002239	2	2
OG0002240	3	3
OG0002241	0	0
OG0002242	1	0
OG0002243	0	0
OG0002244	2	1
OG0002245	1	0
OG0002246	1	1
OG0002247	2	2
OG0002248	1	1
OG0002249	1	1
OG0002250	1	1
OG0002251	1	1
OG0002252	2	2
OG0002253	7	7
OG0002254	2	2
OG0002255	6	6
OG0002256	2	2
OG0002257	1	1
OG0002258	2	1
OG0002259	2	2
OG0002260	3	3
OG0002261	1	0
OG0002262	1	1
OG0002263	2	1
OG0002264	2	1
OG0002265	2	2
OG0002266	2	1
OG0002267	2	1
OG0002268	3	3
OG0002269	3	1
OG0002270	2	2
OG0002271	1	0
OG0002272	1	0
OG0002273	1	0
OG0002274	2	0
OG0002275	2	2
OG0002276	3	3
OG0002277	1	1
OG0002278	1	1
OG0002279	4	4
OG0002280	1	1
OG0002281	2	2
OG0002282	1	0
OG0002283	3	2
OG0002284	5	3
OG0002285	1	1
OG0002286	1	0
OG0002287	4	3
OG0002288	2	2
OG0002289	3	3
OG0002290	3	3
OG0002291	2	1
OG0002292	6	6
OG0002293	3	3
OG0002294	1	0
OG0002295	7	7
OG0002296	3	3
OG0002297	3	2
OG0002298	2	2
OG0002299	1	1
OG0002300	2	0
OG0002301	2	2
OG0002302	4	4
OG0002303	2	2
OG0002304	3	2
OG0002305	3	3
OG0002306	5	5
OG0002307	2	1
OG0002308	3	3
OG0002309	3	3
OG0002310	7	7
OG0002311	6	6
OG0002312	3	3
OG0002313	3	2
OG0002314	1	0
OG0002315	3	3
OG0002316	4	4
OG0002317	2	1
OG0002318	3	3
OG0002319	4	2
OG0002320	1	1
OG0002321	4	4
OG0002322	7	7
OG0002323	3	3
OG0002324	5	4
OG0002325	1	0
OG0002326	3	3
OG0002327	3	2
OG0002328	2	1
OG0002329	3	3
OG0002330	3	3
OG0002331	3	3
OG0002332	2	2
OG0002333	1	1
OG0002334	2	2
OG0002335	3	3
OG0002336	2	2
OG0002337	5	5
OG0002338	4	4
OG0002339	2	2
OG0002340	3	3
OG0002341	3	3
OG0002342	3	3
OG0002343	3	2
OG0002344	3	3
OG0002345	9	9
OG0002346	4	3
OG0002347	8	8
OG0002348	1	0
OG0002349	5	5
OG0002350	2	0
OG0002351	5	3
OG0002352	9	9
OG0002353	9	9
OG0002354	9	9
OG0002355	6	6
OG0002356	5	3
OG0002357	9	9
OG0002358	9	9
OG0002359	9	9
OG0002360	7	7
OG0002361	7	7
OG0002362	9	9
OG0002363	8	8
OG0002364	7	7
OG0002365	8	8
OG0002366	0	0
OG0002367	0	0
OG0002368	1	1
OG0002369	0	0
OG0002370	0	0
OG0002371	0	0
OG0002372	0	0
OG0002373	2	2
OG0002374	0	0
OG0002375	0	0
OG0002376	1	1
OG0002377	0	0
OG0002378	0	0
OG0002379	0	0
OG0002380	1	1
OG0002381	0	0
OG0002382	0	0
OG0002383	0	0
OG0002384	1	1
OG0002385	0	0
OG0002386	0	0
OG0002387	1	1
OG0002388	0	0
OG0002389	2	2
OG0002390	1	0
OG0002391	0	0
OG0002392	0	0
OG0002393	1	1
OG0002394	1	1
OG0002395	3	3
OG0002396	0	0
OG0002397	1	1
OG0002398	0	0
OG0002399	0	0
OG0002400	0	0
OG0002401	1	1
OG0002402	1	1
OG0002403	0	0
OG0002404	0	0
OG0002405	0	0
OG0002406	0	0
OG0002407	0	0
OG0002408	1	1
OG0002409	0	0
OG0002410	0	0
OG0002411	0	0
OG0002412	1	1
OG0002413	0	0
OG0002414	0	0
OG0002415	0	0
OG0002416	0	0
OG0002417	0	0
OG0002418	0	0
OG0002419	2	0
OG0002420	2	1
OG0002421	0	0
OG0002422	0	0
OG0002423	0	0
OG0002424	0	0
OG0002425	2	2
OG0002426	0	0
OG0002427	0	0
OG0002428	0	0
OG0002429	0	0
OG0002430	0	0
OG0002431	1	1
OG0002432	0	0
OG0002433	0	0
OG0002434	0	0
OG0002435	0	0
OG0002436	1	1
OG0002437	1	1
OG0002438	1	1
OG0002439	0	0
OG0002440	0	0
OG0002441	0	0
OG0002442	1	0
OG0002443	1	1
OG0002444	2	2
OG0002445	0	0
OG0002446	1	1
OG0002447	0	0
OG0002448	0	0
OG0002449	1	1
OG0002450	0	0
OG0002451	0	0
OG0002452	1	1
OG0002453	2	2
OG0002454	0	0
OG0002455	1	0
OG0002456	0	0
OG0002457	1	0
OG0002458	1	1
OG0002459	1	1
OG0002460	1	1
OG0002461	0	0
OG0002462	1	1
OG0002463	0	0
OG0002464	0	0
OG0002465	0	0
OG0002466	2	2
OG0002467	1	1
OG0002468	2	2
OG0002469	2	1
OG0002470	0	0
OG0002471	0	0
OG0002472	0	0
OG0002473	0	0
OG0002474	0	0
OG0002475	1	1
OG0002476	1	1
OG0002477	1	1
OG0002478	2	1
OG0002479	0	0
OG0002480	1	0
OG0002481	1	1
OG0002482	0	0
OG0002483	0	0
OG0002484	0	0
OG0002485	0	0
OG0002486	0	0
OG0002487	1	1
OG0002488	2	2
OG0002489	0	0
OG0002490	0	0
OG0002491	0	0
OG0002492	0	0
OG0002493	0	0
OG0002494	0	0
OG0002495	1	1
OG0002496	1	1
OG0002497	2	2
OG0002498	1	1
OG0002499	3	2
OG0002500	0	0
OG0002501	0	0
OG0002502	0	0
OG0002503	0	0
OG0002504	1	1
OG0002505	1	1
OG0002506	1	1
OG0002507	0	0
OG0002508	0	0
OG0002509	0	0
OG0002510	2	2
OG0002511	3	3
OG0002512	2	1
OG0002513	0	0
OG0002514	0	0
OG0002515	2	2
OG0002516	0	0
OG0002517	1	1
OG0002518	0	0
OG0002519	1	1
OG0002520	0	0
OG0002521	1	1
OG0002522	1	1
OG0002523	1	1
OG0002524	0	0
OG0002525	0	0
OG0002526	1	1
OG0002527	0	0
OG0002528	2	2
OG0002529	0	0
OG0002530	0	0
OG0002531	1	1
OG0002532	0	0
OG0002533	0	0
OG0002534	1	1
OG0002535	1	1
OG0002536	0	0
OG0002537	2	2
OG0002538	0	0
OG0002539	1	1
OG0002540	0	0
OG0002541	1	1
OG0002542	2	2
OG0002543	0	0
OG0002544	0	0
OG0002545	1	1
OG0002546	0	0
OG0002547	1	0
OG0002548	0	0
OG0002549	0	0
OG0002550	0	0
OG0002551	0	0
OG0002552	1	1
OG0002553	1	1
OG0002554	1	1
OG0002555	1	1
OG0002556	1	1
OG0002557	0	0
OG0002558	0	0
OG0002559	1	1
OG0002560	4	2
OG0002561	0	0
OG0002562	0	0
OG0002563	0	0
OG0002564	0	0
OG0002565	0	0
OG0002566	2	2
OG0002567	1	1
OG0002568	1	1
OG0002569	0	0
OG0002570	0	0
OG0002571	1	1
OG0002572	0	0
OG0002573	0	0
OG0002574	0	0
OG0002575	0	0
OG0002576	3	3
OG0002577	0	0
OG0002578	1	0
OG0002579	2	2
OG0002580	0	0
OG0002581	1	1
OG0002582	0	0
OG0002583	1	1
OG0002584	0	0
OG0002585	2	2
OG0002586	0	0
OG0002587	1	1
OG0002588	1	1
OG0002589	1	0
OG0002590	0	0
OG0002591	1	1
OG0002592	0	0
OG0002593	1	1
OG0002594	1	0
OG0002595	0	0
OG0002596	1	1
OG0002597	0	0
OG0002598	1	1
OG0002599	1	1
OG0002600	0	0
OG0002601	0	0
OG0002602	0	0
OG0002603	1	0
OG0002604	1	1
OG0002605	2	2
OG0002606	1	1
OG0002607	1	0
OG0002608	0	0
OG0002609	0	0
OG0002610	0	0
OG0002611	0	0
OG0002612	1	1
OG0002613	0	0
OG0002614	0	0
OG0002615	0	0
OG0002616	0	0
OG0002617	1	0
OG0002618	1	1
OG0002619	1	1
OG0002620	1	1
OG0002621	3	3
OG0002622	0	0
OG0002623	0	0
OG0002624	2	2
OG0002625	2	2
OG0002626	0	0
OG0002627	0	0
OG0002628	1	1
OG0002629	1	1
OG0002630	1	1
OG0002631	1	1
OG0002632	0	0
OG0002633	0	0
OG0002634	0	0
OG0002635	0	0
OG0002636	1	1
OG0002637	0	0
OG0002638	1	1
OG0002639	1	1
OG0002640	1	1
OG0002641	0	0
OG0002642	0	0
OG0002643	1	1
OG0002644	1	1
OG0002645	1	1
OG0002646	0	0
OG0002647	1	1
OG0002648	0	0
OG0002649	0	0
OG0002650	2	1
OG0002651	0	0
OG0002652	0	0
OG0002653	2	2
OG0002654	0	0
OG0002655	2	2
OG0002656	0	0
OG0002657	0	0
OG0002658	0	0
OG0002659	0	0
OG0002660	1	1
OG0002661	0	0
OG0002662	1	0
OG0002663	0	0
OG0002664	1	1
OG0002665	0	0
OG0002666	1	1
OG0002667	1	1
OG0002668	1	1
OG0002669	0	0
OG0002670	0	0
OG0002671	1	1
OG0002672	0	0
OG0002673	0	0
OG0002674	0	0
OG0002675	1	1
OG0002676	1	1
OG0002677	0	0
OG0002678	1	1
OG0002679	1	0
OG0002680	0	0
OG0002681	2	2
OG0002682	0	0
OG0002683	1	1
OG0002684	0	0
OG0002685	0	0
OG0002686	0	0
OG0002687	0	0
OG0002688	0	0
OG0002689	1	0
OG0002690	0	0
OG0002691	0	0
OG0002692	0	0
OG0002693	0	0
OG0002694	1	1
OG0002695	0	0
OG0002696	4	4
OG0002697	0	0
OG0002698	1	1
OG0002699	1	1
OG0002700	2	0
OG0002701	0	0
OG0002702	0	0
OG0002703	0	0
OG0002704	0	0
OG0002705	1	1
OG0002706	1	1
OG0002707	0	0
OG0002708	2	2
OG0002709	1	1
OG0002710	0	0
OG0002711	1	1
OG0002712	1	1
OG0002713	0	0
OG0002714	0	0
OG0002715	0	0
OG0002716	0	0
OG0002717	2	2
OG0002718	1	0
OG0002719	0	0
OG0002720	0	0
OG0002721	0	0
OG0002722	0	0
OG0002723	0	0
OG0002724	1	1
OG0002725	0	0
OG0002726	1	1
OG0002727	0	0
OG0002728	0	0
OG0002729	0	0
OG0002730	1	1
OG0002731	0	0
OG0002732	1	1
OG0002733	1	1
OG0002734	1	0
OG0002735	0	0
OG0002736	0	0
OG0002737	0	0
OG0002738	1	1
OG0002739	1	0
OG0002740	0	0
OG0002741	0	0
OG0002742	1	0
OG0002743	0	0
OG0002744	1	0
OG0002745	1	1
OG0002746	0	0
OG0002747	0	0
OG0002748	0	0
OG0002749	1	1
OG0002750	0	0
OG0002751	1	1
OG0002752	1	1
OG0002753	0	0
OG0002754	0	0
OG0002755	1	0
OG0002756	0	0
OG0002757	0	0
OG0002758	0	0
OG0002759	0	0
OG0002760	2	1
OG0002761	0	0
OG0002762	0	0
OG0002763	1	1
OG0002764	1	1
OG0002765	0	0
OG0002766	1	1
OG0002767	0	0
OG0002768	0	0
OG0002769	0	0
OG0002770	0	0
OG0002771	0	0
OG0002772	0	0
OG0002773	0	0
OG0002774	0	0
OG0002775	0	0
OG0002776	0	0
OG0002777	0	0
OG0002778	0	0
OG0002779	0	0
OG0002780	1	1
OG0002781	0	0
OG0002782	0	0
OG0002783	0	0
OG0002784	1	1
OG0002785	0	0
OG0002786	1	1
OG0002787	0	0
OG0002788	1	1
OG0002789	0	0
OG0002790	1	0
OG0002791	0	0
