Orthogroup	Chlorella_VariabilisNC64A	Auxenochlorella_protothecoides
OG0001129	XP_005842688.1 hypothetical protein CHLNCDRAFT_55749_ partial [Chlorella variabilis]	RMZ56079.1 hypothetical protein APUTEX25_004503 [Auxenochlorella protothecoides]
OG0001130	XP_005844831.1 hypothetical protein CHLNCDRAFT_138271 [Chlorella variabilis], XP_005844944.1 hypothetical protein CHLNCDRAFT_138293 [Chlorella variabilis]	RMZ53568.1 hypothetical protein APUTEX25_003390_ partial [Auxenochlorella protothecoides]
OG0001131	XP_005850619.1 hypothetical protein CHLNCDRAFT_140581 [Chlorella variabilis]	RMZ53639.1 hypothetical protein APUTEX25_003173_ partial [Auxenochlorella protothecoides]
OG0001132	XP_005846543.1 hypothetical protein CHLNCDRAFT_135849 [Chlorella variabilis]	RMZ53666.1 hypothetical protein APUTEX25_003200 [Auxenochlorella protothecoides]
OG0001133	XP_005850993.1 hypothetical protein CHLNCDRAFT_19551_ partial [Chlorella variabilis]	RMZ53758.1 hypothetical protein APUTEX25_003897 [Auxenochlorella protothecoides]
OG0001134	XP_005849618.1 hypothetical protein CHLNCDRAFT_57288_ partial [Chlorella variabilis]	RMZ53762.1 hypothetical protein APUTEX25_003901 [Auxenochlorella protothecoides]
OG0001136	XP_005845172.1 hypothetical protein CHLNCDRAFT_137363 [Chlorella variabilis]	RMZ53790.1 hypothetical protein APUTEX25_003929_ partial [Auxenochlorella protothecoides]
OG0001137	XP_005846534.1 hypothetical protein CHLNCDRAFT_31829 [Chlorella variabilis]	RMZ53865.1 hypothetical protein APUTEX25_005611 [Auxenochlorella protothecoides]
OG0001138	XP_005848735.1 hypothetical protein CHLNCDRAFT_144423 [Chlorella variabilis]	RMZ53951.1 hypothetical protein APUTEX25_002528 [Auxenochlorella protothecoides]
OG0001139	XP_005851739.1 hypothetical protein CHLNCDRAFT_133102 [Chlorella variabilis]	RMZ53965.1 hypothetical protein APUTEX25_002542 [Auxenochlorella protothecoides]
OG0001140	XP_005845294.1 hypothetical protein CHLNCDRAFT_137012 [Chlorella variabilis]	RMZ53966.1 hypothetical protein APUTEX25_002543_ partial [Auxenochlorella protothecoides]
OG0001141	XP_005846320.1 hypothetical protein CHLNCDRAFT_53217 [Chlorella variabilis]	RMZ53969.1 hypothetical protein APUTEX25_002546_ partial [Auxenochlorella protothecoides]
OG0001142	XP_005847993.1 hypothetical protein CHLNCDRAFT_94487 [Chlorella variabilis]	RMZ53976.1 hypothetical protein APUTEX25_002553_ partial [Auxenochlorella protothecoides]
OG0001143	XP_005851851.1 hypothetical protein CHLNCDRAFT_133372 [Chlorella variabilis]	RMZ53994.1 hypothetical protein APUTEX25_002571_ partial [Auxenochlorella protothecoides]
OG0001144	XP_005846212.1 hypothetical protein CHLNCDRAFT_36301 [Chlorella variabilis]	RMZ54013.1 hypothetical protein APUTEX25_002590 [Auxenochlorella protothecoides]
OG0001145	XP_005848554.1 hypothetical protein CHLNCDRAFT_35207 [Chlorella variabilis]	RMZ54044.1 hypothetical protein APUTEX25_002621 [Auxenochlorella protothecoides]
OG0001146	XP_005851837.1 expressed protein [Chlorella variabilis]	RMZ54106.1 hypothetical protein APUTEX25_002683_ partial [Auxenochlorella protothecoides]
OG0001147	XP_005848453.1 expressed protein [Chlorella variabilis]	RMZ54146.1 hypothetical protein APUTEX25_005302 [Auxenochlorella protothecoides]
OG0001147	XP_005848452.1 hypothetical protein CHLNCDRAFT_144830 [Chlorella variabilis]	RMZ54175.1 hypothetical protein APUTEX25_005331 [Auxenochlorella protothecoides]
OG0001148	XP_005848997.1 hypothetical protein CHLNCDRAFT_35035 [Chlorella variabilis]	RMZ54181.1 hypothetical protein APUTEX25_005337_ partial [Auxenochlorella protothecoides]
OG0001149	XP_005845804.1 hypothetical protein CHLNCDRAFT_9713_ partial [Chlorella variabilis]	RMZ54206.1 hypothetical protein APUTEX25_005362_ partial [Auxenochlorella protothecoides]
OG0001150	XP_005844476.1 hypothetical protein CHLNCDRAFT_26822 [Chlorella variabilis]	RMZ54253.1 hypothetical protein APUTEX25_000604 [Auxenochlorella protothecoides]
OG0001151	XP_005844053.1 hypothetical protein CHLNCDRAFT_54799 [Chlorella variabilis]	RMZ54255.1 hypothetical protein APUTEX25_000606 [Auxenochlorella protothecoides]
OG0001152	XP_005843395.1 hypothetical protein CHLNCDRAFT_141234 [Chlorella variabilis]	RMZ54273.1 hypothetical protein APUTEX25_000624_ partial [Auxenochlorella protothecoides]
OG0001153	XP_005845244.1 hypothetical protein CHLNCDRAFT_36479 [Chlorella variabilis]	RMZ54312.1 hypothetical protein APUTEX25_001470 [Auxenochlorella protothecoides]
OG0001154	XP_005849664.1 hypothetical protein CHLNCDRAFT_143206 [Chlorella variabilis], XP_005851582.1 hypothetical protein CHLNCDRAFT_138089 [Chlorella variabilis]	RMZ54352.1 hypothetical protein APUTEX25_001928 [Auxenochlorella protothecoides]
OG0001155	XP_005843189.1 expressed protein [Chlorella variabilis], XP_005843188.1 expressed protein [Chlorella variabilis], XP_005843187.1 hypothetical protein CHLNCDRAFT_141472 [Chlorella variabilis]	RMZ54377.1 hypothetical protein APUTEX25_001953_ partial [Auxenochlorella protothecoides]
OG0001156	XP_005844964.1 hypothetical protein CHLNCDRAFT_26350 [Chlorella variabilis]	RMZ54381.1 hypothetical protein APUTEX25_001957_ partial [Auxenochlorella protothecoides]
OG0001157	XP_005847489.1 hypothetical protein CHLNCDRAFT_52604 [Chlorella variabilis], XP_005847490.1 hypothetical protein CHLNCDRAFT_134476 [Chlorella variabilis]	RMZ54435.1 hypothetical protein APUTEX25_002011_ partial [Auxenochlorella protothecoides]
OG0001158	XP_005846743.1 hypothetical protein CHLNCDRAFT_35907 [Chlorella variabilis]	RMZ54442.1 hypothetical protein APUTEX25_002018 [Auxenochlorella protothecoides]
OG0001159	XP_005851577.1 hypothetical protein CHLNCDRAFT_33905 [Chlorella variabilis]	RMZ54451.1 hypothetical protein APUTEX25_002027 [Auxenochlorella protothecoides]
OG0001160	XP_005844855.1 hypothetical protein CHLNCDRAFT_138349 [Chlorella variabilis]	RMZ55485.1 hypothetical protein APUTEX25_000068 [Auxenochlorella protothecoides]
OG0001160	XP_005844851.1 hypothetical protein CHLNCDRAFT_12440_ partial [Chlorella variabilis]	RMZ54452.1 hypothetical protein APUTEX25_002028 [Auxenochlorella protothecoides]
OG0001161	XP_005847996.1 hypothetical protein CHLNCDRAFT_35354_ partial [Chlorella variabilis]	RMZ54485.1 hypothetical protein APUTEX25_002061_ partial [Auxenochlorella protothecoides]
OG0001162	XP_005844995.1 hypothetical protein CHLNCDRAFT_138423 [Chlorella variabilis]	RMZ54493.1 hypothetical protein APUTEX25_002069 [Auxenochlorella protothecoides]
OG0001163	XP_005851326.1 hypothetical protein CHLNCDRAFT_18868_ partial [Chlorella variabilis], XP_005851327.1 expressed protein [Chlorella variabilis]	RMZ54518.1 hypothetical protein APUTEX25_002094 [Auxenochlorella protothecoides]
OG0001164	XP_005851517.1 hypothetical protein CHLNCDRAFT_137934 [Chlorella variabilis], XP_005845563.1 hypothetical protein CHLNCDRAFT_136725 [Chlorella variabilis]	RMZ54552.1 hypothetical protein APUTEX25_002127 [Auxenochlorella protothecoides]
OG0001164	XP_005846295.1 expressed protein_ partial [Chlorella variabilis]	RMZ54648.1 hypothetical protein APUTEX25_003026 [Auxenochlorella protothecoides]
OG0001165	XP_005851515.1 hypothetical protein CHLNCDRAFT_8842_ partial [Chlorella variabilis]	RMZ54564.1 hypothetical protein APUTEX25_002139 [Auxenochlorella protothecoides]
OG0001166	XP_005851224.1 hypothetical protein CHLNCDRAFT_18825 [Chlorella variabilis]	RMZ54569.1 hypothetical protein APUTEX25_002144_ partial [Auxenochlorella protothecoides]
OG0001167	XP_005850240.1 hypothetical protein CHLNCDRAFT_141896 [Chlorella variabilis]	RMZ54573.1 hypothetical protein APUTEX25_002148_ partial [Auxenochlorella protothecoides]
OG0001168	XP_005844532.1 hypothetical protein CHLNCDRAFT_138942 [Chlorella variabilis]	RMZ54636.1 hypothetical protein APUTEX25_003014 [Auxenochlorella protothecoides]
OG0001169	XP_005844526.1 hypothetical protein CHLNCDRAFT_58876 [Chlorella variabilis], XP_005844138.1 hypothetical protein CHLNCDRAFT_139224 [Chlorella variabilis]	RMZ54685.1 hypothetical protein APUTEX25_003063 [Auxenochlorella protothecoides]
OG0001170	XP_005844110.1 hypothetical protein CHLNCDRAFT_15163_ partial [Chlorella variabilis]	RMZ54694.1 hypothetical protein APUTEX25_003072 [Auxenochlorella protothecoides]
OG0001171	XP_005844538.1 expressed protein [Chlorella variabilis]	RMZ54700.1 hypothetical protein APUTEX25_003078 [Auxenochlorella protothecoides]
OG0001172	XP_005851155.1 hypothetical protein CHLNCDRAFT_137766 [Chlorella variabilis]	RMZ54721.1 hypothetical protein APUTEX25_003099_ partial [Auxenochlorella protothecoides]
OG0001173	XP_005846691.1 hypothetical protein CHLNCDRAFT_135424_ partial [Chlorella variabilis]	RMZ54809.1 hypothetical protein APUTEX25_000326 [Auxenochlorella protothecoides]
OG0001174	XP_005847557.1 hypothetical protein CHLNCDRAFT_57817 [Chlorella variabilis]	RMZ54876.1 hypothetical protein APUTEX25_000393_ partial [Auxenochlorella protothecoides]
OG0001175	XP_005850869.1 hypothetical protein CHLNCDRAFT_34079 [Chlorella variabilis]	RMZ54889.1 hypothetical protein APUTEX25_000406 [Auxenochlorella protothecoides]
OG0001176	XP_005849287.1 hypothetical protein CHLNCDRAFT_30552 [Chlorella variabilis]	RMZ54898.1 hypothetical protein APUTEX25_000415 [Auxenochlorella protothecoides]
OG0001177	XP_005846827.1 hypothetical protein CHLNCDRAFT_58206 [Chlorella variabilis]	RMZ54949.1 hypothetical protein APUTEX25_000466 [Auxenochlorella protothecoides]
OG0001178	XP_005847558.1 hypothetical protein CHLNCDRAFT_133793 [Chlorella variabilis], XP_005850749.1 hypothetical protein CHLNCDRAFT_11132_ partial [Chlorella variabilis]	RMZ54989.1 hypothetical protein APUTEX25_000506 [Auxenochlorella protothecoides]
OG0001179	XP_005849035.1 hypothetical protein CHLNCDRAFT_143460 [Chlorella variabilis], XP_005844778.1 hypothetical protein CHLNCDRAFT_54323 [Chlorella variabilis]	RMZ55009.1 hypothetical protein APUTEX25_005635 [Auxenochlorella protothecoides]
OG0001180	XP_005844712.1 hypothetical protein CHLNCDRAFT_138669 [Chlorella variabilis]	RMZ55021.1 hypothetical protein APUTEX25_005647_ partial [Auxenochlorella protothecoides]
OG0001181	XP_005843799.1 hypothetical protein CHLNCDRAFT_54966 [Chlorella variabilis], XP_005845068.1 hypothetical protein CHLNCDRAFT_137359 [Chlorella variabilis]	RMZ55041.1 hypothetical protein APUTEX25_005667 [Auxenochlorella protothecoides]
OG0001182	XP_005845336.1 hypothetical protein CHLNCDRAFT_32258 [Chlorella variabilis]	RMZ55047.1 hypothetical protein APUTEX25_005673 [Auxenochlorella protothecoides]
OG0001183	XP_005850413.1 hypothetical protein CHLNCDRAFT_7378_ partial [Chlorella variabilis]	RMZ55060.1 hypothetical protein APUTEX25_005686_ partial [Auxenochlorella protothecoides]
OG0001184	XP_005847408.1 hypothetical protein CHLNCDRAFT_134269 [Chlorella variabilis], XP_005845852.1 hypothetical protein CHLNCDRAFT_53533 [Chlorella variabilis]	RMZ55090.1 hypothetical protein APUTEX25_005716_ partial [Auxenochlorella protothecoides]
OG0001185	XP_005851637.1 hypothetical protein CHLNCDRAFT_138203 [Chlorella variabilis]	RMZ55109.1 hypothetical protein APUTEX25_005387 [Auxenochlorella protothecoides]
OG0001186	XP_005851328.1 hypothetical protein CHLNCDRAFT_59563 [Chlorella variabilis]	RMZ55116.1 hypothetical protein APUTEX25_005394 [Auxenochlorella protothecoides]
OG0001187	XP_005846443.1 hypothetical protein CHLNCDRAFT_24871 [Chlorella variabilis]	RMZ55232.1 hypothetical protein APUTEX25_005510 [Auxenochlorella protothecoides]
OG0001187	XP_005846246.1 hypothetical protein CHLNCDRAFT_53131 [Chlorella variabilis]	RMZ55129.1 hypothetical protein APUTEX25_005407 [Auxenochlorella protothecoides]
OG0001188	XP_005849496.1 hypothetical protein CHLNCDRAFT_20987 [Chlorella variabilis]	RMZ55207.1 hypothetical protein APUTEX25_005485 [Auxenochlorella protothecoides]
OG0001189	XP_005847204.1 hypothetical protein CHLNCDRAFT_10418_ partial [Chlorella variabilis]	RMZ55212.1 hypothetical protein APUTEX25_005490 [Auxenochlorella protothecoides]
OG0001190	XP_005849492.1 hypothetical protein CHLNCDRAFT_20972_ partial [Chlorella variabilis], XP_005844550.1 hypothetical protein CHLNCDRAFT_138994 [Chlorella variabilis]	RMZ55234.1 hypothetical protein APUTEX25_005512 [Auxenochlorella protothecoides]
OG0001192	XP_005844169.1 hypothetical protein CHLNCDRAFT_139312 [Chlorella variabilis]	RMZ55251.1 hypothetical protein APUTEX25_005529_ partial [Auxenochlorella protothecoides]
OG0001193	XP_005848202.1 hypothetical protein CHLNCDRAFT_144683 [Chlorella variabilis], XP_005851094.1 hypothetical protein CHLNCDRAFT_18903_ partial [Chlorella variabilis]	RMZ55263.1 hypothetical protein APUTEX25_005541 [Auxenochlorella protothecoides]
OG0001194	XP_005846959.1 hypothetical protein CHLNCDRAFT_56196 [Chlorella variabilis]	RMZ55324.1 hypothetical protein APUTEX25_003462 [Auxenochlorella protothecoides]
OG0001195	XP_005842626.1 hypothetical protein CHLNCDRAFT_141290_ partial [Chlorella variabilis]	RMZ55347.1 hypothetical protein APUTEX25_003485_ partial [Auxenochlorella protothecoides]
OG0001196	XP_005849448.1 hypothetical protein CHLNCDRAFT_56057 [Chlorella variabilis]	RMZ55352.1 hypothetical protein APUTEX25_002210_ partial [Auxenochlorella protothecoides]
OG0001197	XP_005849457.1 hypothetical protein CHLNCDRAFT_57183 [Chlorella variabilis]	RMZ55366.1 hypothetical protein APUTEX25_002224_ partial [Auxenochlorella protothecoides]
OG0001198	XP_005844081.1 hypothetical protein CHLNCDRAFT_16948_ partial [Chlorella variabilis]	RMZ55484.1 hypothetical protein APUTEX25_000067_ partial [Auxenochlorella protothecoides]
OG0001199	XP_005848603.1 hypothetical protein CHLNCDRAFT_144100 [Chlorella variabilis]	RMZ55487.1 hypothetical protein APUTEX25_000070_ partial [Auxenochlorella protothecoides]
OG0001200	XP_005849553.1 hypothetical protein CHLNCDRAFT_142939 [Chlorella variabilis]	RMZ55511.1 hypothetical protein APUTEX25_000094 [Auxenochlorella protothecoides]
OG0001201	XP_005843198.1 hypothetical protein CHLNCDRAFT_33230 [Chlorella variabilis]	RMZ55516.1 hypothetical protein APUTEX25_000099 [Auxenochlorella protothecoides]
OG0001202	XP_005850973.1 hypothetical protein CHLNCDRAFT_11560_ partial [Chlorella variabilis], XP_005850974.1 hypothetical protein CHLNCDRAFT_140760 [Chlorella variabilis]	RMZ55619.1 hypothetical protein APUTEX25_000202 [Auxenochlorella protothecoides]
OG0001203	XP_005845640.1 hypothetical protein CHLNCDRAFT_136656 [Chlorella variabilis]	RMZ55638.1 hypothetical protein APUTEX25_000221_ partial [Auxenochlorella protothecoides]
OG0001204	XP_005842950.1 hypothetical protein CHLNCDRAFT_141757 [Chlorella variabilis]	RMZ55750.1 hypothetical protein APUTEX25_005791 [Auxenochlorella protothecoides]
OG0001205	XP_005846784.1 hypothetical protein CHLNCDRAFT_58176 [Chlorella variabilis]	RMZ55763.1 hypothetical protein APUTEX25_005804 [Auxenochlorella protothecoides]
OG0001206	XP_005851246.1 hypothetical protein CHLNCDRAFT_137972 [Chlorella variabilis], XP_005844090.1 hypothetical protein CHLNCDRAFT_139497 [Chlorella variabilis]	RMZ55803.1 hypothetical protein APUTEX25_005844 [Auxenochlorella protothecoides]
OG0001207	XP_005850920.1 expressed protein [Chlorella variabilis], XP_005850921.1 hypothetical protein CHLNCDRAFT_19495 [Chlorella variabilis]	RMZ55873.1 hypothetical protein APUTEX25_003839_ partial [Auxenochlorella protothecoides]
OG0001208	XP_005850301.1 hypothetical protein CHLNCDRAFT_50601 [Chlorella variabilis]	RMZ55954.1 hypothetical protein APUTEX25_004378 [Auxenochlorella protothecoides]
OG0001209	XP_005848765.1 hypothetical protein CHLNCDRAFT_144513 [Chlorella variabilis], XP_005848884.1 hypothetical protein CHLNCDRAFT_144269 [Chlorella variabilis]	RMZ55966.1 hypothetical protein APUTEX25_004390 [Auxenochlorella protothecoides]
OG0001210	XP_005851540.1 hypothetical protein CHLNCDRAFT_137990 [Chlorella variabilis], XP_005849894.1 hypothetical protein CHLNCDRAFT_21253 [Chlorella variabilis]	RMZ55971.1 hypothetical protein APUTEX25_004395_ partial [Auxenochlorella protothecoides]
OG0001211	XP_005851525.1 hypothetical protein CHLNCDRAFT_137951 [Chlorella variabilis], XP_005849719.1 hypothetical protein CHLNCDRAFT_142704 [Chlorella variabilis]	RMZ56016.1 hypothetical protein APUTEX25_004440 [Auxenochlorella protothecoides]
OG0001212	XP_005848409.1 hypothetical protein CHLNCDRAFT_51737 [Chlorella variabilis], XP_005848678.1 hypothetical protein CHLNCDRAFT_17713_ partial [Chlorella variabilis]	RMZ56061.1 hypothetical protein APUTEX25_004485 [Auxenochlorella protothecoides]
OG0001213	XP_005850047.1 hypothetical protein CHLNCDRAFT_10568_ partial [Chlorella variabilis]	RMZ56127.1 hypothetical protein APUTEX25_004551 [Auxenochlorella protothecoides]
OG0001214	XP_005846274.1 hypothetical protein CHLNCDRAFT_36044 [Chlorella variabilis], XP_005848647.1 hypothetical protein CHLNCDRAFT_48708 [Chlorella variabilis]	RMZ56159.1 hypothetical protein APUTEX25_004583_ partial [Auxenochlorella protothecoides]
OG0001215	XP_005848924.1 hypothetical protein CHLNCDRAFT_144372 [Chlorella variabilis], XP_005842727.1 hypothetical protein CHLNCDRAFT_134605_ partial [Chlorella variabilis], XP_005844422.1 hypothetical protein CHLNCDRAFT_32574 [Chlorella variabilis]	RMZ56255.1 hypothetical protein APUTEX25_002445_ partial [Auxenochlorella protothecoides]
OG0001216	XP_005844266.1 hypothetical protein CHLNCDRAFT_32681 [Chlorella variabilis]	RMZ56352.1 hypothetical protein APUTEX25_004709 [Auxenochlorella protothecoides]
OG0001217	XP_005845221.1 hypothetical protein CHLNCDRAFT_26132_ partial [Chlorella variabilis], XP_005845459.1 hypothetical protein CHLNCDRAFT_26073_ partial [Chlorella variabilis]	RMZ56412.1 hypothetical protein APUTEX25_004635_ partial [Auxenochlorella protothecoides]
OG0001218	XP_005845324.1 hypothetical protein CHLNCDRAFT_137099 [Chlorella variabilis]	RMZ56443.1 hypothetical protein APUTEX25_004666 [Auxenochlorella protothecoides]
OG0001219	XP_005843856.1 hypothetical protein CHLNCDRAFT_16969_ partial [Chlorella variabilis]	RMZ56523.1 hypothetical protein APUTEX25_001370_ partial [Auxenochlorella protothecoides]
OG0001220	XP_005846055.1 hypothetical protein CHLNCDRAFT_25162_ partial [Chlorella variabilis]	RMZ56572.1 hypothetical protein APUTEX25_001419_ partial [Auxenochlorella protothecoides]
OG0001221	XP_005850840.1 hypothetical protein CHLNCDRAFT_48524 [Chlorella variabilis]	RMZ56628.1 hypothetical protein APUTEX25_002717 [Auxenochlorella protothecoides]
OG0001222	XP_005844104.1 hypothetical protein CHLNCDRAFT_59065 [Chlorella variabilis]	RMZ56640.1 hypothetical protein APUTEX25_002729 [Auxenochlorella protothecoides]
OG0001223	XP_005847551.1 hypothetical protein CHLNCDRAFT_52248 [Chlorella variabilis], XP_005842897.1 hypothetical protein CHLNCDRAFT_55557 [Chlorella variabilis]	RMZ56644.1 hypothetical protein APUTEX25_002733 [Auxenochlorella protothecoides]
OG0001224	XP_005848616.1 hypothetical protein CHLNCDRAFT_144118 [Chlorella variabilis]	RMZ56650.1 hypothetical protein APUTEX25_002739_ partial [Auxenochlorella protothecoides]
OG0001225	XP_005849146.1 hypothetical protein CHLNCDRAFT_30584 [Chlorella variabilis]	RMZ56664.1 hypothetical protein APUTEX25_002753_ partial [Auxenochlorella protothecoides]
OG0001226	XP_005849672.1 hypothetical protein CHLNCDRAFT_34782 [Chlorella variabilis]	RMZ56704.1 hypothetical protein APUTEX25_002793 [Auxenochlorella protothecoides]
OG0001227	XP_005842719.1 hypothetical protein CHLNCDRAFT_135064 [Chlorella variabilis], XP_005851896.1 hypothetical protein CHLNCDRAFT_133496_ partial [Chlorella variabilis], XP_005842679.1 hypothetical protein CHLNCDRAFT_137227_ partial [Chlorella variabilis]	RMZ56722.1 hypothetical protein APUTEX25_002811 [Auxenochlorella protothecoides]
OG0001228	XP_005848565.1 hypothetical protein CHLNCDRAFT_22436_ partial [Chlorella variabilis]	RMZ56727.1 hypothetical protein APUTEX25_002816 [Auxenochlorella protothecoides]
OG0001228	XP_005848564.1 hypothetical protein CHLNCDRAFT_145127 [Chlorella variabilis]	RMZ56837.1 hypothetical protein APUTEX25_002926_ partial [Auxenochlorella protothecoides]
OG0001229	XP_005847572.1 hypothetical protein CHLNCDRAFT_56155 [Chlorella variabilis]	RMZ56784.1 hypothetical protein APUTEX25_002873 [Auxenochlorella protothecoides]
OG0001230	XP_005849521.1 hypothetical protein CHLNCDRAFT_142865 [Chlorella variabilis]	RMZ56824.1 hypothetical protein APUTEX25_002913 [Auxenochlorella protothecoides]
OG0001231	XP_005847262.1 hypothetical protein CHLNCDRAFT_134271 [Chlorella variabilis], XP_005847261.1 hypothetical protein CHLNCDRAFT_35566 [Chlorella variabilis]	RMZ56919.1 hypothetical protein APUTEX25_004981 [Auxenochlorella protothecoides]
OG0001232	XP_005842602.1 hypothetical protein CHLNCDRAFT_16128_ partial [Chlorella variabilis], XP_005849472.1 hypothetical protein CHLNCDRAFT_142756 [Chlorella variabilis]	RMZ56921.1 hypothetical protein APUTEX25_004983 [Auxenochlorella protothecoides]
OG0001233	XP_005847406.1 hypothetical protein CHLNCDRAFT_134265 [Chlorella variabilis]	RMZ56973.1 hypothetical protein APUTEX25_005035_ partial [Auxenochlorella protothecoides]
OG0001234	XP_005847771.1 hypothetical protein CHLNCDRAFT_133893 [Chlorella variabilis]	RMZ57004.1 hypothetical protein APUTEX25_002236 [Auxenochlorella protothecoides]
OG0001235	XP_005851174.1 hypothetical protein CHLNCDRAFT_137813 [Chlorella variabilis], XP_005842752.1 hypothetical protein CHLNCDRAFT_144646_ partial [Chlorella variabilis]	RMZ57058.1 hypothetical protein APUTEX25_002290_ partial [Auxenochlorella protothecoides]
OG0001236	XP_005843958.1 hypothetical protein CHLNCDRAFT_48339 [Chlorella variabilis]	RMZ57185.1 hypothetical protein APUTEX25_004019 [Auxenochlorella protothecoides]
OG0001237	XP_005850042.1 hypothetical protein CHLNCDRAFT_10454_ partial [Chlorella variabilis]	RMZ57187.1 hypothetical protein APUTEX25_004021_ partial [Auxenochlorella protothecoides]
OG0001238	XP_005844381.1 hypothetical protein CHLNCDRAFT_58891 [Chlorella variabilis]	RMZ57304.1 hypothetical protein APUTEX25_004138 [Auxenochlorella protothecoides], RMZ57290.1 hypothetical protein APUTEX25_004124 [Auxenochlorella protothecoides]
OG0001239	XP_005845854.1 hypothetical protein CHLNCDRAFT_58436 [Chlorella variabilis]	RMZ57313.1 hypothetical protein APUTEX25_004147 [Auxenochlorella protothecoides]
OG0001240	XP_005844126.1 hypothetical protein CHLNCDRAFT_27424_ partial [Chlorella variabilis]	RMZ57333.1 hypothetical protein APUTEX25_004167 [Auxenochlorella protothecoides]
OG0001241	XP_005850905.1 hypothetical protein CHLNCDRAFT_140597 [Chlorella variabilis]	RMZ57343.1 hypothetical protein APUTEX25_004177 [Auxenochlorella protothecoides]
OG0001242	XP_005851115.1 hypothetical protein CHLNCDRAFT_33771 [Chlorella variabilis]	RMZ57497.1 hypothetical protein APUTEX25_003740_ partial [Auxenochlorella protothecoides]
OG0001243	XP_005851119.1 hypothetical protein CHLNCDRAFT_55969 [Chlorella variabilis]	RMZ57500.1 hypothetical protein APUTEX25_003743 [Auxenochlorella protothecoides]
OG0001244	XP_005851071.1 hypothetical protein CHLNCDRAFT_19238 [Chlorella variabilis]	RMZ57558.1 hypothetical protein APUTEX25_001758 [Auxenochlorella protothecoides]
OG0001245	XP_005848339.1 hypothetical protein CHLNCDRAFT_51907 [Chlorella variabilis]	RMZ57560.1 hypothetical protein APUTEX25_001760_ partial [Auxenochlorella protothecoides]
OG0001246	XP_005845102.1 hypothetical protein CHLNCDRAFT_137448 [Chlorella variabilis]	RMZ57589.1 hypothetical protein APUTEX25_001789 [Auxenochlorella protothecoides]
OG0001247	XP_005848459.1 hypothetical protein CHLNCDRAFT_144844 [Chlorella variabilis]	RMZ57649.1 hypothetical protein APUTEX25_001849 [Auxenochlorella protothecoides]
OG0001248	XP_005847702.1 hypothetical protein CHLNCDRAFT_52424_ partial [Chlorella variabilis], XP_005844136.1 hypothetical protein CHLNCDRAFT_54617_ partial [Chlorella variabilis]	RMZ57830.1 hypothetical protein APUTEX25_002159_ partial [Auxenochlorella protothecoides]
OG0001305	XP_005850860.1 hypothetical protein CHLNCDRAFT_50237 [Chlorella variabilis]	RMZ52006.1 hypothetical protein APUTEX25_002699_ partial [Auxenochlorella protothecoides]
OG0001306	XP_005847981.1 hypothetical protein CHLNCDRAFT_145486 [Chlorella variabilis], XP_005847085.1 hypothetical protein CHLNCDRAFT_134776 [Chlorella variabilis]	RMZ52026.1 hypothetical protein APUTEX25_001220 [Auxenochlorella protothecoides]
OG0001307	XP_005849409.1 hypothetical protein CHLNCDRAFT_143921 [Chlorella variabilis], XP_005849410.1 hypothetical protein CHLNCDRAFT_143922 [Chlorella variabilis]	RMZ52027.1 hypothetical protein APUTEX25_001221 [Auxenochlorella protothecoides]
OG0001308	XP_005847083.1 hypothetical protein CHLNCDRAFT_24199 [Chlorella variabilis]	RMZ52039.1 hypothetical protein APUTEX25_001233 [Auxenochlorella protothecoides]
OG0001309	XP_005846908.1 hypothetical protein CHLNCDRAFT_134789_ partial [Chlorella variabilis]	RMZ52043.1 hypothetical protein APUTEX25_001237 [Auxenochlorella protothecoides]
OG0001310	XP_005849411.1 hypothetical protein CHLNCDRAFT_143924 [Chlorella variabilis]	RMZ52046.1 hypothetical protein APUTEX25_001240_ partial [Auxenochlorella protothecoides]
OG0001311	XP_005846912.1 hypothetical protein CHLNCDRAFT_35777 [Chlorella variabilis]	RMZ52066.1 hypothetical protein APUTEX25_001260_ partial [Auxenochlorella protothecoides]
OG0001312	XP_005843854.1 hypothetical protein CHLNCDRAFT_27642 [Chlorella variabilis]	RMZ52072.1 hypothetical protein APUTEX25_001266 [Auxenochlorella protothecoides]
OG0001313	XP_005846901.1 hypothetical protein CHLNCDRAFT_24291_ partial [Chlorella variabilis], XP_005846900.1 hypothetical protein CHLNCDRAFT_52755 [Chlorella variabilis]	RMZ52088.1 hypothetical protein APUTEX25_001282 [Auxenochlorella protothecoides]
OG0001314	XP_005846897.1 hypothetical protein CHLNCDRAFT_134762 [Chlorella variabilis]	RMZ52094.1 hypothetical protein APUTEX25_001288 [Auxenochlorella protothecoides]
OG0001315	XP_005842796.1 hypothetical protein CHLNCDRAFT_142650 [Chlorella variabilis]	RMZ52142.1 hypothetical protein APUTEX25_001532_ partial [Auxenochlorella protothecoides]
OG0001316	XP_005845703.1 hypothetical protein CHLNCDRAFT_58555 [Chlorella variabilis]	RMZ52146.1 hypothetical protein APUTEX25_001536 [Auxenochlorella protothecoides]
OG0001318	XP_005848322.1 hypothetical protein CHLNCDRAFT_30844 [Chlorella variabilis]	RMZ52177.1 hypothetical protein APUTEX25_001567 [Auxenochlorella protothecoides]
OG0001319	XP_005850719.1 hypothetical protein CHLNCDRAFT_56965 [Chlorella variabilis]	RMZ52218.1 hypothetical protein APUTEX25_001608 [Auxenochlorella protothecoides]
