Orthogroup	Chlorella_VariabilisNC64A	Chlorella_A99
OG0000524	XP_005849114.1 hypothetical protein CHLNCDRAFT_143679 [Chlorella variabilis]	PCFQ01000015.1 g3017 [Chlorella sp. A99]
OG0000525	XP_005849315.1 hypothetical protein CHLNCDRAFT_143654 [Chlorella variabilis], XP_005849697.1 hypothetical protein CHLNCDRAFT_21314 [Chlorella variabilis]	PCFQ01000015.1 g3009 [Chlorella sp. A99]
OG0000526	XP_005843601.1 hypothetical protein CHLNCDRAFT_59210 [Chlorella variabilis]	PCFQ01000080.1 g1945 [Chlorella sp. A99]
OG0000527	XP_005847052.1 hypothetical protein CHLNCDRAFT_24117 [Chlorella variabilis]	PCFQ01000037.1 g2456 [Chlorella sp. A99]
OG0000530	XP_005842879.1 hypothetical protein CHLNCDRAFT_10014_ partial [Chlorella variabilis]	PCFQ01000058.1 g251 [Chlorella sp. A99]
OG0000531	XP_005848419.1 hypothetical protein CHLNCDRAFT_12511_ partial [Chlorella variabilis]	PCFQ01000020.1 g919 [Chlorella sp. A99]
OG0000532	XP_005848546.1 hypothetical protein CHLNCDRAFT_145080 [Chlorella variabilis], XP_005848354.1 hypothetical protein CHLNCDRAFT_51929 [Chlorella variabilis], XP_005847576.1 hypothetical protein CHLNCDRAFT_133829 [Chlorella variabilis]	PCFQ01000079.1 g1310 [Chlorella sp. A99]
OG0000535	XP_005846241.1 hypothetical protein CHLNCDRAFT_135529 [Chlorella variabilis]	PCFQ01000078.1 g2084 [Chlorella sp. A99]
OG0000536	XP_005844675.1 hypothetical protein CHLNCDRAFT_138570 [Chlorella variabilis], XP_005848563.1 hypothetical protein CHLNCDRAFT_145126 [Chlorella variabilis], XP_005844765.1 hypothetical protein CHLNCDRAFT_138605 [Chlorella variabilis]	PCFQ01000020.1 g935 [Chlorella sp. A99]
OG0000538	XP_005844133.1 hypothetical protein CHLNCDRAFT_139631 [Chlorella variabilis], XP_005844132.1 hypothetical protein CHLNCDRAFT_139629 [Chlorella variabilis]	PCFQ01000079.1 g1462 [Chlorella sp. A99]
OG0000539	XP_005842988.1 hypothetical protein CHLNCDRAFT_28604 [Chlorella variabilis]	PCFQ01000078.1 g2179 [Chlorella sp. A99]
OG0000541	XP_005850533.1 hypothetical protein CHLNCDRAFT_140393 [Chlorella variabilis], XP_005851580.1 hypothetical protein CHLNCDRAFT_33910 [Chlorella variabilis]	PCFQ01000058.1 g235 [Chlorella sp. A99]
OG0000542	XP_005848123.1 hypothetical protein CHLNCDRAFT_22879 [Chlorella variabilis], XP_005848122.1 hypothetical protein CHLNCDRAFT_145437 [Chlorella variabilis]	PCFQ01000007.1 g1223 [Chlorella sp. A99]
OG0000544	XP_005850770.1 hypothetical protein CHLNCDRAFT_19601 [Chlorella variabilis]	PCFQ01000011.1 g2924 [Chlorella sp. A99]
OG0000544	XP_005849881.1 hypothetical protein CHLNCDRAFT_143119 [Chlorella variabilis]	PCFQ01000004.1 g2615 [Chlorella sp. A99]
OG0000545	XP_005851216.1 hypothetical protein CHLNCDRAFT_137913 [Chlorella variabilis]	PCFQ01000058.1 g108 [Chlorella sp. A99]
OG0000545	XP_005851217.1 hypothetical protein CHLNCDRAFT_55978 [Chlorella variabilis]	PCFQ01000058.1 g110 [Chlorella sp. A99]
OG0000546	XP_005844577.1 hypothetical protein CHLNCDRAFT_58852 [Chlorella variabilis]	PCFQ01000002.1 g702 [Chlorella sp. A99]
OG0000547	XP_005844112.1 expressed protein [Chlorella variabilis]	PCFQ01000002.1 g664 [Chlorella sp. A99]
OG0000548	XP_005849282.1 hypothetical protein CHLNCDRAFT_143580 [Chlorella variabilis]	PCFQ01000015.1 g2953 [Chlorella sp. A99]
OG0000549	XP_005849203.1 hypothetical protein CHLNCDRAFT_143915 [Chlorella variabilis], XP_005848036.1 hypothetical protein CHLNCDRAFT_145209 [Chlorella variabilis]	PCFQ01000015.1 g3034 [Chlorella sp. A99]
OG0000551	XP_005850945.1 hypothetical protein CHLNCDRAFT_140695 [Chlorella variabilis]	PCFQ01000011.1 g2854 [Chlorella sp. A99]
OG0000551	XP_005850218.1 hypothetical protein CHLNCDRAFT_34546 [Chlorella variabilis]	PCFQ01000008.1 g1101 [Chlorella sp. A99]
OG0000552	XP_005848536.1 hypothetical protein CHLNCDRAFT_22309_ partial [Chlorella variabilis]	PCFQ01000079.1 g1487 [Chlorella sp. A99], PCFQ01000020.1 g903 [Chlorella sp. A99]
OG0000553	XP_005849939.1 hypothetical protein CHLNCDRAFT_30487 [Chlorella variabilis]	PCFQ01000004.1 g2629 [Chlorella sp. A99]
OG0000554	XP_005845344.1 hypothetical protein CHLNCDRAFT_137149 [Chlorella variabilis]	PCFQ01000078.1 g2141 [Chlorella sp. A99], PCFQ01000046.1 g1862 [Chlorella sp. A99], PCFQ01000078.1 g2100 [Chlorella sp. A99]
OG0000555	XP_005851170.1 hypothetical protein CHLNCDRAFT_59556 [Chlorella variabilis]	PCFQ01000058.1 g79 [Chlorella sp. A99]
OG0000555	XP_005849696.1 hypothetical protein CHLNCDRAFT_21275 [Chlorella variabilis]	PCFQ01000004.1 g2628 [Chlorella sp. A99]
OG0000556	XP_005848119.1 expressed protein [Chlorella variabilis], XP_005851952.1 hypothetical protein CHLNCDRAFT_133629 [Chlorella variabilis], XP_005845567.1 hypothetical protein CHLNCDRAFT_136738 [Chlorella variabilis]	PCFQ01000037.1 g2353 [Chlorella sp. A99]
OG0000557	XP_005850077.1 hypothetical protein CHLNCDRAFT_13140_ partial [Chlorella variabilis]	PCFQ01000008.1 g1115 [Chlorella sp. A99]
OG0000558	XP_005843330.1 hypothetical protein CHLNCDRAFT_141231 [Chlorella variabilis]	PCFQ01000079.1 g1433 [Chlorella sp. A99]
OG0000558	XP_005852090.1 hypothetical protein CHLNCDRAFT_49444 [Chlorella variabilis]	PCFQ01000002.1 g638 [Chlorella sp. A99]
OG0000559	XP_005849551.1 hypothetical protein CHLNCDRAFT_142932 [Chlorella variabilis]	PCFQ01000004.1 g2694 [Chlorella sp. A99]
OG0000560	XP_005848799.1 hypothetical protein CHLNCDRAFT_144065 [Chlorella variabilis], XP_005845636.1 hypothetical protein CHLNCDRAFT_58512 [Chlorella variabilis]	PCFQ01000079.1 g1350 [Chlorella sp. A99]
OG0000562	XP_005847641.1 hypothetical protein CHLNCDRAFT_11965_ partial [Chlorella variabilis]	PCFQ01000082.1 g535 [Chlorella sp. A99]
OG0000563	XP_005851015.1 hypothetical protein CHLNCDRAFT_140860 [Chlorella variabilis]	PCFQ01000078.1 g2124 [Chlorella sp. A99], PCFQ01000078.1 g1998 [Chlorella sp. A99]
OG0000564	XP_005843888.1 phosphatase PP1 [Chlorella variabilis]	PCFQ01000018.1 g481 [Chlorella sp. A99]
OG0000565	XP_005847676.1 hypothetical protein CHLNCDRAFT_17706_ partial [Chlorella variabilis]	PCFQ01000082.1 g559 [Chlorella sp. A99]
OG0000566	XP_005844618.1 hypothetical protein CHLNCDRAFT_138916 [Chlorella variabilis], XP_005844619.1 hypothetical protein CHLNCDRAFT_138917 [Chlorella variabilis], XP_005846036.1 hypothetical protein CHLNCDRAFT_58396 [Chlorella variabilis]	PCFQ01000010.1 g352 [Chlorella sp. A99]
OG0000567	XP_005843760.1 hypothetical protein CHLNCDRAFT_59147 [Chlorella variabilis]	PCFQ01000010.1 g367 [Chlorella sp. A99]
OG0000567	XP_005843070.1 hypothetical protein CHLNCDRAFT_59826 [Chlorella variabilis]	PCFQ01000079.1 g1284 [Chlorella sp. A99]
OG0000568	XP_005844504.1 hypothetical protein CHLNCDRAFT_138873 [Chlorella variabilis], XP_005844505.1 hypothetical protein CHLNCDRAFT_138874 [Chlorella variabilis]	PCFQ01000002.1 g710 [Chlorella sp. A99]
OG0000569	XP_005849188.1 hypothetical protein CHLNCDRAFT_143863 [Chlorella variabilis]	PCFQ01000015.1 g3038 [Chlorella sp. A99]
OG0000572	XP_005849076.1 hypothetical protein CHLNCDRAFT_143568 [Chlorella variabilis], XP_005849078.1 hypothetical protein CHLNCDRAFT_143570 [Chlorella variabilis]	PCFQ01000015.1 g2973 [Chlorella sp. A99]
OG0000573	XP_005844799.1 hypothetical protein CHLNCDRAFT_36784 [Chlorella variabilis]	PCFQ01000079.1 g1402 [Chlorella sp. A99]
OG0000574	XP_005849524.1 hypothetical protein CHLNCDRAFT_142871 [Chlorella variabilis], XP_005849523.1 hypothetical protein CHLNCDRAFT_56068 [Chlorella variabilis]	PCFQ01000037.1 g2403 [Chlorella sp. A99]
OG0000576	XP_005843137.1 hypothetical protein CHLNCDRAFT_141520_ partial [Chlorella variabilis]	PCFQ01000006.1 g3209 [Chlorella sp. A99]
OG0000577	XP_005847226.1 hypothetical protein CHLNCDRAFT_134176 [Chlorella variabilis], XP_005847225.1 hypothetical protein CHLNCDRAFT_134175 [Chlorella variabilis]	PCFQ01000011.1 g2781 [Chlorella sp. A99]
OG0000578	XP_005847415.1 hypothetical protein CHLNCDRAFT_134282 [Chlorella variabilis]	PCFQ01000046.1 g1849 [Chlorella sp. A99]
OG0000580	XP_005845084.1 hypothetical protein CHLNCDRAFT_58697 [Chlorella variabilis]	PCFQ01000077.1 g1742 [Chlorella sp. A99]
OG0000582	XP_005847917.1 hypothetical protein CHLNCDRAFT_22722 [Chlorella variabilis]	PCFQ01000005.1 g795 [Chlorella sp. A99]
OG0000583	XP_005849611.1 hypothetical protein CHLNCDRAFT_143088 [Chlorella variabilis]	PCFQ01000019.1 g1815 [Chlorella sp. A99]
OG0000584	XP_005845885.1 hypothetical protein CHLNCDRAFT_58449 [Chlorella variabilis], XP_005842792.1 hypothetical protein CHLNCDRAFT_28833_ partial [Chlorella variabilis], XP_005845884.1 hypothetical protein CHLNCDRAFT_25424_ partial [Chlorella variabilis]	PCFQ01000012.1 g1842 [Chlorella sp. A99]
OG0000585	XP_005845870.1 hypothetical protein CHLNCDRAFT_10527_ partial [Chlorella variabilis]	PCFQ01000012.1 g1828 [Chlorella sp. A99]
OG0000586	XP_005846410.1 hypothetical protein CHLNCDRAFT_36005 [Chlorella variabilis]	PCFQ01000078.1 g2106 [Chlorella sp. A99]
OG0000587	XP_005847336.1 hypothetical protein CHLNCDRAFT_52630 [Chlorella variabilis]	PCFQ01000037.1 g2466 [Chlorella sp. A99]
OG0000588	XP_005850340.1 expressed protein [Chlorella variabilis]	PCFQ01000002.1 g659 [Chlorella sp. A99]
OG0000588	XP_005850341.1 hypothetical protein CHLNCDRAFT_142143 [Chlorella variabilis]	PCFQ01000077.1 g1766 [Chlorella sp. A99]
OG0000591	XP_005842609.1 hypothetical protein CHLNCDRAFT_16159_ partial [Chlorella variabilis], XP_005849224.1 hypothetical protein CHLNCDRAFT_15203_ partial [Chlorella variabilis], XP_005845208.1 hypothetical protein CHLNCDRAFT_26177_ partial [Chlorella variabilis]	PCFQ01000058.1 g136 [Chlorella sp. A99]
OG0000592	XP_005847656.1 hypothetical protein CHLNCDRAFT_52372 [Chlorella variabilis], XP_005852309.1 hypothetical protein CHLNCDRAFT_59467_ partial [Chlorella variabilis], XP_005843046.1 hypothetical protein CHLNCDRAFT_141612_ partial [Chlorella variabilis]	PCFQ01000058.1 g270 [Chlorella sp. A99]
OG0000593	XP_005847982.1 hypothetical protein CHLNCDRAFT_57772 [Chlorella variabilis]	PCFQ01000007.1 g1219 [Chlorella sp. A99]
OG0000593	XP_005848159.1 hypothetical protein CHLNCDRAFT_52158 [Chlorella variabilis]	PCFQ01000023.1 g2228 [Chlorella sp. A99]
OG0000594	XP_005847169.1 hypothetical protein CHLNCDRAFT_134944 [Chlorella variabilis]	PCFQ01000081.1 g1563 [Chlorella sp. A99]
OG0000595	XP_005843019.1 hypothetical protein CHLNCDRAFT_33302 [Chlorella variabilis]	PCFQ01000078.1 g2178 [Chlorella sp. A99]
OG0000596	XP_005849555.1 hypothetical protein CHLNCDRAFT_142941 [Chlorella variabilis]	PCFQ01000004.1 g2706 [Chlorella sp. A99]
OG0000597	XP_005848553.1 hypothetical protein CHLNCDRAFT_57670 [Chlorella variabilis], XP_005847465.1 hypothetical protein CHLNCDRAFT_134397 [Chlorella variabilis], XP_005845729.1 hypothetical protein CHLNCDRAFT_53512 [Chlorella variabilis]	PCFQ01000015.1 g3066 [Chlorella sp. A99]
OG0000598	XP_005849207.1 hypothetical protein CHLNCDRAFT_143927 [Chlorella variabilis]	PCFQ01000015.1 g3077 [Chlorella sp. A99]
OG0000609	XP_005849414.1 hypothetical protein CHLNCDRAFT_143933 [Chlorella variabilis]	PCFQ01000015.1 g3074 [Chlorella sp. A99]
OG0000610	XP_005852174.1 hypothetical protein CHLNCDRAFT_133364 [Chlorella variabilis]	PCFQ01000082.1 g493 [Chlorella sp. A99]
OG0000611	XP_005849196.1 hypothetical protein CHLNCDRAFT_143888 [Chlorella variabilis]	PCFQ01000015.1 g3046 [Chlorella sp. A99]
OG0000612	XP_005849213.1 hypothetical protein CHLNCDRAFT_51424 [Chlorella variabilis], XP_005842641.1 hypothetical protein CHLNCDRAFT_139821 [Chlorella variabilis]	PCFQ01000015.1 g3081 [Chlorella sp. A99]
OG0000613	XP_005847844.1 hypothetical protein CHLNCDRAFT_14136_ partial [Chlorella variabilis], XP_005847845.1 hypothetical protein CHLNCDRAFT_10834_ partial [Chlorella variabilis]	PCFQ01000079.1 g1524 [Chlorella sp. A99]
OG0000613	XP_005843852.1 hypothetical protein CHLNCDRAFT_37158 [Chlorella variabilis]	PCFQ01000015.1 g3094 [Chlorella sp. A99]
OG0000615	XP_005844713.1 hypothetical protein CHLNCDRAFT_58814 [Chlorella variabilis]	PCFQ01000079.1 g1396 [Chlorella sp. A99]
OG0000617	XP_005846526.1 hypothetical protein CHLNCDRAFT_24830 [Chlorella variabilis]	PCFQ01000078.1 g2005 [Chlorella sp. A99]
OG0000618	XP_005849532.1 40S ribosomal protein S15 [Chlorella variabilis], XP_005849796.1 hypothetical protein CHLNCDRAFT_142893 [Chlorella variabilis]	PCFQ01000037.1 g2393 [Chlorella sp. A99]
OG0000619	XP_005847681.1 hypothetical protein CHLNCDRAFT_57890 [Chlorella variabilis]	PCFQ01000006.1 g3250 [Chlorella sp. A99]
OG0000620	XP_005847010.1 hypothetical protein CHLNCDRAFT_135040 [Chlorella variabilis], XP_005847009.1 hypothetical protein CHLNCDRAFT_135039 [Chlorella variabilis]	PCFQ01000007.1 g1236 [Chlorella sp. A99]
OG0000621	XP_005847443.1 hypothetical protein CHLNCDRAFT_134349 [Chlorella variabilis]	PCFQ01000015.1 g3087 [Chlorella sp. A99]
OG0000623	XP_005851261.1 hypothetical protein CHLNCDRAFT_50008 [Chlorella variabilis]	PCFQ01000058.1 g200 [Chlorella sp. A99]
OG0000627	XP_005851307.1 hypothetical protein CHLNCDRAFT_138139 [Chlorella variabilis]	PCFQ01000058.1 g170 [Chlorella sp. A99]
OG0000628	XP_005847238.1 hypothetical protein CHLNCDRAFT_134206 [Chlorella variabilis]	PCFQ01000011.1 g2900 [Chlorella sp. A99]
OG0000629	XP_005846228.1 hypothetical protein CHLNCDRAFT_24776 [Chlorella variabilis]	PCFQ01000011.1 g2889 [Chlorella sp. A99]
OG0000630	XP_005846322.1 hypothetical protein CHLNCDRAFT_36088 [Chlorella variabilis]	PCFQ01000028.1 g2727 [Chlorella sp. A99]
OG0000631	XP_005845943.1 hypothetical protein CHLNCDRAFT_25348_ partial [Chlorella variabilis]	PCFQ01000010.1 g289 [Chlorella sp. A99]
OG0000632	XP_005844401.1 hypothetical protein CHLNCDRAFT_139059 [Chlorella variabilis]	PCFQ01000009.1 g1697 [Chlorella sp. A99]
OG0000633	XP_005846883.1 hypothetical protein CHLNCDRAFT_58054 [Chlorella variabilis]	PCFQ01000009.1 g1682 [Chlorella sp. A99]
OG0000634	XP_005851374.1 hypothetical protein CHLNCDRAFT_49784 [Chlorella variabilis]	PCFQ01000079.1 g1397 [Chlorella sp. A99]
OG0000634	XP_005844330.1 hypothetical protein CHLNCDRAFT_54548 [Chlorella variabilis]	PCFQ01000079.1 g1262 [Chlorella sp. A99]
OG0000635	XP_005850070.1 ribulose-phosphate 3-epimerase mature form [Chlorella variabilis]	PCFQ01000008.1 g1104 [Chlorella sp. A99]
OG0000635	XP_005851858.1 hypothetical protein CHLNCDRAFT_48415 [Chlorella variabilis]	PCFQ01000022.1 g2332 [Chlorella sp. A99]
OG0000637	XP_005846769.1 hypothetical protein CHLNCDRAFT_48918 [Chlorella variabilis]	PCFQ01000001.1 g952 [Chlorella sp. A99]
OG0000638	XP_005843569.1 hypothetical protein CHLNCDRAFT_37406 [Chlorella variabilis]	PCFQ01000011.1 g2775 [Chlorella sp. A99]
OG0000640	XP_005843890.1 hypothetical protein CHLNCDRAFT_37242 [Chlorella variabilis]	PCFQ01000006.1 g3248 [Chlorella sp. A99]
OG0000642	XP_005852113.1 hypothetical protein CHLNCDRAFT_48400 [Chlorella variabilis]	PCFQ01000004.1 g2602 [Chlorella sp. A99]
OG0000642	XP_005851885.1 hypothetical protein CHLNCDRAFT_29321 [Chlorella variabilis]	PCFQ01000018.1 g447 [Chlorella sp. A99]
OG0000643	XP_005849720.1 hypothetical protein CHLNCDRAFT_142705 [Chlorella variabilis]	PCFQ01000037.1 g2411 [Chlorella sp. A99]
OG0000644	XP_005852158.1 hypothetical protein CHLNCDRAFT_49534 [Chlorella variabilis]	PCFQ01000018.1 g421 [Chlorella sp. A99]
OG0000646	XP_005845863.1 hypothetical protein CHLNCDRAFT_9620_ partial [Chlorella variabilis]	PCFQ01000012.1 g1829 [Chlorella sp. A99]
OG0000646	XP_005845754.1 hypothetical protein CHLNCDRAFT_136380 [Chlorella variabilis]	PCFQ01000001.1 g1002 [Chlorella sp. A99]
OG0000647	XP_005845914.1 hypothetical protein CHLNCDRAFT_53630 [Chlorella variabilis]	PCFQ01000001.1 g982 [Chlorella sp. A99]
OG0000648	XP_005845714.1 hypothetical protein CHLNCDRAFT_25754 [Chlorella variabilis], XP_005850866.1 hypothetical protein CHLNCDRAFT_140504 [Chlorella variabilis]	PCFQ01000021.1 g2313 [Chlorella sp. A99]
OG0000649	XP_005845245.1 hypothetical protein CHLNCDRAFT_58576 [Chlorella variabilis]	PCFQ01000078.1 g2215 [Chlorella sp. A99]
OG0000650	XP_005848327.1 hypothetical protein CHLNCDRAFT_145010 [Chlorella variabilis]	PCFQ01000020.1 g893 [Chlorella sp. A99]
OG0000651	XP_005850941.1 hypothetical protein CHLNCDRAFT_34160 [Chlorella variabilis]	PCFQ01000011.1 g2885 [Chlorella sp. A99], PCFQ01000058.1 g87 [Chlorella sp. A99]
OG0000652	XP_005844963.1 hypothetical protein CHLNCDRAFT_58737 [Chlorella variabilis]	PCFQ01000003.1 g1078 [Chlorella sp. A99]
OG0000652	XP_005848855.1 hypothetical protein CHLNCDRAFT_51527 [Chlorella variabilis]	PCFQ01000024.1 g2554 [Chlorella sp. A99]
OG0000653	XP_005847351.1 hypothetical protein CHLNCDRAFT_134577 [Chlorella variabilis]	PCFQ01000037.1 g2490 [Chlorella sp. A99]
OG0000654	XP_005851510.1 hypothetical protein CHLNCDRAFT_137921 [Chlorella variabilis]	PCFQ01000058.1 g112 [Chlorella sp. A99]
OG0000656	XP_005847725.1 hypothetical protein CHLNCDRAFT_133784 [Chlorella variabilis]	PCFQ01000082.1 g511 [Chlorella sp. A99]
OG0000657	XP_005850258.1 hypothetical protein CHLNCDRAFT_30002 [Chlorella variabilis], XP_005847748.1 hypothetical protein CHLNCDRAFT_133844 [Chlorella variabilis]	PCFQ01000077.1 g1771 [Chlorella sp. A99]
OG0000658	XP_005842820.1 hypothetical protein CHLNCDRAFT_142586 [Chlorella variabilis]	PCFQ01000078.1 g2135 [Chlorella sp. A99]
OG0000661	XP_005844720.1 hypothetical protein CHLNCDRAFT_138688 [Chlorella variabilis]	PCFQ01000079.1 g1400 [Chlorella sp. A99]
OG0000663	XP_005850486.1 hypothetical protein CHLNCDRAFT_56823 [Chlorella variabilis], XP_005848995.1 hypothetical protein CHLNCDRAFT_51691 [Chlorella variabilis], XP_005848994.1 hypothetical protein CHLNCDRAFT_51690 [Chlorella variabilis]	PCFQ01000006.1 g3184 [Chlorella sp. A99], PCFQ01000081.1 g1664 [Chlorella sp. A99]
OG0000664	XP_005850644.1 hypothetical protein CHLNCDRAFT_10628_ partial [Chlorella variabilis], XP_005850643.1 hypothetical protein CHLNCDRAFT_140646 [Chlorella variabilis]	PCFQ01000006.1 g3234 [Chlorella sp. A99]
OG0000666	XP_005850651.1 hypothetical protein CHLNCDRAFT_29840 [Chlorella variabilis], XP_005850649.1 hypothetical protein CHLNCDRAFT_140657 [Chlorella variabilis], XP_005850650.1 hypothetical protein CHLNCDRAFT_140658 [Chlorella variabilis]	PCFQ01000011.1 g2819 [Chlorella sp. A99]
OG0000670	XP_005844808.1 hypothetical protein CHLNCDRAFT_54365 [Chlorella variabilis], XP_005845664.1 hypothetical protein CHLNCDRAFT_136712 [Chlorella variabilis], XP_005845553.1 hypothetical protein CHLNCDRAFT_136704 [Chlorella variabilis]	PCFQ01000004.1 g2640 [Chlorella sp. A99]
OG0000671	XP_005849549.1 hypothetical protein CHLNCDRAFT_59631 [Chlorella variabilis]	PCFQ01000004.1 g2702 [Chlorella sp. A99]
OG0000672	XP_005845281.1 hypothetical protein CHLNCDRAFT_136987 [Chlorella variabilis]	PCFQ01000078.1 g2191 [Chlorella sp. A99]
OG0000673	XP_005843988.1 hypothetical protein CHLNCDRAFT_49140 [Chlorella variabilis]	PCFQ01000079.1 g1456 [Chlorella sp. A99]
OG0000674	XP_005845792.1 hypothetical protein CHLNCDRAFT_136502 [Chlorella variabilis], XP_005845793.1 hypothetical protein CHLNCDRAFT_25568_ partial [Chlorella variabilis]	PCFQ01000012.1 g1822 [Chlorella sp. A99]
OG0000677	XP_005847936.1 hypothetical protein CHLNCDRAFT_35292 [Chlorella variabilis]	PCFQ01000007.1 g1201 [Chlorella sp. A99]
OG0000677	XP_005851830.1 hypothetical protein CHLNCDRAFT_133312 [Chlorella variabilis]	PCFQ01000006.1 g3238 [Chlorella sp. A99]
OG0000678	XP_005846143.1 hypothetical protein CHLNCDRAFT_136109 [Chlorella variabilis], XP_005846142.1 hypothetical protein CHLNCDRAFT_59724 [Chlorella variabilis]	PCFQ01000010.1 g323 [Chlorella sp. A99]
OG0000679	XP_005846174.1 hypothetical protein CHLNCDRAFT_56243 [Chlorella variabilis], XP_005846173.1 hypothetical protein CHLNCDRAFT_13326_ partial [Chlorella variabilis]	PCFQ01000010.1 g303 [Chlorella sp. A99]
OG0000680	XP_005851199.1 hypothetical protein CHLNCDRAFT_56728 [Chlorella variabilis]	PCFQ01000058.1 g98 [Chlorella sp. A99]
OG0000681	XP_005851531.1 hypothetical protein CHLNCDRAFT_56751 [Chlorella variabilis]	PCFQ01000058.1 g128 [Chlorella sp. A99]
OG0000682	XP_005847739.1 hypothetical protein CHLNCDRAFT_133816 [Chlorella variabilis], XP_005847740.1 hypothetical protein CHLNCDRAFT_133817 [Chlorella variabilis]	PCFQ01000082.1 g542 [Chlorella sp. A99]
OG0000683	XP_005848894.1 expressed protein [Chlorella variabilis]	PCFQ01000058.1 g255 [Chlorella sp. A99], PCFQ01000079.1 g1257 [Chlorella sp. A99]
OG0000683	XP_005845300.1 hypothetical protein CHLNCDRAFT_53886 [Chlorella variabilis], XP_005843787.1 hypothetical protein CHLNCDRAFT_139921 [Chlorella variabilis]	PCFQ01000058.1 g262 [Chlorella sp. A99]
OG0000684	XP_005850173.1 hypothetical protein CHLNCDRAFT_142355 [Chlorella variabilis]	PCFQ01000002.1 g686 [Chlorella sp. A99]
OG0000684	XP_005846150.1 hypothetical protein CHLNCDRAFT_136123 [Chlorella variabilis]	PCFQ01000082.1 g625 [Chlorella sp. A99]
OG0000685	XP_005844512.1 hypothetical protein CHLNCDRAFT_138887 [Chlorella variabilis]	PCFQ01000002.1 g717 [Chlorella sp. A99]
OG0000685	XP_005844513.1 hypothetical protein CHLNCDRAFT_138888 [Chlorella variabilis]	PCFQ01000002.1 g716 [Chlorella sp. A99]
OG0000687	XP_005850874.1 hypothetical protein CHLNCDRAFT_50260 [Chlorella variabilis]	PCFQ01000006.1 g3102 [Chlorella sp. A99]
OG0000688	XP_005850119.1 hypothetical protein CHLNCDRAFT_142211 [Chlorella variabilis]	PCFQ01000008.1 g1160 [Chlorella sp. A99]
OG0000690	XP_005850841.1 hypothetical protein CHLNCDRAFT_140434 [Chlorella variabilis]	PCFQ01000006.1 g3135 [Chlorella sp. A99]
OG0000690	XP_005850842.1 hypothetical protein CHLNCDRAFT_34059 [Chlorella variabilis]	PCFQ01000078.1 g2079 [Chlorella sp. A99]
OG0000694	XP_005850838.1 hypothetical protein CHLNCDRAFT_140428 [Chlorella variabilis], XP_005850837.1 hypothetical protein CHLNCDRAFT_140427 [Chlorella variabilis]	PCFQ01000006.1 g3141 [Chlorella sp. A99]
OG0000695	XP_005846573.1 hypothetical protein CHLNCDRAFT_58132 [Chlorella variabilis], XP_005850437.1 hypothetical protein CHLNCDRAFT_20690 [Chlorella variabilis], XP_005847693.1 hypothetical protein CHLNCDRAFT_134125 [Chlorella variabilis]	PCFQ01000078.1 g2219 [Chlorella sp. A99], PCFQ01000078.1 g2181 [Chlorella sp. A99], PCFQ01000007.1 g1227 [Chlorella sp. A99]
OG0000696	XP_005850424.1 hypothetical protein CHLNCDRAFT_142350 [Chlorella variabilis]	PCFQ01000011.1 g2802 [Chlorella sp. A99]
OG0000696	XP_005850425.1 hypothetical protein CHLNCDRAFT_20596 [Chlorella variabilis]	PCFQ01000008.1 g1083 [Chlorella sp. A99]
OG0000697	XP_005849518.1 hypothetical protein CHLNCDRAFT_17300_ partial [Chlorella variabilis], XP_005849517.1 hypothetical protein CHLNCDRAFT_142855 [Chlorella variabilis]	PCFQ01000037.1 g2398 [Chlorella sp. A99]
OG0000700	XP_005844775.1 hypothetical protein CHLNCDRAFT_32442 [Chlorella variabilis], XP_005846319.1 hypothetical protein CHLNCDRAFT_24873 [Chlorella variabilis]	PCFQ01000006.1 g3221 [Chlorella sp. A99]
OG0000701	XP_005844562.1 hypothetical protein CHLNCDRAFT_54390 [Chlorella variabilis]	PCFQ01000002.1 g648 [Chlorella sp. A99]
OG0000702	XP_005843441.1 hypothetical protein CHLNCDRAFT_33124_ partial [Chlorella variabilis]	PCFQ01000004.1 g2583 [Chlorella sp. A99]
OG0000703	XP_005852065.1 hypothetical protein CHLNCDRAFT_18182 [Chlorella variabilis], XP_005852064.1 hypothetical protein CHLNCDRAFT_133064 [Chlorella variabilis]	PCFQ01000013.1 g3358 [Chlorella sp. A99]
OG0000706	XP_005851449.1 hypothetical protein CHLNCDRAFT_33815 [Chlorella variabilis], XP_005851450.1 hypothetical protein CHLNCDRAFT_29511 [Chlorella variabilis]	PCFQ01000058.1 g75 [Chlorella sp. A99]
OG0000707	XP_005851437.1 hypothetical protein CHLNCDRAFT_48466 [Chlorella variabilis]	PCFQ01000058.1 g74 [Chlorella sp. A99]
OG0000709	XP_005845211.1 hypothetical protein CHLNCDRAFT_9330_ partial [Chlorella variabilis]	PCFQ01000009.1 g1708 [Chlorella sp. A99]
OG0000710	XP_005843476.1 hypothetical protein CHLNCDRAFT_55206 [Chlorella variabilis], XP_005843477.1 hypothetical protein CHLNCDRAFT_141154 [Chlorella variabilis]	PCFQ01000023.1 g2237 [Chlorella sp. A99]
