Orthogroup	Chlorella_VariabilisNC64A	Chlorella_KRBP
OG0000676	XP_005846476.1 hypothetical protein CHLNCDRAFT_135669 [Chlorella variabilis], XP_005849546.1 hypothetical protein CHLNCDRAFT_21126 [Chlorella variabilis]	QAXK01015338.1_519-166
OG0000678	XP_005846143.1 hypothetical protein CHLNCDRAFT_136109 [Chlorella variabilis], XP_005846142.1 hypothetical protein CHLNCDRAFT_59724 [Chlorella variabilis]	QAXK01001500.1_1992-2978
OG0000679	XP_005846174.1 hypothetical protein CHLNCDRAFT_56243 [Chlorella variabilis], XP_005846173.1 hypothetical protein CHLNCDRAFT_13326_ partial [Chlorella variabilis]	QAXK01006881.1_8512-9541
OG0000688	XP_005850119.1 hypothetical protein CHLNCDRAFT_142211 [Chlorella variabilis], XP_005850120.1 hypothetical protein CHLNCDRAFT_142212 [Chlorella variabilis]	QAXK01003305.1_27047-24211
OG0000689	XP_005851963.1 hypothetical protein CHLNCDRAFT_133663 [Chlorella variabilis]	QAXK01001638.1_16082-13313
OG0000691	XP_005850169.1 hypothetical protein CHLNCDRAFT_56043 [Chlorella variabilis]	QAXK01001186.1_10565-8532
OG0000693	XP_005850448.1 hypothetical protein CHLNCDRAFT_142405 [Chlorella variabilis], XP_005850441.1 hypothetical protein CHLNCDRAFT_16859_ partial [Chlorella variabilis]	QAXK01008377.1_3630-1851
OG0000694	XP_005850838.1 hypothetical protein CHLNCDRAFT_140428 [Chlorella variabilis], XP_005850837.1 hypothetical protein CHLNCDRAFT_140427 [Chlorella variabilis]	QAXK01012986.1_3546-2582
OG0000697	XP_005849518.1 hypothetical protein CHLNCDRAFT_17300_ partial [Chlorella variabilis], XP_005849517.1 hypothetical protein CHLNCDRAFT_142855 [Chlorella variabilis]	QAXK01000899.1_15443-14285
OG0000704	XP_005852043.1 hypothetical protein CHLNCDRAFT_133014 [Chlorella variabilis], XP_005852044.1 hypothetical protein CHLNCDRAFT_133015 [Chlorella variabilis]	QAXK01006701.1_1896-1296
OG0000730	XP_005849771.1 hypothetical protein CHLNCDRAFT_142825 [Chlorella variabilis], XP_005849770.1 hypothetical protein CHLNCDRAFT_142824 [Chlorella variabilis]	QAXK01001551.1_59690-63747
OG0000732	XP_005848939.1 hypothetical protein CHLNCDRAFT_144411 [Chlorella variabilis]	QAXK01003652.1_16558-15646
OG0000734	XP_005852202.1 hypothetical protein CHLNCDRAFT_133426 [Chlorella variabilis], XP_005852203.1 hypothetical protein CHLNCDRAFT_133427 [Chlorella variabilis]	QAXK01007307.1_6962-7960
OG0000735	XP_005849935.1 hypothetical protein CHLNCDRAFT_20778 [Chlorella variabilis], XP_005849933.1 hypothetical protein CHLNCDRAFT_143259 [Chlorella variabilis]	QAXK01011105.1_8336-6488
OG0000747	XP_005852077.1 hypothetical protein CHLNCDRAFT_18657 [Chlorella variabilis], XP_005852076.1 hypothetical protein CHLNCDRAFT_18784_ partial [Chlorella variabilis]	QAXK01006607.1_16309-17535
OG0000753	XP_005843828.1 hypothetical protein CHLNCDRAFT_139908 [Chlorella variabilis]	QAXK01001647.1_3154-482
OG0000764	XP_005845039.1 hypothetical protein CHLNCDRAFT_26131 [Chlorella variabilis]	QAXK01005724.1_7661-4858
OG0000770	XP_005847482.1 hypothetical protein CHLNCDRAFT_35636 [Chlorella variabilis], XP_005844360.1 hypothetical protein CHLNCDRAFT_36917 [Chlorella variabilis]	QAXK01003607.1_11324-13747
OG0000774	XP_005849008.1 hypothetical protein CHLNCDRAFT_30733 [Chlorella variabilis]	QAXK01004825.1_8965-10753
OG0000777	XP_005842954.1 hypothetical protein CHLNCDRAFT_141766 [Chlorella variabilis], XP_005842955.1 hypothetical protein CHLNCDRAFT_141768 [Chlorella variabilis]	QAXK01002948.1_4354-3157
OG0000778	XP_005843007.1 hypothetical protein CHLNCDRAFT_141664 [Chlorella variabilis], XP_005842978.1 hypothetical protein CHLNCDRAFT_141673 [Chlorella variabilis]	QAXK01014006.1_1593-3302
OG0000782	XP_005851138.1 hypothetical protein CHLNCDRAFT_137734 [Chlorella variabilis], XP_005850480.1 hypothetical protein CHLNCDRAFT_13680_ partial [Chlorella variabilis]	QAXK01009651.1_2303-1712
OG0000784	XP_005849247.1 hypothetical protein CHLNCDRAFT_57362 [Chlorella variabilis]	QAXK01014689.1_5406-4708
OG0000786	XP_005844217.1 expressed protein [Chlorella variabilis], XP_005846364.1 hypothetical protein CHLNCDRAFT_135817 [Chlorella variabilis], XP_005846363.1 hypothetical protein CHLNCDRAFT_48255 [Chlorella variabilis]	QAXK01006828.1_9411-7696
OG0000788	XP_005843738.1 hypothetical protein CHLNCDRAFT_140078 [Chlorella variabilis]	QAXK01010339.1_3422-4517
OG0000793	XP_005842638.1 hypothetical protein CHLNCDRAFT_55812_ partial [Chlorella variabilis], XP_005842545.1 expressed protein [Chlorella variabilis]	QAXK01000249.1_22218-16975
OG0000799	XP_005848196.1 hypothetical protein CHLNCDRAFT_22668 [Chlorella variabilis]	QAXK01005565.1_18254-19052
OG0000818	XP_005849239.1 hypothetical protein CHLNCDRAFT_34838 [Chlorella variabilis]	QAXK01008587.1_153-1989
OG0000819	XP_005850196.1 hypothetical protein CHLNCDRAFT_142412 [Chlorella variabilis], XP_005850197.1 hypothetical protein CHLNCDRAFT_142413 [Chlorella variabilis]	QAXK01003572.1_15443-13865
OG0000827	XP_005847337.1 hypothetical protein CHLNCDRAFT_58001 [Chlorella variabilis]	QAXK01003364.1_14418-18303
OG0000828	XP_005843561.1 hypothetical protein CHLNCDRAFT_140197 [Chlorella variabilis]	QAXK01000782.1_20679-19905
OG0000830	XP_005850427.1 hypothetical protein CHLNCDRAFT_7891_ partial [Chlorella variabilis], XP_005846670.1 hypothetical protein CHLNCDRAFT_58196 [Chlorella variabilis]	QAXK01013271.1_12309-15183
OG0000856	XP_005844273.1 hypothetical protein CHLNCDRAFT_27124 [Chlorella variabilis], XP_005845339.1 hypothetical protein CHLNCDRAFT_137137 [Chlorella variabilis]	QAXK01018212.1_1235-2568
OG0000857	XP_005850992.1 hypothetical protein CHLNCDRAFT_20008_ partial [Chlorella variabilis], XP_005846797.1 hypothetical protein CHLNCDRAFT_15594_ partial [Chlorella variabilis]	QAXK01003829.1_4453-4800
OG0000858	XP_005848812.1 hypothetical protein CHLNCDRAFT_21843 [Chlorella variabilis], XP_005848813.1 hypothetical protein CHLNCDRAFT_22035_ partial [Chlorella variabilis]	QAXK01000114.1_14115-13091
OG0000882	XP_005842852.1 hypothetical protein CHLNCDRAFT_37697 [Chlorella variabilis]	QAXK01006249.1_4939-7634
OG0000890	XP_005847925.1 hypothetical protein CHLNCDRAFT_145342 [Chlorella variabilis]	QAXK01001134.1_10091-19430
OG0000898	XP_005849127.1 hypothetical protein CHLNCDRAFT_57403 [Chlorella variabilis]	QAXK01003876.1_5991-120
OG0000899	XP_005843944.1 hypothetical protein CHLNCDRAFT_59104 [Chlorella variabilis]	QAXK01013989.1_346-4178
OG0000908	XP_005844750.1 hypothetical protein CHLNCDRAFT_14993_ partial [Chlorella variabilis]	QAXK01003972.1_3812-4471
OG0000925	XP_005846393.1 expressed protein [Chlorella variabilis]	QAXK01005294.1_1798-325
OG0000926	XP_005844518.1 hypothetical protein CHLNCDRAFT_138907 [Chlorella variabilis]	QAXK01006171.1_11343-179
OG0000932	XP_005849800.1 hypothetical protein CHLNCDRAFT_57230 [Chlorella variabilis], XP_005849799.1 hypothetical protein CHLNCDRAFT_20847 [Chlorella variabilis]	QAXK01003666.1_997-2479
OG0000934	XP_005844039.1 hypothetical protein CHLNCDRAFT_139598 [Chlorella variabilis]	QAXK01002301.1_12772-10269
OG0000936	XP_005847964.1 hypothetical protein CHLNCDRAFT_145441 [Chlorella variabilis]	QAXK01016824.1_8642-5783
OG0000942	XP_005851129.1 hypothetical protein CHLNCDRAFT_137717 [Chlorella variabilis]	QAXK01000587.1_67122-65127
OG0000950	XP_005851036.1 hypothetical protein CHLNCDRAFT_140909 [Chlorella variabilis]	QAXK01002497.1_4221-184
OG0000971	XP_005843484.1 hypothetical protein CHLNCDRAFT_140983 [Chlorella variabilis], XP_005847640.1 hypothetical protein CHLNCDRAFT_133979 [Chlorella variabilis]	QAXK01002117.1_8261-6549
OG0000972	XP_005846008.1 NADH_ubiquinone oxidoreductase 51 kD subunit_ partial [Chlorella variabilis]	QAXK01000705.1_20067-23668
OG0000974	XP_005846110.1 hypothetical protein CHLNCDRAFT_31911 [Chlorella variabilis]	QAXK01004234.1_3012-6646
OG0000975	XP_005844479.1 hypothetical protein CHLNCDRAFT_32504 [Chlorella variabilis]	QAXK01000204.1_17480-21863
OG0000993	XP_005847703.1 hypothetical protein CHLNCDRAFT_52216 [Chlorella variabilis]	QAXK01000283.1_5726-3204
OG0001052	XP_005850574.1 hypothetical protein CHLNCDRAFT_140491 [Chlorella variabilis]	QAXK01004375.1_5952-7899
OG0001054	XP_005843928.1 hypothetical protein CHLNCDRAFT_56352 [Chlorella variabilis]	QAXK01011306.1_4473-2613
OG0001058	XP_005844270.1 expressed protein [Chlorella variabilis]	QAXK01006232.1_3779-3289
OG0001060	XP_005845689.1 hypothetical protein CHLNCDRAFT_136793 [Chlorella variabilis]	QAXK01001037.1_5070-1976
OG0001061	XP_005844925.1 hypothetical protein CHLNCDRAFT_15784_ partial [Chlorella variabilis]	QAXK01005753.1_2076-3799
OG0001062	XP_005845518.1 hypothetical protein CHLNCDRAFT_58505 [Chlorella variabilis]	QAXK01000341.1_1318-5933
OG0001063	XP_005843936.1 hypothetical protein CHLNCDRAFT_37165 [Chlorella variabilis]	QAXK01005942.1_10013-5629
OG0001064	XP_005845681.1 hypothetical protein CHLNCDRAFT_36436 [Chlorella variabilis]	QAXK01004812.1_12403-13506
OG0001072	XP_005849779.1 hypothetical protein CHLNCDRAFT_142847 [Chlorella variabilis], XP_005849780.1 hypothetical protein CHLNCDRAFT_142849 [Chlorella variabilis]	QAXK01000429.1_50912-41458
OG0001074	XP_005848049.1 S-adenosyl-L-methionine synthetase [Chlorella variabilis]	QAXK01000217.1_8076-10531
OG0001079	XP_005849803.1 hypothetical protein CHLNCDRAFT_34679 [Chlorella variabilis]	QAXK01000446.1_57156-52957
OG0001082	XP_005850332.1 hypothetical protein CHLNCDRAFT_142121 [Chlorella variabilis]	QAXK01005854.1_4720-5401
OG0001088	XP_005848088.1 hypothetical protein CHLNCDRAFT_30965 [Chlorella variabilis], XP_005848087.1 hypothetical protein CHLNCDRAFT_145350 [Chlorella variabilis]	QAXK01002175.1_7346-5749
OG0001094	XP_005849677.1 hypothetical protein CHLNCDRAFT_57327 [Chlorella variabilis]	QAXK01001089.1_6956-8023
OG0001095	XP_005848174.1 hypothetical protein CHLNCDRAFT_145571 [Chlorella variabilis]	QAXK01000217.1_13973-11099
OG0001096	XP_005851996.1 hypothetical protein CHLNCDRAFT_132912 [Chlorella variabilis]	QAXK01005613.1_12658-11106
OG0001099	XP_005848659.1 hypothetical protein CHLNCDRAFT_144215 [Chlorella variabilis], XP_005848658.1 hypothetical protein CHLNCDRAFT_144214 [Chlorella variabilis]	QAXK01001823.1_3618-2631
OG0001101	XP_005844570.1 hypothetical protein CHLNCDRAFT_32503 [Chlorella variabilis]	QAXK01003836.1_8909-3187
OG0001103	XP_005846499.1 hypothetical protein CHLNCDRAFT_56219 [Chlorella variabilis]	QAXK01003163.1_8178-11099
OG0001105	XP_005847507.1 hypothetical protein CHLNCDRAFT_134521 [Chlorella variabilis]	QAXK01006902.1_4861-6562
OG0001122	XP_005846965.1 hypothetical protein CHLNCDRAFT_134932 [Chlorella variabilis]	QAXK01010311.1_2932-555
OG0001123	XP_005851759.1 hypothetical protein CHLNCDRAFT_33512_ partial [Chlorella variabilis]	QAXK01007750.1_2281-4745
OG0001133	XP_005850993.1 hypothetical protein CHLNCDRAFT_19551_ partial [Chlorella variabilis]	QAXK01006196.1_4390-1589
OG0001143	XP_005851850.1 hypothetical protein CHLNCDRAFT_133371 [Chlorella variabilis], XP_005851851.1 hypothetical protein CHLNCDRAFT_133372 [Chlorella variabilis]	QAXK01003700.1_2979-9653
OG0001144	XP_005846212.1 hypothetical protein CHLNCDRAFT_36301 [Chlorella variabilis]	QAXK01003900.1_2413-4929
OG0001154	XP_005849664.1 hypothetical protein CHLNCDRAFT_143206 [Chlorella variabilis], XP_005851582.1 hypothetical protein CHLNCDRAFT_138089 [Chlorella variabilis]	QAXK01011150.1_3959-2216
OG0001156	XP_005844964.1 hypothetical protein CHLNCDRAFT_26350 [Chlorella variabilis]	QAXK01018601.1_3296-410
OG0001158	XP_005846743.1 hypothetical protein CHLNCDRAFT_35907 [Chlorella variabilis]	QAXK01006945.1_6596-10279
OG0001161	XP_005847996.1 hypothetical protein CHLNCDRAFT_35354_ partial [Chlorella variabilis]	QAXK01004407.1_7887-8977
OG0001166	XP_005851224.1 hypothetical protein CHLNCDRAFT_18825 [Chlorella variabilis]	QAXK01009825.1_846-2644
OG0001171	XP_005844538.1 expressed protein [Chlorella variabilis]	QAXK01006983.1_10356-12388
OG0001176	XP_005849287.1 hypothetical protein CHLNCDRAFT_30552 [Chlorella variabilis]	QAXK01004323.1_8147-5874
OG0001180	XP_005844712.1 hypothetical protein CHLNCDRAFT_138669 [Chlorella variabilis], XP_005844788.1 hypothetical protein CHLNCDRAFT_36776 [Chlorella variabilis]	QAXK01019295.1_3574-2070
OG0001194	XP_005846959.1 hypothetical protein CHLNCDRAFT_56196 [Chlorella variabilis]	QAXK01001649.1_8862-4505
OG0001201	XP_005843198.1 hypothetical protein CHLNCDRAFT_33230 [Chlorella variabilis]	QAXK01000596.1_10252-6748
OG0001208	XP_005850301.1 hypothetical protein CHLNCDRAFT_50601 [Chlorella variabilis]	QAXK01012769.1_10100-9091
OG0001212	XP_005848409.1 hypothetical protein CHLNCDRAFT_51737 [Chlorella variabilis], XP_005848678.1 hypothetical protein CHLNCDRAFT_17713_ partial [Chlorella variabilis]	QAXK01005236.1_15612-13478
OG0001214	XP_005846274.1 hypothetical protein CHLNCDRAFT_36044 [Chlorella variabilis], XP_005848647.1 hypothetical protein CHLNCDRAFT_48708 [Chlorella variabilis]	QAXK01012739.1_10679-8642
OG0001216	XP_005844266.1 hypothetical protein CHLNCDRAFT_32681 [Chlorella variabilis]	QAXK01001490.1_17280-15927
OG0001219	XP_005843856.1 hypothetical protein CHLNCDRAFT_16969_ partial [Chlorella variabilis]	QAXK01008035.1_3747-6912
OG0001221	XP_005850840.1 hypothetical protein CHLNCDRAFT_48524 [Chlorella variabilis]	QAXK01001061.1_17190-18239
OG0001223	XP_005847551.1 hypothetical protein CHLNCDRAFT_52248 [Chlorella variabilis], XP_005842897.1 hypothetical protein CHLNCDRAFT_55557 [Chlorella variabilis]	QAXK01005846.1_3896-588
OG0001225	XP_005849146.1 hypothetical protein CHLNCDRAFT_30584 [Chlorella variabilis], XP_005849147.1 hypothetical protein CHLNCDRAFT_143760 [Chlorella variabilis]	QAXK01000732.1_2978-2655
OG0001229	XP_005847572.1 hypothetical protein CHLNCDRAFT_56155 [Chlorella variabilis]	QAXK01016063.1_5569-3270
OG0001231	XP_005847262.1 hypothetical protein CHLNCDRAFT_134271 [Chlorella variabilis], XP_005847261.1 hypothetical protein CHLNCDRAFT_35566 [Chlorella variabilis]	QAXK01000362.1_21408-20438
OG0001236	XP_005843958.1 hypothetical protein CHLNCDRAFT_48339 [Chlorella variabilis]	QAXK01000513.1_15183-11736
OG0001242	XP_005851115.1 hypothetical protein CHLNCDRAFT_33771 [Chlorella variabilis]	QAXK01004645.1_1487-5075
OG0001246	XP_005845102.1 hypothetical protein CHLNCDRAFT_137448 [Chlorella variabilis]	QAXK01010639.1_8900-15142
OG0001248	XP_005847702.1 hypothetical protein CHLNCDRAFT_52424_ partial [Chlorella variabilis], XP_005844136.1 hypothetical protein CHLNCDRAFT_54617_ partial [Chlorella variabilis]	QAXK01010718.1_75-1989
OG0001264	XP_005847698.1 hypothetical protein CHLNCDRAFT_48821 [Chlorella variabilis], XP_005847123.1 hypothetical protein CHLNCDRAFT_24333 [Chlorella variabilis]	QAXK01001653.1_329-2259
OG0001279	XP_005849115.1 hypothetical protein CHLNCDRAFT_143681 [Chlorella variabilis], XP_005849116.1 hypothetical protein CHLNCDRAFT_143682 [Chlorella variabilis]	QAXK01000624.1_32528-30577
OG0001307	XP_005849409.1 hypothetical protein CHLNCDRAFT_143921 [Chlorella variabilis], XP_005849410.1 hypothetical protein CHLNCDRAFT_143922 [Chlorella variabilis]	QAXK01005917.1_319-7230
OG0001308	XP_005847083.1 hypothetical protein CHLNCDRAFT_24199 [Chlorella variabilis]	QAXK01006084.1_8922-13556
OG0001309	XP_005846908.1 hypothetical protein CHLNCDRAFT_134789_ partial [Chlorella variabilis]	QAXK01004533.1_5070-10667
OG0001310	XP_005849411.1 hypothetical protein CHLNCDRAFT_143924 [Chlorella variabilis]	QAXK01002895.1_5020-6663
OG0001311	XP_005846912.1 hypothetical protein CHLNCDRAFT_35777 [Chlorella variabilis]	QAXK01001613.1_2521-6885
OG0001312	XP_005843854.1 hypothetical protein CHLNCDRAFT_27642 [Chlorella variabilis]	QAXK01003510.1_1900-3653
OG0001313	XP_005846901.1 hypothetical protein CHLNCDRAFT_24291_ partial [Chlorella variabilis], XP_005846900.1 hypothetical protein CHLNCDRAFT_52755 [Chlorella variabilis]	QAXK01001184.1_9548-5781
OG0001314	XP_005846897.1 hypothetical protein CHLNCDRAFT_134762 [Chlorella variabilis]	QAXK01001944.1_3765-1753
OG0001316	XP_005845703.1 hypothetical protein CHLNCDRAFT_58555 [Chlorella variabilis]	QAXK01006921.1_16832-14836
OG0001318	XP_005848322.1 hypothetical protein CHLNCDRAFT_30844 [Chlorella variabilis]	QAXK01001801.1_7866-9916
OG0001320	XP_005845683.1 hypothetical protein CHLNCDRAFT_8099_ partial [Chlorella variabilis]	QAXK01000167.1_14384-11911
OG0001328	XP_005844082.1 hypothetical protein CHLNCDRAFT_56342 [Chlorella variabilis]	QAXK01006882.1_17133-19836
OG0001331	XP_005848712.1 hypothetical protein CHLNCDRAFT_144369 [Chlorella variabilis]	QAXK01009171.1_15170-12352
OG0001332	XP_005849793.1 hypothetical protein CHLNCDRAFT_57223 [Chlorella variabilis]	QAXK01004338.1_10706-15436
OG0001334	XP_005845274.1 hypothetical protein CHLNCDRAFT_25981 [Chlorella variabilis]	QAXK01003133.1_258-4577
OG0001338	XP_005848731.1 hypothetical protein CHLNCDRAFT_144412 [Chlorella variabilis]	QAXK01002293.1_4021-8056
OG0001340	XP_005844812.1 hypothetical protein CHLNCDRAFT_36797 [Chlorella variabilis]	QAXK01004523.1_6228-4685
OG0001342	XP_005849334.1 hypothetical protein CHLNCDRAFT_143718 [Chlorella variabilis]	QAXK01003268.1_11937-16935
OG0001343	XP_005849911.1 hypothetical protein CHLNCDRAFT_21002 [Chlorella variabilis]	QAXK01000799.1_6873-2057
OG0001353	XP_005846771.1 hypothetical protein CHLNCDRAFT_52990 [Chlorella variabilis]	QAXK01011632.1_4873-7912
OG0001356	XP_005851938.1 hypothetical protein CHLNCDRAFT_133597 [Chlorella variabilis]	QAXK01003307.1_27135-26267
OG0001360	XP_005849861.1 hypothetical protein CHLNCDRAFT_143054 [Chlorella variabilis]	QAXK01001741.1_6153-8648
OG0001363	XP_005849404.1 hypothetical protein CHLNCDRAFT_34933 [Chlorella variabilis]	QAXK01003747.1_13973-10331
OG0001365	XP_005847199.1 hypothetical protein CHLNCDRAFT_134999 [Chlorella variabilis]	QAXK01000515.1_20837-25236
OG0001366	XP_005850938.1 hypothetical protein CHLNCDRAFT_140676 [Chlorella variabilis]	QAXK01004846.1_20461-19235
OG0001370	XP_005843617.1 hypothetical protein CHLNCDRAFT_27963 [Chlorella variabilis]	QAXK01000381.1_4423-6771
OG0001374	XP_005843622.1 hypothetical protein CHLNCDRAFT_49235 [Chlorella variabilis]	QAXK01013224.1_5335-6988
OG0001375	XP_005847170.1 hypothetical protein CHLNCDRAFT_23906 [Chlorella variabilis]	QAXK01005120.1_8361-10056
OG0001376	XP_005852078.1 expressed protein [Chlorella variabilis]	QAXK01019935.1_413-1820
OG0001381	XP_005844407.1 argininosuccinate lyase [Chlorella variabilis]	QAXK01000172.1_6135-2748
OG0001382	XP_005843626.1 hypothetical protein CHLNCDRAFT_59234 [Chlorella variabilis]	QAXK01001066.1_8917-1138
OG0001383	XP_005842570.1 hypothetical protein CHLNCDRAFT_55891_ partial [Chlorella variabilis], XP_005843581.1 hypothetical protein CHLNCDRAFT_56398 [Chlorella variabilis]	QAXK01003326.1_3639-1243
OG0001385	XP_005844342.1 hypothetical protein CHLNCDRAFT_26891 [Chlorella variabilis]	QAXK01005279.1_10173-5871
OG0001388	XP_005844954.1 hypothetical protein CHLNCDRAFT_26393_ partial [Chlorella variabilis]	QAXK01001208.1_10635-13964
OG0001393	XP_005846625.1 hypothetical protein CHLNCDRAFT_9747_ partial [Chlorella variabilis]	QAXK01005917.1_17047-13738
OG0001397	XP_005846379.1 hypothetical protein CHLNCDRAFT_24755_ partial [Chlorella variabilis]	QAXK01000502.1_39339-43298
OG0001398	XP_005849717.1 hypothetical protein CHLNCDRAFT_34562 [Chlorella variabilis]	QAXK01003277.1_3770-8
OG0001400	XP_005843813.1 hypothetical protein CHLNCDRAFT_12853_ partial [Chlorella variabilis]	QAXK01001993.1_28544-29840
OG0001401	XP_005848967.1 hypothetical protein CHLNCDRAFT_144492 [Chlorella variabilis]	QAXK01010276.1_2943-1867
OG0001406	XP_005851025.1 hypothetical protein CHLNCDRAFT_56983 [Chlorella variabilis]	QAXK01000595.1_2983-1676
OG0001408	XP_005844747.1 hypothetical protein CHLNCDRAFT_56301 [Chlorella variabilis]	QAXK01000367.1_8675-18356
OG0001409	XP_005846539.1 hypothetical protein CHLNCDRAFT_135831 [Chlorella variabilis]	QAXK01004930.1_4250-5628
OG0001417	XP_005848359.1 hypothetical protein CHLNCDRAFT_59660 [Chlorella variabilis]	QAXK01005381.1_315-2273
OG0001420	XP_005851832.1 hypothetical protein CHLNCDRAFT_133322 [Chlorella variabilis]	QAXK01000297.1_21777-22493
OG0001424	XP_005848357.1 hypothetical protein CHLNCDRAFT_22496 [Chlorella variabilis]	QAXK01001628.1_9434-11057
OG0001425	XP_005848403.1 hypothetical protein CHLNCDRAFT_11586_ partial [Chlorella variabilis]	QAXK01003581.1_2363-4183
OG0001426	XP_005844348.1 hypothetical protein CHLNCDRAFT_58930 [Chlorella variabilis]	QAXK01005880.1_1-9276
OG0001428	XP_005845307.1 hypothetical protein CHLNCDRAFT_137054 [Chlorella variabilis]	QAXK01000837.1_14096-17956
OG0001431	XP_005848243.1 hypothetical protein CHLNCDRAFT_144800 [Chlorella variabilis]	QAXK01013424.1_6153-1945
OG0001432	XP_005844036.1 hypothetical protein CHLNCDRAFT_49152 [Chlorella variabilis]	QAXK01000224.1_16848-15439
OG0001445	XP_005843270.1 hypothetical protein CHLNCDRAFT_55283 [Chlorella variabilis]	QAXK01000732.1_11950-7418
OG0001455	XP_005849069.1 hypothetical protein CHLNCDRAFT_51247 [Chlorella variabilis]	QAXK01001576.1_5934-8651
OG0001456	XP_005845731.1 hypothetical protein CHLNCDRAFT_136322 [Chlorella variabilis]	QAXK01006785.1_1906-1226
OG0001460	XP_005849260.1 hypothetical protein CHLNCDRAFT_143518 [Chlorella variabilis], XP_005849066.1 hypothetical protein CHLNCDRAFT_143546 [Chlorella variabilis]	QAXK01015424.1_3358-1233
OG0001462	XP_005849044.1 hypothetical protein CHLNCDRAFT_143487 [Chlorella variabilis]	QAXK01002112.1_6014-14709
OG0001465	XP_005848956.1 hypothetical protein CHLNCDRAFT_22067 [Chlorella variabilis]	QAXK01006322.1_7890-11183
OG0001469	XP_005849423.1 hypothetical protein CHLNCDRAFT_51429 [Chlorella variabilis], XP_005850473.1 hypothetical protein CHLNCDRAFT_16970_ partial [Chlorella variabilis]	QAXK01007783.1_10721-12010
OG0001473	XP_005844309.1 hypothetical protein CHLNCDRAFT_59761 [Chlorella variabilis]	QAXK01003650.1_4575-2929
OG0001476	XP_005843038.1 hypothetical protein CHLNCDRAFT_141588 [Chlorella variabilis]	QAXK01001134.1_7136-9582
OG0001477	XP_005847477.1 hypothetical protein CHLNCDRAFT_57981 [Chlorella variabilis], XP_005849361.1 hypothetical protein CHLNCDRAFT_143807 [Chlorella variabilis]	QAXK01003160.1_17527-15091
OG0001480	XP_005843037.1 hypothetical protein CHLNCDRAFT_28509_ partial [Chlorella variabilis]	QAXK01000632.1_24086-22557
OG0001482	XP_005847130.1 hypothetical protein CHLNCDRAFT_134869 [Chlorella variabilis]	QAXK01000159.1_14204-11398
OG0001488	XP_005843630.1 hypothetical protein CHLNCDRAFT_33094 [Chlorella variabilis]	QAXK01004286.1_7784-2904
OG0001492	XP_005847074.1 hypothetical protein CHLNCDRAFT_56191 [Chlorella variabilis]	QAXK01003809.1_2040-4733
OG0001493	XP_005843967.1 hypothetical protein CHLNCDRAFT_32953 [Chlorella variabilis]	QAXK01001201.1_5367-10319
OG0001503	XP_005844070.1 hypothetical protein CHLNCDRAFT_32746 [Chlorella variabilis], XP_005844069.1 hypothetical protein CHLNCDRAFT_139459 [Chlorella variabilis]	QAXK01001163.1_27767-28960
OG0001506	XP_005848003.1 hypothetical protein CHLNCDRAFT_22955 [Chlorella variabilis]	QAXK01000137.1_3425-4331
OG0001508	XP_005848097.1 hypothetical protein CHLNCDRAFT_145376 [Chlorella variabilis], XP_005842657.1 hypothetical protein CHLNCDRAFT_139005_ partial [Chlorella variabilis]	QAXK01001982.1_904-3015
OG0001514	XP_005846135.1 hypothetical protein CHLNCDRAFT_58381 [Chlorella variabilis]	QAXK01003231.1_16625-14068
OG0001526	XP_005847609.1 hypothetical protein CHLNCDRAFT_35428 [Chlorella variabilis]	QAXK01019948.1_5388-2969
OG0001527	XP_005844327.1 hypothetical protein CHLNCDRAFT_54543 [Chlorella variabilis]	QAXK01013863.1_4654-1867
OG0001528	XP_005850071.1 hypothetical protein CHLNCDRAFT_142104 [Chlorella variabilis]	QAXK01000325.1_37384-41123
OG0001529	XP_005844210.1 hypothetical protein CHLNCDRAFT_139408 [Chlorella variabilis]	QAXK01004092.1_4427-5291
OG0001532	XP_005851497.1 hypothetical protein CHLNCDRAFT_137885 [Chlorella variabilis]	QAXK01000782.1_11007-12134
OG0001533	XP_005844336.1 hypothetical protein CHLNCDRAFT_58922 [Chlorella variabilis]	QAXK01000265.1_17007-12444
OG0001534	XP_005846636.1 hypothetical protein CHLNCDRAFT_35936 [Chlorella variabilis]	QAXK01000695.1_5671-2183
OG0001538	XP_005847304.1 hypothetical protein CHLNCDRAFT_35625 [Chlorella variabilis]	QAXK01009353.1_4260-348
OG0001542	XP_005848850.1 hypothetical protein CHLNCDRAFT_17454_ partial [Chlorella variabilis]	QAXK01011884.1_2510-4036
OG0001544	XP_005845316.1 hypothetical protein CHLNCDRAFT_11702_ partial [Chlorella variabilis]	QAXK01002332.1_5291-4007
OG0001545	XP_005850377.1 hypothetical protein CHLNCDRAFT_142244 [Chlorella variabilis]	QAXK01000350.1_22889-27018
OG0001546	XP_005845367.1 hypothetical protein CHLNCDRAFT_8322_ partial [Chlorella variabilis]	QAXK01011857.1_1226-3209
OG0001548	XP_005851947.1 hypothetical protein CHLNCDRAFT_14078_ partial [Chlorella variabilis], XP_005851944.1 hypothetical protein CHLNCDRAFT_49694 [Chlorella variabilis]	QAXK01001795.1_1688-3314
OG0001549	XP_005843954.1 hypothetical protein CHLNCDRAFT_37236 [Chlorella variabilis]	QAXK01005406.1_4717-2509
OG0001550	XP_005852260.1 hypothetical protein CHLNCDRAFT_59548 [Chlorella variabilis]	QAXK01004537.1_7009-1449
