Orthogroup	Chlorella_Sorokiniana1602	Chlorella_Vulgaris2111P
OG0000231	PRW20241.1 coiled-coil Y [Chlorella sorokiniana]	KAI3430704.1 hypothetical protein D9Q98_005293 [Chlorella vulgaris]
OG0000231	PRW58098.1 Ankyrin repeat-containing YAR1 [Chlorella sorokiniana]	KAI3427008.1 hypothetical protein D9Q98_006951 [Chlorella vulgaris]
OG0000231	PRW45049.1 jmjC domain-containing 4 [Chlorella sorokiniana]	KAI3426057.1 hypothetical protein D9Q98_008025 [Chlorella vulgaris]
OG0000232	PRW57652.1 3-oxoacyl-[acyl-carrier] synthase chloroplastic isoform B [Chlorella sorokiniana], PRW57651.1 3-oxoacyl-[acyl-carrier] synthase chloroplastic isoform A [Chlorella sorokiniana]	KAI3425760.1 hypothetical protein D9Q98_007735 [Chlorella vulgaris]
OG0000232	PRW20627.1 3-oxoacyl-synthase I [Chlorella sorokiniana]	KAI3434493.1 hypothetical protein D9Q98_002568 [Chlorella vulgaris]
OG0000233	PRW59852.1 NADPH-cytochrome P450 reductase [Chlorella sorokiniana]	KAI3435910.1 hypothetical protein D9Q98_001968 [Chlorella vulgaris]
OG0000233	PRW61133.1 polyadenylate-binding 4 [Chlorella sorokiniana]	KAI3432336.1 hypothetical protein D9Q98_003894 [Chlorella vulgaris]
OG0000234	PRW60850.1 eukaryotic initiation factor 4A-3 [Chlorella sorokiniana]	KAI3429374.1 hypothetical protein D9Q98_005469 [Chlorella vulgaris]
OG0000235	PRW58160.1 coatomer subunit alpha-1 [Chlorella sorokiniana]	KAI3433964.1 hypothetical protein D9Q98_003766 [Chlorella vulgaris]
OG0000236	PRW60642.1 alanine aminotransferase 2 [Chlorella sorokiniana]	KAI3429700.1 hypothetical protein D9Q98_005785 [Chlorella vulgaris]
OG0000236	PRW44404.1 alanine aminotransferase isoform A [Chlorella sorokiniana], PRW44403.1 alanine aminotransferase isoform B [Chlorella sorokiniana]	KAI3428713.1 hypothetical protein D9Q98_007537 [Chlorella vulgaris]
OG0000237	PRW39120.1 Insulin-like growth factor binding_ N-terminal [Chlorella sorokiniana], PRW39118.1 Insulin-like growth factor binding_ N-terminal [Chlorella sorokiniana], PRW33060.1 hypothetical protein C2E21_7981 [Chlorella sorokiniana], PRW59309.1 serine threonine [Chlorella sorokiniana]	KAI3430586.1 hypothetical protein D9Q98_005179 [Chlorella vulgaris]
OG0000238	PRW57932.1 galactose oxidase [Chlorella sorokiniana], PRW34090.1 kelch domain-containing [Chlorella sorokiniana]	KAI3432794.1 hypothetical protein D9Q98_010378 [Chlorella vulgaris]
OG0000240	PRW56610.1 Adenine guanine permease AZG1 [Chlorella sorokiniana]	KAI3428274.1 hypothetical protein D9Q98_006653 [Chlorella vulgaris]
OG0000240	PRW05836.1 Adenine guanine permease AZG1 [Chlorella sorokiniana]	KAI3428804.1 hypothetical protein D9Q98_007621 [Chlorella vulgaris], KAI3428803.1 hypothetical protein D9Q98_007621 [Chlorella vulgaris], KAI3428802.1 hypothetical protein D9Q98_007621 [Chlorella vulgaris]
OG0000241	PRW32542.1 B-cell receptor-associated 31 [Chlorella sorokiniana]	KAI3423928.1 hypothetical protein D9Q98_009762 [Chlorella vulgaris]
OG0000241	PRW33732.1 Arsenite methyltransferase [Chlorella sorokiniana]	KAI3425191.1 hypothetical protein D9Q98_008960 [Chlorella vulgaris], KAI3425190.1 hypothetical protein D9Q98_008959 [Chlorella vulgaris], KAI3425189.1 hypothetical protein D9Q98_008958 [Chlorella vulgaris]
OG0000242	PRW21103.1 Phospholipase B-like 1 isoform B [Chlorella sorokiniana], PRW21102.1 Phospholipase B-like 1 isoform A [Chlorella sorokiniana]	KAI3424095.1 hypothetical protein D9Q98_009457 [Chlorella vulgaris]
OG0000243	PRW61565.1 cobalamin-dependent methionine synthase [Chlorella sorokiniana]	KAI3432427.1 hypothetical protein D9Q98_003981 [Chlorella vulgaris]
OG0000243	PRW44368.1 KRI1-like protein [Chlorella sorokiniana]	KAI3428727.1 hypothetical protein D9Q98_007551 [Chlorella vulgaris]
OG0000244	PRW56731.1 zinc finger CONSTANS-LIKE 5 [Chlorella sorokiniana]	KAI3428248.1 hypothetical protein D9Q98_006627 [Chlorella vulgaris], KAI3428247.1 hypothetical protein D9Q98_006627 [Chlorella vulgaris]
OG0000244	PRW45554.1 Collagen adhesion [Chlorella sorokiniana]	KAI3424125.1 hypothetical protein D9Q98_009486 [Chlorella vulgaris]
OG0000245	PRW61406.1 FAD-dependent oxidoreductase [Chlorella sorokiniana]	KAI3432283.1 hypothetical protein D9Q98_003843 [Chlorella vulgaris]
OG0000245	PRW45123.1 fad dependent oxidoreductase [Chlorella sorokiniana]	KAI3426308.1 hypothetical protein D9Q98_008681 [Chlorella vulgaris]
OG0000245	PRW20829.1 NAD-dependent deacetylase sirtuin-2 [Chlorella sorokiniana]	KAI3437700.1 hypothetical protein D9Q98_000149 [Chlorella vulgaris]
OG0000246	PRW58726.1 cold-regulated 1 [Chlorella sorokiniana], PRW59088.1 cold-regulated 1 [Chlorella sorokiniana]	KAI3438476.1 hypothetical protein D9Q98_000905 [Chlorella vulgaris]
OG0000246	PRW33569.1 cold-regulated 1 [Chlorella sorokiniana]	KAI3438477.1 hypothetical protein D9Q98_000906 [Chlorella vulgaris], KAI3438481.1 hypothetical protein D9Q98_000909 [Chlorella vulgaris], KAI3438482.1 hypothetical protein D9Q98_000910 [Chlorella vulgaris], KAI3438478.1 hypothetical protein D9Q98_000907 [Chlorella vulgaris], KAI3438479.1 hypothetical protein D9Q98_000907 [Chlorella vulgaris], KAI3438484.1 hypothetical protein D9Q98_000912 [Chlorella vulgaris], KAI3438480.1 hypothetical protein D9Q98_000908 [Chlorella vulgaris]
OG0000247	PRW44307.1 2-cys peroxiredoxin [Chlorella sorokiniana]	KAI3428504.1 hypothetical protein D9Q98_007328 [Chlorella vulgaris]
OG0000247	PRW58730.1 2-cys peroxiredoxin BAS1 [Chlorella sorokiniana]	KAI3429626.1 hypothetical protein D9Q98_005712 [Chlorella vulgaris]
OG0000248	PRW55937.1 DAZ-associated 1 [Chlorella sorokiniana]	KAI3436646.1 hypothetical protein D9Q98_006062 [Chlorella vulgaris]
OG0000248	PRW56224.1 Dual specificity kinase shkE [Chlorella sorokiniana]	KAI3436645.1 hypothetical protein D9Q98_006061 [Chlorella vulgaris]
OG0000249	PRW33845.1 hypothetical protein C2E21_7319 [Chlorella sorokiniana]	KAI3434873.1 hypothetical protein D9Q98_002927 [Chlorella vulgaris]
OG0000249	PRW61058.1 RWP-RK domain-containing _ISS_ [Chlorella sorokiniana]	KAI3432733.1 hypothetical protein D9Q98_004274 [Chlorella vulgaris]
OG0000249	PRW59842.1 RWP-RK domain-containing [Chlorella sorokiniana]	KAI3436189.1 hypothetical protein D9Q98_002244 [Chlorella vulgaris]
OG0000249	PRW20437.1 hypothetical protein C2E21_9077 [Chlorella sorokiniana], PRW61050.1 RWP-RK domain-containing _ISS_ [Chlorella sorokiniana]	KAI3432273.1 hypothetical protein D9Q98_003833 [Chlorella vulgaris]
OG0000250	PRW45536.1 light-harvesting of photosystem I [Chlorella sorokiniana]	KAI3425056.1 hypothetical protein D9Q98_008434 [Chlorella vulgaris]
OG0000250	PRW45490.1 electron transfer flavo -ubiquinone oxidoreductase [Chlorella sorokiniana]	KAI3425057.1 hypothetical protein D9Q98_008435 [Chlorella vulgaris]
OG0000250	PRW45697.1 light-harvesting of photosystem I [Chlorella sorokiniana]	KAI3425054.1 hypothetical protein D9Q98_008432 [Chlorella vulgaris]
OG0000251	PRW59954.1 Aldo keto reductase [Chlorella sorokiniana], PRW60123.1 aldo keto reductase [Chlorella sorokiniana], PRW59829.1 aldo keto reductase [Chlorella sorokiniana], PRW59739.1 aldo keto reductase [Chlorella sorokiniana], PRW59960.1 putative aldo-keto reductase 2 [Chlorella sorokiniana]	KAI3436042.1 hypothetical protein D9Q98_002099 [Chlorella vulgaris], KAI3436041.1 hypothetical protein D9Q98_002098 [Chlorella vulgaris]
OG0000252	PRW50937.1 eukaryotic translation elongation factor 1 alpha 2 [Chlorella sorokiniana]	KAI3426912.1 hypothetical protein D9Q98_006856 [Chlorella vulgaris], KAI3426909.1 hypothetical protein D9Q98_006853 [Chlorella vulgaris]
OG0000252	PRW51008.1 eukaryotic translation elongation factor 1 alpha 2 [Chlorella sorokiniana]	KAI3426910.1 hypothetical protein D9Q98_006854 [Chlorella vulgaris]
OG0000253	PRW33890.1 mechanosensitive ion channel [Chlorella sorokiniana]	KAI3434983.1 hypothetical protein D9Q98_003035 [Chlorella vulgaris]
OG0000253	PRW56732.1 mechanosensitive ion channel [Chlorella sorokiniana]	KAI3427237.1 hypothetical protein D9Q98_007172 [Chlorella vulgaris], KAI3438969.1 hypothetical protein D9Q98_001383 [Chlorella vulgaris]
OG0000254	PRW44505.1 mitochondrial ribosomal L11 [Chlorella sorokiniana]	KAI3428757.1 hypothetical protein D9Q98_007579 [Chlorella vulgaris]
OG0000254	PRW33322.1 50S ribosomal L11 [Chlorella sorokiniana]	KAI3431751.1 hypothetical protein D9Q98_004793 [Chlorella vulgaris]
OG0000255	PRW56852.1 Mitochondrial inner membrane protease subunit 2 [Chlorella sorokiniana]	KAI3428378.1 hypothetical protein D9Q98_006758 [Chlorella vulgaris]
OG0000255	PRW45470.1 mitochondrial inner membrane protease subunit 1-like [Chlorella sorokiniana]	KAI3424770.1 hypothetical protein D9Q98_008158 [Chlorella vulgaris]
OG0000256	PRW57760.1 DEAD DEAH box [Chlorella sorokiniana]	KAI3423807.1 hypothetical protein D9Q98_009644 [Chlorella vulgaris]
OG0000256	PRW60806.1 putative phosphoinositide phosphatase SAC9 isoform X1 [Chlorella sorokiniana]	KAI3429612.1 hypothetical protein D9Q98_005698 [Chlorella vulgaris]
OG0000257	PRW39062.1 hypothetical protein C2E21_7102 [Chlorella sorokiniana], PRW39236.1 hypothetical protein C2E21_7108 [Chlorella sorokiniana], PRW45335.1 hypothetical protein C2E21_5855 [Chlorella sorokiniana]	KAI3434427.1 hypothetical protein D9Q98_002504 [Chlorella vulgaris]
OG0000258	PRW05904.1 Cell division control 6 [Chlorella sorokiniana]	KAI3427238.1 hypothetical protein D9Q98_007173 [Chlorella vulgaris], KAI3427236.1 hypothetical protein D9Q98_007171 [Chlorella vulgaris], KAI3424071.1 hypothetical protein D9Q98_009434 [Chlorella vulgaris], KAI3427374.1 hypothetical protein D9Q98_010290 [Chlorella vulgaris], KAI3427367.1 hypothetical protein D9Q98_010283 [Chlorella vulgaris], KAI3427372.1 hypothetical protein D9Q98_010288 [Chlorella vulgaris], KAI3427370.1 hypothetical protein D9Q98_010286 [Chlorella vulgaris], KAI3427366.1 hypothetical protein D9Q98_010282 [Chlorella vulgaris], KAI3427364.1 hypothetical protein D9Q98_010280 [Chlorella vulgaris], KAI3427365.1 hypothetical protein D9Q98_010281 [Chlorella vulgaris], KAI3427428.1 hypothetical protein D9Q98_010343 [Chlorella vulgaris], KAI3432770.1 hypothetical protein D9Q98_004310 [Chlorella vulgaris], KAI3427307.1 hypothetical protein D9Q98_010224 [Chlorella vulgaris], KAI3427369.1 hypothetical protein D9Q98_010285 [Chlorella vulgaris]
OG0000259	PRW56745.1 putative WD repeat-containing [Chlorella sorokiniana]	KAI3427937.1 hypothetical protein D9Q98_006327 [Chlorella vulgaris]
OG0000259	PRW56762.1 WD repeat-containing 89-like protein [Chlorella sorokiniana]	KAI3427925.1 hypothetical protein D9Q98_006317 [Chlorella vulgaris], KAI3427924.1 hypothetical protein D9Q98_006316 [Chlorella vulgaris]
OG0000260	PRW34029.1 homogentisate phytyltransferase chloroplastic isoform B [Chlorella sorokiniana], PRW34028.1 homogentisate phytyltransferase chloroplastic isoform A [Chlorella sorokiniana]	KAI3425958.1 hypothetical protein D9Q98_007928 [Chlorella vulgaris]
OG0000260	PRW57528.1 homogentisate chloroplastic [Chlorella sorokiniana]	KAI3437802.1 hypothetical protein D9Q98_000249 [Chlorella vulgaris]
OG0000262	PRW57187.1 formate--tetrahydrofolate ligase [Chlorella sorokiniana]	KAI3438087.1 hypothetical protein D9Q98_000529 [Chlorella vulgaris], KAI3438086.1 hypothetical protein D9Q98_000528 [Chlorella vulgaris]
OG0000263	PRW57978.1 flagellar associated [Chlorella sorokiniana]	KAI3428023.1 hypothetical protein D9Q98_006409 [Chlorella vulgaris]
OG0000263	PRW56460.1 flagellar associated [Chlorella sorokiniana]	KAI3428025.1 hypothetical protein D9Q98_006411 [Chlorella vulgaris], KAI3428024.1 hypothetical protein D9Q98_006410 [Chlorella vulgaris], KAI3428027.1 hypothetical protein D9Q98_006413 [Chlorella vulgaris], KAI3428026.1 hypothetical protein D9Q98_006412 [Chlorella vulgaris]
OG0000264	PRW33030.1 LOV domain-containing [Chlorella sorokiniana]	KAI3430496.1 hypothetical protein D9Q98_005091 [Chlorella vulgaris]
OG0000265	PRW58877.1 P-ATPase family transporter_ copper ion heavy metal transporting P-type ATPase [Chlorella sorokiniana]	KAI3438861.1 hypothetical protein D9Q98_001278 [Chlorella vulgaris]
OG0000265	PRW05833.1 copper-transporting ATPase chloroplastic [Chlorella sorokiniana]	KAI3428823.1 hypothetical protein D9Q98_007640 [Chlorella vulgaris]
OG0000266	PRW51108.1 ERAD-associated E3 ubiquitin- ligase HRD1B-like [Chlorella sorokiniana]	KAI3427160.1 hypothetical protein D9Q98_007097 [Chlorella vulgaris]
OG0000266	PRW50794.1 Dual-specificity RNA methyltransferase [Chlorella sorokiniana]	KAI3427162.1 hypothetical protein D9Q98_007099 [Chlorella vulgaris]
OG0000267	PRW58300.1 raffinose synthase [Chlorella sorokiniana]	KAI3433391.1 hypothetical protein D9Q98_003207 [Chlorella vulgaris]
OG0000268	PRW39197.1 transport SEC13-like protein B isoform B [Chlorella sorokiniana], PRW39198.1 transport SEC13-like protein B isoform A [Chlorella sorokiniana]	KAI3431366.1 hypothetical protein D9Q98_004423 [Chlorella vulgaris]
OG0000268	PRW58969.1 kinase and PP2C-like domain-containing [Chlorella sorokiniana]	KAI3439126.1 hypothetical protein D9Q98_001534 [Chlorella vulgaris]
OG0000269	PRW56439.1 floral homeotic [Chlorella sorokiniana]	KAI3428111.1 hypothetical protein D9Q98_006494 [Chlorella vulgaris]
OG0000270	PRW58100.1 DNA-directed RNA polymerase III largest subunit [Chlorella sorokiniana]	KAI3433483.1 hypothetical protein D9Q98_003295 [Chlorella vulgaris]
OG0000270	PRW57000.1 DNA-directed RNA polymerase II subunit 1 [Chlorella sorokiniana]	KAI3438100.1 hypothetical protein D9Q98_000542 [Chlorella vulgaris]
OG0000271	PRW57209.1 strawberry notch [Chlorella sorokiniana]	KAI3437910.1 hypothetical protein D9Q98_000355 [Chlorella vulgaris]
OG0000272	PRW57658.1 pyridoxal chloroplastic [Chlorella sorokiniana]	KAI3425739.1 hypothetical protein D9Q98_007715 [Chlorella vulgaris]
OG0000272	PRW59845.1 2_5-didehydrogluconate reductase [Chlorella sorokiniana]	KAI3435830.1 hypothetical protein D9Q98_001888 [Chlorella vulgaris]
OG0000273	PRW58905.1 Heterogeneous nuclear ribonucleo A1-like 2 [Chlorella sorokiniana]	KAI3438565.1 hypothetical protein D9Q98_000992 [Chlorella vulgaris]
OG0000274	PRW60837.1 agmatine deiminase [Chlorella sorokiniana]	KAI3429388.1 hypothetical protein D9Q98_005483 [Chlorella vulgaris]
OG0000274	PRW20767.1 agmatine deiminase [Chlorella sorokiniana]	KAI3439074.1 hypothetical protein D9Q98_001484 [Chlorella vulgaris]
OG0000275	PRW60594.1 S-adenosyl-L-methionine-dependent methyltransferase [Chlorella sorokiniana]	KAI3429344.1 hypothetical protein D9Q98_005439 [Chlorella vulgaris]
OG0000275	PRW60657.1 S-adenosyl-L-methionine-dependent methyltransferase [Chlorella sorokiniana]	KAI3429346.1 hypothetical protein D9Q98_005441 [Chlorella vulgaris]
OG0000275	PRW60395.1 General transcription factor IIH subunit 2 [Chlorella sorokiniana]	KAI3429340.1 hypothetical protein D9Q98_005435 [Chlorella vulgaris]
OG0000276	PRW20734.1 UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [Chlorella sorokiniana]	KAI3434519.1 hypothetical protein D9Q98_002592 [Chlorella vulgaris]
OG0000276	PRW20613.1 mitochondrial import receptor subunit TOM9-2-like [Chlorella sorokiniana]	KAI3434403.1 hypothetical protein D9Q98_002481 [Chlorella vulgaris]
OG0000277	PRW60063.1 hypothetical protein C2E21_1860 [Chlorella sorokiniana]	KAI3427132.1 hypothetical protein D9Q98_007069 [Chlorella vulgaris]
OG0000278	PRW20325.1 cobalamin synthesis [Chlorella sorokiniana]	KAI3434999.1 hypothetical protein D9Q98_003051 [Chlorella vulgaris]
OG0000278	PRW34073.1 cobalamin synthesis P47K [Chlorella sorokiniana]	KAI3426100.1 hypothetical protein D9Q98_008068 [Chlorella vulgaris]
OG0000279	PRW45475.1 DNA-binding bromodomain-containing [Chlorella sorokiniana]	KAI3424708.1 hypothetical protein D9Q98_008097 [Chlorella vulgaris]
OG0000280	PRW61615.1 FAD synthetase chloroplastic-like [Chlorella sorokiniana]	KAI3432282.1 hypothetical protein D9Q98_003842 [Chlorella vulgaris]
OG0000284	PRW57163.1 transmembrane E3 ubiquitin- ligase 1-like [Chlorella sorokiniana]	KAI3438305.1 hypothetical protein D9Q98_000739 [Chlorella vulgaris]
OG0000284	PRW20517.1 Zinc _Zn2_-Iron _Fe2_ Permease _ZIP_ Family isoform A [Chlorella sorokiniana], PRW20516.1 Zinc _Zn2_-Iron _Fe2_ Permease _ZIP_ Family isoform C [Chlorella sorokiniana]	KAI3426064.1 hypothetical protein D9Q98_008032 [Chlorella vulgaris]
OG0000284	PRW61338.1 ZIP Zinc transporter [Chlorella sorokiniana]	KAI3423948.1 hypothetical protein D9Q98_009782 [Chlorella vulgaris]
OG0000285	PRW59338.1 ATP-binding cassette transporter [Chlorella sorokiniana]	KAI3438784.1 hypothetical protein D9Q98_001201 [Chlorella vulgaris]
OG0000285	PRW55972.1 ABC transporter B family member 11-like [Chlorella sorokiniana], PRW56013.1 ABC transporter B family member 4-like [Chlorella sorokiniana]	KAI3436555.1 hypothetical protein D9Q98_005971 [Chlorella vulgaris]
OG0000286	PRW51150.1 Drug Metabolite transporter superfamily [Chlorella sorokiniana]	KAI3427022.1 hypothetical protein D9Q98_006964 [Chlorella vulgaris]
OG0000287	PRW33685.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform C [Chlorella sorokiniana], PRW33686.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform B [Chlorella sorokiniana], PRW33683.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase isoform A [Chlorella sorokiniana]	KAI3425198.1 hypothetical protein D9Q98_008967 [Chlorella vulgaris]
OG0000287	PRW33751.1 2_3-bisphosphoglycerate-independent phosphoglycerate mutase [Chlorella sorokiniana]	KAI3425206.1 hypothetical protein D9Q98_008974 [Chlorella vulgaris]
OG0000288	PRW45181.1 hypothetical protein C2E21_6228 [Chlorella sorokiniana]	KAI3426387.1 hypothetical protein D9Q98_008758 [Chlorella vulgaris]
OG0000288	PRW39302.1 Palmitoyl-monogalactosyldiacylglycerol delta-7 chloroplastic [Chlorella sorokiniana]	KAI3431611.1 hypothetical protein D9Q98_004660 [Chlorella vulgaris]
OG0000289	PRW56940.1 meiotic recombination DMC1-like protein [Chlorella sorokiniana]	KAI3437821.1 hypothetical protein D9Q98_000268 [Chlorella vulgaris]
OG0000289	PRW56723.1 DNA repair RAD51-like protein [Chlorella sorokiniana]	KAI3428313.1 hypothetical protein D9Q98_006693 [Chlorella vulgaris]
OG0000290	PRW60861.1 Leucyl-cystinyl aminopeptidase [Chlorella sorokiniana]	KAI3429433.1 hypothetical protein D9Q98_005527 [Chlorella vulgaris]
OG0000290	PRW60384.1 WD repeat-containing 55-like protein [Chlorella sorokiniana]	KAI3429432.1 hypothetical protein D9Q98_005526 [Chlorella vulgaris]
OG0000291	PRW45597.1 MOTHER of FT and TF 1-like [Chlorella sorokiniana]	KAI3425078.1 hypothetical protein D9Q98_008456 [Chlorella vulgaris], KAI3425077.1 hypothetical protein D9Q98_008455 [Chlorella vulgaris]
OG0000291	PRW18387.1 MOTHER of FT and TF 1-like [Chlorella sorokiniana], PRW57336.1 MFT2 - Corn MFT [Chlorella sorokiniana]	KAI3435553.1 hypothetical protein D9Q98_001618 [Chlorella vulgaris]
OG0000292	PRW51030.1 Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex [Chlorella sorokiniana]	KAI3427213.1 hypothetical protein D9Q98_007148 [Chlorella vulgaris]
OG0000293	PRW20925.1 calcium-dependent kinase 26-like [Chlorella sorokiniana]	KAI3437728.1 hypothetical protein D9Q98_000176 [Chlorella vulgaris]
OG0000293	PRW57858.1 calcium-dependent kinase 29-like [Chlorella sorokiniana]	KAI3434966.1 hypothetical protein D9Q98_003018 [Chlorella vulgaris]
OG0000293	PRW57740.1 keratin-associated 5-1-like [Chlorella sorokiniana], PRW57981.1 Calcium-dependent kinase [Chlorella sorokiniana]	KAI3434802.1 hypothetical protein D9Q98_002859 [Chlorella vulgaris], KAI3434801.1 hypothetical protein D9Q98_002859 [Chlorella vulgaris]
OG0000294	PRW57672.1 beta-carotene isomerase chloroplastic-like [Chlorella sorokiniana]	KAI3434804.1 hypothetical protein D9Q98_002861 [Chlorella vulgaris]
OG0000294	PRW60323.1 beta-carotene isomerase chloroplastic-like [Chlorella sorokiniana]	KAI3429383.1 hypothetical protein D9Q98_005478 [Chlorella vulgaris]
OG0000295	PRW45233.1 NLP1-like isoform X1 [Chlorella sorokiniana]	KAI3426298.1 hypothetical protein D9Q98_008671 [Chlorella vulgaris], KAI3426299.1 hypothetical protein D9Q98_008672 [Chlorella vulgaris]
OG0000295	PRW21123.1 RWP-RK domain-containing transcription factor [Chlorella sorokiniana]	KAI3430743.1 hypothetical protein D9Q98_009155 [Chlorella vulgaris]
OG0000296	PRW58468.1 glucose-6-phosphate cytosolic [Chlorella sorokiniana]	KAI3433502.1 hypothetical protein D9Q98_003314 [Chlorella vulgaris]
OG0000296	PRW05793.1 cytosolic phosphoglucose isomerase isoform C [Chlorella sorokiniana], PRW05792.1 cytosolic phosphoglucose isomerase isoform A [Chlorella sorokiniana], PRW05794.1 cytosolic phosphoglucose isomerase isoform B [Chlorella sorokiniana]	KAI3431268.1 hypothetical protein D9Q98_004329 [Chlorella vulgaris], KAI3431267.1 hypothetical protein D9Q98_004329 [Chlorella vulgaris]
OG0000297	PRW58838.1 putative anion transporter chloroplastic [Chlorella sorokiniana]	KAI3438932.1 hypothetical protein D9Q98_001346 [Chlorella vulgaris]
OG0000298	PRW59169.1 cytosolic Fe-S cluster assembly factor narfl [Chlorella sorokiniana]	KAI3438965.1 hypothetical protein D9Q98_001379 [Chlorella vulgaris], KAI3438967.1 hypothetical protein D9Q98_001381 [Chlorella vulgaris], KAI3438966.1 hypothetical protein D9Q98_001380 [Chlorella vulgaris]
OG0000299	PRW58194.1 COP9 signalosome complex subunit 5b-like [Chlorella sorokiniana]	KAI3433342.1 hypothetical protein D9Q98_003160 [Chlorella vulgaris], KAI3433343.1 hypothetical protein D9Q98_003161 [Chlorella vulgaris]
OG0000300	PRW33953.1 inorganic pyrophosphatase isoform A [Chlorella sorokiniana], PRW33952.1 inorganic pyrophosphatase isoform B [Chlorella sorokiniana]	KAI3434910.1 hypothetical protein D9Q98_002964 [Chlorella vulgaris]
OG0000300	PRW20574.1 LOW PSII ACCUMULATION chloroplastic [Chlorella sorokiniana]	KAI3430247.1 hypothetical protein D9Q98_004843 [Chlorella vulgaris]
OG0000301	PRW56106.1 peptidylglycine alpha-amidating monooxygenase [Chlorella sorokiniana]	KAI3436698.1 hypothetical protein D9Q98_006113 [Chlorella vulgaris]
OG0000301	PRW59617.1 peptidase M3 [Chlorella sorokiniana]	KAI3435664.1 hypothetical protein D9Q98_001722 [Chlorella vulgaris]
OG0000302	PRW20261.1 Spermatogenesis-associated [Chlorella sorokiniana]	KAI3430970.1 hypothetical protein D9Q98_009375 [Chlorella vulgaris], KAI3430971.1 hypothetical protein D9Q98_009375 [Chlorella vulgaris]
OG0000302	PRW56325.1 cell division cycle 48-like protein [Chlorella sorokiniana]	KAI3436727.1 hypothetical protein D9Q98_006142 [Chlorella vulgaris]
OG0000303	PRW33517.1 glucose-6-phosphate 1- cytoplasmic isoform [Chlorella sorokiniana]	KAI3425139.1 hypothetical protein D9Q98_008910 [Chlorella vulgaris], KAI3437557.1 hypothetical protein D9Q98_000010 [Chlorella vulgaris]
OG0000303	PRW57282.1 glucose-6-phosphate 1- chloroplastic-like [Chlorella sorokiniana]	KAI3438309.1 hypothetical protein D9Q98_000743 [Chlorella vulgaris]
OG0000304	PRW60098.1 dynamin-related 3B-like isoform B [Chlorella sorokiniana], PRW60097.1 dynamin-related 3B-like isoform A [Chlorella sorokiniana]	KAI3436285.1 hypothetical protein D9Q98_002338 [Chlorella vulgaris]
OG0000305	PRW39307.1 ribonucleoside-diphosphate reductase small chain [Chlorella sorokiniana]	KAI3431619.1 hypothetical protein D9Q98_004668 [Chlorella vulgaris]
OG0000305	PRW58060.1 ribonucleoside-diphosphate reductase small chain isoform A [Chlorella sorokiniana]	KAI3436759.1 hypothetical protein D9Q98_006171 [Chlorella vulgaris]
OG0000306	PRW45108.1 serine carboxypeptidase-like 25 [Chlorella sorokiniana]	KAI3426162.1 hypothetical protein D9Q98_008539 [Chlorella vulgaris]
OG0000306	PRW58099.1 kinase-like superfamily [Chlorella sorokiniana]	KAI3426161.1 hypothetical protein D9Q98_008538 [Chlorella vulgaris]
OG0000306	PRW44896.1 kinase-like superfamily [Chlorella sorokiniana]	KAI3426159.1 hypothetical protein D9Q98_008536 [Chlorella vulgaris]
OG0000307	PRW44988.1 Vacuolar sorting-associated [Chlorella sorokiniana]	KAI3426303.1 hypothetical protein D9Q98_008676 [Chlorella vulgaris]
OG0000307	PRW45000.1 methionine gamma-lyase [Chlorella sorokiniana]	KAI3426324.1 hypothetical protein D9Q98_008697 [Chlorella vulgaris]
OG0000308	PRW59417.1 proton phosphate symporter [Chlorella sorokiniana]	KAI3438962.1 hypothetical protein D9Q98_001376 [Chlorella vulgaris], KAI3423023.1 hypothetical protein D9Q98_010707 [Chlorella vulgaris], KAI3423025.1 hypothetical protein D9Q98_010709 [Chlorella vulgaris], KAI3438961.1 hypothetical protein D9Q98_001375 [Chlorella vulgaris]
OG0000308	PRW20802.1 proton phosphate symporter [Chlorella sorokiniana]	KAI3423024.1 hypothetical protein D9Q98_010708 [Chlorella vulgaris]
OG0000309	PRW51074.1 ferritin- chloroplastic [Chlorella sorokiniana]	KAI3426871.1 hypothetical protein D9Q98_006817 [Chlorella vulgaris], KAI3426223.1 hypothetical protein D9Q98_008599 [Chlorella vulgaris]
OG0000310	PRW39161.1 20 kDa chloroplastic-like [Chlorella sorokiniana], PRW39229.1 solute carrier family 40 member chloroplastic [Chlorella sorokiniana]	KAI3431580.1 hypothetical protein D9Q98_004630 [Chlorella vulgaris]
OG0000310	PRW44534.1 20 kDa chloroplastic [Chlorella sorokiniana]	KAI3428663.1 hypothetical protein D9Q98_007486 [Chlorella vulgaris]
OG0000311	PRW56687.1 nitrite transporter NAR1 [Chlorella sorokiniana]	KAI3428214.1 hypothetical protein D9Q98_006594 [Chlorella vulgaris]
OG0000312	PRW57821.1 ARF guanine-nucleotide exchange factor GNOM-like [Chlorella sorokiniana]	KAI3425868.1 hypothetical protein D9Q98_007841 [Chlorella vulgaris]
OG0000312	PRW57749.1 calcium uptake mitochondrial-like [Chlorella sorokiniana]	KAI3425867.1 hypothetical protein D9Q98_007840 [Chlorella vulgaris]
