Orthogroup	Chlorella_Sorokiniana1602	Auxenochlorella_protothecoides
OG0001158	PRW32492.1 sulfite reductase isoform B [Chlorella sorokiniana], PRW32491.1 sulfite reductase isoform A [Chlorella sorokiniana]	RMZ54442.1 hypothetical protein APUTEX25_002018 [Auxenochlorella protothecoides]
OG0001159	PRW58630.1 aminopeptidase family [Chlorella sorokiniana]	RMZ54451.1 hypothetical protein APUTEX25_002027 [Auxenochlorella protothecoides]
OG0001160	PRW33252.1 nicotinamidase [Chlorella sorokiniana]	RMZ55485.1 hypothetical protein APUTEX25_000068 [Auxenochlorella protothecoides]
OG0001161	PRW20953.1 thylakoid lumenal kDa chloroplastic [Chlorella sorokiniana]	RMZ54485.1 hypothetical protein APUTEX25_002061_ partial [Auxenochlorella protothecoides]
OG0001162	PRW39126.1 UV damage repair endonuclease [Chlorella sorokiniana]	RMZ54493.1 hypothetical protein APUTEX25_002069 [Auxenochlorella protothecoides]
OG0001163	PRW58627.1 NAD-dependent deacylase SRT2 [Chlorella sorokiniana], PRW58163.1 F-box only 22-like isoform A [Chlorella sorokiniana], PRW58162.1 F-box only 22-like isoform B [Chlorella sorokiniana]	RMZ54518.1 hypothetical protein APUTEX25_002094 [Auxenochlorella protothecoides]
OG0001165	PRW58268.1 glutathione-dependent formaldehyde dehydrogenase [Chlorella sorokiniana]	RMZ54564.1 hypothetical protein APUTEX25_002139 [Auxenochlorella protothecoides]
OG0001166	PRW58245.1 NAD_P_-binding domain [Chlorella sorokiniana]	RMZ54569.1 hypothetical protein APUTEX25_002144_ partial [Auxenochlorella protothecoides]
OG0001167	PRW56389.1 phosphate acetyltransferase isoform C [Chlorella sorokiniana], PRW56387.1 phosphate acetyltransferase isoform B [Chlorella sorokiniana], PRW56388.1 phosphate acetyltransferase isoform A [Chlorella sorokiniana]	RMZ54573.1 hypothetical protein APUTEX25_002148_ partial [Auxenochlorella protothecoides]
OG0001168	PRW20443.1 N-terminal asparagine amidohydrolase [Chlorella sorokiniana]	RMZ54636.1 hypothetical protein APUTEX25_003014 [Auxenochlorella protothecoides]
OG0001169	PRW34045.1 Sn1-specific diacylglycerol lipase alpha [Chlorella sorokiniana]	RMZ54685.1 hypothetical protein APUTEX25_003063 [Auxenochlorella protothecoides]
OG0001170	PRW20187.1 thiol reductase thioredoxin [Chlorella sorokiniana]	RMZ54694.1 hypothetical protein APUTEX25_003072 [Auxenochlorella protothecoides]
OG0001171	PRW20513.1 translation initiation factor eIF-2B subunit delta isoform A [Chlorella sorokiniana], PRW20512.1 translation initiation factor eIF-2B subunit delta isoform B [Chlorella sorokiniana]	RMZ54700.1 hypothetical protein APUTEX25_003078 [Auxenochlorella protothecoides]
OG0001173	PRW45450.1 DEAD-box ATP-dependent RNA helicase 28 [Chlorella sorokiniana], PRW45622.1 DEAD-box ATP-dependent RNA helicase 28 [Chlorella sorokiniana], PRW45425.1 DEAD-box ATP-dependent RNA helicase 28 [Chlorella sorokiniana]	RMZ54809.1 hypothetical protein APUTEX25_000326 [Auxenochlorella protothecoides]
OG0001174	PRW57738.1 catalase isozyme 1 [Chlorella sorokiniana]	RMZ54876.1 hypothetical protein APUTEX25_000393_ partial [Auxenochlorella protothecoides]
OG0001175	PRW56183.1 Fumarate isoform B [Chlorella sorokiniana], PRW56184.1 Fumarate isoform A [Chlorella sorokiniana]	RMZ54889.1 hypothetical protein APUTEX25_000406 [Auxenochlorella protothecoides]
OG0001176	PRW33803.1 hypothetical protein C2E21_7295 [Chlorella sorokiniana], PRW33764.1 mitochondrial [Chlorella sorokiniana]	RMZ54898.1 hypothetical protein APUTEX25_000415 [Auxenochlorella protothecoides]
OG0001177	PRW45695.1 hypothetical protein C2E21_5862 [Chlorella sorokiniana]	RMZ54949.1 hypothetical protein APUTEX25_000466 [Auxenochlorella protothecoides]
OG0001178	PRW34020.1 calcium-binding mitochondrial carrier S -3-like [Chlorella sorokiniana], PRW55929.1 mitochondrial carrier [Chlorella sorokiniana]	RMZ54989.1 hypothetical protein APUTEX25_000506 [Auxenochlorella protothecoides]
OG0001179	PRW58907.1 Werner Syndrome-like exonuclease [Chlorella sorokiniana], PRW20999.1 subtilisin-like serine protease [Chlorella sorokiniana]	RMZ55009.1 hypothetical protein APUTEX25_005635 [Auxenochlorella protothecoides]
OG0001180	PRW21132.1 V-type proton ATPase subunit D-like isoform B [Chlorella sorokiniana], PRW21131.1 V-type proton ATPase subunit D-like isoform A [Chlorella sorokiniana]	RMZ55021.1 hypothetical protein APUTEX25_005647_ partial [Auxenochlorella protothecoides]
OG0001181	PRW59254.1 fanconi-associated nuclease 1-like protein isoform X1 [Chlorella sorokiniana]	RMZ55041.1 hypothetical protein APUTEX25_005667 [Auxenochlorella protothecoides]
OG0001182	PRW59856.1 UPF0396 -like [Chlorella sorokiniana], PRW59532.1 programmed cell death 6-like [Chlorella sorokiniana]	RMZ55047.1 hypothetical protein APUTEX25_005673 [Auxenochlorella protothecoides]
OG0001183	PRW56612.1 cytochrome c biogenesis [Chlorella sorokiniana]	RMZ55060.1 hypothetical protein APUTEX25_005686_ partial [Auxenochlorella protothecoides]
OG0001184	PRW44570.1 calmodulin 1 [Chlorella sorokiniana], PRW59367.1 calcium sensor EFh [Chlorella sorokiniana]	RMZ55090.1 hypothetical protein APUTEX25_005716_ partial [Auxenochlorella protothecoides]
OG0001185	PRW58094.1 GPN-loop GTPase 3 [Chlorella sorokiniana]	RMZ55189.1 hypothetical protein APUTEX25_005467 [Auxenochlorella protothecoides], RMZ55109.1 hypothetical protein APUTEX25_005387 [Auxenochlorella protothecoides]
OG0001186	PRW58704.1 hypothetical protein C2E21_3244 [Chlorella sorokiniana], PRW58705.1 hypothetical protein C2E21_3244 [Chlorella sorokiniana], PRW58706.1 hypothetical protein C2E21_3244 [Chlorella sorokiniana]	RMZ55116.1 hypothetical protein APUTEX25_005394 [Auxenochlorella protothecoides]
OG0001187	PRW59571.1 Lysosomal acid lipase cholesteryl ester hydrolase [Chlorella sorokiniana]	RMZ55232.1 hypothetical protein APUTEX25_005510 [Auxenochlorella protothecoides]
OG0001188	PRW58948.1 strictosidine synthase [Chlorella sorokiniana]	RMZ55207.1 hypothetical protein APUTEX25_005485 [Auxenochlorella protothecoides]
OG0001189	PRW57155.1 Zn-dependent exopeptidase [Chlorella sorokiniana]	RMZ55212.1 hypothetical protein APUTEX25_005490 [Auxenochlorella protothecoides]
OG0001190	PRW59009.1 lipid phosphate phosphatase [Chlorella sorokiniana], PRW32893.1 lipid phosphate phosphatase 2-like isoform X3 [Chlorella sorokiniana]	RMZ55234.1 hypothetical protein APUTEX25_005512 [Auxenochlorella protothecoides]
OG0001191	PRW18404.1 TBCC domain-containing 1 isoform B [Chlorella sorokiniana], PRW18405.1 TBCC domain-containing 1 isoform A [Chlorella sorokiniana]	RMZ55235.1 hypothetical protein APUTEX25_005513_ partial [Auxenochlorella protothecoides]
OG0001192	PRW60981.1 oxygen evolving enhancer 2 of photosystem II [Chlorella sorokiniana]	RMZ55251.1 hypothetical protein APUTEX25_005529_ partial [Auxenochlorella protothecoides]
OG0001193	PRW45010.1 Fatty Acid 2-hydroxylase [Chlorella sorokiniana]	RMZ55263.1 hypothetical protein APUTEX25_005541 [Auxenochlorella protothecoides]
OG0001194	PRW57058.1 succinate dehydrogenase [ubiquinone] flavo mitochondrial [Chlorella sorokiniana]	RMZ55324.1 hypothetical protein APUTEX25_003462 [Auxenochlorella protothecoides]
OG0001195	PRW57646.1 importin-9 isoform X1 [Chlorella sorokiniana]	RMZ55347.1 hypothetical protein APUTEX25_003485_ partial [Auxenochlorella protothecoides]
OG0001196	PRW57151.1 ATP-dependent protease ATPase subunit [Chlorella sorokiniana]	RMZ55352.1 hypothetical protein APUTEX25_002210_ partial [Auxenochlorella protothecoides]
OG0001197	PRW59023.1 arginine decarboxylase [Chlorella sorokiniana]	RMZ55366.1 hypothetical protein APUTEX25_002224_ partial [Auxenochlorella protothecoides]
OG0001198	PRW33067.1 glycolate oxidase [Chlorella sorokiniana]	RMZ55484.1 hypothetical protein APUTEX25_000067_ partial [Auxenochlorella protothecoides]
OG0001200	PRW58999.1 putative histone-lysine N-methyltransferase ATXR3 isoform X1 [Chlorella sorokiniana]	RMZ55511.1 hypothetical protein APUTEX25_000094 [Auxenochlorella protothecoides]
OG0001201	PRW05899.1 acetolactate synthase isoform B [Chlorella sorokiniana], PRW05900.1 acetolactate synthase isoform A [Chlorella sorokiniana]	RMZ55516.1 hypothetical protein APUTEX25_000099 [Auxenochlorella protothecoides]
OG0001203	PRW61546.1 hypothetical protein C2E21_0072 [Chlorella sorokiniana]	RMZ55638.1 hypothetical protein APUTEX25_000221_ partial [Auxenochlorella protothecoides]
OG0001204	PRW20209.1 alpha beta-Hydrolases superfamily [Chlorella sorokiniana]	RMZ55750.1 hypothetical protein APUTEX25_005791 [Auxenochlorella protothecoides]
OG0001205	PRW45463.1 ERD4-related membrane [Chlorella sorokiniana]	RMZ55763.1 hypothetical protein APUTEX25_005804 [Auxenochlorella protothecoides]
OG0001206	PRW32959.1 coiled-coil domain-containing 97 [Chlorella sorokiniana]	RMZ55803.1 hypothetical protein APUTEX25_005844 [Auxenochlorella protothecoides]
OG0001207	PRW56092.1 Nucleosome-remodeling factor subunit BPTF isoform B [Chlorella sorokiniana], PRW56093.1 Nucleosome-remodeling factor subunit BPTF isoform A [Chlorella sorokiniana]	RMZ55873.1 hypothetical protein APUTEX25_003839_ partial [Auxenochlorella protothecoides]
OG0001208	PRW56881.1 hypothetical protein C2E21_4544 isoform B [Chlorella sorokiniana], PRW56880.1 hypothetical protein C2E21_4544 isoform A [Chlorella sorokiniana]	RMZ55954.1 hypothetical protein APUTEX25_004378 [Auxenochlorella protothecoides]
OG0001209	PRW50971.1 Vesicle-associated 1-2 [Chlorella sorokiniana], PRW50828.1 Vesicle-associated 1-2 [Chlorella sorokiniana]	RMZ55966.1 hypothetical protein APUTEX25_004390 [Auxenochlorella protothecoides]
OG0001210	PRW58186.1 Jumonji domain-containing [Chlorella sorokiniana], PRW58727.1 lysine-specific demethylase 4A-like isoform X1 [Chlorella sorokiniana]	RMZ55971.1 hypothetical protein APUTEX25_004395_ partial [Auxenochlorella protothecoides]
OG0001211	PRW58234.1 COP9 signalosome complex subunit 7 isoform X2 [Chlorella sorokiniana]	RMZ56016.1 hypothetical protein APUTEX25_004440 [Auxenochlorella protothecoides]
OG0001213	PRW56788.1 B-type cyclin isoform B [Chlorella sorokiniana], PRW56789.1 B-type cyclin isoform A [Chlorella sorokiniana]	RMZ56127.1 hypothetical protein APUTEX25_004551 [Auxenochlorella protothecoides]
OG0001214	PRW51062.1 125 kDa kinesin-related -like [Chlorella sorokiniana]	RMZ56159.1 hypothetical protein APUTEX25_004583_ partial [Auxenochlorella protothecoides]
OG0001215	PRW60998.1 ubiquitin carboxyl-terminal hydrolase 12-like [Chlorella sorokiniana]	RMZ56255.1 hypothetical protein APUTEX25_002445_ partial [Auxenochlorella protothecoides]
OG0001216	PRW61479.1 CRAL TRIO domain-containing [Chlorella sorokiniana], PRW61520.1 motile sperm domain-containing 2 isoform X1 [Chlorella sorokiniana]	RMZ56352.1 hypothetical protein APUTEX25_004709 [Auxenochlorella protothecoides]
OG0001217	PRW44296.1 cell division cycle 48-like protein [Chlorella sorokiniana], PRW59773.1 cell division cycle 48-like protein [Chlorella sorokiniana]	RMZ56412.1 hypothetical protein APUTEX25_004635_ partial [Auxenochlorella protothecoides]
OG0001218	PRW59820.1 ABC ATP-binding isoform 1 [Chlorella sorokiniana], PRW56210.1 ABC2 type transporter superfamily [Chlorella sorokiniana]	RMZ56443.1 hypothetical protein APUTEX25_004666 [Auxenochlorella protothecoides]
OG0001219	PRW20610.1 Kinesin KIF2A [Chlorella sorokiniana]	RMZ56523.1 hypothetical protein APUTEX25_001370_ partial [Auxenochlorella protothecoides]
OG0001220	PRW39360.1 ALBINO3 chloroplastic isoform B [Chlorella sorokiniana], PRW39359.1 ALBINO3 chloroplastic isoform A [Chlorella sorokiniana]	RMZ56572.1 hypothetical protein APUTEX25_001419_ partial [Auxenochlorella protothecoides]
OG0001221	PRW55959.1 Qa- SYP3 Sed5p Syntaxin 5-type [Chlorella sorokiniana]	RMZ56628.1 hypothetical protein APUTEX25_002717 [Auxenochlorella protothecoides]
OG0001222	PRW33023.1 UDP-glucose_glyco glucosyltransferase isoform X1 [Chlorella sorokiniana]	RMZ56640.1 hypothetical protein APUTEX25_002729 [Auxenochlorella protothecoides]
OG0001223	PRW57575.1 pre-mRNA-splicing factor CWC22-like protein isoform B [Chlorella sorokiniana], PRW57574.1 pre-mRNA-splicing factor CWC22-like protein isoform A [Chlorella sorokiniana]	RMZ56644.1 hypothetical protein APUTEX25_002733 [Auxenochlorella protothecoides]
OG0001224	PRW56468.1 DNA methyltransferase [Chlorella sorokiniana], PRW56431.1 Peptide-N_4_-_N-acetyl-beta-glucosaminyl_asp aragine amidase [Chlorella sorokiniana]	RMZ56650.1 hypothetical protein APUTEX25_002739_ partial [Auxenochlorella protothecoides]
OG0001225	PRW57926.1 60S ribosomal L35a-3 [Chlorella sorokiniana]	RMZ56664.1 hypothetical protein APUTEX25_002753_ partial [Auxenochlorella protothecoides]
OG0001227	PRW60392.1 ARM repeat superfamily [Chlorella sorokiniana]	RMZ56722.1 hypothetical protein APUTEX25_002811 [Auxenochlorella protothecoides]
OG0001228	PRW45017.1 Glucose-induced degradation 4 [Chlorella sorokiniana]	RMZ56837.1 hypothetical protein APUTEX25_002926_ partial [Auxenochlorella protothecoides]
OG0001229	PRW57951.1 WD repeat-containing LWD1 [Chlorella sorokiniana]	RMZ56784.1 hypothetical protein APUTEX25_002873 [Auxenochlorella protothecoides]
OG0001230	PRW56349.1 synaptic vesicle 2-related [Chlorella sorokiniana], PRW59112.1 organic cation carnitine transporter 7-like isoform A [Chlorella sorokiniana], PRW59113.1 organic cation carnitine transporter 7-like isoform B [Chlorella sorokiniana]	RMZ56824.1 hypothetical protein APUTEX25_002913 [Auxenochlorella protothecoides]
OG0001231	PRW44240.1 Ras-related Rab7 [Chlorella sorokiniana]	RMZ56919.1 hypothetical protein APUTEX25_004981 [Auxenochlorella protothecoides]
OG0001232	PRW59347.1 citrate _Si_-synthase [Chlorella sorokiniana], PRW58871.1 citrate synthase [Chlorella sorokiniana]	RMZ56921.1 hypothetical protein APUTEX25_004983 [Auxenochlorella protothecoides]
OG0001233	PRW57442.1 Transmembrane 9 superfamily member 4 isoform B [Chlorella sorokiniana], PRW57441.1 Transmembrane 9 superfamily member 4 isoform A [Chlorella sorokiniana], PRW44394.1 Transmembrane 9 superfamily member 4 [Chlorella sorokiniana]	RMZ56973.1 hypothetical protein APUTEX25_005035_ partial [Auxenochlorella protothecoides]
OG0001234	PRW57898.1 Tctex1 domain-containing 2 [Chlorella sorokiniana], PRW57626.1 hypothetical protein C2E21_3654 [Chlorella sorokiniana]	RMZ57004.1 hypothetical protein APUTEX25_002236 [Auxenochlorella protothecoides]
OG0001235	PRW58304.1 hypothetical protein C2E21_2906 [Chlorella sorokiniana]	RMZ57058.1 hypothetical protein APUTEX25_002290_ partial [Auxenochlorella protothecoides]
OG0001236	PRW20622.1 Dihydrolipoyl dehydrogenase mitochondrial [Chlorella sorokiniana]	RMZ57185.1 hypothetical protein APUTEX25_004019 [Auxenochlorella protothecoides]
OG0001237	PRW56425.1 Nef-associated 1 [Chlorella sorokiniana]	RMZ57187.1 hypothetical protein APUTEX25_004021_ partial [Auxenochlorella protothecoides]
OG0001238	PRW61293.1 dnaJ ERDJ2A [Chlorella sorokiniana]	RMZ57304.1 hypothetical protein APUTEX25_004138 [Auxenochlorella protothecoides], RMZ57290.1 hypothetical protein APUTEX25_004124 [Auxenochlorella protothecoides]
OG0001239	PRW33728.1 NUDIX hydrolase [Chlorella sorokiniana]	RMZ57313.1 hypothetical protein APUTEX25_004147 [Auxenochlorella protothecoides]
OG0001241	PRW44508.1 plasma membrane [Chlorella sorokiniana]	RMZ57343.1 hypothetical protein APUTEX25_004177 [Auxenochlorella protothecoides]
OG0001242	PRW58236.1 subtilisin-like protease isoform B [Chlorella sorokiniana], PRW58235.1 subtilisin-like protease isoform A [Chlorella sorokiniana]	RMZ57497.1 hypothetical protein APUTEX25_003740_ partial [Auxenochlorella protothecoides]
OG0001243	PRW58540.1 isocitrate NADP-dependent isoform A [Chlorella sorokiniana], PRW58539.1 isocitrate NADP-dependent isoform B [Chlorella sorokiniana]	RMZ57500.1 hypothetical protein APUTEX25_003743 [Auxenochlorella protothecoides]
OG0001244	PRW60380.1 glyoxal reductase [Chlorella sorokiniana], PRW58428.1 aldo keto reductase [Chlorella sorokiniana]	RMZ57558.1 hypothetical protein APUTEX25_001758 [Auxenochlorella protothecoides]
OG0001245	PRW44898.1 Potassium channel subfamily T member 2 isoform B [Chlorella sorokiniana], PRW44899.1 Potassium channel subfamily T member 2 isoform A [Chlorella sorokiniana]	RMZ57560.1 hypothetical protein APUTEX25_001760_ partial [Auxenochlorella protothecoides]
OG0001246	PRW44282.1 hypothetical protein C2E21_6666 [Chlorella sorokiniana], PRW45405.1 glutamyl-tRNA synthetase isoform A [Chlorella sorokiniana], PRW45404.1 glutamyl-tRNA synthetase isoform B [Chlorella sorokiniana]	RMZ57589.1 hypothetical protein APUTEX25_001789 [Auxenochlorella protothecoides]
OG0001247	PRW45135.1 hypothetical protein C2E21_6370 [Chlorella sorokiniana]	RMZ57649.1 hypothetical protein APUTEX25_001849 [Auxenochlorella protothecoides]
OG0001248	PRW34081.1 E3 ubiquitin- ligase UPL3-like [Chlorella sorokiniana]	RMZ57830.1 hypothetical protein APUTEX25_002159_ partial [Auxenochlorella protothecoides]
OG0001305	PRW56103.1 hypothetical protein C2E21_4910 [Chlorella sorokiniana], PRW55942.1 hypothetical protein C2E21_4909 [Chlorella sorokiniana]	RMZ52006.1 hypothetical protein APUTEX25_002699_ partial [Auxenochlorella protothecoides]
OG0001306	PRW57456.1 sulfatase domain-containing [Chlorella sorokiniana]	RMZ52026.1 hypothetical protein APUTEX25_001220 [Auxenochlorella protothecoides]
OG0001307	PRW57649.1 magnesium chelatase subunit H [Chlorella sorokiniana]	RMZ52027.1 hypothetical protein APUTEX25_001221 [Auxenochlorella protothecoides]
OG0001308	PRW57492.1 prolyl-tRNA synthetase [Chlorella sorokiniana]	RMZ52039.1 hypothetical protein APUTEX25_001233 [Auxenochlorella protothecoides]
OG0001309	PRW57504.1 putative splicing factor 3A subunit 1 isoform B [Chlorella sorokiniana], PRW57503.1 putative splicing factor 3A subunit 1 isoform A [Chlorella sorokiniana]	RMZ52043.1 hypothetical protein APUTEX25_001237 [Auxenochlorella protothecoides]
OG0001310	PRW57699.1 serine-threonine kinase receptor-associated -like [Chlorella sorokiniana]	RMZ52046.1 hypothetical protein APUTEX25_001240_ partial [Auxenochlorella protothecoides]
OG0001311	PRW57320.1 AP-4 complex subunit epsilon [Chlorella sorokiniana]	RMZ52066.1 hypothetical protein APUTEX25_001260_ partial [Auxenochlorella protothecoides]
OG0001312	PRW20693.1 DNA-directed RNA polymerases I and III subunit RPAC1 [Chlorella sorokiniana], PRW20687.1 DNA-directed RNA polymerases I and III subunit RPAC1 [Chlorella sorokiniana]	RMZ52072.1 hypothetical protein APUTEX25_001266 [Auxenochlorella protothecoides]
OG0001313	PRW57198.1 phosphoacetylglucosamine mutase [Chlorella sorokiniana]	RMZ52088.1 hypothetical protein APUTEX25_001282 [Auxenochlorella protothecoides]
OG0001314	PRW57474.1 tetratricopeptide repeat 4-like protein [Chlorella sorokiniana]	RMZ52094.1 hypothetical protein APUTEX25_001288 [Auxenochlorella protothecoides]
OG0001315	PRW61464.1 lava lamp [Chlorella sorokiniana], PRW60894.1 signal transduction histidine kinase with and activity [Chlorella sorokiniana]	RMZ52142.1 hypothetical protein APUTEX25_001532_ partial [Auxenochlorella protothecoides]
OG0001316	PRW61078.1 Chaperone dnaJ 13 [Chlorella sorokiniana]	RMZ52146.1 hypothetical protein APUTEX25_001536 [Auxenochlorella protothecoides]
OG0001317	PRW39311.1 ERBB-3 BINDING PROTEIN 1 [Chlorella sorokiniana]	RMZ52148.1 hypothetical protein APUTEX25_001538_ partial [Auxenochlorella protothecoides]
OG0001318	PRW44958.1 tyrosine--tRNA ligase cytoplasmic [Chlorella sorokiniana]	RMZ52177.1 hypothetical protein APUTEX25_001567 [Auxenochlorella protothecoides]
OG0001319	PRW55951.1 exportin-7 isoform X2 isoform B [Chlorella sorokiniana], PRW55950.1 exportin-7 isoform X2 isoform A [Chlorella sorokiniana]	RMZ52218.1 hypothetical protein APUTEX25_001608 [Auxenochlorella protothecoides]
OG0001320	PRW60925.1 putative DNA primase large subunit [Chlorella sorokiniana]	RMZ52221.1 hypothetical protein APUTEX25_001611 [Auxenochlorella protothecoides]
OG0001321	PRW61274.1 Sn1-specific diacylglycerol lipase alpha isoform A [Chlorella sorokiniana], PRW61275.1 Sn1-specific diacylglycerol lipase alpha isoform B [Chlorella sorokiniana]	RMZ52238.1 hypothetical protein APUTEX25_001628 [Auxenochlorella protothecoides]
OG0001322	PRW61141.1 mitogen-activated kinase kinase kinase NPK1 isoform X1 [Chlorella sorokiniana]	RMZ52267.1 hypothetical protein APUTEX25_001657_ partial [Auxenochlorella protothecoides]
OG0001323	PRW20290.1 ARM repeat-containing [Chlorella sorokiniana]	RMZ57725.1 hypothetical protein APUTEX25_001202_ partial [Auxenochlorella protothecoides], RMZ52292.1 hypothetical protein APUTEX25_001682 [Auxenochlorella protothecoides]
OG0001324	PRW56245.1 hypothetical protein C2E21_5159 [Chlorella sorokiniana]	RMZ52336.1 hypothetical protein APUTEX25_005089 [Auxenochlorella protothecoides]
OG0001325	PRW61284.1 Casein kinase I isoform delta [Chlorella sorokiniana]	RMZ52339.1 hypothetical protein APUTEX25_005092 [Auxenochlorella protothecoides]
OG0001326	PRW60286.1 hypothetical protein C2E21_1276 [Chlorella sorokiniana]	RMZ52365.1 hypothetical protein APUTEX25_000640_ partial [Auxenochlorella protothecoides]
OG0001327	PRW44973.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana]	RMZ52387.1 hypothetical protein APUTEX25_000662 [Auxenochlorella protothecoides]
OG0001328	PRW33003.1 tryptophan synthase beta chain 1 isoform A [Chlorella sorokiniana], PRW33004.1 tryptophan synthase beta chain 1 isoform B [Chlorella sorokiniana]	RMZ52396.1 hypothetical protein APUTEX25_000671 [Auxenochlorella protothecoides]
OG0001329	PRW58541.1 disulfide isomerase-like 1-4 isoform A [Chlorella sorokiniana], PRW58542.1 disulfide isomerase-like 1-4 isoform B [Chlorella sorokiniana]	RMZ53102.1 hypothetical protein APUTEX25_002511_ partial [Auxenochlorella protothecoides]
OG0001330	PRW33041.1 hypersensitive-induced response 1 [Chlorella sorokiniana]	RMZ52438.1 hypothetical protein APUTEX25_000017_ partial [Auxenochlorella protothecoides]
OG0001331	PRW51034.1 glycosyltransferase family 32 [Chlorella sorokiniana]	RMZ52480.1 hypothetical protein APUTEX25_003623 [Auxenochlorella protothecoides]
OG0001332	PRW58820.1 eukaryotic translation initiation factor 3 subunit L-like [Chlorella sorokiniana]	RMZ52498.1 hypothetical protein APUTEX25_003641 [Auxenochlorella protothecoides]
OG0001333	PRW51044.1 enoyl- hydratase [Chlorella sorokiniana]	RMZ52501.1 hypothetical protein APUTEX25_003644_ partial [Auxenochlorella protothecoides]
OG0001334	PRW59445.1 DEAD-box ATP-dependent RNA helicase 13 isoform B [Chlorella sorokiniana], PRW59446.1 DEAD-box ATP-dependent RNA helicase 13 isoform A [Chlorella sorokiniana]	RMZ52507.1 hypothetical protein APUTEX25_003650 [Auxenochlorella protothecoides]
OG0001335	PRW51146.1 tesmin TSO1-like CXC 5 [Chlorella sorokiniana]	RMZ52518.1 hypothetical protein APUTEX25_003661_ partial [Auxenochlorella protothecoides]
OG0001336	PRW60104.1 Biotin carboxyl carrier of acetyl- carboxylase isoform A [Chlorella sorokiniana], PRW60103.1 Biotin carboxyl carrier of acetyl- carboxylase isoform B [Chlorella sorokiniana]	RMZ52525.1 hypothetical protein APUTEX25_003668 [Auxenochlorella protothecoides]
OG0001337	PRW50835.1 U3 small nucleolar RNA-associated 14-like protein A [Chlorella sorokiniana]	RMZ52528.1 hypothetical protein APUTEX25_003671 [Auxenochlorella protothecoides]
OG0001338	PRW51120.1 carbon catabolite repressor 4-like protein 1 [Chlorella sorokiniana]	RMZ52539.1 hypothetical protein APUTEX25_003682_ partial [Auxenochlorella protothecoides]
OG0001339	PRW50837.1 putative mannitol dehydrogenase [Chlorella sorokiniana], PRW20868.1 cinnamyl alcohol dehydrogenase [Chlorella sorokiniana]	RMZ52598.1 hypothetical protein APUTEX25_000717 [Auxenochlorella protothecoides]
OG0001340	PRW21029.1 Diaminopimelate chloroplastic [Chlorella sorokiniana]	RMZ52615.1 hypothetical protein APUTEX25_000734 [Auxenochlorella protothecoides]
OG0001341	PRW05748.1 putative transmembrane protein [Chlorella sorokiniana], PRW57172.1 hypothetical protein C2E21_4378 [Chlorella sorokiniana], PRW57171.1 hypothetical protein C2E21_4378 [Chlorella sorokiniana]	RMZ52618.1 hypothetical protein APUTEX25_000737 [Auxenochlorella protothecoides]
OG0001342	PRW57867.1 NPL4 1 [Chlorella sorokiniana]	RMZ52621.1 hypothetical protein APUTEX25_000740_ partial [Auxenochlorella protothecoides]
OG0001343	PRW59035.1 Gamma-tubulin complex component 2 [Chlorella sorokiniana]	RMZ52722.1 hypothetical protein APUTEX25_000841 [Auxenochlorella protothecoides]
OG0001344	PRW50862.1 ribose-phosphate pyrophosphokinase isoform A [Chlorella sorokiniana], PRW50864.1 ribose-phosphate pyrophosphokinase isoform C [Chlorella sorokiniana], PRW50863.1 ribose-phosphate pyrophosphokinase isoform B [Chlorella sorokiniana]	RMZ52740.1 hypothetical protein APUTEX25_000859 [Auxenochlorella protothecoides]
OG0001345	PRW45719.1 hypothetical protein C2E21_5938 [Chlorella sorokiniana]	RMZ52746.1 hypothetical protein APUTEX25_000865 [Auxenochlorella protothecoides]
OG0001346	PRW45570.1 Coiled-coil domain-containing 132 [Chlorella sorokiniana]	RMZ52768.1 hypothetical protein APUTEX25_000887_ partial [Auxenochlorella protothecoides]
OG0001347	PRW60660.1 mitochondrial succinate-fumarate transporter 1 isoform A [Chlorella sorokiniana]	RMZ52788.1 hypothetical protein APUTEX25_000907 [Auxenochlorella protothecoides]
OG0001348	PRW50907.1 hypothetical protein C2E21_5382 [Chlorella sorokiniana]	RMZ52789.1 hypothetical protein APUTEX25_000908 [Auxenochlorella protothecoides]
OG0001349	PRW51175.1 Lysine histidine transporter 1 [Chlorella sorokiniana]	RMZ52790.1 hypothetical protein APUTEX25_000909 [Auxenochlorella protothecoides]
OG0001350	PRW60708.1 Isocitrate lyase [Chlorella sorokiniana]	RMZ52797.1 hypothetical protein APUTEX25_000916 [Auxenochlorella protothecoides]
OG0001351	PRW44332.1 Kanadaptin isoform B [Chlorella sorokiniana], PRW44331.1 Kanadaptin isoform A [Chlorella sorokiniana]	RMZ52810.1 hypothetical protein APUTEX25_000929_ partial [Auxenochlorella protothecoides]
OG0001352	PRW20728.1 glycosyl transferase family 2 [Chlorella sorokiniana]	RMZ53814.1 hypothetical protein APUTEX25_003953_ partial [Auxenochlorella protothecoides], RMZ52812.1 hypothetical protein APUTEX25_000931_ partial [Auxenochlorella protothecoides], RMZ54557.1 hypothetical protein APUTEX25_002132 [Auxenochlorella protothecoides], RMZ57250.1 hypothetical protein APUTEX25_004084 [Auxenochlorella protothecoides]
